Description, Amount 
CALCITONIN,$246.00 
calcitonin (salmon) 200 unit/actuation nasal spray, 485.00 
calcitonin (salmon) 200 unit/mL injection solution," 1,743.48 "
calcitriol 0.25 mcg capsule, 2.55 
calcium acetate 667 mg capsule, 3.52 
"calcium acetate-aluminum 952 mg-1,347 mg topical powder in packet", 2.42 
calcium carbonate 200 mg calcium (500 mg) chewable tablet, 2.00 
"calcium carbonate 500 mg (1,250 mg)-vitamin D3 200 unit tablet", 2.00 
"calcium carbonate 500 mg calcium (1,250 mg) tablet", 2.00 
calcium carbonate-vitamin D3 250 mg-125 unit tablet, 2.00 
calcium chloride 100 mg/mL (10 %) intravenous syringe, 12.16 
calcium gluconate 1 gram/100 mL in dextrose 5 % IV, 37.25 
calcium gluconate 100 mg/mL (10 %) intravenous solut, 53.25 
calcium gluconate 100 mg/mL (10 %) intravenous solution, 11.60 
CALCIUM IONIZED,$78.00 
CALCIUM SERUM,$30.00 
"CALCIUM, URINE (QUAN)",$35.00 
CALIF VIRUS ENCEPH IGG AB,$75.00 
CALIF VIRUS ENCEPH IGM AB,$75.00 
"CALPROTECTIN, FECAL",$134.00 
candesartan 4 mg tablet, 7.64 
candida albicans skin test FDA STANDARD intradermal, 36.63 
capecitabine 500 mg tablet, 135.56 
capsaicin 0.025 % topical cream, 41.25 
CAPSULE DELIVERY DEVICE,$426.00 
CAPSULOTOMY LASER >=1 STAGES,$986.00 
captopril 12.5 mg table, 3.04 
captopril 12.5 mg tablet, 2.00 
captopril 25 mg tablet, 4.66 
carbachol 0.01 % intraocular solution, 29.47 
CARBAMAZEPINE,$67.00 
carBAMazepine 100 mg/5 mL (5 mL) oral suspension, 9.08 
carBAMazepine 200 mg tablet, 3.74 
carbidopa 25 mg-levodopa 100 mg tablet, 2.08 
"carbidopa ER 25 mg-levodopa 100 mg tablet,extended release", 2.33 
CARBOplatin 10 mg/mL intravenous solution, 178.38 
carboprost tromethamine 250 mcg/mL intramuscular solution," 1,092.30 "
CARBOXYHEMOGLOBIN (COHB),$68.00 
carboxymethylcellulose sodium 0.5 % eye drops in a dropperette, 2.00 
carboxymethylcellulose sodium 1 % eye gel in a dropperette, 2.00 
CARDIOVERSION,"$1,024.00 "
"CARDIOVERTER-DEFIBRILLATOR, DUAL CHAMBER"," 39,364.04 "
"CARDIOVERTER-DEFIBRILLATOR, SINGLE CHAMBER"," 35,068.62 "
carfilzomib 30 mg intravenous solution," 3,381.06 "
carfilzomib 60 mg intravenous solution," 6,791.12 "
carisoprodol 350 mg tablet, 2.00 
CAROTID DUPLEX SCAN; BILAT,$429.00 
CARTRIDGE EXPRESS W/HEMOFILTER,$331.00 
carvedilol 12.5 mg tablet, 2.00 
carvedilol 25 mg tablet, 3.55 
carvedilol 3.125 mg tablet, 4.39 
carvedilol 6.25 mg tablet, 2.37 
CASPR2 ANTIBODY,$505.00 
castor oil, 11.51 
"CATECHOLAMINE, PLASMA",$143.00 
"CATECHOLAMINE, URINE",$143.00 
"CATH ABLATION, NONCARDIAC, ENDOVASCULAR", 894.20 
"CATH ART, ABD/PLV/LOW 1ST",$636.00 
"CATH ART, ABD/PLV/LOW 2ND",$700.00 
"CATH ART, ABD/PLV/LOW ADDL",$134.00 
"CATH ART, THOR/BRCHCEPH 3RD>",$835.00 
"CATH PLCMT VEIN, SVC/IVC",$318.00 
CATH RADIAL ART,$26.00 
CATH THORA/PARACENTESIS,$146.00 
"CATH, BALLOON PTA DRUG COATE","$3,830.00 "
"CATH, BALLOON VENOGRAM", 717.27 
"CATH, BRACHYTX SEED ADM"," 9,428.55 "
"CATH, CORONARY; 5FR QUAD 120CM",$680.00 
"CATH, DECATHLON W/STYLET 31CM",$592.00 
"CATH, DIAG, OTHER THAN 3D, 19 OR FEWER"," 1,300.86 "
"CATH, DOUBLE LUMEN PIGTAIL",$382.00 
"CATH, EP, 20 OR MORE ELEC"," 3,557.51 "
"CATH, EP, COOL-TIP"," 4,821.67 "
"CATH, EP, DIAG/ABLATION, OTHER THAN 3D/VECTOR/COOL"," 3,236.25 "
"CATH, OUTBACK","$5,339.00 "
"CATH, PICC LINE WITH TRAY",$265.00 
"CATH, POSSIS DVX THROMB","$6,643.00 "
"CATH, PTA DORADO",$460.00 
"CATH, QUICK CROSS .014/.018",$439.00 
"CATH, THROMBECTOMY DIVER","$1,954.00 "
"CATH, TRANSLUMINAL ANGIOPLASTY, DRUG-COATED, NONLASER"," 3,120.24 "
"CATH, TRANSLUMINAL ANGIOPLASTY, NONLASER", 635.59 
"CATH, TRANSLUMINAL ATHERECTOMY, DIRECTIONAL"," 7,001.91 "
"CATH,INFUS (INSERTED PERIPH,CENTRAL,OR MIDLINE)", 380.22 
"CATHEER, INTRAVASCUALR ULTRASOUND"," 2,592.19 "
CATHETER URETERAL, 93.71 
"CATHETER, BALLOON DILITATION, NONVASCULAR"," 1,189.74 "
"CATHETER, BALLOON TISSUE DISSECTOR, NONVASCULAR"," 1,084.18 "
"CATHETER, DRAINAGE", 476.48 
"CATHETER, EP,DIAG/ABLATION,3D OR VECTOR MAPPING"," 4,497.11 "
"CATHETER, GUIDING", 852.35 
"CATHETER, HEMODIALYSIS/PERITONEAL, LONG-TERM",$960.00 
"CATHETER, HEMODIALYSIS/PERITONEAL, LONG-TERM", 533.48 
"CATHETER, HEMODIALYSIS/PERITONEAL, SHORT-TERM", 342.97 
"CATHETER, INTRASPINAL"," 2,630.96 "
"CATHETER, OCCLUSION"," 1,710.44 "
"CATHETER, SUPRAPUBIC/CYSTOSCOPIC", 333.96 
"CATHETER, THROMBECTOMY/EMBOLECTOMY"," 2,229.28 "
"CATHETER, TRANSLUMINAL ATHERECTOMY, ROTATIONAL"," 7,233.46 "
CATHETERIZATION FOR COLLECTION OF SPECIMEN,$8.00 
C-BLOOD RH TYPE,$17.00 
C-BLOOD TYPING; ABO,$17.00 
CCP ANTIBODIES,$74.00 
CD3,$214.00 
CD4,$149.00 
CD4 AND CD8 COUNT WITH RATIO,$228.00 
CEA,$108.00 
cefazolin 1 gram solution for injection, 10.68 
ceFAZolin 1 gram/50 mL in dextrose (iso-osmotic) intravenous piggyback, 18.36 
ceFAZolin 10 gram solution for injection, 25.38 
ceFAZolin 2 gram/50 mL in dextrose (iso-osmotic) intravenous piggyback, 21.90 
cefepime 1 gram solution for injection, 39.47 
cefepime 1 gram/50 mL in dextrose 5 % intravenous piggyback, 35.16 
"cefepime 1 gram/50 mL in dextrose 5 % intravenous piggyback,cefepime 1 gram solution for injection", 44.13 
cefepime 2 gram solution for injection, 70.28 
cefepime 2 gram/50 mL in dextrose 5 % intravenous piggyback, 53.03 
cefotaxime 1 gram solution for injection, 13.13 
cefotaxime 2 gram solution for injection, 14.25 
cefOXitin 1 gram intravenous solution, 18.38 
"cefOXitin 1 gram/50 mL in dextrose, iso-osmotic intravenous piggyback", 32.78 
cefOXitin 2 gram intravenous solution, 28.00 
cefOXitin 2 gram/50 mL in dextrose(iso-osmotic) intravenous piggyback, 60.17 
cefprozil 125 mg/5 mL oral suspension, 52.63 
cefprozil 250 mg tablet, 5.47 
ceftaroline fosamil 600 mg intravenous solution, 526.36 
ceftazidime 1 gram solution for injection, 26.08 
cefTAZidime 1 gram/50 mL in dextrose 5 % intravenous piggyback, 31.46 
cefTAZidime 2 gram solution for injection, 35.29 
cefTAZidime 500 mg solution for injection, 19.80 
cefTAZidime 6 gram solution for injection, 140.15 
"CEFTRIAXONE 1 GRAM INJ SOLR,CEFTRIAXONE 1 GRAM/50 ML IN DEXTROSE (ISO-OSMOT) INTRAVENOUS PIGGYBACK,ceftriaxone 1 gram intravenous solution", 41.03 
cefTRIAXone 1 gram solution for injection, 63.01 
cefTRIAXone 1 gram/50 mL in dextrose (iso-osmot) intravenous piggyback, 34.80 
cefTRIAXone 10 gram solution for injection, 51.18 
"CEFTRIAXONE 2 GRAM INJ SOLR,CEFTRIAXONE 2 G/50 ML D5W,ceftriaxone 2 gram intravenous solution", 32.35 
cefTRIAXone 2 gram solution for injection, 11.75 
cefTRIAXone 2 gram/50 mL in dextrose (iso-osm) intravenous piggyback, 32.35 
cefTRIAXone 250 mg solution for injection, 19.01 
cefTRIAXone 500 mg solution for injection, 32.88 
CEFTRIAZONE 1 GRAM INJ SOLR, 21.38 
CEFTRIAZONE 2 GRAM INJ SOLR, 23.45 
celecoxib 200 mg capsule, 8.76 
CELL COUNT+DIFF-CSF,$32.00 
cellulose 80 % oral powder, 34.20 
CENTRAL LINE INSERTION >5 YRS OLD,"$1,685.00 "
CENTROMERE ANTIBODIES,$29.75 
cephalexin 250 mg capsule, 2.05 
cephalexin 250 mg/5 mL oral suspension, 37.00 
cephalexin 500 mg capsule, 2.29 
certolizumab pegol 400 mg (200 mg x 2 vials) subcutaneous kit," 12,132.96 "
CERULOPLASMIN,$61.00 
"CERVICAL COLLAR, 2 PIECE", 96.39 
cetirizine 1 mg/mL oral solution, 2.00 
cetirizine 10 mg tablet, 2.56 
cetirizine 5 mg tablet, 6.24 
cetuximab 100 mg/50 mL intravenous solution," 1,848.50 "
cetuximab 200 mg/100 mL intravenous solution," 3,668.00 "
CHANGE OF CYSTOSTOMY TUBE-SIMPLE,$376.00 
CHANGE TRACHEOSTOMY TUBE,$264.00 
CHEM CAUTERIZATION OF GRANULATION TISSUE,$287.00 
"CHEM PEEL, NONFACIAL EPIDERM",$251.00 
CHEMO ADM-INFUS; > 8 HRS,$607.00 
CHEMO ADMIN-INFUSION;UP TO 1HR,$607.00 
CHEMO EA ADD'L SEQ NEW SUB/DRUG UP TO 1 HR,$209.00 
CHEMO IV PUSH EACH ADD'L SUBSTANCE/DRUG,$209.00 
CHEMO IV PUSH INITIAL SUBSTANCE/DRUG,$350.00 
CHEMODENERV TRUNK MUSCLE(S); 1-5 MUSCLE(S),$801.00 
CHEMODENERVATION 1 EXTREMITY; 1-4 MUSCLE(S),$801.00 
CHEMODENERVATION 1 EXTREMITY; 5 OR MORE MUSCLES,$801.00 
"CHEMODENERVATION 1 EXTREMITY; EA ADD'L EXT, 1-4 MUSCLE(S)",$931.00 
"CHEMODENERVATION MUSCLE, FACE",$447.00 
"CHEMODENERVATION NECK MUSCLES EXC LARNYNX, UNI",$532.00 
CHEMODENERVATION OF MUSCLE/CHRONIC MIGRAINE....,$644.00 
"CHEMOTHER ADMIN, IV INFUSION, EA ADDTL HR",$104.00 
"CHEMOTHER,HORMONE ANTI-NEOPL, SUB-Q/IM",$104.00 
"CHEMOTHER,NON-HORMONE ANTI-NEOPL, SUB-Q/IM",$105.90 
CHEST TUBE INSERTION,$887.00 
"CHIC2 4Q12 FISH PROBE, EACH",$121.00 
"CHIKUNGUNYA IGG AB, SCREEN",$122.00 
"CHIKUNGUNYA IGM AB, SCREEN",$122.00 
CHIMERISM CELL SORT 1,$685.00 
CHIMERISM CELL SORT 2,$685.00 
CHLAMYDIA CULTURE,$112.00 
CHLAMYDIA PNEUMONIAE TEM-PCR,$49.00 
CHLAMYDIA T BY AMPLIFIED PROBE,$199.00 
chlordiazePOXIDE 10 mg capsule, 2.00 
chlordiazePOXIDE 25 mg capsule, 2.00 
chlordiazePOXIDE 5 mg capsule, 2.02 
chlorhexidine gluconate 0.12 % mouthwash, 2.00 
"CHLORIDE, CSF",$29.00 
"CHLORIDE, FECES",$2.00 
"CHLORIDE, URINE",$2.00 
chlorproMAZINE 100 mg tablet, 3.99 
chlorproMAZINE 25 mg tablet, 7.78 
chlorproMAZINE 25 mg/mL injection solution, 21.54 
chlorproMAZINE 50 mg tablet, 5.50 
chlorthalidone 25 mg tablet, 3.93 
chlorthalidone 50 mg tablet, 2.00 
CHOLANGIOGRAPHY INTRAOPERATIVE,$288.00 
CHOLESTEROL,$26.00 
"CHOLESTEROL, FLUID - RL",$40.00 
cholestyramine (with sugar) 4 gram powder for susp in a packet, 7.73 
CHOLETEC UP TO 15 MCI DX,$165.95 
chondroitin-sod hyaluron 3 %-4 %(0.35 mL)1 %(0.4 mL)intraocular syring, 495.68 
chondroitin-sod hyaluron 3 %-4 %(0.5 mL)1 %(0.55 mL)intraocular syring, 524.38 
chondroitin-sod hyaluron 4 %-3 % (40 mg-30 mg/mL) intraocular syringe, 377.23 
CHROMOGRANIN A,$118.00 
"CHROMOSOME ANALYSIS ADD'L CELLS COUNTED, EACH",$37.00 
CHROMOSOME ANALYSIS METAPHASES 1-19,$703.00 
CHROMOSOME ANALYSIS METAPHASES 15-19,$145.00 
CHROMOSOME ANALYSIS METAPHASES 20+,$145.00 
CHROMOSOME ANALYSIS METAPHASES 20-25,$703.00 
"CHROMOSOME COUNT, ADDITIONAL",$37.00 
cinacalcet 30 mg tablet, 80.67 
ciprofloxacin 0.3 % eye drops, 81.15 
ciprofloxacin 0.3 % eye ointment, 643.08 
ciprofloxacin 200 mg/100 mL in 5 % dextrose intravenous piggyback, 23.25 
ciprofloxacin 250 mg tablet, 4.38 
ciprofloxacin 400 mg/200 mL in 5 % dextrose intravenous piggyback, 30.83 
ciprofloxacin 500 mg tablet, 3.41 
ciprofloxacin 750 mg tablet, 10.58 
ciprofloxacin in D5W 200 mg/100 mL IV Piggy Back, 29.00 
cisatracurium 2 mg/mL intravenous solution, 44.70 
cisatracurium concentrate 10 mg/mL (ICU USE ONLY) intravenous solution, 852.13 
CISplatin 1 mg/mL intravenous solution, 113.73 
citalopram 10 mg tablet, 2.00 
citalopram 20 mg tablet, 2.52 
"CITRATE, URINE",$230.00 
CK MB,$66.00 
CL TX BIMALL ANKLE FX W MAN,$288.00 
CL TX CLAVICULAR FX WO MAN,$565.00 
"CL TX CMC DISL W M, EA",$242.00 
CL TX D PH FX FGR/THM WO MAN,$565.00 
CL TX ELBOW DISL W ANES,"$3,550.00 "
"CL TX FX GT, PHALX(S) WO MAN",$565.00 
CL TX FX PHAL/PHALANG W MAN,$625.00 
CL TX FX PHAL/PHALANG WO MAN,$565.00 
CL TX INTERPHAL JOINT W/MAN,$309.00 
CL TX IP JOINT DISL; WO ANESTH,$288.00 
"CL TX MC FX, SGL; W MAN",$311.00 
CL TX MCP DISL SGL W MAN,$311.00 
CL TX NURSEMAID ELBOW W MAN,$311.00 
CL TX OF DIST RAD FX/ES; WO MA,$565.00 
CL TX OF NASAL FX WO MAN,$565.00 
CL TX PAT DISL WO ANES,$311.00 
CL TX PHAL SHAFT FX; W MAN,$309.00 
CL TX PHAL SHAFT FX; WO MAN,$563.00 
CL TX POST HIP DISL WO ANES,$242.00 
CL TX PROX HUM FX W MAN,"$3,088.00 "
CL TX RAD FX W MAN,$892.00 
CL TX RAD&ULNA FX W MAN,$820.00 
CL TX RADIAL SHFT FX W MANIP,"$3,550.00 "
CL TX SHLDR DIS & FX GT W MAN,$892.00 
CL TX SHLDR DIS W MAN WO ANES,$309.00 
CL TX TMJ DISL INITIAL,$215.00 
CL TX TRIMALL ANK FX W MAN,$820.00 
clarithromycin 500 mg tablet, 6.59 
CLAVICLE,$124.00 
clindamycin 150 mg/mL injection solution, 10.90 
clindamycin 600 mg/50 mL in 5 % dextrose intravenous piggyback, 43.23 
clindamycin 75 mg/5 mL oral solution, 104.00 
clindamycin 900 mg/50 mL in 5 % dextrose intravenous piggyback, 51.46 
clindamycin HCl 150 mg capsule, 2.00 
clindamycin HCl 300 mg capsule, 2.16 
"CLL FISH, DNA PROBE, EACH",$103.00 
clonazePAM 0.5 mg tablet, 2.00 
clonazePAM 1 mg tablet, 2.09 
"cloNIDine (PF) 1,000 mcg/10 mL (100 mcg/mL) epidural solution", 30.25 
cloNIDine 0.1 mg/24 hr weekly transdermal patch, 82.86 
cloNIDine 0.2 mg/24 hr weekly transdermal patch, 139.41 
cloNIDine 0.3 mg/24 hr weekly transdermal patch, 193.40 
cloNIDine HCl 0.1 mg tablet, 2.00 
cloNIDine HCl 0.2 mg tablet, 2.00 
clopidogrel 300 mg tablet, 63.93 
clopidogrel 75 mg tablet, 9.61 
"CLOSE TEAR DUCT OPENING BY PLUG,EA",$365.00 
CLOSED SUCTION SYSTEM,$54.00 
CLOSURE DEVICE,$566.00 
"CLOSURE DEVICE, VASCUL (IMPLANTABLE/INSERTABLE)", 482.61 
CLOSURE WOUND DEHIS W/PACK,$586.00 
"CLOSURE WOUND DEHIS, SIMPLE",$840.00 
clotrimazole 1 % topical cream, 21.90 
clotrimazole 1 % vaginal cream, 25.04 
clotrimazole-betamethasone 1 %-0.05 % topical cream, 100.96 
cloZAPine 100 mg tablet, 2.00 
cloZAPine 25 mg tablet, 3.27 
CMV DNA DETECT/QUANT,$100.00 
CMV DNA QUALITATIVE BY PCR,$199.00 
"CMV DNA, RAPID PCR-QUAL UR/CSF",$199.00 
CMV GENOTYPE,"$1,070.00 "
CMV SCREEN,$82.00 
CO DIFFUSING CAPACITY,$159.00 
"coagulation factor IX (recomb) 1,000 unit intravenous kit"," 4,110.00 "
"coagulation factor IX 1,000 (+/-) unit intravenous solution"," 4,170.00 "
"coagulation factor IX 1,500 (+/-) unit intravenous solution"," 6,255.00 "
coagulation factor IX 500 (+/-) unit intravenous solution," 2,085.00 "
"coagulation factor VIIa recomb 1 mg (1,000 mcg) intravenous solution"," 6,480.00 "
"coagulation factor VIIa recomb 2 mg (2,000 mcg) intravenous solution"," 12,960.00 "
"coagulation factor VIIa recomb 5 mg (5,000 mcg) intravenous solution"," 32,400.00 "
"coagulation factor VIIa recomb 8 mg (8,000 mcg) intravenous solution"," 25,925.00 "
COAGULATION TIME ACTIVTD,$25.00 
cocaine 4 % topical solution, 557.80 
"COCAINE CONFIRM, UR",$67.00 
COCCIDIOIDES AB BY ID,$66.00 
COCHLEAR DEVICE," 39,026.72 "
CODE BLUE,$457.00 
codeine 10 mg-guaifenesin 100 mg/5 mL oral liquid, 2.00 
COENZYME Q10,$91.00 
"colchicine 0.6 mg tablet,colchicine 0.6 mg capsule", 18.34 
COLD AGGLUTININS TITER,$65.00 
colistin (colistimethate sodium) 150 mg solution for injection, 27.99 
collagenase clostridium histolyticum 250 unit/gram topical ointment, 645.83 
COLON AIR CONTRAST,$391.00 
COLON BARIUM ENEMA,$242.00 
COLON DX (INCL BRUSH/WASH),"$1,693.00 "
COLON W/BX SGL OR MLT-BITE/CLD,"$1,693.00 "
COLON W/CONTROL BLEED ANY METH,"$1,693.00 "
COLON W/DILAT BALLOON >1 STRIC,"$1,693.00 "
COLON W/REMOVAL BY HOT BX TECH,"$1,693.00 "
COLON W/REMOVAL BY SNARE TECH,"$1,693.00 "
COLON W/STENT PLACEMENT,"$6,566.00 "
COLON W/SUBMUC INJECT(S),"$1,693.00 "
COLONOSCOPY - AVERAGE RISK,"$1,693.00 "
COLONOSCOPY - HIGH RISK,"$1,693.00 "
"COLONSCOPY, DIAGNOSTIC(OSTOMY)","$1,693.00 "
COLORECTAL CANCER NGS PANEL,$719.00 
COMPATIBILITY ANTIGLOBULIN,$83.00 
COMPATIBILITY IMMEDIATE SPIN,$83.00 
COMPL CBC W/PLT W/AUTOM DIFF,$45.00 
COMPLEMENT (C-3),$69.00 
COMPLEMENT (C-4),$69.00 
"COMPLEMENT, TOTAL (CH-50)",$109.00 
COMPLETE 2D M MODE ECHO EXAM,$730.00 
"COMPLEX DRAINAGE, WOUND","$3,606.00 "
"COMPLIANCE DRUG SCREEN, URINE",$648.00 
COMPREHENSIVE METABOLIC PAN 14,$60.00 
conjugated estrogens 0.3 mg tablet, 16.07 
conjugated estrogens 0.625 mg tablet, 16.07 
conjugated estrogens 0.625 mg/gram vaginal cream," 1,067.33 "
conjugated estrogens 25 mg solution for injection, 890.40 
"CONNECTIVE TISSUE, HUMAN (FASCIA LATA)"," 3,269.57 "
"CONNECTIVE TISSUE, NON-HUMAN (SYNTHETIC)"," 2,148.61 "
CONSULT OUT. SLIDES W/MATERIAL,$88.00 
CONT AER MED OBSTR 1STH,$125.00 
CONT AER MED OBSTR ADDH,$125.00 
CONT BRACHIAL PLEXUS INF,"$1,767.00 "
CONT FEMORAL INF,"$3,866.00 "
"CONTRAST, CUSTOM KIT",$756.00 
COOMBS TEST-DIRECT,$31.00 
"COPPER, BLOOD",$71.00 
"COPPER, URINE",$71.00 
CORONARY ART ANGIO W/O LS&I,"$7,744.00 "
CORONARY ART/GRFT ANGIO S&I,"$7,744.00 "
CORTISOL,$93.00 
"CORTISOL, FREE",$94.00 
"CORTISOL, FREE, SERUM",$91.00 
"CORTISOL, SALIVA",$91.00 
"CORTISOL, URINARY FREE",$91.00 
cosyntropin 0.25 mg solution for injection, 266.98 
COXSACKIE A10 ANTIBODY,$74.00 
COXSACKIE A16 ANTIBODY,$74.00 
COXSACKIE A2 ANTIBODY,$74.00 
COXSACKIE A4 ANTIBODY,$74.00 
COXSACKIE A7 ANTIBODY,$74.00 
COXSACKIE A9 ANTIBODY,$74.00 
COXSACKIE B1 ANTIBODY,$74.00 
COXSACKIE B2 ANTIBODY,$74.00 
COXSACKIE B3 ANTIBODY,$74.00 
COXSACKIE B4 ANTIBODY,$74.00 
COXSACKIE B5 ANTIBODY,$74.00 
COXSACKIE B6 ANTIBODY,$74.00 
CPAP FULL FACE MASK W/VALVE,$101.00 
CPLX REP E/N/E/L 2.6-7.5CM,$826.00 
CPLX REP F/G/H/F 1-2.5CM,$530.00 
CPLX REP F/G/H/F 2.6-7.5CM,$776.00 
CPLX REP S/A/L 2.6-7.5CM,$584.00 
CPLX REP S/A/L EA ADD<5CM,$192.00 
"CPT MANUAL TX, INITIAL",$78.19 
"CPT MANUAL TX, SUBSEQUENT",$76.00 
"C-RBC AB SCRN, EA TECHNIQ",$53.00 
C-REACTIVE PROTEIN,$30.00 
"C-REACTIVE PROTEIN, HIGH SENS",$74.00 
CREATINE KINASE CK TOTAL,$37.00 
CREATININE - URINE,$30.00 
"CREATININE, OTHER SOURCE",$30.00 
CREATININE-BLOOD,$30.00 
CREATININE-CLEARANCE,$54.00 
CRICOTHYROIDOTOMY,"$1,209.00 "
CRITICAL CARE (30-74 MINUTES),"$1,286.00 "
CRITICAL CARE (EA ADDL 30MIN),$128.00 
"CRMP-5-IGG, S",$53.00 
CROSSOVER SHEATH,$178.00 
crotalidae polyval immune fab solution for injection," 9,360.00 "
CRRT DAILY ASSESSMENT,$874.00 
CRRT DAILY MAINTENANCE,$222.00 
"CRRT INITIAL SETUP, ADULT",$874.00 
CRRT RESTART,$874.00 
CRYOGLOBULIN,$37.00 
CRYPTCOCCAL ANTIGEN,$58.00 
CRYPTOSPORIDIUM AG BY EIA,$67.00 
"CRYSTAL EXAM, BODY FLUID",$4.00 
CT ABD & PELVIS W & WO CONTRAST,$922.00 
CT ABD / PELVIS WO CONTRAST,$535.00 
CT ABD PELVIS WITH CONTRAST,$827.00 
CT ABD W CONTRAST,$819.00 
CT ABDOMEN W/O CONTRAST,$539.00 
CT ABDOMEN W/WO CONTRAST,$920.00 
CT CERVICAL SPINE W/O CONTRAST,$539.00 
CT CHEST W/CONTRAST,$819.00 
CT CHEST W/O CONTRAST,$539.00 
CT CHEST W/WO CONTRAST,$941.00 
CT GUIDANCE FOR NEEDLE PLACEMENT,$692.00 
CT HEAD W/CONTRAST,$819.00 
CT HEAD W/O CONTRAST,$539.00 
CT HEAD W/WO CONTRAST,$920.00 
CT LOWER EXTREMITY W & WO CONTRAST,"$1,317.00 "
CT LOWER EXTREMITY W CONTRAST,$849.00 
CT LOWER EXTREMITY WO CONTRAST,"$1,078.00 "
CT LUMBAR SPINE W/CONTRAST,$819.00 
CT LUMBAR SPINE W/O CONTRAST,$539.00 
CT MAXILLOFACIAL W/CONTRAST,$849.00 
CT MAXILLOFACIAL W/O CONTRAST,$539.00 
CT MAXILLOFACIAL W/WO CONTRAS,$941.00 
"CT ORBIT,SELLA,EAR W/CONTRAST",$819.00 
"CT ORBIT,SELLA,EAR W/O CONTRA",$539.00 
"CT ORBIT,SELLA,EAR W/WO CONT",$920.00 
CT PELVIS W CONTRAST,$819.00 
CT PELVIS WO CONTRAST,$539.00 
CT SOFT TISSUE NECK W/CONTRAS,$819.00 
CT SOFT TISSUE NECK W/O CONTR,$539.00 
CT SOFT TISSUE NECK W/WO CONT,$920.00 
CT THORACIC SPINE W/O CONTRAST,$539.00 
CT UPPER EXTREMITY W CONTRAST,$819.00 
CT UPPER EXTREMITY WO CONTRAST,$539.00 
CTA ABD W BILAT LOW EXT RUNOFF,$939.00 
CTA ABD/PEL W/ AND W/O CONTRAS,"$1,026.00 "
CTA ABDOMEN CONTRAST,$939.00 
CTA CHEST W/ NON CORONARY,$939.00 
CTA HEAD CONTRAST,$939.00 
CTA LOWR EXTRMTY WO/W C,$939.00 
CTA NECK CONTRAST,$939.00 
CTA PELVIS W/ CONTRAST,$939.00 
CTA UP EXTREMITY WO/W C,$824.00 
"CULTURE CONCENTRATION, AFB",$38.00 
CULTURE TYPING-EACH ANTISERUM,$26.00 
"CULTURE, ANAEROBIC",$54.00 
"CULTURE, FUNGUS - BLOOD",$49.00 
"CULTURE, FUNGUS - OTHER SOURCE",$49.00 
"CULTURE, ROUTINE AEROBIC",$50.00 
"CULTURE, URINE COLONY COUNT",$47.00 
"CULTURE, VAP BAL",$27.00 
"CULTURE,FUNGUS-SKIN,HAIR,NAILS",$40.00 
"CUTANEOUS IF DIRECT, EACH AB -RL",$62.00 
"CUTANEOUS IF DIRECT, EACH ADD'L AB - RL",$62.00 
CYANIDE,$148.00 
"cyanocobalamin (vit B-12) 1,000 mcg tablet", 2.00 
"cyanocobalamin (vit B-12) 1,000 mcg/mL injection solution", 45.71 
cyanocobalamin (vit B-12) 100 mcg tablet, 2.00 
cyclobenzaprine 10 mg tablet, 2.14 
cyclobenzaprine 5 mg tablet, 4.19 
cyclopentolate 1 % eye drops, 39.92 
cyclopentolate 2 % eye drops, 89.15 
cyclopentolate-phenylephrine 0.2 %-1 % eye drops, 83.49 
cyclophosphamide 1 gram intravenous solution," 2,180.72 "
cyclophosphamide 50 mg capsule, 42.95 
cyclophosphamide 500 mg intravenous solution," 1,104.86 "
CYCLOSPORINE,$102.00 
cyclosporine modified 25 mg capsule, 3.44 
cyproheptadine 4 mg tablet, 2.67 
CYSTIC FIBROSIS MUTATION,$830.00 
CYSTO,"$1,327.00 "
CYSTO REM FB OR STENT,"$2,626.00 "
CYSTOGRAM MIN 3 VIEWS S&I,$474.00 
CYSTOURETHOROSCOPY W/REMOVAL OF CLOTS,"$7,092.00 "
cytarabine (PF) 2 gram/20 mL (100 mg/mL) injection solution, 89.00 
CYTO BRONCHIAL BRUSH,$61.00 
CYTOLOGY BRUSH,$63.00 
"CYTOLOGY EXAM, OTHER SPECIMEN",$61.00 
"CYTOLOGY THIN PREP, NON-GYN",$124.00 
CYTOMEGALOVIRUS IGG,$82.00 
CYTOMEGALOVIRUS IGM,$96.00 
CYTOSPIN,$61.00 
dabigatran etexilate 75 mg capsule, 20.03 
dacarbazine 200 mg intravenous solution, 71.62 
dantrolene 20 mg intravenous solution, 254.46 
dantrolene 25 mg capsule, 3.89 
dapsone 100 mg tablet, 2.05 
DAPTOmycin 500 mg intravenous solution," 1,336.43 "
daratumumab 20 mg/mL intravenous solution," 3,823.82 "
darunavir ethanolate 600 mg tablet, 79.03 
darunavir ethanolate 800 mg tablet, 118.55 
"D-DIMER, QUANT",$58.00 
DEBRIDE BONE W/OPEN FX,"$6,114.00 "
DEBRIDE INF SKIN <10% TBSA,"$1,284.00 "
DEBRIDE NAIL(S); 1-5,$153.00 
DEBRIDE NAIL(S); 6>,$153.00 
DEBRIDEMENT BONE 1ST 20 SQ CM OR LESS,"$3,545.00 "
DEBRIDEMENT MUSCLE FASCIA 1ST 20 SQ CM L,$487.00 
DEBRIDEMENT SUBCUTANEOUS 1ST 20 SQ CM LE,$521.00 
DECALCIFICATION,$61.00 
decitabine 50 mg intravenous solution," 2,879.00 "
