Description, Amount 
CEA,$179.00 
cefazolin 1 gram solution for injection, 25.19 
ceFAZolin 1 gram/50 mL in dextrose (iso-osmotic) intravenous piggyback, 44.70 
ceFAZolin 2 gram/50 mL in dextrose (iso-osmotic) intravenous piggyback, 49.66 
cefepime 1 gram solution for injection, 61.76 
cefepime 1 gram/50 mL in dextrose 5 % intravenous piggyback, 68.22 
"cefepime 1 gram/50 mL in dextrose 5 % intravenous piggyback,cefepime 1 gram solution for injection", 80.77 
cefepime 2 gram solution for injection, 58.80 
cefotaxime 1 gram Solution for Injection, 38.53 
cefotaxime 2 gram solution for injection, 21.00 
cefOXitin 1 gram intravenous solution, 45.00 
"cefOXitin 1 gram/50 mL in dextrose, iso-osmotic intravenous piggyback", 64.89 
cefoxitin 2 gram intravenous solution, 69.54 
cefOXitin 2 gram/50 mL in dextrose(iso-osmotic) intravenous piggyback, 103.24 
ceftaroline fosamil 600 mg intravenous solution, 755.89 
ceftazidime 1 gram solution for injection, 48.26 
ceftazidime 2 gram solution for injection, 65.63 
"CEFTRIAXONE 1 GRAM INJ SOLR,CEFTRIAXONE 1 GRAM/50 ML IN DEXTROSE (ISO-OSMOT) INTRAVENOUS PIGGYBACK,ceftriaxone 1 gram intravenous solution", 62.60 
cefTRIAXone 1 gram solution for injection, 31.50 
cefTRIAXone 1 gram/50 mL in dextrose (iso-osmot) intravenous piggyback, 67.72 
"CEFTRIAXONE 2 GRAM INJ SOLR,CEFTRIAXONE 2 G/50 ML D5W,ceftriaxone 2 gram intravenous solution", 54.13 
cefTRIAXone 2 gram solution for injection, 188.42 
cefTRIAXone 2 gram/50 mL in dextrose (iso-osm) intravenous piggyback, 95.57 
cefTRIAXone 250 mg solution for injection, 23.97 
cefTRIAXone 500 mg solution for injection, 29.00 
CEFTRIAZONE 1 GRAM INJ SOLR, 25.93 
CEFTRIAZONE 2 GRAM INJ SOLR, 28.83 
cefuroxime axetil 250 mg tablet, 15.40 
cefuroxime sodium 1.5 gram solution for injection, 37.90 
celecoxib 100 mg capsule, 16.17 
CELIAC GENOTYPE HLA-DQA1*05,$167.00 
CELIAC GENOTYPE HLA-DQB1*02,$167.00 
CELIAC GENTOYPE HLA-DQB1*03:02,$149.00 
CELL COUNT+DIFF-CSF,$110.00 
CENTRAL LINE INSERTION >5 YRS OLD,"$1,363.00 "
cephalexin 125 mg/5 mL oral suspension, 83.30 
cephalexin 250 mg capsule, 2.64 
CERULOPLASMIN,$128.00 
"CERVICAL COLLAR, 2 PIECE", 109.95 
cetirizine 1 mg/mL oral solution, 5.32 
cetirizine 5 mg tablet, 8.73 
cetirizine 5 mg/5 mL oral solution, 5.48 
CHANGE OF CYSTOSTOMY TUBE-SIMPLE,$569.00 
CHANGE TRACHEOSTOMY TUBE,$521.00 
CHEST TUBE INSERTION,$893.00 
CHLAMYDIA CULTURE,$236.00 
CHLAMYDIA T BY AMPLIFIED PROBE,$255.00 
chlordiazePOXIDE 25 mg capsule, 2.00 
chlordiazePOXIDE 5 mg capsule, 2.84 
chlordiazepoxide-clidinium 5 mg-2.5 mg capsule, 18.00 
chlorhexidine gluconate 0.12 % mouthwash, 19.76 
chlorhexidine gluconate 4 % topical liquid, 18.59 
"CHLORIDE, URINE",$96.00 
chlorophyll copper complex 100 mg tablet, 2.00 
chlorproMAZINE 10 mg tablet, 23.20 
chlorproMAZINE 100 mg tablet, 6.50 
chlorproMAZINE 25 mg tablet, 12.49 
chlorproMAZINE 25 mg/mL injection solution, 60.39 
chlorthalidone 25 mg tablet, 4.22 
CHOLANGIOGRAPHY INTRAOPERATIVE,$658.00 
"cholecalciferol (vitamin D3) 1,000 unit tablet", 2.00 
"cholecalciferol (vitamin D3) 400 unit tablet,cholecalciferol (vitamin D3) 400 unit capsule", 2.00 
CHOLESTEROL,$56.00 
cholestyramine-aspartame 4 gram oral powder for susp in a packet, 11.73 
CHOLETEC UP TO 15 MCI DX,$121.00 
chondroitin sulf-sodium hyaluronate 40 mg-17 mg/mL intraocular syringe, 880.08 
chondroitin-sod hyaluron 3 %-4 %(0.5 mL)1 %(0.55 mL)intraocular syring, 734.13 
CHROMIUM,$138.00 
CHROMOGRANIN A,$272.00 
cilostazol 100 mg tablet, 3.19 
cilostazol 50 mg tablet, 7.93 
cinacalcet 30 mg tablet, 112.94 
"ciprofloxacin 0.2 %-hydrocortisone 1 % ear drops,suspension", 25.03 
ciprofloxacin 0.3 % eye drops, 122.87 
ciprofloxacin 0.3 % eye ointment, 900.31 
"ciprofloxacin 0.3 %-dexamethasone 0.1 % ear drops,suspension", 918.17 
ciprofloxacin 200 mg/100 mL in 5 % dextrose intravenous piggyback, 70.10 
ciprofloxacin 250 mg tablet, 3.88 
ciprofloxacin 250 mg/5 mL oral suspension, 521.50 
ciprofloxacin 400 mg/200 mL in 5 % dextrose intravenous piggyback, 35.80 
ciprofloxacin 500 mg tablet, 4.50 
cisatracurium 2 mg/mL intravenous solution, 83.47 
citalopram 10 mg tablet, 5.28 
"CK ISOENZYMES (MB, MM, BB)",$226.00 
CK MB,$158.00 
"CK, TOTAL",$42.00 
CL TX BIMALL ANKLE FX W MAN,"$3,289.00 "
CL TX BIMALL ANKLE FX WO MAN,$600.00 
CL TX CALCANEAL FX WO MAN,$599.00 
CL TX CARP DISLOC W MANIP,"$1,140.00 "
CL TX CARP SCAPHOID FX WO MAN,$645.00 
CL TX CMC DISL THUMB W MAN,$645.00 
CL TX D PH FX FGR/THM W MAN,$713.00 
CL TX D PH FX FGR/THM WO MAN,$517.00 
CL TX DIST FIB FX W MANIP,$499.00 
CL TX DST FIB FX WO MAN,$599.00 
CL TX ELBOW DISL W ANES,"$6,195.00 "
CL TX FEM SHFT FX W MAN,"$4,050.00 "
CL TX FX PHAL/PHALANG W MAN,$599.00 
CL TX FX PHAL/PHALANG WO MAN,$599.00 
CL TX HUMERUS FX WO MANIP,$645.00 
CL TX INTERPHAL JOINT W/MAN,$517.00 
"CL TX MC FX, SGL; WO MAN EA BN",$555.00 
CL TX METATAR FX WO MAN,$645.00 
CL TX NURSEMAID ELBOW W MAN,$713.00 
CL TX OF DIST RAD FX/ES; WO MA,$713.00 
CL TX PAT DISL WO ANES,$517.00 
CL TX PHAL SHAFT FX; W MAN,$599.00 
CL TX PHAL SHAFT FX; WO MAN,$517.00 
CL TX PROX HUM FX WO MAN,$645.00 
"CL TX PROX TIBIAL FX, WO MANIP",$645.00 
CL TX PROX ULNAR FX WO MANIP,$645.00 
CL TX RAD FX W MAN,"$3,289.00 "
CL TX RAD HD/NECK FX WO MAN,$599.00 
CL TX RAD&ULNA FX W MAN,"$3,289.00 "
CL TX SHLDR DIS W MAN WO ANES,$517.00 
CL TX TIB SHFT FX W MANIP,"$4,050.00 "
CL TX TMJ DISL INITIAL,$215.00 
clarithromycin 250 mg tablet, 21.05 
clarithromycin 250 mg/5 mL oral suspension, 341.25 
CLAVICLE,$223.00 
clindamycin 150 mg/mL injection solution, 29.85 
clindamycin 300 mg/50 mL in 5 % dextrose intravenous piggyback, 53.48 
clindamycin 600 mg/50 mL in 5 % dextrose intravenous piggyback, 70.98 
clindamycin 900 mg/50 mL in 5 % dextrose intravenous piggyback, 95.39 
clindamycin HCl 150 mg capsule, 2.16 
CLOBAZAM (ONFI),$87.00 
clobetasol 0.05 % topical cream, 448.82 
clomiPRAMINE 25 mg capsule, 39.35 
clonazePAM 0.25 mg disintegrating tablet, 2.27 
clonazePAM 0.5 mg tablet, 2.82 
clonazePAM 1 mg tablet, 2.00 
cloNIDine 0.1 mg/24 hr weekly transdermal patch, 186.01 
cloNIDine 0.2 mg/24 hr weekly transdermal patch, 195.40 
cloNIDine 0.3 mg/24 hr weekly transdermal patch, 271.07 
cloNIDine HCl 0.1 mg tablet, 2.00 
cloNIDine HCl 0.3 mg tablet, 2.00 
CLONOPIN,$197.00 
clopidogrel 300 mg tablet, 97.45 
clopidogrel 75 mg tablet, 16.57 
clorazepate dipotassium 3.75 mg tablet, 7.11 
CLOSED RX KNEECAP DISLOC+ANESTH,$645.00 
CLOSED RX RADIAL SHAFT FX W/O MANLIPULATION,$645.00 
CLOSED SUCTION SYSTEM,$38.00 
CLOSURE DEVICE,$846.00 
CLOSURE DEVICE PROCEDURE,"$1,336.00 "
"CLOSURE DEVICE, VASCUL (IMPLANTABLE/INSERTABLE)", 550.50 
clotrimazole 1 % vaginal cream, 28.04 
clotrimazole 10 mg troche, 5.00 
clotrimazole-betamethasone 1 %-0.05 % topical cream, 119.70 
CLOZAPINE,$215.00 
cloZAPine 100 mg tablet, 2.00 
cloZAPine 25 mg tablet, 4.63 
CMV DNA DETECT/QUANT,$341.00 
CMV SCREEN,$64.00 
CO DIFFUSING CAPACITY,$296.00 
COAGULATION TIME ACTIVTD,$103.00 
COCHLEAR DEVICE," 44,517.17 "
CODE BLUE,$847.00 
codeine sulfate 30 mg tablet, 2.54 
COENZYME Q10,$132.00 
colchicine 0.6 mg Tab, 28.47 
"colchicine 0.6 mg tablet,colchicine 0.6 mg capsule", 26.03 
colesevelam 625 mg tablet, 14.57 
collagenase clostridium histolyticum 250 unit/gram topical ointment, 904.16 
COLLECT BLOOD SPEC IMP VEN ACC,$274.00 
COLON BARIUM ENEMA,$472.00 
COLON DX (INCL BRUSH/WASH),"$2,300.00 "
COLON W/BX SGL OR MLT-BITE/CLD,"$2,300.00 "
COLON W/CONTROL BLEED ANY METH,"$2,300.00 "
COLON W/REMOVAL BY HOT BX TECH,"$2,300.00 "
COLON W/REMOVAL BY SNARE TECH,"$2,300.00 "
COLON W/SUBMUC INJECT(S),"$2,300.00 "
COLONOSCOPY - AVERAGE RISK,"$2,300.00 "
COLONOSCOPY - HIGH RISK,"$2,300.00 "
"COLONSCOPY, DIAGNOSTIC(OSTOMY)","$2,130.00 "
COMPATIBILITY ANTIGLOBULIN,$227.00 
COMPATIBILITY IMMEDIATE SPIN,$140.00 
COMPL CBC W/PLT W/AUTOM DIFF,$116.00 
COMPLEMENT (C-3),$156.00 
COMPLEMENT (C-4),$156.00 
"COMPLEMENT, TOTAL (CH-50)",$179.00 
COMPLETE 2D M MODE ECHO EXAM,$938.00 
"COMPLIANCE DRUG SCREEN, URINE",$369.00 
COMPREHENSIVE METABOLIC PAN 14,$312.00 
conjugated estrogens 0.3 mg tablet, 22.49 
conjugated estrogens 0.625 mg tablet, 22.49 
conjugated estrogens 0.625 mg/gram vaginal cream," 1,494.26 "
"CONNECTIVE TISSUE, HUMAN (FASCIA LATA)"," 3,620.17 "
"CONNECTIVE TISSUE, NON-HUMAN (SYNTHETIC)"," 2,450.89 "
CONT AER MED OBSTR 1STH,$72.00 
CONT AER MED OBSTR ADDH,$72.00 
"CONTRAST, CUSTOM KIT",$171.00 
COOMBS TEST-DIRECT,$71.00 
"COPPER, BLOOD",$86.00 
"COPPER, URINE",$111.00 
CORONARY ART ANGIO W/O LS&I,"$3,695.00 "
CORONARY ART/GRFT ANGIO S&I,"$4,698.00 "
CORTISOL,$155.00 
"CORTISOL, FREE, SERUM",$135.00 
"CORTISOL, SALIVA",$124.00 
"CORTISOL, URINARY FREE",$192.00 
COXSACKIE A10 ANTIBODY,$228.00 
COXSACKIE A16 ANTIBODY,$228.00 
COXSACKIE A2 ANTIBODY,$228.00 
COXSACKIE A4 ANTIBODY,$228.00 
COXSACKIE A7 ANTIBODY,$228.00 
COXSACKIE A9 ANTIBODY,$228.00 
COXSACKIE B1 ANTIBODY,$228.00 
COXSACKIE B2 ANTIBODY,$228.00 
COXSACKIE B3 ANTIBODY,$228.00 
COXSACKIE B4 ANTIBODY,$228.00 
COXSACKIE B5 ANTIBODY,$228.00 
COXSACKIE B6 ANTIBODY,$228.00 
CPAP FULL FACE MASK W/VALVE,$120.00 
CPLX REP F/G/H/F 2.6-7.5CM,"$1,284.00 "
CPLX REP S/A/L 2.6-7.5CM,"$1,286.00 "
"CPT MANUAL TX, INITIAL",$135.00 
"CPT MANUAL TX, SUBSEQUENT",$116.00 
"C-RBC AB SCRN, EA TECHNIQ",$115.00 
C-REACTIVE PROTEIN,$92.00 
"C-REACTIVE PROTEIN, HIGH SENS",$149.00 
CREATINE KINASE CK TOTAL,$108.00 
CREATININE - URINE,$97.00 
"CREATININE, OTHER SOURCE",$54.00 
CREATININE-BLOOD,$66.00 
CREATININE-CLEARANCE,$117.00 
CRITICAL CARE (30-74 MINUTES),"$1,789.00 "
CRITICAL CARE (EA ADDL 30MIN),"$1,789.00 "
"CRMP-5-IGG, S",$53.00 
CROSSOVER SHEATH,$301.00 
crotalidae polyval immune fab solution for injection," 13,123.00 "
CRYOGLOBULIN,$115.00 
CRYPTCOCCAL ANTIGEN,$318.00 
CRYPTOSPORIDIUM AG BY EIA,$90.00 
"CRYSTAL EXAM, BODY FLUID",$167.00 
CT ABD & PELVIS W & WO CONTRAST,"$2,275.00 "
CT ABD / PELVIS WO CONTRAST,"$1,564.00 "
CT ABD PELVIS WITH CONTRAST,"$1,736.00 "
CT ABD W CONTRAST,"$1,651.00 "
CT ABDOMEN W/O CONTRAST,"$1,583.00 "
CT ABDOMEN W/WO CONTRAST,"$2,275.00 "
CT CERVICAL SPINE W/CONTRAST,"$1,915.00 "
CT CERVICAL SPINE W/O CONTRAST,"$1,781.00 "
CT CERVICAL SPINE W/WO CONTRA,"$2,085.00 "
CT CHEST LUNG SCREENING; LOW DOSE,$99.00 
CT CHEST W/CONTRAST,"$1,749.00 "
CT CHEST W/O CONTRAST,"$1,641.00 "
CT CHEST W/WO CONTRAST,"$2,026.00 "
CT HEAD W/CONTRAST,"$1,670.00 "
CT HEAD W/O CONTRAST,"$1,428.00 "
CT HEAD W/WO CONTRAST,"$1,885.00 "
CT LOWER EXTREMITY W & WO CONTRAST,"$2,006.00 "
CT LOWER EXTREMITY W CONTRAST,"$1,561.00 "
CT LOWER EXTREMITY WO CONTRAST,"$1,577.00 "
CT LUMBAR SPINE W/CONTRAST,"$2,194.00 "
CT LUMBAR SPINE W/O CONTRAST,"$1,641.00 "
CT LUMBAR SPINE W/WO CONTRAST,"$2,373.00 "
CT MAXILLOFACIAL W/CONTRAST,"$2,006.00 "
CT MAXILLOFACIAL W/O CONTRAST,"$2,086.00 "
CT MAXILLOFACIAL W/WO CONTRAS,"$1,935.00 "
"CT ORBIT,SELLA,EAR W/CONTRAST","$1,722.00 "
"CT ORBIT,SELLA,EAR W/O CONTRA","$1,518.00 "
CT PELVIS W CONTRAST,"$1,754.00 "
CT PELVIS W/WO CONTRAST,"$1,853.00 "
CT PELVIS WO CONTRAST,"$1,631.00 "
CT SOFT TISSUE NECK W/CONTRAS,"$1,751.00 "
CT SOFT TISSUE NECK W/O CONTR,"$1,473.00 "
CT SOFT TISSUE NECK W/WO CONT,"$1,892.00 "
CT THORACIC SPINE W/O CONTRAST,"$1,966.00 "
CT UPPER EXTREMITY W CONTRAST,"$1,924.00 "
CT UPPER EXTREMITY W/WO CONTRAST,"$1,924.00 "
CT UPPER EXTREMITY WO CONTRAST,"$1,605.00 "
CTA ABD W BILAT LOW EXT RUNOFF,"$2,391.00 "
CTA ABD/PEL W/ AND W/O CONTRAS,"$3,395.00 "
CTA ABDOMEN CONTRAST,"$1,825.00 "
CTA CHEST W/ NON CORONARY,"$2,475.00 "
CTA HEAD CONTRAST,"$2,378.00 "
CTA LOWR EXTRMTY WO/W C,"$1,668.00 "
CTA NECK CONTRAST,"$2,214.00 "
CTA UP EXTREMITY WO/W C,"$1,668.00 "
CU INDEX-CELL FUNCT ASY W/STIM,$253.00 
"CU INDEX-MICROSOMAL AB, EACH",$104.00 
CU INDEX-THYROGLOBULIN AB,$43.00 
CU INDEX-TSH ASSAY,$178.00 
"CULTURE CONCENTRATION, AFB",$49.00 
CULTURE TYPING-EACH ANTISERUM,$45.00 
"CULTURE, ANAEROBIC",$102.00 
"CULTURE, FUNGUS - OTHER SOURCE",$155.00 
"CULTURE, ROUTINE AEROBIC",$157.00 
"CULTURE, URINE COLONY COUNT",$136.00 
"CULTURE,FUNGUS-SKIN,HAIR,NAILS",$67.00 
"cyanocobalamin (vit B-12) 1,000 mcg/mL injection solution", 48.81 
cyanocobalamin (vit B-12) 100 mcg tablet, 2.00 
cyanocobalamin (vit B-12) 250 mcg tablet, 2.00 
"cyanocobalamin (vit B-12) 500 mcg disintegrating tablet,sublingual", 2.00 
cyanocobalamin (vit B-12) 500 mcg tablet, 2.00 
cyanocobalamin 2 mg-levomefolate cal 1.13 mg-pyridoxine 25 mg tablet, 4.50 
cyclobenzaprine 10 mg tablet, 2.70 
cyclobenzaprine 5 mg tablet, 4.35 
cyclopentolate 1 % eye drops, 54.43 
cyclopentolate 2 % eye drops, 137.05 
CYCLOSPORINE,$250.00 
cyproheptadine 2 mg/5 mL syrup, 2.00 
cyproheptadine 4 mg tablet, 3.73 
CYSTATIN C,$195.00 
CYSTIC FIBROSIS MUTATION,$395.00 
CYSTOGRAM MIN 3 VIEWS S&I,$420.00 
"CYTOLOGY THIN PREP, NON-GYN",$101.00 
CYTOMEGALOVIRUS IGG,$167.00 
CYTOMEGALOVIRUS IGM,$115.00 
dabigatran etexilate 75 mg capsule, 28.04 
dantrolene 25 mg capsule, 6.78 
dapsone 25 mg tablet, 7.70 
DAPTOmycin 500 mg intravenous solution," 1,890.06 "
"darifenacin ER 7.5 mg tablet,extended release 24 hr", 46.03 
"D-DIMER, QUANT",$151.00 
DEBRIDEMENT SUBCUTANEOUS 1ST 20 SQ CM LE,$878.00 
DECALCIFICATION,$76.00 
DECLOT THROM AGT VASC ACC DEVI,$985.00 
deferoxamine 500 mg solution for injection, 58.52 
"DERMAL TISSUE STRATTICE, PER SQ CM"," 23,203.17 "
desmopressin 0.2 mg tablet, 3.34 
desmopressin 10 mcg/spray (0.1 mL) nasal spray (non-refrigerated), 827.40 
desmopressin 4 mcg/mL injection solution, 62.18 
desonide 0.05 % topical cream, 281.03 
desoximetasone 0.25 % topical cream, 203.96 
desoximetasone 0.25 % topical ointment, 371.86 
DESTRUCT OTHER PERIPH NERVE,"$1,095.00 "
"desvenlafaxine succinate ER 25 mg tablet,extended release 24 hr", 53.44 
"desvenlafaxine succinate ER 50 mg tablet,extended release 24 hr", 53.44 
"DEVICE, IMPLANTABLE/INSERTABLE,DEVICE INTENSIVE PX, NOC"," 7,925.00 "
DEXA BONE DENSITY APPEN SKEL,$96.00 
DEXA BONE DENSITY SPINE/HIP,$168.00 
dexamethasone 0.5 mg tablet, 2.00 
dexamethasone 0.5 mg/5 mL oral elixir, 123.34 
dexamethasone 10 mg/mL injection solution, 29.00 
dexamethasone 4 mg tablet, 4.22 
dexamethasone 4 mg/mL injection solution, 29.00 
dexamethasone sodium phosphate (PF) 10 mg/mL injection solution, 41.05 
dexmedetomidine 100 mcg/mL intravenous solution, 299.90 
dexmedetomidine 200 mcg/50 mL (4 mcg/mL) in 0.9 % sodium chloride IV, 213.08 
dexmedetomidine 400 mcg/100 mL (4 mcg/mL) in 0.9 % sodium chloride IV, 371.80 
dexmedetomidine 400 mcg/100 mL (4 mcg/mL) in 0.9% Na, 371.80 
dextromethorphan HBr 7.5 mg/5 mL syrup, 2.00 
dextromethorphan-guaifenesin 10 mg-100 mg/5 mL oral liquid, 2.17 
dextromethorphan-guaifenesin 10 mg-100 mg/5 mL syrup, 6.92 
dextromethorphan-guaifenesin 30 mg-600 mg tablet extended release12 hr, 2.00 
dextrose 10 % in water (D10W) intravenous solution, 36.92 
dextrose 25 % in water (D25W) intravenous syringe, 54.11 
dextrose 40 % oral gel, 13.78 
dextrose 5 % and 0.45 % sodium chloride intravenous solution, 38.25 
dextrose 5 % and 0.9 % sodium chloride intravenous solution, 36.50 
dextrose 5 % and lactated ringers intravenous solution, 34.50 
dextrose 5 % in water (D5W) intravenous piggyback, 20.92 
dextrose 5 % in water (D5W) intravenous solution, 30.44 
dextrose 50 % in water (D50W) intravenous solution, 71.50 
dextrose 50 % in water (D50W) intravenous syringe, 36.02 
"dextrose 50% in water (D50W) IV,dextrose 50% in water (D50W) IV syringe", 53.04 
dextrose 70 % in water (D70W) intravenous solution, 89.00 
DHEA,$172.00 
DHEA-S,$236.00 
DIAG DIGITAL BREAST TOMOSYNTHESIS; BILAT,$70.00 
DIAG DIGITAL BREAST TOMOSYNTHESIS; UNILAT,$70.00 
DIAGNOSTIC CATH 125 CM,$90.00 
DIAGNOSTIC CATHETER,$144.00 
DIAMOND BACK WIRE,$423.00 
DIAMONDBACK CATH,"$15,115.00 "
diatrizoate meglumine 18 % urethral solution, 135.45 
diatrizoate meglumine-diatrizoate sodium 66 %-10 % oral solution, 279.30 
DIAZEPAM,$197.00 
diazePAM 10 mg tablet, 2.00 
diazePAM 2 mg tablet, 2.00 
diazePAM 5 mg tablet, 2.00 
"diazePAM 5 mg/5 mL (1 mg/mL, 5 mL) oral solution", 3.22 
diazePAM 5 mg/mL injection syringe, 41.97 
diclofenac 0.1 % eye drops, 156.70 
diclofenac 1 % topical gel, 209.30 
"diclofenac sodium 25 mg tablet,delayed release", 4.98 
dicloxacillin 250 mg capsule, 2.31 
dicyclomine 10 mg capsule, 2.09 
dicyclomine 10 mg/5 mL oral solution, 5.25 
dicyclomine 10 mg/mL intramuscular solution, 355.55 
"didanosine 200 mg capsule,delayed release", 13.51 
"DIFFERENTIAL, MANUAL",$74.00 
DIGOXIN,$159.00 
digoxin 125 mcg tablet, 5.66 
digoxin 250 mcg/mL injection solution, 29.00 
dihydroergotamine 1 mg/mL injection solution, 281.05 
"DILATION, ESOPHAGUS, UNGUIDED SOUND/BOUGIE, ONE/MULTI PASS","$2,230.00 "
diltiazem 125 mg/125 mL (1 mg/mL) in dextrose 5 % IV, 86.08 
dilTIAZem 30 mg tablet, 2.00 
diltiazem 5 mg/mL intravenous solution, 100.56 
dilTIAZem 5 mg/mL intravenous solution, 29.00 
dilTIAZem 90 mg tablet, 2.17 
"dilTIAZem CD 120 mg capsule,extended release 24 hr", 4.72 
"dilTIAZem CD 180 mg capsule,extended release 24 hr", 2.00 
"dilTIAZem CD 300 mg capsule,extended release 24 hr", 3.75 
"dilTIAZem ER (XR/XT) 120 mg capsule,extended release 24 hr, controlled", 3.98 
"dilTIAZem ER 90 mg capsule,extended release 12 hr", 8.46 
diphenhydrAMINE 12.5 mg/5 mL oral elixir, 6.75 
diphenhydrAMINE 25 mg capsule, 2.00 
diphenhydrAMINE 50 mg/mL injection solution, 29.00 
diphenhydramine-zinc acetate 1 %-0.1 % topical cream, 13.27 
diphenhydramine-zinc acetate 2 %-0.1 % topical cream, 14.01 
diphenoxylate-atropine 2.5 mg-0.025 mg tablet, 3.06 
"diphth,pertus(ac)tetanus(PF)2 Lf-(2.5-5-3-5mcg)-5 Lf/0.5 mL IM syringe", 195.36 
"diphth,pertus(acel)tetanus vac(PF) 2 Lf-(5-3-5mcg)-5 Lf/0.5 mL IM susp,diphth,pertus(ac)tetanus(PF)2 Lf-(2.5-5-3-5mcg)-5 Lf/0.5 mL IM syringe", 176.36 
"diphth,pertus(acel)tetanus(PF)2Lf-(2.5-5-3-5mcg)-5 Lf/0.5 mL IM susp", 176.36 
"diphth,pertussis(acel),tetanus 2.5 Lf unit-8 mcg-5 Lf/0.5mL IM syringe,diphth,pertussis(acell),tetanus 2.5 Lf unit-8 mcg-5 Lf/0.5 mL IM susp", 158.76 
"diphth,pertussis(acell),tetanus 2.5 Lf unit-8 mcg-5 Lf/0.5 mL IM susp", 177.76 
DIPHTHERIA TOXOID IGG ANTIBODY,$92.00 
dipyridamole 25 mg tablet, 3.71 
DIRECT ADMIT FOR HOSPITAL OBSERVATION,$229.00 
"DIRECT PREP, PARASITES",$67.00 
disulfiram 250 mg tablet, 14.14 
"divalproex 125 mg capsule,delayed release sprinkle", 4.97 
"divalproex 125 mg tablet,delayed release", 3.10 
"divalproex 250 mg tablet,delayed release", 2.43 
"divalproex 500 mg tablet,delayed release", 2.41 
"divalproex ER 250 mg tablet,extended release 24 hr", 8.21 
"divalproex ER 500 mg tablet,extended release 24 hr", 6.36 
"DOBUTamine 1,000 mg/250 mL(4,000 mcg/mL) in 5 % dextrose IV", 124.00 
DOBUTamine 250 mg/20 mL (12.5 mg/mL) intravenous solution, 42.31 
"DOBUTamine 500 mg/250 mL (2,000 mcg/mL) in 5 % dextrose IV", 165.13 
dobutamine in D5W 250 mg/250 mL (1 mg/mL) IV, 53.13 
"dobutamine in D5W 500 mg/250 mL (2,000 mcg/mL) IV", 165.13 
docusate calcium 240 mg capsule, 2.00 
docusate sodium 100 mg capsule, 2.00 
docusate sodium 50 mg/5 mL oral liquid, 2.45 
dolutegravir 50 mg tablet, 232.06 
donepezil 5 mg tablet, 16.15 
DOPamine 400 mg/10 mL (40 mg/mL) intravenous solution, 29.00 
"DOPamine 400 mg/250 mL (1,600 mcg/mL) in 5 % dextrose intravenous soln", 71.50 
"dopamine in D5W 400 mg/250 mL (1,600 mcg/mL) IV", 69.75 
DOPPLER ECHO COLOR FLOW,$514.00 
"DOPPLER ECHO, COMPLETE",$596.00 
"DOPPLER ECHO,F/UP/LIMITED",$215.00 
dorzolamide 2 % eye drops, 160.62 
dorzolamide 22.3 mg-timolol 6.8 mg/mL eye drops, 236.22 
doxazosin 1 mg tablet, 13.18 
doxazosin 4 mg tablet, 3.45 
doxepin 10 mg capsule, 2.22 
doxepin 25 mg capsule, 2.95 
doxycycline hyclate 100 mg capsule, 25.11 
doxycycline hyclate 100 mg intravenous powder, 127.47 
doxycycline hyclate 100 mg intravenous powder for solution, 101.59 
doxycycline hyclate 100 mg tablet, 2.52 
doxycycline hyclate 50 mg capsule, 5.04 
doxycycline monohydrate 100 mg tablet, 11.34 
doxycycline monohydrate 50 mg capsule, 5.08 
DPYD FULL GENE SEQUENCING,$800.00 
DRAIN ABCESS OF PALATE UVULA,$536.00 
DRAIN ABS/CYST DENTAL,$273.00 
DRAIN EXT EAR LESION SIMP,$685.00 
DRAIN GLAND ABSCESS,$422.00 
"DRAIN HEMATOMA,SEROMA OR FLUID COLL","$3,709.00 "
DRAIN/ASP/INJECT INTERMED JOINT/BURSA W/US GUIDANCE,"$1,630.00 "
"DRAINAGE FINGER ABSCESS, COMP","$2,826.00 "
"DRAINAGE FINGER ABSCESS, SIMP",$684.00 
DRAINAGE SCROTAL WALL ABSCESS,"$3,710.00 "
dronabinol 2.5 mg capsule, 18.56 
dronedarone 400 mg tablet, 44.15 
"DRUG ABUSE SCREEN, BLOOD",$369.00 
"DRUG ABUSE SCREEN, URINE",$227.00 
"DRUG SCREEN, PRESC/OTC, UR",$71.00 
DRVVT,$123.00 
D-STAT RADIAL,$219.00 
D-STAT SILVER,$219.00 
"DULoxetine 20 mg capsule,delayed release", 27.20 
"DULoxetine 30 mg capsule,delayed release", 14.57 
DUPLEX ARTERIAL FLOW; COMP-ABD,"$1,259.00 "
DUPLEX HEMODIALYSIS ACCESS,$593.00 
DUPLEX LE ART/BPG; BILAT,$987.00 
DUPLEX LE ARTI/BPG; UNIL-,$632.00 
DUPLEX UE ART/BPG; BILAT,$987.00 
DUPLEX UE ART/BPG; UNIL-,$532.00 
dutasteride 0.5 mg capsule, 26.93 
DXA BONE DENSITY STUDY,$343.00 
E.COLI SHIGA TOXIN #1,$111.00 
E.COLI SHIGA TOXIN #2,$111.00 
EAST EQUINE ENCEPH IGG AB,$123.00 
EAST EQUINE ENCEPH IGM AB,$46.00 
"EB VIRUS, EARLY ANTIGEN",$282.00 
"EB VIRUS, NUCLEAR ANTIGEN",$109.00 
"EB VIRUS, VCA IGG",$126.00 
"EB VIRUS, VCA IGM",$146.00 
EBV BY ISH,$258.00 
EBV DNA QUANT BY PCR,$645.00 
EBV IGG,$146.00 
EBV-IGM,$146.00 
ECHO W/SPECT & COLOR DOPPLER,"$1,250.00 "
