Item Description, Price 
CRNA PRO ANES M GENITALIA SURG NOS, $7.00 
CRNA PRO ANES MOUTH NOS, $13.00 
CRNA PRO ANES NK VESSEL SURG SIMP LIG, $7.00 
CRNA PRO ANES NOSE/SINUS SURGERY NOS, $13.00 
CRNA PRO ANES O ELBOW ARTHROSCOPY NOS, $13.00 
CRNA PRO ANES PT EXT AGE ER COND COMP, $7.00 
CRNA PRO ANES REMOVAL OF PROSTATE RESECT, $13.00 
CRNA PRO ANES REP OF HERNIA V&A LOW, $17.00 
CRNA PRO ANES REPAIR OF HERNIA L&VENTRAL, $19.00 
CRNA PRO ANES REPLACE WRIST, $16.00 
CRNA PRO ANES SHLDER ARTHROSCOPIC DIAG, $13.00 
CRNA PRO ANES SHOCK WAVE, $12.00 
CRNA PRO ANES SHOULD/AXILLA  NOS, $10.00 
CRNA PRO ANES SHOULDER OPEN SURG, $13.00 
CRNA PRO ANES SURG LOW ABD NOS, $17.00 
CRNA PRO ANES SURGERY OF SHOULDER CLOSED, $13.00 
CRNA PRO ANES TESTIS SUSPENSION M, $13.00 
CRNA PRO ANES TYMPANOTOMY EAR, $13.00 
CRNA PRO ANES UNLISTED PROC, $13.00 
CRNA PRO ANES UP ABD NOS, $19.00 
CRNA PRO ANES UP ARM &FA/WR/HND SURG LOW, $7.00 
CRNA PRO ANES UP HER REP NOS, $13.00 
CRNA PRO ANES UPPER KNEE, $13.00 
CRNA PRO ANES UPPER LEG, $12.00 
CRNA PRO ANES VAGINAL SURG NOS, $14.00 
CRNA PRO ANES WRIST DIAG ARTHROSCOPIC, $8.00 
CRNA TECH ANES ABD ANT UP WALL SURG NOS, $17.00 
CRNA TECH ANES ABD SURGERY LOW NOS, $24.00 
CRNA TECH ANES ABD WALL LOWER, $16.00 
CRNA TECH ANES ABDOMINAL WALL LOW POST, $20.00 
CRNA TECH ANES ACHILLE/TNDN REP SURG NOS, $19.00 
CRNA TECH ANES ANORECTAL EYE/LENS SURG, $19.00 
CRNA TECH ANES BLADDER SURG NOS TRANSUR, $13.00 
CRNA TECH ANES BLADDER TUMOR RESECTION, $19.00 
CRNA TECH ANES BONES LOWER LEG SURG NOS, $13.00 
CRNA TECH ANES CLAVICLE NOS PROC, $19.00 
CRNA TECH ANES DIS HND/ULNA/WR O RADIUS, $13.00 
CRNA TECH ANES DX SHOULD/AXILLA NOS, $17.00 
CRNA TECH ANES DX UP ARM&ELB ARTHR NOS, $12.00 
CRNA TECH ANES EAR SURGERY NOS, $21.00 
CRNA TECH ANES ELB TO SHOULDER OPEN SUR, $19.00 
CRNA TECH ANES EYE LENS SURG, $19.00 
CRNA TECH ANES EYE LENS SURGERY, $19.00 
CRNA TECH ANES EYE SURGERY NOS, $20.00 
CRNA TECH ANES FA/WR/HND&LOW SURG, $13.00 
CRNA TECH ANES GENIT/M SURG NOS, $13.00 
CRNA TECH ANES HD/NECK&TRUNK POST NOS, $19.00 
CRNA TECH ANES HERNIA REPAIR LOWER NOS, $19.00 
CRNA TECH ANES HERNIA UP REPAIR NOS, $19.00 
CRNA TECH ANES KNEE ARTHROPLASTY, $21.00 
CRNA TECH ANES KNEE ARTHROSCOPY, $21.00 
CRNA TECH ANES KNEE JT NOS, $19.00 
CRNA TECH ANES KNEE OPEN, $21.00 
CRNA TECH ANES LOW LEG ARTHRO NOS, $13.00 
CRNA TECH ANES LOWER ABD NOS, $25.00 
CRNA TECH ANES LOWER ARM CLOSED PROC, $13.00 
CRNA TECH ANES LOWER LEG, $19.00 
CRNA TECH ANES LOWER LEG BONE SURG OST, $19.00 
CRNA TECH ANES MOUTH NOS, $19.00 
CRNA TECH ANES NK VESSEL SURG SIMP LIG, $13.00 
CRNA TECH ANES NOSE/SINUS SURGERY NOS, $21.00 
CRNA TECH ANES O ELBOW ARTHROSCOPY NOS, $19.00 
CRNA TECH ANES REMOVAL OF PROSTATE RESEC, $19.00 
CRNA TECH ANES REP OF HERNIA L&VENTRAL, $25.00 
CRNA TECH ANES REP OF HERNIA V&A, $24.00 
CRNA TECH ANES REPLACE WRIST, $23.00 
CRNA TECH ANES SHLDER ARTHROSCOPIC DIAG, $19.00 
CRNA TECH ANES SHOCK WAVE, $19.00 
CRNA TECH ANES SHOULDER OPEN SUR, $19.00 
CRNA TECH ANES SHOULDER SURGERY CLOSED, $19.00 
CRNA TECH ANES SKIN EXT/PER/ATRUNK NOS, $13.00 
CRNA TECH ANES TYMPANOSTOMY EAR, $19.00 
CRNA TECH ANES UNLISTED PROC, $19.00 
CRNA TECH ANES UP ABD NOS, $32.00 
CRNA TECH ANES VAGINAL SURG NOS, $16.00 
CRNA TECH ANESTH TESTIS SUSPENSION M, $19.00 
CRP - HIGH SENSITIVITY, $94.00 
CRP (C-REACTIVE PROTEIN), $63.00 
CRYOGLOBULIN, $86.00 
"CRYPTOSPORIDIUM AG BY IFA, STOOL", $55.00 
"CRYPTOSPORIDIUM AG EIA, STOOL", $88.00 
CSF CELL COUNT, $126.00 
CT ABD W/O CONTRAST," $1,614.00 "
CT ABD WITH CONTRAST- PER PROTOCOL," $2,078.00 "
CT ABD WO/W BY CONTR FOLLWD- PER PROTOC," $2,241.00 "
CT ABD/PEL WO/W BY CONTR FOLLWD 1-2 BD R," $4,477.00 "
CT ABD/PELVIS W/O CONTRAST -PER PROTOCOL," $2,864.00 "
CT ABD/PELVIS WITH CONTRAST -PER PROTOCO," $3,391.00 "
CT ANGIO ABD W/O & W/DYE NONCONTRAST MAT," $2,711.00 "
CT ANGIOGRAPH PELV W/O&W/DYE- PER PROTOC," $2,635.00 "
CT CHEST W CONTRAST -PER PROTOCOL," $2,073.00 "
CT CHEST WO CONTRAST -PER PROTOCOL," $1,700.00 "
CT CHEST WO/W BY CONTR FOLLWD- PER PROTO," $2,295.00 "
CT CTA CHEST," $2,851.00 "
CT HEAD WITH CONTRAST- PER PROTOCOL," $1,824.00 "
CT HEAD WO CONTRAST -PER PROTOCOL," $1,580.00 "
CT HEAD WO/W BY CONTR FOLLWD- PER PROTOC," $2,067.00 "
CT LOW EXT COMB LT," $1,467.00 "
CT LOW EXT COMB RT," $1,467.00 "
CT LOW EXT W/LT CONTR- PER PROTOCOL," $2,148.00 "
CT LOW EXT W/O LT CONTRAST- PER PROTOCOL," $1,673.00 "
CT LOW EXT W/O RT CONTRAST- PER PROTOCOL," $1,673.00 "
CT LOW EXT W/RT CONTR- PER PROTOCOL," $2,148.00 "
CT MAXILLOFACIAL COMB," $1,092.00 "
CT MAXILLOFACIAL W- PER PROTOCOL," $1,776.00 "
CT MAXILLOFACIAL W/O CONTRAST -PER PROT," $1,321.00 "
CT NECK W/O CONTR SOFT TISSUE- PER PROTO," $1,429.00 "
"CT NECK WITH CONTR, SOFT TISSUE -PER PRO"," $1,911.00 "
CT NECK WO/W BY CONTR FOLLWD SOFT TISSUE," $1,905.00 "
CT ORBIT SELLA MID/INNER EAR W/WO CONTR," $1,975.00 "
CT ORBIT SELLA MID/INNER EAR WO CONTR," $1,424.00 "
CT PELVIS W/O CONTRAST- PER PROTOCOL," $1,607.00 "
CT PELVIS WITH CONTRAST- PER PROTOCOL," $1,911.00 "
CT PELVIS WO/W BY CONTR FOLLWD- PER PROT," $2,175.00 "
CT RECONSTRUCTION, $288.00 
CT SPINE CERVICAL WO CONTR -PER PROTOCOL," $2,033.00 "
CT SPINE LUMBAR WO CONTR -PER PROTOCOL," $1,705.00 "
CT SPINE THORAC WO CONTR- PER PROTOCOL," $1,705.00 "
CT UP EXT COMB LT," $1,467.00 "
CT UP EXT COMB RT," $1,467.00 "
CT UPPER EXT W  LT CONTRAST- PER PROTOCO," $1,948.00 "
CT UPPER EXT W  RT CONTRAST- PER PROTOCO," $1,948.00 "
CT UPPER EXT W/O LT CONTRAST- PER PROTOC," $1,754.00 "
CT UPPER EXT W/O RT CONTRAST- PER PROTOC," $1,754.00 "
CT-PET IMAGE W/CT SKULL-THIGH- PER PROTO," $6,524.00 "
CT-PET IMAGE WHOLE BODY PER PROTO," $6,035.00 "
CULTURE ACID FAST, $154.00 
CULTURE ANAEROBIC, $93.00 
CULTURE BLOOD, $121.00 
CULTURE BODY FLUID, $97.00 
CULTURE EAR, $97.00 
CULTURE EYE, $97.00 
CULTURE FUNGAL, $99.00 
CULTURE FUNGAL BLOOD, $116.00 
CULTURE GENITAL, $97.00 
CULTURE MRSA SCREEN PRESUMPTIVE PATH, $65.00 
CULTURE NASAL, $97.00 
CULTURE ROUTINE, $97.00 
CULTURE SPUTUM, $97.00 
CULTURE STOOL AEROBIC, $121.00 
CULTURE THROAT, $90.00 
CULTURE TISSUE, $97.00 
CULTURE URINE, $69.00 
CULTURE VIRAL, $202.00 
CULTURE WOUND, $93.00 
"CULTURE, VRE SCREEN", $67.00 
CYANOCOBALAMIN  VIAL INJ 1000MCG, $36.00 
CYCLIC CITRULLINATED PEPTIDE AB, $130.00 
CYCLIC CITRULLINATED PEPTIDE AB, $159.00 
CYCLOBENZAPRINE TAB 10MG, $11.00 
CYCLOPHOSPHAMIDE(CYTOXAN) 1GM NON LYOPH," $1,557.00 "
CYCLOPHOSPHAMIDE(CYTOXAN) 500MG NONLYOP, $799.00 
CYCLOSPORINE, $167.00 
CYSTIC FIBROSIS NP, $117.00 
CYSTO W/DIR VISION INT URETHROTOMY," $6,123.70 "
CYSTOMETROGRAM W/VP, $506.00 
CYSTOSCOPY," $1,409.29 "
CYTOMEGALOVIRUS IGG AB (CMV-IGG), $126.00 
CYTOMEGALOVIRUS IGM AB (CMV-IGM), $126.00 
CYTOPATH CELL ENHANCE TECH, $213.00 
CYTOPATH FL NONGYN SMEARS, $178.00 
D DIMER, $153.00 
D5% - 0.2% NACL 1000ML, $52.00 
D5% - 0.2% NACL 500ML, $52.00 
D5% - 0.45% NACL  KCL 20MEQ 1000ML, $47.00 
D5% - 0.45% NACL 500ML, $52.00 
D5% - 0.9% NACL 1000ML, $52.00 
D5% - 0.9% NACL 1000ML, $52.00 
D5% - 0.9% NACL 500ML, $52.00 
D5% - LR 500ML, $52.00 
D5% - LR INFUSION 1000ML, $52.00 
D5% - W  250ML, $52.00 
D5% - W 1000ML, $52.00 
D5% - W 250ML NON PVC BAG, $47.00 
D5% - W 500ML, $52.00 
D5% - W 500ML GLASS BOTTLE, $42.00 
D5% - W INFUS 1000ML, $52.00 
D5% IN 0.45% NACL 1000ML, $52.00 
D5% IN WATER 500ML NON PVC, $42.00 
DABIGATRAN CAP:  75MG, $18.00 
DACARBAZINE INJECTION 200MG, $74.00 
DANTRIUM  IV PWD FOR SOLN 20M, $224.00 
DAPTOMYCIN (CUBICIN) VIAL INJ 500MG, $383.61 
DARBEOETIN INJ SYR 200MCG," $1,699.00 "
DARBEPOETIN (ARANESP) INJ 25MCG / 0.42ML, $291.00 
DARBEPOETIN SYR : 60MCG/ML, $791.00 
DARBEPOETIN SYR 100MCG," $1,499.94 "
DARBEPOETIN SYR 300MCG/1ML," $3,854.45 "
DARBEPOETIN SYR INJ (NON-ESRD) 500MCG," $4,578.90 "
DARBEPOETIN SYRINGE INJ 40MCG/0.4ML, $535.00 
DCH WELLNESS COMPLETE - (CHEM & CBC), $11.00 
DCH WELLNESS LIPID, $11.00 
DECALCIFICATION, $63.00 
DENOSUMAB (PROLIA) SYR 60MG/ML," $2,452.00 "
DEX10%/WATER 1000ML, $47.00 
DEXAMETH SOD PHOS VIAL INJ  4MG/ML 5ML, $36.00 
DEXAMETHASONE 20MG/5ML VIAL, $36.00 
DEXAMETHASONE INJ VIAL 4MG/ML, $36.00 
DEXAMETHASONE TAB : 4MG, $11.00 
DEXAMETHASONE TAB 1MG, $11.00 
DEXTROSE 5% IN WATER 250ML NON PVC BAG, $57.00 
DEXTROSE 50% 50ML SYRINGE, $41.79 
DEXTROSE INJECTION 10% 1000ML, $47.00 
DEXTROSE IV SOL: 50%  500ml, $28.00 
DHEA SULFATE, $144.00 
DIABETIC ED - 2 CLASSES, $43.00 
DIAZEPAM INJ 10MG/2ML, $95.00 
DIAZEPAM LEVEL, $99.00 
DIAZEPAM TAB 2MG, $11.00 
DIAZEPAM TAB 5MG, $11.00 
DICLOFENAC (VOLTAREN) GEL 1%, $102.00 
DICLOFENAC NA TAB 75MG, $11.00 
DICLOFENAC SODIUM (VOTAREN) OPHTH 2.5ML, $31.00 
DICYCLOMINE  AMP INJ  20MG/2ML, $67.00 
DICYCLOMINE {BENTYL} CAPS 10MG, $11.00 
DIFFERENTIAL BLD CT- MANUAL DIFF, $43.00 
DIFFUSING CAPACITY CARBON MONOXIDE MEMBR, $206.00 
DIGOXIN, $141.00 
DIGOXIN  AMP INJ 0.5MG/2ML, $37.00 
DIGOXIN (LANOXIN) TAB 0.125MG, $11.00 
DILANTIN TOTAL, $118.00 
DILTIAZEM ADD-VANTAGE VIAL 100MG, $53.00 
DILTIAZEM ER CAP 180MG (EXTENDED RELEAS, $11.00 
DILTIAZEM HCL INJ 5MG/ML 5ML VIAL, $36.00 
DILTIAZEM TAB 30MG (IMMEDIATE RELEASE), $11.00 
DILUTE RUSSEL VIPER VENOM TEST, $147.00 
DIPHENHYDRAMINE ELIX UD  25MG/10ML, $11.00 
DIPHENHYDRAMINE HCL CAP 25MG, $11.00 
DIPHENHYDRAMINE VIAL INJ 50MG/ML, $36.00 
DIPHENOXYLATE/ATROPINE TABLET, $11.00 
DIRECT LARYNGOSCOPY," $1,768.00 "
DIRECT LARYNGOSCOPY," $1,768.00 "
DIVALPROEX DR TAB 250MG (DELAY RELEASE), $11.00 
DNA DOUBLE STRANDED ANTIBODY, $101.00 
DNA SINGLE STRAND AB, $96.00 
DOCETAXEL 160MG/8ML VIAL, $817.00 
DOCETAXEL 20MG/ML 4ML VIAL, $472.00 
DONEPEZIL (ARICEPT) ODT TAB 5MG, $11.00 
DOPAMINE 400MG/D5W 250ML PREMIX IV, $56.16 
DORZOLAMIDE HCL(TRUSOPT) 10ML, $121.00 
DOXAPRAM VIAL 400MG/20ML, $144.00 
DOXAZOSIN TAB 1MG, $11.00 
DOXAZOSIN TAB 4MG, $11.00 
DOXEPIN, $87.00 
DOXEPIN CAP 25MG, $11.00 
DOXORUBICIN*** INJ 50MG, $92.00 
DOXYCYCLINE TAB 100MG, $11.00 
DRAIN/INJ INTERM JNT/BURSA WO US, $254.00 
DRESS/DEBRID P-THICK BURN L, $212.00 
DRESS/DEBRID P-THICK BURN M, $179.00 
DRESS/DEBRID P-THICK BURN S, $303.00 
DRONEDRONE  TAB 400MG, $22.00 
DULOXETINE (CYMBALATA) CAP 30MG, $11.00 
DUTASTERIDE (AVODART) CAP 0.5MG, $11.00 
EASIVENT MASK: 1 EA, $38.00 
"EASIVENT VALVED HOLDING CHAMBER 1 EA, P", $120.00 
ECM1 SNP, $98.00 
ECONAZOLE NITRATE CREAM 1% 30 GRAM, $73.00 
ED LEVEL I, $179.00 
ED LEVEL II, $266.00 
ED LEVEL III, $498.00 
ED LEVEL III-XIX, $477.00 
ED LEVEL II-XIX, $244.00 
ED LEVEL IV, $925.00 
ED LEVEL IV-XIX, $903.00 
ED LEVEL I-XIX, $130.00 
ED LEVEL V," $1,499.00 "
ED LEVEL V-XIX," $1,472.00 "
ED/ADMISSION LEV 1, $320.00 
ED/ADMISSION LEV 2, $352.00 
ED/ADMISSION LEV 3, $492.00 
ED-CRITICAL CARE 30-74 MINS," $1,953.00 "
EFFIENT 10MG TABLET, $33.00 
EKG RHYTHM TRACING ONLY ECG 1-3 LEADS, $116.00 
"EKG RT-12 LEAD, TRACING ONLY", $200.00 
ELECTROLYTE PANEL, $87.00 
EMG ANAL/URETHR SPHINCT NOT NEEDLE, $249.00 
ENALAPRIL TAB 2.5MG, $11.00 
"ENDOMYSIAL AB, IGA", $97.00 
ENOXAPARIN INJ VIAL 300MG/3ML, $53.13 
ENOXAPARIN(LOVENOX) SYR INJ 30MG/0.3ML, $36.50 
ENOXAPARIN(LOVENOX) SYR INJ 40MG/0.4ML, $42.96 
ENOXAPARIN(LOVENOX) SYR INJ 80MG/0.8ML, $47.00 
ENTACAPONE (COMTAN) TAB: 200MG, $14.00 
ENTYVIO 300MG 20ML VIAL," $6,831.00 "
EOSINOPHIL COUNT - ATLAS, $30.00 
EOSINOPHIL COUNT TOTAL, $30.00 
EOSINOPHILS SMEAR BODY FLUID, $62.00 
EPHEDRINE VIAL 50MG/ML 1ML, $122.00 
EPINEPHRINE AMP 1MG/ML 1ML, $47.55 
EPINEPHRINE NASAL SOL 30ML BTL, $31.00 
EPINEPHRINE SYR 1MG/10ML, $36.00 
EPINEPHRINE(AUTOINJECTOR SYRN) 0.3MG, $431.00 
"EPOETIN ALFA  10,000 UNITS", $419.76 
EPSTEIN BARR-IGG ANTIBODY, $132.00 
EPSTEIN BARR-IGM ANTIBODY, $132.00 
ER SERVICE LEVEL 1, $114.00 
ER SERVICE LEVEL 2, $168.00 
ER SERVICE LEVEL 3, $254.00 
ER SERVICE LEVEL 4, $384.00 
ER SERVICE LEVEL 5, $563.00 
ER-ABD PARACENTESIS; INITIAL W/O IMAGING, $477.00 
ER-ANOSCOPY; DX SPECIMEN, $98.00 
ER-APPLY CAST: FINGER, $185.00 
ER-APPLY CAST; HAND AND LOWER FOREARM, $146.00 
ER-APPLY FIGURE 8 CAST, $190.00 
ER-APPLY FINGER SPLINT; DYNAMIC, $482.00 
ER-APPLY PLASTER VELPEAU, $173.00 
ER-APPLY SH LEG CAST, $212.00 
ER-APPLY SHORT ARM CAST, $195.00 
ER-APPLY SHOULDER SPICA, $136.00 
ER-BIOPSY SKIN 1 LESIONS, $330.00 
ER-CARDIOVERSION ELECTRIC EXT," $1,190.00 "
ER-CATH OF NEWBORN UMBILICAL VEIN FOR DX, $217.00 
ER-CHANGE GASTROSTOMY TUBE WO IMAGING, $266.00 
ER-CHANGE OF CYSTOSTOMY TUBE; SIMPLE, $288.00 
ER-CHEMO ANTI-NEOPL SQ/IM NON-HORMON, $114.00 
ER-CHEMO IV INFUS EA ADDL SEQ <=1 HR, $262.00 
ER-CHEMO IV PUSH ADDL DRUG, $141.00 
ER-CL TX  NURSEMAID ELBOW' W MANIP, $288.00 
ER-CL TX ACLAV DISLOC; W MANIP, $249.00 
ER-CL TX CLAVICULAR FX; W MANIP, $233.00 
ER-CL TX DSTL RDL FX/EPIPHYSL SEP W MNP, $260.00 
ER-CL TX IP JNT DIS W MANIP; WO ANESTH, $212.00 
ER-CL TX IP JT DISLOC W MANIP; W ANESTH, $628.00 
ER-CL TX KNEE DISL; WO ANESTH, $601.00 
ER-CL TX MC FX SGL; W MANIP EA, $260.00 
ER-CL TX PHALANG EA SHFT FX; W MANIP, $190.00 
ER-CL TX POST HIP DISLOC WO ANESTH, $266.00 
ER-CL TX RADIAL HD/NECK FX; W MANIP, $590.00 
ER-CL TX RADIAL SHFT FX W MANIP, $546.00 
ER-CL TX SHLDR DISL W MANIP; W ANESTH," $1,402.00 "
ER-CL TX TRAUMA HIP DICLOC WO ANESTH, $260.00 
ER-CONTROL NASAL HEMORRH ANT COMPLEX, $271.00 
ER-CONTROL NASAL HEMORRH ANT SIMPLE, $369.00 
ER-DEB SKIN BONE AT FX SITE," $1,001.00 "
ER-DEB SUB Q TISSUE <=20 SQ CM, $617.00 
ER-DEEP I & D THIGH/KNEE, $374.00 
ER-DEEP I&D ABSC-FARM/WRIST, $774.00 
ER-DELIVERY OF PLACENTA," $1,786.00 "
ER-DR ABSC CYST HEMATOM-DENTOALVEOLAR, $271.00 
ER-DRAIN/INJ MAJOR JNT/BURSA WO US, $332.00 
ER-DRAINAGE FINGER ABSCESS SIMPLE, $217.00 
ER-EVAC SU HEMATOMA, $98.00 
ER-FNA W/O IMAGE, $163.00 
ER-HYDRATE IV INFUSION ADD-ON 1 HR, $49.00 
ER-HYDRATION IV INFUSION INIT 31-60 MINS, $498.00 
ER-I&D ABSC; SMPL OR SGL, $423.00 
ER-I&D CPLX POSTOP WND INF," $2,516.00 "
ER-I&D HEMATOMA/FLUID, $433.00 
ER-IMMUNIZATION ADM; EA ADDL VACCINE, $28.00 
ER-INC & REM FB SQ; COMPL," $1,045.00 "
"ER-INC & REM FB, SUBCUTANEOUS SIM", $244.00 
ER-INCISE THROMBOSED HEMORRHOID EXT, $233.00 
ER-INJ ANESTH; FACIAL NERVE, $266.00 
ER-INSERT BLADDER CATHETER, $160.00 
ER-INSERT TEMP BLADDER CATH, $185.00 
ER-INSERTION OF CHEST TUBE, $444.00 
ER-INST OF BLADDER ANTICARCINOGENIC, $330.00 
ER-INTUBATION ET EMERGENT, $536.00 
ER-INTUBATION ET EMERGENT, $536.00 
ER-IRRIG DRUG DELIVERY DEVICE, $125.00 
ER-LARYNGOSCOPY IND; DIAGNOSTIC, $460.00 
ER-LEV 2 LONG LEG CAST APPL, $217.00 
ER-LEVEL 1 STRAP-KNEE, $163.00 
ER-PARE BEN 1.00 LES SGL HYPERKERATOTIC, $141.00 
ER-PLACE NEEDLE INTRAOSSEOUS INFUSION, $444.00 
ER-POSTPARTUM ONLY CARE, $957.00 
ER-PROPH/DRUG NEW ADDL SEQ IV INF <=1HR, $400.00 
ER-PUNCT ASP-ABSC HEMAT CYST, $244.00 
ER-REM FB EXT AUDITORY CANAL; WO ANESTH, $60.00 
ER-REM FB EXT EYE; CORNEAL WO SLIT LAMP, $163.00 
ER-REM FB INTRANASAL OFFICE, $200.00 
ER-REMOVAL OF NAIL BED, $514.00 
ER-REMOVE IMP EAR WAX 1-2 EARS BY INSTRU, $109.00 
ER-REMOVE IMP EAR WAX 1-2 EARS BY IRRIGA, $58.00 
ER-RX CL ELBOW DISLOC WO ANEST TREATMENT, $179.00 
ER-SHAVE LES SINGLE S/N/H/F/G <= 0.5CM, $595.00 
ER-SIMP BLADDER IRRIGATE LAVAGE/INSTILL, $260.00 
ER-SIMP REPAIR F/E/N/L/MM 5.1-7.5CM, $389.00 
ER-SPINAL TAP, $698.00 
ER-SREP F/E/N/L/MM; > 30CM, $606.00 
ER-STRAPPING; SHOULDER, $190.00 
ERTAPENEM (INVANZ) INJ VIAL 1GM, $391.00 
ER-TEMP TRANSCUTAN PACING," $2,094.00 "
ER-THER/PROPH/DIAG INJ DRG IV PUSH INIT, $185.00 
ER-THER/PROPH/DIAG IV ADDL 1 HR, $49.00 
ER-THER/PROPH/DIAG IV INF INIT <=1 HR, $498.00 
ER-TX/PRO/DX INJ IVP SAME DRUG ADDL SEQ, $124.00 
ER-TX/PRO/DX INJ NEW DRUG ADDL IVP SEQ, $174.00 
ER-VAGINAL DELIVERY ONLY," $1,786.00 "
ER-WOUND CLOSURE BY ADHESIVE, $168.00 
ERYTHROMYCIN BASE OPTH OINT, $54.18 
ERYTHROPOIETIN LEVEL, $144.00 
ESCITALOPRAM (LEXAPRO) TAB 10MG, $11.00 
ESMOLOL (BREVIBLOC) VIAL 100MG/10ML, $36.00 
ESTRADIOL, $143.00 
ESTRADIOL PATCH 0.1MG/DAY, $39.00 
ESTRIOL UNCONJUGATED, $129.00 
ESTROGEN CONJ (PREMARIN) CRM 0.625MG/G, $202.00 
ESTROGEN CONJ (PREMARIN) TAB 0.625MG, $11.00 
ESTROGENS FRACTIONATED (E1 AND E2), $170.00 
ESTRONE, $138.00 
ETHOSUXIMIDE, $132.00 
ETHOTOIN (PEGANONE), $162.00 
ETODOLAC CAP 200MG, $11.00 
ETOMIDATE (AMIDATE) VIAL 40MG/20ML, $36.00 
ETOPOSIDE 20MG/ML VIAL 5ML, $58.00 
EVAL OF FNA; INT & REP, $266.00 
EVENT MONITOR-SETUP, $741.00 
EVEROLIMUS, $185.00 
EXCISION LIPOMA THIGH," $7,861.00 "
EXCISION SOFT TUMOR NECK > 5 CM," $2,191.00 "
EXERCISE TEST/SIMPLE FOR BRONCHOSPASM, $45.00 
EXPANDED DISORDERS SCREEN NP, $163.00 
EXPL P WND EXTREMITY; EXTREME, $579.00 
EZETIMIBE (ZETIA) TAB 10MG, $32.00 
FACTOR IX, $185.00 
FACTOR V LEIDEN, $327.00 
FACTOR VII, $144.00 
FACTOR VIII, $196.00 
FACTOR XI, $289.00 
FAMILY PSYCHOTHERAPY W/ PATIENT, $416.00 
FAMOTIDINE (PEPCID) VIAL 20MG/2ML, $36.00 
FARMERS LUNG PROFILE, $64.00 
FASENRA SUBCUTANEOUS SOLUTION 30MG/1ML," $5,990.14 "
FASLODEX 250MG/5ML SYRINGE," $1,812.12 "
"FECAL FAT, QUALITATIVE", $55.00 
"FECAL FAT, QUANTITATIVE", $128.00 
FECAL LACTOFERRIN, $117.00 
FELBAMATE LEVEL, $132.00 
FELODIPINE ER TAB 2.5MG, $11.00 
FEMURAL HERNIA - HERNIOPLASTY," $7,872.00 "
FENOFIBRATE (ANTARA) CAP 130MG, $15.00 
FENOFIBRATE (TRICOR) TAB 160MG, $11.00 
FENTANYL (DURAGESIC) PATCH 100MCG/HR, $44.00 
FENTANYL (DURAGESIC) PATCH 12MCG/HR, $42.00 
FENTANYL (DURAGESIC) PATCH 25MCG/HR, $42.00 
FENTANYL (DURAGESIC) PATCH 50MCG/HR, $42.00 
FENTANYL AMP INJ 100MCG/2ML, $41.00 
FENTANYL INJ AMP 50MCG/ML 5ML, $41.00 
FENTANYL VIAL 1500MCG/30ML PCA, $177.00 
FENTANYL/NORFENTANYL URINE, $94.00 
FERRIC CARBOXYMALTOSE INJ 750MG/15ML," $1,589.88 "
FERRIC GLUC/SUC VIAL INJ 62.5MG, $61.00 
FERRITIN, $124.00 
FERRITIN - ATLAS, $124.00 
FERROUS SULFATE ORAL SOLUTION 5ML, $11.00 
FERUMOXYTAL (ESRD) VIAL 510MG/17ML," $1,184.60 "
FEXOFENADINE HCL (ALLEGRA) TAB 180MG, $11.00 
FIBRINOGEN, $102.00 
FILGRASTIM VIAL INJ 480MCG," $1,257.00 "
FINASTERIDE {PROSCAR} TAB 5MG, $11.00 
FISH ANALYSIS BCR-ABI CPT88271, $155.00 
FISH ANALYSIS BCR-ABI CPT88275, $291.00 
FISH ANALYSIS BCR-ABI CPT88291, $148.00 
FISH AUTO MULITPLEX, $436.00 
FISH CHROMOSOME ANALYSIS, $643.00 
FLEBOGAMMA 20GM IN 200ML," $2,838.28 "
FLOW CYTOMETRY, $232.00 
FLOW CYTOMETRY-2ND CELL MARKER, $134.00 
FLOW CYTOMETRY-3 OR MORE MARKERS, $134.00 
FLUCONAZOLE (DIFLUCAN) TAB 100MG, $11.00 
FLUCONAZOLE TAB 150 MG, $12.74 
FLUDROCORTISONE ACETATE TAB 0.1MG, $11.00 
FLUMAZENIL (ROMAZICON) VIAL 0.1MG/ML, $36.00 
FLUMIST NASAL SOLN  0.2ML, $104.00 
FLUORO GUIDANCE FOR NEEDLE PLACEMENT, $357.00 
FLUOROURACIL VIAL 1GM/20ML, $52.00 
FLUOXETINE (PROZAC), $132.00 
FLUOXETINE HCL CAP 20MG, $11.00 
FLUOXETINE HCL TAB 10MG, $11.00 
FLUPHENAZINE, $132.00 
FLUTICASONE (FLONASE) NASAL BTL 50MCG, $31.00 
FLUTICASONE (FLOVENT) INAHALER 110MCG, $375.00 
FLUTICASONE (FLOVENT)INHALER 44MCG, $232.00 
FLUTICASONE / SAL METEROL INH  250-50, $407.13 
FLUTICASONE / SALMETEROL INH 100-50, $422.00 
FLUTICASONE / SALMETEROL INH 500-50, $675.00 
FLUZONE HIGH-DOSE 2018-2019 FORMULA IM S, $143.40 
FOLIC ACID, $110.00 
FOLIC ACID VIAL 5MG/ML, $87.00 
FORMOTEROL NEB 20MCG, $24.00 
FOSAPREPITANT (EMEND) 150MG VIAL, $854.00 
FOSINOPRIL SODIUM TAB 10MG, $11.00 
FOSPHENYTOIN VIAL 500MG, $93.00 
FRAGILE X AB, $816.00 
