Procedure Description,Unit Price
HC C KIT MUT W/REF TO PDGFRA,1344
HC C KIT MUT W/REF TO PDGFRA PANEL  (PRICE PANEL CHARGE),1343.99
HC C KIT MUT W/REF TO PDGFRA PNL,1344
HC C KIT MUT W/REF TO PDGFRA PNL  (PRICE PANEL CHARGE),1343.99
HC C KIT MUTATION ANALYSIS,219
HC C REP TRUNK; 1.1-2.5CM,995
HC C.DIFF MOLEC TOX ASSAY,372
HC C0/MEMBRAIN DIFFUSE CAPACITY,565
HC C1 ESTERASE INHIBITOR,165
HC CADAVER HLA DR TYPE,1955
HC CADAVER HLA-ABC TYPE,1746
HC CADMIUM,280
HC CAFFEINE  SERUM,185
HC CAH PANEL 9 3-BETA-HYDROXYSTEROID DEHYDROGENASE DEFICIENCY PROFILE PRICE PANEL CHARGE,919.96
HC CALCANEAL FX W/O MANI,411
HC CALCITONIN,369
HC CALCIUM (SERUM),72
HC CALCIUM IONIZED,192
HC CALCIUM TIMED URINE RANDOM,83
HC CALCIUM  URINE  QUANT,83
HC CALCIUM; TOTAL,72
HC CALCIUM; TOTAL OUTREACH,72
HC CALCIUM; URINE QUAN TIMED,83
HC CALCULUS IR SPECTROSCOPY,178
HC CALIFORNIS TLSO,1378
HC CALORIC VESTIBULAR TEST EACH,649
HC CALORIC VESTIBULAR TEST EACH,649
HC CALORIC VSTBLR TEST W/REC BIL MONO,649
HC CALR GENE COM VARIANTS,538
HC CAMPYLOBACTER,180
HC CANALITH REPOSITIONING PROC,153
HC CANDIDA ANTIBODY,165
HC CANDIDA NA DIRECT PROBE,229
HC CANNABINOIDS  URINE,185
HC CANNULATION THORACIC DUCT,812
HC CANTHOTOMY (SEPARATE PROCEDURE),5576
HC CAR ADAPTER,558
HC CARBAMAZEPINE,181
HC CARBAMAZEPINE TOTAL,194
HC CARBAMAZEPINE TOTAL-SO,194
HC CARBOHYDRATE  URINE (REDUCING SUBSTANCES),198
HC CARBON DIOXIDE  URINE/FLUID,49
HC CARCINOEMBRYONIC AG,262
HC CARCINOEMBRYONIC AG (CEA),262
HC CARD BLD POOL IMAG WALL MOTION,3902
HC CARDIAC BLOOD POOL IMAGING  GA,2400
HC CARDIAC LIPID PANEL,61
HC CARDIAC SHUNT DETECTION,1612
HC CARDIO IQ LIPOPROTEIN FRACTIONATION  ION MOBILITY,79
HC CARDIOPULM EXERCISE TEST,783.27
HC CARDIOPULMONARY RESUSITATION,1230
HC CARDIOPULMONARY SUPPORT S/BY,677
HC CARDIOTOMY RESERVOIR,458
HC CARDIOVERSION ELECTRIC EXT,2286
HC CARNITINE,231
HC CAROTD STNT CERV W/PROTECT DEV,8378
HC CAROTENE,127
HC CARPAL TUNNEL  RELEASE US GUID,2050
HC CARPAL TUNNEL TX INJ,299
HC CARRY CURRENT STATUS,0.01
HC CARRY CURRENT STATUS,0.01
HC CARRY D/C STATUS,0.01
HC CARRY D/C STATUS,0.01
HC CARRY GOAL STATUS,0.01
HC CARRY GOAL STATUS,0.01
HC CAST BOOTS,351
HC CAST REMOVAL,42
HC CATECHOLAMINES PLASMA FRACT,346
HC CATECHOLAMINES  FRACTIONATION,346
HC CATH - CORON IV BRACHYTX PLACEMENT,4181
HC CATH PLACE/ANGIO EXT CARTD ONLY,1928.25
HC CATHETER IMPELLA,99493
HC CATHETERS  BRACHYTHERAPY SEED ADMINISTRATION;CATHETERW/COLLAR,191
HC CATHETERS  BRACHYTHERAPY SEED ADMINISTRATION;CT/MR FLEXIBLE,191
HC CATHETERS  BRACHYTHERAPY SEED ADMINISTRATION;LUMENCATH,475
HC CEBPA,1069
HC CEBPA GENE ANALYSIS  FULL GENE SEQUENCE,1069
HC CELL COUNT BODY FLUID,68
HC CELL COUNT NOT BLOOD,68
HC CELL ENUMERATION & ID,372
HC CELL ENUMERATION PHYS INTERP,372
HC CELL SURF EA ADDL MARKER,275
HC CELL VIABILITY COUNTS,77
HC CELLSAVING RESERVOIR,238
HC CELLULAR FUNCTION ASSAY,933
HC CEM FLX FEM/ CEM TIB/FLX SURF/,8431
HC CEM FLX FEM/CEM TIB/FLX SF/ST,8431
HC CEM FLX FEM/CEM TIB/STD SURF/S,8431
HC CERCLAGE CERVIX PREG-VAGINAL,6835
HC CEREBR SEIZURE 16/> CH; EA 24 HRS,6699
HC CEREBR SEIZURE 8-CH; EA 24 HRS,4913
HC CEREBRAL OXIMETRY,2705
HC CEREBROSPINAL FLUID FLOW; CIST,2148
HC CERULOPLASMIN,147
HC CERVICAL ADJ BARS/THORACIC EXT,1529
HC CERVICAL COLLAR SEMI-RIGID 2PC,470
HC CERVICAL FLEX NON-ADJ FOAM COL,85
HC CERVICAL HALO INC JACKET VEST,7744
HC CERVICAL SPINE 2 OR 3 VIEW,560
HC CERVICAL SPINE 6 OR MORE VWS,666
HC CFTR GENE COM VARIANTS (CYSTIC FIB SCR),753
HC CHANGE CYSTOSTMY CTH COMPLICAT,1141
HC CHANGE CYSTOSTOMY TUBE SIMPLE,587
HC CHANGE GASTROSTOMY TUBE,694
HC CHANGE GASTROSTOMY TUBE,694
HC CHANGE G-TUBE TO G-J PERC,2338
HC CHANGE OF CYSTOSTOMY TUBE SIM,587
HC CHANGE OF PERCU TUBE OR DRAINAGE CATH,2510
HC CHANGE PEG TUBE,694
HC CHANGE URETER STENT PERCUT,4383
HC CHANGE URETEROSTOMY TUBE,1141
HC CHARGER ELEC/COMBO VAD REP,12683
HC CHEM CAUTERIZ GRANULAT TISS,307
HC CHEMICAL CAUTERY TISSUE GRAN,487.2
HC CHEMILUMINESCENT ASSAY,196
HC CHEMILUMINESCENT ASSAY,219
HC CHEMILUMINESCENT ASSAY,145
HC CHEMISTRY PROCEDURE MISC,117
HC CHEMO ADMIN CNS REQ SPINE PUNC,936.69
HC CHEMO ADMIN INJ SQ/IM HORMONAL,334
HC CHEMO ADMIN INJ SQ/IM NON-HOR,402
HC CHEMO IA INFUSION EA ADDL HR,116.55
HC CHEMO IA INFUSION UP TO 1 HR,866
HC CHEMO INJ INTRA-ARTERIAL PUSH,952
HC CHEMO IV INFUS EACH ADDL SEQ =<1 HR,701
HC CHEMO IV INFUSION 1 HR,999
HC CHEMO IV INFUSION ADDL HR,580
HC CHEMO IV PUSH ADDL DRUG,900
HC CHEMO IV PUSH SNGL DRUG,701
HC CHEMODENERV 1 EXTREMITY  1-4 MUSCLES,1710.45
HC CHEMODENERV TRUNK 1-5 MUSCLES,1710.45
HC CHEMODENERV TRUNK 6+ MUSCLES,1710.45
HC CHEMOTX ADMN PRTL CAVITY,1907
HC CHEST ULTRASOUND,874
HC CHG NEPHROSTOMY/PYELOSTOMY TUBE,1702
HC CHILDHOOD ALLERGY PROFILE PNL,637
HC CHILDHOOD ALLERGY PROFILE PNL (PRICE PANEL CHARGE),636.84
HC CHLAMYDIA IGM,174
HC CHLAMYDIA PNEUMONIAE CULT,269
HC CHLAMYDIA TRACHOMATIS,152
HC CHLAMYDIA TRACHOMATIS AND NEISSERIA GONORRHOEAE (CTNG)  PANEL,205
HC CHLAMYDIA TRACHOMATIS AND NEISSERIA GONORRHOEAE (CTNG)  PANEL  (PRICE PANEL CHARGE),204.99
HC CHLAMYDIA TRACHOMITIS BY PCR,110
HC CHLAMYDOPHILAPSITTACIANTIBODIES PNL,182
HC CHLAMYDOPHILAPSITTACIANTIBODIES PNL  (PRICE PANEL CHARGE),181.98
HC CHLORIDE SERUM,52
HC CHLORIDE URINE,71
HC CHLORIDE URINE RANDOM,71
HC CHLORIDE; BLOOD,6.5
HC CHLORIDES  CSF OR OTHER,70
HC CHOLANGIOGRAM INJ THRU EXIST CATH,1141
HC CHOLANGIOGRAPHY,7064
HC CHOLANGIOSCOPY (SPYGLASS),10657
HC CHOLECYSTOSTOMY COMP INC GUID PERC,8476
HC CHOLESTASIS NGS PANEL,4497
HC CHOLESTASIS NGS PANEL  (PRICE PANEL CHARGE),4496.94
HC CHOLESTEROL TOTAL SERUM,46
HC CHOLINESTERASE SERUM,109
HC Chorionic Villus Sampling,2084
HC CHROM ANAL 15-20CLS 2 KARO,1710
HC CHROM ANAL ADDL CELLS COUNTED,200
HC CHROM ANAL ADDL KAROTYP,345
HC CHROM ANAL COUNT 5 CELLS,2475
HC CHROMATOGRAPHY QUANT NES,249
HC CHROMIUM,96
HC CHROMOSOME ANAL COUNT 15-20 CE,1710
HC CHROMOSOME ANALYSIS  TISSUE Panel,1521
HC CHROMOSOME ANALYSIS  TISSUE PNL 88262,0.01
HC CHROMOSOME ANLYS  HEMATOLOGIC MALIGNANCY PNL,1254
HC CHROMOSOME ANLYS  HEMATOLOGIC MALIGNANCY PNL  (PRICE PANEL CHARGE),1253.99
HC CHROMOTOGRAPHY QUANT MULTI,249
HC CIRCUMCISION,1690
HC CIRCUMCISION NOT PERFORMED,109
HC CISTERNOGRAPHY S&I,948
HC CITRATE,382
HC CL LAC MOUTH VESTIB: 2.5CM/<,830
HC CL TX NURSEMAID ELBOW W MANIP,411
HC CL TX ART FX MCP/IP JNT; WO MAN,605
HC CL TX BIMALLEOLAR ANKLE FRAC W/ MANI,411
HC CL TX C HUMERUS FX W MANIP,460
HC CL TX C HUMERUS FX WO MANIP,605
HC CL TX CARPAL SCAPHOID FX; WO MANIP,411
HC CL TX CLAVICULAR FX; WO MANIP,411
HC CL TX CMC DISLOC W MANIP & ANESTH,762
HC CL TX D PHAL FX FGRR/THMB; W MANIP,432
HC CL TX DISTAL FIB FRACT W/O MAN,411
HC CL TX DISTAL FIBULAR FRA W/O MANI,470
HC CL TX DISTAL PHAL FX FGR/THMB; WO MANIP,411
HC CL TX DISTAL RADIAL FRACT W MA,411
HC CL TX FX GREAT TOE W/O MAN,470
HC CL TX FX PHALANX/PHALANG; W MANIP,411
HC CL TX FX PHALNX/PHALANG WO MANIP,411
HC CL TX GR TUBEROSITY FX W/MANIP,1724
HC CL TX GR TUBEROSITY FX; WO MANIP,512
HC CL TX GTR TROCHNTRC FX WO MANIP,762
HC CL TX HIP DISLOC W/O ANESTH,411
HC CL TX HUMERUS FX W MANIP,304
HC CL TX IP JNT D W MANIP ; WO ANESTH,470
HC CL TX IP JOINT DISL; WO ANESTH,411
HC CL TX MANDIBULAR FX; W MANIP,3582
HC CL TX MANDIBULAR FX; WO MANIP,797
HC CL TX MC FX SGL; WO MANIP EA BONE,470
HC CL TX MCP DISLOC SGL W MANIP,411
HC CL TX METACARPAL FRACT W MANIP,411
HC CL TX METATARSAL FX; WO MANIP,411
HC CL TX MTP JNT DISLOC; WO ANESTH,470
HC CL TX OF NASAL BONE FX; WO STABILIZ,404
HC CL TX OF TALUS FRACT W/O MANIP,432
HC CL TX PATELLAR DISLOC W/O ANES,411
HC CL TX PHAL SHAFT FX; WO MANIP,470
HC CL TX PHALANG SHFT FX; W MANIP,411
HC CL TX POST HIP DISLOC WO ANESTH,330
HC CL TX PROX FIB/SHAFT FX W MANIP,1773
HC CL TX PROX HUMERAL FX; WO MANIP,411
HC CL TX RADIAL HD/NECK FX; W MANIP,515
HC CL TX RADIAL HD/NECK FX; WO MANIP,411
HC CL TX SC/TC HUMERUS FX WO MANIPL,411
HC CL TX SHLDR DISL W MANI; WO ANESTH,514
HC CL TX SHLDR DISL W MANI; WO ANESTH,514
HC CL TX SHLDR DISL W MANIP; W ANESTH,3064
HC CL TX TIBIAL SHAFT FRACT W/O M,432
HC CL TX TMJ DISLOCATION; INITIAL,384
HC CL TX TMT JNT DISL; WO ANESTHESIA,603
HC CL TX ULNAR STYLOID FX,595
HC CL TX WB DSTL TIB FX W MANIP,411
HC CLAVICLE COMPLETE,973
HC CLO TRT LUNATE DISLOC W/MANIP,411
HC CLO TRT TIBIAL SHAFT FX W/MAN,411
HC CLOSD TX PATELLAR FX W/O MANIP,584
HC CLOSD TX SCAP FX W/O MANIP,512
HC CLOSE TRT CARPAL BONE FX W/O MANIP,515
HC CLOSE TX ANKLE DISLOC; W/O ANE,411
HC CLOSED PLEURAL BX W/THORACENT,1226
HC Closed treatment of fracture great toe  phalanx or phalanges; with manipulation,655
HC CLOSED TREATMENT OF METATARSAL FRACTURE; WITH MANIPULATION  EACH,676.5
HC CLOSED TX ULNAR FRACTURE PROXIMAL END W MNP,475
HC CLOSED TX ULNAR FRACTURE PROXIMAL END WO MNP,364
HC CLOT FACTOR VIII VW ANTIGEN PANEL (85246),226
HC CLOTTING INHIBITOR PROTEIN S FREE,765
HC CLOTTING INHIBITOR; PROTEIN C ACTIVITY,480
HC CLOTTING INHIBITOR; PROTEIN S TOTAL,765
HC CLOTTING: FACTOR VIII VW FACTOR AG,513
HC CLOTTING; FACTOR II PROTHROMBIN SPECIF,364
HC CLOTTING; FACTOR IX,364
HC CLOTTING; FACTOR V,364
HC CLOTTING; FACTOR V 0300,364
HC CLOTTING; FACTOR VII,364
HC CLOTTING; FACTOR X,364
HC CLOTTING; FACTOR X 0300,364
HC CLOTTING; FACTOR XI,364
HC CLOTTING; FACTOR XII,364
HC CLOTTING; FACTOR XIII LEVL,95
HC CLOZAPINE,249
HC CLS TX BIMALLEO ANK FX W/MANIP,512
HC CLS TX MED MALLEOLUS FX,512
HC CLSD FX WRIST W REDUCTION EA BONE,4249.32
HC CLSD TX NASL BONE FX W/O MANIP,708
HC CLST TX TRIMALAR ANKL FX W/MAN,640
HC CLTX DSTL RADIAL FX/EPI SEP WO MNP,411
HC CLTX MEDIAL ANKLE FX,512
HC CMV IGG & IGM AB,299
HC CMV IGM,231
HC CMV IGM  CSF,231
HC CMV NEGATIVE - ARC,178
HC CMV PHEREISIS - ARC,734
HC COCCIDIOIDES PPT,158
HC COCHLEAR IMPLT F/UP EXAM 7 >,320
HC COLD AGGLUTININ SYNDROME STUDY,302
HC COLD AGGLUTININ VIRAL SER,112
HC COLL BLOOD SPEC IMPL VAD,210
HC COLON W/DIL BALLOON 1+STRICT,2708
HC COLON W/DIR SUBMUCOSAL INJ,2708
HC COLONOSCOPY FLEX W/REM FB,2708
HC COLONOSCOPY FLX W/ ENDOSCOPY US,2947.56
HC COLONOSCOPY FLX W/ENDOSCOPIC MUCOSAL RESECTION,2712
HC COLONOSCOPY STOMA W/BLD CONT,2837
HC COLONOSCOPY STOMA W/BX,2837
HC COLONOSCOPY STOMA W/REM BY SNA,2837
HC COLONOSCOPY STOMA W/REM FB,2837
HC COLONOSCOPY STOMA W/REM HBF/BP,2837
HC COLONOSCOPY THRU STOMA,2708
HC COLONOSCOPY THRU STOMA; DX,2837
HC COLONOSCOPY W BX; SGL/MULTI,2708
HC COLONOSCOPY W EUS FNA/BX,2947.56
HC COLONOSCOPY W REM T/P/L  BY HBF/BP,2708
HC COLONOSCOPY W REM T/P/L  BY SNARE,2708
HC COLONOSCOPY W/ABLATION,2708
HC COLONOSCOPY W/BAND LIGATION,2947.56
HC COLONOSCOPY W/CONTROL BLEEDING,2708
HC COLONOSCOPY W/STENT PLCMT,7236
HC COLONOSCOPY WITH ABLATION,2979
HC COLORECTAL SCREENING; COLONOSCOPY INDIVIDUAL- HIGH RISK,2188
HC COLORECTAL SCREENING; COLONOSCOPY INDIVIDUAL NOT HIGH RISK,2188
HC COMP EP EVAL W/INDUCT ATTEMPT,15699
HC COMP EP EVAL W/LT ATRIAL REC,16906
HC COMP EP EVAL W/LT VENTRIC REC,13524
HC COMP EP EVAL WO INDUCTION,16407
HC COMPAT TEST ELECT (CROSSMATCH),7
HC COMPAT TEST SPIN(CROSSMATCH),243
HC COMPATIBILITY TEST ANTIGLOB,78
HC COMPATIBILITY TEST INCUBATE,1333
HC COMPATIBILITY TEST SPIN,617
HC COMPL AUTOM CBC W PLT,58
HC COMPL AUTOM CBC W PLT,1339
HC COMPL CBC W PLT W AUTOM DIFF,74
HC COMPL CBC W PLT W AUTOM DIFF 0305,74
HC COMPL FETAL DOPPLER ECG,503
HC COMPLEMENT AG EA,165
HC COMPLEMENT COMPONENT C1Q,158
HC COMPLEMENT; AG EA C3,165
HC COMPLEMENT; AG EA C4,165
HC COMPLEMENT; FCN ACTIVITY EA,165
HC COMPLETE BLOOD COUNT,58
HC COMPLEX CYSTOMETROGRAM,785
HC COMPLEX UROFLOWMETRY,293
HC COMPREHENSIVE AUDIOMETRY THR,880
HC COMPREHENSIVE METABOL PNL,785
HC COMPREHENSIVE PLATELET DISORDER  ( PRICE PANEL CHARGE),9974.95
HC COMPUTER AID DETECT BREAST MRI,48
HC COMPUTER MORPHOMETRIC ANAL EA AB,528
HC CONCENTRAT INFECT AGENTS,92
HC CONCENTRATION INFECTIOUS AGENT,92
HC CONDITIONING PLAY AUDIOMETRY,880
HC CONGENITAL ANOM LTD,816
HC CONSULT FR SECTION ADDL BL,163
HC CONSULTATION REFERRED SLIDES,163
HC CONSULTATION REFERRED SLIDES - CYTO,163
HC CONSULTATION  FROZEN SECTION,349
HC CONT INHAL TREAT EA ADDL HR,224
HC CONT INHALATION TREAT 1st HR,224
HC CONT INJ RAD EVAL CV ACC DEV,138
HC CONTINOUS VENOVENOUS HEMOFILIT,1538
HC CONTINUING MEDICAL PHYSICS CONSULT,806
HC CONTINUOUS PULSE OX,988
HC CONTRAST X-RAY BLADDER 3 VIEWS S&I,861
HC CONTROL NASAL HEMOR ANT CPLX,394
HC CONTROL NASAL HEMOR ANT SIMP,315
HC CONTROL NASAL HEMORRHAGE,315
HC CONTROLLER HEARTMATE II,15991
HC CONTRST X-RAY URINARY TRACT,828
HC CONVERSION EXT BIL DRNG CATH,3881
HC CONVERT NEPHROS CTH-NEPHROURET,1748.22
HC CONVERT PERC GT TO JT,2650
HC COOMBS TEST INDIRECT TITER,279
HC COPPER,170
HC CORNEAL TISSUE,10931
HC CORONARY ART/GRFT ANGIO S&I,9501
HC CORONARY ARTERY ANGIO S&I,7728
HC CORR TRICHIASIS EPILATION,224
HC CORTISOL,229
HC CORTISOL FREE,230
HC CORTISOL TOTAL,229
HC COST LIVER ORGAN CADAVER,36500
HC COST ORGAN HEART,31900
HC COST ORGAN KIDNEY CADAVAR,34950
HC COST ORGAN KIDNEY LIVE DONOR,23181
HC COST ORGAN LIVER LIVE,33269
HC COST ORGAN LIVER LIVE,33269
HC COST ORGAN PANCREAS,45500
HC CPAP ORAL/NASAL MASK,91
HC C-PEPTIDE,287
HC CPK: MB FRACTION ONLY,108
HC CPR,1230
HC CRANIAL HELMET,562
HC CRANIAL IMPLANT,25895
HC CRANIAL NEUROSTIM COMPLEX,456
HC CRANIAL NEUROSTIM COMPLEX EA ADD 30MINS,234
HC C-REACTIVE PROTEIN,73
HC C-REACTIVE PROTEIN HS,181
HC C-REACTIVE PROTEIN-SO,56
HC CREATINE KINASE ISOENZYMES,184
HC CREATINE KINASE TOTAL,90
HC CREATINE URINE,66
HC CREATININE CLEARANCE/URINE + B,132
HC CREATININE WHOLE BLOOD,67
HC CREATININE  OTHER SOURCE,72
HC CREATININE  SERUM,67
HC CREATININE; NOT BLOOD URINE,72
HC CREP E/N/E/L; 1.1-2.5CM,380
HC CREP F/G/H/F; 2.6-7.5CM,380
HC CREP S/A/L; 2.6-7.5CM,380
HC CRITICAL CARE  ADDL 30 MIN,1933
HC CRITICAL CARE 1ST HOUR,3735
HC CRMP-5 IGG WB; IM ID FOR BANDS,361
HC CROSSMATCH-IMMED.SPIN - CHRG O,67
HC CRRT IN OR >12 HRS IN ADVANCE,951
HC CRYO TEM PROBES,774
HC CRYOABLAT LIVER TUMOR(S) PERC,4145
HC CRYOABLAT LOW RISK BREAST CA,8586.63
HC CRYOFIBRINOGEN,95
HC CRYOGLOBULIN - QUAL/SEMI QUAN,91
HC CRYOGLOBULIN QUAL,60
HC CRYOPR REDUCED PLASMA EA UNIT,274
HC CRYOPRECIPITATE EA UNIT,289
HC CRYOPRESERVE STEM CELLS PREP FEE,90
HC CRYOPROBES,7107
HC CRYOSURG ABLAT FA EA - BREAST,8240
HC CRYOTHERAPY UNIT,1627
HC CRYPTOSPORIDIUM ANTIGEN,45
HC CRYPTOSPORIDIUMANTIGEN DFA,140
HC CRYPTOSPORIDIUMANTIGEN DFA (PRICE PANEL CHARGE),945.99
HC CRYPTOSPORIDIUMANTIGEN DFA (PRICE PANEL CHARGE),139.97
HC CRYSTAL EXAMINATION FLUID,100
HC CRYSTAL IDENTIFICATION,100
HC CSF FLOW; VENTRICULOGRAPHY,1406
HC CSF PANEL CPT 86255  REV CODE 302,394.19
HC CSF PANEL CPT 86341 REV CODE 302,394.19
HC CT - HEAD/BRAIN W & WO CONTRAST,2647
HC CT - HEAD/BRAIN W CONTRAST,2276
HC CT - HEAD/BRAIN WO CONTRAST,1860
HC CT - ORBIT SELLA MID/IN EAR W CONT,1975
HC CT 3D W/IND WRKSTA POSTPROC,494
HC CT 3D W/O IND WRKSTA POSTPROC,218
HC CT ABD & PELVIS W/O + W CONT,3734
HC CT ABD & PELVIS W/O CONT,2855
HC CT ABD & PELVIS WITH CONT,3139
HC CT ABD/PELVIS W/O + W/ CONT,3734
HC CT ABD/PELVIS W/O CONT,2855
HC CT ABD/PELVIS WITH CONT,3139
HC CT ANGIO ABD/PEL W +W/O CONT,5090
HC CT ANGIO ABDOM W/O & W/DYE,4519
HC CT ANGIO HRT W/3D IMAGE,4403
HC CT ANGIO LWR EXTR W/O&W/DYE,4484
HC CT ANGIO UPR EXTRM W/O&W/DYE,4484
HC CT BIOPSY BONE MARROW,989
HC CT BX NDL SUPERFIC LYMPH NODE,1250
HC CT CALCIUM SCORING HEART,375
HC CT CEREBRAL PERFUSION W/CONT,2276
HC CT CERV SPINE W/O & W/CONTRAST,2787
HC CT FACIAL BONES W/CONTRAST,2525
HC CT FACIAL BONES W/O CONTRAST,2197
HC CT GUID ASPIRATION BONE MARROW,797
HC CT GUID NEEDLE PLACE S&I,2287
HC CT GUID/MON PARENCHYML TIS ABL,2287
HC CT GUIDANCE CONE BEAM,838
HC CT GUIDE STERO W/O/W CONTRAST,2444
HC CT HEART CONGEN W/CON INCL 3D,2737
HC CT HEART W/CON INCL 3D IMG,2737
HC CT LIMITED/LOCALIZED FU,787
HC CT LOWER EXT W AND W/O CONT,3720
HC CT LUMBAR SPINE W/CONTRAST,2437
HC CT LUMBAR SPINE W/O & W/CONT,2773
HC CT LUNG SCREENING W/O CONT,386
HC CT NECK W/CONTRAST,2525
HC CT NECK W/O CONTRAST,2265
HC CT NECK W/O/W CONTRAST,2939
HC CT ORBIT SELLA MID/IN EAR WO CONT,1740
HC CT PELVIS W/CONTRAST,2110
HC CT PELVIS W/O CONTRAST,1970
HC CT SCAN PELVIS W/O + W/CONTRAS,3090
HC CT THORACIC SPINE W/CONTRAST,2437
HC CT THORACIC SPINE W/O & W/CONT,3145
HC CT THORAX CONTRAST,2737
HC CT THORAX W/O + W/CONTRAST,3239
HC CT THORAX W/O CONTRAST,2197
HC CT UPPER EXT W AND W/O CONT,3720
HC CT VIRTUAL COLON DIAG W/O CON,2118
HC CT VIRTUAL COLONOSCOPY SCREEN,1970
HC CT; U EXTR W CONTRAST,3009
HC CT; U EXTR WO CONTRAST,2265
HC CTA ABD AORTA/BIL ILIOFEM LE,4519
HC CTA CHEST W/O/W CONTRAST,4624
HC CTA HEAD W & W/O CONTRAST,4024
HC CTA NECK W & W/O CONTRAST,4317
HC CTA PELVIS W/O/W CONTRAST,4465
HC CT-CERVICAL SPINE-CONTRAST,2437
HC CT-CERVICAL SPINE-NO CONTRAST,2242
HC CT-EXTREMITIES LOWER NO CONTRA,2324
HC CT-EXTREMITIES LOWER-CONTRAST,2885
HC CT-FACIAL BONES W/O + W/CONTRA,2724
HC CTH W/ANG DIAL CIRC-TL BAL ANG,15806
HC CT-LUMBAR SPINE-NO CONTRAST,2242
HC CT-NECK CONTRAST,2525
HC CT-NECK NO CONTRAST,2265
HC CT-NECK W/O + W/CONTRAST,2939
HC CT-SCAN-ABDOMEN NO CONTRAST,2265
HC CT-SCAN-ABDOMEN W/O + W/CONTRA,3143
HC CT-SCAN-ABDOMEN-CONTRAST,2550
HC CT-SCAN-ORBIT W/O + W/CONTRAST,2344
HC CT-THORACIC SPINE-NO CONTRAST,2307
HC CULT FUNGUS W P ID; SKIN HR NL,108
HC CULT MYCOBACTERIA DEFIN ID EA,155
HC CULT PRESUMPT PATHOGENIC,90
HC CULT TYPING IMMUNOFLUOR,66
HC CULTURE AFB - ISOL & ID,150
HC CULTURE BACT AEROBIC ISOLATE,90
HC CULTURE BACT ANAEROBIC ISOLATE,90
HC CULTURE BACT URINE QUANT W/IDE,92
HC CULTURE CHLAMYDIA,269
HC CULTURE FUNGI MOLD,145
HC CULTURE MYCOPLASMA/UREAPLASMA,185
HC CULTURE TYPING GLC/HPLC (SENDOUT),96
HC CULTURE  VIRUS,341
HC CULTURE  VZV  RAPID,255
HC CULTURE; IMMUNOLOGIC,73
HC CULTURE; OTHER METHODS,73
HC CVC PLACEMENT TUNNELED >5YR,4683
HC CVC PLCMT NON-TUNNELED > 5YR,2003
HC CVSLR STRESS TEST; TRACING,1449
HC CYANIDE,267
HC CYCLIC CITRULLIN PEPTIDE,181
HC CYCLOSPORINE A,253
HC CYST W INS OF INDWELL URETER STNT,5244
HC CYSTICERCUS ANTIBODY  ELISA,236
HC CYSTOMETROGRAM W/VP&UP,871
HC CYSTOURETHROSCOPY,2172
HC CYTO CONCENTRATION SMEAR,173
HC CYTO SMEARS PREP AND SCREENING,163
HC CYTOCHROME P450 CYP2C19 GENOTYPE FOR DRUG METABOLISM,880
HC CYTOCHROME P450 CYP2C9 GENOTYPE FOR DRUG METABOLISM,528
HC CYTOCHROME P450 CYP2D6 GENOTYPE FOR DRUG METABOLISM,1362
HC CYTOGEN M ARRAY COPY NO&SNP,219
HC CYTOGENETICS INTERP/REPORT,504
HC CYTOL BRUSH BARD PED,36
HC CYTOMEGALOVIRUS (CMV),155
HC CYTOMEGALOVIRUS (CMV) GENOTYPE,563
HC CYTOMEGALOVIRUS AB,199
HC CYTOMEGALOVIRUS DNA  QUALITATIVE REAL-TIME PCR,427
HC CYTOMEGALOVIRUS DNA  QUANTITATIVE  REAL-TIME PCR,497
HC CYTOMEGALOVIRUS QUANT,589
HC CYTOPATHOLOGY TOUCH PREP,163
HC D/R-SURG PROCEDURE-DILATION/CU,4625
HC DARK ADAPTATION EXAM W INT & R,314
HC DARVON  QUALITATIVE,190
HC D-DIMER - QUAN,114
HC D-DIMER- QUAL/SEMIQUAN,100
HC DEB BONE ADD-ON =<20 SQ CM,2221
HC DEBRIDE SUBCUT TIS 20 SQ CM/<,1009
HC DEBRIDEMENT OF EXTENSIVE ECZEMATOUS OR INFECTED SKIN; UP TO 10% BODY SURFACE,1537
HC DECALCIFICATION,102
HC DECLOT VASCULAR DEVICE,362
HC DEFECOGRAM,1263
HC DELIVERY ROOM SURGICAL PROCEDU,4625
HC DELIVERY ROOM-TUBAL LIGATION,983
HC DELTA-AMINLEVULINIC ACID,226
HC DEOXYCORTISOL 11,255
HC DEOXYRIBONUCLEASE AB,181
HC DESIGNATED DONATION HANDLING F,52
HC DESIPRAMINE,237
HC DESMOGLEIN ANTIBODIES (1 AND 3),156
HC DESOXYCORTICOSTERONE 11,426
HC DESTRUCT  FACET JT NRV;C/T SNGL,4556
HC Destruction by neurolytic agent  paravertebral facet joint nerves  with imaging guidance (FL or CT); cervical or thoracic  EA ADDL FACET JOINT,2278
HC Destruction by neurolytic agent  paravertebral facet joint nerves  with imaging guidance (FL or CT); Lumbar or sacral  EA ADDL FACET JOINT,2561.61
HC Destruction by neurolytic agent  paravertebral facet joint nerves  with imaging guidance (FL or CT); Lumbar or sacral  SINGLE FACET JOINT,5123.71
HC DEV OF COG SKILLS PER 15MIN,142
HC DEVIATE - STAND BB PROCED,254
HC DEXA 1/> SITES AXIAL SKELETON,836
HC DEXA PERIPHERAL SKELETON STUDY,293
