Category,MSDRG,MSDRG Description,Average Case
Surgical,419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,"$25,584.96 "
Oncology,420,HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC, 
Surgical,421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC, 
Surgical,423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC, 
Surgical,424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC, 
Surgical,425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC, 
Medical,432,CIRRHOSIS & ALCOHOLIC HEPATITIS W MCC,"$25,895.71 "
Medical,433,CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"$20,053.13 "
Medical,434,CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC, 
Oncology,435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC, 
Oncology,436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC, 
Oncology,437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC, 
Medical,438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$40,843.84 "
Medical,439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$12,333.75 "
Medical,440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$9,937.09 "
Medical,441,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","$26,964.57 "
Medical,442,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","$18,659.04 "
Medical,443,"DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","$16,848.65 "
Medical,444,DISORDERS OF THE BILIARY TRACT W MCC, 
Medical,445,DISORDERS OF THE BILIARY TRACT W CC, 
Medical,446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$16,218.36 "
Neurosciences,453,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC, 
Neurosciences,454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"$127,790.45 "
Neurosciences,455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"$98,882.57 "
Neurosciences,456,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC, 
Neurosciences,457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC, 
Neurosciences,458,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC, 
Neurosciences,459,SPINAL FUSION EXCEPT CERVICAL W MCC, 
Neurosciences,460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,"$108,283.21 "
Orthopedics,461,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W MCC, 
Orthopedics,462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"$132,413.98 "
Orthopedics,463,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC","$60,263.91 "
Orthopedics,464,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","$68,889.91 "
Orthopedics,465,"WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC", 
Orthopedics,466,REVISION OF HIP OR KNEE REPLACEMENT W MCC, 
Orthopedics,467,REVISION OF HIP OR KNEE REPLACEMENT W CC,"$62,175.72 "
Orthopedics,468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"$51,366.17 "
Orthopedics,469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"$61,883.52 "
Orthopedics,470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$33,888.79 "
Neurosciences,471,CERVICAL SPINAL FUSION W MCC,"$54,487.29 "
Neurosciences,472,CERVICAL SPINAL FUSION W CC,"$57,569.65 "
Neurosciences,473,CERVICAL SPINAL FUSION W/O CC/MCC,"$48,375.46 "
Orthopedics,474,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC, 
Orthopedics,475,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC, 
Orthopedics,476,AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC, 
Orthopedics,477,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC, 
Orthopedics,478,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,"$57,514.16 "
Orthopedics,479,BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,"$33,207.46 "
Orthopedics,480,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"$33,115.48 "
Orthopedics,481,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"$26,598.66 "
Orthopedics,482,HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"$27,756.85 "
Orthopedics,483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"$41,888.53 "
Orthopedics,485,KNEE PROCEDURES W PDX OF INFECTION W MCC, 
Orthopedics,486,KNEE PROCEDURES W PDX OF INFECTION W CC, 
Orthopedics,487,KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,"$26,947.88 "
Orthopedics,488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"$29,844.09 "
Orthopedics,489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"$22,974.12 "
Orthopedics,492,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC", 
Orthopedics,493,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","$32,477.29 "
Orthopedics,494,"LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","$23,986.18 "
Orthopedics,495,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W MCC, 
Orthopedics,496,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC, 
Orthopedics,497,LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC, 
Orthopedics,498,LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC, 
Orthopedics,499,LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W/O CC/MCC, 
Orthopedics,500,SOFT TISSUE PROCEDURES W MCC, 
Orthopedics,501,SOFT TISSUE PROCEDURES W CC,"$23,857.43 "
Orthopedics,502,SOFT TISSUE PROCEDURES W/O CC/MCC, 
Orthopedics,503,FOOT PROCEDURES W MCC, 
Orthopedics,504,FOOT PROCEDURES W CC, 
Orthopedics,505,FOOT PROCEDURES W/O CC/MCC, 
Orthopedics,506,MAJOR THUMB OR JOINT PROCEDURES, 
Orthopedics,507,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W CC/MCC, 
Orthopedics,508,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC, 
Orthopedics,509,ARTHROSCOPY, 
Orthopedics,510,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W MCC","$17,597.22 "
Orthopedics,511,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC", 
Orthopedics,512,"SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC","$20,151.48 "
Orthopedics,513,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC", 
Orthopedics,514,"HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC", 
Orthopedics,515,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC, 
Orthopedics,516,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC, 
Orthopedics,517,OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"$21,803.03 "
Orthopedics,533,FRACTURES OF FEMUR W MCC, 
Orthopedics,534,FRACTURES OF FEMUR W/O MCC,"$11,539.07 "
Orthopedics,535,FRACTURES OF HIP & PELVIS W MCC, 
Orthopedics,536,FRACTURES OF HIP & PELVIS W/O MCC,"$10,732.52 "
Orthopedics,537,"SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W CC/MCC", 
Orthopedics,538,"SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W/O CC/MCC", 
Orthopedics,539,OSTEOMYELITIS W MCC, 
Orthopedics,540,OSTEOMYELITIS W CC,"$13,630.86 "
Orthopedics,541,OSTEOMYELITIS W/O CC/MCC, 
Oncology,542,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,"$18,272.45 "
Oncology,543,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"$16,554.39 "
Oncology,544,PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,"$16,114.15 "
Medical,545,CONNECTIVE TISSUE DISORDERS W MCC,"$30,587.23 "
Medical,546,CONNECTIVE TISSUE DISORDERS W CC,"$20,483.71 "
Medical,547,CONNECTIVE TISSUE DISORDERS W/O CC/MCC, 
Medical,548,SEPTIC ARTHRITIS W MCC, 
Medical,549,SEPTIC ARTHRITIS W CC, 
Medical,550,SEPTIC ARTHRITIS W/O CC/MCC, 
Neurosciences,551,MEDICAL BACK PROBLEMS W MCC,"$18,588.55 "
Neurosciences,552,MEDICAL BACK PROBLEMS W/O MCC,"$14,697.58 "
Orthopedics,553,BONE DISEASES & ARTHROPATHIES W MCC, 
Orthopedics,554,BONE DISEASES & ARTHROPATHIES W/O MCC,"$12,385.50 "
Orthopedics,555,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC, 
Orthopedics,556,SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,"$14,674.12 "
Orthopedics,557,"TENDONITIS, MYOSITIS & BURSITIS W MCC", 
Orthopedics,558,"TENDONITIS, MYOSITIS & BURSITIS W/O MCC","$10,971.39 "
Orthopedics,559,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC","$8,305.00 "
Orthopedics,560,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC", 
Orthopedics,561,"AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC", 
Orthopedics,562,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC", 
Orthopedics,563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","$7,165.61 "
Orthopedics,564,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC, 
Orthopedics,565,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC, 
Orthopedics,566,OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,"$3,361.83 "
Surgical,573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W MCC,"$57,732.58 "
Surgical,574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W CC, 
Surgical,577,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC, 
Surgical,578,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,"$28,355.25 "
Surgical,579,"OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC","$10,781.56 "
Surgical,580,"OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","$16,798.73 "
Surgical,581,"OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","$16,175.87 "
Oncology,582,MASTECTOMY FOR MALIGNANCY W CC/MCC, 
Oncology,583,MASTECTOMY FOR MALIGNANCY W/O CC/MCC, 
Oncology,584,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC", 
Oncology,585,"BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MCC", 
Medical,592,SKIN ULCERS W MCC, 
Medical,593,SKIN ULCERS W CC, 
Medical,594,SKIN ULCERS W/O CC/MCC, 
Medical,595,MAJOR SKIN DISORDERS W MCC, 
Medical,596,MAJOR SKIN DISORDERS W/O MCC,"$7,969.43 "
Oncology,597,MALIGNANT BREAST DISORDERS W MCC, 
Oncology,598,MALIGNANT BREAST DISORDERS W CC, 
Medical,600,NON-MALIGNANT BREAST DISORDERS W CC/MCC, 
Medical,601,NON-MALIGNANT BREAST DISORDERS W/O CC/MCC, 
Medical,602,CELLULITIS W MCC,"$22,041.83 "
Medical,603,CELLULITIS W/O MCC,"$13,186.60 "
Medical,604,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC", 
Medical,605,"TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC", 
Medical,606,MINOR SKIN DISORDERS W MCC,"$22,969.61 "
Medical,607,MINOR SKIN DISORDERS W/O MCC,"$15,158.43 "
Surgical,614,ADRENAL & PITUITARY PROCEDURES W CC/MCC, 
Surgical,615,ADRENAL & PITUITARY PROCEDURES W/O CC/MCC, 
Surgical,616,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC","$89,958.02 "
Surgical,617,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","$33,971.73 "
Surgical,618,"AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W/O CC/MCC", 
Surgical,619,O.R. PROCEDURES FOR OBESITY W MCC, 
Surgical,620,O.R. PROCEDURES FOR OBESITY W CC, 
Surgical,621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC, 
Surgical,622,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W MCC", 
Surgical,623,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC","$27,751.32 "
Surgical,624,"SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W/O CC/MCC","$12,670.09 "
Surgical,625,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W MCC", 
Surgical,626,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC", 
Surgical,627,"THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC","$15,305.68 "
Surgical,628,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC", 
Surgical,629,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC","$34,832.35 "
Surgical,630,"OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W/O CC/MCC", 
Medical,637,DIABETES W MCC,"$24,269.59 "
Medical,638,DIABETES W CC,"$14,300.90 "
Medical,639,DIABETES W/O CC/MCC,"$10,069.27 "
Medical,640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","$18,069.12 "
Medical,641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","$10,449.45 "
Medical,642,INBORN AND OTHER DISORDERS OF METABOLISM, 
Medical,643,ENDOCRINE DISORDERS W MCC,"$33,327.09 "
Medical,644,ENDOCRINE DISORDERS W CC,"$13,577.80 "
Medical,645,ENDOCRINE DISORDERS W/O CC/MCC,"$7,101.43 "
Surgical,653,MAJOR BLADDER PROCEDURES W MCC,"$76,713.26 "
Surgical,654,MAJOR BLADDER PROCEDURES W CC,"$33,683.72 "
Surgical,655,MAJOR BLADDER PROCEDURES W/O CC/MCC, 
Surgical,656,KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC,"$65,189.27 "
Surgical,657,KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,"$23,410.79 "
Surgical,658,KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,"$24,085.15 "
Surgical,659,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC, 
Surgical,660,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,"$30,170.19 "
Surgical,661,KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC, 
Surgical,662,MINOR BLADDER PROCEDURES W MCC, 
Surgical,663,MINOR BLADDER PROCEDURES W CC, 
Surgical,664,MINOR BLADDER PROCEDURES W/O CC/MCC, 
Surgical,666,PROSTATECTOMY W CC, 
Surgical,667,PROSTATECTOMY W/O CC/MCC, 
Surgical,668,TRANSURETHRAL PROCEDURES W MCC,"$64,979.85 "
Surgical,669,TRANSURETHRAL PROCEDURES W CC,"$26,820.25 "
Surgical,670,TRANSURETHRAL PROCEDURES W/O CC/MCC,"$21,373.56 "
Surgical,672,URETHRAL PROCEDURES W/O CC/MCC, 
Surgical,673,OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,"$35,953.35 "
Surgical,674,OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,"$14,829.18 "
Surgical,675,OTHER KIDNEY & URINARY TRACT PROCEDURES W/O CC/MCC, 
Medical,682,RENAL FAILURE W MCC,"$21,494.19 "
Medical,683,RENAL FAILURE W CC,"$12,302.87 "
Medical,684,RENAL FAILURE W/O CC/MCC,"$6,470.16 "
Surgical,686,KIDNEY & URINARY TRACT NEOPLASMS W MCC, 
Surgical,687,KIDNEY & URINARY TRACT NEOPLASMS W CC, 
Surgical,689,KIDNEY & URINARY TRACT INFECTIONS W MCC,"$15,058.50 "
Surgical,690,KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"$13,422.33 "
Surgical,691,URINARY STONES W ESW LITHOTRIPSY W CC/MCC, 
Surgical,692,URINARY STONES W ESW LITHOTRIPSY W/O CC/MCC, 
Surgical,693,URINARY STONES W/O ESW LITHOTRIPSY W MCC,"$30,026.33 "
Surgical,694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$24,826.67 "
Surgical,695,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W MCC, 
Surgical,696,KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"$18,853.54 "
Surgical,697,URETHRAL STRICTURE, 
Surgical,698,OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"$26,014.82 "
Surgical,699,OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"$24,117.03 "
Surgical,700,OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,"$11,512.57 "
Surgical,707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,"$18,717.48 "
Surgical,708,MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"$14,742.60 "
Surgical,709,PENIS PROCEDURES W CC/MCC, 
Surgical,710,PENIS PROCEDURES W/O CC/MCC, 
Oncology,711,TESTES PROCEDURES W CC/MCC, 
Surgical,712,TESTES PROCEDURES W/O CC/MCC, 
Surgical,713,TRANSURETHRAL PROSTATECTOMY W CC/MCC,"$10,148.86 "
Surgical,714,TRANSURETHRAL PROSTATECTOMY W/O CC/MCC, 
Oncology,715,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC FOR MALIGNANCY W CC/MCC, 
Oncology,716,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC FOR MALIGNANCY W/O CC/MCC, 
Surgical,717,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC, 
Surgical,718,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W/O CC/MCC,"$18,556.65 "
Oncology,722,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W MCC", 
Oncology,723,"MALIGNANCY, MALE REPRODUCTIVE SYSTEM W CC", 
Surgical,725,BENIGN PROSTATIC HYPERTROPHY W MCC, 
Surgical,726,BENIGN PROSTATIC HYPERTROPHY W/O MCC, 
Surgical,727,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC, 
Surgical,728,INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC, 
Surgical,729,OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W CC/MCC, 
Women & Infants,734,"PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W CC/MCC", 
Women & Infants,735,"PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W/O CC/MCC", 
Oncology,736,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W MCC, 
Oncology,737,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC, 
Oncology,738,UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W/O CC/MCC, 
Oncology,739,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W MCC", 
Oncology,740,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC", 
Oncology,741,"UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W/O CC/MCC","$21,352.65 "
Women & Infants,742,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"$20,145.17 "
Women & Infants,743,UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"$19,226.25 "
Women & Infants,744,"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC","$9,480.00 "
Women & Infants,745,"D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W/O CC/MCC", 
Women & Infants,746,"VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC","$11,500.57 "
Women & Infants,747,"VAGINA, CERVIX & VULVA PROCEDURES W/O CC/MCC","$13,847.59 "
Women & Infants,748,FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,"$14,336.44 "
Women & Infants,749,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC, 
Women & Infants,750,OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC, 
Oncology,754,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC", 
Oncology,755,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC", 
Oncology,756,"MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC", 
Women & Infants,757,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W MCC", 
Women & Infants,758,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC","$31,321.06 "
Women & Infants,759,"INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC", 
Women & Infants,760,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC, 
Women & Infants,761,MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC, 
Women & Infants,765,CESAREAN SECTION W CC/MCC,"$16,163.05 "
Women & Infants,766,CESAREAN SECTION W/O CC/MCC,"$14,635.65 "
Women & Infants,767,VAGINAL DELIVERY W STERILIZATION &/OR D&C,"$12,792.25 "
Women & Infants,768,VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C,"$10,372.89 "
Women & Infants,769,POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE,"$7,348.90 "
Women & Infants,770,"ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY","$10,998.25 "
Women & Infants,774,VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"$8,467.13 "
Women & Infants,775,VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"$7,277.88 "
Women & Infants,776,POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"$9,045.75 "
Women & Infants,777,ECTOPIC PREGNANCY, 
Women & Infants,778,THREATENED ABORTION, 
Women & Infants,779,ABORTION W/O D&C,"$5,035.91 "
Women & Infants,780,FALSE LABOR, 
Women & Infants,781,OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"$13,068.10 "
Women & Infants,782,OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS,"$15,863.86 "
Women & Infants,789,"NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","$2,654.89 "
Women & Infants,790,"EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE","$1,461.50 "
Women & Infants,791,PREMATURITY W MAJOR PROBLEMS, 
Women & Infants,792,PREMATURITY W/O MAJOR PROBLEMS,"$2,224.57 "
Women & Infants,793,FULL TERM NEONATE W MAJOR PROBLEMS,"$2,731.98 "
Women & Infants,794,NEONATE W OTHER SIGNIFICANT PROBLEMS,"$2,212.17 "
Women & Infants,795,NORMAL NEWBORN,"$1,889.48 "
Surgical,799,SPLENECTOMY W MCC, 
Surgical,800,SPLENECTOMY W CC, 
Surgical,802,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W MCC,"$18,302.38 "
Surgical,803,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W CC,"$19,037.64 "
Surgical,804,OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W/O CC/MCC, 
Oncology,808,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC, 
Oncology,809,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC, 
Oncology,810,MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W/O CC/MCC,"$19,156.86 "
Oncology,811,RED BLOOD CELL DISORDERS W MCC,"$20,997.05 "
Oncology,812,RED BLOOD CELL DISORDERS W/O MCC,"$13,667.06 "
Oncology,813,COAGULATION DISORDERS,"$17,645.37 "
Oncology,814,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W MCC,"$21,260.43 "
Oncology,815,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC, 
Oncology,816,RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC, 
Oncology,820,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC, 
Oncology,821,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC, 
Oncology,822,LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC, 
Oncology,823,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W MCC,"$77,054.42 "
Oncology,824,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W CC,"$33,856.00 "
Oncology,825,LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W/O CC/MCC,"$19,938.76 "
Oncology,826,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC, 
Oncology,827,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC, 
Oncology,828,MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC, 
