Service Area|Px Code|Procedure Description|Alternate CPT/HCPCS Code|Alternate Identification|Alternate Code by Location|Alternate Code by Department|Fee Schedule Group Name|Unit Price
WS SERVICE AREA|80081422|HC ANTIDEPRESSANTS,SEROTONERGIC CLASS; 1 OR 2|G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480,G0480|20201,20202,20501,20502,21201,21202,21203,21204,21501,21601,22301,23201,23202,23203,23501,24102,24201,24202,24203,24204,24205,24301,24302,24303,24701,25401,25402,26001,26201,26202,26203,26204,26205,26206,26901,26902,26903,26904,26905,27001,27401,27402,27501,27901,30301,31601,33201,33402,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|248.00
WS SERVICE AREA|90010144|HC ER LEVEL B IV|99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284,99284|24101,24102,20101,20102,20103,20105,20601,20107,20201,20202,20705,24502,30001,31701,22202,22203,22205,22206,22207,30101,20701,20109,20108,37901,38001,24501,23107,23101,23102,23104,35502,35501,26401,36601,37501,37301,37201,32401,22701,37101,32201,37001,23602,23603,36901,25701,25703,25702,25901,26102,26501,27101,31101,36801,36701,27701,38501,38801,21109,21130,21118,21110,21125,21104,21103,21131,21105,21132,21112,21113,21133,21106,21120,21121,21117,21124,21123,21116,21122,21107,21108,21135,21126,21115,21134,21111,21119,21114,21128,21129,35401,21201,21202,21203,21204,20501,20502,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|1,261.00
WS SERVICE AREA|90010145|HC ER LEVEL B V|99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285,99285|24101,24102,20101,20102,20103,20105,20601,20107,20201,20202,20705,24502,30001,31701,22202,22203,22205,22206,22207,30101,20701,20109,20108,37901,38001,24501,23107,23101,23102,23104,35502,35501,26401,36601,37501,37301,37201,32401,22701,37101,32201,37001,23602,23603,36901,25701,25703,25702,25901,26102,26501,27101,31101,36801,36701,27701,38501,38801,21109,21130,21118,21110,21125,21104,21103,21131,21105,21132,21112,21113,21133,21106,21120,21121,21117,21124,21123,21116,21122,21107,21108,21135,21126,21115,21134,21111,21119,21114,21128,21129,35401,21201,21202,21203,21204,20501,20502,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|1,737.00
WS SERVICE AREA|80081423|HC ANTIDEPRESSANTS, SEROTONERGIC CLASS; 6 OR MORE|G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482,G0482|20201,20202,20501,20502,21201,21202,21203,21204,21501,21601,22301,23201,23202,23203,23501,24102,24201,24202,24203,24204,24205,24301,24302,24303,24701,25401,25402,26001,26201,26202,26203,26204,26205,26206,26901,26902,26903,26904,26905,27001,27401,27402,27501,27901,30301,31601,33201,33402,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|248.00
WS SERVICE AREA|90010245|HC TRACH CHANGE AFTER EST OF FISTULA|99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211|20502,24101,24102,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101,20101,20102,20103,20105,20107,20501,20601,25402|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|359.00
WS SERVICE AREA|90010256|HC VISIT LEVEL I|99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211,99211|20502,24101,24102,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101|,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|273.00
WS SERVICE AREA|90010257|HC VISIT LEVEL II|99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212,99212|20502,24101,24102,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101|,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|279.00
WS SERVICE AREA|90010258|HC VISIT LEVEL III|99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213,99213|20502,24101,24102,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101,20101,20102,20103,20105,20501,20601,25402|,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|495.00
WS SERVICE AREA|90010259|HC VISIT LEVEL IV|99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214|20502,24101,24102,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101,20101,20102,20103,20105,20501,20601,25402|,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|722.00
WS SERVICE AREA|90010260|HC VISIT LEVEL V|99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215,99215|20502,24101,24102,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101,20101,20102,20103,20105,20501,20601,25402|,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|841.00
WS SERVICE AREA|90010262|HC GENETIC COUNSELING LEVEL IV|99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214,99214|20502,24101,24102,25401,27401,27402,30201,30401,30501,30502,30503,30504,30505,30506,30507,30508,30510,30601,46801,46802,48101,51101,20101,20102,20103,20105,20107,20501,20601,25402|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|287.00
WS SERVICE AREA|91010016|HC THERAPY CRISIS INTERVENTION 60 MINS|90791,90791,90791,90791,90791,90791,90791,90791|20501,24101,24102,25401,25402,27401,46801,46802|,,,,,,,|,,,,,,,|WS HB DEFAULT|581.00
WS SERVICE AREA|93010170|HC US ARTERIAL LOWER EXT 3+ LEVELS COMP BILAT|93304,93304|24101,24102|,|,|WS HB DEFAULT|486.00
WS SERVICE AREA|93010173|HC ECHO W/O DOPPLER+COLOR W-CST|93306,93306|24101,24102|,|,|WS HB DEFAULT|1,375.00
WS SERVICE AREA|93010174|HC ECHO 2D TTE W OR W/O FOL W/CON F/U|93308,93308|24101,24102|,|,|WS HB DEFAULT|1,133.00
WS SERVICE AREA|93010179|HC ECHO BUBBLE 2D W-DOPPLER+COLOR+CST|93350,93350|24101,24102|,|,|WS HB DEFAULT|3,855.00
WS SERVICE AREA|93010200|HC ECHO 2D W-DOPPLER+COLOR+CST|93306,93306,93350,93350,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306|20501,20502,24101,24102,24103,24104,24105,24106,24107,24108,24109,24110,24111,24112,24113,24114,24115,24116,24117,24118,24119,24120,24121,24122,24123,24124,24125,25401,25402,27401,27402|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|3,608.00
WS SERVICE AREA|93010201|HC ECHO 2D+CLR+DPPLR W+W/O CST|93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306,93306|20501,20502,24101,24102,24103,24104,24105,24106,24107,24108,24109,24110,24111,24112,24113,24114,24115,24116,24117,24118,24119,24120,24121,24122,24123,24124,24125,25401,25402,27401,27402|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|3,864.00
WS SERVICE AREA|93010202|HC STRESS ECHO CM WITH CONTRAST REPORT/INTERP|93351,93351|24101,24102|,|,|WS HB DEFAULT|2,504.00
WS SERVICE AREA|93010203|HC TTE W OR W/O CONTR CONT ECG|93351,93351|24101,24102|,|,|WS HB DEFAULT|2,760.00
WS SERVICE AREA|99101000|HC OBSERVATION|99218,99218,99218,99218,99218,99218,99218,99218,99218|20501,20502,25401,25402,27402,30501,30502,46802,51101|,,,,,,,,|,,,,,,,,|WS HB DEFAULT|0.00
WS SERVICE AREA|99102000|HC OBV TELE/HIGH RISK|99218,99218,99218,99218,99218,99218,99218,99218,99218|20501,20502,25401,25402,27402,30501,30502,46802,51101|,,,,,,,,|,,,,,,,,|WS HB DEFAULT|0.00
WS SERVICE AREA|99010043|HC OBV BEHAVIORAL HEALTH|99218,99218,99218,99218,99218,99218,99218,99218,99218|20501,20502,25401,25402,27402,30501,30502,46802,51101|,,,,,,,,|,,,,,,,,|WS HB DEFAULT|0.00
WS SERVICE AREA|96010044|HC INFLUENZA ADMIN|90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471|20501,24103,24104,24105,24106,24107,24108,24109,24110,24111,24112,24113,24114,24115,24116,24117,24118,24119,24120,24121,24122,24123,24124,24125,25401,25402,27401,27402,30301,30302,24102,20502|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|116.00
WS SERVICE AREA|96010045|HC PNEUMOCOCCAL ADMIN|90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471,90471|20501,24103,24104,24105,24106,24107,24108,24109,24110,24111,24112,24113,24114,24115,24116,24117,24118,24119,24120,24121,24122,24123,24124,24125,25401,25402,27401,27402,30301,30302,24102,20502|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|116.00
WS SERVICE AREA|99301002|HC HYPERBARIC OXYGEN THERAPY|G0277,G0277,G0277,G0277,G0277|24202,24203,24301,24302,24303|,,,,|,,,,|WS HB DEFAULT|4,011.00
WS SERVICE AREA|80010018|HC DRUG SCREEN,QUAL,MULT,CHROMAT(Q)|G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434|21103,21104,21105,21106,21107,21108,21109,21110,21111,21112,21113,21114,21115,21116,21117,21118,21119,21120,21121,21122,21123,21124,21125,21126,21128,21129,21130,21131,21132,21133,21701,21702,21703,21704,21705,21706,21707,21708,21709,21711,21712,23101,23102,23104,23107,31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,35501,35502,21204,35401,21713||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|349.00
WS SERVICE AREA|80010019|HC RAPID TOX SCREEN,URINE|G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434,G0434|21103,21104,21105,21106,21107,21108,21109,21110,21111,21112,21113,21114,21115,21116,21117,21118,21119,21120,21121,21122,21123,21124,21125,21126,21128,21129,21130,21131,21132,21133,21701,21702,21703,21704,21705,21706,21707,21708,21709,21711,21712,23101,23102,23104,23107,31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,35501,35502,21204,35401,21713||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|559.00
WS SERVICE AREA|15010072|HC MAM DIG HOSPITAL COURTESY|G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,24402,24701,26001,26901,26902,26903,26904,26905,26906,27501,27901,31601,33402,34801,34901,27401,27402,30201,35701,35702,30302|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|0.00
WS SERVICE AREA|15010114|HC PIP MAMMO SCREENING ONLY|G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,20201,20202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,24402,24701,26001,26901,26902,26903,26904,26905,26906,27501,27901,31601,33402,34801,34901,27401,27402,30201,35701,35702,30302,21201,21202|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|0.00
WS SERVICE AREA|15010187|HC WC MAM DIG HOSPITAL COURTESY|G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202,G0202|21601,26203,26201,26204,26202,26205,26206,30301,20501,20502,24101,24102,25402,25401,20201,20202,21201,21202,21203,21401,22301,22302,23201,23202,23203,23501,24201,24203,24204,24205,24301,24303,24402,24701,26001,26901,26902,26903,26904,26905,26906,27501,27901,31601,33402,34801,34901,27401,27402,30201,35701,35702,30302|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|0.00
WS SERVICE AREA|99301001|HC HBOT FULL BODY CHAMBER EA 30 MIN INTERVAL|99183,99183|24101,24102|,|,|WS HB DEFAULT|1,003.00
WS SERVICE AREA|99101001|HC OBSERVATION|99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218,99218|20501,20502,24101,24102,24103,24104,24105,24106,24107,24108,24109,24110,24111,24112,24113,24114,24115,24116,24117,24118,24119,24120,24121,24122,24123,24124,24125,24127,24128,24129,24130,24131,24132,24133,24134,24135,24136,24137,24138,24139,24140,24141,24142,24143,24144,24145,24146,25401,25402,27402,30501,30502,46802,51101|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|0.00
WS SERVICE AREA|93010286|HC STENT DES LC/LCX ARTERY OR BRANCH|C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600|31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|11,084.00
WS SERVICE AREA|93010285|HC STENT DES LD/LAD ARTERY OR BRANCH|C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600|31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|11,084.00
WS SERVICE AREA|93010288|HC STENT DES LM ARTERY|C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600|31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|11,084.00
WS SERVICE AREA|93010287|HC STENT DES RC/RCA ARTERY OR BRANCH|C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600|31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|11,084.00
WS SERVICE AREA|93010289|HC STENT DES RAMUS ARTERY|C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600,C9600|31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|11,084.00
WS SERVICE AREA|93010294|HC STENT DES LC/LCX ADDITIONAL BRANCH|C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601|31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|5,546.00
WS SERVICE AREA|93010293|HC STENT DES LD/LAD  ADDITIONAL BRANCH|C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601|31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|5,546.00
WS SERVICE AREA|93010295|HC STENT DES RC/RCA ADDITIONAL BRANCH|C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601,C9601|31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|5,546.00
WS SERVICE AREA|93010301|HC ATHERECTOMY AND DES STENT LD/LAD|C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602,C9602|31601,20201,20202,21201,21202,21203,21401,22301,23201,23202,24201,23203,23501,24202,24203,24205,24301,24302,24303,24701,26001,26901,26902,26903,26904,26905,27001,27501,27901,28501,34801,34901|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|WS HB DEFAULT|21,458.00
