MEDICATION,CHARGE
DEXAMETHASONE INJ PER 1MG,$54.43
DEXAMETHASONE INJ PER 1MG,$53.45
DEXMEDETOMIDINE 100 MCG/ML IV,$93.58
DEXMEDETOMIDINE 100 MCG/ML IV,$178.21
DEXMEDETOMIDINE 100 MCG/ML IV,$64.17
DEXMEDETOMIDINE 100 MCG/ML IV,$140.68
DEXMEDETOMIDINE 400 MCG/100 ML,$150.00
DEXMEDETOMIDINE 200 MCG/50 ML,$261.09
DEXMEDETOMIDINE 4 MCG/ML INJ,$791.25
DEXMETHYLPHENIDATE 10 MG TAB,$15.66
DEXMETHYLPHENIDATE 5 MG TAB,$14.55
DEXMETHYLPHENIDATE SR 10 MG CAP,$35.73
DEXMETHYLPHENIDATE SR 10 MG CAP,$32.13
DEXMETHYLPHENIDATE SR 15 MG CAP,$36.42
DEXMETHYLPHENIDATE SR 15 MG CAP,$24.00
DEXMETHYLPHENIDATE ER 20 MG CAPSULE,$36.42
DEXMETHYLPHENIDATE ER 20 MG CAPSULE,$25.26
DEXMETHYLPHENIDATE ER 5 MG CAP,$27.81
DEXRAZOXANE INJ PER 250MG,$838.11
DEXRAZOXANE INJ PER 250MG,$883.71
DEXRAZOXANE INJ PER 250MG,$788.08
DEXRAZOXANE INJ PER 250MG,"$1,471.60"
DEXRAZOXANE INJ PER 250MG,"$1,471.60"
DEXRAZOXANE INJ PER 250MG,$798.15
DEXTRAN 40 IN D5W 10 %-5 % IV,$150.00
DEXTRAN 40 NS 10% IV PER 500 ML,$150.00
DEXTRAN 40 NS 10% IV PER 500 ML,$150.00
DEXTROAMPHETAMINE 5 MG TAB,$18.39
DEXTROAMPHETAMINE 5 MG TAB,$20.70
DEXTROAMPHETAMINE SR 10 MG CAP,$21.75
DEXTROAMPHETAMINE SR 10 MG CAP,$13.92
DEXTROAMPHETAMINE SR 5 MG CAP,$19.80
MUCINEX DM (ALT*) TAB,$9.93
NUEDEXTA (ALT*) CAPSULE,$41.51
DEXTROSE 40 % ORAL GEL,$93.72
DEXTROSE 40 % ORAL GEL,$20.78
DEXTROSE 40 % ORAL GEL,$21.83
DEXTROSE 5%-1/2 NORMAL SALINE IV,$100.00
DEXTROSE 10% IN WATER (D10W) IV,$100.00
DEXTROSE 10% IN WATER (D10W) IV,$100.00
DEXTROSE 10% IN WATER (D10W) IV,$100.00
DEXTROSE 10% IN WATER (D10W) IV,$100.00
DEXTROSE 10% IN WATER (D10W) IV,$100.00
DEXTROSE 10% IN WATER (D10W) IV,$100.00
DEXTROSE 10% IV-INSULIN PROTOCOL,$100.00
DEXTROSE 10% IV-INSULIN PROTOCOL,$100.00
DEXTROSE 10% IV-INSULIN PROTOCOL,$100.00
D10W BOLUS,$100.00
D10W BOLUS,$100.00
D10W BOLUS,$100.00
D10W BOLUS,$100.00
D10W BOLUS,$100.00
D10W INFUSION,$100.00
D10W INFUSION,$100.00
D10W INFUSION,$100.00
D10W INFUSION,$100.00
D10W INFUSION,$100.00
D10W INFUSION,$100.00
DEXTROSE 10% WATER/0.2 NS SOLN,$100.00
DEXTROSE 10% WATER/0.2 NS SOLN,$100.00
DEXTROSE 10% WATER/0.45 NS SOLN,$100.00
DEXTROSE 10% WATER/0.45 NS SOLN,$100.00
DEXTROSE 10% WATER/0.9 NS SOLN,$100.00
DEXTROSE 10% WATER/0.9 NS SOLN,$100.00
dextrose 12% water iv soln,$100.00
Dextrose 12.5% IV Soln,$100.00
dextrose 15% water iv soln,$100.00
dextrose 17% water iv soln,$100.00
DEXTROSE 2.5%-1/2 NS IV,$100.00
DEXTROSE 20% IN WATER IV,$100.00
dextrose 20% water iv soln,$100.00
dextrose 22% water iv soln,$100.00
DEXTROSE 25% IV SYRINGE,$70.51
dextrose 25% water iv soln,$100.00
dextrose 3% water iv soln,$100.00
DEXTROSE 30% WATER,$97.38
DEXTROSE 30% WATER,$134.75
DEXTROSE 40% WATER,$97.38
DEXTROSE 40% WATER,$134.75
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN 0.9%NS PER 500ML,$100.00
DEXTROSE 5% IN 0.9%NS PER 500ML,$100.00
DEXTROSE 5% IN 0.9%NS PER 500ML,$100.00
DEXTROSE 5% IN NS per 500ML,$100.00
DEXTROSE 5% IN NS per 500ML,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER PER 1L,$100.00
DEXTROSE 5% IN WATER PER 1L,$100.00
DEXTROSE 5% IN WATER PER 1L,$100.00
DEXTROSE 5% IN WATER PER 1L,$100.00
DEXTROSE 5% IN WATER PER 1L,$100.00
DEXTROSE 5% IN WATER PER 1L,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
DEXTROSE 5% IN WATER,$100.00
D5W/0.2% NS  IV INFUSION,$100.00
D5W/0.2% NS WITH 10 meq of KCL,$100.00
D5W/0.2% NS WITH 20 meq of KCL,$100.00
D5W/0.45% NS IV INFUSION,$100.00
D5W/0.45% NS IV INFUSION,$100.00
D5W/0.45% NS WITH 10 MEQ OF KCL,$100.00
D5W/0.45% NS WITH 20 MEQ OF KCL,$100.00
D5W/0.9% NS INJ PER 500ML,$100.00
D5W/0.9% NS INJ PER 500ML,$100.00
D5W/5% LR IV INFUSION,$100.00
DEXTROSE 5%-1/2 NORMAL SALINE IV,$100.00
DEXTROSE 5%-1/2 NORMAL SALINE IV,$100.00
DEXTROSE 5%-1/2 NS IV,$100.00
DEXTROSE 5%-1/2 NS IV,$100.00
DEXTROSE 5%-1/4 NORMAL SALINE IV,$100.00
DEXTROSE 5%-1/4 NORMAL SALINE IV,$100.00
DEXTROSE 5%-1/4 NS IV,$100.00
D5W+LACTATED RINGER IV PER 1 L,$100.00
DEXTROSE 5%-LR 5 % IV,$100.00
dextrose 50% inj,$69.27
dextrose 50% inj,$78.15
dextrose 50% inj,$78.76
DEXTROSE 50%-INSULIN PROTOCOL,$78.15
DEXTROSE 50%-INSULIN PROTOCOL,$69.27
DEXTROSE 50%-INSULIN PROTOCOL,$78.76
DEXTROSE 50% IN WATER (D50W) IV,$56.08
DEXTROSE 50% IN WATER (D50W) IV,$100.00
DEXTROSE 50% IN WATER IV,$78.15
DEXTROSE 50% IN WATER IV,$69.27
DEXTROSE 50% IN WATER IV,$78.76
DEXTROSE 50%-INSULIN PROTOCOL,$78.15
DEXTROSE 50%-INSULIN PROTOCOL,$69.27
DEXTROSE 50%-INSULIN PROTOCOL,$78.76
dextrose 6% water iv soln,$100.00
dextrose 7.5% water iv soln,$100.00
DEXTROSE 70% IN WATER (D70W) IV,$100.00
DIATRIZOATE MEG 18 %PER 1 ML,$121.30
DIAZEPAM 1 MG/ML ORAL SOLN,$147.00
DIAZEPAM 10 MG TAB,$12.21
diazepam 1mg/ml solution,$147.00
DIAZEPAM 2 MG TAB,$12.18
DIAZEPAM 2 MG TAB,$12.06
DIAZEPAM 2 MG TAB,$12.18
DIAZEPAM 2.5 MG RECTAL KIT,$474.33
DIAZEPAM 5 MG TAB,$12.21
DIAZEPAM 5 MG TAB,$12.12
DIAZEPAM 5 MG/ML INJECTION,$151.78
DIAZEPAM INJ PER 5 MG,$98.62
DIAZEPAM INJ PER 5 MG,$98.62
DIAZEPAM 5 MG-7.5 MG-10 MG RECTAL,$738.40
DIAZEPAM 5 MG-7.5 MG-10 MG RECTAL,$322.80
DIAZOXIDE 50 MG/ML ORAL SUSP,$775.43
diazoxide 50 mg/ml  suspension,$775.43
DICLOFENAC 25 MG TAB,$12.94
DICLOFENAC 50 MG TAB,$9.93
DICLOFENAC 50 MG TAB,$9.19
DICLOFENAC 50 MG TAB,$9.19
DICLOFENAC 75 MG TAB,$9.26
DICYCLOMINE 10 MG CAP,$8.35
DICYCLOMINE 10 MG CAP,$8.11
DICYCLOMINE 10 MG CAP,$9.65
DICYCLOMINE 10 MG CAP,$8.35
DICYCLOMINE 10 MG CAP,$8.63
DICYCLOMINE 10 MG/5 ML ORAL SOLN,$392.77
DICYCLOMINE PER 20 MG INJ,$224.14
DICYCLOMINE 20 MG TAB,$8.46
DICYCLOMINE 20 MG TAB,$8.32
DICYCLOMINE 20 MG TAB,$8.46
DIDANOSINE EC 125 MG CAP,$26.81
DIDANOSINE 250 MG CAP,$36.02
DIDANOSINE 400 MG CAP,$51.75
DIFLORASONE 0.05 % OINTMENT,$379.05
DIFLUNISAL 500 MG TAB,$12.90
DIFLUNISAL 500 MG TAB,$12.27
digoxin inj per 500 mcg,$66.50
digoxin 10 mcg/ml in,$66.50
DIGOXIN PER 0.5 MG INJ,$276.34
digoxin inj per 500 mcg,$276.34
digoxin inj per 500 mcg,$276.34
DIGOXIN 125 MCG TAB,$11.96
DIGOXIN 125 MCG TAB,$12.20
DIGOXIN 250 MCG TAB,$11.96
DIGOXIN 250 MCG TAB,$12.17
DIGOXIN 250 MCG TAB,$12.20
DIGOXIN 250 MCG TAB,$11.82
DIGOXIN PER 0.5 MG INJ,$63.26
DIGOXIN PER 0.5 MG INJ,$74.28
digoxin 50 MCG/ml oral,$92.00
digoxin 50 MCG/ml oral,$92.00
DIGOXIN 50 MCG/ML ORAL SOLN,$92.00
DIGOXIN 62.5 MCG TAB,$15.96
DIGOXIN IMMUNE FAB INJ PER VIAL,"$10,333.56"
DIHYDROERGOTAMINE 1 MG/ML INJ,$248.77
DIHYDROERGOTAMINE 1 MG/ML INJ,"$1,761.28"
DILTIAZEM 15 MG TAB,$12.21
DILTIAZEM 30 MG TAB,$8.39
DILTIAZEM 30 MG TAB,$8.21
DILTIAZEM 30 MG TAB,$8.32
DILTIAZEM 30 MG TAB,$8.21
DILTIAZEM 30 MG TAB,$8.36
DILTIAZEM 5 MG/ML IV,$67.06
DILTIAZEM 5 MG/ML IV,$86.14
DILTIAZEM 5 MG/ML IV,$59.36
DILTIAZEM 5 MG/ML IV,$65.41
DILTIAZEM 5 MG/ML IV,$56.31
DILTIAZEM 5 MG/ML IV,$57.05
DILTIAZEM 5 MG/ML IV,$56.50
DILTIAZEM 5 MG/ML IV,$59.43
DILTIAZEM 5 MG/ML IV,$56.86
DILTIAZEM 60 MG TAB,$8.42
DILTIAZEM 60 MG TAB,$9.09
DILTIAZEM 60 MG TAB,$8.32
DILTIAZEM 60 MG TAB,$8.32
DILTIAZEM 60 MG TAB,$8.42
DILTIAZEM 60 MG TAB,$8.63
DILTIAZEM 90 MG TAB,$8.63
DILTIAZEM 90 MG TAB,$8.63
DILTIAZEM SR 120 MG 24 HR CAP,$9.09
DILTIAZEM SR 120 MG 24 HR CAP,$9.05
DILTIAZEM SR 120 MG 24 HR CAP,$9.09
DILTIAZEM SR 120 MG 24 HR CAP,$9.02
DILTIAZEM CD 180 MG 24 HR CAP,$9.26
DILTIAZEM CD 180 MG 24 HR CAP,$8.77
DILTIAZEM CD 180 MG 24 HR CAP,$8.77
DILTIAZEM SR 240 MG 24 HR CAP,$13.01
DILTIAZEM SR 240 MG 24 HR CAP,$9.12
DILTIAZEM SR 240 MG 24 HR CAP,$9.12
DILTIAZEM SR 300 MG 24 HR CAP,$12.31
DILTIAZEM SR 300 MG 24 HR CAP,$12.06
DILTIAZEM SR 300 MG 24 HR CAP,$12.31
DIMETHICONE-ZINC OXIDE TOP CRM,$49.75
DIMETHYL SULFOXIDE INJ PER 50 ML,"$3,112.58"
DIMETHYL SULFOXIDE 99 % SOLN,"$10,078.22"
DINOPROSTONE 20 MG VAGINAL SUPP,"$6,913.18"
DINOPROSTONE SR 10 MG VAGINAL,"$1,602.55"
DINOPROSTONE SR 10 MG VAGINAL,"$1,624.00"
DINOPROSTONE SR 10 MG VAGINAL,"$1,624.00"
DINUTUXIMAB 3.5 MG INJ,"$47,051.63"
DIPHENHYDRAMINE ORAL PER 50MG,$13.32
DIPHENHYDRAMINE ORAL PER 50MG,$28.56
DIPHENHYDRAMINE ORAL PER 50MG,$28.56
diphenhydramine oral per 50mg,$13.32
DIPHENHYDRAMINE ORAL PER 50MG,$8.07
DIPHENHYDRAMINE ORAL PER 50MG,$8.11
DIPHENHYDRAMINE ORAL PER 50MG,$8.11
DIPHENHYDRAMINE ORAL PER 50MG,$8.12
DIPHENHYDRAMINE 50 MG/ML INJ,$52.08
diphenhydramine inj per 50mg,$52.08
DIPHENHYDRAMINE INJ PER 20MG,$66.50
BENADRYL (ALT*) TOPICAL CREAM,$33.76
LOMOTIL  2.5 MG-0.025 MG TAB,$13.56
LOMOTIL (ALT*) ORAL LIQUID,$37.20
BOOSTRIX (ALT*) INJ PER 0.5 ML,$147.38
BOOSTRIX (ALT*) INJ PER 0.5 ML,$147.38
TETAN-DIPTH-PERI-ACELL INJ,$156.56
TETAN-DIPTH-PERI-ACELL INJ,$156.56
DIPYRIDAMOLE 12.5 MG TAB,$13.19
DIPYRIDAMOLE 25 MG TAB,$8.21
DIPYRIDAMOLE 25 MG TAB,$9.30
AGGRENOX (ALT*) 200MG-25MG CAP,$27.57
AGGRENOX (ALT*) 200MG-25MG CAP,$25.29
disopyramide 10 mg/mL oral susp,"$1,692.00"
DISOPYRAMIDE 100 MG CAP,$9.82
DISOPYRAMIDE 150 MG CAP,$18.29
DISOPYRAMIDE SR 100 MG CAP,$15.88
DIVALPROEX 125 MG SPRINKLE CAP,$12.94
DIVALPROEX 125 MG SPRINKLE CAP,$10.80
DIVALPROEX 125 MG SPRINKLE CAP,$10.73
DIVALPROEX 125 MG SPRINKLE CAP,$10.80
DIVALPROEX 125 MG TAB,$8.18
DIVALPROEX 125 MG TAB,$8.56
DIVALPROEX 250 MG TAB,$9.05
DIVALPROEX 250 MG TAB,$8.70
DIVALPROEX 250 MG TAB,$8.21
DIVALPROEX 500 MG TAB,$10.10
DIVALPROEX 500 MG TAB,$9.05
DIVALPROEX 500 MG TAB,$10.14
DIVALPROEX 500 MG TAB,$8.35
DIVALPROEX SR 250 MG 24 HR TAB,$17.21
DIVALPROEX SR 250 MG 24 HR TAB,$12.80
DIVALPROEX SR 500 MG 24 HR TAB,$23.30
DIVALPROEX SR 500 MG 24 HR TAB,$24.17
DIVALPROEX SR 500 MG 24 HR TAB,$19.80
DIVALPROEX SR 500 MG 24 HR TAB,$12.94
DOBUTAMINE INJ PER 250MG,$63.65
DOBUTAMINE INJ PER 250MG,$150.00
DOBUTAMINE INJ PER 250MG,$150.00
DOBUTAMINE INJ PER 250MG,$150.00
DOBUTAMINE INJ PER 250MG,$150.00
DOBUTAMINE INJ PER 250MG,$150.00
DOCETAXIL INJ PER 1MG,"$1,501.79"
DOCETAXIL INJ PER 1MG,$298.14
DOCETAXIL INJ PER 1MG,$368.30
DOCETAXIL INJ PER 1MG,$235.99
docetaxel inj per 1 mg,$628.03
docetaxel inj per 1 mg,$709.63
docetaxel inj per 1 mg,$720.15
docetaxel inj per 1 mg,"$1,251.13"
docetaxel inj per 1 mg,$617.66
DOCUSATE SODIUM 100 MG CAP,$8.11
DOCUSATE SODIUM 100 MG CAP,$8.09
DOCUSATE SODIUM 100 MG CAP,$8.04
DOCUSATE SODIUM 283 MG ENEMA,$8.27
DOCUSATE SODIUM 283 MG ENEMA,$15.98
DOFETILIDE 125 MCG CAP,$24.35
DOFETILIDE 125 MCG CAP,$24.21
DOFETILIDE 250 MCG CAP,$23.23
DOFETILIDE 250 MCG CAP,$20.74
DOFETILIDE 500 MCG CAP,$24.35
DOFETILIDE 500 MCG CAP,$20.53
DOLASETRON INJ PER 10MG,$115.16
Doultegravir per 50mg tablet,$426.99
DONEPEZIL 2.5 MG TAB,$13.47
DONEPEZIL 5 MG TAB,$54.87
DONEPEZIL 5 MG TAB,$9.47
DONEPEZIL 5 MG TAB,$8.49
DONEPEZIL 5 MG TAB,$10.10
DONEPEZIL 5 MG TAB,$8.42
DONEPEZIL 5 MG TAB,$8.39
DONEPEZIL 5 MG TAB,$8.39
DOPAMINE INJ PER 40MG,$55.46
DOPAMINE INJ PER 40MG,$53.87
DOPAMINE INJ PER 40MG,$60.63
DOPAMINE INJ PER 40MG,$150.00
DOPAMINE INJ PER 40MG,$150.00
DORIPENUM INJ PER 10 MG,$120.10
DORIPENUM INJ PER 10 MG,$177.47
DORNASE ALFA INH PER 1 MG,$272.45
DORNASE ALFA INH PER 1 MG,$272.45
DORZOLAMIDE 2 % EYE DROPS,$218.14
DORZOLAMIDE 2 % EYE DROPS,$133.72
DORZOLAMIDE 2 % EYE DROPS,$51.71
DORZOLAMIDE 2 % EYE DROPS,$119.48
DOXAZOSIN 0.5 MG TAB,$15.05
DOXAZOSIN 1 MG TAB,$11.05
DOXAZOSIN 1 MG TAB,$11.05
DOXAZOSIN 2 MG TAB,$11.12
DOXAZOSIN 2 MG TAB,$11.05
DOXAZOSIN 2 MG TAB,$11.05
DOXAZOSIN 4 MG TAB,$11.26
DOXAZOSIN 4 MG TAB,$14.09
DOXEPIN 10 MG CAP,$9.65
DOXEPIN 100 MG CAP,$11.15
DOXEPIN 100 MG CAP,$11.15
DOXEPIN 25 MG CAP,$9.30
DOXEPIN 25 MG CAP,$9.19
DOXEPIN 25 MG CAP,$9.30
DOXEPIN 3 MG TABLET,$26.46
DOXEPIN 50 MG CAP,$9.89
DOXEPIN 50 MG CAP,$9.89
DOXERCALCIFEROL 0.5 MCG CAP,$52.36
DOXERCALCIFEROL 0.5 MCG CAP,$43.17
DOXERCALCIFEROL 0.5 MCG CAP,$25.97
DOXERCALCIFEROL 2.5 MCG CAP,$102.89
DOXERCALCIFEROL 2.5 MCG CAP,$88.49
DOXERCALCIFEROL 2.5 MCG CAP,$50.02
DOXERCALCIFEROL INJ PER 1MCG,$76.26
DOXERCALCIFEROL INJ PER 1MCG,$156.93
DOXORUBICIN INJ PER 10MG,$198.40
DOXORUBICIN INJ PER 10MG,$172.36
DOXORUBICIN INJ PER 10MG,$174.00
DOXORUBICIN INJ PER 10MG,$198.40
DOXORUBICIN INJ PER 10MG,$519.88
DOXORUBICIN INJ PER 10MG,$452.08
DOXORUBICIN INJ PER 10MG,$198.52
DOXORUBICIN INJ PER 10MG,$217.56
DOXORUBICIN INJ PER 10MG,$873.42
DOXORUBICIN INJ PER 10MG,$783.57
DOXORUBICIN INJ PER 10MG,$300.12
DOXORUBICIN INJ PER 10MG,$237.92
DOXORUBICIN INJ PER 10MG,$219.24
doxorubicin inj per 10 mg,"$2,934.60"
doxorubicin inj per 10 mg,"$2,504.41"
DOXYCYCLINE HYCLATE 100 MG CAP,$10.80
DOXYCYCLINE HYCLATE 100 MG CAP,$25.97
DOXYCYCLINE HYCLATE 100 MG CAP,$8.95
DOXYCYCLINE HYCLATE 100 MG IV,$106.00
DOXYCYCLINE HYCLATE 100 MG IV,$106.00
DRONABINOL 2.5 MG CAP,$19.80
DRONEDARONE 200 MG TAB,$33.78
DRONEDARONE 400 MG TAB,$29.78
YAZ 28 (ALT*) 3 MG-20 MCG PACK,$681.63
YAZ 28 (ALT*) 3 MG-20 MCG PACK,$681.63
DULOXETINE 20 MG CAP,$27.79
DULOXETINE 20 MG CAP,$15.53
DULOXETINE 20 MG CAP,$11.64
DULOXETINE 30 MG CAP,$30.20
DULOXETINE 30 MG CAP,$14.83
DULOXETINE 30 MG CAP,$11.92
DULOXETINE 30 MG CAP,$8.01
DULOXETINE 60 MG CAP,$27.76
HEPARIN INJ PER 1000 UNITS,$150.00
HEPARIN INJ PER 1000 UNITS,$150.00
ECONAZOLE 1 % TOPICAL CREAM,$147.76
ECONAZOLE 1 % TOPICAL CREAM,$445.15
ECONAZOLE 1 % TOPICAL CREAM,$44.75
ECONAZOLE 1 % TOPICAL CREAM,$703.60
ECULIZUMAB INJ PER 10 MG,"$16,037.80"
EDARAVONE INJECTION PER 1 MG,"$3,186.50"
efavirenz 30 mg/mL oral susp,"$1,692.00"
EFAVIRENZ 600 MG TAB,$87.23
EFAVIRENZ 600 MG TAB,$80.99
ATRIPLA (ALT*) 600-200-300 TAB,$174.48
ELECTROLYTE-A IV,$100.00
ELECTROLYTE-A IV,$100.00
ELETRIPTAN HBR 10 MG TAB,$113.67
ELETRIPTAN HBR 20 MG TAB,$109.67
ELETRIPTAN HBR 20 MG TAB,$152.86
ELETRIPTAN HBR 40 MG TAB,$151.55
ELTROMBOPAG 25 MG TAB,$732.07
GENVOYA (*ALT) TABLET,$208.08
STRIBILD PER 1 TABLET,$200.35
EMTRICITABINE 10 MG/ML ORAL SOLN,$398.75
EMTRICITABINE 200 MG CAP,$59.09
COMPLERA 200-25-300 MG TAB,$168.70
TRUVADA (ALT*) 200 MG-300 MG TAB,$128.54
enalapril 1mg/ml oral,$432.00
enalapril 1mg/ml oral,$432.00
enalapril 1 mg/ml oral susp,$432.00
ENALAPRIL MALEATE 1.25 MG TAB,$13.61
ENALAPRIL MALEATE 10 MG TAB,$10.14
ENALAPRIL MALEATE 10 MG TAB,$9.40
ENALAPRIL MALEATE 10 MG TAB,$10.14
ENALAPRIL MALEATE 2.5 MG TAB,$9.75
ENALAPRIL MALEATE 2.5 MG TAB,$9.61
ENALAPRIL MALEATE 2.5 MG TAB,$9.37
ENALAPRIL MALEATE 2.5 MG TAB,$9.61
ENALAPRIL MALEATE 5 MG TAB,$10.03
ENALAPRIL MALEATE 5 MG TAB,$10.03
ENALAPRIL MALEATE 5 MG TAB,$9.37
enalaprilat 0.125 mg/ml inj,$66.50
enalaprilat 0.125 mg/ml inj,$66.50
ENALAPRILAT 1.25 MG/ML IV,$61.70
ENALAPRILAT 1.25 MG/ML IV,$58.61
ENALAPRILAT 1.25 MG/ML IV,$56.27
ENALAPRILAT 1.25 MG/ML IV,$60.24
ENALAPRILAT 1.25 MG/ML IV,$54.78
ENALAPRILAT 12.5 MCG/ML INJ,$66.50
ENOXAPARIN INJ PER 10 MG,$63.49
ENOXAPARIN INJ PER 10 MG,$63.47
ENOXAPARIN INJ PER 10 MG,$59.00
ENOXAPARIN INJ PER 10 MG,$59.56
ENOXAPARIN INJ PER 10MG,$94.89
ENOXAPARIN INJ PER 10MG,$80.03
ENOXAPARIN INJ PER 10MG,$83.54
ENOXAPARIN INJ PER 10MG,$103.87
ENOXAPARIN INJ PER 10MG,$86.04
ENOXAPARIN INJ PER 10MG,$78.15
ENOXAPARIN INJ PER 10MG,$103.95
ENOXAPARIN INJ PER 10MG,$103.95
ENOXAPARIN INJ PER 10MG,$117.33
ENOXAPARIN INJ PER 10MG,$95.05
ENOXAPARIN INJ PER 10MG,$98.36
ENOXAPARIN INJ PER 10MG,$98.36
ENOXAPARIN INJ PER 10MG,$139.34
ENOXAPARIN INJ PER 10 MG,$90.03
ENOXAPARIN INJ PER 10 MG,$90.03
ENOXAPARIN INJ PER 10MG,$63.47
ENOXAPARIN INJ PER 10MG,$59.00
ENOXAPARIN INJ PER 10MG,$59.56
ENOXAPARIN INJ PER 10MG,$63.49
ENOXAPARIN INJ PER 10MG,$67.88
enoxaparin inj per 10mg,$63.47
enoxaparin inj per 10mg,$63.49
enoxaparin inj per 10mg,$59.00
enoxaparin inj per 10mg,$59.56
enoxaparin inj per 10mg,$67.88
ENOXAPARIN INJ PER 10MG,$94.59
ENOXAPARIN INJ PER 10MG,$67.96
ENOXAPARIN INJ PER 10MG,$61.99
ENOXAPARIN INJ PER 10MG,$61.90
ENOXAPARIN INJ PER 10MG,$94.59
ENOXAPARIN INJ PER 10MG,$73.79
enoxaparin inj per 10mg,$67.96
enoxaparin inj per 10mg,$61.99
enoxaparin inj per 10mg,$61.90
enoxaparin inj per 10mg,$73.79
ENOXAPARIN INJ PER 10MG,$76.93
ENOXAPARIN INJ PER 10MG,$68.01
ENOXAPARIN INJ PER 10MG,$67.84
ENOXAPARIN INJ PER 10MG,$71.61
enoxaparin inj per 10mg,$76.93
enoxaparin inj per 10mg,$68.01
enoxaparin inj per 10mg,$67.84
enoxaparin inj per 10mg,$71.61
ENOXAPARIN INJ PER 10MG,$85.91
ENOXAPARIN INJ PER 10MG,$74.02
enoxaparin inj per 10mg,$85.91
enoxaparin inj per 10mg,$74.02
enoxaparin inj per 10mg,$69.75
ENOXAPARIN INJ PER 10 MG,$69.75
ENTACAPONE 100 MG TAB,$19.70
ENTACAPONE 200 MG TAB,$25.03
ENTACAPONE 200 MG TAB,$15.70
ENTACAPONE 200 MG TAB,$20.32
ENTECAVIR 0.05 MG/ML SOLN,"$2,849.10"
ENTECAVIR 0.5 MG TAB,$123.95
ENTECAVIR 0.5 MG TAB,$71.33
ENTECAVIR 0.5 MG TAB,$56.30
ENTECAVIR 0.5 MG TAB,$32.73
ENTECAVIR 1 MG TAB,$123.95
ENTECAVIR 1 MG TAB,$101.03
EPHEDRINE 25MG/5 ML IV SYRG,$161.48
EPHEDRINE 25MG/5 ML IV SYRG,$105.09
EPHEDRINE 50 MG/ML INJECTION,$80.94
EPHEDRINE 50 MG/ML INJECTION,$87.31
EPHEDRINE IN NS 50MG/10ML IV SYRG,$71.13
EPHEDRINE IN NS 50MG/10ML IV SYRG,$258.39
EPHEDRINE IN NS 50MG/10ML IV SYRG,$258.39
Epinephrine 10 mcg/ml inj,$385.00
Epinephrine per 0.1 mg inj,$64.33
Epinephrine per 0.1 mg inj,$64.33
Epinephrine per 0.1 mg inj,$67.23
EPINEPHRINE PER 0.1 MG INJ,$77.30
EPINEPHRINE PER 0.1 MG INJ,$412.34
Epinephrine per 0.1 mg inj,$76.46
EPINEPHRINE 0.1 % NASAL SOLN,$221.05
EPINEPHRINE PER 0.1 MG INJ,$64.33
EPINEPHRINE PER 0.1 MG INJ,$64.33
EPINEPHRINE PER 0.1 MG INJ,$67.23
Epinephrine per 0.1 mg inj,$398.75
Epinephrine per 0.1 mg inj,$266.89
Epinephrine per 0.1 mg inj,$64.33
Epinephrine per 0.1 mg inj,$64.33
Epinephrine per 0.1 mg inj,$67.23
Epinephrine per 0.1 mg inj,$399.25
Epinephrine per 0.1 mg inj,$488.18
Epinephrine per 0.1 mg inj,$266.89
EPINEPHRINE 1 MG + NS 10 mL,$58.13
EPINEPHRINE INJ PER 0.1 MG,$56.24
EPINEPHRINE INJ PER 0.1 MG,$76.46
EPINEPHRINE INJ PER 0.1 MG,$56.24
