"The University of Texas MD Anderson Cancer Center
Hospital Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
757,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70110,"X-ray of mandible, minimum of 4 views",$284
758,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70150,"X-ray of bones of face, minimum of 3 views",$252
759,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70160,"X-ray of bones of nose, minimum of 3 views",$184
760,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70200,"X-ray of eye bones, minimum of 4 views",$245
761,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70220,"X-ray of paranasal sinus, complete, minimum of 3 views",$194
762,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70250,"X-ray of skull, less than 4 views",$210
763,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70260,"X-ray of skull, complete, minimum of 4 views",$342
764,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70300,"X-ray of teeth, single view",$52
765,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70330,X-ray of jaw joints on both sides of the face,$292
766,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70355,X-ray imaging of teeth,$218
767,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,70360,X-ray of soft tissue of neck,$237
768,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,71045,"X-ray of chest, 1 view",$439
769,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,71046,"X-ray of chest, 2 views",$460
770,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,71110,"X-ray of both sides of the ribs, 3 views",$335
771,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,71120,"X-ray of breast bone, minimum of 2 views",$242
772,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72020,"X-ray of spine, 1 view",$157
773,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72040,"X-ray of spine of neck, 2 or 3 views",$247
774,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72050,"X-ray of upper spine, 4 or 5 views",$322
775,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72070,"X-ray of middle spine, 3 views",$260
776,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72080,"X-ray of middle and lower spine, 2 views",$213
777,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72081,"X-ray of spine, 1 view",$449
778,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72100,"X-ray of lower and sacral spine, 2 or 3 views",$235
779,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72110,"X-ray of lower and sacral spine, minimum of 4 views",$442
780,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72170,"X-ray of pelvis, 1 or 2 views",$259
781,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72200,"X-ray of sacroiliac joints, less than 3 views",$155
782,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72202,"X-ray of sacroiliac joints, 3 or more views",$284
783,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72220,"X-ray of pelvis, minimum of 2 views",$260
784,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72240,Radiological supervision and interpretation X-ray of upper spinal canal,$781
785,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72255,Radiological supervision and interpretation X-ray of middle spinal canal,$544
786,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72265,Radiological supervision and interpretation X-ray of lower spinal canal,$672
787,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,72270,"Radiological supervision and interpretation X-ray of spinal canal, 2 or more spinal regions",$977
788,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73000,X-ray of collar bone,$226
789,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73010,X-ray of shoulder blade,$237
790,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73020,"X-ray of shoulder, 1 view",$198
791,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73030,"X-ray of shoulder, minimum of 2 views",$247
792,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73040,Radiological supervision and interpretation X-ray of shoulder joint,$916
793,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73060,"X-ray of upper arm, minimum of 2 views",$226
794,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73070,"X-ray of elbow, 2 views",$222
795,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73090,"X-ray of forearm, 2 views",$189
796,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73110,"X-ray of wrist, minimum of 3 views",$233
797,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73130,"X-ray of hand, minimum of 3 views",$209
798,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73140,"X-ray of fingers, minimum of 2 views",$164
799,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73501,"X-ray of hip with pelvis, 1 view",$295
800,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73502,"X-ray of hip with pelvis, 2-3 views",$328
801,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73503,"X-ray of hip with pelvis, minimum of 4 views",$361
802,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73521,"X-ray of both hips with pelvis, 2 views",$354
803,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73522,"X-ray of both hips with pelvis, 3-4 views",$400
804,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73523,"X-ray of both hips with pelvis, minimum of 5 views",$443
805,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73551,"X-ray of femur, 1 view",$303
806,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73552,"X-ray of femur, minimum 2 views",$336
807,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73560,"X-ray of knee, 1 or 2 views",$207
808,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73562,"X-ray of knee, 3 views",$181
809,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73565,"X-ray of both knees, standing, front to back view",$288
810,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73590,"X-ray of lower leg, 2 views",$240
811,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73600,"X-ray of ankle, 2 views",$169
812,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73610,"X-ray of ankle, minimum of 3 views",$218
813,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73620,"X-ray of foot, 2 views",$164
814,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73630,"X-ray of foot, minimum of 3 views",$207
815,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73650,"X-ray of heel, minimum of 2 views",$200
816,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,73660,"X-ray of toes, minimum of 2 views",$155
817,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74018,"X-ray of abdomen, 1 view",$440
818,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74019,"X-ray of abdomen, 2 views",$458
819,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74021,"X-ray of abdomen, minimum of 3 views",$481
820,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74022,Imaging of abdomen and chest,$402
821,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74220,X-ray of esophagus,$443
822,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74230,Imaging for evaluation of swallowing function,$394
823,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74240,X-ray of upper digestive tract,$463
824,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74246,X-ray of upper digestive tract with contrast,$607
825,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74249,X-ray of upper digestive tract with contrast followed by x-ray of small bowel at later point,$919
826,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74250,X-ray of small intestine,$548
827,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74270,X-ray of large bowel with contrast,$609
828,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74280,X-ray of large bowel with contrast,$721
829,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74328,Radiological supervision and interpretation of insertion of catheter into biliary duct using an endoscope,$120
830,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74329,Radiological supervision and interpretation of insertion of catheter into pancreatic duct using an endoscope,$272
831,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74340,Radiological supervision and interpretation of placement of long small bowel tube procedure,$407
832,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74355,Radiological supervision and interpretation of placement (accessed through the skin) of small bowel tube,$694
833,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74360,Radiological supervision and interpretation of opening of digestive tract procedure,$844
834,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74363,Radiological supervision and interpretation of dilation of biliary duct (accessed through the skin),"$1,474"
835,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74400,Imaging of urinary tract with injection of contrast into a vein,$853
836,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74420,Imaging of urinary tract,$853
837,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74425,Radiological supervision and interpretation X-ray of urinary tract,$853
838,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74430,"Radiological supervision and interpretation X-ray of urinary bladder, minimum of 3 views",$690
839,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74450,Radiological supervision and interpretation X-ray of urinary bladder and urethra,$131
840,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74455,Radiological supervision and interpretation X-ray of urinary bladder and urethra,$549
841,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,74485,Radiological supervision and interpretation of dilation of urinary ducts (ureters) or bladder canal (urethra),$866
842,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75605,Radiological supervision and interpretation X-ray of chest aorta,"$2,522"
843,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75625,Radiological supervision and interpretation X-ray of abdominal aorta,"$2,522"
844,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75630,Radiological supervision and interpretation X-ray of abdominal aorta and both leg arteries,"$5,860"
845,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75705,Radiological supervision and interpretation of imaging of spinal artery,"$4,080"
846,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75710,Radiological supervision and interpretation of imaging of artery of one arm or leg,"$2,522"
847,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75716,Radiological supervision and interpretation of imaging of arteries of both arms or legs,"$2,522"
848,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75726,Radiological supervision and interpretation of imaging of abdominal artery,"$5,246"
849,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75736,Radiological supervision and interpretation of imaging of artery of pelvis,"$2,522"
850,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75741,Radiological supervision and interpretation of imaging of artery of one lung,"$2,522"
851,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75743,Radiological supervision and interpretation of imaging of arteries of both lungs,$209
852,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75746,"Radiological supervision and interpretation of imaging of lung artery, contrast inserted by catheter or injection into vein",$134
853,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75756,Radiological supervision and interpretation of imaging of artery of breast,"$2,237"
854,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75774,Radiological supervision and interpretation of imaging of artery,"$2,095"
855,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75820,Radiological supervision and interpretation of imaging of vein of one arm or leg,$815
856,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75822,Radiological supervision and interpretation of imaging of veins of both arms or legs,$801
857,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75825,Radiological supervision and interpretation of imaging of major abdominal vein,"$2,522"
858,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75827,Radiological supervision and interpretation of imaging of major chest vein,$815
859,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75860,Radiological supervision and interpretation of imaging of vein system in head or neck vein,$182
860,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75885,"Radiological supervision and interpretation of imaging of liver vein with assessment of blood flow, injection of contrast (accessed through the skin)","$2,599"
861,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75887,"Radiological supervision and interpretation of imaging of liver vein, injection of contrast (accessed through the skin)","$3,354"
862,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75889,Radiological supervision and interpretation of imaging of liver vein with assessment of blood flow,"$2,522"
863,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75891,Radiological supervision and interpretation of imaging of liver vein,"$2,522"
864,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75893,Radiological supervision and interpretation of drawing blood via catheter procedure,"$2,522"
865,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75894,Radiological supervision and interpretation of obstruction of blood vessel via catheter,$133
866,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75898,Imaging of blood vessel,$815
867,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75901,Radiological supervision and interpretation of removal of obstructive material in catheter procedure,"$1,575"
868,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75902,Radiological supervision and interpretation of removal of obstructive material from large vein catheter procedure,$633
869,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75970,Radiological supervision and interpretation of biopsy procedure,"$2,449"
870,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75984,Radiological supervision and interpretation of change of tube (accessed through the skin) or drainage catheter with contrast monitoring,$990
871,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,75989,Radiological supervision and interpretation of placement of catheter with drainage (accessed through the skin) procedure,"$1,297"
872,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,76000,"Imaging guidance for procedure, up to 1 hour",$335
873,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,76080,Imaging for abscess or abnormal drainage tract procedure,$673
874,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,76376,3D radiographic procedure,$131
875,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,76377,3D radiographic procedure with computerized image postprocessing,$977
876,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,76499,Imaging procedure,$402
877,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,76536,Ultrasound of head and neck,$595
878,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,76604,Ultrasound of chest,$445
879,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,76815,"Ultrasound of pregnant uterus, 1 or more fetus(es)",$90
880,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77001,"Fluoroscopic guidance for insertion, replacement or removal of central venous access device",$976
881,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77002,Fluoroscopic guidance for insertion of needle,$995
882,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77003,Fluoroscopic guidance for injection into spine or muscle next to spine,$742
883,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77053,Radiological supervision and interpretation of imaging of breast duct,$462
884,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77054,Radiological supervision and interpretation of imaging of breast ducts,$547
885,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77072,Imaging for bone age assessment,$262
886,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77073,Imaging for bone length assessment,$401
887,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77074,X-ray of bones,$564
888,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77075,X-ray survey of forearm or wrist bone density,$889
889,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77076,"X-ray survey of bones, infant",$277
890,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77080,Bone density measurement using dedicated X-ray machine,$423
891,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,77081,Bone density measurement using dedicated X-ray machine,$217
892,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,99999,#N/A,"$1,632"
893,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION,G0278,"Iliac art angio,cardiac cath","$4,510"
894,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96401,Non-hormonal anti-neoplastic chemotherapy beneath the skin or into muscle,$392
895,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96402,Hormonal anti-neoplastic chemotherapy administration beneath the skin or into muscle,$375
896,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96405,"Chemotherapy into a lesion, up to and including 7 lesions",$413
897,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96406,"Chemotherapy into a lesion, more than 7 lesions",$434
898,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96409,Infusion of chemotherapy into a vein using push technique,$392
899,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96411,Infusion of different chemotherapy drug or substance into a vein,$392
900,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96440,Chemotherapy administration into chest cavity requiring insertion of catheter,"$1,117"
901,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96446,Chemotherapy infusion into abdominal cavity,$386
902,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96450,Chemotherapy administration into spinal canal requiring spinal tap,"$1,173"
903,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - INJECTED,96542,Chemotherapy injection into brain through reservoir beneath the skin,"$1,117"
904,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77014,CT scan guidance for insertion of radiation therapy fields,$591
905,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77280,"Management of radiation therapy simulation, simple",$932
906,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77285,"Management of radiation therapy, simulation, intermediate","$1,442"
907,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77290,"Management of radiation therapy, simulation, complex","$1,900"
908,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77293,Respiratory motion management simulation,$917
909,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77295,"Management of radiation therapy, 3D","$4,576"
910,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77300,Calculation of radiation therapy dose,$679
911,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77301,Management of modulation radiotherapy planning,"$7,376"
912,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77306,Radiation therapy plan,"$3,304"
913,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77307,Radiation therapy plan,"$2,950"
914,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77316,Radiation therapy plan,"$1,842"
915,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77317,Radiation therapy plan,"$2,667"
916,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77318,Radiation therapy plan,"$3,341"
917,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77321,Radiation therapy total body port plan,"$1,177"
918,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77331,Special radiation therapy planning,$785
919,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77332,"Radiation treatment devices, design and construction, simple",$489
920,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77333,"Radiation treatment devices, design and construction, intermediate",$740
921,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77334,"Radiation treatment devices, design and construction, complex",$950
922,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77336,Radiation therapy consultation per week,$647
923,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77338,Design and construction of device for radiation therapy,"$3,888"
924,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77370,Radiation therapy consultation,"$1,115"
925,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77371,"Radiation therapy delivery, stereotactic radiosurgery (SRS) for cranial growths, per session","$54,723"
926,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77373,Stereotactic body radiation therapy 1 or more lesions using imaging guidance,"$14,779"
927,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77385,Radiation therapy delivery,"$2,168"
928,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77386,Radiation therapy delivery,"$2,168"
929,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77387,Guidance for localization of target delivery of radiation treatment,$372
930,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77401,"Radiation treatment delivery, superficial",$471
931,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77402,Radiation treatment delivery,$637
932,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77407,Radiation treatment delivery,$678
933,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77412,Radiation treatment delivery,$963
934,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77417,Therapeutic radiology port films,$228
935,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77470,Special radiation treatment procedure,"$2,605"
936,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77770,"High dose brachytherapy , 1 channel","$4,982"
937,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77771,"High dose brachytherapy , 2- 12 channels","$6,348"
938,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77772,"High dose brachytherapy , more than 12 channels","$7,129"
939,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77778,"Application of radiation source, complex","$1,582"
940,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77789,Surface application of radiation,$77
941,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - RADIATION THERAPY,77790,"Supervision, handling, loading of radiation",$81
942,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - IV,96413,Infusion of chemotherapy into a vein up to 1 hour,$933
943,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - IV,96415,Infusion of chemotherapy into a vein,$82
944,RADIOLOGY - THERAPEUTIC AND/OR CHEMOTHERAPY ADMINISTRATION - CHEMOTHERAPY - IV,96416,Prolonged chemotherapy infusion into a vein by portable or implanted pump more than 8 hours,$678
