Description,Price,
BASEPLATE TIBIAL SIZE 5,7020.00,
BASEPLATE TIBIAL SZ7 PRIMARY TRIATHLON,6809.40,
BASEPLATE TIBIAL SZ8 TRIATHLON,6809.40,
BASEPLATE TRI SCREWFIX C/L W/PA SZ 5,6809.40,
BASEPLATE TRI SCREWFIX C/L W/PA SZ1,6809.40,
BASEPLATE TRI SCREWFIX C/L W/PA SZ8,6809.40,
BASEPLATE TRI TS BASEPLATE SIZE 1,6241.95,
BASEPLATE TRI TS BASEPLATE SIZE 8,6241.95,
BASEPLATE TRI UNIV C/L W/HA SZ 2,6809.40,
BASEPLATE TRI UNIV C/L W/HA SZ 4,6809.40,
BASEPLATE TRI UNIV C/L W/HA SZ 6,6809.40,
BASEPLATE TRI UNIV C/L W/HA SZ 7,6809.40,
BASEPLATE TRI UNIV C/LESS SZ 5,6809.40,
BASEPLATE TRIATHLON #1 LM/RL,5674.50,
BASEPLATE TRIATHLON #6 RM/LL,5674.50,
BASEPLATE TRIATHLON PKR #1 RM/LL,5674.50,
BASEPLATE TRIATHLON PKR #2 LM/RL,5674.50,
BASEPLATE TRIATHLON PKR #2 RM/LL,5674.50,
BASEPLATE TRIATHLON PKR #3 LM/RL,5674.50,
BASEPLATE TRIATHLON PKR #3 RM/LL,5674.50,
BASEPLATE TRIATHLON PKR #4 LM/RL,5674.50,
BASEPLATE TRIATHLON PKR #5 LM/RL,5674.50,
BASEPLATE TRIATHLON PKR #5 RM/LL,5674.50,
BASEPLATE TRIATHLON SZ 2 TS,6241.95,
BASEPLATE TRIATHLON SZ 3 TS,6241.95,
BASEPLATE TRIATHLON SZ 6 TS,6241.95,
BASEPLATE TRIATHLON SZ 7 TS,6241.95,
BASEPLATE TRIATHLON SZ4 TS,6241.95,
BASEPLATE TRIATHLON SZ5 TS,6241.95,
BASEPLATE TRIATHLON TRITANIUM SIZE 1,6809.40,
BASEPLATE TRIATHLON TRITANIUM SIZE 2,6809.40,
BASEPLATE TRIATHLON TRITANIUM SIZE 3,6809.40,
BASEPLATE TRIATHLON TRITANIUM SIZE 4,6809.40,
BASEPLATE TRIATHLON TRITANIUM SIZE 5,6809.40,
BASEPLATE TRIATHLON TRITANIUM SIZE 6,6809.40,
BASEPLATE TRIATHLON TRITANIUM SIZE 7,6809.40,
BASEPLATE TRIATHLON TRITANIUM SIZE 8,6809.40,
BASEPLATE UNIV N/POR LRG 1,7949.97,
BASEPLATE UNIV N/POR LRG 2,7949.97,
BASEPLATE UNIV N/POR MD 1,7949.97,
BASEPLATE UNIV N/POR MED 2,7949.97,
BASEPLATE UNIV N/POR XLG 1,7949.97,
BASEPLATE UNIV NON-BD XLG,7949.97,
BASKET + GRASPER STONE 2.4FR 10X115CM ARTICULATING,1241.06,
BASKET + GRASPER STONE 3.0FR 10MM 115CM,1338.75,
BASKET + GRASPER STONE 3.0FR 16MM 115CM,1338.75,
BASKET BAGLEY 1.9FR 120CM,2466.51,
BASKET BILI SOFT WIRE 5FR MEMO,2616.30,
BASKET DIMENSION STONE 2.4FRX115CMX13MM,1241.06,
BASKET FLATWIRE 2.4FR,1032.75,
BASKET GEMINI 3.0FR 14MM 120CM,1205.56,
BASKET GEMINI PAIRED HELICAL 5WIRE 3F 120CM O TIP,2466.51,
BASKET GEMINI PAIRED HELICAL 5WIRE 3F 90CM FILFORM,2466.51,
BASKET HOLDER 1.375IN-DIAMTER MESH,220.63,
BASKET HOLDER 2.175IN-DIAMTER MESH,252.45,
BASKET LITHO 1.5CM 1-PIECE,538.56,
BASKET NITINOL 1.9FRX120CM ZER,2300.05,
BASKET PLASTIC NYRS BASINETT,1063.35,
BASKET RETRIEVAL 1.5CM 3.2MM WIRE-GUIDE,1950.75,
BASKET RETRIEVAL 2.0CM 3.2MM WIRE-GUIDE,1950.75,
BASKET RETRIEVAL 2.5CM 3.2MM WIRE-GUIDE,1950.75,
BASKET RETRIEVAL 3.0CM 3.2MM WIRE-GUIDE,1950.75,
BASKET RETRIEVAL NITINOL ESCAPE 1.9F 120CM,3283.69,
BASKET RETRIEVAL POLYP 25MM LOOP TWISTER,545.06,
BASKET SEGURA 3.0FR 18MM 115CM,956.25,
BASKET STONE NITINOL 3.0FR,1685.45,
BASKET STONE PARACHUTE DEVICE - 300,2138.71,
BASKET STONE PARACHUTE DEVICE - 302,1774.80,
BASKET STONE RETRIEVAL 3WIRE GEMINI 120CM,2466.51,
BASKET STONE RETRIEVE PERSUER GEMINI 4MX90C,2466.51,
BASKET STONE TIPLESS NITINOL SKYLITE,1836.77,
BASKET WIRE TIPLESS 4 WIRE,1872.72,
BASKET WIRE TIPPED 3 WIRE,1702.13,
BATTERY BLOOD-ANALYZER HANDHELD I-STAT,2103.75,
BATTERY EON 16 CH ANNEL IPG,52080.00,
BATTERY EON 16 CHANNEL IPG MINI - ANS3788,46484.50,
BATTERY EON MINI LE,9193.05,
BATTERY FOR LAERDAL SUCTION UNIT,449.44,
BATTERY PACK SMARTLITE FOCUS,936.28,
BATTERY PACK VERSIPOWER PLUS,2195.55,
BATTERY PROTEGE,3802.50,
BATTERY SPINAL CORD STIMULATOR PROCLAIM ELITE,72245.50,
BATTERY ULTRA RESTORE - 37712,50576.50,
BATTERY ULTRA RESTORE - 37714,41850.00,
BAYONET ANNULOTOMY KNIFE 193MM,3343.05,
BAYONET SURGICAL KNIFE,3060.00,
B-complex with vitamin C tablet 100 each Bottle,0.68,
BEAD LC 70-150,11251.50,
BEAM 7.0 X 100MM SALVATION,4855.84,
BEAM 7.0 X 105MM SALVATION,4855.84,
BEAM 7.0 X 110MM SALVATION,4855.84,
BEAM 7.0 X 115MM SALVATION,4855.84,
BEAM 7.0 X 120MM SALVATION,4855.84,
BEAM 7.0 X 125MM SALVATION,4855.84,
BEAM 7.0 X 130MM SALVATION,4855.84,
BEAM 7.0 X 135MM SALVATION,4855.84,
BEAM 7.0 X 140MM SALVATION,4855.84,
BEAM 7.0 X 145MM SALVATION,4855.84,
BEAM 7.0 X 150MM SALVATION,4855.84,
BEAM 7.0 X 155MM SALVATION,4855.84,
BEAM 7.0 X 160MM SALVATION,4855.84,
BEAM 7.0 X 165MM SALVATION,4855.84,
BEAM 7.0 X 170MM SALVATION,4855.84,
BEAM 7.0 X 50MM SALVATION,4855.84,
BEAM 7.0 X 55MM SALVATION,4855.84,
BEAM 7.0 X 60MM SALVATION,4855.84,
BEAM 7.0 X 65MM SALVATION,4855.84,
BEAM 7.0 X 70MM SALVATION,4855.84,
BEAM 7.0 X 75MM SALVATION,4855.84,
BEAM 7.0 X 80MM SALVATION,4855.84,
BEAM 7.0 X 85MM SALVATION,4855.84,
BEAM 7.0 X 90MM SALVATION,4855.84,
BEAM 7.0 X 95MM SALVATION,4855.84,
BEARING DUAL-MOBILITY 28MM 44MM SZF E1 HIP SYSTEM ACTIVE ARTICULATION,11532.00,
BEARING DUAL-MOBILITY 28MM 50MM SZH E1 HIP SYSTEM ACTIVE ARTICULATION,7078.50,
BEARING EX SMALL 4MM,3919.50,
BEARING HUMERAL +3 44-36 ARCOMXL,5557.50,
BEARING HUMERAL +3 RETENTIVE COMPREHENSIVE,5557.50,
BEARING HUMERAL +3MM 44-41MM ARCOMXL COMPREHENSIVE,5557.50,
BEARING HUMERAL 36MM 44-36MM STANDARD E1,8248.50,
BEARING HUMERAL STANDARD 44-36 ARCOMXL,5557.50,
BEARING MENISCAL 7MM THICK SMALL RIGHT,3919.50,
BEARING TIB 10X63/67MM,3919.50,
BEARING TIB 10X71/75MM,3919.50,
BEARING TIB 10X79/83MM,3919.50,
BEARING TIB 10X87/91MM,3919.50,
BEARING TIB 12X63/67MM,3919.50,
BEARING TIB 12X75MM,3919.50,
BEARING TIB 12X79/83MM,3919.50,
BEARING TIB 12X87/91MM,3919.50,
BEARING TIB 14X17M,3919.50,
BEARING TIB 14X63/67MM,3919.50,
BEARING TIB 14X79/83MM,3919.50,
BEARING TIB 14X87/91MM,3919.50,
BEARING TIB 16X63/67MM,3919.50,
BEARING TIB 16X71/75MM,3919.50,
BEARING TIB 16X79/83MM,3919.50,
BEARING TIB 16X87/91MM,3919.50,
BEARING TIB 18X63/67MM,3919.50,
BEARING TIB 18X71/75MM,3919.50,
BEARING TIB 18X79/83MM,3919.50,
BEARING TIB 18X87/91MM,3919.50,
BEARING TIB 20X63/67MM,3919.50,
BEARING TIB 20X71/75MM,3919.50,
BEARING TIB 20X79/83MM,3919.50,
BEARING TIB 20X87/91MM,3919.50,
BEARING TIB 22X63/67MM,3919.50,
BEARING TIB 22X71/75MM,3919.50,
BEARING TIB 22X79/83MM,3919.50,
BEARING TIB 22X87/91MM,3919.50,
BEARING TIB 24X63/67MM,3919.50,
BEARING TIB 24X71/75MM,3919.50,
BEARING TIB 24X79/83MM,3919.50,
BEARING TIB 24X87/91MM,3919.50,
BEARING TIB UNI OXFORD LRG SZ3,4036.50,
BEARING TIB UNI OXFORD LRG SZ4,4036.50,
BEARING TIB UNI OXFORD LRG SZ5,4036.50,
BEARING TIB UNI OXFORD LRG SZ6,4036.50,
BEARING TIB UNI OXFORD LRG SZ7,4036.50,
BEARING TIB UNI OXFORD LRG SZ8,4036.50,
BEARING TIB UNI OXFORD LRG SZ9,4036.50,
BEARING TIB UNI OXFORD MED SZ3,4036.50,
BEARING TIB UNI OXFORD MED SZ4,4036.50,
BEARING TIB UNI OXFORD MED SZ5,4036.50,
BEARING TIB UNI OXFORD MED SZ6,4036.50,
BEARING TIB UNI OXFORD MED SZ7,4036.50,
BEARING TIB UNI OXFORD MED SZ8,4036.50,
BEARING TIB UNI OXFORD MED SZ9,4036.50,
BEARING TIB UNI OXFORD SM SZ3,4036.50,
BEARING TIB UNI OXFORD SM SZ4,4036.50,
BEARING TIB UNI OXFORD SM SZ5,4036.50,
BEARING TIB UNI OXFORD SM SZ6,4036.50,
BEARING TIB UNI OXFORD SM SZ7,4036.50,
BEARING TIB UNI OXFORD SM SZ8,4036.50,
BEARING TIB UNI OXFORD SM SZ9,4036.50,
BEARING TIB UNI OXFORD XLG SZ3,4036.50,
BEARING TIB UNI OXFORD XLG SZ4,4036.50,
BEARING TIB UNI OXFORD XLG SZ5,4036.50,
BEARING TIB UNI OXFORD XLG SZ6,4036.50,
BEARING TIB UNI OXFORD XLG SZ7,4036.50,
BEARING TIB UNI OXFORD XLG SZ8,4036.50,
BEARING TIB UNI OXFORD XLG SZ9,4036.50,
BEARING TIBIAL  BRG 22X79/83,3919.50,
BEARING TIBIAL 10X63/67MM NON-CONTSRAINED PS VANGU,6076.00,
BEARING TIBIAL 10X71/75MM,3919.50,
BEARING TIBIAL 10X83/87 VANGUARD DCM PS PLUS,3919.50,
BEARING TIBIAL 12MM 87/91MM MODULAR CRUCIATE-RETAI,3919.50,
BEARING TIBIAL 12MM LS RS OSS,5569.20,
BEARING TIBIAL 12MMX63/67MM VANGUARD,3919.50,
BEARING TIBIAL 12MMX79/83MM VANGUARD,3919.50,
BEARING TIBIAL 12X74/75MM VANGUARD DCM PS PLUS,3919.50,
BEARING TIBIAL 14MM OSS,5539.95,
BEARING TIBIAL 14MMX71/75MM VANGUARD,3919.50,
BEARING TIBIAL 15X71/75MM VANGUARD DCM PS PLUS,3919.50,
BEARING TIBIAL BRG 10X59,3919.50,
BEARING TIBIAL BRG 10X63/67,3919.50,
BEARING TIBIAL BRG 10X79/83,3919.50,
BEARING TIBIAL BRG 10X87/91,3919.50,
BEARING TIBIAL BRG 12X59,3919.50,
BEARING TIBIAL BRG 12X63/67,3919.50,
BEARING TIBIAL BRG 12X79/83,3919.50,
BEARING TIBIAL BRG 12X87/91,3919.50,
BEARING TIBIAL BRG 14X59,3919.50,
BEARING TIBIAL BRG 14X63/67,3919.50,
BEARING TIBIAL BRG 14X71/75,3919.50,
BEARING TIBIAL BRG 14X79/83,3919.50,
BEARING TIBIAL BRG 14X87/91,3919.50,
BEARING TIBIAL BRG 16X59,3919.50,
BEARING TIBIAL BRG 16X63/67,3919.50,
BEARING TIBIAL BRG 16X71/75,3919.50,
BEARING TIBIAL BRG 16X79/83,3919.50,
BEARING TIBIAL BRG 16X87/91,3919.50,
BEARING TIBIAL BRG 18X59,3919.50,
BEARING TIBIAL BRG 18X63/67,3919.50,
BEARING TIBIAL BRG 18X71/75,3919.50,
BEARING TIBIAL BRG 18X79/83,3919.50,
BEARING TIBIAL BRG 18X87/91,3919.50,
BEARING TIBIAL BRG 20X59,3919.50,
BEARING TIBIAL BRG 20X63/67,3919.50,
BEARING TIBIAL BRG 20X71/75,3919.50,
BEARING TIBIAL BRG 20X79/83,3919.50,
BEARING TIBIAL BRG 20X87/91,3919.50,
BEARING TIBIAL BRG 22X59,3919.50,
BEARING TIBIAL BRG 22X63/67,3919.50,
BEARING TIBIAL BRG 22X71/75,3919.50,
BEARING TIBIAL BRG 22X87/91,3919.50,
BEARING TIBIAL BRG 24X59,3919.50,
BEARING TIBIAL BRG 24X63/67,3919.50,
BEARING TIBIAL BRG 24X71/75,3919.50,
BEARING TIBIAL BRG 24X79/83,3919.50,
BEARING TIBIAL BRG 24X87/91,3919.50,
BEAT FT 7.0X90MM SALVATION,4855.84,
belimumab 400 mg recon soln 1 each Vial,16541.30,
belladonna alkaloids-opium 16.2-60 mg suppository 12 each Box,81.29,
BELLOWS WATERTRAP,639.54,
BELT RESPIRATORY RESP EZ,1975.61,
BELT RESPIRATORY RESP EZ PEDI,2271.67,
BELT SYSTEM XACTTRACE UNIV KIT - COMPLETE,7374.60,
benazepril 10 mg tablet 1 each BLIST PACK,4.63,
benazepril 10 mg tablet 100 each BLIST PACK,4.63,
bendamustine 25 mg recon soln 25 mg Vial,7221.47,
bendamustine 25 mg/mL solution 4 mL Vial,24045.34,
benralizumab 30 mg/mL syringe 1 mL Syringe,46190.51,
benzocaine 10 % gel 7.1 g Tube,104.00,
benzocaine 10 % gel 9 g Tube,65.00,
"benzocaine 20 % aerosol,spray 57 g Can",395.58,
benzocaine-menthol 20-0.5 % aerosol 56 g CANISTER,44.09,
benzocaine-menthol 20-0.5 % aerosol 78 g CANISTER,47.01,
"benzoin compound spray,non-aerosol 118 mL Bottle",87.17,
benzoin-aloe vera-storax-tolu 10-2-8-4 % tincture 58 mL Bottle,51.87,
benzoin-aloe vera-storax-tolu 10-2-8-4 % tincture 59 mL Bottle,53.33,
benzonatate 100 mg capsule 100 each BLIST PACK,4.45,
benzonatate 100 mg capsule 100 each Bottle,2.26,
benztropine 0.5 mg tablet 100 each BLIST PACK,11.66,
benztropine 0.5 mg tablet 100 each Bottle,3.76,
benztropine 1 mg tablet 1 each BLIST PACK,6.17,
benztropine 1 mg tablet 100 each BLIST PACK,2.44,
benztropine 1 mg tablet 100 each Bottle,1.99,
benztropine mesylate per 1 mg,1632.32,
BETA-AMYLOID PER STUDY,8610.00,
betamethasone (augmented) 0.05 % cream 15 g Tube,370.33,
betamethasone (augmented) 0.05 % ointment 15 g Tube,617.46,
"betamethasone acet,sod phos per 3 mg",600.70,
"betaxolol 0.25 % drops,suspension 10 mL DROP BTL",3018.35,
betaxolol 0.5 % drops 5 mL DROP BTL,644.14,
bethanechol 25 mg tablet 1 each BLIST PACK,5.21,
bethanechol 25 mg tablet 100 each BLIST PACK,5.19,
bethanechol 25 mg tablet 100 each Bottle,4.16,
bethanechol 5 mg tablet 100 each Bottle,8.32,
bevacizumab 25 mg/mL solution 16 mL Vial,30985.03,
bevacizumab 25 mg/mL solution 4 mL Vial,7746.26,
bicalutamide 50 mg tablet 30 each Bottle,180.40,
"bicarb dialy soln 11 without K Ca (2.5 mEq/L) -Mg (1.5 mEq/L) solution 5,000 mL Bag",0.08,
BIFURC GRAFT 18X9MM 40CM,3435.94,
BIFURC GRAFT 22X11MM 40CM,3435.94,
BIFURC GRAFT 24X12MM 40CM,3435.94,
BILE DUCT TAUT SYSTEM ONE KIT CBDE,288.18,
BINDER ABDOMINAL 12IN XXL,218.94,
BIOMATERIAL SYNTHETIC 15MM VERTEFILL CHRONOS,5268.45,
BIOMATERIAL SYNTHETIC 17MM VERTEFILL CHRONOS,6240.30,
BIOPSY ACHIEVE SYSTEM CA18/11,340.64,
BIOPSY ACHIEVE SYSTEM CA18/15,340.64,
BIOPSY ACHIEVE SYSTEM CA20/20,340.64,
BIOPSY BONE KIT 13G,471.79,
BIOPSY GUN BIOPINCE 18GX10CM,344.25,
BIOPSY GUN BIOPINCE 18GX15CM,344.25,
BIOPSY GUN BIOPINCE 18GX20CM,344.25,
BIOPSY INSTRUMENT KIT 20GX10CM DISP CORE MISSION,328.95,
BIOPSY INSTRUMENT TRU GUIDE 10GX14CM,313.11,
BIOPSY INSTRUMENT TRU GUIDE 16GX16CM,248.85,
BIOPSY INSTRUMENT TRU GUIDE 18GX10CM,223.38,
BIOPSY INSTRUMENT TRU GUIDE 18GX16CM,223.38,
BIOPSY INSTRUMENT TRU GUIDE 18GX20CM,223.38,
BIOPSY INSTRUMENT TRU GUIDE 20GX16CM,223.38,
BIOPSY INSTRUMENT TRU GUIDE 20GX20CM,223.38,
BIOPSY KIT VERTEBRAL 11G 5IN,620.93,
BIOPSY SYSTEM CORE GENCUT,2677.50,
BIOSPY INSTRUMENT TRU GUIDE 20GX10CM,223.38,
BIOTENODESIS DISP KIT,1453.50,
BIO-TENODESIS DISPOSABLES KIT,1417.16,
biotin 5 mg capsule 120 each Bottle,2.71,
biotin 5 mg tablet 60 each Bottle,2.14,
BIPOLAR PENCIL TAPERED 23G,267.75,
bisacodyl 10 mg suppository 1 each Box,1.92,
bisacodyl 10 mg suppository 100 each Box,1.92,
"bisacodyl 5 mg tablet,delayed release (DR/EC) 100 each BLIST PACK",0.26,
"bisacodyl 5 mg tablet,delayed release (DR/EC) 100 each Bottle",0.13,
bismuth subsalicylate 262 mg/15 mL suspension 236 mL Bottle,1.75,
bismuth subsalicylate 262 mg/15 mL suspension 30 mL Cup,0.29,
bismuth subsalicylate 262 mg/15 mL suspension 473 mL Bottle,3.50,
BIT DRILL,2279.70,
BIT DRILL  CANNULATED 7.0MM,4398.75,
BIT DRILL 0.76 44.5MM 8MM W/SELFSTOP FOR MODULAR H,1060.98,
BIT DRILL 02.4MM STD ORTHOHELIX MAXLOCK EXTRE,1369.35,
BIT DRILL 1.0MM,459.46,
BIT DRILL 1.0MM MANUAL,682.76,
BIT DRILL 1.0MM STOP,1363.23,
BIT DRILL 1.0X4MM,1363.23,
BIT DRILL 1.0X5 6M STOP STRYKE,897.73,
BIT DRILL 1.1 MM,459.46,
BIT DRILL 1.1 X 55MM,459.46,
BIT DRILL 1.1MM,1363.23,
BIT DRILL 1.1MM 6MM STOP/44.5MM,1552.95,
BIT DRILL 1.1MM STOP,1363.23,
BIT DRILL 1.1X4MM STOP,1363.23,
BIT DRILL 1.1X6MM STOP,1363.23,
BIT DRILL 1.1X8MM STOP,1363.23,
BIT DRILL 1.3 X 55MM,1363.23,
BIT DRILL 1.35X50MM,1036.58,
BIT DRILL 1.3MM,950.51,
BIT DRILL 1.4MM NANOTACK,2210.85,
BIT DRILL 1.4X8MM,1369.35,
BIT DRILL 1.5 TROCAR,1397.66,
BIT DRILL 1.5MM,1363.23,
BIT DRILL 1.5MM 60MM STOP,1363.23,
BIT DRILL 1.5MM FOR GLIDING HOLE 57MM,774.18,
BIT DRILL 1.5MM FOR THREADED HOLE 74MM,774.18,
BIT DRILL 1.5MM STRYKER J-LATCH FPR THREADED HOLE,774.18,
BIT DRILL 1.5MM TROCAR,297.20,
BIT DRILL 1.5X18MM,1576.67,
BIT DRILL 1.5X4MM STOP,1363.23,
BIT DRILL 1.5X6MM STOP,1363.23,
BIT DRILL 1.5X8MM STOP,1363.23,
BIT DRILL 1.6MM,1751.85,
BIT DRILL 1.6MM FOR 2.7 SCREW PILOT DRILL FPS,765.00,
BIT DRILL 1.7MM,1302.49,
BIT DRILL 1.7MM CERVICAL DISTRACTOR CASPER,2072.46,
BIT DRILL 1.7MM DISP,581.40,
BIT DRILL 1.8 X 100M TROCAR,1576.67,
BIT DRILL 1.8MM,1363.23,
BIT DRILL 1.8MM 25X28MM,831.94,
BIT DRILL 1.8MM<DISP>,1161.19,
BIT DRILL 1.8MM<REPROCESS>,228.58,
BIT DRILL 1.9MM,1836.00,
BIT DRILL 1.9X80MM HALLU,1820.70,
BIT DRILL 1/8IN QUICK RELEASE,933.30,
BIT DRILL 10.0MM HOLLOW MULTILOC HUMERAL NAIL,2426.89,
BIT DRILL 10.5X495MM LAG SCREW STEP GAMMA3,10409.36,
BIT DRILL 10MM CANNULATED TOGGLELOC W/ZIPLOOP,4016.25,
BIT DRILL 12MM,1071.00,
BIT DRILL 12MM SINGLE-USE TRINICA,650.25,
BIT DRILL 13MM,4051.59,
BIT DRILL 14MM,1071.00,
BIT DRILL 14MM FIXED,1071.00,
BIT DRILL 15/64,1705.95,
BIT DRILL 16MM,1071.00,
BIT DRILL 18MM CANNULATED BIO-COMPRESSION,1071.00,
BIT DRILL 2.0,899.64,
BIT DRILL 2.0 CLAW II,950.51,
BIT DRILL 2.0 X 130MM,616.90,
BIT DRILL 2.0 X 135MM SCALED,2027.25,
BIT DRILL 2.0MM,1302.49,
BIT DRILL 2.0MM / STRYKER J-LATCH F/GLIDING HOLE/66MM,1116.90,
BIT DRILL 2.0MM 3 FLT 125MM XL,852.90,
BIT DRILL 2.0MM 3 FLUTED 100MM,668.30,
BIT DRILL 2.0MM CANN,3124.34,
BIT DRILL 2.0MM CLAW,950.51,
BIT DRILL 2.0MM FOR 2.7 SCREWS<DISP>,1241.21,
BIT DRILL 2.0MM FOR 2.7 SCREWS<REPROCESS>,228.58,
BIT DRILL 2.0MM GRADUATED ANKLE-FRACTURE,726.75,
BIT DRILL 2.0MM W/12MM STOP Q/C ZERO-P,1769.45,
BIT DRILL 2.0MM W/14MM STOP Q/C ZERO-P,1769.45,
BIT DRILL 2.0MM W/AO CONNECT FOR 2.7MM SCREW,841.50,
BIT DRILL 2.0MM<DISP>,535.50,
BIT DRILL 2.0MM<REPROCESS>,228.58,
BIT DRILL 2.0X100MM DISTAL RADIUS PLATING SYSTEM,918.00,
BIT DRILL 2.2MM,910.35,
BIT DRILL 2.2MM LG 80MM AO ATTACHMENT,1751.85,
BIT DRILL 2.3,573.75,
BIT DRILL 2.3 X 10MM,1071.00,
BIT DRILL 2.3MM,650.25,
BIT DRILL 2.3MM FULL LENGTH,1071.00,
BIT DRILL 2.3X16MM FIXED VIRAGE OCT,1071.00,
BIT DRILL 2.4MM,2907.00,
BIT DRILL 2.4MM FOR 3.5/4.0MM SCREW PILOT FPS,899.64,
BIT DRILL 2.4MM MINI,1759.50,
BIT DRILL 2.5MM,1530.00,
BIT DRILL 2.5MM 110MM ANKLE-FRACTURE,650.25,
BIT DRILL 2.5MM 3 FLTD 155M XL,922.21,
BIT DRILL 2.5MM 3 FLUTED 110MM,668.30,
BIT DRILL 2.5MM CALIBRATED,1874.25,
BIT DRILL 2.5MM CHARLOTTE,1147.50,
BIT DRILL 2.5MM CLAW,950.51,
BIT DRILL 2.5MM GRADUATED,650.25,
BIT DRILL 2.5MM MIDFOOT,604.35,
BIT DRILL 2.5MM PANTERA,1300.50,
BIT DRILL 2.5MMX125M<DISP>,765.00,
BIT DRILL 2.5MMX125M<REPROCESS>,228.58,
BIT DRILL 2.5X100MM DISTAL RADIUS PLATING SYSTEM,918.00,
BIT DRILL 2.5X120MM,1027.01,
BIT DRILL 2.5X230MM CALIBRATED,1048.51,
BIT DRILL 2.6 X 220MM,1257.66,
BIT DRILL 2.6MM,2126.70,
BIT DRILL 2.6MM CANNULATED ANKLE-FRACTURE,1338.75,
BIT DRILL 2.6MM LISFRANC,1302.49,
BIT DRILL 2.6MM W/AO CONNECT FOR 3.5MM SCREW,841.50,
BIT DRILL 2.7MM,1417.16,
BIT DRILL 2.7MM 155MM CANNULATED,3266.93,
BIT DRILL 2.7MM 160MM CANNULATED FOR 4.0 CANNULATE,206.55,
BIT DRILL 2.7MM 3 FLTD 125M XL<DISP>,956.86,
BIT DRILL 2.7MM 3 FLTD 125M XL<REPROCESS>,228.58,
BIT DRILL 2.7MM 3 FLUTED 110MM,668.30,
BIT DRILL 2.7MM CALIBRATED ALPS,879.75,
BIT DRILL 2.7MM CLEARANCE FPS,682.76,
BIT DRILL 2.7MM W/AO CONNECT FOR 3.5MM SCREW,1106.19,
BIT DRILL 2.7MMX130MM,616.90,
BIT DRILL 2.7MMX190MM UNI-CP,1927.80,
BIT DRILL 2.8MM,1185.60,
BIT DRILL 2.8MM 200X100M PERC NON STERILE<DISP>,1294.84,
BIT DRILL 2.8MM 200X100M PERC NON STERILE<REPROCESS>,228.58,
BIT DRILL 2.8MM A/C 248/95MM CAL,1236.39,
BIT DRILL 2.8MM CLAW II,950.51,
BIT DRILL 2.8MM LONG,765.00,
BIT DRILL 2.8MM PERCUTANEOUS,1395.13,
BIT DRILL 2.8MM TAP,413.10,
BIT DRILL 2.8MM W/STOP,1060.90,
BIT DRILL 2.8MM WITH STOP,1040.09,
BIT DRILL 2.8X20MM,535.50,
BIT DRILL 2.8X30,535.50,
BIT DRILL 2.9MM 150MM<DISP>,685.06,
BIT DRILL 2.9MM 150MM<REPROCESS>,228.58,
BIT DRILL 2.9MM SUPER,2050.20,
BIT DRILL 2MM,1063.35,
BIT DRILL 3.0MM,1063.35,
BIT DRILL 3.0MM AO ATTACHMENT,1751.85,
BIT DRILL 3.0MM CANNULATED,1302.49,
BIT DRILL 3.0MM CANNULATED MINI-HUDSON,1338.75,
BIT DRILL 3.0MM PLATING SYSTEM SALVATION 3DI,950.51,
BIT DRILL 3.1X229M CALIBRATED,688.50,
BIT DRILL 3.2 X 145MM,991.52,
BIT DRILL 3.2 X 30MM,535.50,
BIT DRILL 3.2 X 40,1277.55,
BIT DRILL 3.2MM,1821.08,
BIT DRILL 3.2MM 3 FLUTED 145MM,676.64,
BIT DRILL 3.2MM 3 FLUTED 195MM,1010.79,
BIT DRILL 3.2MM 300MM PERCUTANEOUS CALIBRATED,1395.13,
BIT DRILL 3.2MM ECT STAND,371.79,
BIT DRILL 3.2MM FLUTED,1228.05,
BIT DRILL 3.2MM LONG PILOT,1005.21,
BIT DRILL 3.2MMX145MM,1202.96,
BIT DRILL 3.2MX125M BONE BIDRV,922.59,
BIT DRILL 3.2X180MM,1048.51,
BIT DRILL 3.2X20MM,535.50,
BIT DRILL 3.2X300MM,1037.34,
BIT DRILL 3.2X315MM AO CALIBRATED,1193.71,
BIT DRILL 3.2X320MM CALIB,1048.51,
BIT DRILL 3.2X40MM,535.50,
BIT DRILL 3.3X2.5MM LONG,439.88,
BIT DRILL 3.4MM,1338.75,
BIT DRILL 3.5MM,1530.00,
BIT DRILL 3.5MM 3 FLTD 195M XL,1035.89,
BIT DRILL 3.5MM 3 FLUTED 110MM,689.11,
BIT DRILL 3.5MM CALIBRATED PEDILOC,1170.45,
BIT DRILL 3.5MM CANNULATED,1858.95,
BIT DRILL 3.5MM SHORT PERI-LOC,645.51,
BIT DRILL 3.5MM TRIM-IT,604.35,
BIT DRILL 3.5MMX125MM,765.00,
BIT DRILL 3.5X130MM AO STERI,1079.11,
BIT DRILL 3.5X152X4MM,546.21,
BIT DRILL 3.5X230MM AO STERI,1079.11,
BIT DRILL 3.7MM,1302.49,
BIT DRILL 3.7MM FOR CANNULATED SCREW,1181.93,
BIT DRILL 3.8MM 270MM CALIBRATED 3-FLUTE FOR QUICK,1802.80,
BIT DRILL 3.8MM PLATING SYSTEM SALVATION 3DI,950.51,
BIT DRILL 4.0MM,1821.08,
BIT DRILL 4.0MM 3FLT 215X80MM,1679.10,
BIT DRILL 4.0MM CALIBRATED,1729.13,
BIT DRILL 4.0MM CALIBRATED<DISP>,1420.15,
