UF Health Shands Gainesville - Pricing Transparency Charge Master,,
Issued 12/28/2018,,
"NOTE: prices identified as ""Mark Up' encompass multiple items with different prices based item markup",,
,,
BILLING_DESC,UNIT,PRICE
BIOPSY GUN ,EACH,145.00
BIOPSY KIT DIAMOND POINT ,EACH,260.00
BIOPSY LIVER ,EACH,"3,520.00"
BIOPSY MUSCLE ,EACH,"5,120.00"
BIOPSY MUSCLE DEEP ,EACH,"5,520.00"
BIOPSY NASOPHARYNX ,EACH,"6,265.00"
BIOPSY OF RECTUM ,EACH,"7,695.00"
BIOPSY OF UPPER NOSE/THROAT ,EACH,"6,265.00"
BIOPSY PLEURA NDL ,EACH,"3,520.00"
BIOPSY PLEURA PERC NEEDLE ,EACH,"3,520.00"
BIOPSY PLEURA PERC.NEEDLE ,EACH,"3,520.00"
BIOPSY SKIN LESION EA ADDITIONAL ,EACH,190.00
BIOPSY SKIN LESION SINGLE ,EACH,665.00
BIOPSY SPINAL CORD PERC ,EACH,"3,520.00"
BIOPSY TRAY ,EACH,30.00
BIOPSY TRAY ,EACH,80.00
BIOPTOM ,EACH,975.00
BIOTIN 10 MG/ML ORAL SUSPENSION UF ,10 mL,4.80
BIS XTRACELL FLUID ANALYSIS ,EACH,325.00
BISACODYL 10 MG RE SUPP ,1 each,3.00
BISACODYL 5 MG PO TBEC ,1 each,3.00
BISMUTH SUBCARBONATE POWD ,1  x 454 g Bottle,568.00
BISMUTH SUBSALICYLATE 262 MG PO CHEW ,.03333  x 30 each Box,3.00
BISMUTH SUBSALICYLATE 262 MG/15ML PO SUSP ,1  x 118 mL Bottle,8.90
BISOPROLOL 2.5 MG PO TAB (INPATIENT) ,1 each,3.40
BISOPROLOL FUMARATE 10 MG PO TABS ,1 each,3.70
BISOPROLOL FUMARATE 5 MG PO TABS ,1 each,6.80
BISOPROLOL-HYDROCHLOROTHIAZIDE 10-6.25 MG PO TABS ,1 each,21.30
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5-6.25 MG PO TABS ,1 each,21.30
BISOPROLOL-HYDROCHLOROTHIAZIDE 5-6.25 MG PO TABS ,1 each,21.30
BIT DRILL ,EACH,Mark Up
BIV ICD ,EACH,"55,740.00"
BIV ICD 1 ,EACH,"49,660.00"
BIV ICD 2 ,EACH,"48,355.00"
BIV ICD 3 ,EACH,"45,740.00"
BIV PACEMAKER ,EACH,"18,950.00"
BIV PACER LEAD ,EACH,"4,770.00"
BIVALIRUDIN TRIFLUOROACETATE 250 MG IV SOLR ,1 each,"3,901.20"
BK VIRUS  BY PCR ,EACH,251.00
BK VIRUS PCR - BLOOD ,EACH,291.00
BK VIRUS PCR - URINE ,EACH,291.00
BLADE DERMATOME ,EACH,Mark Up
BLADE ENDOSCOPIC ,EACH,Mark Up
BLADE FIXATION ,EACH,Mark Up
BLADE INTRAMEDULLARY NAIL ,EACH,Mark Up
BLADE OPHTHALMIC ,EACH,Mark Up
BLADE OSSICULAR ,EACH,Mark Up
BLADE RASP ,EACH,Mark Up
BLADE SAW ,EACH,Mark Up
BLADE SHAVER ,EACH,Mark Up
BLADE TREPHINE ,EACH,Mark Up
BLADE URETHROTOME ,EACH,Mark Up
BLASTOMYCES ABS QUANT ,EACH,26.00
BLEDSOE KNEE BRACE* ,EACH,770.00
BLEDSOE WALKING BOOT* ,EACH,320.00
BLEOMYCIN SULFATE 15 UNITS IJ SOLR ,1 each,167.80
BLEOMYCIN SULFATE 15 UNITS IJ SOLR ,1 each,167.80
BLEOMYCIN SULFATE 15 UNITS IJ SOLR ,1 each,259.60
BLEOMYCIN SULFATE 15 UNITS IJ SOLR ,1 each,259.60
BLEOMYCIN SULFATE 15 UNITS IJ SOLR ,15 Units,259.60
BLEOMYCIN SULFATE 30 UNITS IJ SOLR ,1 each,336.70
BLEOMYCIN SULFATE 30 UNITS IJ SOLR ,1 each,336.70
BLEOMYCIN SULFATE 30 UNITS IJ SOLR ,1 each,457.30
BLEOMYCIN SULFATE 30 UNITS IJ SOLR ,1 each,457.30
BLINATUMOMAB 35 MCG IV SOLR CUSTOM UF ,35 mcg,"15,021.10"
BLOCK CUTTING ,EACH,Mark Up
BLOCK TRAY ,EACH,50.00
BLOCKER ENDOBRONCHIAL ,EACH,565.00
BLOCKING TX DEVICE COMPLES ,EACH,"1,150.00"
BLOCKING TX DEVICE INTERMED ,EACH,600.00
BLOCKING TX DEVICE SIMPLE ,EACH,415.00
BLOCK-REGIONAL LEV 1-ADDL MIN ,EACH,85.00
BLOCK-REGIONAL LEV 2-ADDL MIN ,EACH,105.00
BLOCK-REGIONAL LEV 3-ADDL MIN ,EACH,120.00
BLOCK-REGIONAL LEV 4-ADDL MIN ,EACH,135.00
BLOCK-REGIONAL LEV 5-ADDL MIN ,EACH,160.00
BLOOD BANK RHOGAM DOSE WKUP ,EACH,385.00
BLOOD CULTURE FUNGUS ,EACH,61.00
BLOOD GAS ,EACH,130.00
BLOOD GAS ,EACH,130.00
BLOOD GASES 02 SAT (DIR) ,EACH,60.00
BLOOD IRRADIATION ,EACH,121.00
BLOOD OCCULT FECAL SNGL-DIGITAL ,EACH,22.00
BLOOD OCCULT QUAL FECAL 1-3 ,EACH,25.00
BLOOD SMEAR PREP-PERIPHERAL ,EACH,Mark Up
BLOOD TYPING ANTIBODY ANTIGEN ,EACH,409.00
BLOOD TYPING ANTIGEN DONOR EACH ,EACH,409.00
BLOOD X-MATCH (AHG) ,EACH,368.00
BLOOD X-MATCH (IS) ,EACH,368.00
BLOOD/LYMPH SYSTEM PROCEDURE ,EACH,"1,335.00"
BLUE RHINO-PERCUTAN TRACH KIT ,EACH,680.00
BODY 1 THIGH ADULT S ,EACH,700.00
BOLT EXTERNAL FIXATION ,EACH,Mark Up
BOLT LOCKING ,EACH,Mark Up
BOLT SPINAL ,EACH,Mark Up
BONE AGE STUDIES ,EACH,460.00
BONE AGE X-RAY ,EACH,460.00
BONE BIOPSY DEVICE ,EACH,410.00
BONE BIOPSY SET ,EACH,185.00
BONE DENS DEX HIP PELVIS SPIN ,EACH,460.00
BONE DENS DEX WHOLE BODY ,EACH,600.00
BONE DENS DEX WRIST ANK FOOT ,EACH,265.00
BONE DENS DXA AXIAL SKEL INCL VERT FX ASSMNT ,EACH,405.00
BONE FILLER EXPRESS ,EACH,375.00
BONE MARROW ACQUISITION ,EACH,Mark Up
BONE MARROW ALLOGENIC TRANSPLANT ,EACH,"11,660.00"
BONE MARROW AUTOLOGOUS TRANSPLANT ,EACH,"11,660.00"
BONE MARROW IMAGING WHOLE ,EACH,"1,495.00"
BONE MARROW SMEAR ,EACH,"1,670.00"
BONE MARROW-DONOR LYMPHOCYTE INFUSION ,EACH,"4,060.00"
BONE/JOINT IMAGE-LIMITED AREA ,EACH,"1,495.00"
BONE/JOINT IMAGE-THREE PHASE ,EACH,"1,495.00"
BONE/JOINT IMAGE-WHOLE BODY ,EACH,"1,495.00"
BONE/JOINT-TOMO (SPECT) ,EACH,"1,615.00"
BORTEZOMIB 3.5 MG IJ SOLR ,3.5 mg,"6,510.80"
BORTEZOMIB 3.5 MG IJ SOLR ,3.5 mg,"6,510.80"
BORTEZOMIB 3.5 MG IJ SOLR ,1 each,"6,510.80"
BORTEZOMIB 3.5 MG IJ SOLR ,3.5 mg,"6,510.80"
BORTEZOMIB 3.5 MG IV SOLR CUSTOM UF ,3.5 mg,"6,510.80"
BORTEZOMIB 3.5 MG IV SOLR CUSTOM UF ,3.5 mg,"6,510.80"
BORTEZOMIB 3.5 MG IV SOLR CUSTOM UF ,1 each,"6,510.80"
BORTEZOMIB 3.5 MG IV SOLR CUSTOM UF ,3.5 mg,"6,510.80"
BOSENTAN (TRACLEER) 6.25 MG/ML ORAL LIQUID UF ,10 mL,412.50
BOSENTAN 125 MG PO TABS ,1 each,652.90
BOSENTAN 15.63 MG PO TAB (INPATIENT) ,1 each,107.50
BOSENTAN 31.25 MG PO TAB (INPATIENT) ,1 each,214.90
BOSENTAN 62.5 MG PO TABS ,1 each,652.90
BOTOX NEEDLE ,EACH,80.00
BOTOX NEEDLE ,EACH,80.00
BOTOX PROCEDURE TIME CHARGE ,EACH,"1,555.00"
BOWEL IMAGING ,EACH,"1,495.00"
BRACE ORTHOPEDIC ,EACH,Mark Up
BRACE-HUMERUS FRACTURE ,EACH,165.00
BRACHIAL ACCESS ONLY ,EACH,670.00
BRACHIAL PLEXUS NERVE BLOCK SNG ,EACH,"2,870.00"
BRACHYTHERAPY NEEDLE ,EACH,60.00
BRACHYTX ISODOSE PLAN CMPLX ,EACH,"1,150.00"
BRACHYTX ISODOSE PLAN INTERMED ,EACH,"1,150.00"
BRACHYTX ISODOSE PLAN SIMPLE ,EACH,415.00
BRACHYTX SOURCE-HDR IR-192 ,EACH,"1,380.00"
BRACHYTX SOURCE-NON-HDR IR-192 ,EACH,230.00
BRACHYTX SOURCE-YTTRIUM-90 ,EACH,"39,205.00"
BRACIOCEPH TRK&BRCHS ATHER+S&I ,EACH,"24,945.00"
BRAF GENE MUTATION DETECTION ,EACH,920.00
BRAF GENE MUTATION DETECTION ,EACH,920.00
BRAF-MICRODISSECTION MANUAL ,EACH,395.00
BRAIN IMAGE <4 STAT VIEW W/VASC FLOW ,EACH,"1,245.00"
BRAIN IMAGE MIN 4 VIEW W/VASC FLOW ,EACH,"2,150.00"
BRAIN IMAGE TOMO (SPECT) ,EACH,"5,140.00"
BRAIN MAPPING 1ST HR ,EACH,"3,215.00"
BRAIN MAPPING EA ADDL HOUR ,EACH,815.00
BRAIN PERFUSION W/CON ,EACH,"1,235.00"
BRANCED CHN AMINO ACD BLD SPOT ,EACH,115.00
BRAVO CAPSULE ,EACH,565.00
BREAST ASPIRATION EACH ADD ,EACH,795.00
BREAST ASPIRATION-INITIAL ,EACH,"2,040.00"
BREAST DUCTOGRAM-MULTI ,EACH,715.00
BREAST TUMOR LOCALIZATION LTD ,EACH,"1,245.00"
BREATHING EX/15 MIN ,EACH,170.00
BRENTUXIMAB VEDOTIN 50 MG IV SOLR ,50 mg,"29,852.70"
BRENTUXIMAB VEDOTIN 50 MG IV SOLR ,50 mg,"29,852.70"
BRILLIANT BLUE G 0.025% INJECTION CUSTOM ,1  x 1 mL Vial,117.20
BRILLIANT BLUE G 0.025% INJECTION CUSTOM ,1  x 1 mL Vial,117.20
BRILLIANT BLUE G 0.025% INJECTION CUSTOM ,1  x 1 mL Vial,117.20
BRIMONIDINE TARTRATE 0.15 % OP SOLN ,1  x 5 mL Bottle,560.70
BRIMONIDINE TARTRATE 0.2 % OP SOLN ,1  x 5 mL Bottle,54.40
BRIMONIDINE TARTRATE 0.2 % OP SOLN ,1  x 5 mL Bottle,54.40
BRINZOLAMIDE 1 % OP SUSP ,1  x 10 mL Bottle,"1,028.00"
BRITE TIP SHEATH ,EACH,60.00
BRITE TIP SHEATH ,EACH,90.00
BRIVARACETAM 50 MG PO TABS ,1 each,64.30
BRIVARACETAM 50 MG/5ML IV SOLN ,5 mL,213.70
BROMIDE ,EACH,47.00
BROMOCRIPTINE MESYLATE 2.5 MG PO TABS ,1 each,18.90
BRONCH DIAGNOSTIC ,EACH,"4,085.00"
BRONCH EBUS IVNTJ PERPH LES ,EACH,"8,070.00"
BRONCH EBUS SAMPLING 1/2 NODE ,EACH,"7,450.00"
BRONCH EBUS SAMPLING 3/>NODE ,EACH,"7,450.00"
BRONCH NAVIGATION ADD-ON ,EACH,"2,350.00"
BRONCH THERAPEUTIC INITIAL ,EACH,"4,085.00"
BRONCH THERMOPLASTY 2/> LOBE ,EACH,"11,545.00"
BRONCH THERMOPLASTY CATH ALAIR ,EACH,"6,535.00"
BRONCH TREAT BLOCKAGE ,EACH,"7,450.00"
BRONCH TUMOR EXCISION ,EACH,"7,450.00"
BRONCH W/ALVEOLAR LAVAGE ,EACH,"4,085.00"
BRONCH W/BALLOON OCCLUSION ,EACH,"11,545.00"
BRONCH W/BIOPSY ,EACH,"4,085.00"
BRONCH W/BRACHY ,EACH,"4,085.00"
BRONCH W/BRUSHINGS ,EACH,"4,085.00"
BRONCH W/BX EA ADD LOBE ,EACH,"3,785.00"
BRONCH W/DILATION ,EACH,"7,450.00"
BRONCH W/LUNG BX 1 LOBE ,EACH,"7,450.00"
BRONCH W/NEEDLE ASPIR BX ,EACH,"7,450.00"
BRONCH W/NEEDLE BX ADDL ,EACH,"3,785.00"
BRONCH W/REM FB ,EACH,"4,085.00"
BRONCH W/STENT-ADDTL BRONCHUS ,EACH,"7,365.00"
BRONCH W/STENT-BRONCHIAL ,EACH,"11,545.00"
BRONCH W/STENT-REVISION ,EACH,"11,545.00"
BRONCH W/STENT-TRACHEAL ,EACH,"11,545.00"
BRONCH W/THER ADD ,EACH,"1,515.00"
BRONCH W/THER ADD ,EACH,"1,515.00"
BRONCH W/TRANS BIOPSY ,EACH,"7,450.00"
BRONCHEAL STENT DUMON BD ,EACH,"1,100.00"
BRONCHOSCOPY FIDUCIAL MARKERS ,EACH,"11,545.00"
BRONCHOSPASM EVALUATION ,EACH,825.00
BRONCHOSPASM EVALUATION PROLONGED ,EACH,825.00
BRONCHUS FLEX NEEDLE 18 GA ,EACH,610.00
BRUCELLA AB TOTAL ,EACH,27.00
BRUCELLA ABS ,EACH,61.00
BRUSH & PLUG VOICE PROSTHESIS ,EACH,100.00
BRUSH FEMORAL CANAL ,EACH,Mark Up
BS DIAGNOSTIC CATHETER ,EACH,70.00
BSS IO SOLN ,1  x 15 mL Bottle,51.10
BSS IO SOLN ,1  x 15 mL Bottle,51.10
BSS IO SOLN ,1  x 15 mL Bottle,51.10
BSS PLUS IO SOLN ,1  x 500 mL Glass Cont,340.00
BSS PLUS IO SOLN ,1  x 500 mL Glass Cont,340.00
BSS PLUS IO SOLN ,1  x 500 mL Glass Cont,340.00
BT CELL CLONAL MICRODISSECTION ,EACH,605.00
BUCKS TRACTION BOOT ,EACH,190.00
BUDESONIDE 0.25 MG/2ML IN SUSP ,1  x 2 mL Plas Cont,51.30
BUDESONIDE 0.25 MG/2ML IN SUSP ,1  x 2 mL Plas Cont,56.50
BUDESONIDE 0.5 MG/2ML IN SUSP ,1  x 2 mL Plas Cont,59.90
BUDESONIDE 0.5 MG/2ML IN SUSP ,1  x 2 mL Plas Cont,60.30
BUDESONIDE 3 MG PO CPEP ,1 each,82.90
BUDESONIDE 32 MCG/ACT NA SUSP ,1  x 8.6 g Bottle,535.20
BUDESONIDE 90 MCG/ACT IN AEPB ,1 each,617.10
BUDESONIDE-FORMOTEROL FUMARATE 160-4.5 MCG/ACT IN AERO ,1  x 6 g Inhaler,800.50
BUDESONIDE-FORMOTEROL FUMARATE 80-4.5 MCG/ACT IN AERO ,1  x 6.9 g Inhaler,695.90
BUFFY COAT GRAM STAIN STUDY ,EACH,29.00
BUMETANIDE 0.25 MG/ML IJ SOLN ,1  x 2 mL Vial,9.00
BUMETANIDE 0.25 MG/ML IJ SOLN ,1  x 2 mL Vial,9.00
BUMETANIDE 0.25 MG/ML IJ SOLN ,1  x 4 mL Vial,13.70
BUMETANIDE 0.25 MG/ML IJ SOLN ,1  x 10 mL Vial,20.50
BUMETANIDE 0.5 MG PO TABS ,1 each,7.30
BUMETANIDE 1 MG PO TABS ,1 each,8.10
BUN ,EACH,27.00
BUPIVACAINE HCL (PF) 0.25 % IJ SOLN ,1  x 10 mL Vial,10.50
BUPIVACAINE HCL (PF) 0.25 % IJ SOLN ,1  x 10 mL Vial,10.50
BUPIVACAINE HCL (PF) 0.25 % IJ SOLN ,1  x 30 mL Vial,10.70
BUPIVACAINE HCL (PF) 0.25 % IJ SOLN ,1  x 30 mL Vial,10.70
BUPIVACAINE HCL (PF) 0.25 % IJ SOLN ,1  x 30 mL Vial,10.70
BUPIVACAINE HCL (PF) 0.5 % IJ SOLN ,1  x 30 mL Vial,11.90
BUPIVACAINE HCL (PF) 0.5 % IJ SOLN ,1  x 30 mL Vial,11.90
BUPIVACAINE HCL (PF) 0.5 % IJ SOLN ,1  x 30 mL Vial,11.90
BUPIVACAINE HCL (PF) 0.5 % IJ SOLN ,1  x 10 mL Vial,12.30
BUPIVACAINE HCL (PF) 0.5 % IJ SOLN ,1  x 10 mL Vial,12.30
BUPIVACAINE HCL (PF) 0.75 % IJ SOLN ,1  x 10 mL Vial,13.00
BUPIVACAINE HCL (PF) 0.75 % IJ SOLN ,1  x 10 mL Vial,13.00
BUPIVACAINE HCL (PF) 0.75 % IJ SOLN ,1  x 10 mL Vial,13.00
BUPIVACAINE HCL (PF) 0.75 % IJ SOLN ,1  x 30 mL Vial,21.30
BUPIVACAINE IN DEXTROSE 0.75-8.25 % IT SOLN ,1  x 2 mL Ampule,25.50
BUPIVACAINE IN DEXTROSE 0.75-8.25 % IT SOLN ,1  x 2 mL Ampule,25.50
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN ,1  x 30 mL Vial,18.50
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN ,1  x 30 mL Vial,18.50
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN ,1  x 10 mL Vial,23.40
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN ,1  x 10 mL Vial,23.40
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN ,1  x 30 mL Vial,49.90
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN ,1  x 30 mL Vial,49.90
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN ,1  x 30 mL Vial,58.70
BUPIVACAINE-EPINEPHRINE (PF) 0.25% -1:200000 IJ SOLN ,1  x 30 mL Vial,58.70
BUPIVACAINE-EPINEPHRINE (PF) 0.5% -1:200000 IJ SOLN ,1  x 30 mL Vial,15.80
BUPIVACAINE-EPINEPHRINE (PF) 0.5% -1:200000 IJ SOLN ,1  x 30 mL Vial,15.80
BUPIVACAINE-EPINEPHRINE (PF) 0.5% -1:200000 IJ SOLN ,1  x 30 mL Vial,29.90
BUPRENORPHINE 10 MCG/HR TD PTWK ,1 each,456.30
BUPRENORPHINE 5 MCG/HR TD PTWK ,1 each,305.10
BUPRENORPHINE 7.5 MCG/HR TD PTWK ,1 each,338.30
BUPRENORPHINE HCL 2 MG SL SUBL ,1 each,12.50
BUPRENORPHINE HCL 8 MG SL SUBL ,1 each,23.30
BUPRENORPHINE HCL-NALOXONE HCL 2-0.5 MG SL SUBL ,1 each,17.50
BUPRENORPHINE HCL-NALOXONE HCL 8-2 MG SL SUBL ,1 each,31.30
BUPRENORPHINE UR QUANT REFLX ,EACH,115.00
BUPROPION HCL 100 MG PO TABS ,1 each,5.90
BUPROPION HCL 100 MG PO TB12 (UF INPATIENT) ,1 each,5.10
BUPROPION HCL 150 MG PO TB12 (UF INPATIENT) ,1 each,5.50
BUPROPION HCL 150 MG PO TB12 (UF INPATIENT) ,1 each,5.90
BUPROPION HCL 75 MG PO TABS ,1 each,3.00
BUPROPION HCL 75 MG PO TABS ,1 each,4.70
BUPROPION HCL ER (SMOKING DET) 150 MG PO TB12 ,1 each,14.90
BUPROPION HCL ER (XL) 150 MG PO TB24 ,1 each,15.70
BUPROPION HCL ER (XL) 150 MG PO TB24 ,1 each,15.70
BUPROPION HCL ER (XL) 300 MG PO TB24 ,1 each,18.90
BURN CULTURE ,EACH,59.00
BURN DSG/DEBRIDE WO/ANES LG ,EACH,960.00
BURN DSG/DEBRIDE WO/ANES MED ,EACH,840.00
BURN DSG/DEBRIDE WO/ANES SMALL ,EACH,440.00
BURN FIRST DEGREE INIT TX LOCAL ,EACH,440.00
BURN NET BAND 9 X 12 ,EACH,30.00
BURR SURGICAL ,EACH,Mark Up
BUSPIRONE 2.5 MG PO TAB (INPATIENT) ,1 each,3.00
BUSPIRONE HCL 10 MG PO TABS ,1 each,4.10
BUSPIRONE HCL 5 MG PO TABS ,1 each,3.00
BUSPIRONE HCL 5 MG PO TABS ,1 each,3.00
BUSULFAN ,EACH,180.00
BUSULFAN 2 MG PO TABS ,1 each,84.40
BUSULFAN 6 MG/ML IV SOLN ,1  x 10 mL Vial,"4,072.20"
BUSULFAN PO LIQD 2 MG/ML ,120 mL,"1,841.10"
BUTALBITAL-ACETAMINOPHEN 50-325 MG PO TABS ,1 each,4.70
BUTALBITAL-APAP-CAFFEINE 50-325-40 MG PO TABS ,1 each,4.90
BUTALBITAL-APAP-CAFFEINE 50-325-40 MG PO TABS ,1 each,4.90
BUTALBITAL-ASPIRIN-CAFFEINE 50-325-40 MG PO CAPS ,1 each,18.60
BUTORPHANOL TARTRATE 10 MG/ML NA SOLN ,1  x 2.5 mL Bottle,352.80
BUTORPHANOL TARTRATE 2 MG/ML IJ SOLN ,1  x 1 mL Vial,19.50
BUTTON FIXATION ,EACH,Mark Up
BW ECO ULTRASOUND CATH ,EACH,"7,580.00"
BX BREAST 1ST LESION MR IMAG ,EACH,"6,080.00"
BX BREAST 1ST LESION STEREOTACTIC ,EACH,"4,480.00"
BX BREAST 1ST LESION U/S IMAG ,EACH,"4,480.00"
BX BREAST ADD LESION MR IMAG ,EACH,"4,005.00"
BX BREAST ADD LESION STEREOTACTIC ,EACH,"4,005.00"
BX BREAST ADD LESION U/S IMAG ,EACH,"4,005.00"
BX LIVER PER NEED W/PROCED ,EACH,"1,270.00"
BX LIVER PERC NEEDLE ,EACH,"3,520.00"
BX OF CERVIX ,EACH,"2,405.00"
BX SKIN SINGLE LESION ,EACH,960.00
BX SKIN/SUBCU TISSUE EA ADDL LES ,EACH,475.00
BX SOFT TISSUE NECK/THORAX ,EACH,"3,520.00"
C CURVE (NAV) SOFT TIP ABL ,EACH,"5,230.00"
C CURVE CELCIUS 7F ABL CATHETE ,EACH,"1,840.00"
C DIFFICILE ANTIGEN DETECTION EIA ,EACH,81.00
C DIFFICILE TOXIN BY PCR ,EACH,206.00
C SPINE 2-3V FLEX/EXTEND ONLY ,EACH,480.00
C1 ESTERASE INHIBITOR (HUMAN) 500 UNITS IV KIT ,1 each,"11,412.10"
C1-2 PUNCTURE ,EACH,"2,220.00"
C-1-ESTERASE INHIBITOR ,EACH,29.00
C1Q COMPLEMENT ,EACH,187.00
C3 COMPLEMENT ,EACH,81.00
C3 COMPLEMENT ,EACH,81.00
C4 COMPLEMENT ,EACH,81.00
CA 19-9 ,EACH,141.00
CA 19-9 CARBOHYDRATE ANTIGEN ,EACH,141.00
CA 27-29 TUMOR ANTIGEN QUANT ,EACH,38.00
CA BARD UMBILICAL 3.5FR ,EACH,40.00
CA BARD UMBILICAL 5FR ,EACH,40.00
CA-125 ,EACH,141.00
CABAZITAXEL 60 MG/1.5ML IV SOLN ,1.5 mL,"42,400.30"
CABERGOLINE 0.5 MG PO TABS ,1 each,103.90
CABLE CARTO 3 SYSTEM ,EACH,"1,195.00"
CABLE CONNECTOR 613 ,EACH,"1,020.00"
CABLE CONNECTOR 651 ,EACH,785.00
CABLE CONNECTOR 652 ,EACH,470.00
CABLE ELECTRODE ,EACH,Mark Up
CABLE EPT 1000 XP ARM QUICK CO ,EACH,"5,750.00"
CABLE INTERFACE TO GENERATOR 5 ,EACH,710.00
CABLE MODULAR REPL HM III IDE#G140113 ,EACH,Mark Up
CABLE ORTHOPEDIC ,EACH,Mark Up
CABLE PACING ,EACH,Mark Up
CABLE PACING EXTENSION ,EACH,Mark Up
CABLE SPINAL ,EACH,Mark Up
CABLE TRAUMA FIXATION ,EACH,Mark Up
CABLE/SLEEVE ORTHOPEDIC ,EACH,Mark Up
CADEXOMER IODINE 0.9 % EX GEL ,1  x 40 g Tube,411.30
CAFFEINE ,EACH,84.00
CAFFEINE 200 MG PO TABS ,1 each,3.00
CAFFEINE CITRATE 20 MG/ML PO SOLN ,3 mL,72.00
CAFFEINE CITRATE 60 MG/3ML IV SOLN ,1  x 3 mL Vial,109.10
CAFFEINE CITRATE 60 MG/3ML IV SOLN ,1  x 3 mL Vial,109.10
CAFFEINE CITRATE 60 MG/3ML IV SOLN ,3 mL,143.20
CAGE GLENOID ,EACH,Mark Up
CAGE SPINAL ,EACH,Mark Up
CALAMINE 8-8 % EX LOTN ,1  x 177 mL Bottle,7.00
CALCIPOTRIENE 0.005 % EX CREA ,1  x 60 g Tube,"2,510.00"
CALCIPOTRIENE 0.005 % EX OINT ,1  x 60 g Tube,"1,149.00"
CALCITONIN ,EACH,49.00
CALCITONIN (SALMON) 200 UNIT/ACT NA SOLN ,1  x 3.7 mL Bottle,308.70
CALCITONIN (SALMON) 200 UNIT/ML IJ SOLN ,1  x 2 mL Vial,"8,220.60"
CALCITRIOL 0.25 MCG PO CAPS ,1 each,3.70
CALCITRIOL 0.5 MCG PO CAPS ,1 each,5.90
CALCITRIOL 1 MCG/ML IV SOLN ,1  x 1 mL Ampule,50.70
CALCITRIOL 1 MCG/ML IV SOLN ,1  x 1 mL Ampule,50.70
CALCITRIOL 1 MCG/ML IV SOLN ,1  x 1 mL Ampule,50.70
CALCITRIOL 1 MCG/ML PO SOLN ,15 mL,537.00
CALCIUM ACETATE (PHOS BINDER) 667 MG PO CAPS ,1 each,3.10
CALCIUM BLOOD ,EACH,35.00
CALCIUM CARBONATE 1250 (500 CA) MG/5ML PO SUSP CUSTOM SH ,473 mL,36.90
CALCIUM CARBONATE 1250 MG/5ML PO SUSP UD SH ,1  x 5 mL Cup,8.40
CALCIUM CARBONATE 1250MG PO TABS UF ,1 each,3.00
CALCIUM CARBONATE 324 MG PO TAB (INPATIENT) ,1 each,3.00
CALCIUM CARBONATE ANTACID 1000 MG PO CHEW ,1 each,3.00
CALCIUM CARBONATE ANTACID 1000 MG PO CHEW ,1 each,3.00
CALCIUM CARBONATE ANTACID 1000 MG PO CHEW ,1 each,3.00
CALCIUM CARBONATE ANTACID 648 MG PO TABS ,1 each,3.00
CALCIUM CHLORIDE 10 % IV SOLN ,1  x 10 mL Syringe,44.00
CALCIUM CHLORIDE 10 % IV SOLN ,1  x 10 mL Syringe,44.00
CALCIUM CHLORIDE 10 % IV SOLN ,1  x 10 mL Syringe,44.00
CALCIUM CHLORIDE 10 % IV SOLN ,1  x 10 mL Vial,106.40
CALCIUM CHLORIDE 10 % IV SOLN ,1  x 10 mL Vial,106.40
CALCIUM CHLORIDE 10 % IV SOLN PICU ORD SET UF ,1  x 10 mL Syringe,44.00
CALCIUM CHLORIDE 4 GM/500 ML NS ,1  x 500 mL Bag,120.90
CALCIUM CHLORIDE IN NS 1 GM/50 ML IV SOLN ,1  x 50 mL Bag,13.00
CALCIUM CHLORIDE IN NS 1 GM/50 ML IV SOLN ,1  x 50 mL Bag,62.70
CALCIUM CHLORIDE PEDIATRIC INTERMIT IV (CT) 100 MG/ML UF ,10 mL,44.00
CALCIUM CHLORIDE PO LIQD 100 MG/ML ,10 mL,69.60
CALCIUM CITRATE 950 MG PO TABS ,1 each,3.00
CALCIUM GLUBIONATE 1.8 GM/5ML PO SYRP ,473 mL,59.60
CALCIUM GLUCONATE 10 % IV SOLN ,1  x 10 mL Vial,35.00
CALCIUM GLUCONATE 10 % IV SOLN ,1  x 10 mL Vial,35.00
CALCIUM GLUCONATE 10 % IV SOLN ,10 mL,35.00
CALCIUM GLUCONATE 10 % IV SOLN 50 ML ,1  x 50 mL Vial,71.90
CALCIUM GLUCONATE 2 G/ 100 ML NS UF STANDARD ,1  x 100 mL Bag,95.60
CALCIUM GLUCONATE IN SURGILUBE 2.5% UF COMPOUND ,1  x 60 g Jar,90.00
CALCIUM GLUCONATE PO LIQD 100 MG/ML ,10 mL,19.50
CALCIUM GLUCONATE-NACL 2-0.9 GM/120ML-% IV SOLN SH ,1  x 100 mL Flex Cont,105.80
