Category,Charge Code,Charge Description,CPT/HCPCS Code," Inpatient 
Price "," Outpatient 
Price "
Other,301000005,HC HEPATIC FUNC PANEL,80076,$449.82 ,$207.24 
Other,300000005,HC ASSAY OF CARBAMAZEPINE; TOTAL,80156,$471.38 ,$218.63 
Other,300000006,HC ASSAY OF CYCLOSPORINE,80158,$363.58 ,$181.20 
Other,301000009,HC ASSAY OF DIGOXIN,80162,$188.16 ,$88.43 
Other,301000010,HC ASSAY OF DIPROPYLACETIC ACID (VALPROIC ACID),80164,$434.14 ,$201.81 
Other,300000010,HC ASSAY OF GENTAMICIN,80170,$187.18 ,$83.55 
Other,300000013,HC ASSAY OF LITHIUM,80178,$482.16 ,$226.22 
Other,301000012,HC ASSAY OF PHENOBARBITAL,80184,$155.33 ,$72.70 
Other,301000013,HC ASSAY OF PHENYTOIN; TOTAL,80185,$400.82 ,$186.08 
Other,301000099,HC ASSAY OF SIROLIMUS,80195,$461.58 ,$215.92 
Other,300000016,HC ASSAY OF TACROLIMUS,80197,$326.83 ,$168.18 
Other,300000017,HC ASSAY OF THEOPHYLLINE,80198,$152.88 ,$71.61 
Other,300000018,HC ASSAY OF TOBRAMYCIN,80200,$317.52 ,$142.14 
Other,300000019,HC ASSAY OF VANCOMYCIN,80202,$324.38 ,$150.82 
Other,300000020,"HC QUANTITATION, DRG, NOT ELSEWHR SPEC 1",80299,$284.20 ,$134.54 
Other,301000006,HC DRUG TEST PRSMV CHEM ANLYZR,80307,$302.82 ,$145.93 
Other,301000325,HC DRUG SCREEN QUANTALCOHOLS,80320,$534.38 ,$427.59 
Other,301000343,HC ASSAY OF AMPHETAMINE & METHAMPHETAMINE,80324,$370.44 ,$163.84 
Other,301000054,HC ASSAY OF BARBITUATES,80345,$55.37 ,$26.04 
Other,301000355,HC HEROIN METABOLITE,80356,$225.89 ,$99.82 
Other,301000232,HC OPIOID &OPIATE ANALOG 5/MORE,80364,$523.81 ,$231.65 
Other,301000353,HC DRUG SCREENING OXYCODONE,80365,$225.89 ,$99.82 
Other,300000003,HC DRUG/SUBSTANCE NOS 7/MORE,80377,$140.14 ,$66.19 
Other,307000001,"HC URINALYSIS, DIP STICK/TABLET REAGNT; NON-AUTO W",81000,$23.87 ,$23.87 
Other,307000002,"HC URINALYSIS, DIP STICK/TABLET REAGNT; AUTO WITH",81001,$102.90 ,$47.74 
Other,307000003,"HC URINALYSIS, DIP STICK/TABLET REAGNT; NON-AUTO,",81002,$55.34 ,$55.34 
Other,307000004,"HC URINALYSIS, DIP STICK/TABLET REAGNT; AUTO, W/O",81003,$70.56 ,$32.55 
Other,307000006,HC  URINE PREGNANCY TEST,81025,$53.17 ,$53.17 
Other,307000007,"HC VOL MSRMENT, TIMED COLLECTION, EA",81050,$95.06 ,$43.40 
Other,310000004,"HC BCR-ABL1, MAJOR",81206,$298.38 ,$298.38 
Other,310000005,"HC BCR-ABL1, MINOR",81207,"$3,351.60 ","$1,484.28 "
Other,310000073,HC BRAF GENE,81210,$678.13 ,$678.13 
Other,310000031,HC CFTR,81220,$939.61 ,$939.61 
Other,310000033,HC F2 PROTHROMBIN,81240,$182.28 ,$182.28 
Other,310000034,HC FACTOR V MUTATION,81241,$157.87 ,$157.87 
Other,310000037,HC HERED HEMOCHROMAT,81256,$318.99 ,$318.99 
Other,310000040,HC MTHFR MUTATION,81291,$182.28 ,$182.28 
Other,310000067,HC UNLISTED MOLECULAR PATHOLOGY,81479,$36.35 ,$36.35 
Other,301000023,"HC ACETONE/OTHER KETONE BODIES, SERUM; QUANT",82010,$95.06 ,$45.57 
Other,301000028,HC ALBUMIN; SERUM,82040,$53.90 ,$24.96 
Other,301000029,"HC ALBUMIN; URINE OR OTHER SOURCE, QUANT, EA SPCMN",82042,$61.25 ,$28.75 
Other,301000030,"HC ALBUMIN; URINE, MICROALBUMIN, QUANT",82043,$142.10 ,$66.19 
Other,300000471,HC ASSAY OF ALCOHOL BREATH,82075,$605.70 ,$605.70 
Other,301000036,HC ALPHA-FETOPRTN; SERUM,82105,$346.43 ,$177.94 
Other,301000044,HC AMMONIA,82140,$252.84 ,$118.27 
Other,301000047,HC AMYLASE,82150,$242.06 ,$113.38 
Other,301000057,HC BILIRUBIN; TOTAL,82247,$135.24 ,$59.68 
Other,301000058,HC BILIRUBIN; DRCT,82248,$137.69 ,$64.02 
Other,301000060,"HC BLOOD, OCCULT, BY PEROXIDASE ACTIVITY, QUAL; FE",82270,$90.06 ,$90.06 
Other,301000061,HC BLOOD OCCULT OTHER,82271,$117.18 ,$117.18 
Other,301000062,HC OCCULT BLD FECES 1-3 TESTS,82272,$90.06 ,$90.06 
Other,301000886,HC ASSAY TEST FOR BLOOD FECAL,82274,$431.69 ,$190.96 
Other,301000064,HC CALCIFEDIOL (25-OH VITAMIN D-3),82306,$884.94 ,$43.40 
Other,301000066,HC CALCIUM; TOTAL,82310,$43.12 ,$19.53 
Other,301000859,HC ASSAY OF CALCIUM,82310,$107.80 ,$51.00 
Other,301000855,HC CALCIUM; IONIZED 2,82330,$318.99 ,$318.99 
Other,301000856,HC CALCIUM; IONIZED 3,82330,$334.18 ,$334.18 
Other,301000067,HC CALCIUM; IONIZED 1,82330,$571.80 ,$571.80 
Other,301000068,"HC CALCIUM; URINE QUANT, TIMED SPCMN",82340,$141.12 ,$65.10 
Other,301000071,HC CARBON DIOXIDE (BICARBONATE),82374,$121.03 ,$57.51 
Other,301000072,"HC CARBON MONOXIDE, (CARBOXYHEMOGLOBIN); QUANT",82375,$276.13 ,$276.13 
Other,301000073,HC CARCINOEMBRYONIC ANTIGN (CEA),82378,$511.56 ,$262.03 
Other,301000081,HC CHLORIDE; BLOOD,82435,$59.68 ,$59.68 
Other,301000082,HC CHLORIDE; URINE,82436,$66.19 ,$66.19 
Other,301000083,HC CHLORIDE; OTHER SOURCE,82438,$181.79 ,$88.43 
Other,301000085,"HC CHOLESTEROL, SERUM/WHOLE BLOOD, TOTAL",82465,$155.33 ,$72.70 
Other,301000097,HC CORTISOL; TOTAL,82533,$461.09 ,$213.75 
Other,301000100,"HC CREATINE KINASE (CK), (CPK); TOTAL",82550,$76.44 ,$35.26 
Other,301000102,"HC CREATINE KINASE (CK), (CPK); MB FRCTN ONLY",82553,$172.97 ,$79.21 
Other,301000103,HC CREATININE; BLOOD,82565,$81.34 ,$37.98 
Other,301000104,HC CREATININE; OTHER SOURCE,82570,$121.52 ,$57.51 
Other,301000105,HC CREATININE; CLEARANCE,82575,$229.32 ,$107.42 
Other,301000106,HC CRYOFIBRINOGEN,82585,$124.95 ,$59.13 
Other,301000107,"HC CRYOGLOBULIN, QUAL OR SEMI-QUANT",82595,$41.16 ,$20.62 
Other,301000109,HC CYANOCOBALAMIN (VITAMIN B-12),82607,$326.34 ,$150.82 
Other,301000110,HC DEHYDROEPIANDROSTERONE-SULFATE (DHEA-S),82627,$711.97 ,$366.73 
Other,301000118,HC ESTRADIOL,82670,$878.08 ,$423.69 
Other,301000884,HC ASSAY OF ETHYLENE GLYCOL,82693,$404.43 ,$178.97 
Other,301000128,HC FERRITIN,82728,$270.48 ,$45.57 
Other,301000129,"HC FETAL FIBRONECTIN, CERVICOVAGINAL SECRETIONS, S",82731,"$1,640.03 ",$766.01 
Other,301000130,HC FOLIC ACID; SERUM,82746,$342.02 ,$161.12 
Other,301000131,HC FOLIC ACID; RBC,82747,$517.44 ,$264.20 
Other,301000135,"HC GAMMAGLOBULIN; IGA, IGD, IGG, IGM, EA",82784,$461.09 ,$214.29 
Other,301000136,HC GAMMAGLOBULIN; IGE,82785,$562.52 ,$286.98 
Other,301000139,"HC GASES, BLOOD, PH, PCO2, PO2, CO2, HCO3, (W/CALC",82803,$428.26 ,$428.26 
Other,301000143,"HC GLUCOSE, BODY FLUID, OTHR THN BLOOD",82945,$58.80 ,$27.13 
Other,301000144,"HC GLUCOSE; QUANT, BLOOD (EXCEPT REAGNT STRIP)",82947,$297.92 ,$137.25 
Other,301000145,"HC GLUCOSE; BLOOD, REAGNT STRIP",82948,$49.91 ,$49.91 
Other,301000863,HC GLUCOSE TEST,82950,$128.38 ,$56.42 
Other,301000146,"HC GLUCOSE; TOLERANCE TST (GTT), 3 SPCMNS (INCLUDE",82951,$376.32 ,$181.20 
Other,301000883,HC GTT ADDED SAMPLES,82952,$106.45 ,$47.11 
Other,301000149,"HC GLUCOSE, BLOOD, GLUCOSE MONITORING DVC CLRD BY",82962,$26.04 ,$26.04 
Other,301000150,"HC GLUTAMYLTRANSFERASE, GAMMA (GGT)",82977,$189.14 ,$96.57 
Other,301000152,HC GONADOTROPIN; FOLLICLE STIMULATING HORMONE (FSH,83001,$787.43 ,$405.25 
Other,301000153,HC GONADOTROPIN; LUTEINIZING HORMONE (LH),83002,$794.78 ,$407.42 
Other,301000155,HC HAPTOGLOBIN; QUANT,83010,$128.38 ,$65.10 
Other,301000158,HC HEMOGLOBIN FRCTNATION & QUANTITATION; CHROMATGP,83021,$490.00 ,$217.00 
Other,301000160,HC GLYCOSYLATED HEMOGLOBIN TEST,83036,$201.88 ,$51.00 
Other,301000161,HC HEMOGLOBIN; PLASMA,83051,$18.45 ,$18.45 
Other,301000167,HC HOMOCYSTINE,83090,$868.28 ,$405.79 
Other,301000850,HC SENSORY NEURO PNL,83516,$251.86 ,$111.76 
Other,301000176,HC INSULIN; TOTAL,83525,$126.91 ,$65.10 
Other,301000178,HC IRON,83540,$135.24 ,$40.15 
Other,301000182,HC LACTATE (LACTIC ACID),83605,$189.14 ,$88.43 
Other,301000183,"HC LACTATE DEHYDROGENASE (LD), (LDH)",83615,$205.80 ,$94.94 
Other,301000187,HC LEAD,83655,$65.66 ,$35.26 
Other,301000191,HC LIPASE,83690,$234.71 ,$109.59 
Other,301000195,"HC LIPOPRTN, DRCT MSRMENT; HIGH DENSITY CHOLESTERO",83718,$245.49 ,$126.95 
Other,301000196,"HC LIPOPRTN, DRCT MSRMENT; DRCT MSRMENT, LDL CHOLE",83721,$324.87 ,$166.01 
Other,301000197,HC MAGNESIUM,83735,$102.41 ,$46.66 
Other,301000206,HC MYOGLOBIN,83874,$69.58 ,$31.47 
Other,301000207,HC NATRIURETIC PEPTIDE,83880,$390.53 ,$182.28 
Other,301000208,"HC NEPHELOMETRY, EA ANLYT NOT ELSEWHR SPEC",83883,$132.91 ,$132.91 
Other,301000231,"HC ORGANIC ACID, SNGL, QUANT",83921,$88.20 ,$41.77 
Other,301000233,HC OSMOLALITY; BLOOD,83930,$218.54 ,$102.53 
Other,301000234,HC OSMOLALITY; URINE,83935,$194.04 ,$94.94 
Other,301000237,HC PARATHORMONE (PARATHYROID HORMONE),83970,$663.46 ,$340.15 
Other,301000238,"HC PH, BODY FLUID, EXCEPT BLOOD",83986,$84.77 ,$35.26 
Other,301000858,HC ASSAY ALKALINE PHOSPHATASE,84075,$130.34 ,$61.30 
Other,301000248,HC PHOSPHORUS INORGANIC (PHOSPHATE),84100,$59.78 ,$28.75 
Other,301000253,HC POTASSIUM; SERUM,84132,$67.81 ,$67.81 
Other,301000254,HC POTASSIUM; URINE,84133,$57.82 ,$24.96 
Other,301000255,HC PREALBUMIN,84134,$124.46 ,$63.47 
Other,301000259,HC PROGESTERONE,84144,$812.42 ,$416.64 
Other,301000260,HC PROCALCITONIN,84145,$182.28 ,$182.28 
Other,301000261,HC PROLACTIN,84146,$551.25 ,$284.27 
Other,301000776,HC PROSTATE SPECIFIC ANTIGN (PSA); TOTAL  2,84153,$309.68 ,$113.93 
Other,301000262,HC PROSTATE SPECIFIC ANTIGN (PSA); TOTAL 1,84153,$458.64 ,$236.53 
Other,301000263,HC PROSTATE SPECIFIC ANTIGN (PSA); FREE,84154,$521.36 ,$424.24 
Other,301000264,"HC PRTN, TOTAL, EXCEPT REFRACTOMETRY; SERUM",84155,$117.11 ,$54.79 
Other,301000265,"HC PRTN, TOTAL, EXCEPT REFRACTOMETRY; URINE",84156,$229.32 ,$106.87 
Other,301000266,"HC PRTN, TOTAL, EXCEPT REFRACTOMETRY; OTHER",84157,$181.79 ,$85.72 
Other,301000268,"HC PRTN, ELECTROPHORETIC FRCTNATION & QUANTITATION",84165,$185.71 ,$85.72 
Other,301000269,HC PEP OTHER,84166,$186.69 ,$85.72 
Other,301000283,HC SEX HORMONE BINDING GLOBULIN (SHBG),84270,$229.32 ,$106.87 
Other,301000284,HC SODIUM; SERUM,84295,$61.30 ,$61.30 
Other,301000285,HC SODIUM; URINE,84300,$63.70 ,$28.75 
Other,301000286,HC SODIUM; OTHER SOURCE,84302,$69.58 ,$31.47 
Other,301000292,HC TSTOSTERONE; TOTAL,84403,$869.75 ,$445.94 
Other,301000296,HC THYROXINE; TOTAL,84436,$180.32 ,$84.63 
Other,301000298,HC THYROXINE; FREE,84439,$518.42 ,$113.93 
Other,301000300,HC THYROID STIMULATING HORMONE (TSH),84443,$914.34 ,$68.36 
Other,301000303,HC TRANSFERASE; ASPARTATE AMINO (AST) (SGOT),84450,$295.96 ,$141.05 
Other,301000304,HC TRANSFERASE; ALANINE AMINO (ALT) (SGPT),84460,$302.82 ,$141.05 
Other,301000305,HC TRANSFERRIN,84466,$355.25 ,$166.55 
Other,301000306,HC TRIGLYCERIDES,84478,$182.28 ,$83.55 
Other,301000308,HC TRIIODOTHYRONINE T3; TOTAL (TT-3),84480,$579.67 ,$296.21 
Other,301000309,HC TRIIODOTHYRONINE T3; FREE,84481,$522.34 ,$268.00 
Other,301000311,"HC TROPONIN, QUANT",84484,$156.31 ,$72.70 
Other,301000314,HC UREA NITROGEN; QUANT,84520,$211.68 ,$97.65 
Other,301000315,"HC UREA NITROGEN, URINE",84540,$50.96 ,$23.87 
Other,301000316,HC URIC ACID; BLOOD,84550,$118.58 ,$53.17 
Other,301000317,HC URIC ACID; OTHER SOURCE,84560,$124.46 ,$58.59 
Other,301000328,"HC GONADOTROPIN, CHORIONIC (HCG); QUANT",84702,$646.80 ,$300.00 
Other,301000857,HC CLINICAL CHEMISTRY TEST,84999,$105.84 ,$48.83 
Other,305000001,"HC BLOOD CNT; BLOOD SMEAR, MICROSCOP EXAM W/MNL DI",85007,$131.81 ,$61.30 
Other,305000067,HC BL SMEAR W/O DIFF WBC COUNT,85008,$92.61 ,$41.23 
Other,305000002,HC BLOOD CNT; HEMATOCRIT,85014,$51.94 ,$23.33 
Other,305000003,HC BLOOD CNT; HEMOGLOBIN,85018,$24.50 ,$19.53 
Other,305000004,"HC BLOOD CNT; COMPL CBC, AUTO (HGB, HCT, RBC, WBC,",85025,$178.36 ,$51.00 
Other,305000005,"HC BLOOD CNT; COMPL CBC, AUTO (HGB, HCT, RBC, WBC,",85027,$187.18 ,$45.57 
Other,305000066,"HC MANUAL CELL COUNT, EACH",85032,$115.64 ,$51.00 
Other,305000006,"HC BLOOD CNT; RETICULOCYTE, MNL",85044,$96.53 ,$45.57 
Other,305000007,"HC BLOOD CNT; RETICULOCYTE, AUTO",85045,$90.65 ,$42.86 
Other,305000008,"HC BLOOD CNT; LEUKOCYTE (WBC), AUTO",85048,$48.02 ,$20.62 
Other,305000009,"HC BLOOD CNT; PLATELET, AUTO",85049,$85.26 ,$39.06 
Other,305000010,HC CHROMOGENIC SUBSTRT ASSAY,85130,$317.52 ,$142.14 
Other,305000011,"HC CLOTTING; FACTOR II, PROTHROMBIN, SPECIFIC",85210,$135.73 ,$66.73 
Other,305000012,"HC CLOTTING; FACTOR V (ACG/PROACCELERIN), LABILE F",85220,$556.64 ,$260.94 
Other,305000013,"HC CLOTTING; FACTOR VII (PROCONVERTIN, STABLE FACT",85230,$163.66 ,$82.46 
Other,305000014,"HC CLOTTING; FACTOR VIII (AHG), ONE STAGE",85240,$145.04 ,$74.32 
Other,305000015,"HC CLOTTING; FACTOR VIII, VW FACTOR, RISTOCETIN CO",85245,$387.10 ,$199.64 
Other,305000016,"HC CLOTTING; FACTOR VIII, VW FACTOR ANTIGN",85246,$145.04 ,$67.27 
Other,305000018,HC CLOTTING; FACTOR IX (PTC/CHRISTMAS),85250,"$1,000.58 ",$512.12 
Other,305000019,HC CLOTTING; FACTOR X (STUART-PROWER),85260,$195.02 ,$93.85 
Other,305000020,HC CLOTTING; FACTOR XI (PTA),85270,$476.77 ,$224.05 
Other,305000021,HC CLOTTING; FACTOR XII (HAGEMAN),85280,$544.88 ,$279.39 
Other,305000064,HC FACTOR XIII ACTIVITY,85290,$440.51 ,$195.30 
Other,305000023,HC CLOTTING INHIBTRS/ANTICOAGULANTS; ANTITHROMBIN,85300,$428.26 ,$198.01 
Other,305000024,"HC CLOTTING INHIBTRS/ANTICOAGULANTS; PRTN C, ACTIV",85303,$404.25 ,$190.42 
Other,305000025,"HC CLOTTING INHIBTRS/ANTICOAGULANTS; PRTN S, FREE",85306,$450.31 ,$209.95 
Other,305000027,HC FACTOR INHIBTR TST,85335,$149.45 ,$66.19 
Other,305000028,HC COAGULATION TIME; ACTIVATED,85347,$53.17 ,$53.17 
Other,305000060,HC EUGLOBULIN LYSIS,85360,$241.57 ,$108.50 
Other,305000029,HC FIBRIN(OGEN) DEGRADATION (SPLIT) PRODUCTS (FDP),85362,$182.28 ,$85.72 
Other,305000030,HC FIBRIN(OGEN) DEGRADATION (SPLIT) PRODUCTS (FDP),85366,$226.87 ,$106.87 
Other,305000032,"HC FIBRIN DEGRADATION PRODUCTS, D-DIMER; QUANT",85379,$257.74 ,$120.98 
Other,305000033,HC FIBRINOGEN; ACTIVITY,85384,$120.05 ,$53.17 
Other,305000034,"HC FIBRINOLYSINS/COAGULOPATHY SCRN, INTRPRET & RPT",85390,$162.19 ,$72.70 
Other,305000035,HC ADAMTS13 ACTIVITY,85397,$232.73 ,$232.73 
Other,305000039,"HC HEMOGLOBIN/RBCS, FETAL, FETOMATERNAL HEMORRHAGE",85460,$214.62 ,$99.82 
Other,305000041,HC HEPARIN ASSAY,85520,$398.37 ,$182.28 
Other,305000045,"HC PLATELET, AGGREGATION (IN VITRO), EA AGNT",85576,$299.46 ,$299.46 
Other,305000046,HC PROTHROMBIN TIME,85610,$66.64 ,$57.51 
Other,305000047,"HC PROTHROMBIN TIME; SUBSTITUTION, PLASMA FRCTNS,",85611,$116.62 ,$54.25 
Other,305000048,HC RUSSELL VIPER VENOM TIME (INCLUDES VENOM); DILU,85613,$308.21 ,$143.22 
Other,305000049,"HC SEDIMENTATION RT, ERYTHROCYTE; NON-AUTO",85651,$151.90 ,$70.53 
Other,305000050,HC THROMBIN TIME; PLASMA,85670,$143.57 ,$68.90 
Other,305000051,"HC THROMBOPLASTIN TIME, PARTIAL (PTT); PLASMA/WHOL",85730,$206.78 ,$95.48 
Other,305000052,"HC THROMBOPLASTIN TIME, PARTIAL (PTT); SUBSTITUTIO",85732,$193.06 ,$92.23 
Other,302000004,"HC ALLRGN SPECIFIC IGE; QUANT/SEMIQUANT, EA ALLRGN",86003,$109.27 ,$74.32 
Other,390000001,HC ANTIBDY ID; PLATELET ANTIBODIES,86022,$238.63 ,$152.44 
Other,302000007,HC ANTINUCLEAR ANTIBODIES (ANA),86038,$576.73 ,$269.62 
Other,302000010,HC C-REACTV PRTN,86140,$162.68 ,$74.87 
Other,302000011,HC C-REACTV PRTN; HIGH SENSITIVITY (HSCRP),86141,$670.32 ,$312.48 
Other,302000012,"HC BETA 2 GLYCOPRTN I ANTIBDY, EA",86146,$690.90 ,$305.97 
Other,302000013,"HC CARDIOLIPIN (PHOSPHOLIPID) ANTIBDY, EA IG CLASS",86147,$690.90 ,$305.97 
Other,302000015,"HC COMPLEMENT; ANTIGN, EA COMPONENT",86160,$63.21 ,$29.84 
Other,302000019,HC CYCLIC CITRUL PEP AB,86200,$351.82 ,$155.16 
Other,302000021,HC DEOXYRIBONUCLEIC ACID (DNA) ANTIBDY; NATIVE/DOU,86225,$525.77 ,$269.62 
Other,302000023,"HC EXTRACTABLE NUCLEAR ANTIGN, ANTIBDY TO, ANY MTH",86235,$443.94 ,$196.39 
Other,302000024,"HC FLUORESCENT NONINF AGNT ANTIBDY; SCRN, EA ANTIB",86255,$67.13 ,$35.26 
Other,302000025,"HC FLUORESCENT NONINF AGNT ANTIBDY; TITER, EA ANTI",86256,$65.66 ,$32.55 
Other,302000443,HC IMMUNOASSAY TUMOR CA 15-3,86300,$545.86 ,$244.67 
Other,302000027,"HC IMMUNOASY, TUMOR ANTIGN, QUANT; CA 19-9",86301,$490.00 ,$252.26 
Other,302000028,"HC IMMUNOASY, TUMOR ANTIGN, QUANT; CA 125",86304,$533.61 ,$252.26 
Other,302000029,HC HETEROPHILE ANTIBODIES; SCRNING,86308,$383.18 ,$179.03 
Other,302000037,HC IMMUNOFIXATION ELECTROPHORESIS,86334,$302.33 ,$145.93 
Other,302000038,HC IFE OTHER,86335,$434.14 ,$224.05 
Other,302000044,"HC B-CLS, TOTAL CNT",86355,$449.33 ,$230.56 
Other,302000045,HC KILLER CLS TOTAL,86357,$449.33 ,$230.56 
Other,302000046,HC T CLS; TOTAL CNT,86359,$194.53 ,$100.36 
Other,302000047,"HC T CLS; ABSOLUTE CD4 & CD8 CNT, W/RATIO",86360,$618.38 ,$315.74 
Other,302000049,"HC MICROSOMAL ANTIBODIES, EA",86376,$379.75 ,$194.76 
Other,302000051,"HC PARTICLE AGGLUTINATION; SCRN, EA ANTIBDY",86403,$99.96 ,$44.49 
Other,302000446,HC PARTICLE AGGLUT ANTBDY TITR,86406,$288.68 ,$127.75 
Other,302000449,HC RHEUMATOID FACTOR QUANT,86431,$157.08 ,$62.78 
Other,302000054,HC QUANTIFERON-TB GD,86480,$129.12 ,$129.12 
Other,302000056,HC SKIN TEST UNLISTED ANTIGEN EACH,86486,$56.96 ,$56.96 
Other,302000057,HC SKIN TST; COCCIDIOIDOMYCOSIS,86490,$143.22 ,$143.22 
Other,302000059,"HC SKIN TST; TUBERCULOSIS, INTRADERMAL",86580,$58.59 ,$58.59 
Other,302000060,HC SYPHILIS TST; QUAL,86592,$141.61 ,$65.64 
Other,302000061,HC SYPHILIS TST; QUANT,86593,$142.59 ,$65.64 
Other,302000438,HC CMV ANTIBODY,86644,$35.81 ,$35.81 
Other,302000079,"HC ANTIBDY; CYTOMEGALOVIRUS (CMV), IGM",86645,$550.27 ,$256.60 
Other,302000086,"HC ANTIBDY; EPSTEIN-BARR (EB) VIRUS, EARLY ANTIGN",86663,$389.06 ,$199.10 
Other,302000087,"HC ANTIBDY; EPSTEIN-BARR (EB) VIRUS, NUCLEAR ANTIG",86664,$402.78 ,$207.24 
Other,302000088,"HC ANTIBDY; EPSTEIN-BARR (EB) VIRUS, VIRAL CAPSID",86665,$461.58 ,$236.53 
Other,302000101,"HC ANTIBDY; HERPES SIMPLEX, TYPE I",86695,$423.36 ,$215.92 
Other,302000440,HC HERPES SIMPLEX TYPE 2 TEST,86696,$276.13 ,$276.13 
Other,302000444,HC HIV-1 ANTIBODY,86701,$233.24 ,$103.08 
Other,302000445,HC HIV-2 ANTIBODY,86702,$354.76 ,$157.33 
Other,302000106,HC HEP B CORE ANTIBDY (HBCAB); TOTAL,86704,$127.89 ,$60.22 
Other,302000107,HC HEP B CORE ANTIBDY (HBCAB); IGM ANTIBDY,86705,$126.42 ,$64.56 
Other,302000108,HC HEP B SRFC ANTIBDY (HBSAB),86706,$258.23 ,$122.61 
Other,302000109,HC HEP BE ANTIBDY (HBEAB),86707,$66.15 ,$32.01 
Other,302000111,HC HEP A ANTIBDY (HAAB); IGM ANTIBDY,86709,$240.59 ,$124.78 
Other,302000116,HC ANTIBDY; MUMPS,86735,$114.17 ,$58.59 
Other,302000123,HC ANTIBDY; RUBELLA,86762,$265.58 ,$125.86 
Other,301000332,HC ANTIBDY; RUBEOLA,86765,$171.01 ,$80.83 
Other,302000451,HC TOXOPLASMA ANTIBODY,86777,$398.55 ,$159.30 
Other,302000128,HC SYPHILIS-TPPA,86780,$147.00 ,$75.41 
Other,302000130,HC ANTIBDY; VARICELLA-ZOSTER,86787,$225.40 ,$114.47 
Other,302000441,HC HEP A ANTIBDY (HAAB); IGG,86790,$230.30 ,$119.35 
Other,302000135,HC THYROGLOBULIN ANTIBDY,86800,$427.28 ,$220.26 
Other,302000136,HC HEP C ANTIBDY,86803,$394.94 ,$166.55 
Other,306000001,"HC CONCENTRATION (ANY TYPE), FOR INF AGNTS",87015,$207.76 ,$92.23 
Other,306000002,"HC CULTURE, BACTERIAL; BLOOD, AEROBIC, W/ ISOLATN/",87040,$252.84 ,$117.18 
Other,306000003,"HC CULTURE, BACTERIAL; STOOL, AEROBIC, W/ ISOLATN/",87045,$275.38 ,$128.03 
Other,306000004,"HC CULTURE, BACTERIAL; STOOL, AEROBIC, ADD?L PATHO",87046,$204.82 ,$100.36 
Other,306000005,"HC CULTURE, BACTERIAL; ANY OTHER SOURCE EXCEPT URI",87070,$373.78 ,$373.78 
Other,306000006,"HC CULTURE, BACTERIAL; QUANTIT, AEROBIC W/ISOLATN",87071,$388.08 ,$173.06 
Other,306000007,"HC CULTURE, BACTERIAL; QUANTIT, ANAEROBIC W/ISOLAT",87073,$277.34 ,$124.23 
Other,306000008,"HC CULTURE, BACTERIAL; ANY SOURCE, EXCEPT BLOOD, A",87075,$113.19 ,$52.08 
Other,306000009,"HC CULTURE, BACTERIAL; ANAEROBIC ISOLATE, ADD'L MT",87076,$192.57 ,$97.65 
Other,306000010,"HC CULTURE, BACTERIAL; AEROBIC ISOLATE, ADD'L MTHD",87077,$192.57 ,$97.65 
Other,306000011,"HC CULTURE, PRESUMPTIVE, PATHOGENIC ORGNSMS, SCRNI",87081,$169.54 ,$79.21 
Other,306000012,"HC CULTURE, BACTERIAL; QUANT COLONY CNT, URINE",87086,$269.50 ,$34.72 
Other,306000013,"HC CULTURE, BACTERIAL; W/ISOLATION & PRESUMPTIVE I",87088,$241.08 ,$112.84 
Other,306000014,"HC CULTURE, FUNGI (MOLD/YEAST) ISOLATION, W/PRESUM",87101,$145.04 ,$63.47 
Other,306000015,"HC CULTURE, FUNGI (MOLD/YEAST) ISOLATION, W/PRESUM",87102,$156.31 ,$73.78 
Other,306000016,"HC CULTURE, FUNGI (MOLD/YEAST) ISOLATION, W/PRESUM",87103,$110.74 ,$54.79 
Other,306000017,"HC CULTURE, FUNGI, DEFINITIVE ID, EA ORGNSM; YEAST",87106,$389.55 ,$199.10 
Other,306000018,"HC CULTURE, FUNGI, DEFINITIVE ID, EA ORGNSM; MOLD",87107,$492.45 ,$243.58 
Other,306000020,"HC CULTURE, CHLAMYDIA, ANY SOURCE",87110,$149.45 ,$75.41 
Other,306000022,"HC CULTURE, TYPE; IMMUNOFLUORESCENT MTHD, EA ANTIS",87140,$142.10 ,$66.73 
Other,306000023,"HC CULTURE, TYPE; IMMUNOLOGIC MTHD, OTHR THN IMMUN",87147,$134.75 ,$66.73 
Other,306000026,HC MACROSCOPIC EXAM; PARASITE,87169,$158.76 ,$74.32 
Other,306000027,HC PINWORM EXAM,87172,$118.09 ,$57.51 
Other,306000028,"HC HOMOGENIZATION, TISSUE, FOR CULTURE",87176,$132.79 ,$58.59 
Other,306000029,"HC OVA & PARASITES, DRCT SMEARS, CONCENTRATION & I",87177,$231.77 ,$105.79 
Other,306000030,"HC SUSCEPTIBILITY STUDIES, ANTIMICROBIAL AGNT; AGA",87181,$97.51 ,$44.49 
Other,306000032,"HC SUSCEPTIBILITY STUDIES, ANTIMICROBIAL AGNT; ENZ",87185,$57.82 ,$23.33 
Other,306000033,"HC SUSCEPT STUDIES, ANTIMICROB AGNT; MICRODILUT/AG",87186,$350.35 ,$175.77 
Other,306000037,"HC SMEAR, PRIMARY SOURCE W/INTRPRET; GRAM OR GIEMS",87205,$135.73 ,$62.93 
