Internal ID,Master Charge Description of Service,NS Charge Per Unit
80005321,HB R ESTRADOL-ICMA  (P),$286.00
80005322,HB R THYROXINE (T4); FREE BY DIALYSIS  (P),$159.00
80005323,HB R FSH-ICMA  (P),$292.00
80005324,HB R GROWTH HORMONE BINDING PROTEIN,$277.00
80005325,HB R IGF-II   (P),$277.00
80005326,HB R LH-ICMA   (P),$281.00
80005327,"HB R SEMEN ANALYSIS, COMPLETE",$200.00
80005328,HB R IGF BINDING PROTEIN-1,$276.00
80005329,"HB R IRON, LIVER TISSUE",$109.00
80005330,HB ESTRIOL (UNCONJUGATED),$60.00
80005331,HB R EBV-VCA    (P),$222.00
80005332,HB R EBV-NUCLEAR AG  (P),$81.00
80005333,HB R VZV-IG M,$136.00
80005334,HB HEPATITIS B SURFACE AB.QUANT,$164.00
80005335,"HB AFP(ALPHA FETO PROTEIN), SERUM",$213.00
80005336,"HB R TESTOSTERONE,TOTAL  (P)",$394.00
80005337,"HB R INSULIN,TOTAL   (P)",$131.00
80005338,HB THYROXINE (T4); TOTAL (P),$117.00
80005339,HB R PROLACTIN  (P),$224.00
80005340,HB R PROGESTERONE  (P),$200.00
80005341,HB R 18-OH CORTICOSTERONE,$141.00
80005342,HB ABDOMEN INFANT,$361.00
80005343,HB CT SINUS(SCREENING) W/O CONTRAST-REDUCED,"$1,641.00"
80005344,HB US GUIDE BIOPSY S&I - EACH ADDITIONAL,"$1,094.00"
80005345,HB PET REGISTRY,"$8,288.00"
80005346,HB PHY PERFORM TEST/MEAS. TEST,$115.00
80005347,HB GROUP THERAPY OT,$132.00
80005348,HB INHALATION TREATMENT - SUBSEQ,$190.00
80005349,HB SELF CARE/HOME MGMT TEACHING,$135.00
80005352,HB EEG-VIDEO TELEMETRY-UNDER 24HR - INCOMPLETE,"$3,775.00"
80005353,HB POLYSOMNOGRAM - INCOMPLETE,"$4,610.00"
80005354,HB SLEEP STDVENT-ECG-O2 SAT<6HRS,$899.00
80005356,HB VENOUS DUPLEX IMAGING EXT-LT,"$1,012.00"
80005357,HB VENOUS DUPLEX IMAGING EXT-RT,"$1,012.00"
80005358,HB ARTERIAL DUPLEX LE-LEFT,"$1,033.00"
80005359,HB ARTERIAL DUPLEX LE-RIGHT,"$1,033.00"
80005360,HB ARTERIAL DUPLEX UE-LEFT,$968.00
80005361,HB ARTERIAL DUPLEX UE-RIGHT,$968.00
80005362,HB AVULSION OF NAIL PLATE;PRTL/COMP;SIMPLE,$425.00
80005366,HB TX SUPERFIC WND DEHISC; W/ PACKING,"$1,016.00"
80005367,"HB LYR CLOS WND N,H,F,EXT GEN; 7.6-12.5 CM","$1,016.00"
80005368,"HB LYR CLOS WND N,H,F,EXT GEN; 12.6-20 CM","$1,016.00"
80005369,"HB LYR CLOS WND N,H,F,EXT GEN; 20.1-30 CM","$1,016.00"
80005370,"HB LYR CLOS WND N,H,F,EXT GEN; > 30CM","$1,585.00"
80005371,"HB LYR CLOS WND FACIAL ,MUC MEM; 12.6-20CM",$838.00
80005372,HB US BIOPSY MUSCLE,"$4,026.00"
80005374,HB CLSD TX POST HIP ARTHROPLASTY DISLOC; W/O ANES,$813.00
80005375,HB CLSD TX PROXIM TIBIOFIB JNT DISL;W/OANES,$581.00
80005376,"HB CLSD TX TARS BONE DISLOC,NOT TALO;W/O AN",$540.00
80005377,HB CLSD TX OF TALOTARSAL JNT DISLOC; W/O AN,$921.00
80005378,HB CLSD TX TARSOMETA JNT DISLOC;W/O ANES,$540.00
80005379,HB CLSD TX INTERPHALANG JNT DISLOC;W/O ANES,$528.00
80005380,"HB LARYNGOS, INDIRECT; WITH RMVL OF FOREIGN",$547.00
80005381,HB BIOP SOFT TISS THIGH/KNEE; SUP,"$2,675.00"
80005382,HB BRONCHOSCOPY W/ BRUSHING,"$2,489.00"
80005383,HB BRONCHOSCOPY W/ ALVELOAR LAVAGE,"$2,489.00"
80005384,HB BRONSCHOSCOPY W/ BIOPSY,"$4,752.00"
80005385,"HB ENDO REPR DESC THOR AORTA,SUBCLAVIAN","$21,470.00"
80005386,"HB ENDO RPR DESC THOR AORTA,W/O SUBCLAV","$18,539.00"
80005387,"HB PLACEMNT,PROX EXT PROSTH,RPR THOR AOR","$13,720.00"
80005388,"HB PLMT,PROX EXT PROSTH,RPR THR AOR,ADDL","$5,237.00"
80005389,HB PLMT DISTAL EXT PROSTH RPR THOR AORTA,"$11,730.00"
80005393,HB DRAIN ABSCESS/CYST VEST MOUTH; SIMPLE,$600.00
80005394,HB CONVERS OF GASTROSTOMY TO GASTRO-JEJU,"$2,357.00"
80005395,HB MECHANICAL REMVL OF OBSTRUCT MATERIAL,"$1,364.00"
80005396,HB NON STRESS TEST EA ADD'L FETUS,$742.00
80005397,HB PUNCTURE OF RESERVOIR FOR ASP/INJECT,"$1,463.00"
80005398,"HB INJ ANESTHETIC AGENT, AXILLARY NERVE","$1,213.00"
80005399,HB FEMTO CUSTOM CORNEA LASIK-GLOBAL EYE,"$2,850.00"
80005400,HB FEMTO TRADITIONAL LASIK - GLOBAL EYE,"$2,850.00"
80005401,HB PERINEOGRAM,$780.00
80005402,HB CTV ABDOMEN W/O&W CONT,"$2,219.00"
80005403,HB CTV PELVIS W/O&W CONT,"$1,600.00"
80005404,HB CTV HEAD W/O&W CONT,"$2,271.00"
80005405,HB CTV NECK W/O&W CONT,"$2,649.00"
80005406,HB CTV LOWER EXTREMITY W/O&W CONT,"$2,805.00"
80005407,HB CTV UPPER EXTREMITY W/O&W CONT+C49,"$1,440.00"
80005408,HB US INTRAUTERINE FETAL TRANSFUSE/CORDCENT,"$1,303.00"
80005409,"HB US GUIDE, AMNIOCENTESIS S&I EA ADD'L",$730.00
80005411,HB NM PET TX,"$2,854.00"
80005412,HB CAPD RETRAINING-OP(COMPLETE COURSE),$490.00
80005413,HB GI REFLUX TEST/PH PROBE STUDY COMPLETE,"$1,464.00"
80005414,HB SP SWALLOW EVAL,$361.00
80005415,HB GENETIC COUNSELING PER 30 MIN,$156.00
80005416,HB SP COGNITIVE PERFORMANCE TEST PER HOUR,$367.00
80005417,HB OT COGNITIVE PERFORMANCE TEST PER HOUR,$367.00
80005418,"HB CHEMOTX  IV EA ADD SEQ, DIFF SUBST-1 HR",$377.00
80005419,HB OT HOT/COLD,$88.00
80005420,HB PT HOT/COLD,$88.00
80005421,HB EXERCISE CONSULTATION PER 30 MINUTES,$65.00
80005423,"HB SINGLE COIL LEAD, CARDIO DEFIB","$13,190.00"
80005424,"HB CARDIO DEFIB, DUAL CHAMBER","$72,500.00"
80005425,"HB CARDIO DEFIB, SINGLE CHAMBER","$67,665.00"
80005426,HB CRYSTALENS HD520 IOL - OPTC,"$3,426.00"
80005427,HB CRYSTALENS HD520 IOL - OR,"$3,426.00"
80005428,HB CRYSTALENS HD520 IOL-PT PORTION - OPTC,$960.00
80005429,HB CRYSTALENS HD520 IOL-PT PORTION - OR,$960.00
80005430,"HB PACEMAKER, DUAL CHAMBER RR","$14,672.00"
80005431,"HB PACEMAKER, SINGLE CHAMBER RR","$11,127.00"
80005432,"HB CARDIO DEFIB, BI-VENTRIC","$65,286.00"
80005433,HB LEFT VENTRICULAR GUIDING CATH,"$1,353.00"
80005434,"HB DUAL COIL LEAD, CARDIO DEFIB","$15,386.00"
80005435,"HB LEAD, PACEMAKER NON TRANSVEN VDD","$2,808.00"
80005436,HB LEFT VENTRICULAR LEAD,"$8,026.00"
80005437,"HB PACEMAKER, DUAL CHAMBER NRR","$19,018.00"
80005438,"HB PACEMAKER, SINGLE CHAMBER NRR","$14,518.00"
80005439,"HB PACEMAKER, BI-VENTRIC","$27,468.00"
80005442,HB RELINE COMPL MANDIBLE DENTURE -CHAIRSIDE,$353.00
80005443,HB RELINE MANDIBLE PARTIAL DENTURE-CHAIRSID,$328.00
80005444,HB INJ SI JNT W/ANES; THERA ONLY,"$1,592.00"
80005445,HB INSERTION OF CLOSURE DEVICE,$231.00
80005446,HB AIR CAST - ANKLE CONTROL ORTHOSIS,$78.00
80005447,HB TC99 PERTECHNETATE PER MCI,$25.00
80005448,HB TC99M LABELED WBC,"$2,006.00"
80005450,HB MAMMO CLIP LEVEL 1,$207.00
80005451,HB MAMMO INTRODUCER LEVEL 1,$104.00
80005452,HB MAMMO NEEDLE LEVEL 1,$62.00
80005453,HB MAMMO NEEDLE LEVEL 2,$104.00
80005454,HB MAMMO NEEDLE LEVEL 3,$207.00
80005455,HB MAMMO NEEDLE LEVEL 4,$414.00
80005456,HB MAMMO NEEDLE LEVEL 5,$621.00
80005457,HB MAMMO WIRE LEVEL 1,$62.00
80005458,HB KYPHOPLASTY KIT,"$14,233.00"
80005474,HB RIGHT HEART CATHETER,$230.00
80005475,HB EEG-W/DRUG ACTIVATION INTRAOP,$450.00
80005478,HB PHASE I RECOVERY-EMERG CHG,$516.00
80005480,HB PATCH TEST (0-25 PULSES),$149.00
80005481,HB IMPLANT INTRATHECAL/EPIDURAL INFSN PUMP W/WO PRGRM,"$18,555.00"
80005482,HB MPLANT INTRATHECAL/EPIDURAL INFSN DEVICE; SUBQ RSRVR,"$18,555.00"
80005483,HB MULTIPLE GESTATION,$349.00
80005484,HB CAPTIVATOR SNARE,$70.00
80005485,HB POUCHOSCOPY - LEVEL 1,"$2,812.00"
80005486,HB POUCHOSCOPY W/BIOPSY - LEVEL 2,"$3,439.00"
80005487,HB ROTATABLE SNARE,$76.00
80005488,HB SPYBITE BX FORCEPS,"$1,931.00"
80005489,HB SPYGLASS PROBE,"$5,589.00"
80005490,HB SPYSCOPE DELIVERY CATHETER,"$2,964.00"
80005491,HB PSYCHO EDU GRP/FAMILY 1 NITE PROGRAM,$110.00
80005492,HB SPERM EXTRACTION 2ND 30MIN,$222.00
80005497,"HB ERYTHROPOIETIN 100->10,000 UNITS-HD",$7.00
80005498,"HB ERYTHROPOIEIIN 100-<10,000 UNITS-HD",$7.00
80005501,HB CRYSTALENS HD IMPLANT (SELF PAY PKG) - OPTC,"$2,321.00"
80005510,HB CAPD DAILY-OP;REPEATED MD EVALUATIONS,$214.00
80005511,HB PICC INSERT W/O SUBQ PORT/PUMP <5YRS,"$3,557.00"
80005512,HB MINOR SURGERY-LOCAL ANESTHETIC,$96.00
80005513,HB RESTOR/ REZOOM/ RESTOR-TORIC IOL,"$2,826.00"
80005514,HB CRYSTALENS IOL,"$2,826.00"
80005515,HB CRYSTALENS IOL - PT PORTION,$815.00
80005516,HB RESTOR/ REZOOM/ RESTOR-TORIC IOL PT PORTION,$760.00
80005517,HB TORIC PREMIUM UPGRADE IOL,"$1,594.00"
80005518,HB TORIC PREMIUM UPGRADE IOL-PT PORTION,$345.00
80005520,HB CLEAR LENS EXTRACT-ARRAY,"$1,438.00"
80005521,HB CLEAR LENS EXTRACT-MONOFOCAL,"$1,312.00"
80005522,HB SPERM EXTRACTION 1ST 30MIN,$446.00
80005523,HB SPERM EXTRACTION EA 15MIN>1HR,$132.00
80005524,HB CRYSTALENS IMPLANT (SELF PAY PKG),"$2,117.00"
80005525,HB RESTOR/ REZOOM/ RESTOR-TORIC LENS PKG (S/P),"$2,075.00"
80005526,HB VERISYSE LENS IMPLANT,"$2,264.00"
80005527,HB ICL LENS INSERTION,"$2,163.00"
80005528,HB OP DENTAL SURG PKGD < 2 HRS,"$4,284.00"
80005530,"HB NERVE BK, OTHER PERIPHERAL",$942.00
80005531,"HB SPINAL TAP, DIAGNOSTIC","$1,300.00"
80005532,HB TREAT EPIDURAL SPINE LESION,"$1,001.00"
80005533,"HB NERVE BK, OTHER PERIPHERAL",$942.00
80005534,"HB SPINAL TAP, DIAGNOSTIC","$1,300.00"
80005535,HB INJ. NERVE BK INTERCOSTAL MULT,$834.00
80005536,HB INJ SYMP L/T NERVE BK,"$1,272.00"
80005537,HB INJ CERVICAL SYMP NERVE BK,"$1,156.00"
80005538,"HB INJECT SPINE, L/S (CD) W/O IMAGE GUIDE","$1,899.00"
80005539,HB INJ TENDON/LIGAM/CYST,$679.00
80005540,HB INJECT NERVE BK. GREAT OCCIPIT,$546.00
80005541,HB INJECT SPINE C/T W/O IMAGE GUIDE,"$2,118.00"
80005542,HB INJECTION NERVE BK INTERCOSTAL,$693.00
80005543,HB INJ. NERVE BK INTERCOSTAL MULT,$834.00
80005544,HB INJ SYMP L/T NERVE BK,"$1,272.00"
80005545,HB INJ CERVICAL SYMP NERVE BK,"$1,156.00"
80005546,"HB INJECT SPINE, L/S (CD)","$1,899.00"
80005547,HB INJ TENDON/LIGAM/CYST,$829.00
80005548,HB INJECT NERVE BK. GREAT OCCIPIT,$546.00
80005549,HB INJECT SPINE C/T,"$2,118.00"
80005550,HB INJECTION NERVE BK INTERCOSTAL,$693.00
80005551,HB POST-OP SHOES,$24.00
80005552,HB COMFORT SLING,$45.00
80005553,HB LEVEL 1 EST PT VISIT,$116.00
80005554,HB LEVEL 2 EST PT VISIT,$213.00
80005555,HB LEVEL 3 EST PT VISIT,$254.00
80005556,HB LEVEL 4 EST PT VISIT,$340.00
80005557,HB LEVEL 5 EST PT VISIT,$370.00
80006020,HB PLAST PKG-EA 15M AFTER 1ST HR,$132.00
80006021,HB PLASTIC PKG 1ST 30 MIN,$446.00
80006022,HB PLASTIC PKG 2ND 30 MIN,$222.00
80006068,HB PLAST PKG-EA 15M AFTER 1ST HR,$132.00
80006069,HB PLASTIC PKG 1ST 30 MIN,$446.00
80006070,HB PLASTIC PKG 2ND 30 MIN,$222.00
80006100,"HB SKIN SUBS, GAMMAGRAFT, PER SQ CM",$21.00
80006101,"HB SKIN SUBS, OASIS WOUND MATX, PER SQ CM",$31.00
80006102,"HB SKIN SUBS, OASIS BURN MATX, PER SQ CM",$18.00
80006103,HB EOVIST (GADOXETATE DISODIUM)/ML,$48.00
80006104,HB GLUCOSE BLOOD TEST,$48.00
80006105,"HB SKIN SUBS, INTEGRA DRT, PER SQ CM",$39.00
80006106,"HB SKIN SUBS, INTEGRA BMWD, PER SQ CM",$70.00
80006107,"HB DEBRIDE NAILS, ANY METHOD; 1 TO 5",$121.00
80006108,"HB SKIN SUBS, INTEGRA MATRIX, PER SQ CM",$79.00
80006109,HB INCISION/DRAINAGE OF ABSCESS; COMP/MULT,$842.00
80006112,"HB INCISION/DRAIN COMP,POSTOP WND INFECT","$2,759.00"
80006120,"HB DEBRIDE SUBQ, 1ST 20 SQ CM OR <",$911.00
80006121,"HB DEBRIDE MUSCLE/FASCIA, 1ST 20 SQ CM OR <",$855.00
80006122,HB DEBRIDE BONE 1ST 20 SQ CM OR <,"$2,642.00"
80006123,HB PAR/CUT BENIGN HYPRKERA LESN; 1,$170.00
80006124,HB PAR/CUT BENIGN HYPRKERA LESN; 2-4,$170.00
80006125,HB PAR/CUT BENIGN HYPERKERA LESN;>4,$234.00
80006126,HB BIOPSY SKIN/SUBQ/MUC MEM; 1 LESN,$555.00
80006127,HB BIOPSY SKIN/SUBQ/MEM; EA ADD LESN,$219.00
80006128,HB TRIMMING OF NONDYSTROPHIC NAILS,$107.00
80006129,"HB DEBRIDE NAILS, ANY METHOD; 6 OR MORE",$166.00
80006130,HB AVULSM OF NAIL PLATE;PRTL/COMP;SIMP/SING,$425.00
80006131,HB AVULN OF NAIL PLATE;PRTL/COMP;SIMP;EA AD,$248.00
80006132,HB REMOVE NAIL BED PRTL/COMP,"$1,422.00"
80006133,"HB WOUND PREP, TRUNK/ARMS/LEGS; <100 SQ CM","$1,585.00"
80006134,"HB WND PREP,TRUNK/ARMS/LEGS;EA AD 100 SQ CM","$1,252.00"
80006135,"HB WND PREP,FACE/NECK/HND/FT/EAR;<100 SQ CM","$1,374.00"
80006136,"HB WND PREP,F/N/HND/FT/EAR;EA AD 100 SQ CM","$1,252.00"
80006156,HB ABRASION; SINGLE LESION,$248.00
80006157,HB ABRASION; EA ADD FOUR LESIONS OR LESS,$248.00
80006162,HB MRI BREAST CYST ASPIRATION,"$1,208.00"
80006164,HB GANGLION CYST ASPIRATION/INJECTION,$626.00
80006167,HB RIGID TOTAL CONTACT LEG CAST APPLICATION,$714.00
80006169,HB CT IELCAP (S/PAY),$346.00
80006170,HB REMOTE AFTERLOADING HDR 2-12 CHANNELS,"$5,828.00"
80006171,HB PRE SURGICAL TUMOR LOCALIZATION,$886.00
80006172,HB PM DEVICE PRGM EVAL 1 LEAD PM,$348.00
80006173,HB PM DEVICE PRGM EVAL 2 LEAD PM,$318.00
80006174,HB PM DEVICE PRGM EVAL MULT LEAD PM,$348.00
80006175,HB ICD DEVICE PRGM EVAL 1LD CVDFB,$433.00
80006176,HB ICD DEVICE PRGM EVAL 2LD CVDFB,$451.00
80006177,HB ICD DEVICE PRGM EVAL MLT LD CVDFB,$541.00
80006178,HB ILR DEVICE PRGM EVAL,$114.00
80006179,HB PRE-OP PM DEVICE EVAL 1/2/MLT LD,$415.00
80006180,HB PRE-OP ICD DEVICE EVL 1/2/MLT LD CVDFB,$594.00
80006181,HB PM DEVICE EVAL F2F 1/2/MLT LD PM,$240.00
80006182,HB ICD DEV EVL F2F 1/2/MLT LD CVDFB,$284.00
80006183,HB ICM DEVICE EVAL F2F CV MNTR SYS,$114.00
80006184,HB ILR DEVICE EVAL F2F ILR SYS,$147.00
80006186,"HB TTE W/DOPPLER, COMPLETE","$3,500.00"
80006187,HB CANALITH REPOSITIONING PROCEDURE,$296.00
80006188,HB NONSELECTIVE DEBRIDE W/O ANES; ONGOING,$147.00
80006189,HB WOUND VAC THERAPY; <OR= 50 SQ CM,$223.00
80006190,HB WOUND VAC THERAPY; > 50 SQ CM,$238.00
80006191,HB PT TEAM CONF W/ PT OR FAM,$122.00
80006192,HB OT TEAM CON W/ FAM OR PT,$122.00
80006193,HB OT TEAM CONF W/O PT OR FAM,$92.00
80006194,HB PT TEAM CONF W/O PT OR FAM,$92.00
80006195,HB BEHIND THE WHEEL ASSESSMENT CHARGE,$125.00
80006196,HB BILIARY DILATION CATHETER (SOEHENDRA),$332.00
80006200,"HB SESTAMIBI ISOTOPE, MULTIPLE",$719.00
80006201,HB DISOFENIN ISOTOPE,$130.00
80006202,"HB IN111 LABELED AUTO WBC, DIAG, PER DOSE","$2,426.00"
80006204,HB CYTOMAX/COMBO CATH,$312.00
80006205,HB TTE CMPL SPC&CLR FLOW DPLR ECHO,"$3,850.00"
80006207,HB I-123 IOBENG DX UPTO 15MCI/DOSE MIBG,"$5,445.00"
80006208,HB RADIOSURGERY EA ADD SPINE LESION,"$10,324.00"
80006209,HB RADIOSURGERY EA ADD COMPLEX CRANIAL LESI,"$12,723.00"
80006210,HB RADIOSURGERY EA ADD SIMP CRANIAL LESION,"$11,319.00"
80006211,HB RADIOSURGERY 1 SPINE LESION,"$20,518.00"
80006212,HB RADIOSURGERY 1 SIMPLE CRANIAL LESION,"$20,518.00"
80006213,HB RADIOSURGERY 1 COMPLEX CRANIAL LESION,"$20,518.00"
80006214,HB BODY RADIOSURGERY,"$20,213.00"
80006216,HB PORTABLE SLEEP MONITORING TYPE IV,"$1,019.00"
80006217,"HB SKIN SUBS, APLIGRAF, PER SQ CM",$155.00
80006218,"HB SKIN SUBS, DERMAGRAFT, PER SQ CM",$191.00
80006219,"HB SKIN SUBS, GRAFTJACK, PER SQ CM",$292.00
80006220,"HB SKIN SUBS, PRIMATRIX, PER SQ CM",$132.00
80006221,"HB SKIN SUBS, GRAFTJACK EXP, PER INJ 1CC","$1,430.00"
80006223,HB SP TEAM CON W/ PT OR FAM,$122.00
80006227,HB VENIPUNCTURE LAB DRAW-ENDO LAB,$31.00
80006228,HB GROUP 2 STAIN DX*,$150.00
80006229,HB R INHIBIN B,$324.00
80006230,HB DARKFIELD EXAM*,$74.00
80006231,HB LEVEL V-PATHOLOGY,$613.00
80006232,HB LEVEL VI-PATHOLOGY,$725.00
80006233,HB CROWN - FULL CAST NOBLE METAL,$510.00
80006234,HB I&D OF ABSCESS-EXTRAORAL SOFT TISSUE,$540.00
80006235,HB I&D ABSCESS-EXTRAORAL SOFT TISSUE COMPLC,$694.00
80006236,HB SUTURE OF RECENT SMALL WOUNDS UP TO 5CM,$420.00
80006237,HB I&D ABSCESS-INTRAORAL SOFT TISSUE COMPLC,$439.00
80006238,HB REMOVAL OF MANDIBULAR TORI,$700.00
80006239,HB CASE PRESENTTN DETAIL & EXT TX PLANNING,$150.00
80006241,HB REMOVAL OF TORUS PALATINUS,$700.00
80006243,HB PONTIC- PORCELAIN FUSED TO HI NOBLE MTL,$826.00
80006244,HB SCALE ROOT PLANE 1-3 TEETH PER QUADRANT,$181.00
80006245,HB SURGICAL REMOVAL RESIDUAL TOOTH ROOTS,$589.00
80006246,HB COLLECT MICROORGANISMS CULTURE/SENSITIVE,$134.00
80006247,HB TOPICAL APPLICATION OF FLUORIDE - CHILD,$65.00
80006249,HB EA BRIDGE ABUTMENT-FULL CAST NOBLE METAL,$826.00
80006250,HB EXCISION BENIGN LESION +1.25CM,$615.00
80006251,HB TOOTH REIMPLNT &/STABLZ ACC AVULS/DISP T,$660.00
80006252,"HB BIOPSY ORAL TISSUE-HARD (BONE, TOOTH)",$528.00
80006253,HB ALVEOLOPLASTY W/EXTS 1-3 TEETH/SPC PER Q,$275.00
80006254,HB ALVEOLOPLSTY W/O EXTS 1-3 TEETH/SP PER Q,$375.00
80006255,HB EXCISION BENIGN LESION UP TO 1.25CM,$495.00
80006256,HB EA BRIDGE ABUTMNT-PORCEL FUSE-HI NOB MTL,$826.00
80006258,HB CRYOABLATION CATHETER,"$11,199.00"
80006259,"HB ANASCOPY, DX W W/O SPECIMEN COLLECT",$437.00
80006260,HB RADIAL OR LINEAR UPPER ENDO ULTRASOUND,"$5,845.00"
80006261,HB SPLINT APPLICATION SHORT LEG,$325.00
80006262,HB NEWBORN RESUSCITATION,"$1,043.00"
80006265,HB AFTERCARE GROUP PSYCHOTHERAPY,$195.00
80006266,HB GROUP PSYCHTHERAPY - IOP,$350.00
80006267,HB RX SOFT CONVENTIONAL/DISPOSABLE FITTING OF CONTACT LENS,$139.00
80006268,HB EP-SER LOWERS LIMBS,"$1,261.00"
80006269,HB INCOMP PROCEDUR BEFORE SEDATION,$316.00
80006270,HB I & D VULVA/PERINEAL ABSCESS,$603.00
80006271,"HB BIOPSY VAGINAL MUCOSA, EXTENSIVE W/SUTURE","$2,897.00"
80006272,HB BIOPSY VULVA OR PERINEUM; ONE LESION,$855.00
80006273,HB LEVEL 1 COLPOSCOPY EST PT VISIT,$116.00
80006274,HB LEVEL 2 COLPOSCOPY EST PT VISIT,$213.00
80006275,HB LEVEL 3 COLPOSCOPY EST PT VISIT,$254.00
80006276,HB LEVEL 4 COLPOSCOPY EST PT VISIT,$340.00
80006277,HB LEVEL 5 COLPOSCOPY EST PT VISIT,$370.00
80006278,HB BIOPSY VULVA OR PERINEUM; EA ADD'L LESION,"$1,081.00"
80006279,HB ENDOMETRIAL BIOPSY W/O CERVICAL DILATE,"$1,044.00"
80006281,HB R ACHE ON AMINIOTIC FLUID,$117.00
80006283,HB R FATTY ACID PROFILE,$222.00
80006284,HB R METHADONE,$117.00
80006285,HB R HYDROMORPHONE,$466.00
80006286,HB R FIBROBLAST GROWTH FACTOR 23,$277.00
80006287,HB IR INCISION AND REMOVAL OF FOREIGN BODY,$529.00
80006289,HB ANGIO SELECT EA ADD'L VESSEL S&I,"$2,980.00"
80006294,HB VENOFER INJ IRON SUCROSE PER 1 MG,$2.00
80006295,HB SIMULATOR-SIMPLE-CONFIRMATION,"$1,352.00"
80006299,HB OPD LEVEL 1 EST PT VISIT,$116.00
80006300,HB OPD LEVEL 2 EST PT VISIT,$213.00
80006301,HB OPD LEVEL 3 EST PT VISIT,$254.00
80006302,HB OPD LEVEL 4 EST PT VISIT,$340.00
80006304,HB OPD LEVEL 5 EST PT VISIT,$370.00
80006305,HB KELLOGG ELASTOMERIC INFUSOR PUMP,$155.00
80006306,HB KCCC MEDICATION PUMP,$99.00
80006307,HB OSSEOUS SURG 1-3 CONTIGUOUS TEETH/QUAD,$900.00
80006308,HB ARTHROTOMY W/BIOPSY; HIP JOINT,"$3,182.00"
80006309,HB OT U/E CASTING,$484.00
80006310,HB PT U/E CASTING,$484.00
80006311,HB IN SITU HYBRIDIZATION; INT & RPT,$467.00
80006312,"HB CYTOLOGY,CELL BLOCK",$433.00
80006313,HB COLPOSCOPY OF VULVA,$572.00
80006314,"HB COLPOSCOPY ENTIRE VAGINA, W/CERVIX IF PRESENT",$526.00
80006315,HB ENDOMETRIAL BX W/COLPOSCOPY,$273.00
80006317,HB RENAL IMAGING STATIC,"$1,805.00"
80006318,HB ACTIGRAPHY TESTING,$447.00
80006319,HB PERC ASP W/ NUCLEUS POLPOSUS OF INTERVER,"$1,363.00"
80006320,HB R VORICONAZOLE,$225.00
80006321,"HB R ASPERGILLUS, AG",$178.00
80006322,HB INTRAORAL PERIAPICAL EA ADD'L FILM,$37.00
80006323,HB VIRAL CULTURE,$134.00
80006324,HB OSSEOUS SURG 4+ CONTIGUOUS TEETH/QUAD,"$1,200.00"
80006325,HB DISTAL/PROXIMAL WEDGE  - SEP PROCEDURE,$400.00
80006326,HB SURGICAL STENT,$250.00
80006328,HB IMPLANT CUSTOM ABUTEMENT,$650.00
80006329,HB IMPLANT SUPPORTED PORCELAIN FUSED TO MTL CROWN,$650.00
80006330,HB BONE REPLACEMENT GRAFT RIDGE PRESERVATION PER SITE,$500.00
80006331,HB LOCAL ANESTHESIA NOT IN CONJCTN W/ PROCEDURE,$45.00
80006332,HB GINGIVAL FLAP PX W/RT PLANING - 4+ CONTI,$950.00
80006333,HB GINGIVAL FLAP PX W/RT PLANING 1-3 CONTIG,$750.00
80006334,HB DIMERIC INHIBIN A,$193.00
80006335,HB CLO TEST,$89.00
80006339,HB SHLD DIS CLSD TX W/MAN W/O ANES,$801.00
80006341,HB EVALVE CARD VALVE REPAIR SYS IDE#G030064,"$94,500.00"
80006342,HB O.R.- LEVEL 4: 1 HR OR LESS,"$10,049.00"
80006343,HB O.R.- LEVEL 4: >1HR: 30 MIN INCR,"$2,688.00"
80006344,HB PH I REC LVL 4: .5HR OR LESS,"$3,804.00"
80006345,HB PH I REC LVL 4: EA ADD .5 HR,$399.00
80006346,HB REMV FB MSCL/TEND SHTH SIMP,"$1,931.00"
80006348,HB PH/OUTRCH COACH NON-LIC PER 15 MINS S/P,$16.00
80006349,HB PH/OUTRCH COACH LIC PER 15 MINS S/P,$21.00
80006351,HB ABUT SUP PORCELAIN FUSED TO METAL CRWN,$650.00
80006353,HB OVERTUBE - DISPOSABLE,$636.00
80006355,HB ELECTRONIC CROSSMATCH,$110.00
80006357,HB CT ASPIRATION OF MUSCLE FLUID,"$3,346.00"
80006358,HB BIOPSY ABDOMINAL WALL,"$2,813.00"
80006359,HB GRASPING FORCEPS,$371.00
80006360,HB BRONCH W/TRANSBRON LUNG BX,"$4,920.00"
80006363,HB PERC TRACHEOSTOMY RHINO KIT,"$1,046.00"
80006364,HB INTRAABD PRESSURE MONITOR KIT,$279.00
80006365,HB ANGIO REPERFUSION CATHETER,"$6,591.00"
80006366,HB ANGIO SEPARATOR,"$11,661.00"
80006367,HB ANGIO PENUMBRA SUPPLY,"$1,443.00"
80006368,HB LUMB ORTHOTIC RIGD POST PANL PREFAB,$73.00
80006369,HB CERV COLLR SEMI-RIGD 2 PEC-THOR EXT,$261.00
80006370,HB TLSO TRIPLANR 3 SHELL ANT-STERNL,"$1,171.00"
80006371,HB LUMB ORTHOT RIGD A&P PANL PREFAB,$385.00
80006372,HB LSO RIGD ANT&POST FRME/PANL PREFAB,"$1,214.00"
80006373,HB WHO EXT CNTRL COCK-UP NONMOLD PRFB,$50.00
80006374,HB RADIOPHARM THER;INTRA-ART PARTIC ADMIN,"$1,287.00"
