MS-DRG,MS-DRG DESCRIPTION, Total            (All Payor) Discharges , Total                 (All Payor) Charges , Average Charge Per Discharge 
345,MINOR SMALL  LARGE BOWEL PROCEDURES W CC,11,"$1,000,423 ","$90,948 "
346,MINOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,6,"$243,058 ","$40,510 "
347,ANAL  STOMAL PROCEDURES W MCC,3,"$291,168 ","$97,056 "
348,ANAL  STOMAL PROCEDURES W CC,11,"$704,247 ","$64,022 "
349,ANAL  STOMAL PROCEDURES W/O CC/MCC,6,"$216,736 ","$36,123 "
350,INGUINAL  FEMORAL HERNIA PROCEDURES W MCC,5,"$915,726 ","$183,145 "
351,INGUINAL  FEMORAL HERNIA PROCEDURES W CC,14,"$972,688 ","$69,478 "
352,INGUINAL  FEMORAL HERNIA PROCEDURES W/O CC/MCC,8,"$473,104 ","$59,138 "
353,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W MCC,7,"$979,155 ","$139,879 "
354,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W CC,43,"$3,388,297 ","$78,798 "
355,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W/O CC/MCC,52,"$3,519,239 ","$67,678 "
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,27,"$4,756,665 ","$176,173 "
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,25,"$2,355,738 ","$94,230 "
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,13,"$993,781 ","$76,445 "
368,MAJOR ESOPHAGEAL DISORDERS W MCC,14,"$709,991 ","$50,714 "
369,MAJOR ESOPHAGEAL DISORDERS W CC,18,"$852,748 ","$47,375 "
370,MAJOR ESOPHAGEAL DISORDERS W/O CC/MCC,7,"$271,106 ","$38,729 "
371,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W MCC,47,"$3,146,372 ","$66,944 "
372,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W CC,85,"$4,135,549 ","$48,654 "
373,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W/O CC/MCC,37,"$1,160,853 ","$31,374 "
374,DIGESTIVE MALIGNANCY W MCC,58,"$4,622,494 ","$79,698 "
375,DIGESTIVE MALIGNANCY W CC,65,"$3,109,803 ","$47,843 "
376,DIGESTIVE MALIGNANCY W/O CC/MCC,7,"$333,441 ","$47,634 "
377,G.I. HEMORRHAGE W MCC,160,"$12,524,592 ","$78,279 "
378,G.I. HEMORRHAGE W CC,281,"$14,336,720 ","$51,020 "
379,G.I. HEMORRHAGE W/O CC/MCC,40,"$1,370,590 ","$34,265 "
380,COMPLICATED PEPTIC ULCER W MCC,19,"$1,482,040 ","$78,002 "
381,COMPLICATED PEPTIC ULCER W CC,24,"$1,183,874 ","$49,328 "
382,COMPLICATED PEPTIC ULCER W/O CC/MCC,8,"$286,730 ","$35,841 "
383,UNCOMPLICATED PEPTIC ULCER W MCC,2,"$57,690 ","$28,845 "
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,8,"$306,328 ","$38,291 "
385,INFLAMMATORY BOWEL DISEASE W MCC,17,"$1,492,768 ","$87,810 "
386,INFLAMMATORY BOWEL DISEASE W CC,88,"$4,802,563 ","$54,575 "
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,36,"$1,599,359 ","$44,427 "
388,G.I. OBSTRUCTION W MCC,39,"$3,191,657 ","$81,837 "
389,G.I. OBSTRUCTION W CC,113,"$4,925,788 ","$43,591 "
390,G.I. OBSTRUCTION W/O CC/MCC,74,"$2,126,037 ","$28,730 "
391,ESOPHAGITIS GASTROENT  MISC DIGEST DISORDERS W MCC,110,"$6,188,285 ","$56,257 "
392,ESOPHAGITIS GASTROENT  MISC DIGEST DISORDERS W/O MCC,508,"$18,003,251 ","$35,439 "
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,99,"$5,933,951 ","$59,939 "
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,143,"$6,926,995 ","$48,441 "
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,44,"$1,311,359 ","$29,804 "
405,PANCREAS LIVER  SHUNT PROCEDURES W MCC,81,"$17,523,756 ","$216,343 "
406,PANCREAS LIVER  SHUNT PROCEDURES W CC,114,"$16,602,845 ","$145,639 "
407,PANCREAS LIVER  SHUNT PROCEDURES W/O CC/MCC,57,"$7,272,668 ","$127,591 "
408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,11,"$2,107,467 ","$191,588 "
409,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W CC,5,"$541,226 ","$108,245 "
410,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W/O CC/MCC,5,"$379,626 ","$75,925 "
414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,7,"$1,070,411 ","$152,916 "
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,22,"$1,858,028 ","$84,456 "
416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,9,"$584,120 ","$64,902 "
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,30,"$3,586,695 ","$119,557 "
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,69,"$5,096,757 ","$73,866 "
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,88,"$4,900,622 ","$55,689 "
420,HEPATOBILIARY DIAGNOSTIC PROCEDURES W MCC,10,"$2,381,532 ","$238,153 "
421,HEPATOBILIARY DIAGNOSTIC PROCEDURES W CC,8,"$834,014 ","$104,252 "
422,HEPATOBILIARY DIAGNOSTIC PROCEDURES W/O CC/MCC,5,"$440,456 ","$88,091 "
423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,9,"$1,174,429 ","$130,492 "
424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC,4,"$268,758 ","$67,190 "
425,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W/O CC/MCC,1,"$61,046 ","$61,046 "
432,CIRRHOSIS  ALCOHOLIC HEPATITIS W MCC,122,"$14,402,821 ","$118,056 "
433,CIRRHOSIS  ALCOHOLIC HEPATITIS W CC,83,"$4,406,460 ","$53,090 "
434,CIRRHOSIS  ALCOHOLIC HEPATITIS W/O CC/MCC,6,"$128,834 ","$21,472 "
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,96,"$6,605,116 ","$68,803 "
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,32,"$1,734,941 ","$54,217 "
437,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W/O CC/MCC,9,"$199,760 ","$22,196 "
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,84,"$7,450,991 ","$88,702 "
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,134,"$5,756,646 ","$42,960 "
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,81,"$2,478,967 ","$30,605 "
441,DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA W MCC,107,"$12,276,229 ","$114,731 "
442,DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA W CC,125,"$6,729,840 ","$53,839 "
443,DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA W/O CC/MCC,28,"$990,124 ","$35,362 "
444,DISORDERS OF THE BILIARY TRACT W MCC,75,"$5,511,284 ","$73,484 "
445,DISORDERS OF THE BILIARY TRACT W CC,102,"$5,078,483 ","$49,789 "
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,51,"$1,720,882 ","$33,743 "
453,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,63,"$22,875,939 ","$363,110 "
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,234,"$52,028,149 ","$222,343 "
455,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,254,"$40,191,579 ","$158,235 "
456,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,17,"$6,175,525 ","$363,266 "
457,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,34,"$8,489,002 ","$249,677 "
458,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,19,"$2,862,008 ","$150,632 "
459,SPINAL FUSION EXCEPT CERVICAL W MCC,33,"$8,911,347 ","$270,041 "
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,492,"$63,567,889 ","$129,203 "
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,80,"$6,358,304 ","$79,479 "
463,WND DEBRID  SKN GRFT EXC HAND FOR MUSCULO-CONN TISS DIS W MCC,41,"$10,418,448 ","$254,108 "
464,WND DEBRID  SKN GRFT EXC HAND FOR MUSCULO-CONN TISS DIS W CC,79,"$11,323,555 ","$143,336 "
465,WND DEBRID  SKN GRFT EXC HAND FOR MUSCULO-CONN TISS DIS W/O CC/MCC,34,"$3,798,177 ","$111,711 "
466,REVISION OF HIP OR KNEE REPLACEMENT W MCC,28,"$6,992,603 ","$249,736 "
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,120,"$16,019,121 ","$133,493 "
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,196,"$18,386,129 ","$93,807 "
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,54,"$6,927,646 ","$128,290 "
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"1,403","$76,953,907 ","$54,850 "
471,CERVICAL SPINAL FUSION W MCC,37,"$6,873,733 ","$185,777 "
472,CERVICAL SPINAL FUSION W CC,255,"$29,240,257 ","$114,668 "
473,CERVICAL SPINAL FUSION W/O CC/MCC,256,"$23,254,872 ","$90,839 "
474,AMPUTATION FOR MUSCULOSKELETAL SYS  CONN TISSUE DIS W MCC,17,"$3,764,369 ","$221,433 "
475,AMPUTATION FOR MUSCULOSKELETAL SYS  CONN TISSUE DIS W CC,14,"$1,763,746 ","$125,982 "
476,AMPUTATION FOR MUSCULOSKELETAL SYS  CONN TISSUE DIS W/O CC/MCC,3,"$180,412 ","$60,137 "
477,BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W MCC,15,"$2,618,887 ","$174,592 "
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC,36,"$3,904,544 ","$108,460 "
479,BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W/O CC/MCC,15,"$959,086 ","$63,939 "
480,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,39,"$5,390,392 ","$138,215 "
481,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,133,"$12,539,594 ","$94,283 "
482,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,45,"$3,278,083 ","$72,846 "
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,565,"$36,596,275 ","$64,772 "
485,KNEE PROCEDURES W PDX OF INFECTION W MCC,3,"$386,151 ","$128,717 "
486,KNEE PROCEDURES W PDX OF INFECTION W CC,3,"$329,813 ","$109,938 "
487,KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,8,"$545,877 ","$68,235 "
488,KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,12,"$1,477,659 ","$123,138 "
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,16,"$1,292,862 ","$80,804 "
492,LOWER EXTREM  HUMER PROC EXCEPT HIPFOOTFEMUR W MCC,20,"$3,179,549 ","$158,977 "
493,LOWER EXTREM  HUMER PROC EXCEPT HIPFOOTFEMUR W CC,88,"$8,967,538 ","$101,904 "
494,LOWER EXTREM  HUMER PROC EXCEPT HIPFOOTFEMUR W/O CC/MCC,127,"$9,852,260 ","$77,577 "
495,LOCAL EXCISION  REMOVAL INT FIX DEVICES EXC HIP  FEMUR W MCC,1,"$293,028 ","$293,028 "
496,LOCAL EXCISION  REMOVAL INT FIX DEVICES EXC HIP  FEMUR W CC,17,"$1,391,443 ","$81,850 "
497,LOCAL EXCISION  REMOVAL INT FIX DEVICES EXC HIP  FEMUR W/O CC/MCC,15,"$894,251 ","$59,617 "
498,LOCAL EXCISION  REMOVAL INT FIX DEVICES OF HIP  FEMUR W CC/MCC,12,"$1,516,156 ","$126,346 "
499,LOCAL EXCISION  REMOVAL INT FIX DEVICES OF HIP  FEMUR W/O CC/MCC,4,"$279,164 ","$69,791 "
500,SOFT TISSUE PROCEDURES W MCC,17,"$2,501,365 ","$147,139 "
501,SOFT TISSUE PROCEDURES W CC,37,"$3,278,024 ","$88,595 "
502,SOFT TISSUE PROCEDURES W/O CC/MCC,41,"$2,224,853 ","$54,265 "
503,FOOT PROCEDURES W MCC,5,"$792,173 ","$158,435 "
504,FOOT PROCEDURES W CC,14,"$903,019 ","$64,501 "
505,FOOT PROCEDURES W/O CC/MCC,10,"$666,790 ","$66,679 "
506,MAJOR THUMB OR JOINT PROCEDURES,2,"$89,099 ","$44,550 "
507,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W CC/MCC,3,"$133,133 ","$44,378 "
508,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC,2,"$102,714 ","$51,357 "
510,SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROC W MCC,4,"$1,005,327 ","$251,332 "
511,SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROC W CC,8,"$608,942 ","$76,118 "
512,SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROC W/O CC/MCC,20,"$1,306,517 ","$65,326 "
513,HAND OR WRIST PROC EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC,19,"$1,099,083 ","$57,846 "
514,HAND OR WRIST PROC EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC,8,"$361,222 ","$45,153 "
515,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W MCC,16,"$3,748,512 ","$234,282 "
516,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W CC,64,"$6,097,156 ","$95,268 "
517,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W/O CC/MCC,96,"$6,541,129 ","$68,137 "
518,BACK  NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM,13,"$1,499,553 ","$115,350 "
519,BACK  NECK PROC EXC SPINAL FUSION W CC,50,"$4,438,523 ","$88,770 "
520,BACK  NECK PROC EXC SPINAL FUSION W/O CC/MCC,61,"$3,958,972 ","$64,901 "
533,FRACTURES OF FEMUR W MCC,1,"$58,351 ","$58,351 "
534,FRACTURES OF FEMUR W/O MCC,1,"$56,045 ","$56,045 "
535,FRACTURES OF HIP  PELVIS W MCC,9,"$793,616 ","$88,180 "
536,FRACTURES OF HIP  PELVIS W/O MCC,36,"$1,308,756 ","$36,354 "
537,SPRAINS STRAINS  DISLOCATIONS OF HIP PELVIS  THIGH W CC/MCC,4,"$218,160 ","$54,540 "
539,OSTEOMYELITIS W MCC,14,"$1,323,262 ","$94,519 "
540,OSTEOMYELITIS W CC,24,"$730,523 ","$30,438 "
541,OSTEOMYELITIS W/O CC/MCC,11,"$193,540 ","$17,595 "
542,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W MCC,15,"$1,255,689 ","$83,713 "
543,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W CC,47,"$3,164,078 ","$67,321 "
544,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W/O CC/MCC,10,"$682,959 ","$68,296 "
545,CONNECTIVE TISSUE DISORDERS W MCC,34,"$4,004,364 ","$117,775 "
546,CONNECTIVE TISSUE DISORDERS W CC,53,"$2,996,114 ","$56,530 "
547,CONNECTIVE TISSUE DISORDERS W/O CC/MCC,24,"$908,015 ","$37,834 "
548,SEPTIC ARTHRITIS W MCC,1,"$120,672 ","$120,672 "
549,SEPTIC ARTHRITIS W CC,7,"$428,675 ","$61,239 "
550,SEPTIC ARTHRITIS W/O CC/MCC,2,"$146,095 ","$73,048 "
551,MEDICAL BACK PROBLEMS W MCC,33,"$2,355,400 ","$71,376 "
552,MEDICAL BACK PROBLEMS W/O MCC,168,"$8,078,611 ","$48,087 "
553,BONE DISEASES  ARTHROPATHIES W MCC,7,"$2,271,629 ","$324,518 "
554,BONE DISEASES  ARTHROPATHIES W/O MCC,42,"$1,482,202 ","$35,291 "
555,SIGNS  SYMPTOMS OF MUSCULOSKELETAL SYSTEM  CONN TISSUE W MCC,5,"$231,923 ","$46,385 "
556,SIGNS  SYMPTOMS OF MUSCULOSKELETAL SYSTEM  CONN TISSUE W/O MCC,33,"$1,429,581 ","$43,321 "
557,TENDONITIS MYOSITIS  BURSITIS W MCC,15,"$958,684 ","$63,912 "
558,TENDONITIS MYOSITIS  BURSITIS W/O MCC,45,"$1,320,611 ","$29,347 "
559,AFTERCARE MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W MCC,33,"$3,199,728 ","$96,961 "
560,AFTERCARE MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC,56,"$3,664,225 ","$65,433 "
561,AFTERCARE MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W/O CC/MCC,30,"$1,302,163 ","$43,405 "
562,FX SPRN STRN  DISL EXCEPT FEMUR HIP PELVIS  THIGH W MCC,14,"$757,460 ","$54,104 "
563,FX SPRN STRN  DISL EXCEPT FEMUR HIP PELVIS  THIGH W/O MCC,32,"$1,240,379 ","$38,762 "
564,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W MCC,13,"$1,170,510 ","$90,039 "
565,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W CC,29,"$1,308,523 ","$45,121 "
566,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,13,"$423,296 ","$32,561 "
570,SKIN DEBRIDEMENT W MCC,7,"$947,188 ","$135,313 "
571,SKIN DEBRIDEMENT W CC,23,"$1,823,508 ","$79,283 "
572,SKIN DEBRIDEMENT W/O CC/MCC,8,"$683,741 ","$85,468 "
573,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W MCC,3,"$320,716 ","$106,905 "
574,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W CC,4,"$404,732 ","$101,183 "
575,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,2,"$44,477 ","$22,239 "
576,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W MCC,2,"$218,829 ","$109,415 "
577,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC,12,"$2,473,857 ","$206,155 "
578,SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,16,"$1,560,885 ","$97,555 "
579,OTHER SKIN SUBCUT TISS  BREAST PROC W MCC,12,"$1,122,943 ","$93,579 "
580,OTHER SKIN SUBCUT TISS  BREAST PROC W CC,68,"$4,617,532 ","$67,905 "
581,OTHER SKIN SUBCUT TISS  BREAST PROC W/O CC/MCC,67,"$5,148,915 ","$76,849 "
582,MASTECTOMY FOR MALIGNANCY W CC/MCC,5,"$361,063 ","$72,213 "
583,MASTECTOMY FOR MALIGNANCY W/O CC/MCC,6,"$665,617 ","$110,936 "
584,BREAST BIOPSY LOCAL EXCISION  OTHER BREAST PROCEDURES W CC/MCC,3,"$175,033 ","$58,344 "
585,BREAST BIOPSY LOCAL EXCISION  OTHER BREAST PROCEDURES W/O CC/MCC,11,"$804,530 ","$73,139 "
592,SKIN ULCERS W MCC,10,"$795,260 ","$79,526 "
593,SKIN ULCERS W CC,5,"$139,996 ","$27,999 "
594,SKIN ULCERS W/O CC/MCC,2,"$74,027 ","$37,014 "
595,MAJOR SKIN DISORDERS W MCC,6,"$500,803 ","$83,467 "
596,MAJOR SKIN DISORDERS W/O MCC,18,"$883,394 ","$49,077 "
597,MALIGNANT BREAST DISORDERS W MCC,9,"$506,427 ","$56,270 "
598,MALIGNANT BREAST DISORDERS W CC,3,"$196,862 ","$65,621 "
600,NON-MALIGNANT BREAST DISORDERS W CC/MCC,5,"$184,400 ","$36,880 "
601,NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,5,"$95,514 ","$19,103 "
602,CELLULITIS W MCC,42,"$2,701,364 ","$64,318 "
603,CELLULITIS W/O MCC,389,"$10,809,711 ","$27,788 "
604,TRAUMA TO THE SKIN SUBCUT TISS  BREAST W MCC,3,"$375,967 ","$125,322 "
605,TRAUMA TO THE SKIN SUBCUT TISS  BREAST W/O MCC,29,"$1,117,126 ","$38,522 "
606,MINOR SKIN DISORDERS W MCC,7,"$513,075 ","$73,296 "
607,MINOR SKIN DISORDERS W/O MCC,47,"$1,531,226 ","$32,579 "
614,ADRENAL  PITUITARY PROCEDURES W CC/MCC,52,"$7,047,406 ","$135,527 "
615,ADRENAL  PITUITARY PROCEDURES W/O CC/MCC,39,"$3,352,911 ","$85,972 "
616,AMPUTAT OF LOWER LIMB FOR ENDOCRINENUTRIT METABOL DIS W MCC,14,"$2,156,901 ","$154,064 "
617,AMPUTAT OF LOWER LIMB FOR ENDOCRINENUTRIT METABOL DIS W CC,63,"$5,890,027 ","$93,492 "
619,O.R. PROCEDURES FOR OBESITY W MCC,1,"$108,438 ","$108,438 "
620,O.R. PROCEDURES FOR OBESITY W CC,25,"$2,104,741 ","$84,190 "
621,O.R. PROCEDURES FOR OBESITY W/O CC/MCC,262,"$17,568,705 ","$67,056 "
622,SKIN GRAFTS  WOUND DEBRID FOR ENDOC NUTRIT  METAB DIS W MCC,8,"$1,520,727 ","$190,091 "
623,SKIN GRAFTS  WOUND DEBRID FOR ENDOC NUTRIT  METAB DIS W CC,31,"$2,455,283 ","$79,203 "
624,SKIN GRAFTS  WOUND DEBRID FOR ENDOC NUTRIT  METAB DIS W/O CC/MCC,5,"$192,487 ","$38,497 "
625,THYROID PARATHYROID  THYROGLOSSAL PROCEDURES W MCC,8,"$965,408 ","$120,676 "
626,THYROID PARATHYROID  THYROGLOSSAL PROCEDURES W CC,19,"$1,826,390 ","$96,126 "
627,THYROID PARATHYROID  THYROGLOSSAL PROCEDURES W/O CC/MCC,6,"$367,618 ","$61,270 "
628,OTHER ENDOCRINE NUTRIT  METAB O.R. PROC W MCC,9,"$4,786,782 ","$531,865 "
629,OTHER ENDOCRINE NUTRIT  METAB O.R. PROC W CC,22,"$2,803,600 ","$127,436 "
630,OTHER ENDOCRINE NUTRIT  METAB O.R. PROC W/O CC/MCC,3,"$371,335 ","$123,778 "
637,DIABETES W MCC,80,"$5,565,137 ","$69,564 "
638,DIABETES W CC,285,"$9,843,593 ","$34,539 "
639,DIABETES W/O CC/MCC,96,"$2,646,971 ","$27,573 "
640,MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,177,"$10,734,035 ","$60,644 "
641,MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,220,"$7,671,675 ","$34,871 "
642,INBORN AND OTHER DISORDERS OF METABOLISM,16,"$1,436,365 ","$89,773 "
643,ENDOCRINE DISORDERS W MCC,26,"$1,879,506 ","$72,289 "
644,ENDOCRINE DISORDERS W CC,50,"$2,567,781 ","$51,356 "
645,ENDOCRINE DISORDERS W/O CC/MCC,18,"$501,006 ","$27,834 "
652,KIDNEY TRANSPLANT,86,"$21,929,849 ","$254,998 "
653,MAJOR BLADDER PROCEDURES W MCC,16,"$4,793,931 ","$299,621 "
654,MAJOR BLADDER PROCEDURES W CC,38,"$6,897,087 ","$181,502 "
655,MAJOR BLADDER PROCEDURES W/O CC/MCC,9,"$1,254,095 ","$139,344 "
656,KIDNEY  URETER PROCEDURES FOR NEOPLASM W MCC,20,"$4,125,790 ","$206,290 "
657,KIDNEY  URETER PROCEDURES FOR NEOPLASM W CC,39,"$4,141,568 ","$106,194 "
658,KIDNEY  URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,47,"$4,073,621 ","$86,673 "
659,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W MCC,14,"$2,239,928 ","$159,995 "
660,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W CC,49,"$5,938,358 ","$121,191 "
661,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,25,"$2,335,402 ","$93,416 "
662,MINOR BLADDER PROCEDURES W MCC,2,"$203,009 ","$101,505 "
663,MINOR BLADDER PROCEDURES W CC,6,"$405,258 ","$67,543 "
664,MINOR BLADDER PROCEDURES W/O CC/MCC,3,"$218,409 ","$72,803 "
665,PROSTATECTOMY W MCC,2,"$153,441 ","$76,721 "
666,PROSTATECTOMY W CC,7,"$450,655 ","$64,379 "
667,PROSTATECTOMY W/O CC/MCC,1,"$40,506 ","$40,506 "
668,TRANSURETHRAL PROCEDURES W MCC,12,"$981,337 ","$81,778 "
669,TRANSURETHRAL PROCEDURES W CC,56,"$3,411,003 ","$60,911 "
670,TRANSURETHRAL PROCEDURES W/O CC/MCC,10,"$598,160 ","$59,816 "
671,URETHRAL PROCEDURES W CC/MCC,3,"$202,234 ","$67,411 "
672,URETHRAL PROCEDURES W/O CC/MCC,2,"$101,686 ","$50,843 "
673,OTHER KIDNEY  URINARY TRACT PROCEDURES W MCC,25,"$3,098,542 ","$123,942 "
674,OTHER KIDNEY  URINARY TRACT PROCEDURES W CC,18,"$2,054,055 ","$114,114 "
675,OTHER KIDNEY  URINARY TRACT PROCEDURES W/O CC/MCC,1,"$76,145 ","$76,145 "
682,RENAL FAILURE W MCC,184,"$11,235,138 ","$61,061 "
683,RENAL FAILURE W CC,282,"$11,278,309 ","$39,994 "
684,RENAL FAILURE W/O CC/MCC,33,"$858,535 ","$26,016 "
686,KIDNEY  URINARY TRACT NEOPLASMS W MCC,1,"$154,656 ","$154,656 "
687,KIDNEY  URINARY TRACT NEOPLASMS W CC,5,"$262,234 ","$52,447 "
689,KIDNEY  URINARY TRACT INFECTIONS W MCC,97,"$5,074,924 ","$52,319 "
690,KIDNEY  URINARY TRACT INFECTIONS W/O MCC,262,"$8,836,319 ","$33,726 "
693,URINARY STONES W/O ESW LITHOTRIPSY W MCC,6,"$553,732 ","$92,289 "
694,URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,66,"$2,284,214 ","$34,609 "
695,KIDNEY  URINARY TRACT SIGNS  SYMPTOMS W MCC,2,"$213,932 ","$106,966 "
696,KIDNEY  URINARY TRACT SIGNS  SYMPTOMS W/O MCC,14,"$275,615 ","$19,687 "
697,URETHRAL STRICTURE,1,"$52,027 ","$52,027 "
698,OTHER KIDNEY  URINARY TRACT DIAGNOSES W MCC,160,"$12,093,929 ","$75,587 "
699,OTHER KIDNEY  URINARY TRACT DIAGNOSES W CC,134,"$7,662,712 ","$57,184 "
700,OTHER KIDNEY  URINARY TRACT DIAGNOSES W/O CC/MCC,19,"$746,962 ","$39,314 "
707,MAJOR MALE PELVIC PROCEDURES W CC/MCC,32,"$3,514,439 ","$109,826 "
