Procedure Description,Unit Price
HC Intraut copper contraceptive,1500
HC Ipratropium bromide non-comp,10
HC Irinotecan injection,240
HC Iron Sucrose injection,0.75
HC IRRIG DRUG DELIVERY DEVICE,60
HC Irrigation of bladder,248
HC Ketorolac tromethamine inj,20
HC Lactate (ld) (ldh) enzyme,18
HC LAIV3 VACCINE INTRANASAL,45
HC Laiv4 vaccine intranasal,45
HC Lanreotide injection,120
HC Largsc w/ther injection,1430
HC Laryngeal function studies,229
HC Laryngoscope w/vc inj,2826
HC Laryngoscopy for aspiration,184
HC Laryngoscopy telescopic,406
HC Laser surg penis lesion(s),1694
HC LEAD NEUROSTIM IMPLNT,3415
HC Legion pneumo dna dir prob,50
HC Leucovorin calcium injection,30
HC LEUPROLIDE ACETATE /3.75 MG,1435
HC LEUPROLIDE ACETATE SUSPNSION,755
HC Levonorgestrel implant sys,585
HC Lidocaine injection,5
HC LIGATE/DIVIDE/EXCISE VEIN,165
HC LIGATION OF HEMORRHOID(S),126
HC Liletta  52 mg,1500
HC LIVER ELASTOGRAPHY,110
HC Lower extremity study,140
HC Lower extremity study,65
HC LUNG FUNCTION TEST (MBC/MVV),55
HC Manual therapy 1/> regions,75
HC MEASURE BLOOD OXYGEN LEVEL,25
HC Measure blood oxygen level,40
HC Measure blood oxygen level 94762,100
HC Med nutrition indiv subseq,123
HC Medical nutrition group,123
HC Medical nutrition indiv in,123
HC MEDROXYPROGESTERONE ACETATE,0.75
HC MENACWY VACCINE IM,200
HC Methotrexate sodium inj,5
HC Methotrexate sodium inj,20
HC METHYLPREDNISOLONE 20 MG INJ,5
HC Methylprednisolone 40 mg inj,15
HC METHYLPREDNISOLONE 80 MG INJ,25
HC Methylprednisolone injection,15
HC Microalbumin quantitative,16
HC MICROSCOPIC EXAM OF URINE,15
HC Microslide consultation,185
HC Middle cerebral artery echo,240
HC Mirena  52 mg,1500
HC Mitomycin injection,195
HC MMR VACCINE SC,100
HC Mmrv vaccine sc,205
HC Mohs 1 stage h/n/hf/g,527
HC Mohs 1 stage t/a/l,528
HC Mohs addl stage,341
HC Mohs addl stage t/a/l,304
HC Mohs surg addl block,96
HC Monovisc inj per dose,2340
HC MOTOR &/SENS 3-4 NRV CNDJ PRECONF ELTRODE LIMB,269
HC MPSV4 VACCINE SUBQ,245
HC MUSC TEST DONE W/N TEST COMP,165
HC MUSC TST DONE W/N TST NONEXT,50
HC MUSC TST DONE W/NERV TST LIM,70
HC Muscle test cran nerv unilat,100
HC Muscle test larynx,90
HC MUSCLE TEST NONPARASPINAL,65
HC MUSCLE TEST THOR PARASPINAL,60
HC N BLOCK INJ BRACHIAL PLEXUS,200
HC N block inj facial,113
HC N BLOCK INJ OCCIPITAL,264
HC N BLOCK INJ TRIGEMINAL,264
HC N BLOCK OTHER PERIPHERAL,587
HC N BLOCK SPENOPALATINE GANGL,264
HC N.gonorrhoeae dna amp prob,12
HC Nasal endoscopy dx,170
HC Nasal/sinus endoscopy surg,1430
HC Nasal/sinus endoscopy surg,1430
HC Nasopharyngoscopy,136
HC NEEDLE BIOPSY OF LIVER,462
HC NEG PRESS WOUND TX </=50 CM,182
HC Neurobehavioral status exam,123
HC Neuroeltrd stim post tibial,264
HC Neuropsych testing by tec,123
HC Neuropsych tst admin w/comp,123
HC Neuropsych tst by psych/phys,123
HC NJX DX/THER SBST INTRLMNR CRV/THRC W/O IMG GDN,587
HC NJX DX/THER SBST INTRLMNR LMBR/SAC W/O IMG GDN,587
HC Njx platelet plasma,2020
HC NORMAL SALINE SOLUTION INFUS,30
HC NORMAL SALINE SOLUTION INFUS,30
HC NORMAL SALINE SOLUTION INFUS,10
HC NRV CNDJ TEST 11-12 STUDIES,215
HC NRV CNDJ TEST 13/> STUDIES,245
HC NRV CNDJ TEST 7-8 STUDIES,230
HC NRV CNDJ TEST 9-10 STUDIES,175
HC Ob us < 14 wks addl fetus,175
HC Ob us < 14 wks single fetus,305
HC Ob us >/= 14 wks addl fetus,335
HC Ob us >/= 14 wks sngl fetus,124
HC Ob us detailed addl fetus,270
HC Ob us detailed sngl fetus,580
HC Ob us follow-up per fetus,190
HC Ob us limited fetus(s),124
HC Ob us nuchal meas 1 gest,260
HC Ob us nuchal meas add-on,145
HC OBTAINING SCREEN PAP SMEAR,52
HC Occult bld feces 1-3 tests,11
HC OCCULT BLOOD FECES,16
HC OCTREOTIDE INJECTION  DEPOT,245
HC Omalizumab injection,35
HC Ondansetron hcl injection,20
HC Oral speech device eval,250
HC Organic acid single quant,35
HC ORTHOVISC INJ PER DOSE,440
HC OSTEOPATH MANJ 1-2 REGIONS,12
HC Osteopath manj 3-4 regions,47
HC OSTEOPATHIC MANIP 5-6 BODY REGN,29
HC OSTEOPATHIC MANIP 7-8 BODY REGN,29
HC Oth resp proc indiv,30
HC Palonosetron hcl,55
HC Panoramic x-ray of jaws,35
HC Path consult intraop 1 bloc,186
HC PBB Pulmonary stress testing (eg  6-minute walk test)  including measurement of heart rate  oximetry  and oxygen titration  when performed,210
HC PCV13 VACCINE IM,300
HC Pedicle e/n/e/l/ntroral,1694
HC Pemetrexed injection,115
HC PENG BENZATHINE/PROCAINE INJ,10
HC PENICILLIN G BENZATHINE INJ,11
HC Penicillin g procaine inj,30
HC Penile injection,248
HC Penile vascular study,124
HC Pentazocine injection,30
HC Percut allergy skin tests,480
HC PERPHENAZINE INJECITON,15
HC PERQ VERT AGMNTJ CAVITY CRTJ UNI/BI CANNULATION,6055
HC Perq&ic allg test drugs/biol,24
HC Pessary rubber  any type,90
HC Pessary  non rubber any type,100
HC Photochemotherapy uv-a or b,300
HC Photochemotherapy with uv-a,165
HC Photochemotherapy with uv-b,110
HC Photodynamic tx skin,370
HC Physical performance test,80
HC Pinworm exam,10
HC PLACE NEEDLE IN VEIN,79
HC Place rt device/marker pros,1282
HC PLERIXAFOR INJECTION,600
HC Pm device eval in person,55
HC Pm device progr eval dual,65
HC Pm device progr eval multi,70
HC Pm device progr eval sngl,55
HC Pm phone r-strip device eval,120
HC POLIOVIRUS IPV SC/IM,50
HC Pos airway pressure cpap,90
HC Positional nystagmus test,100
HC Ppps  initial visit,123
HC Ppps  subseq visit,123
HC PPSV23 VACC 2 YRS+ SUBQ/IM,130
HC Prednisolone oral per 5 mg,0.1
HC Prednisone ir or dr oral 1mg,0.05
HC Prepare penis study,182
HC Preputial stretching,206
HC Preventive counseling group 94299411,13
HC Preventive counseling indiv 51099402,37
HC Prgrmg dev eval impltbl sys,133
HC Prgrmg eval implantable dfb,70
HC Prgrmg eval implantable dfb,75
HC Prgrmg eval implantable dfb,85
HC PROLONG E&M/PSYCTX SERV O/P,14
HC PROLONG E&M/PSYCTX SERV O/P,13
HC PROTHROMBIN TIME,16
HC PSYCH DIAGNOSTIC EVALUATION,50
HC Psycho testing admin by comp,123
HC Psycho testing by psych/phys,123
HC Psycho testing by technician,123
HC PSYTX CRISIS EA ADDL 30 MIN,1
HC PSYTX CRISIS INITIAL 60 MIN,2
HC Psytx pt&/family 30 minutes,123
HC Psytx pt&/family 45 minutes,123
HC Psytx pt&/family 60 minutes,123
HC Psytx w pt w e/m 45 min,138
HC Pulm funct tst plethysmograp,105
HC Pulm function test by gas,80
HC Puncture drainage of lesion,85
HC Pure tone audiometry air,50
HC Rabies ig heat treated,250
HC RABIES VACCINE ID,220
HC Rabies vaccine im,500
HC Radiation treatment delivery,550
HC Rbc sed rate automated,10
HC REAGENT STRIP/BLOOD GLUCOSE,15
HC Regadenoson injection,110
HC Release of nasal adhesions,241
HC Remote 30 day ecg rev/report 93228,70
HC Remote 30 day ecg rev/report 93270,115
HC Removal foreign body mouth,178
HC Removal foreign body mouth,278
HC REMOVAL OF ANAL TAGS,157
HC Removal of foot foreign body,257
HC REMOVAL OF FOREIGN BODY,1456
HC Removal of foreign body,461
HC REMOVAL OF HEMORRHOID CLOT,190
HC Removal of impacted wax md,68
HC REMOVAL OF NAIL BED,73
HC REMOVAL OF NAIL PLATE,74
HC Removal of salivary stone,2375
HC Removal of salivary stone,2375
HC REMOVAL OF SKIN TAGS <W/15,182
HC Removal of sperm duct(s),1831
HC Removal of support implant,1456
HC REMOVAL TUNNELED CV CATH,662
HC Remove contraceptive capsule,258
HC REMOVE DRUG IMPLANT DEVICE,356
HC Remove ear lesion,1229
HC REMOVE FOREIGN BODY,115
HC REMOVE FOREIGN BODY,127
HC REMOVE IMPACTED EAR WAX UNI,36
HC REMOVE INTRAUTERINE DEVICE,174
HC REMOVE NASAL FOREIGN BODY,144
HC REMOVE SKIN TAGS ADD-ON,11
HC Remove vagina lesion,2455
HC Remove ventilating tube,2375
HC REMOVE/INSERT DRUG IMPLANT,356
HC Repair of eardrum,2375
HC Repeat control of nosebleed,162
HC Replace cvad cath,124
HC Reprogram cochlear implt 7/>,113
HC Respiratory flow volume loop,269
HC Revision of upper eyelid,1694
HC REVISION SPINAL NEUROSTIM ELECTRODE PERC ARRAY  INCL FLUORO,6540
HC RFL&MAIN IMPLT PMP/RSVR DLVR SPI/BRN PHY/QHP,264
HC Rh ig full-dose im,170
HC Rho d immune globulin inj,180
HC Ringers lactate infusion,3
HC Riv3 vaccine no preserv im,95
HC RIV4 VACC RECOMBINANT DNA IM,120
HC RMVL DEVITAL TIS 20 CM/<,168.95
HC RMVL DEVITAL TIS ADDL 20CM/<,116
HC ROMIPLOSTIM INJECTION,115
HC ROUTINE FOOTCARE PT W LOPS,81
HC ROUTINE VENIPUNCTURE,20
HC Rpr f/e/e/n/l/m 2.5 cm/<,139
HC RPR S/N/AX/GEN/TRK7.6-12.5CM,137
HC Rpr s/n/ax/gen/trnk 2.5cm/<,136
HC Rv1 vacc 2 dose live oral,210
HC RV5 VACC 3 DOSE LIVE ORAL,160
HC SARGRAMOSTIM INJECTION,55
HC SC THER INFUSION UP TO 1 HR,400
HC Scan proc cranial extra,450
HC SERIAL TONOMETRY EXAM(S),132
HC Shave skin lesion >2.0 cm,127
HC Shave skin lesion >2.0 cm,336
HC Shave skin lesion >2.0 cm,119
HC SHAVE SKIN LESION 0.5 CM/<,182
HC Shave skin lesion 0.5 cm/<,182
HC Shave skin lesion 0.5 cm/<,182
HC Shave skin lesion 0.6-1.0 cm,182
HC Shave skin lesion 0.6-1.0 cm,182
HC Shave skin lesion 0.6-1.0 cm,182
HC Shave skin lesion 1.1-2.0 cm,182
HC Shave skin lesion 1.1-2.0 cm,187
HC Shave skin lesion 1.1-2.0 cm,123
HC SHOULDER SURG PROC UNLISTED,232
HC SIGMOIDOSCOPY AND BIOPSY,767
HC Sigmoidoscopy for bleeding,147
HC Sigmoidoscopy w/tumr remove,276
HC SINUS ENDO W/BALLOON DIL,5253
HC SINUS ENDO W/BALLOON DIL,5253
HC SINUS ENDO W/BALLOON DIL,5253
HC Skin full graft add-on,611
HC Skin full graft een  lips,1694
HC Skin full graft sclp/arm/leg,1694
HC Skin full graft trunk,1694
HC Skin full grft face/genit/hf,1694
HC Skin fungi culture,30
HC Skin peel therapy,151
HC SKIN SUB GRAFT TRNK/ARM/LEG,109
HC Skin test candida,30
HC Skyla  13.5 mg,1300
HC SLCTV CATH CAROTID/INNOM ART ANGIO XTRCRANL ART,2692
HC Slitting of prepuce,297
HC SMALL BOWEL ENDOSCOPY,896
HC SMEAR GRAM STAIN,16
HC Smear special stain,31
HC SMEAR WET MOUNT SALINE/INK,16
HC Special stains group 1,48
HC Special stains group 2,34
HC Speech audiometry complete,70
HC Speech evaluation complex,251
HC Speech threshold audiometry,30
HC SPIN/BRAIN PUMP REFIL & MAIN,180
HC SPINAL FLUID TAP DIAGNOSTIC,587
HC STAB PHLEB VEINS XTR 10-20,362
HC Stenger test pure tone,35
HC Stereoscopic x-ray guidance,55
HC Straight tip urine catheter,5
HC STREP A ASSAY W/OPTIC,30
HC Streptokinase antibody,25
HC Stress tte complete,565
HC Stress tte only,290
HC Surgical trays,200
HC SYNVISC OR SYNVISC-ONE,25
HC TB INTRADERMAL TEST,25
HC Tc99m labeled rbc,220
HC Tc99m pertechnetate,40
HC Tc99m sestamibi,190
HC Tcranial magn stim tx deli,325
HC TD VACC NO PRESV 7 YRS+ IM,40
HC TDAP VACCINE 7 YRS/> IM,80
HC TEST AUTO NERV SYS SUDOMOTOR,113
HC Testosterone undecanoate 1mg,5
HC THER INJECTION CARP TUNNEL,47
HC THER/PROPH/DIAG INJ SC/IM,50
HC Ther/proph/diag iv inf init,135
HC Throat x-ray & fluoroscopy,165
HC Thromboplastin time partial,16
HC THYROTROPIN INJECTION,1575
HC Tinnitus assessment,83
HC Tis trnfr trunk 10 sq cm/<,1568.43
HC Tissue exam by pathologist,97
HC Tissue exam by pathologist,48
HC TISSUE EXAM FOR FUNGI,30
HC Tone decay hearing test,45
HC TRANS CARE MGMT 14 DAY DISCH,131
HC TRANS CARE MGMT 7 DAY DISCH,123
HC Transabdom amnioinfus w/us,933
HC TRANSECT GREAT OCCIPITAL NERV,1739
HC Transvaginal us non-ob,150
HC Transvaginal us obstetric,124
HC Treat eyelid lesion,336
HC TREAT KNEECAP FRACTURE,47
HC Treat metacarpal fracture,62
HC Treat metatarsal fracture,255
HC Treatment of ankle fracture,381
HC TREATMENT OF ANKLE FRACTURE,64
HC Treatment of bladder lesion,266
HC TREATMENT OF MISCARRIAGE,85
HC Treatment of penis lesion,208
HC Treatment of toe fracture,232
HC Triamcinolone a inj prs-free,5
HC TRIAMCINOLONE ACET INJ NOS,15
HC TRIAMCINOLONE HEXACETONL INJ,5
HC TRICHOGRAM,15
HC Trim nail(s),17
HC TRIM NAIL(S) ANY NUMBER,18
HC TRIM SKIN LESION,73
HC TRIM SKIN LESIONS 2 TO 4,61
HC Triptorelin pamoate,1100
HC Tte f-up or lmtd,180
HC Tte w/o doppler complete,375
HC Tx contour defects 1 cc/<,462
HC Tx/pro/dx inj new drug addon,50
HC Tx/proph/dg addl seq iv inf,75
HC Tympanometry,38
HC Tympanometry & reflex thresh,55
HC TYPHOID VACCINE IM,160
HC Ultraviolet light therapy,35
HC Umbilical artery echo,235
HC Upper extremity study,75
HC Uppr gi scope w/submuc inj,475
HC Upr/l xtremity art 2 levels,105
HC Upr/lxtr art stdy 3+ lvls,125
HC URINALYSIS,15
HC URINALYSIS AUTO W/O SCOPE,10
HC URINALYSIS AUTO W/SCOPE,10
HC URINALYSIS NONAUTO W/O SCOPE,15
HC URINALYSIS NONAUTO W/SCOPE,20
HC Urinary reflex study,60
HC URINARY SYNTH IMPLNT,366.3
HC Urine culture/colony count,25
HC URINE PREGNANCY TEST,25
HC Us exam abdom complete,165
HC Us exam of head and neck,150
HC Us exam pelvic complete,150
HC Us exam pelvic limited,124
HC Us transrectal,124
HC US URINE CAPACITY MEASURE,60
HC Us xtr non-vasc complete,124
HC US XTR NON-VASC LMTD,124
HC Ustekinumab sub cu inj  1 mg,325
HC VALRUBICIN INJ INTRAVESICAL 200 MG,2000
HC Var vaccine live subq,215
HC Vascular study,290
HC Vascular study,280
HC Visual audiometry (vra),101
HC Visualization of windpipe,533
HC Vitamin b-12,40
HC VITAMIN B12 INJECTION,10
HC Wet mounts/ w preparations,25
HC Withdrawal of arterial blood,24
HC Wound prep f/n/hf/g,527
HC X-ray exam of teeth,30
HC X-ray exam of teeth,70
HC X-ray head for orthodontia,40
HC X-ray urethra/bladder,105
HC Zoledronic acid 1mg,265
