Description,Typical Charges,Average Insured Patient Responsibility
Minor Bladder Procedures W Cc,"$95,739 ",
Minor Bladder Procedures W Mcc,"$186,783 ",$0 
Minor Bladder Procedures W/O Cc/Mcc,"$83,732 ","$1,884 "
Minor Skin Disorders W Mcc,"$34,520 ",$125 
Minor Skin Disorders W/O Mcc,"$22,898 ",$864 
Minor Small  Large Bowel Procedures W Cc,"$74,112 ",$633 
Minor Small  Large Bowel Procedures W Mcc,"$46,390 ",
Minor Small  Large Bowel Procedures W/O Cc/Mcc,"$53,127 ",$0 
"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W Mcc","$55,855 ",$175 
"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W/O Mcc","$28,326 ",$295 
Mouth Procedures W Cc/Mcc,"$63,016 ",$603 
Mouth Procedures W/O Cc/Mcc,"$47,247 ","$1,132 "
Multiple Sclerosis  Cerebellar Ataxia W Cc,"$58,316 ",$314 
Multiple Sclerosis  Cerebellar Ataxia W Mcc,"$110,540 ",$857 
Multiple Sclerosis  Cerebellar Ataxia W/O Cc/Mcc,"$43,637 ",$649 
Myeloprolif Disord Or Poorly Diff Neopl W Maj O.R. Proc W Cc,"$138,043 ",$2 
Myeloprolif Disord Or Poorly Diff Neopl W Maj O.R. Proc W Mcc,"$199,033 ",$114 
Myeloprolif Disord Or Poorly Diff Neopl W Maj O.R. Proc W/O Cc/Mcc,"$109,467 ",$690 
Myeloproliferative Disorders Or Poorly Differentiated Neoplasms W Other Procedure W Cc/Mcc,"$184,648 ",$0 
Neonate W Other Significant Problems,"$9,735 ",$714 
"Neonates, Died Or Transferred To Another Acute Care Facility","$344,461 ",$676 
Nervous System Neoplasms W Mcc,"$64,461 ",$316 
Nervous System Neoplasms W/O Mcc,"$42,450 ",$661 
Neurological Eye Disorders,"$48,328 ","$1,114 "
Neuroses Except Depressive,"$24,823 ",$0 
Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W Cc,"$89,021 ",$809 
Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W Mcc,"$187,950 ",$601 
Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W/O Cc/Mcc,"$85,371 ",$498 
Non-Extensive Burns,"$17,193 ",$842 
Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Cc,"$79,664 ",$373 
Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Mcc,"$183,734 ",$377 
Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W/O Cc/Mcc,"$50,806 ",$946 
Non-Malignant Breast Disorders W Cc/Mcc,"$44,999 ",$100 
Non-Malignant Breast Disorders W/O Cc/Mcc,"$27,488 ","$1,019 "
Nonspecific Cerebrovascular Disorders W Cc,"$44,407 ",$596 
Nonspecific Cerebrovascular Disorders W Mcc,"$82,020 ",$251 
Nonspecific Cerebrovascular Disorders W/O Cc/Mcc,"$29,383 ",$591 
Nonspecific Cva  Precerebral Occlusion W/O Infarct W Mcc,"$31,717 ",$300 
Nonspecific Cva  Precerebral Occlusion W/O Infarct W/O Mcc,"$57,600 ",$565 
Nontraumatic Stupor  Coma W Mcc,"$29,676 ",$762 
Nontraumatic Stupor  Coma W/O Mcc,"$74,168 ",$450 
Normal Newborn,"$2,792 ",$354 
O.R. Proc W Diagnoses Of Other Contact W Health Services W Cc,"$80,014 ",$75 
O.R. Proc W Diagnoses Of Other Contact W Health Services W Mcc,"$97,086 ",$0 
O.R. Proc W Diagnoses Of Other Contact W Health Services W/O Cc/Mcc,"$106,822 ",
O.R. Procedure W Principal Diagnoses Of Mental Illness,"$200,117 ",$454 
O.R. Procedures For Obesity W Cc,"$92,710 ","$1,069 "
O.R. Procedures For Obesity W Mcc,"$468,948 ","$1,319 "
O.R. Procedures For Obesity W/O Cc/Mcc,"$81,312 ","$1,261 "
Orbital Procedures W Cc/Mcc,"$104,951 ",$454 
Orbital Procedures W/O Cc/Mcc,"$109,601 ",$766 
Organic Disturbances  Intellectual Disability,"$40,125 ",$47 
Osteomyelitis W Cc,"$40,871 ",$727 
Osteomyelitis W Mcc,"$58,944 ",$395 
Osteomyelitis W/O Cc/Mcc,"$32,169 ",$600 
Other Antepartum Diagnoses W Medical Complications,"$27,708 ",$785 
Other Antepartum Diagnoses W/O Medical Complications,"$27,170 ",$634 
Other Cardiothoracic Procedures W Mcc,"$394,803 ",$363 
Other Cardiothoracic Procedures W/O Mcc,"$225,876 ",$184 
Other Circulatory System Diagnoses W Cc,"$48,612 ",$252 
Other Circulatory System Diagnoses W Mcc,"$90,082 ",$190 
Other Circulatory System Diagnoses W/O Cc/Mcc,"$34,660 ",$297 
Other Circulatory System O.R. Procedures,"$206,386 ",$367 
Other Digestive System Diagnoses W Cc,"$39,318 ",$233 
Other Digestive System Diagnoses W Mcc,"$92,663 ",$151 
Other Digestive System Diagnoses W/O Cc/Mcc,"$26,959 ","$1,020 "
Other Digestive System O.R. Procedures W Cc,"$73,312 ",$0 
Other Digestive System O.R. Procedures W Mcc,"$136,580 ",$385 
Other Digestive System O.R. Procedures W/O Cc/Mcc,"$56,379 ",$0 
Other Disorders Of Nervous System W Cc,"$57,478 ",$342 
Other Disorders Of Nervous System W Mcc,"$72,658 ",$318 
Other Disorders Of Nervous System W/O Cc/Mcc,"$35,559 ",$385 
Other Disorders Of The Eye W Mcc,"$31,187 ",$228 
Other Disorders Of The Eye W/O Mcc,"$24,443 ",$606 
"Other Ear, Nose, Mouth  Throat Diagnoses W Cc","$35,906 ",$824 
"Other Ear, Nose, Mouth  Throat Diagnoses W Mcc","$57,082 ",$376 
"Other Ear, Nose, Mouth  Throat Diagnoses W/O Cc/Mcc","$30,537 ","$1,124 "
"Other Ear, Nose, Mouth  Throat O.R. Procedures W Cc/Mcc","$135,410 ",$768 
"Other Ear, Nose, Mouth  Throat O.R. Procedures W/O Cc/Mcc","$62,175 ",$397 
"Other Endocrine, Nutrit  Metab O.R. Proc W Cc","$112,004 ","$9,153 "
"Other Endocrine, Nutrit  Metab O.R. Proc W Mcc","$212,459 ",($697)
"Other Endocrine, Nutrit  Metab O.R. Proc W/O Cc/Mcc","$93,069 ",$0 
Other Factors Influencing Health Status,"$101,385 ",$22 
Other Female Reproductive System O.R. Procedures W Cc/Mcc,"$77,849 ",$0 
Other Female Reproductive System O.R. Procedures W/O Cc/Mcc,"$104,647 ","$1,680 "
Other Heart Assist System Implant,"$396,706 ",$349 
Other Hepatobiliary Or Pancreas O.R. Procedures W Cc,"$79,223 ",$0 
Other Hepatobiliary Or Pancreas O.R. Procedures W Mcc,"$198,534 ",$0 
Other Infectious  Parasitic Diseases Diagnoses W Cc,"$52,378 ",$827 
Other Infectious  Parasitic Diseases Diagnoses W Mcc,"$132,147 ",$532 
Other Infectious  Parasitic Diseases Diagnoses W/O Cc/Mcc,"$33,339 ","$1,919 "
"Other Injury, Poisoning  Toxic Effect Diag W Mcc","$75,039 ",$611 
"Other Injury, Poisoning  Toxic Effect Diag W/O Mcc","$31,264 ","$1,328 "
Other Kidney  Urinary Tract Diagnoses W Cc,"$50,450 ",$247 
Other Kidney  Urinary Tract Diagnoses W Mcc,"$59,257 ",$63 
Other Kidney  Urinary Tract Diagnoses W/O Cc/Mcc,"$65,551 ",$794 
Other Kidney  Urinary Tract Procedures W Cc,"$95,186 ",$664 
Other Kidney  Urinary Tract Procedures W Mcc,"$182,421 ",$103 
Other Kidney  Urinary Tract Procedures W/O Cc/Mcc,"$81,589 ",$117 
Other Major Cardiovascular Procedures W Cc,"$126,739 ","$1,785 "
Other Major Cardiovascular Procedures W Mcc,"$253,122 ",$441 
Other Major Cardiovascular Procedures W/O Cc/Mcc,"$119,831 ",$399 
Other Male Reproductive System Diagnoses W Cc/Mcc,"$53,101 ",$913 
Other Male Reproductive System Diagnoses W/O Cc/Mcc,"$30,893 ",$909 
Other Male Reproductive System O.R. Proc Exc Malignancy W Cc/Mcc,"$116,330 ",$0 
Other Male Reproductive System O.R. Proc For Malignancy W Cc/Mcc,"$101,234 ",$0 
Other Mental Disorder Diagnoses,"$33,713 ",$200 
Other Multiple Significant Trauma W Cc,"$61,402 ",$884 
Other Multiple Significant Trauma W Mcc,"$124,004 ",$488 
Other Multiple Significant Trauma W/O Cc/Mcc,"$33,602 ",$397 
Other Musculoskelet Sys  Conn Tiss O.R. Proc W Cc,"$129,974 ",$565 
Other Musculoskelet Sys  Conn Tiss O.R. Proc W Mcc,"$160,349 ",$225 
Other Musculoskelet Sys  Conn Tiss O.R. Proc W/O Cc/Mcc,"$90,453 ",$766 
Other Musculoskeletal Sys  Connective Tissue Diagnoses W Cc,"$43,287 ",$370 
Other Musculoskeletal Sys  Connective Tissue Diagnoses W Mcc,"$64,403 ","$1,145 "
Other Musculoskeletal Sys  Connective Tissue Diagnoses W/O Cc/Mcc,"$52,119 ",$0 
Other Myeloprolif Dis Or Poorly Diff Neopl Diag W Cc,"$65,445 ",$0 
Other Myeloprolif Dis Or Poorly Diff Neopl Diag W Mcc,"$109,604 ","$2,242 "
Other Myeloprolif Dis Or Poorly Diff Neopl Diag W/O Cc/Mcc,"$71,128 ","$3,235 "
Other O.R. Proc Of The Blood  Blood Forming Organs W Cc,"$107,587 ","$1,148 "
Other O.R. Proc Of The Blood  Blood Forming Organs W Mcc,"$198,012 ",$0 
Other O.R. Proc Of The Blood  Blood Forming Organs W/O Cc/Mcc,"$74,407 ",$0 
Other O.R. Procedures For Injuries W Cc,"$98,084 ",$582 
Other O.R. Procedures For Injuries W Mcc,"$196,186 ",$657 
Other O.R. Procedures For Injuries W/O Cc/Mcc,"$59,979 ",$524 
Other O.R. Procedures For Multiple Significant Trauma W Cc,"$203,516 ",$686 
Other O.R. Procedures For Multiple Significant Trauma W Mcc,"$376,852 ",$458 
Other O.R. Procedures For Multiple Significant Trauma W/O Cc/Mcc,"$132,789 ",$500 
Other Resp System O.R. Procedures W Cc,"$94,891 ",$623 
Other Resp System O.R. Procedures W Mcc,"$185,782 ",$34 
Other Resp System O.R. Procedures W/O Cc/Mcc,"$77,258 ",$273 
Other Respiratory System Diagnoses W Mcc,"$59,776 ",$293 
Other Respiratory System Diagnoses W/O Mcc,"$36,868 ",$365 
"Other Skin, Subcut Tiss  Breast Proc W Cc","$68,056 ",$402 
"Other Skin, Subcut Tiss  Breast Proc W Mcc","$116,896 ",$453 
"Other Skin, Subcut Tiss  Breast Proc W/O Cc/Mcc","$69,776 ",$515 
Other Vascular Procedures W Cc,"$121,857 ",$464 
Other Vascular Procedures W Mcc,"$192,288 ",$171 
Other Vascular Procedures W/O Cc/Mcc,"$111,629 ",$114 
Otitis Media  Uri W Mcc,"$46,949 ",$619 
Otitis Media  Uri W/O Mcc,"$16,755 ",$792 
"Pancreas, Liver  Shunt Procedures W Cc","$170,986 ",$538 
"Pancreas, Liver  Shunt Procedures W Mcc","$248,655 ",$81 
"Pancreas, Liver  Shunt Procedures W/O Cc/Mcc","$109,829 ","$1,020 "
Pathological Fractures  Musculoskelet  Conn Tiss Malig W Cc,"$58,523 ",$95 
Pathological Fractures  Musculoskelet  Conn Tiss Malig W Mcc,"$79,330 ",$336 
Pathological Fractures  Musculoskelet  Conn Tiss Malig W/O Cc/Mcc,"$54,346 ",$258 
"Pelvic Evisceration, Rad Hysterectomy  Rad Vulvectomy W/O Cc/Mcc","$85,533 ",$0 
Penis Procedures W Cc/Mcc,"$166,769 ","$2,078 "
Penis Procedures W/O Cc/Mcc,"$34,492 ",$0 
Perc Cardiovasc Proc W Drug-Eluting Stent W/O Mcc,"$79,362 ",$766 
Perc Cardiovasc Proc W Non-Drug-Eluting Stent W/O Mcc,"$69,056 ",$0 
Perc Cardiovasc Proc W/O Coronary Artery Stent W Mcc,"$172,737 ",$0 
Perc Cardiovasc Proc W/O Coronary Artery Stent W/O Mcc,"$77,299 ",$607 
Percutaneous Cardiovascular Procedures W Drug-Eluting Stent W Mcc Or 4+ Arteries Or Stents,"$123,333 ",$282 
Percutaneous Cardiovascular Procedures W Non-Drug-Eluting Stent W Mcc Or 4+ Arteries Or Stents,"$95,458 ","$1,107 "
Percutaneous Intracardiac Procedures W Mcc,"$215,300 ","$1,337 "
Percutaneous Intracardiac Procedures W/O Mcc,"$138,854 ",$324 
Periph/Cranial Nerve  Other Nerv Syst Proc W Cc Or Periph Neurostim,"$102,415 ",$734 
Periph/Cranial Nerve  Other Nerv Syst Proc W Mcc,"$152,643 ",$287 
Periph/Cranial Nerve  Other Nerv Syst Proc W/O Cc/Mcc,"$112,089 ",$418 
Peripheral Vascular Disorders W Cc,"$48,301 ",$518 
Peripheral Vascular Disorders W Mcc,"$101,563 ",$483 
Peripheral Vascular Disorders W/O Cc/Mcc,"$35,238 ",$313 
Peritoneal Adhesiolysis W Cc,"$120,192 ",$733 
Peritoneal Adhesiolysis W Mcc,"$395,685 ",$77 
Peritoneal Adhesiolysis W/O Cc/Mcc,"$90,496 ",$993 
Permanent Cardiac Pacemaker Implant W Cc,"$73,078 ",$508 
Permanent Cardiac Pacemaker Implant W Mcc,"$199,563 ",$195 
Permanent Cardiac Pacemaker Implant W/O Cc/Mcc,"$44,836 ","$1,372 "
Pleural Effusion W Cc,"$42,447 ",$148 
Pleural Effusion W Mcc,"$56,907 ",$177 
Pleural Effusion W/O Cc/Mcc,"$23,776 ","$1,235 "
Pneumothorax W Cc,"$43,823 ",$827 
Pneumothorax W Mcc,"$67,114 ",$204 
Pneumothorax W/O Cc/Mcc,"$19,553 ",$280 
Poisoning  Toxic Effects Of Drugs W Mcc,"$65,268 ","$1,063 "
Poisoning  Toxic Effects Of Drugs W/O Mcc,"$33,148 ",$857 
Postoperative  Post-Traumatic Infections W Mcc,"$48,558 ",$378 
Postoperative  Post-Traumatic Infections W/O Mcc,"$54,276 ",$135 
Postoperative Or Post-Traumatic Infections W O.R. Proc W Cc,"$116,133 ",$244 
Postoperative Or Post-Traumatic Infections W O.R. Proc W Mcc,"$244,645 ",$200 
Postoperative Or Post-Traumatic Infections W O.R. Proc W/O Cc/Mcc,"$76,954 ",$499 
Postpartum  Post Abortion Diagnoses W O.R. Procedure,"$95,774 ","$1,535 "
Postpartum  Post Abortion Diagnoses W/O O.R. Procedure,"$23,694 ",$700 
Prematurity W Major Problems,"$162,872 ","$1,395 "
Prematurity W/O Major Problems,"$28,640 ",$891 
Psychoses,"$45,650 ",$488 
Pulmonary Edema  Respiratory Failure,"$44,636 ",$457 
Pulmonary Embolism W Mcc,"$74,785 ",$301 
Pulmonary Embolism W/O Mcc,"$42,152 ",$379 
Rectal Resection W/O Cc/Mcc,"$49,890 ",$400 
Red Blood Cell Disorders W Mcc,"$62,545 ",$426 
Red Blood Cell Disorders W/O Mcc,"$25,473 ",$301 
Renal Failure W Cc,"$32,368 ",$260 
Renal Failure W Mcc,"$69,067 ",$246 
Renal Failure W/O Cc/Mcc,"$21,397 ",$83 
Respiratory Infections  Inflammations W Cc,"$38,266 ",$523 
Respiratory Infections  Inflammations W Mcc,"$73,086 ",$431 
Respiratory Infections  Inflammations W/O Cc/Mcc,"$26,532 ",$736 
Respiratory Neoplasms W Cc,"$41,163 ",$680 
Respiratory Neoplasms W Mcc,"$48,275 ",$0 
Respiratory Neoplasms W/O Cc/Mcc,"$20,763 ",$0 
Respiratory Signs  Symptoms,"$33,436 ",$331 
Respiratory System Diagnosis W Ventilator Support <=96 Hours,"$76,336 ",$348 
Respiratory System Diagnosis W Ventilator Support >96 Hours,"$206,376 ",$103 
Reticuloendothelial  Immunity Disorders W Cc,"$35,709 ",$614 
Reticuloendothelial  Immunity Disorders W Mcc,"$75,266 ",$454 
Reticuloendothelial  Immunity Disorders W/O Cc/Mcc,"$16,377 ","$2,247 "
Revision Of Hip Or Knee Replacement W Cc,"$117,560 ",$306 
Revision Of Hip Or Knee Replacement W Mcc,"$185,627 ","$2,163 "
Revision Of Hip Or Knee Replacement W/O Cc/Mcc,"$99,154 ",$490 
Salivary Gland Procedures,"$22,018 ",$0 
Seizures W Mcc,"$66,331 ",$413 
Seizures W/O Mcc,"$38,125 ",$874 
Septic Arthritis W Cc,"$129,768 ",$0 
Septic Arthritis W Mcc,"$70,965 ",$0 
Septic Arthritis W/O Cc/Mcc,"$26,380 ","$1,761 "
Septicemia Or Severe Sepsis W Mv >96 Hours,"$266,887 ",$165 
Septicemia Or Severe Sepsis W/O Mv >96 Hours W Mcc,"$83,835 ",$283 
Septicemia Or Severe Sepsis W/O Mv >96 Hours W/O Mcc,"$39,993 ",$628 
"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W Cc","$108,008 ",$641 
"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W Mcc","$139,629 ","$1,795 "
"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W/O Cc/Mcc","$73,400 ",$947 
Signs  Symptoms Of Musculoskeletal System  Conn Tissue W Mcc,"$58,511 ",
Signs  Symptoms Of Musculoskeletal System  Conn Tissue W/O Mcc,"$32,005 ",$448 
Signs  Symptoms W Mcc,"$36,208 ",$0 
Signs  Symptoms W/O Mcc,"$31,279 ",$216 
Simple Pneumonia  Pleurisy W Cc,"$24,764 ",$411 
Simple Pneumonia  Pleurisy W Mcc,"$38,000 ",$482 
Simple Pneumonia  Pleurisy W/O Cc/Mcc,"$13,799 ",$367 
Simultaneous Pancreas/Kidney Transplant,"$560,115 ",$0 
Sinus  Mastoid Procedures W Cc/Mcc,"$92,182 ","$1,037 "
Sinus  Mastoid Procedures W/O Cc/Mcc,"$113,524 ",$613 
Skin Debridement W Cc,"$88,053 ",$694 
Skin Debridement W Mcc,"$97,554 ",$0 
Skin Debridement W/O Cc/Mcc,"$127,916 ",$126 
Skin Graft Exc For Skin Ulcer Or Cellulitis W Cc,"$175,453 ","$1,100 "
Skin Graft Exc For Skin Ulcer Or Cellulitis W Mcc,"$364,497 ",$214 
Skin Graft Exc For Skin Ulcer Or Cellulitis W/O Cc/Mcc,"$131,033 ",$375 
Skin Graft For Skin Ulcer Or Cellulitis W Cc,"$101,257 ",$0 
Skin Graft For Skin Ulcer Or Cellulitis W Mcc,"$71,299 ",$0 
"Skin Grafts  Wound Debrid For Endoc, Nutrit  Metab Dis W Cc","$49,165 ",$0 
"Skin Grafts  Wound Debrid For Endoc, Nutrit  Metab Dis W Mcc","$108,250 ",
Skin Grafts For Injuries W Cc/Mcc,"$264,584 ",$253 
Skin Grafts For Injuries W/O Cc/Mcc,"$74,053 ",$364 
Skin Ulcers W Cc,"$40,876 ",$0 
Skin Ulcers W Mcc,"$54,735 ","$1,897 "
Skin Ulcers W/O Cc/Mcc,"$15,717 ",$350 
Soft Tissue Procedures W Cc,"$87,191 ",$811 
Soft Tissue Procedures W Mcc,"$169,384 ","$1,045 "
Soft Tissue Procedures W/O Cc/Mcc,"$93,400 ",$780 
Spinal Disorders  Injuries W Cc/Mcc,"$136,596 ",$0 
Spinal Disorders  Injuries W/O Cc/Mcc,"$64,477 ",$175 
Spinal Fus Exc Cerv W Spinal Curv/Malig/Infec Or Ext Fus W Cc,"$246,985 ","$1,171 "
Spinal Fus Exc Cerv W Spinal Curv/Malig/Infec Or Ext Fus W Mcc,"$294,011 ",$207 
Spinal Fus Exc Cerv W Spinal Curv/Malig/Infec Or Ext Fus W/O Cc/Mcc,"$237,493 ",$510 
Spinal Fusion Except Cervical W Mcc,"$244,660 ",$191 
Spinal Fusion Except Cervical W/O Mcc,"$148,222 ",$393 
Spinal Procedures W Cc Or Spinal Neurostimulators,"$117,693 ",$497 
Spinal Procedures W Mcc,"$204,977 ",$352 
Spinal Procedures W/O Cc/Mcc,"$84,178 ",$571 
Splenectomy W Cc,"$122,984 ",$612 
Splenectomy W Mcc,"$364,244 ",$0 
Splenectomy W/O Cc/Mcc,"$95,387 ",$500 
"Sprains, Strains,  Dislocations Of Hip, Pelvis  Thigh W Cc/Mcc","$68,177 ",$0 
"Stomach, Esophageal  Duodenal Proc W Cc","$147,741 ",$753 
"Stomach, Esophageal  Duodenal Proc W Mcc","$348,150 ",$238 
"Stomach, Esophageal  Duodenal Proc W/O Cc/Mcc","$77,557 ",$819 
Syncope  Collapse,"$31,989 ",$279 
"Tendonitis, Myositis  Bursitis W Mcc","$26,291 ",$0 
"Tendonitis, Myositis  Bursitis W/O Mcc","$23,151 ",$604 
Testes Procedures W Cc/Mcc,"$83,271 ","$2,426 "
Testes Procedures W/O Cc/Mcc,"$39,938 ","$1,648 "
Threatened Abortion,"$12,485 ","$1,143 "
"Thyroid, Parathyroid  Thyroglossal Procedures W Cc","$98,587 ",$503 
"Thyroid, Parathyroid  Thyroglossal Procedures W Mcc","$137,572 ",$447 
"Thyroid, Parathyroid  Thyroglossal Procedures W/O Cc/Mcc","$70,632 ",$408 
"Trach W Mv >96 Hrs Or Pdx Exc Face, Mouth  Neck W/O Maj O.R.","$522,405 ",$254 
"Tracheostomy For Face,Mouth  Neck Diagnoses W Cc","$227,283 ",$363 
"Tracheostomy For Face,Mouth  Neck Diagnoses W Mcc","$242,356 ",$476 
"Tracheostomy For Face,Mouth  Neck Diagnoses W/O Cc/Mcc","$180,591 ",$785 
Transient Ischemia W/O Thrombolytic,"$46,729 ",$445 
Transurethral Procedures W Cc,"$65,205 ",$219 
Transurethral Procedures W Mcc,"$196,609 ",$0 
Transurethral Procedures W/O Cc/Mcc,"$67,476 ",$0 
Transurethral Prostatectomy W Cc/Mcc,"$72,850 ",$328 
Transurethral Prostatectomy W/O Cc/Mcc,"$51,075 ",$986 
"Trauma To The Skin, Subcut Tiss  Breast W Mcc","$78,034 ",$161 
"Trauma To The Skin, Subcut Tiss  Breast W/O Mcc","$38,764 ",$559 
Traumatic Injury W Mcc,"$168,892 ",$13 
Traumatic Injury W/O Mcc,"$29,805 ","$1,107 "
"Traumatic Stupor  Coma, Coma <1 Hr W Cc","$43,522 ",$512 
"Traumatic Stupor  Coma, Coma <1 Hr W Mcc","$71,003 ",$299 
"Traumatic Stupor  Coma, Coma <1 Hr W/O Cc/Mcc","$28,980 ",$771 
"Traumatic Stupor  Coma, Coma >1 Hr W Cc","$53,224 ",$502 
"Traumatic Stupor  Coma, Coma >1 Hr W Mcc","$75,425 ",$626 
"Traumatic Stupor  Coma, Coma >1 Hr W/O Cc/Mcc","$34,040 ",$637 
Uncomplicated Peptic Ulcer W Mcc,"$32,098 ",$0 
Uncomplicated Peptic Ulcer W/O Mcc,"$36,711 ",$226 
Upper Limb  Toe Amputation For Circ System Disorders W Cc,"$46,830 ",$0 
Upper Limb  Toe Amputation For Circ System Disorders W Mcc,"$63,350 ",$616 
Urethral Procedures W/O Cc/Mcc,"$63,770 ",$0 
Urethral Stricture,"$11,174 ",$0 
Urinary Stones W/O Esw Lithotripsy W Mcc,"$26,977 ",$0 
Urinary Stones W/O Esw Lithotripsy W/O Mcc,"$35,930 ",$390 
Uterine  Adnexa Proc For Non-Malignancy W Cc/Mcc,"$91,073 ","$1,026 "
Uterine  Adnexa Proc For Non-Malignancy W/O Cc/Mcc,"$73,679 ","$1,112 "
Uterine  Adnexa Proc For Ovarian Or Adnexal Malignancy W Cc,"$109,701 ",$236 
Uterine  Adnexa Proc For Ovarian Or Adnexal Malignancy W Mcc,"$164,742 ",$0 
Uterine  Adnexa Proc For Ovarian Or Adnexal Malignancy W/O Cc/Mcc,"$87,245 ",$767 
"Uterine,Adnexa Proc For Non-Ovarian/Adnexal Malig W Cc","$121,701 ",$871 
"Uterine,Adnexa Proc For Non-Ovarian/Adnexal Malig W Mcc","$219,426 ","$1,043 "
"Uterine,Adnexa Proc For Non-Ovarian/Adnexal Malig W/O Cc/Mcc","$90,772 ",$420 
"Vagina, Cervix  Vulva Procedures W Cc/Mcc","$102,679 ",$504 
"Vagina, Cervix  Vulva Procedures W/O Cc/Mcc","$57,817 ",$86 
Vaginal Delivery W Complicating Diagnoses,"$19,500 ","$1,229 "
Vaginal Delivery W O.R. Proc Except Steril /Or Dc,"$45,461 ","$1,120 "
Vaginal Delivery W Sterilization /Or Dc,"$35,872 ","$1,231 "
Vaginal Delivery W/O Complicating Diagnoses,"$15,662 ","$1,111 "
Vein Ligation  Stripping,"$87,108 ",$0 
Ventricular Shunt Procedures W Cc,"$81,396 ",$800 
Ventricular Shunt Procedures W Mcc,"$127,832 ","$1,705 "
Ventricular Shunt Procedures W/O Cc/Mcc,"$67,085 ",$543 
Viral Illness W Mcc,"$33,226 ",$333 
Viral Illness W/O Mcc,"$41,131 ",$317 
Viral Meningitis W Cc/Mcc,"$53,234 ",$845 
Viral Meningitis W/O Cc/Mcc,"$22,975 ",$88 
"Wnd Debrid  Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W Cc","$206,363 ",$212 
"Wnd Debrid  Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W Mcc","$278,418 ",$507 
"Wnd Debrid  Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W/O Cc/Mcc","$146,132 ",$282 
Wound Debridements For Injuries W Cc,"$98,879 ",$540 
Wound Debridements For Injuries W Mcc,"$318,197 ",$4 
Wound Debridements For Injuries W/O Cc/Mcc,"$51,092 ","$1,324 "
