"The University of Texas MD Anderson Cancer Center
Professional Charge List",,,,
Pricing as of December 2018.,,,,
"DISCLAIMER: THIS SITE IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT AN OFFER OR REPRESENTATION OF ACTUAL PRICING FOR SERVICES; MD ANDERSON IS PROVIDING THIS INFORMATION ON AN AS-IS BASIS TO GIVE PATIENTS A GENERAL IDEA OF POTENTIAL CHARGES ASSOCIATED WITH MEDICAL CARE AND DOES NOT WARRANT THE ACCURACY, COMPLETENESS, OR USEFULNESS OF THE INFORMATION PROVIDED.  THIS INFORMATION IS NEITHER INTENDED TO BE NOR SHOULD IT BE CONSIDERED FINANCIAL OR MEDICAL ADVICE.  MD ANDERSON MAKES NO GUARANTEES REGARDING THE CHARGE INFORMATION PROVIDED ON THIS WEBSITE. THE CHARGE INFORMATION IS STRICTLY AN ESTIMATE OF CHARGES AND MD ANDERSON CANNOT GUARANTEE THE ESTIMATES BECAUSE SERVICES RENDERED TO EACH PATIENT AND THEIR COST MAY VARY BECAUSE OF TREATMENT DECISIONS, UNFORESEEN COMPLICATIONS, ADDITIONAL TESTS OR SERVICES ORDERED BY YOUR PHYSICIAN, AND THE INDIVIDUAL NEEDS OF EACH PATIENT. IN ADDITION, ESTIMATES MAY CHANGE BASED ON YOUR CONTRACTED INSURANCE BENEFITS, INSURANCE POLICY EXCLUSIONS, MAXIMUM BENEFITS, PENDING FINANCIAL ASSISTANCE, OR PENDING STATE/FEDERAL PROGRAM OR OTHER AID.",,,,
862,32503,PR RESECT APICAL LUNG TUMOR,"$12,856.00",
863,32504,PR RESECT APICAL LUNG TUM/ CHEST WALL RECONST,"$14,912.00",
864,32505,PR THORACOTOMY W/THERAPEUTIC WEDGE RESEXN INITIAL,"$6,365.00",
865,32506,PR THORACOTOMY W/THERAP WEDGE RESEXN ADDL IPSILATRL,"$1,212.00",
866,32507,PR THORACOTOMY W/DX WEDGE RESEXN &ANTOM LUNG RESEXN,"$1,212.00",
867,32540,PR EXTRAPLEURAL REMV EMPYEMA,"$7,333.00",
868,32550,PR INSERTION INDWELLING TUNNELED PLEURAL CATHETER,"$4,944.00",
869,32551,PR TUBE THORACOSTOMY INCLUDES WATER SEAL,"$1,465.00",
870,32552,PR REMOVAL OF INDWELLING TUNNELED PLEURAL CATHETER WITH CUFF,"$1,139.00",
871,32553,PR PLMT NTRSTL DEV RADJ THX GID PRQ INTRATHRC 1/MLT,"$2,324.79",
872,32554,PR THORACENTESIS NEEDLE/CATH PLEURA W/O IMAGING,"$1,189.00",
873,32555,PR THORACENTESIS NEEDLE/CATH PLEURA W/IMAGING,"$1,100.00",
874,32556,PR PERQ DRAINAGE PLEURA INSERT CATH W/O IMAGING,"$1,256.00",
875,32557,PR PERQ DRAINAGE PLEURA INSERT CATH W/IMAGING,"$1,654.87",
876,32560,PR CHEMICAL PLEURODESIS FOR PERSISTENT PNEUMOTHORAX,$939.00,
877,32561,"PR INSTILL VIA CHEST TUBE AGENT FOR FIBRINOLYSIS, 1ST DAY",$834.00,
878,32562,"PR INSTILL VIA CHEST TUBE AGENT FOR FIBRINOLYSIS, SUBSEQUENT",$531.00,
879,32601,"PR THORACOSCOPY,DX NO BX","$2,200.00",
880,32606,"PR THORACOSCOPY,DX MEDIAST W BX","$2,934.00",
881,32608,PR THORACOSCOPY W/DX BX OF LUNG NODULES UNILATRL,"$2,764.00",
882,32609,PR THORACOSCOPY WITH BIOPSYIES OF PLEURA,"$1,851.00",
883,32650,PR THORACOSCOPY SURG W/PLEURODESIS,"$6,014.00",
884,32651,PR THORACOSCOPY SURG PART PULM DECORT,"$6,233.00",
885,32652,PR THORACOSCOPY SURG TOT PULM DECORT,"$6,578.00",
886,32653,PR THORACOSCOPY SURG REMOV FB INTRAPLEU,"$6,233.00",
887,32656,PR THORACOSCOPY SURG PART PLEURECTOMY,"$6,600.00",
888,32659,PR THORACOSCOPY SURG PERICARD WINDOW,"$7,700.00",
889,32661,PR THORACOSCOPY SURG EXC PERICARD MASS,"$8,800.00",
890,32662,PR THORACOSCOPY SURG EXC MEDIAST MASS,"$8,434.00",
891,32663,PR THORACOSCOPY SURG LOBECTOMY,"$9,533.00",
892,32666,PR THORACOSCOPY W/THERA WEDGE RESEXN INITIAL UNILAT,"$5,860.00",
893,32667,PR THORACOSCOPY W/THERA WEDGE RESEXN ADDL IPSILATRL,"$1,212.00",
894,32668,PR THORACOSCOPY W/DX WEDGE RESEXN ANATO LUNG RESEXN,"$1,212.00",
895,32669,PR THORACOSCOPY W/SEGMENTECTOMY,"$9,509.00",
896,32670,PR THORACOSCOPY W/BILOBECTOMY,"$11,526.00",
897,32673,PR THORACOSCOPY RESEXN THYMUS UNI/BILATERAL,"$8,539.00",
898,32674,PR THORCOSCPY W/MEDIASTINL &REGIONL LYMPHADENECTOMY,"$1,665.00",
899,32810,PR CLOSE CHEST AFTER DRAINAGE,"$4,055.56",
900,32815,PR CLOSE BRONCHIAL FISTULA,"$12,157.26",
901,32900,PR REMOVAL OF RIB(S),"$5,133.00",
902,32994,PR ABLATION THER 1+ PULM TUMORS PERQ CRYOABLATION,"$4,063.00",
903,32998,PR ABLATION THER 1+ PULM TUMORS PERQ RADIOFREQUENCY,"$3,159.00",
904,32999,PB UNLISTED PROCEDURE LUNGS & PLEURA ,$200-$11366,
905,33010,PR PERICARDIOCENTESIS INITIAL,"$1,044.00",
906,33011,PR PERICARDIOCENTESIS SUBSEQUENT,$798.00,
907,33015,PR INCIS HEART SAC TUBE,"$2,011.00",
908,33020,PR INCIS HEART SAC REMV CLOT/FB,"$5,779.00",
909,33025,PR INCIS HEART SAC WINDW FOR DRAIN,"$5,907.00",
910,33030,PR REMOV HEART SAC NO CP BYPASS,"$6,941.00",
911,33031,PR REMOV HEART SAC W CP BYPASS,"$12,200.00",
912,33050,PR REMOVAL HEART SAC LESION,"$6,421.00",
913,33120,PR REMOVAL HEART LESION INTERN,"$14,447.00",
914,33130,PR REMOVAL HEART LESION EXTERN,"$9,631.00",
915,33206,PR INS NEW/RPLCMT PRM PACEMAKR W/TRANS ELTRD ATRIAL,"$5,330.00",
916,33207,PR INS NEW/RPLC PRM PACEMAKER W/TRANSV ELTRD VENTR,"$5,330.00",
917,33208,PR INS NEW/RPLCMT PRM PM W/TRANSV ELTRD ATRIAL&VENT,"$5,779.00",
918,33210,PR INSJ/RPLCMT TEMP TRANSVNS 1CHMBR ELTRD/PM CATH,"$2,376.00",
919,33212,PR INS PM PLS GEN W/EXIST SINGLE LEAD,"$2,633.00",
920,33213,PR INS PACEMAKER PULSE GEN ONLY W/EXIST DUAL LEADS,"$2,826.00",
921,33215,PR REPOSITION TRANSVENOUS ELECTRODE,"$2,931.00",
922,33222,PR RELOCATION OF SKIN POCKET FOR PACEMAKER,"$2,569.00",
923,33223,PR RELOCATE SKIN POCKET IMPLANTABLE DEFIBRILLATOR,"$2,120.00",
924,33225,PR INSJ ELTRD CAR VEN SYS TM INSJ CVDFB/PM PLS GEN,"$3,151.00",
925,33227,PR REMVL PERM PM PLSE GEN W/REPL PLSE GEN SNGL LEAD,"$2,223.00",
926,33228,PR REMVL PERM PM PLS GEN W/REPL PLSE GEN 2 LEAD SYS,"$2,332.00",
927,33229,PR REMVL PERM PM PLS GEN W/REPL PLSE GEN MULT LEAD,"$2,441.00",
928,33241,PR REMOVAL IMPLANTABLE DEFIB PULSE GENERATOR ONLY,"$1,680.00",
929,33249,PR INSJ/RPLCMT PERM DFB W/TRNSVNS LDS 1/DUAL CHMBR,"$6,357.00",
930,33263,PR RMVL IMPLTBL DFB PLSE GEN W/RPLCMT PLSE GEN 2 LD,"$2,558.00",
931,33264,PR RMVL IMPLTBL DFB PLS GEN W/RPLCMT PLS GEN MLT LD,"$2,667.00",
932,33282,PR IMPLANTATION PT-ACTIVATED CARDIAC EVENT RECORDER,"$2,122.00",
933,33284,PR RMVL IMPLANTABLE PT-ACTIVATED CAR EVENT RECORDER,"$1,631.00",
934,33611,PR REDOUB VENT W IV TUNNEL,"$23,807.00",
935,33620,PR APPLICATION RIGHT & LEFT PULMONARY ARTERY BANDS,"$5,403.50",
936,33915,PR REMOVE PUL ART EMBOLI NO BYPASS,"$11,121.00",
937,33947,PR ECMO/ECLS INITIATION VENO-ARTERIAL,"$2,857.00",
938,33967,PR INSERT INTRA-AORTIC BALLOON ASST DEVICE,"$1,738.00",
939,33990,PR INSJ PERQ VAD W/IMAGING ARTERY ACCESS ONLY,"$3,279.00",
940,34101,"PR REMV ART CLOT AXILL-BRACH,ARM INCIS","$2,993.00",
941,34201,"PR REMV ART CLOT ILIAC-POP,LEG INCIS","$4,988.00",
942,34203,"PR REMV ART CLOT LOW LEG,LEG INCIS","$5,325.00",
943,34401,"PR REMV VEIN CLOT CAVA-ILIAC,ABD INCIS","$6,449.00",
944,34421,"PR REMV VEIN CLOT CAVA-ILIAC,LEG INCIS","$3,391.00",
945,34490,"PR REMV VEIN CLOT AXILL-SUBCL,ARM INCIS","$4,201.00",
946,34502,"PR RECONSTRUCT, VENA CAVA","$9,113.00",
947,34701,PR EVASC RPR DPLMNT AORTO-AORTIC NDGFT,"$10,667.00",
948,34705,PR EVASC RPR DPLMNT AORTO-BI-ILIAC NDGFT,"$13,308.00",
949,34707,PR EVASC RPR DPLMNT ILIO-ILIAC NDGFT,"$10,024.00",
950,34708,PR EVASC RPR DPLMNT ILIO-ILIAC NDGFT RPT,"$16,422.00",
951,34709,PR PLACEMENT XTN PROSTH FOR ENDOVASCULAR RPR,"$2,924.00",
952,34712,PR TRANSCATHETER DLVR ENHNCD FIXATION DEVICES RS&I,"$5,399.00",
953,34713,PR PERQ ACCESS & CLOSURE FEM ART FOR DELIVERY NDGFT,"$1,125.00",
954,34716,PR OPN AXILLARY/SUBCLAVIAN ART EXPOS W/CNDT CRTJ,"$3,235.00",
955,34808,"PR AAA REPAIR,ILIAC ARTERY OCCLSN DEVICE","$1,796.00",
956,34812,PR OPN FEM ART EXPOS DLVR EVASC PROSTH UNI,"$2,616.00",
957,34833,PR OPN ILIAC ART EXPOS CRTJ PROSTH EST CARD BYP,"$3,249.00",
958,35141,"PR REANEURYSM/GRFT INS,COMMON FEMORAL","$6,182.00",
959,35142,"PR REART RUPTURE,FEMORAL","$5,737.00",
960,35201,"PR REBL VES DIRECT,NECK","$6,725.00",
961,35206,"PR REBL VES DIRECT,UP EXTREM","$5,034.00",
962,35216,"PR REBL VES DIRECT,CHEST","$9,777.00",
963,35221,"PR REBL VES DIRECT,ABD","$7,333.00",
964,35226,"PR REBL VES DIRECT,LOW EXTREM","$4,590.00",
965,35231,"PR REBL VES VEIN GRFT,NECK","$6,808.00",
966,35236,"PR REBL VES VEIN GRFT,UP EXTREM","$6,483.00",
967,35241,"PR REBL VES VEIN GRFT,CHEST/W BYPAS","$9,227.00",
968,35246,"PR REBL VES VEIN GRFT,CHEST","$6,733.00",
969,35251,"PR REBL VES VEIN GRFT,ABD","$7,174.00",
970,35256,"PR REBL VES VEIN GRFT,LOW EXTREM","$6,483.00",
971,35261,"PR REBL VES GRAFT,NECK","$8,534.00",
972,35266,"PR REBL VES GRAFT,UP EXTREM","$6,483.00",
973,35271,"PR REBL VES GRAFT,CHEST W BYPASS","$9,227.00",
974,35276,"PR REBL VES GRAFT,CHEST","$6,733.00",
975,35281,"PR REBL VES GRAFT,ABDOMEN","$7,070.00",
976,35286,"PR REBL VES GRAFT,LOW EXTREM","$6,483.00",
977,35301,"PR THROMBOENDARTECTMY NECK,NECK INCIS","$6,276.00",
978,35302,PR THROMBOENDARTECTMY SUPERFICIAL FEM ARTERY,"$9,125.00",
979,35331,PR THROMBOENDARTECTMY ABD AORTA,"$7,232.00",
980,35351,PR THROMBOENDARTECTMY ILIAC,"$6,523.00",
981,35371,PR THROMBOENDARTECTMY FEMORAL COMMON,"$4,827.00",
982,35372,PR THROMBOENDARTECTMY FEMORAL DEEP,"$4,988.00",
983,35525,"PR VEIN BYPASS GRAFT,BRACHIAL-BRACHIAL","$7,323.00",
984,35563,"PR VEIN BYPASS GRAFT,ILIOILIAC","$7,141.00",
985,35565,"PR VEIN BYPASS GRAFT,ILIOFEM","$7,141.00",
986,35601,"PR BYPASS GRAFT OTHR,CAROTID","$6,570.00",
987,35621,"PR BYPASS GRAFT OTHR,AXILL-FEM","$6,855.00",
988,35646,"PR BYPASS GRAFT OTHR,AORTOBIFEMORAL","$9,941.00",
989,35654,"PR BYPASS GRAFT OTHR,AXILL-FEM-FEM","$9,126.00",
990,35661,"PR BYPASS GRAFT OTHR,FEM-FEM","$6,855.00",
991,35663,"PR BYPASS GRAFT OTHR,ILIOILIAC","$7,255.00",
992,35701,"PR EXPLORATION, CAROTID ARTERY","$3,419.00",
993,35721,"PR EXPLORATION, FEMORAL ARTERY","$2,773.00",
994,35741,PR EXPLORATION POPLITEAL ARTERY,"$2,571.00",
995,35761,PR EXPLORATION OF ARTERY/VEIN,"$2,988.00",
996,35800,"PR EXPLOR POSTOP BLEED,INFEC,CLOT-NECK","$3,143.00",
997,35820,"PR EXPLOR POSTOP BLEED,INFEC,CLOT-CHST","$7,541.65",
998,35840,"PR EXPLOR POSTOP BLEED,INFEC,CLOT-ABD","$3,714.00",
999,35860,"PR EXPLOR POSTOP BLEED,INFEC,CLOT-EXTR","$3,027.00",
1000,35875,"PR THROMBECTOMY A-V GRAFT, EXC HEMODIALYSIS","$3,628.00",
1001,35876,"PR THROMBECTOMY A-V GRAFT, EXC HEMODIALYSIS, W REVISION","$5,255.00",
1002,35901,"PR EXCISION, INFEC GRAFT, NECK","$3,427.00",
1003,35903,"PR EXCISION, INFEC GRAFT, EXTREMITY","$3,655.00",
1004,35907,"PR EXCISION, INFEC GRAFT, ABDOMEN","$11,016.00",
1005,36000,PR PLACE NEEDLE IN VEIN,$242.00,
1006,36002,PR INJECTION RX EXTREMITY PSEUDOANEURYSM,$680.00,
1007,36005,"PR INJECTION PROC,EXTREMITY,VENOGRAPHY","$1,295.00",
1008,36010,PR INTRO CATHETER SUPERIOR/INFERIOR VENA CAVA,"$1,020.00",
1009,36011,"PR PLACE CATH IN VEIN,SELECT","$1,700.00",
1010,36012,"PR PLACE CATH IN VEIN,SUBSELECT","$1,393.43",
1011,36013,"PR PLACE CATH IN RT HRT,MAIN PULM ART","$2,435.00",
1012,36014,PR PLACE CATH IN LT/RT PULM ART,"$1,360.00",
1013,36140,PR INTRO OF NEEDLE OR INTRACATHETER UPR/LXTR ARTERY,$851.00,
1014,36200,PR INTRODUCTION CATHETER AORTA,"$1,275.00",
1015,36215,"PR PLACE CATH SELECTIVE ART,NECK","$1,392.00",
1016,36216,"PR PLACE CATH SUBSELECT ART,NECK","$2,047.00",
1017,36217,"PR PLACE CATH SUBSUBSELECT ART,NECK","$5,401.00",
1018,36218,"PR PLACE CATH ADDN SUBSELEC ART,NECK",$494.00,
1019,36222,PR SLCTV CATH CAROTID/INNOM ART ANGIO XTRCRANL ART,"$2,225.00",
1020,36223,PR SLCTV CATH CAROTID/INNOM ART ANGIO INTRCRANL ART,"$2,414.00",
1021,36224,PR SLCTV CATH INTRNL CAROTID ART ANGIO INTRCRNL ART,"$2,615.00",
1022,36225,PR SLCTV CATH SUBCLAVIAN ART ANGIO VERTEBRAL ARTERY,"$2,414.00",
1023,36226,PR SLCTV CATH VERTEBRAL ART ANGIO VERTEBRAL ARTERY,"$2,615.00",
1024,36245,PR SLCTV CATHJ EA 1ST ORD ABDL PEL/LXTR ART BRNCH,"$1,542.00",
1025,36246,PR SLCTV CATHJ 2ND ORDER ABDL PEL/LXTR ART BRNCH,"$1,591.00",
1026,36247,PR SLCTV CATHJ 3RD+ ORD SLCTV ABDL PEL/LXTR BRNCH,"$2,520.00",
1027,36248,PR SLCTV CATHJ EA 2ND+ ORD ABDL PEL/LXTR ART BRNCH,$449.00,
1028,36251,PR SLCTV CATH 1STORD W/WO ART PUNCT/FLUORO/S&I UN,"$2,162.00",
1029,36253,PR SUPSLCTV CATH 2ND+ORD RENAL&ACCESSORY ARTERY/S&I,"$3,051.00",
1030,36410,PR VNPNXR 3 YEARS/> PHYS/QHP SKILL,$187.00,
1031,36430,PR BLOOD TRANSFUSION SERVICE,$280.00,
1032,36470,PR INJECTION SCLEROSANT SINGLE INCMPTNT VEIN,$333.00,
1033,36471,PR INJECTION SCLEROSANT MULTIPLE INCMPTNT VEINS,$576.00,
1034,36481,PR PRQ PORTAL VEIN CATHETERIZATION ANY METHOD,"$2,474.00",
1035,36500,PR VENOUS SELECT SAMPLING W CATH,"$1,013.00",
1036,36511,"PR THER APHERESIS,WHITE BLOOD CELLS","$1,168.00",
1037,36514,"PR THER APHERESIS,PLASMA PHERESIS","$1,033.72",
1038,36522,PR PHOTOPHERESIS,"$1,144.00",
1039,36555,PR INSJ NON-TUNNELED CENTRAL VENOUS CATH AGE < 5 Y,"$1,969.00",
1040,36556,PR INSERT NON-TUNNEL CV CATH,"$1,687.00",
1041,36557,PR INSERT TUNNELED CVC W/O SUBQ PORT/PMP AGE <5 YR,"$3,656.00",
1042,36558,PR INSJ TUNNELED CVC W/O SUBQ PORT/PMP AGE 5 YR/>,"$3,374.00",
1043,36560,PR INSJ TUNNELED CTR VAD W/SUBQ PORT UNDER 5 YR,"$4,111.11",
1044,36561,PR INSJ TUNNELED CTR VAD W/SUBQ PORT AGE 5 YR/>,"$2,630.00",
1045,36568,PR INSJ PRPH CVC W/O SUBQ PORT/PMP UNDER 5 YR,"$1,687.00",
1046,36569,PR INSERT PICC W/O SUB-Q PORT,"$1,406.00",
1047,36571,PR INSJ PRPH CTR VAD W/SUBQ PORT AGE 5 YR/>,"$3,254.00",
1048,36575,PR REPAIR CV CATH W/O SUBQ PORT OR PUMP,$798.00,
1049,36578,PR RPLCMT CATH CTR VAD SUBQ PORT/PMP,"$2,359.00",
1050,36580,"PR REPLACE CV CATH, COMPLETE, NON-TUNNELED, W/O SUBQ PORT OR PUMP","$1,406.00",
1051,36581,PR RPLCMT COMPL TUN CVC W/O SUBQ PORT/PMP,"$2,812.00",
1052,36582,PR RPLCMT COMPL TUN CTR VAD W/SUBQ PORT,"$2,904.00",
1053,36583,PR RPLCMT COMPL TUN CTR VAD W/SUBQ PMP,"$2,302.00",
1054,36584,PR REPLACE PICC  W/O PORT OR PUMP,"$1,125.00",
1055,36585,PR RPLCMT COMPL PRPH CTR VAD W/SUBQ PORT,"$2,297.15",
1056,36589,PR REMOVAL TUNNELED CV CATH W/O SUBQ PORT OR PUMP,$906.00,
1057,36590,PR RMVL TUN CTR VAD W/SUBQ PORT/PMP CTR/PRPH INSJ,"$1,477.00",
1058,36593,PR DECLOT BY THROMBOLYTIC AGENT IMPLANT DEVICE/CATH,$519.83,
1059,36595,PR MECH REMOV PERICATH OBSTR CV DEV VIA VEN ACCESS,"$1,702.14",
1060,36596,PR MECH REMOV INTRALUM OBSTR CV DEV THRU LUMEN,$844.00,
1061,36597,PR REPOSITION VENOUS CATHETER,$675.00,
1062,36598,"PR CONTRAST INJ CENT VEN CATH, INC FLOURO",$542.00,
1063,36620,"PR INSERT CATH,ART,PERCUT,SHORTTERM",$506.31,
1064,36625,"PR INSERT CATH,ART,CUTDOWN,SHORTTERM",$454.70,
1065,36640,"PR INSERT CATH,ART,CUTDOWN,PROLONG",$789.00,
1066,36680,"PR INSERT NEEDLE,INTRAOSSEOUS INFUSN",$436.00,
1067,36800,"PR INSERT CANNULA,VEIN-VEIN","$1,181.00",
1068,36819,"PR AV ANAST,UP ARM BASILIC VEIN TRANSPOSIT","$4,235.00",
1069,36821,"PR ANASTOMOSIS,AV,ANY SITE","$3,698.00",
1070,36825,"PR CREAT AV FISTULA,AUTOGENOUS GRAFT","$4,773.00",
1071,36830,"PR CREAT AV FISTULA,NON-AUTOGENOUS GRAFT","$4,802.00",
1072,36831,"PR THROMBECTOMY,AV FISTULA DIALYS GRFT","$3,400.00",
1073,36832,"PR REVISE AV FISTULA,W/O THROMBECTOMY","$3,991.00",
1074,36833,"PR AV FIST REVISE GRFT,W THROMBECTOMY","$3,788.00",
1075,36902,PR INTRO CATH DIALYSIS CIRCUIT W/TRLUML BALO ANGIOP,"$1,841.00",
1076,36905,PR PERQ THRMBC/NFS DIAL CIRCUIT TRLUML BALO ANGIOP,"$3,673.00",
1077,36907,PR TRLUML BALO ANGIOP CTR DIALYSIS SEG W/IMG S&I,"$1,077.00",
1078,37182,PR INSERT TRANSVEN INTRAHEP PORTOSYS SHUNT,"$4,508.00",
1079,37184,PR PRIM PRQ TRLUML MCHNL THRMBC N-COR N-ICRA 1ST,"$10,710.00",
1080,37185,PR PRIM PRQ TRLUML MCHNL THRMBC N-COR N-ICRA SBSQ,"$2,088.00",
1081,37187,PR PRQ TRANSLUMINAL MECHANICAL THROMBECTOMY VEIN,"$6,028.00",
1082,37188,PR PRQ TRLUML MCHNL THRMBC VEIN REPEAT TX,"$3,426.00",
1083,37191,PR INS INTRVAS VC FILTR W/WO VAS ACS VSL SELXN RS&I,"$3,197.97",
1084,37193,PR RTRVL INTRVAS VC FILTR W/WO ACS VSL SELXN RS&I,"$2,970.00",
1085,37197,PR PRQ TRANSCATHETER RTRVL INTRVAS FB WITH IMAGING,"$2,531.00",
1086,37200,PR TRANSCATHETER BIOPSY,"$2,149.00",
1087,37211,PR THROMBOLYSIS ARTERIAL INFUSION ICRA RS&I INIT TX,"$3,218.00",
1088,37212,PR THROMBOLYSIS VENOUS INFUSION W/IMAGING INIT TX,"$2,840.00",
1089,37213,PR THROMBOLYSIS ART/VENOUS INFSN W/IMAGE SUBSQ TX,"$2,012.00",
1090,37215,PR TCAT IV STENT CRV CRTD ART EMBOLIC PROTECJ,"$8,194.00",
1091,37218,PR TCATH STENT PLACEMT ANTEGRADE CAROTID/INNOMINATE,"$6,464.00",
1092,37221,PR REVSC OPN/PRQ ILIAC ART W/STNT PLMT & ANGIOPLSTY,"$4,077.00",
1093,37223,PR REVSC OPN/PRQ ILIAC ART W/STNT & ANGIOP IPSILATL,"$1,733.00",
1094,37224,PR REVSC OPN/PRG FEM/POP W/ANGIOPLASTY UNI,"$3,670.00",
1095,37225,PR REVSC OPN/PRQ FEM/POP W/ATHRC/ANGIOP SM VSL,"$4,893.00",
1096,37226,PR REVSC OPN/PRQ FEM/POP W/STNT/ANGIOP SM VSL,"$4,277.00",
1097,37227,PR REVSC OPN/PRQ FEM/POP W/STNT/ATHRC/ANGIOP SM VSL,"$8,140.00",
1098,37229,PR REVSC OPN/PRQ TIB/PERO W/ATHRC/ANGIOP SM VSL,"$5,729.00",
1099,37231,PR REVSC OPN/PRQ TIB/PERO W/STNT/ATHR/ANGIOP SM VSL,"$6,116.00",
1100,37232,PR REVSC OPN/PRQ TIB/PERO W/ANGIOPLASTY UNI EA VSL,"$1,631.00",
1101,37236,PR OPEN/PERQ PLACEMENT INTRAVASCULAR STENT INITIAL,"$3,805.00",
1102,37237,PR OPEN/PERQ PLACEMENT INTRAVASCULAR STENT EA ADDL,"$1,797.00",
1103,37238,PR OPEN/PERQ PLACEMENT INTRAVASCULAR STENT SAME 1ST,"$2,660.00",
1104,37239,PR OPEN/PERQ PLACEMENT INTRAVASC STENT SAME EA ADDL,"$1,256.00",
1105,37241,PR VASCULAR EMBOLIZATION OR OCCLUSION VENOUS RS&I,"$7,462.00",
1106,37242,PR VASCULAR EMBOLIZATION OR OCCLUSION ARTERIAL RS&I,"$7,462.00",
1107,37243,PR VASCULAR EMBOLIZE/OCCLUDE ORGAN TUMOR INFARCT,"$7,462.00",
1108,37244,PR VASCULAR EMBOLIZATION OR OCCLUSION HEMORRHAGE,"$7,462.00",
1109,37246,PR TRLML BALO ANGIOP OPEN/PERQ IMG S&I 1ST ART,"$3,039.00",
1110,37247,PR TRLML BALO ANGIOP OPEN/PERQ IMG S&I EA ADDL ART,"$1,520.00",
1111,37248,PR TRLML BALO ANGIOP OPEN/PERQ W/IMG S&I 1ST VEIN,"$2,605.00",
1112,37249,PR TRLML BALO ANGIOP OPEN/PERQ W/IMG S&I ADDL VEIN,"$1,290.00",
1113,37252,PR INTRAVASCULAR US NONCORONARY RS&I INTIAL VESSEL,$788.00,
1114,37600,"PR LIGATN NECK ARTERY, ECA","$2,962.00",
1115,37605,"PR LIGATN NECK ARTERY,ICA,CCA","$2,684.00",
1116,37607,PR LIGATN ANGIOACCESS AV FISTULA,"$1,864.00",
1117,37609,PR TEMPORAL ARTERY LIGATN OR BX,"$1,193.00",
1118,37616,PR LIGATN OF CHEST ARTERY,"$4,474.00",
1119,37617,PR LIGATN OF ABDOMEN ARTERY,"$6,948.00",
1120,37618,PR LIGATN OF EXTREMITY ARTERY,"$2,386.00",
1121,37619,PR INS INTRVAS VC FILTR W/WO VAS ACS VSL SELXN RS&I,"$12,124.00",
1122,37650,PR LIGATN FEMORAL VEIN,"$1,790.00",
1123,37660,PR LIGATN COMMON ILIAC VEIN,"$3,376.40",
1124,37799,PB UNLISTED PROCEDURE VASCULAR SURGERY ,$333-$9246,
1125,38100,"PR REMOVAL SPLEEN, TOTAL","$8,371.00",
1126,38102,"PR REMOVAL SPLEEN, TOTAL W OTHR PROC","$4,702.00",
1127,38120,"PR LAP,SPLENECTOMY","$8,371.00",
1128,38205,"PR PROG CELL HARVEST,TRANSPLANT,ALLOGENIC","$2,044.00",
1129,38206,"PR PROG CELL HARVEST,TRANSPLANT,AUTOLOGOUS","$2,044.00",
1130,38207,"PR TRANS PREP CELLS,CRYOPRESERV & STORAGE","$1,079.00",
1131,38208,"PR TRANS PREP CELLS,THAW PREV FROZEN HARV",$680.00,
1132,38209,"PR TRANS PREP CELLS,WASHING HARVEST",$512.00,
1133,38210,"PR TRANS PREP CELLS,SPEC CELL DEPLETION","$1,905.00",
1134,38211,"PR TRANS PREP CELLS,TUMOR CELL DEPLETE","$1,720.00",
1135,38212,"PR TRANS PREP CELLS,RED BLOOD CELL REMOVAL","$1,140.00",
1136,38214,"PR TRANS PREP CELLS,PLASMA (VOL) DEPLETION",$985.00,
1137,38215,"PR TRANS PREP CELLS,CONC PLASMA/MONO/BUFFY","$1,140.00",
1138,38220,PR DIAGNOSTIC BONE MARROW ASPIRATIONS,$654.00,
1139,38221,PR DIAGNOSTIC BONE MARROW BIOPSIES,$708.00,
1140,38222,PR DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS,$648.00,
1141,38230,PR BONE MARROW COLLECTION,"$3,711.00",
1142,38240,PR TRNSPLJ ALLOGENEIC HEMATOPOIETIC CELLS PER DONOR,"$3,139.00",
1143,38241,PR TRNSPLJ AUTOLOGOUS HEMATOPOIETIC CELLS PER DONOR,"$3,056.00",
1144,38242,PR ALLOGENEIC LYMPHOCYTE INFUSIONS,"$2,691.00",
1145,38243,PR TRNSPLJ HEMATOPOIETIC CELL BOOST,"$2,718.00",
1146,38380,"PR LIGATN THOR DUCT,CERV APPROACH","$4,651.00",
1147,38381,"PR LIGATN THOR DUCT,THOR APPROACH","$9,301.00",
1148,38382,"PR LIGATN THOR DUCT,ABD APPROACH","$7,906.00",
1149,38500,"PR BIOPSY/EXCISION, LYMPH NODE(S)","$1,847.00",
1150,38505,"PR NEEDLE BIOPSY, LYMPH NODE(S)","$1,017.00",
1151,38510,"PR BX/REMV,LYMPH NODE,DEEP CERV","$2,803.00",
1152,38520,"PR BX/REMV,LYMPH NODE,DEEP CERV/SCAL","$2,325.00",
1153,38525,"PR BX/REMV,LYMPH NODE,DEEP AXILL","$3,164.00",
1154,38530,"PR BX/REMV,LYMPH NODE,INTERN MAMM","$4,040.00",
1155,38542,"PR EXPLORE DEEP NODE(S), NECK","$3,535.00",
1156,38562,"PR REMOVAL, PELVIC LYMPH NODES,STAGING","$6,976.00",
