DESCRIPTION,,PRICE
FLUORESCENT ANTIBODY SCREEN,,$528.00
RIA NONANTIBODY,,"$1,170.00"
IMMUNOASSAY QUANT NOS NONAB,,$182.00
WBC ANTIBODY IDENTIFICATION,,$92.00
FLUORESCENT ANTIBODY SCREEN,,$83.00
BACTERIUM ANTIBODY,,$84.00
FUNGUS ANTIBODY,,$83.00
HIV-2 WB,,$200.00
ANTINUCLEAR ANTIBODIES,,$24.00
MICROSOMAL ANTIBODY,,$49.00
ENTEROVIRUS ANTIBODY,,$27.00
"ANTIBODY ENCEPHALITIS, EASTERN EQUINE",,$19.00
HERPES SIMPLEX TEST,,$33.00
HERPES SIMPLEX TYPE2,,$50.00
RUBEOLA ANTIBODY,,$31.00
ENCEPHALITIS ANTIBODY,,$19.00
VARICELLA-ZOSTER ANTIBODY,,$29.00
ENCEPHALITIS ANTIBODY,,$19.00
CMV ANTIBODY IGM,,$35.00
PARTICLE AGGLUTINATION TEST,,$90.00
PARTICLE AGGLUTINATION TEST,,$136.00
PARTICLE AGGLUTINATION TEST,,$99.00
IMMUNOHISTOCHEMISTRY,,$278.00
TUMOR IMMUNOHISTOCHEM/MANUAL,,$638.00
FLUORESCENT ANTIBODY TITER,,$105.00
INSITU HYBRIDIZATION MANUAL,,$454.00
IMMUNOHISTOCHEMISTRY,,$556.00
NAIT PLATELET AB (SO),,$361.00
FLUORESCENT ANTIBODY SCREEN,,$27.00
LYMPH CHORIOMENINGITIS AB,,$19.00
WESTERN BLOT TEST,,$316.00
QUANTITATIVE ASSAY DRUG,,$337.00
HERPES SIMPLEX TEST,,$62.00
HERPES SIMPLEX TYPE 2,,$83.00
GLYCATED PROTEIN,,$122.00
RIA NONANTIBODY,,$82.00
FLUORESCENT ANTIBODY SCREEN,,$35.00
FLUORESCENT ANTIBODY TITER,,$35.00
ALLERGEN SPECIFIC IGE,,$104.00
RIA NONANTIBODY,,$309.00
MICROBE SUSCEPTIBLE MIC,,$271.00
IMMUNOASSAY QUANT NOS NONAB,,$434.00
ALPHA-FETOPROTEIN 13,,$276.00
CYTOMEG DNA AMP PROBE,,$199.00
ASSAY BLOOD CARBON DIOXIDE,,$91.00
FLUORESCENT ANTIBODY SCREEN,,$55.00
FLUORESCENT ANTIBODY TITER,,$55.00
ASSAY OF CALCIUM,,$35.00
ASSAY OF PARATHORMONE,,$71.00
ASSAY OF PROLACTIN,,$73.00
IMMUNOASSAY QUANT NOS NONAB,,$346.00
DETECT AGENT NOS DNA AMP,,$262.00
Histoplasma,,$26.00
BARTONELLA ANTIBODY,,$78.00
SALMONELLA ANTIBODY,,$47.00
QUANTITATIVE ASSAY DRUG,,$212.00
DETECT AGENT NOS DNA AMP,,$366.00
RIA NONANTIBODY,,$496.00
QUANTITATIVE ASSAY DRUG,,$370.00
GENOTYPE DNA HIV REVERSE T,,$679.00
LYMPH CHORIOMENINGITIS AB,,$96.00
GENOTYPE DNA HIV REVERSE T,,"$1,376.00"
EBV ISH W/INTERP (SO),,$574.00
EBV ISH W/O INTERP (SO),,$574.00
FISH BURKITT NHL T(8;14)(SO),,$620.00
FISH BURKITT DNA PROBE (SO),,$404.00
HCV RNA GENOTYPE 1 NS5B (SO),,"$1,200.00"
PANCREATIC ELASTASE FECAL,,$273.00
DETECT AGENT NOS DNA AMP,,$252.00
MONONUCLEAR CELL ANTIGEN,,$146.00
CELLS TOTAL COUNT,,$47.00
CELLS TOTAL COUNT,,$47.00
INSTITU HYBRIDIZATION (FISH),,$260.00
CYTOTOXIC ANTIBODY SCREENING,,$325.00
HLA TYPING DR/DQ,,$344.00
FLUORESCENT ANTIBODY SCREEN,,$20.00
FLUORESCENT ANTIBODY TITER,,$20.00
ALLERGEN SPECIFIC IGE,,$330.00
"IMMUNOASSAY FOR INFECTIOUS AGENT,AB,QUANT",,$31.00
ALLERGEN SPECIFIC IGG QUANT,,$140.00
ALLERGEN SPECIFIC IGE,,$140.00
ANTI-CARDIOLIPIN IGG,,$581.00
ANTI-CARDIOLIPIN IGM,,$581.00
RMSF IGM TITER,,$131.00
MATERNAL CELL CONTAMINATION,,$794.00
PRADA-WILL SYNDROME METHYL,,$544.00
Transloc.ana(BCR/ABL) REM,,$480.00
"Minor bkpt,(BCR/ABL)REM",,$480.00
T-CELL  REARRANGEMENT- PCR  (RQD),,$667.00
TPMT GENOTYPE (Promtheus),,$382.00
JAK2 (V617F) Mutation Detection (RQD),,$271.00
Transloc.anal(BCR/ABL)RQD,,$544.00
"Minor bkpt,(BCR/ABL)RQD",,$480.00
B-CELL CLONALITY (APT Test),,$794.00
PML/RAR BLOOD EMORY,,$833.00
T-CELL RECEPTOR GENE REARRANG,,$501.00
PML/RARA PCR RQD (510840),,$833.00
BCR/ABL T(9;22) FISH (GEN),,$663.00
HUMAN PLATE AG-1 GENOTYPE,,$689.00
BCR-ABL KINASE MUTATION ANAL (CML),,$689.00
FLT 3 Mutation Analysis  by PCR (RQD),,$805.00
KRAS Gene Mutation Detection (RQD),,$823.00
HLA TYPING DR/DQ,,$733.00
"Molecular Pathology Procedure , Level 2 SMN",,"$1,128.00"
"Molecular Pathology Procedure , Level 2 MEG3",,"$1,128.00"
"Molecular Pathology Procedure , Level 2 DMPK",,"$1,128.00"
Molecular Pathology Procedure Gene Specific (SNRPN,,"$1,038.00"
NPM1 Mutation Analysis (RQD ),,$771.00
APO E GENOTYPE *(Athena),,"$1,310.00"
CEBPA Mutation Analysis (RQD),,"$1,171.00"
"JAK2  (V617F) Mutation Analysis, Quantitative",,$848.00
"INTEGRASE, QUEST",,$793.00
Uparental Disomy(UPD)DNA Anal(RQD),,"$1,664.00"
MPL ANALYSIS Mutation Analysis (RQD),,"$2,042.00"
Microsatellite Instability ( MSI) RQD,,"$2,093.00"
"MYH9 SEQUENCE ANAYLSIS ,Blood Center Wisconsin",,"$2,302.00"
FRIEDREICH ATAXIA DNA(ATHENA) #119 TBD,,"$2,720.00"
SPINAL MUSCULAR ATROPHY,,"$3,805.00"
VON HIPPEL LINDAU SYNDROME,,"$3,382.00"
"EARLY ONSEST OBESITY,MC4R (ATHENA)",,"$3,848.00"
"SNP MICROARRAY, POC tissue (Reveal)- RQD",,"$3,904.00"
IGVH MUTATION ANALYSIS,,"$4,233.00"
Lebers Hereditary Neuropathy (LHON)  (Athena),,"$5,137.00"
Molecular pathology procedure Level 7 (11-15) exon,,"$4,233.00"
Molecular pathology procedure (unlisted),,"$4,233.00"
Admark PS-1 DNA Sequencing Test,,"$4,401.00"
ADmark PS-2 DNA Sequencing Test,,"$4,515.00"
OLIGO ARRAY(EMARRAY) NEW,,"$4,527.00"
ALAGILLE SYNDROME(ARUP),,"$5,162.00"
ADMARK PS-2 DNA,,"$7,352.00"
ADMARK PS-1 DNA,,"$8,067.00"
"TROFILE, DNA Monogram -Quest",,"$3,182.00"
AUTO RECESSIVE POLYCYSTIC KIDNE. (ARPKD)  MAYO,,"$8,471.00"
MATERNAL CELL CONTAMINATION,,$711.00
PRADA-WILL SYNDROME METHYL,,$235.00
Transloc.ana(BCR/ABL) REM,,$544.00
"Minor bkpt,(BCR/ABL)REM",,$480.00
T-CELL  REARRANGEMENT-PCR QD,,$667.00
TPMT GENOTYPE (Promtheus),,$382.00
JAK2(V617F)Mutat Detect RQD),,$271.00
Transloc.anal(BCR/ABL)RQD,,$544.00
"Minor bkpt,(BCR/ABL)RQD",,$480.00
B-CELL CLONALITY (APT),,$794.00
PML/RAR BLOOD EMORY,,$833.00
T-CELL RECEPTOR GENE REARRANG,,$501.00
PML/RARA PCR RQD (510840),,$833.00
HUMAN PLATE AG-1 GENOTYPE,,$689.00
BCR-ABL KINASE MUTAT ANAL CML,,$689.00
FLT 3 Mutat Anal PCR RQD,,$805.00
KRAS Gene Mutation Detect(RQD),,$823.00
"Molec Path Proced, Lvl 1 SMN",,$978.00
"Molec Path Proced, Lvl 2 DMPK",,$978.00
NPM1 Mutation Analysis (RQD ),,$752.00
APO E GENOTYPE *(Athena),,"$1,292.00"
CEBPA Mutation Analysis (RQD),,"$1,080.00"
"JAK2(V617F)Mutation Anal,Quant",,$848.00
"INTEGRASE, QUEST",,$649.00
Uparenta Disom(UPD DNA Ana QD,,"$1,397.00"
MPL ANAL Mutation Anal (RQD),,"$1,430.00"
Microsatellite Instab MSI RQD,,"$1,664.00"
"MYH9 SEQ ANAYL,Bld Ctr Wis",,"$2,042.00"
FRIEDR. ATAXIA DNA(ATHENA)#119,,"$2,093.00"
SPINAL MUSCULAR ATROPHY,,"$2,794.00"
VON HIPPEL LINDAU SYNDROME,,"$2,720.00"
"ERLY ONSEST OBESTY,MC4R ATHENA",,"$3,135.00"
SNP MICROAR POC Tiss(Reveal)QD,,"$3,382.00"
IGVH MUTATION ANALYSIS,,"$3,848.00"
Lebers Hered Neuro Athena,,"$4,738.00"
Molec path proc Lv7(11-15)DNA,,"$4,233.00"
Molec path proc (unlisted),,"$4,233.00"
Admark PS-1 DNA Seq Test,,"$4,233.00"
Admark PS-2 DNA Seq Test,,"$4,233.00"
OLIGO ARRAY(EMARRAY) NEW,,"$4,401.00"
ALAGILLE SYNDROME(ARUP),,"$4,515.00"
ADMARK PS-2 DNA,,"$5,162.00"
ADMARK PS-1 DNA,,"$6,078.00"
"TROFILE, DNA Monogram -Quest",,"$3,030.00"
AUTORECESS POLYCYS KIDNE MAYO,,"$8,067.00"
"MICROARRAY, SNP 180 EMORY",,"$5,216.00"
FOCUS HIV 1/2 AB SCRN,,$255.00
FOCUS HIV WB,,$388.00
FOCUS LYMPHOCYTE SUBSETS,,$481.00
STREP PNEUMONIAE IGG AB PANEL (SO),,$280.00
FRAGILE X GENE ANALYSIS (SO),,$208.00
MTHFR  MUTATION ANALYSIS RGZ,,$286.00
FACTOR V LEIDEN MUTATION,,$286.00
FACTOR II (PT) GENE MUTATION,,$286.00
CYSTIC FIB 97 MUTATION RQD,,$897.00
EGFR MUTATION ANALYSIS  RQD,,"$1,856.00"
"CGH- ONCOLOGY, ClariSure RQD",,"$3,370.00"
ACHONDROPLASIA MUTAT ANAL RQD,,"$1,104.00"
ELA2 SEQ ANAL (BLD CENTER WI),,"$1,651.00"
MEN 1 DNA  SEQ (ATHENA),,"$4,918.00"
MEN2 (RET) DNA SEQ(ATHENA),,"$5,489.00"
HUNTINGTON'S DNA  (ATHENA),,"$1,113.00"
COMPLETE CADASIL EVAL(ATHENA),,"$9,653.00"
HERED HEMOCHROM DNA ANAL RQD,,$497.00
HLA TYPING CELIAC DISEASE RQD,,$442.00
SOUTHERN BLOT (SO),,$208.00
ALLERGEN SPECIFIC IGE (SO),,$32.00
ALLERGEN SPECIFIC (FOOD) IGE (SO),,$32.00
ALLERGEN SPECIFIC (ENVIRO) IGE (SO),,$32.00
ACUTE HEPATITIS PANEL,,$890.00
"HANTAVIRUS ANTIBODY (IGG, IGM) (SO)",,$280.00
IMMUNE COMPLEX DETECTION BY C1Q BINDING (SO),,$34.00
AMPA -RECEPTOR ANTIBODY (SO) MAYO,,$379.00
"NMDA -RECEPTOR ANTIBODY, SERUM (MML)",,$358.00
"CHIKUNGUNYA ANTIBODIES (IGG, IGM) (SO)",,$380.00
"CHIKUNGUNYA ANTIBODIES (IGG, TITRATION) (SO)",,$380.00
CHIKUNGUNYA ANTIBODIES (IGM TITRATION) (SO),,$380.00
NATURAL KILLER CELLS (SO),,$83.00
MYOSITIS ANTIBODY PANEL (MML),,$707.00
"ACYLCARNITINE,PLASMA(SO)",,$118.00
"ASPERGILLUS ANTIGEN, EIA, SERUM(SO)",,$115.00
"VIRAL RESPIRATORY,RAPID CULTURE WITH REFLEX(SO)",,$428.00
ANTI-MULLERIAN HORMONE ASSESSR?(SO),,$243.00
HIV-1 INTEGRASE GENOTYPE(SO),,$188.00
"HPV 8 DNA,QUAL(SO)",,$349.00
"CHROMGRANIN A,ECL",,$223.00
EUROMYELITIS OPTICA(SO),,"$1,217.00"
INHIBIN A(SO),,$90.00
INHIBIN B(SO),,$368.00
"FISH, MYELOMA CHROM CEP 9,11,15 DNA PROBE (SO)",,$638.00
"FISH, MYELOMA CHROM CEP 9,11,15 HYBRIDIZATION(SO)",,$354.00
"FISH, MYELOMA 17P-,REA14Q32 (SO) DNA PROBE (SO)",,"$4,261.00"
"FISH, MYELOMA 17P-,REA14Q32(SO) HYBRIDIZATION(SO)",,$597.00
"FISH, MYELOMA IGH PANEL(SO) DNA PROBE (SO)",,"$2,078.00"
"FISH, MYELOMA IGH PANEL(SO) HYBRIDIZATION(SO)",,"$1,039.00"
"LIVER FIBROSIS, FIBRO TEST-ACTITEST PANEL(SO)",,$883.00
"HIV-1, RNA QUALITATIVE TMA(SO)",,$326.00
"VIRAL ID, RESPIRATORY(SO)",,$349.00
QNATAL  ADVANCED(SO),,"$2,208.00"
"METANEPHRINES,FRAC,UR(SO)",,$75.00
"ASPERGILLUS ANTIGEN,EIA(SO)",,$104.00
HIV-1 CONFIRMATION,,$189.00
HIV-2 CONFIRMATION,,$229.00
ANAPLASMA PHAGGOCYTOPILIUM AB (SO),,$398.00
"PNEUMOCYSTTIS JIROVECII, QUAL RT PCR (SO)",,$375.00
CHIKUNGUNYA AB REFLEX TO TITER (SO),,$200.00
CANVAN DISEASE MUTATION ANAL (SO),,$450.00
TAY-SACHS DISEASE MUTATION ANAL (SO),,$304.00
MYCOPLASMA PNEUMONIAE AB CF CSF (SO),,$117.00
HEPATITIS C VIRAL RNA NS3 GENOTYPE(SO),,$318.00
"HEPATITIS C VIRAL RNA, (SO)",,$630.00
MITOCHONDRIAL AB TITER,,$70.00
ALP SUB PIT GLYCOPROTEIN HORM,,$850.00
mRNA,,$95.00
C-ANCA TITER,,$34.00
P-ANCA TITER,,$34.00
ATYPICAL P-ANCA TITER,,$80.00
Q FEVER IGG PHASE I TITER,,$43.00
Q FEVER IGG PHASE II TITER,,$43.00
Q FEVER IGM PHASE I TITER,,$43.00
B.HENSELAE IGG TITER,,$50.00
B.HENSELAE IGM TITER,,$50.00
B.QUINTANA IGG TITER,,$50.00
B.QUINTANA IGM TITER,,$50.00
ALLERGEN SPECIFIC IGE TILAPIA (SO),,$200.00
ALLERGEN SPECIFIC IGE TROUT (SO),,$136.00
HEPATITIS A  IGG,,$300.00
HIV-1 AG WITH HIV-1/2 AB,,$287.00
"DS-DNA AN, CRITHIDIA TITER",,$150.00
ABSOLUTE CD4 COUNT,,$117.00
ANA IFA W/REFLEX (SO),,$208.00
CHIKUNGUNYA IGG TITER(SO),,$192.00
CHIKUNGUNYA IGM TITER(SO),,$192.00
"ANA SCREEN IFA, W/TITER AND PATTERN",,$142.00
"BLEEDING TIME, TEMP",,$109.00
MISC. SMEAR,,$101.00
BLD PLAT AGG - TEG,,$324.00
FIBRINOGEN ACT - TEG,,$180.00
RBC MORPHOLOGY EXAM,,$83.00
"RBC, SCHISTOCYTE CNT",,$83.00
HEMATOCRIT COUNT,,$51.00
"HEMATOCRIT, FLD - SPUN",,$51.00
"COAG TIME, ACTIVATED-TEG",,$247.00
"HEMATOCRIT, SPUN CAP",,$51.00
"HEMATOCRIT,CSF-SPUN",,$51.00
HEMATOCRIT,,$58.00
FIBRINOLYSINS SCRN -TEG,,$117.00
"HEMOGLOBIN, MICRO(METER)",,$51.00
PLATELET ANTIBODY SCREEN INDIRECT (SO),,$362.00
HGB & HCT,,$51.00
"HGB, VENOUS (METER)",,$51.00
"CBC, PLAT & DIFF",,$212.00
CBC & PLAT,,$175.00
"RETICULOCYTES, AUTOMATED",,$128.00
"EOSINOPHIL COUNT, WB",,$68.00
PLATELET COUNT (WB),,$117.00
BONE MARROW EXAM,,$781.00
FACTOR  II ASSAY,,$391.00
FACTOR   V ASSAY,,$524.00
FACTOR VII ASSAY,,$538.00
FACTOR VIII ASSAY,,$538.00
VW FACTOR ACTIVITY,,$680.00
RISTOCETIN COFACTOR,,$680.00
VON WILLEBRAND AG,,$680.00
FACTOR  IX ASSAY,,$565.00
FACTOR   X ASSAY,,$538.00
FACTOR  XI ASSAY,,$538.00
FACTOR XII ASSAY,,$572.00
FACTOR XIII SCREEN,,$627.00
PROTEIN S ACTIVITY,,$483.00
FACTOR AT-III ASSAY,,$483.00
AT-III ANTIGEN,,$981.00
PROTEIN C ACTIVITY,,$456.00
ACT PROT-C RESIST (FV-LEIDEN),,$259.00
D-DIMER,,$297.00
FIBRINOGEN QUANT.,,$260.00
ALPHA-2-ANTIPLASMIN,,$183.00
PLASMINOGEN ACTIV.,,$146.00
HEINZ BODY DIRECT,,$57.00
HEINZ BODY INDUCED,,$83.00
K-B HGB FETAL SCREEN **,,$51.00
"HEMOLYSIS,ACID-HAM'S",,$59.00
"HEMOLYSIS, SUCROSE",,$59.00
HEPARIN ASSAY,,$383.00
IRON STORES-BM,,$186.00
WBC LAP STAIN,,$154.00
LYSOZYME,,$182.00
"PLT AGG, THROMBIN",,$465.00
"PLT AGG, ADP",,$465.00
"PLT AGG, COLLAGEN",,$465.00
"PLT AGG, RISTOCETIN",,$465.00
"PLT AGG, ARACDNC ACID",,$465.00
PFA-COLLAGEN/EPI,,$496.00
PFA-COLLAGEN/ADP,,$496.00
PLATELET AGG-HEPRIN,,$493.00
PLAT NEUTRALIZATION,,$420.00
PT(PROTHROMBIN TIME),,$146.00
"PT,COUMADIN THERAPY",,$146.00
"PT, COUMATRAK",,$146.00
PT+NORMAL PLASMA,,$133.00
"PT, HEPZYME-TREATED",,$133.00
DILUTE RUSSELL'S VIPER VENOM,,$275.00
SED RATE WESTERGREN,,$99.00
DONOR HGB S-ARC,,$166.00
DONOR HGB S-GMH,,$166.00
SICKLEDEX,,$166.00
THROMBIN TIME,,$132.00
"APPT, HEPZYME-TREATED",,$187.00
APTT,,$187.00
APTT HEPARIN THERAPY,,$187.00
PTT-SALINE,,$187.00
APTT + APC,,$196.00
FACTOR DEF SCRN-COAG,,$196.00
FACTOR INHIB SCREEN,,$196.00
"VISCOSITY, SERUM",,$243.00
TRANSFUSION REACTION,,$376.00
"EOSINOPHIL COUNT, WB",,$68.00
"SED RATE, CAPILLARY PHOTOMETRY",,$85.00
PLASMINOGEN ACT INHIB (SO),,$268.00
RBC MORPHOLOGY EXAM,,$83.00
"HEMATOCRIT, SPUN CAP",,$51.00
HGB & HCT,,$51.00
"CBC, PLAT & DIFF",,$212.00
CBC & PLAT,,$175.00
DONOR HGB S-ARC,,$166.00
RBC MORPHOLOGY,,$83.00
"HEMATOCRIT, SPUN",,$51.00
SICKLEDEX,,$166.00
"CBC, PLAT & DIFF, IDP",,$212.00
BETA-2 GLYCOPROTEIN ANTIBODIES,,$240.00
VON WILLEBRAN PROTEASE ACT Q,,$476.00
SILICA CLOTTING TIME,,$187.00
THROMBIN ANTI THRMBON COMPLEX (E),,$286.00
"EOSINOPHIL SMEAR, URINE",,$63.00
"ESOINOPHIL SMEAR, URINE",,$63.00
FIBRIN MONOMER (SO),,$279.00
BLOOD CULT. ROUTINE,,$433.00
STOOL CULTURE,,$208.00
BONE MARROW CULTURE,,$347.00
CSF CULTURE,,$347.00
EXUDATE CULTURE,,$347.00
FLUID/TISSUE CULT.,,$347.00
GENITAL CULTURE,,$347.00
"MISC CULT,REFERRAL",,$316.00
MISC. CULTURE,,$347.00
SPUTUM CULTURE,,$347.00
THROAT CULTURE,,$280.00
ANAEROBE CULTURE,,$279.00
"MALARIA RAPID ANTIGEN TEST,EVD",,$359.00
CULTURE I.D.-AEROBE BIOCHEM,,$229.00
"EBOLA- AMPLIFIED PROBE TECHNIQUE, EVD",,$475.00
"GC CULT,VAG/CERVIX",,$280.00
"GC CULT,URETHRAL",,$280.00
"GC CULT,ANAL",,$280.00
"GC CULT,THROAT",,$280.00
GC CULTURE EYE,,$280.00
URINE CULTURE,,$302.00
URINE CULTURE-PRESUMP. ID,,$302.00
FUNGUS CULT. DERM.,,$199.00
"FUNGUS CULTURE,MISC.",,$211.00
FUNGUS CULT. BLOOD,,$229.00
CULTURE I.D.-YEAST BIOCHEM,,$261.00
CULTURE I.D.- MOLD BIOCHEM,,$261.00
"CHLAM CULT,REFERRAL",,$128.00
AFB CULTURE-MISC,,$249.00
"AFB CULTURE, BLOOD",,$249.00
CULTURE I.D.-IMMUNOLOGIC,,$105.00
CULTURE I.D.-PROBE BIOCHEM,,$473.00
PINWORM EXAM,,$135.00
"OVA & PARASITES, URN",,$237.00
"O&P,ETHYLACETATE",,$216.00
SENS.SPECIAL PANEL,,$214.00
SENS.GRAM POS COCCI,,$214.00
GRAM STAIN,,$61.00
INFLUENZA VIRUS -A/B  AMPLIFIED PROBE,,$271.00
GROUP B STREP - AMPLIFIED PROBE,,$384.00
INFLUENZA VIRUS (H1N1) (AMPLIFIED PROBE),,$271.00
PAS/KOH PREP,,$149.00
CRYPTOSPORIDIUM SCRN.,,$193.00
MALARIA/PARASITE SMR,,$216.00
RBC INCLUSION BODY,,$216.00
MICROSPORIDIUM,,$370.00
"O&P,PVA/TRICHROME",,$346.00
EB VIRUS DNA QUANT PCR (SO),,$688.00
CMV CULTURE INOC TISSUE (SO),,$390.00
CMV CULTURE INOC SHELL (SO),,$240.00
"O & P DIRECT, SMEAR",,$204.00
KOH LEVEL,,$147.00
"VIRAL CULT,REFERRAL",,$240.00
CHLAMYDIA SCREEN,,$718.00
"C.DIFF. ASSAY,STOOL",,$193.00
EIA GIARDIA SCREEN,,$193.00
H.PYLORI AG -STOOL,,$330.00
HBV SURFACE AG,,$246.00
HBV SURF AG-OB,,$246.00
HBV E AG,,$84.00
HISTOPLASMA AG,,$314.00
HIV-AG-P24,,$225.00
"ROTAVIRUS AG, STOOL",,$225.00
STREP A AG-THROAT,,$162.00
"L. PNEUMO-1 AG, URINE",,$243.00
CHLAMYDIA DETECTION,,$340.00
CMV DNA-PCR FLUIDS,,$849.00
HBV DNA-PCR,,$319.00
COCCIDIA SMEAR,,$216.00
HCV RNA-PCR,,$706.00
"HCV RNA-PCR, QUANT",,$961.00
HSV DNA-PCR,,$846.00
HIV-1 DNA-PCR,,$634.00
"HIV-1 RNA B DNA, QUANT",,$742.00
DIRECT M. TB TEST,,$298.00
GC DETECTION,,$340.00
"ENTEROVIRUS PCR, CSF",,$807.00
THYROID PEROX AB; TPO,,$807.00
"JCV DNA-PCR,CSF",,$753.00
"VZV DNA-PCR,CSF",,$753.00
INFLUENZA-A AG,,$358.00
INFLUENZA-B AG,,$358.00
RSV ASSAY,,$565.00
HIV GENOTYPING,,"$1,718.00"
HCV GENOTYPING,,"$1,859.00"
RICHETTSIA ANTIBODY IGM,,$38.00
"PARVOVIRUS B19 PCR, QUAL",,$260.00
"HBV DNA-PCR,QUANT",,$334.00
"E.COLI O157, CULTURE(SO)",,$64.00
"CMV,DNA,PCR, QUANT",,$659.00
CMV INOC TISSUE (SO),,$390.00
CMV INOC SHELL VIA (SO),,$240.00
HEP C DNA GENO QUANT (SO),,"$1,193.00"
EBV DNA DETECT NOS (SO),,$688.00
GRAM STAIN,,$61.00
SEZARY CELL PREP,,$61.00
PAS/KOH PREP,,$149.00
AFB STAIN,,$149.00
"O & P DIRECT, SMEAR",,$204.00
INDIA INK PREP,,$204.00
VAGINAL WET PREP,,$204.00
STREP A AG-THROAT,,$162.00
GRAM STAIN FOR GC,,$61.00
KOH PREP,,$149.00
VAGINAL WET PREP,,$204.00
RAPID STREP,,$162.00
GRAM STAIN,,$61.00
MICROBE SUSCEPT MACROBROTH,,$41.00
VARICELLA ZOSTER AG IF,,$66.00
ANTIBODY DETECTION NOS IF,,$83.00
PNEUMOCYCSTIS CARNI DFA-CONCEN,,$91.00
PNEUMOCYCSTIS CARNI DFA-ID (Q),,$110.00
"TOXOPLASMA GONDII DNA , QUANT PCR (SO)",,$846.00
BORDETELLA PERTUSSIS/PARAPERTUSSIS QUAL/PCR(SO),,$457.00
HEPATITIS B VIRUS DRUG RESISTANCE GENOTYPE BCP/PRE,,$590.00
"HEPATITIS C VIRAL GENOTYPE , LIPA (SO)",,$339.00
"TRICHOMONAS VAGINALIS RNA, QUAL",,$246.00
"CLOSTRIDIUM DIFFICILE TOXIN, GENE ,PCR",,$262.00
RESPIRATORY PCR PANEL IV (SO),,"$3,460.00"
HERPES SIM PCR QUANT (SO),,$331.00
JC POLYOMA QUANT AMP (SO),,$326.00
JC POLYOMA QUANT PCR (SO),,$509.00
ASPERGILLUS DNA QUAL PCR (SO),,$326.00
BRUCELLA SCREEN (SO),,$143.00
HERPES VIRUS 8 DNA PCR (SO),,$509.00
SPUTUM CULTURE,,$347.00
CULTURE I.D.-AEROBE BIOCHEM,,$229.00
RICHETTSIA ANTIBODY IGG,,$38.00
TRICHOMONAS PREP,,$204.00
HSV DNA QUANT,,$445.00
"T.PALLIDUM PCR QL,CSF Q",,$335.00
PAPILLOMAVIRUS HUMAN,,$90.00
EHRLICHIA CHAFF PCR (SO),,$373.00
HSV PCR QUAL AMINO (SO),,$340.00
HCV NS3/4 PHENO (SO),,"$1,201.00"
HCV NS3/4 GENO (SO),,"$1,193.00"
JC POLY QUAL PCR (SO),,$373.00
HIV CORECEPTOR TROPISM ULTRA (SO),,$973.00
HCV RNA NS5A DRUG (SO),,"$1,193.00"
HCV RNA NS5B RESIST (SO),,"$1,193.00"
RESP VIRUS PCR IV (6-11) (SO),,"$3,561.00"
HSV DNA PCR QUANT (SO),,$327.00
HCV NS5A DRUG RESIST (SO),,$747.00
"PH, URINE-DIPSTICK",,$103.00
"CBC, PLAT, WBCDIFF, EVD",,$212.00
URINE DIP STICK,,$89.00
URINALYSIS COMPLETE,,$192.00
URINALYSIS,,$157.00
"PH, URINE(QUANT)",,$108.00
URINALYSIS-MICRO ONLY,,$180.00
PREGNANCY TEST-URINE,,$33.00
"URINE, TIMED COLLECT",,$111.00
URINALYSIS-BIOCHEM,,$157.00
"PH, URINE-DIPSTICK",,$103.00
URINALYSIS WITH MICROSCOPY,,$192.00
URINALYSIS,,$157.00
"URINALYSIS, TOP",,$157.00
PREGNANCY TEST-URINE,,$33.00
"PREG TEST,URINE",,$33.00
"URINE, TIMED COLLECT",,$117.00
"UROBILINOGEN, QUALITATIV",,$103.00
URINALYSIS COMP,,$192.00
URINALYSIS-BIOCHEM,,$157.00
URINE PREGNANCY TEST,,$33.00
"SUGAR, CLINITEST",,$103.00
"BILE, URINE",,$103.00
SPECIFIC GRAVITY,,$103.00
"UROBILINOGEN, QUALITATIV",,$103.00
URINE PREGNANCY TEST,,$33.00
"CLINITEST, STOOL",,$108.00
"SPEC.GRAVITY,REFRAC",,$108.00
"CLINITEST,URINE",,$108.00
"PROTEIN, UR-QUAL",,$108.00
"GLUCOSE, UR-QUAL",,$108.00
"KETONES,UR",,$108.00
"UROBILINOGEN,UR-QL",,$108.00
"GLUCOSE, UR-QUAL",,$108.00
"PROTEIN, UR-QUAL",,$108.00
"GLUCOSE, UR-QUAL",,$108.00
"KETONES,UR",,$108.00
"PH, URINE-DIPSTICK",,$103.00
POOLED-CRYO,,$227.00
PROTEINASE -3 ANTIBODY (SO),,$125.00
"CRYSTALS,FLUID",,$150.00
NASAL SMEAR FOR EOS,,$122.00
SEMEN EXAMINATION,,$75.00
MSS SEQUENTIAL SCREEN-2 (SO),,$436.00
PREGNANCY ASSOCIATED PLASMA PROTEIN (SO),,$180.00
"HCG,QUANTITATIVE",,$31.00
C-ANCA TITER (SO),,$34.00
P-ANCA TITER (SO),,$34.00
ATYPICAL P-ANCA TITER (SO),,$80.00
Q FEVER IGG PHASE I TITER (SO),,$43.00
Q FEVER IGG PHASE II TITER (SO),,$43.00
Q FEVER IGG PHASE I TITER (SO),,$43.00
Q FEVER IGG PHASE II (SO),,$43.00
B.HENSELAE IGG TITER (SO),,$50.00
B.HENSELAE IGM TITER (SO),,$50.00
B.QUINTANA IGG TITER (SO),,$50.00
