Service Area,Description,Revenue Code,Patient Pay Charge
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRAIN FINGER ABSC; COMPLICATED,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],71
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRAIN FINGER ABSC; SIMPLE,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],71
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRAINAGE CATH,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANT [0278],891
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRAINAGE OF ABSCESS OF PALATE UVULA,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],71
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRAINAGE OF GLAND ABSCESS,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],71
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRAINAGE OF HEMATOMA PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],71
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRAINAGE OF MOUTH LESION PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],71
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRAINAGE PERITONEUM (PERCUTAN) IN SUITE,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],865
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRAINAGE US/FLUORO/CT - IMG,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],200
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRESSING EPISTAXIS ANTERIOR,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],43
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRESSING EPISTAXIS POSTERIOR,MEDICAL/SURGICAL SUPPLIES AND DEVICES - STERILE SUPPLY [0272],45
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"DRUG ABUSE PANEL 9, SERUM MAIL",LABORATORY - CHEMISTRY [0301],54
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DRUG ABUSE SCREEN (BEAKER),LABORATORY - CHEMISTRY [0301],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"DRUG SCREEN 10 W/CONF, SERUM (SENDOUT)",LABORATORY - CHEMISTRY [0301],100
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DS-DNA AUTO AB(CRITHIDIA),LABORATORY - GENERAL CLASSIFICATION [0300],34
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DUPLEX DOPPLER UNILAT OR LMTD,OTHER DIAGNOSTIC SERVICES - PERIPHERAL VASCULAR LAB [0921],163
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DUPLEX SCAN OF HEMODIAL ACCESS,OTHER DIAGNOSTIC SERVICES - PERIPHERAL VASCULAR LAB [0921],201
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DXA BONE DENSITY AXIAL COMPLET PBC,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],153
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DXA BONE DENSITYPERIPHERAL COM,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],37
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DYSPHAGIA TREATMENT 15 MINUTES,SPEECH THERAPY - LANGUAGE PATHOLOGY - HOURLY [0442],64
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,DYSPHAGIA TREATMENT 15MIN,SPEECH THERAPY - LANGUAGE PATHOLOGY - HOURLY [0442],64
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EAR CULTURE (BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ECHO 2D COMP NO DOPPLER,CARDIOLOGY - ECHOCARDIOLOGY [0483],180
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ECHO 2D COMP W/DOPPLER,CARDIOLOGY - ECHOCARDIOLOGY [0483],627
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ECHO EXAM FOLLOW UP OR REPE PBC,OTHER IMAGING SERVICES - ULTRASOUND [0402],122
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ECHO EXAM, TRANSVAGINAL - IMG",OTHER IMAGING SERVICES - ULTRASOUND [0402],222
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ECHOCARDIOGRAM/DOPPLER/COMPLETE,CARDIOLOGY - ECHOCARDIOLOGY [0483],627
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ECP,CARDIOLOGY - GENERAL CLASSIFICATION [0480],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ED TREAT ROOM-0.0 TO 0.5HR,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],57
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ED TREAT ROOM-0.6 TO 1.0 HR.,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],103
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ED TREAT ROOM-1.1 TO 1.5 HR,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],148
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ED TREAT ROOM-1.6 TO 2.0 HR,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],194
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EEG AWAKE/DROWSY 20-40 MIN REC,EEG (ELECTROENCEPHALOGRAM) - GENERAL CLASSIFICATION [0740],189
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EGD DIAGNOSTIC W/WO BRUSH WASH,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],610
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EGD DIRECTED PEG PLACEMENT,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],731
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EKG RHYTHM STRIP,EKG/ECG (ELECTROCARDIOGRAM) - GENERAL CLASSIFICATION [0730],14
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ELASTASE, EL STOOL",LABORATORY - CHEMISTRY [0301],83
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ELBOW, COMPL. MIN 3 VIEW",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],101
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELBOW-AP & LAT,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],101
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTRICAL STIM 15 MINS PT,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],39
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTRICAL STIM 15MINS OT,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION [0430],41
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTRICAL STIMULATION - UNATT,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],30
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTRICAL STIMULATION - UNATT,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],30
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTRICAL STIMULATION - UNATT,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION [0430],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTRICAL STIMULATION - UNATT,OCCUPATIONAL THERAPY - GENERAL CLASSIFICATION [0430],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTRICAL STIMULATION-UNATTENDED,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],30
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTROLYTE PANEL (Beaker),LABORATORY - CHEMISTRY [0301],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTRONIC CROSSMATCH,"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION [0390]",14
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ELECTRONIC CROSSMATCH (Beaker),"ADMINISTRATION, PROCESSING, AND STORAGE FOR BLOOD AND BLOOD COMPONENTS - GENERAL CLASSIFICATION [0390]",8
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ELECTROPHORESIS ASSAY, URINE (Beaker)",LABORATORY - CHEMISTRY [0301],33
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EMERGENCY BAGGING,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],50
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ENDO CANN PAPILLA,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],104
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ENDOSCOPY OF BOWEL POUCH,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],538
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ENTEROVIRUS - PCR,LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],46
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ENZYMATIC DEBRIDEMENT,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],68
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EOSINOPHIL COUNT,LABORATORY - HEMATOLOGY [0305],6
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EOSINOPHIL COUNT URINE (BEAKER),LABORATORY - UROLOGY [0307],8
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EPIDERMAL AUTOGRAFT PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],1689
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EPIDURAL JT INJ TRANSFORAMINAL,OPERATING ROOM SERVICES - MINOR SURGERY [0361],544
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EPIDURAL STERIOD INJECTION,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],61
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Epstein Barr Antibody - SEBPM,LABORATORY - GENERAL CLASSIFICATION [0300],49
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EPSTEIN BARR ANTIBODY - SEBPM,LABORATORY - GENERAL CLASSIFICATION [0300],44
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EPSTEIN BARR VIRUS PANEL W/IG,LABORATORY - GENERAL CLASSIFICATION [0300],60
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"EPSTEIN-BARR VIRUS VCA, IGG/IGM (BEAKER)",LABORATORY - GENERAL CLASSIFICATION [0300],60
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"EPSTEIN-BARR VIRUS, NUCLEAR AN",LABORATORY - IMMUNOLOGY [0302],44
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ER TX BIMALLEOLAR ANK FX W/MANIP,EMERGENCY ROOM - GENERAL CLASSIFICATION [0450],156
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ERCP STENT EXCHANGE W/DILATE,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],2582
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ERCP W/WO BRUSH WASH,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],1415
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ERTHYOPOIETIN (SENDOUT) (BEAKER),LABORATORY - CHEMISTRY [0301],35
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ESCHAROTOMY; ADDL INCISION,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],114
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ESCHAROTOMY; INIT INC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],114
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ESOPH BALLOON DIL DURING EGD <30 MM,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],786
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ESOPHAGOSCOPY W/WO BRUSH WASH,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],198
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ESOPHAGRAM WITHOUT CINE,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],146
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EST PT LEVEL I VISIT,CLINIC - GENERAL CLASSIFICATION [0510],33
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ESTRADIOL ASSAY (BEAKER),LABORATORY - CHEMISTRY [0301],66
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ESTRIOL SERUM,LABORATORY - CHEMISTRY [0301],44
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ESTROGENS, TOTAL (ESOTERIX)",LABORATORY - CHEMISTRY [0301],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"ESTROGENS, TOTAL (SENDOUT) (BEAKER)",LABORATORY - GENERAL CLASSIFICATION [0300],40
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ESTRONE (Beaker),LABORATORY - GENERAL CLASSIFICATION [0300],36
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,ETCO2 HOURS,PULMONARY FUNCTION - GENERAL CLASSIFICATION [0460],9
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,Ethylene Glycol-STAT(Beaker),LABORATORY - CHEMISTRY [0301],42
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EVACUATE SUBUNGUAL HEMATOMA PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],57
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EVALUATE SPEECH PRODUCTION,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],90
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EVALUATE SPEECH PRODUCTION,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],90
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EVALUATION OF SPEECH FLUENCY,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],90
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EVALUATION OF SPEECH FLUENCY,SPEECH THERAPY - LANGUAGE PATHOLOGY - EVALUATION OR REEVALUATION [0444],90
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EXAM THORACIC SPINE MIN 4 VWS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],121
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EXERCISE STRESS ECHO,CARDIOLOGY - ECHOCARDIOLOGY [0483],391
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EXERCISE STRESS EKG DURNG ECHO,CARDIOLOGY - STRESS TEST [0482],280
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EXERCISE STRESS EKG-TREADMILL,CARDIOLOGY - STRESS TEST [0482],280
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EXTREMITY STUDY,OTHER DIAGNOSTIC SERVICES - PERIPHERAL VASCULAR LAB [0921],89
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EXTREMITY STUDY,OTHER DIAGNOSTIC SERVICES - PERIPHERAL VASCULAR LAB [0921],116
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EYE CULTURE,LABORATORY - GENERAL CLASSIFICATION [0300],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,EYE CULTURE (BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACET MEDIAL BLK LUMB BIL FLUORO,OPERATING ROOM SERVICES - MINOR SURGERY [0361],657
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACIAL BONES < 3 VIEWS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],42
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACIAL BONES COMPL MIN 3 VIEWS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],42
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACIAL CT WITHOUT INFUSION,CT SCAN - GENERAL CLASSIFICATION [0350],528
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACILITY CHARGE BRACHIAL PLEXUS BLOCK REGIONAL ANES,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],367
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACILITY CHARGE-FEMORAL NERVE,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],270
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACILITY CHARGE-FEMORAL NERVE,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],351
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACILITY CHARGE-INTERSCALENE BLOCK,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],367
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACTOR IX ASSAY (Beaker),LABORATORY - HEMATOLOGY [0305],26
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACTOR V LEIDEN MUTATION (Beaker),LABORATORY - CHEMISTRY [0301],57
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FACTOR VIII ASSAY (Beaker),LABORATORY - HEMATOLOGY [0305],37
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FAMILY PLANNING THER/PROPH/DIAG INJ SC/IM PBC,CLINIC - GENERAL CLASSIFICATION [0510],55
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FASTCASTOLS BOOT S,M,L,LX",MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],23
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FB REMOVAL DURING EGD,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],632
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FBC HBO PER 30 MIN,RESPIRATORY SERVICES - HYPERBARIC OXYGEN THERAPY [0413],237
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FECAL FAT, QUAL (Beaker)",LABORATORY - GENERAL CLASSIFICATION [0300],9
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FECAL OCCULT BLOOD,LABORATORY - CHEMISTRY [0301],4
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FECAL OCCULT BLOOD (Beaker),LABORATORY - CHEMISTRY [0301],4
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FEEDING TUBE PLACE ASSISTED I IMG,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],80
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FEMUR, 1 VIEW",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FEMURS, AP & LAT",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],34
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"Fentanyl, Screen with confirmation, Urine (Beaker)",LABORATORY - CHEMISTRY [0301],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FENTANYL/NORFENTANYL, CONFIRM (SENDOUT-REFLEX) - LC",LABORATORY - CHEMISTRY [0301],6
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FERRITIN ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],19
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FERRITIN ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],19
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FETAL BIOPHYSICAL PROFILE W/S PBC,OTHER IMAGING SERVICES - ULTRASOUND [0402],135
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FETAL FIBRONECTIN (BEAKER),LABORATORY - CHEMISTRY [0301],139
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FETAL MONITOR NONSTRESS TEST,OTHER DIAGNOSTIC SERVICES - GENERAL CLASSIFICATION [0920],197
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FETAL MONITOR STRESS TEST,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],192
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FETAL NON STRESS TEST PBC,OTHER DIAGNOSTIC SERVICES - GENERAL CLASSIFICATION [0920],197
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FETL BIOPHYS PROFILE W/O STRE PBC,OTHER IMAGING SERVICES - ULTRASOUND [0402],98
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FIBRIN DEGRADATION PRODUCTS (SENDOUT) (BEAKER),LABORATORY - CHEMISTRY [0301],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FIBRINOGEN ASSAY,LABORATORY - HEMATOLOGY [0305],19
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FIBRINOGEN ASSAY (Beaker),LABORATORY - HEMATOLOGY [0305],15
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FINE NEEDLE ASP-EVAL,LABORATORY PATHOLOGICAL - CYTOLOGY [0311],82
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FINE NEEDLE ASPIR W IMAGE - IMG,OPERATING ROOM SERVICES - GENERAL CLASSIFICATION [0360],134
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FINGER STICK GLUCOSE,LABORATORY - CHEMISTRY [0301],3
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FINGER STICK GLUCOSE PBC,LABORATORY - CHEMISTRY [0301],6
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FINGERS,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],96
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FL GUI CVADEV PL/RE CAT ON/COM,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],266
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FLEX SIGM CANCER SCREENING,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],335
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FLEX SIGMOIDOSCOPY,GASTRO-INTESTINAL (GI) - GENERAL CLASSIFICATION [0750],335
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FLOURO W/RADIOLOGIST,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],204
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FLU, RAPID A",LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FLU, RAPID B",LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],24
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FLUIDOTHERAPY EACH 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],30
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FLUORESCENT AB TITER,LABORATORY - IMMUNOLOGY [0302],30
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FLUORO GUID & LOCAL NEEDLE/CAT - IMG,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],112
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FLUORO W/O RADIOLOGIST,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],204
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FLUOROSCOPY > 1 HOUR,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],323
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FLUTTER VALVE,MEDICAL/SURGICAL SUPPLIES AND DEVICES - GENERAL CLASSIFICATION [0270],59
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FNA INTERPRETATION & REPORT,LABORATORY PATHOLOGICAL - CYTOLOGY [0311],72
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FOLATE ASSAY, SERUM (Beaker)",LABORATORY - CHEMISTRY [0301],27
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FOLEY CATH INSERTION PBC,SPECIALTY ROOM - TREATMENT/OBSERVATION ROOM - TREATMENT ROOM [0761],16
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FOLLICLE STIM. HORMONE ASSAY,LABORATORY - CHEMISTRY [0301],38
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FOOT COMPLETE MIN 3 VIEW,RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],112
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FOOT, AP & LAT",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],98
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"FOREARM, AP & LAT",RADIOLOGY - DIAGNOSTIC - GENERAL CLASSIFICATION [0320],88
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FREE PSA (Beaker),LABORATORY - CHEMISTRY [0301],34
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FREE T3,LABORATORY - CHEMISTRY [0301],31
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FREE THYROXINE ASSAY (Beaker),LABORATORY - CHEMISTRY [0301],25
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FROZEN SECTION,LABORATORY PATHOLOGICAL - GENERAL CLASSIFICATION [0310],89
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FS ADDITIONAL EACH,LABORATORY PATHOLOGICAL - GENERAL CLASSIFICATION [0310],47
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FSH (ENDO SCI)(BEAKER),LABORATORY - GENERAL CLASSIFICATION [0300],38
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FTA ABS,LABORATORY - GENERAL CLASSIFICATION [0300],32
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FUNCTIONAL RECONDITIONING,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],52
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FUNCTIONAL RECONDITIONING GROUP,RESPIRATORY SERVICES - GENERAL CLASSIFICATION [0410],14498
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,FUNGUS CULTURE (Beaker),LABORATORY - BACTERIOLOGY AND MICROBIOLOGY [0306],41
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,G6PD,LABORATORY - IMMUNOLOGY [0302],19
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,GABAPENTIN,LABORATORY - CHEMISTRY [0301],20
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,GAIT EACH 15 MIN,PHYSICAL THERAPY - GENERAL CLASSIFICATION [0420],17
WAKE FOREST BAPTIST MEDICAL CENTER Wilkes,"Galactose-Alpha1,3-Galactose",LABORATORY - IMMUNOLOGY [0302],27
