Description,Typical Charges,Average Insured Patient Responsibility
Mastectomy For Malignancy W Cc/Mcc,"$103,184 ",$795 
Mastectomy For Malignancy W/O Cc/Mcc,"$120,546 ",$375 
Medical Back Problems W Mcc,"$48,366 ",$273 
Medical Back Problems W/O Mcc,"$33,114 ",$501 
Menstrual  Other Female Reproductive System Disorders W Cc/Mcc,"$21,909 ",$934 
Menstrual  Other Female Reproductive System Disorders W/O Cc/Mcc,"$20,944 ",$475 
Minor Bladder Procedures W Cc,"$52,490 ",$86 
Minor Bladder Procedures W Mcc,"$70,311 ",$0 
Minor Bladder Procedures W/O Cc/Mcc,"$47,855 ",$203 
Minor Skin Disorders W Mcc,"$24,183 ",$0 
Minor Skin Disorders W/O Mcc,"$20,452 ",$962 
Minor Small  Large Bowel Procedures W Cc,"$51,734 ",$566 
Minor Small  Large Bowel Procedures W Mcc,"$67,742 ",$181 
Minor Small  Large Bowel Procedures W/O Cc/Mcc,"$42,622 ","$1,154 "
"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W Mcc","$33,037 ",$190 
"Misc Disorders Of Nutrition,Metabolism,Fluids/Electrolytes W/O Mcc","$22,430 ",$371 
Mouth Procedures W Cc/Mcc,"$37,677 ","$1,504 "
Mouth Procedures W/O Cc/Mcc,"$29,216 ",$914 
Multiple Sclerosis  Cerebellar Ataxia W Cc,"$39,183 ","$1,142 "
Multiple Sclerosis  Cerebellar Ataxia W Mcc,"$54,589 ","$1,240 "
Multiple Sclerosis  Cerebellar Ataxia W/O Cc/Mcc,"$36,068 ","$1,259 "
Myeloprolif Disord Or Poorly Diff Neopl W Maj O.R. Proc W Cc,"$88,592 ",$671 
Myeloprolif Disord Or Poorly Diff Neopl W Maj O.R. Proc W Mcc,"$144,796 ",$258 
Myeloprolif Disord Or Poorly Diff Neopl W Maj O.R. Proc W/O Cc/Mcc,"$61,768 ","$1,044 "
Myeloproliferative Disorders Or Poorly Differentiated Neoplasms W Other Procedure W Cc/Mcc,"$117,724 ",$860 
Myeloproliferative Disorders Or Poorly Differentiated Neoplasms W Other Procedure W/O Cc/Mcc,"$33,195 ",$0 
Neonate W Other Significant Problems,"$5,199 ",$750 
"Neonates, Died Or Transferred To Another Acute Care Facility","$57,755 ","$1,696 "
Nervous System Neoplasms W Mcc,"$36,486 ",$329 
Nervous System Neoplasms W/O Mcc,"$31,918 ",$235 
Neurological Eye Disorders,"$39,435 ",$226 
Neuroses Except Depressive,"$23,706 ",$250 
Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W Cc,"$65,913 ",$714 
Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W Mcc,"$62,709 ",$732 
Non-Bacterial Infect Of Nervous Sys Exc Viral Meningitis W/O Cc/Mcc,"$26,006 ","$1,945 "
Non-Extensive Burns,"$15,353 ",$217 
Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Cc,"$48,334 ",$899 
Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Mcc,"$92,115 ",$342 
Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W/O Cc/Mcc,"$33,168 ","$1,063 "
Non-Malignant Breast Disorders W Cc/Mcc,"$30,221 ",$795 
Non-Malignant Breast Disorders W/O Cc/Mcc,"$19,739 ",$422 
Nonspecific Cerebrovascular Disorders W Cc,"$33,181 ",$194 
Nonspecific Cerebrovascular Disorders W Mcc,"$47,836 ",$257 
Nonspecific Cerebrovascular Disorders W/O Cc/Mcc,"$26,270 ",$644 
Nonspecific Cva  Precerebral Occlusion W/O Infarct W Mcc,"$52,961 ",$0 
Nonspecific Cva  Precerebral Occlusion W/O Infarct W/O Mcc,"$33,385 ",$464 
Nontraumatic Stupor  Coma W Mcc,"$45,268 ",$133 
Nontraumatic Stupor  Coma W/O Mcc,"$35,279 ",$0 
Normal Newborn,"$2,794 ",$417 
O.R. Proc W Diagnoses Of Other Contact W Health Services W Cc,"$79,720 ",$368 
O.R. Proc W Diagnoses Of Other Contact W Health Services W Mcc,"$77,781 ",$167 
O.R. Proc W Diagnoses Of Other Contact W Health Services W/O Cc/Mcc,"$59,021 ",$467 
O.R. Procedure W Principal Diagnoses Of Mental Illness,"$77,661 ",$730 
O.R. Procedures For Obesity W Cc,"$59,806 ",$797 
O.R. Procedures For Obesity W Mcc,"$70,528 ",$772 
O.R. Procedures For Obesity W/O Cc/Mcc,"$47,637 ","$1,070 "
Organic Disturbances  Intellectual Disability,"$30,686 ",$123 
Osteomyelitis W Cc,"$28,908 ",$320 
Osteomyelitis W Mcc,"$48,059 ",$135 
Osteomyelitis W/O Cc/Mcc,"$30,613 ",$652 
Other Antepartum Diagnoses W Medical Complications,"$18,943 ","$1,160 "
Other Antepartum Diagnoses W/O Medical Complications,"$11,034 ","$1,010 "
Other Cardiothoracic Procedures W Mcc,"$177,254 ",$512 
Other Cardiothoracic Procedures W/O Mcc,"$122,812 ",$359 
Other Circulatory System Diagnoses W Cc,"$26,139 ",$342 
Other Circulatory System Diagnoses W Mcc,"$52,602 ",$162 
Other Circulatory System Diagnoses W/O Cc/Mcc,"$20,314 ",$640 
Other Circulatory System O.R. Procedures,"$82,136 ",$294 
Other Digestive System Diagnoses W Cc,"$31,673 ",$394 
Other Digestive System Diagnoses W Mcc,"$48,374 ",$288 
Other Digestive System Diagnoses W/O Cc/Mcc,"$26,082 ",$733 
Other Digestive System O.R. Procedures W Cc,"$62,421 ",$723 
Other Digestive System O.R. Procedures W Mcc,"$113,437 ",$192 
Other Digestive System O.R. Procedures W/O Cc/Mcc,"$51,387 ",$634 
Other Disorders Of Nervous System W Cc,"$30,362 ",$412 
Other Disorders Of Nervous System W Mcc,"$43,943 ",$189 
Other Disorders Of Nervous System W/O Cc/Mcc,"$28,417 ",$567 
Other Disorders Of The Eye W Mcc,"$30,579 ","$2,045 "
Other Disorders Of The Eye W/O Mcc,"$20,969 ",$966 
"Other Ear, Nose, Mouth  Throat Diagnoses W Cc","$23,890 ",$598 
"Other Ear, Nose, Mouth  Throat Diagnoses W Mcc","$37,137 ",$302 
"Other Ear, Nose, Mouth  Throat Diagnoses W/O Cc/Mcc","$23,291 ",$698 
"Other Ear, Nose, Mouth  Throat O.R. Procedures W Cc/Mcc","$52,644 ","$1,807 "
"Other Ear, Nose, Mouth  Throat O.R. Procedures W/O Cc/Mcc","$37,781 ","$2,261 "
"Other Endocrine, Nutrit  Metab O.R. Proc W Cc","$64,638 ",$738 
"Other Endocrine, Nutrit  Metab O.R. Proc W Mcc","$94,374 ",$176 
"Other Endocrine, Nutrit  Metab O.R. Proc W/O Cc/Mcc","$58,959 ",$0 
Other Factors Influencing Health Status,"$44,448 ",$129 
Other Female Reproductive System O.R. Procedures W Cc/Mcc,"$59,700 ","$1,183 "
Other Female Reproductive System O.R. Procedures W/O Cc/Mcc,"$36,414 ",$205 
Other Heart Assist System Implant,"$180,006 ",$345 
Other Hepatobiliary Or Pancreas O.R. Procedures W Cc,"$45,284 ",
Other Hepatobiliary Or Pancreas O.R. Procedures W Mcc,"$88,734 ",$283 
Other Hepatobiliary Or Pancreas O.R. Procedures W/O Cc/Mcc,"$48,057 ",$0 
Other Infectious  Parasitic Diseases Diagnoses W Cc,"$38,560 ","$1,009 "
Other Infectious  Parasitic Diseases Diagnoses W Mcc,"$57,212 ",$209 
Other Infectious  Parasitic Diseases Diagnoses W/O Cc/Mcc,"$24,932 ",$822 
"Other Injury, Poisoning  Toxic Effect Diag W Mcc","$40,061 ",$363 
"Other Injury, Poisoning  Toxic Effect Diag W/O Mcc","$25,009 ",$0 
Other Kidney  Urinary Tract Diagnoses W Cc,"$27,955 ",$229 
Other Kidney  Urinary Tract Diagnoses W Mcc,"$38,899 ",$212 
Other Kidney  Urinary Tract Diagnoses W/O Cc/Mcc,"$25,658 ",$651 
Other Kidney  Urinary Tract Procedures W Cc,"$58,759 ",$475 
Other Kidney  Urinary Tract Procedures W Mcc,"$79,387 ",$367 
Other Kidney  Urinary Tract Procedures W/O Cc/Mcc,"$49,787 ",$0 
Other Major Cardiovascular Procedures W Cc,"$92,722 ",$420 
Other Major Cardiovascular Procedures W Mcc,"$116,719 ",$327 
Other Major Cardiovascular Procedures W/O Cc/Mcc,"$71,920 ",$494 
Other Male Reproductive System Diagnoses W Cc/Mcc,"$24,475 ",$317 
Other Male Reproductive System Diagnoses W/O Cc/Mcc,"$16,861 ",$0 
Other Male Reproductive System O.R. Proc Exc Malignancy W Cc/Mcc,"$53,510 ",$423 
Other Male Reproductive System O.R. Proc Exc Malignancy W/O Cc/Mcc,"$45,363 ",$961 
Other Male Reproductive System O.R. Proc For Malignancy W Cc/Mcc,"$45,202 ","$1,265 "
Other Mental Disorder Diagnoses,"$27,185 ",$0 
Other Multiple Significant Trauma W Cc,"$48,784 ","$1,020 "
Other Multiple Significant Trauma W Mcc,"$69,803 ",$705 
Other Multiple Significant Trauma W/O Cc/Mcc,"$34,540 ","$1,093 "
Other Musculoskelet Sys  Conn Tiss O.R. Proc W Cc,"$67,640 ",$552 
Other Musculoskelet Sys  Conn Tiss O.R. Proc W Mcc,"$83,463 ",$214 
Other Musculoskelet Sys  Conn Tiss O.R. Proc W/O Cc/Mcc,"$57,890 ",$484 
Other Musculoskeletal Sys  Connective Tissue Diagnoses W Cc,"$27,920 ",$298 
Other Musculoskeletal Sys  Connective Tissue Diagnoses W Mcc,"$43,898 ",$305 
Other Musculoskeletal Sys  Connective Tissue Diagnoses W/O Cc/Mcc,"$23,785 ",$328 
Other Myeloprolif Dis Or Poorly Diff Neopl Diag W Cc,"$33,911 ",$508 
Other Myeloprolif Dis Or Poorly Diff Neopl Diag W Mcc,"$56,879 ",$240 
Other Myeloprolif Dis Or Poorly Diff Neopl Diag W/O Cc/Mcc,"$22,663 ",$0 
Other O.R. Proc Of The Blood  Blood Forming Organs W Cc,"$56,306 ",$56 
Other O.R. Proc Of The Blood  Blood Forming Organs W Mcc,"$96,760 ",$395 
Other O.R. Proc Of The Blood  Blood Forming Organs W/O Cc/Mcc,"$51,166 ",$681 
Other O.R. Procedures For Injuries W Cc,"$59,628 ",$569 
Other O.R. Procedures For Injuries W Mcc,"$110,482 ",$441 
Other O.R. Procedures For Injuries W/O Cc/Mcc,"$38,928 ",$413 
Other O.R. Procedures For Multiple Significant Trauma W Cc,"$133,937 ","$1,001 "
Other O.R. Procedures For Multiple Significant Trauma W Mcc,"$199,471 ","$1,124 "
Other O.R. Procedures For Multiple Significant Trauma W/O Cc/Mcc,"$116,525 ",$840 
Other Resp System O.R. Procedures W Cc,"$58,026 ",$580 
Other Resp System O.R. Procedures W Mcc,"$96,259 ",$417 
Other Resp System O.R. Procedures W/O Cc/Mcc,"$54,363 ","$1,172 "
Other Respiratory System Diagnoses W Mcc,"$42,309 ",$563 
Other Respiratory System Diagnoses W/O Mcc,"$25,126 ",$402 
"Other Skin, Subcut Tiss  Breast Proc W Cc","$48,683 ",$833 
"Other Skin, Subcut Tiss  Breast Proc W Mcc","$66,721 ",$244 
"Other Skin, Subcut Tiss  Breast Proc W/O Cc/Mcc","$74,745 ",$944 
Other Vascular Procedures W Cc,"$89,786 ",$319 
Other Vascular Procedures W Mcc,"$89,192 ",$235 
Other Vascular Procedures W/O Cc/Mcc,"$68,287 ",$479 
Otitis Media  Uri W Mcc,"$26,130 ",$390 
Otitis Media  Uri W/O Mcc,"$18,404 ",$634 
"Pancreas, Liver  Shunt Procedures W Cc","$116,287 ",$547 
"Pancreas, Liver  Shunt Procedures W Mcc","$186,089 ",$204 
"Pancreas, Liver  Shunt Procedures W/O Cc/Mcc","$48,760 ",$0 
Pathological Fractures  Musculoskelet  Conn Tiss Malig W Cc,"$30,584 ",$328 
Pathological Fractures  Musculoskelet  Conn Tiss Malig W Mcc,"$44,559 ",$182 
Pathological Fractures  Musculoskelet  Conn Tiss Malig W/O Cc/Mcc,"$28,464 ",$300 
"Pelvic Evisceration, Rad Hysterectomy  Rad Vulvectomy W Cc/Mcc","$74,457 ",$267 
"Pelvic Evisceration, Rad Hysterectomy  Rad Vulvectomy W/O Cc/Mcc","$60,897 ",$922 
Penis Procedures W Cc/Mcc,"$53,004 ","$1,212 "
Penis Procedures W/O Cc/Mcc,"$94,188 ","$1,155 "
Perc Cardiovasc Proc W Drug-Eluting Stent W/O Mcc,"$62,462 ","$1,050 "
Perc Cardiovasc Proc W Non-Drug-Eluting Stent W/O Mcc,"$59,339 ",$740 
Perc Cardiovasc Proc W/O Coronary Artery Stent W Mcc,"$73,022 ",$212 
Perc Cardiovasc Proc W/O Coronary Artery Stent W/O Mcc,"$50,912 ",$723 
Percutaneous Cardiovascular Procedures W Drug-Eluting Stent W Mcc Or 4+ Arteries Or Stents,"$85,267 ",$567 
Percutaneous Cardiovascular Procedures W Non-Drug-Eluting Stent W Mcc Or 4+ Arteries Or Stents,"$78,518 ",$476 
Percutaneous Intracardiac Procedures W Mcc,"$133,200 ",$492 
Percutaneous Intracardiac Procedures W/O Mcc,"$120,394 ",$439 
Periph/Cranial Nerve  Other Nerv Syst Proc W Cc Or Periph Neurostim,"$70,648 ",$764 
Periph/Cranial Nerve  Other Nerv Syst Proc W Mcc,"$113,667 ",$235 
Periph/Cranial Nerve  Other Nerv Syst Proc W/O Cc/Mcc,"$59,082 ",$585 
Peripheral Vascular Disorders W Cc,"$30,370 ",$340 
Peripheral Vascular Disorders W Mcc,"$39,185 ",$462 
Peripheral Vascular Disorders W/O Cc/Mcc,"$21,813 ",$479 
Peritoneal Adhesiolysis W Cc,"$70,293 ",$769 
Peritoneal Adhesiolysis W Mcc,"$93,863 ",$367 
Peritoneal Adhesiolysis W/O Cc/Mcc,"$52,521 ",$743 
Permanent Cardiac Pacemaker Implant W Cc,"$50,071 ",$404 
Permanent Cardiac Pacemaker Implant W Mcc,"$73,574 ",$322 
Permanent Cardiac Pacemaker Implant W/O Cc/Mcc,"$43,009 ",$388 
Pleural Effusion W Cc,"$29,325 ",$330 
Pleural Effusion W Mcc,"$37,608 ",$223 
Pleural Effusion W/O Cc/Mcc,"$25,553 ",$168 
Pneumothorax W Cc,"$35,812 ",$915 
Pneumothorax W Mcc,"$39,353 ",$438 
Pneumothorax W/O Cc/Mcc,"$22,247 ","$1,088 "
Poisoning  Toxic Effects Of Drugs W Mcc,"$35,593 ",$827 
Poisoning  Toxic Effects Of Drugs W/O Mcc,"$28,657 ",$825 
Postoperative  Post-Traumatic Infections W Mcc,"$42,446 ",$378 
Postoperative  Post-Traumatic Infections W/O Mcc,"$25,185 ",$315 
Postoperative Or Post-Traumatic Infections W O.R. Proc W Cc,"$58,226 ",$390 
Postoperative Or Post-Traumatic Infections W O.R. Proc W Mcc,"$105,658 ",$378 
Postoperative Or Post-Traumatic Infections W O.R. Proc W/O Cc/Mcc,"$56,639 ",$450 
Postpartum  Post Abortion Diagnoses W O.R. Procedure,"$41,553 ",$765 
Postpartum  Post Abortion Diagnoses W/O O.R. Procedure,"$18,083 ",$550 
Prematurity W Major Problems,"$45,208 ","$1,204 "
Prematurity W/O Major Problems,"$16,339 ",$923 
Prostatectomy W Cc,"$43,920 ",$125 
Prostatectomy W Mcc,"$81,414 ",$637 
Prostatectomy W/O Cc/Mcc,"$31,963 ",$0 
Psychoses,"$31,099 ",$275 
Pulmonary Edema  Respiratory Failure,"$32,202 ",$282 
Pulmonary Embolism W Mcc,"$44,317 ",$475 
Pulmonary Embolism W/O Mcc,"$28,552 ",$764 
Rectal Resection W Cc,"$90,583 ",$316 
Rectal Resection W Mcc,"$94,747 ",$575 
Rectal Resection W/O Cc/Mcc,"$54,616 ",$134 
Red Blood Cell Disorders W Mcc,"$34,923 ",$322 
Red Blood Cell Disorders W/O Mcc,"$22,703 ",$433 
Renal Failure W Cc,"$25,361 ",$377 
Renal Failure W Mcc,"$37,471 ",$233 
Renal Failure W/O Cc/Mcc,"$20,116 ",$504 
Respiratory Infections  Inflammations W Cc,"$26,736 ",$434 
Respiratory Infections  Inflammations W Mcc,"$39,277 ",$277 
Respiratory Infections  Inflammations W/O Cc/Mcc,"$23,988 ",$621 
Respiratory Neoplasms W Cc,"$33,538 ",$368 
Respiratory Neoplasms W Mcc,"$49,670 ",$386 
Respiratory Neoplasms W/O Cc/Mcc,"$23,510 ",$2 
Respiratory Signs  Symptoms,"$23,683 ",$258 
Respiratory System Diagnosis W Ventilator Support <=96 Hours,"$55,380 ",$374 
Respiratory System Diagnosis W Ventilator Support >96 Hours,"$126,784 ",$239 
Reticuloendothelial  Immunity Disorders W Cc,"$30,797 ",$869 
Reticuloendothelial  Immunity Disorders W Mcc,"$35,223 ",$437 
Reticuloendothelial  Immunity Disorders W/O Cc/Mcc,"$20,451 ","$1,510 "
Revision Of Hip Or Knee Replacement W Cc,"$98,906 ",$317 
Revision Of Hip Or Knee Replacement W Mcc,"$125,376 ",$304 
Revision Of Hip Or Knee Replacement W/O Cc/Mcc,"$77,898 ",($115)
Seizures W Mcc,"$41,132 ",$382 
Seizures W/O Mcc,"$26,788 ",$490 
Septic Arthritis W Cc,"$37,120 ",$539 
Septic Arthritis W Mcc,"$60,283 ",$0 
Septic Arthritis W/O Cc/Mcc,"$19,436 ",$429 
Septicemia Or Severe Sepsis W Mv >96 Hours,"$140,861 ",$214 
Septicemia Or Severe Sepsis W/O Mv >96 Hours W Mcc,"$46,538 ",$355 
Septicemia Or Severe Sepsis W/O Mv >96 Hours W/O Mcc,"$27,737 ",$772 
"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W Cc","$66,272 ",$739 
"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W Mcc","$91,758 ",$894 
"Shoulder,Elbow Or Forearm Proc,Exc Major Joint Proc W/O Cc/Mcc","$61,472 ","$1,863 "
Signs  Symptoms Of Musculoskeletal System  Conn Tissue W Mcc,"$46,130 ",$94 
Signs  Symptoms Of Musculoskeletal System  Conn Tissue W/O Mcc,"$24,973 ",$463 
Signs  Symptoms W Mcc,"$38,165 ",$175 
Signs  Symptoms W/O Mcc,"$26,258 ",$304 
Simple Pneumonia  Pleurisy W Cc,"$22,001 ",$464 
Simple Pneumonia  Pleurisy W Mcc,"$31,551 ",$364 
Simple Pneumonia  Pleurisy W/O Cc/Mcc,"$17,988 ",$555 
Sinus  Mastoid Procedures W Cc/Mcc,"$13,303 ",$395 
Skin Debridement W Cc,"$47,026 ",$785 
Skin Debridement W Mcc,"$60,479 ",$250 
Skin Debridement W/O Cc/Mcc,"$31,162 ",$673 
Skin Graft Exc For Skin Ulcer Or Cellulitis W Cc,"$70,342 ",$860 
Skin Graft Exc For Skin Ulcer Or Cellulitis W Mcc,"$107,374 ",$0 
Skin Graft Exc For Skin Ulcer Or Cellulitis W/O Cc/Mcc,"$93,076 ",$771 
Skin Graft For Skin Ulcer Or Cellulitis W Cc,"$55,330 ",$581 
Skin Graft For Skin Ulcer Or Cellulitis W Mcc,"$69,371 ",$894 
"Skin Grafts  Wound Debrid For Endoc, Nutrit  Metab Dis W Cc","$61,208 ",$737 
"Skin Grafts  Wound Debrid For Endoc, Nutrit  Metab Dis W Mcc","$82,631 ",$75 
"Skin Grafts  Wound Debrid For Endoc, Nutrit  Metab Dis W/O Cc/Mcc","$24,721 ",$0 
Skin Grafts For Injuries W Cc/Mcc,"$94,965 ",$490 
Skin Grafts For Injuries W/O Cc/Mcc,"$38,895 ",$0 
Skin Ulcers W Cc,"$25,121 ",$143 
Skin Ulcers W Mcc,"$35,449 ",$76 
Skin Ulcers W/O Cc/Mcc,"$11,635 ","$1,725 "
Soft Tissue Procedures W Cc,"$64,117 ",$735 
Soft Tissue Procedures W Mcc,"$74,605 ",$305 
Soft Tissue Procedures W/O Cc/Mcc,"$40,843 ",$953 
Spinal Disorders  Injuries W Cc/Mcc,"$58,764 ",$100 
Spinal Fus Exc Cerv W Spinal Curv/Malig/Infec Or Ext Fus W Cc,"$168,941 ",$83 
Spinal Fus Exc Cerv W Spinal Curv/Malig/Infec Or Ext Fus W Mcc,"$167,311 ",$542 
Spinal Fus Exc Cerv W Spinal Curv/Malig/Infec Or Ext Fus W/O Cc/Mcc,"$79,257 ","$1,768 "
Spinal Fusion Except Cervical W Mcc,"$141,324 ",$970 
Spinal Fusion Except Cervical W/O Mcc,"$103,131 ",$468 
Spinal Procedures W Cc Or Spinal Neurostimulators,"$91,258 ",$579 
Spinal Procedures W Mcc,"$164,325 ",$133 
Spinal Procedures W/O Cc/Mcc,"$87,491 ",$809 
Splenectomy W Cc,"$77,483 ",$19 
Splenectomy W Mcc,"$177,593 ",$156 
Splenectomy W/O Cc/Mcc,"$83,358 ",$750 
"Sprains, Strains,  Dislocations Of Hip, Pelvis  Thigh W Cc/Mcc","$46,126 ",$264 
"Sprains, Strains,  Dislocations Of Hip, Pelvis  Thigh W/O Cc/Mcc","$27,036 ",$0 
"Stomach, Esophageal  Duodenal Proc W Cc","$71,575 ",$840 
"Stomach, Esophageal  Duodenal Proc W Mcc","$140,886 ",$269 
"Stomach, Esophageal  Duodenal Proc W/O Cc/Mcc","$56,050 ",$705 
Syncope  Collapse,"$28,680 ",$259 
"Tendonitis, Myositis  Bursitis W Mcc","$29,691 ",$508 
"Tendonitis, Myositis  Bursitis W/O Mcc","$20,454 ","$1,241 "
Testes Procedures W Cc/Mcc,"$47,373 ","$1,853 "
Testes Procedures W/O Cc/Mcc,"$36,040 ",$678 
Threatened Abortion,"$11,986 ",$917 
"Thyroid, Parathyroid  Thyroglossal Procedures W Cc","$52,620 ",$0 
"Thyroid, Parathyroid  Thyroglossal Procedures W Mcc","$116,498 ",$117 
"Thyroid, Parathyroid  Thyroglossal Procedures W/O Cc/Mcc","$50,012 ",$600 
"Trach W Mv >96 Hrs Or Pdx Exc Face, Mouth  Neck W/O Maj O.R.","$237,802 ",$336 
"Tracheostomy For Face,Mouth  Neck Diagnoses W Cc","$52,001 ",$350 
"Tracheostomy For Face,Mouth  Neck Diagnoses W Mcc","$98,642 ",$289 
Transient Ischemia W/O Thrombolytic,"$31,769 ",$499 
Transurethral Procedures W Cc,"$42,224 ",$825 
Transurethral Procedures W Mcc,"$68,563 ",$413 
Transurethral Procedures W/O Cc/Mcc,"$36,501 ",$841 
Transurethral Prostatectomy W Cc/Mcc,"$49,544 ",$416 
Transurethral Prostatectomy W/O Cc/Mcc,"$32,192 ",$305 
"Trauma To The Skin, Subcut Tiss  Breast W Mcc","$44,166 ",$412 
"Trauma To The Skin, Subcut Tiss  Breast W/O Mcc","$27,254 ",$362 
Traumatic Injury W Mcc,"$64,192 ",$350 
Traumatic Injury W/O Mcc,"$29,136 ",$469 
"Traumatic Stupor  Coma, Coma <1 Hr W Cc","$40,347 ",$469 
"Traumatic Stupor  Coma, Coma <1 Hr W Mcc","$50,127 ",$76 
"Traumatic Stupor  Coma, Coma <1 Hr W/O Cc/Mcc","$29,463 ",$607 
"Traumatic Stupor  Coma, Coma >1 Hr W Cc","$37,172 ",$481 
"Traumatic Stupor  Coma, Coma >1 Hr W Mcc","$47,739 ",$312 
"Traumatic Stupor  Coma, Coma >1 Hr W/O Cc/Mcc","$36,308 ",$396 
Uncomplicated Peptic Ulcer W Mcc,"$42,623 ",$62 
Uncomplicated Peptic Ulcer W/O Mcc,"$35,417 ",$166 
Upper Limb  Toe Amputation For Circ System Disorders W Cc,"$49,665 ",$239 
Upper Limb  Toe Amputation For Circ System Disorders W Mcc,"$66,979 ",$289 
Urethral Procedures W Cc/Mcc,"$88,089 ",$368 
Urethral Procedures W/O Cc/Mcc,"$30,560 ",$0 
Urethral Stricture,"$28,204 ",$981 
Urinary Stones W Esw Lithotripsy W Cc/Mcc,"$46,337 ","$1,183 "
Urinary Stones W/O Esw Lithotripsy W Mcc,"$47,413 ",$667 
Urinary Stones W/O Esw Lithotripsy W/O Mcc,"$29,286 ",$705 
Uterine  Adnexa Proc For Non-Malignancy W Cc/Mcc,"$55,857 ","$1,469 "
Uterine  Adnexa Proc For Non-Malignancy W/O Cc/Mcc,"$41,141 ","$1,333 "
Uterine  Adnexa Proc For Ovarian Or Adnexal Malignancy W Cc,"$67,737 ",$790 
Uterine  Adnexa Proc For Ovarian Or Adnexal Malignancy W Mcc,"$270,738 ",$813 
Uterine  Adnexa Proc For Ovarian Or Adnexal Malignancy W/O Cc/Mcc,"$57,666 ",$415 
"Uterine,Adnexa Proc For Non-Ovarian/Adnexal Malig W Cc","$67,391 ",$795 
"Uterine,Adnexa Proc For Non-Ovarian/Adnexal Malig W Mcc","$80,915 ",$390 
"Uterine,Adnexa Proc For Non-Ovarian/Adnexal Malig W/O Cc/Mcc","$67,032 ",$718 
"Vagina, Cervix  Vulva Procedures W Cc/Mcc","$62,469 ",$436 
"Vagina, Cervix  Vulva Procedures W/O Cc/Mcc","$35,331 ","$1,236 "
Vaginal Delivery W Complicating Diagnoses,"$17,521 ","$1,380 "
Vaginal Delivery W O.R. Proc Except Steril /Or Dc,"$26,712 ","$1,666 "
Vaginal Delivery W Sterilization /Or Dc,"$23,825 ","$1,639 "
Vaginal Delivery W/O Complicating Diagnoses,"$14,293 ","$1,239 "
Vein Ligation  Stripping,"$42,260 ",$552 
Ventricular Shunt Procedures W Cc,"$69,453 ","$2,870 "
Ventricular Shunt Procedures W Mcc,"$121,279 ",$71 
Ventricular Shunt Procedures W/O Cc/Mcc,"$48,681 ",$68 
Viral Illness W Mcc,"$42,732 ",$438 
Viral Illness W/O Mcc,"$21,281 ","$1,057 "
Viral Meningitis W Cc/Mcc,"$33,910 ",$981 
Viral Meningitis W/O Cc/Mcc,"$24,252 ","$1,572 "
"Wnd Debrid  Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W Cc","$88,732 ",$311 
"Wnd Debrid  Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W Mcc","$113,497 ",$256 
"Wnd Debrid  Skn Grft Exc Hand, For Musculo-Conn Tiss Dis W/O Cc/Mcc","$70,617 ",$438 
Wound Debridements For Injuries W Cc,"$46,427 ",$568 
Wound Debridements For Injuries W Mcc,"$95,122 ",$203 
Wound Debridements For Injuries W/O Cc/Mcc,"$82,332 ",$960 
