DRG_Definition,Average Charges
433-CIRRHOSIS & ALCOHOLIC HEPATITIS W CC,"$45,966.09 "
434-CIRRHOSIS & ALCOHOLIC HEPATITIS W/O CC/MCC,"$7,835.09 "
435-MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,"$69,011.12 "
436-MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,"$36,763.30 "
438-DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,"$66,500.22 "
439-DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,"$38,581.27 "
440-DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,"$24,995.57 "
"441-DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W MCC","$91,185.81 "
"442-DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W CC","$53,788.69 "
"443-DISORDERS OF LIVER EXCEPT MALIG,CIRR,ALC HEPA W/O CC/MCC","$34,042.88 "
444-DISORDERS OF THE BILIARY TRACT W MCC,"$68,337.03 "
445-DISORDERS OF THE BILIARY TRACT W CC,"$45,989.68 "
446-DISORDERS OF THE BILIARY TRACT W/O CC/MCC,"$25,868.98 "
453-COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W MCC,"$422,202.67 "
454-COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,"$288,082.15 "
455-COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W/O CC/MCC,"$202,387.02 "
456-SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W MCC,"$441,452.59 "
457-SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W CC,"$293,457.98 "
458-SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,"$223,228.47 "
459-SPINAL FUSION EXCEPT CERVICAL W MCC,"$338,504.58 "
460-SPINAL FUSION EXCEPT CERVICAL W/O MCC,"$188,478.49 "
461-BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W MCC,"$166,277.68 "
462-BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,"$112,474.90 "
"463-WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W MCC","$337,397.71 "
"464-WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W CC","$135,529.72 "
"465-WND DEBRID & SKN GRFT EXC HAND, FOR MUSCULO-CONN TISS DIS W/O CC/MCC","$87,159.31 "
466-REVISION OF HIP OR KNEE REPLACEMENT W MCC,"$221,926.70 "
467-REVISION OF HIP OR KNEE REPLACEMENT W CC,"$133,951.55 "
468-REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,"$90,847.83 "
469-MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,"$126,284.69 "
470-MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,"$68,704.39 "
471-CERVICAL SPINAL FUSION W MCC,"$205,273.53 "
472-CERVICAL SPINAL FUSION W CC,"$126,997.32 "
473-CERVICAL SPINAL FUSION W/O CC/MCC,"$111,470.44 "
474-AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W MCC,"$272,567.09 "
475-AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W CC,"$109,887.93 "
476-AMPUTATION FOR MUSCULOSKELETAL SYS & CONN TISSUE DIS W/O CC/MCC,"$47,942.82 "
477-BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC,"$118,038.69 "
478-BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC,"$82,356.67 "
479-BIOPSIES OF MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC,"$53,537.47 "
480-HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,"$149,605.38 "
481-HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,"$113,270.40 "
482-HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,"$76,345.33 "
483-MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,"$91,514.84 "
485-KNEE PROCEDURES W PDX OF INFECTION W MCC,"$148,729.87 "
486-KNEE PROCEDURES W PDX OF INFECTION W CC,"$72,027.95 "
488-KNEE PROCEDURES W/O PDX OF INFECTION W CC/MCC,"$104,732.72 "
489-KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,"$78,009.47 "
"492-LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W MCC","$170,931.20 "
"493-LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W CC","$118,206.14 "
"494-LOWER EXTREM & HUMER PROC EXCEPT HIP,FOOT,FEMUR W/O CC/MCC","$84,632.19 "
495-LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W MCC,"$169,206.30 "
496-LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W CC,"$112,967.45 "
497-LOCAL EXCISION & REMOVAL INT FIX DEVICES EXC HIP & FEMUR W/O CC/MCC,"$42,755.74 "
498-LOCAL EXCISION & REMOVAL INT FIX DEVICES OF HIP & FEMUR W CC/MCC,"$75,720.81 "
500-SOFT TISSUE PROCEDURES W MCC,"$247,919.46 "
501-SOFT TISSUE PROCEDURES W CC,"$86,271.07 "
502-SOFT TISSUE PROCEDURES W/O CC/MCC,"$80,735.42 "
503-FOOT PROCEDURES W MCC,"$150,253.41 "
504-FOOT PROCEDURES W CC,"$88,092.49 "
505-FOOT PROCEDURES W/O CC/MCC,"$84,747.91 "
506-MAJOR THUMB OR JOINT PROCEDURES,"$32,254.05 "
507-MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W CC/MCC,"$74,775.25 "
508-MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC,"$79,000.02 "
"510-SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W MCC","$122,930.74 "
"511-SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W CC","$111,831.22 "
"512-SHOULDER,ELBOW OR FOREARM PROC,EXC MAJOR JOINT PROC W/O CC/MCC","$74,394.54 "
"513-HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC","$52,377.86 "
"514-HAND OR WRIST PROC, EXCEPT MAJOR THUMB OR JOINT PROC W/O CC/MCC","$51,940.96 "
515-OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W MCC,"$211,970.59 "
516-OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W CC,"$91,314.40 "
517-OTHER MUSCULOSKELET SYS & CONN TISS O.R. PROC W/O CC/MCC,"$60,748.80 "
518-BACK & NECK PROC EXC SPINAL FUSION W MCC OR DISC DEVICE/NEUROSTIM,"$104,040.17 "
519-BACK & NECK PROC EXC SPINAL FUSION W CC,"$101,736.94 "
520-BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,"$61,184.42 "
534-FRACTURES OF FEMUR W/O MCC,"$78,052.49 "
535-FRACTURES OF HIP & PELVIS W MCC,"$76,147.24 "
536-FRACTURES OF HIP & PELVIS W/O MCC,"$51,397.41 "
"537-SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W CC/MCC","$98,658.14 "
"538-SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W/O CC/MCC","$39,279.68 "
539-OSTEOMYELITIS W MCC,"$81,262.07 "
540-OSTEOMYELITIS W CC,"$37,093.34 "
541-OSTEOMYELITIS W/O CC/MCC,"$46,865.30 "
542-PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W MCC,"$153,627.39 "
543-PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC,"$61,337.49 "
544-PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC,"$44,056.85 "
545-CONNECTIVE TISSUE DISORDERS W MCC,"$107,465.09 "
546-CONNECTIVE TISSUE DISORDERS W CC,"$57,320.26 "
547-CONNECTIVE TISSUE DISORDERS W/O CC/MCC,"$43,373.60 "
548-SEPTIC ARTHRITIS W MCC,"$83,877.12 "
549-SEPTIC ARTHRITIS W CC,"$48,384.29 "
550-SEPTIC ARTHRITIS W/O CC/MCC,"$41,077.92 "
551-MEDICAL BACK PROBLEMS W MCC,"$92,021.25 "
552-MEDICAL BACK PROBLEMS W/O MCC,"$63,982.53 "
553-BONE DISEASES & ARTHROPATHIES W MCC,"$66,685.27 "
554-BONE DISEASES & ARTHROPATHIES W/O MCC,"$24,372.35 "
555-SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC,"$52,144.91 "
556-SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC,"$39,334.63 "
"557-TENDONITIS, MYOSITIS & BURSITIS W MCC","$32,368.66 "
"558-TENDONITIS, MYOSITIS & BURSITIS W/O MCC","$35,304.48 "
"559-AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC","$109,615.42 "
"560-AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC","$43,508.36 "
"561-AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC","$28,491.74 "
"562-FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC","$67,153.04 "
"563-FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC","$48,526.63 "
564-OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC,"$46,667.94 "
565-OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC,"$42,745.11 "
566-OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,"$75,806.82 "
570-SKIN DEBRIDEMENT W MCC,"$281,004.77 "
571-SKIN DEBRIDEMENT W CC,"$124,800.27 "
572-SKIN DEBRIDEMENT W/O CC/MCC,"$33,274.65 "
573-SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W MCC,"$60,251.46 "
574-SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W CC,"$116,996.44 "
576-SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W MCC,"$308,969.87 "
577-SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC,"$99,471.75 "
578-SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC,"$71,883.76 "
"579-OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC","$86,339.60 "
"580-OTHER SKIN, SUBCUT TISS & BREAST PROC W CC","$61,210.64 "
"581-OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC","$64,595.98 "
582-MASTECTOMY FOR MALIGNANCY W CC/MCC,"$54,623.64 "
583-MASTECTOMY FOR MALIGNANCY W/O CC/MCC,"$57,785.14 "
"584-BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC","$60,419.45 "
"585-BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MCC","$82,630.14 "
592-SKIN ULCERS W MCC,"$42,249.31 "
593-SKIN ULCERS W CC,"$59,392.18 "
595-MAJOR SKIN DISORDERS W MCC,"$95,067.72 "
596-MAJOR SKIN DISORDERS W/O MCC,"$53,430.03 "
597-MALIGNANT BREAST DISORDERS W MCC,"$91,771.51 "
598-MALIGNANT BREAST DISORDERS W CC,"$36,018.21 "
599-MALIGNANT BREAST DISORDERS W/O CC/MCC,"$8,162.31 "
600-NON-MALIGNANT BREAST DISORDERS W CC/MCC,"$17,192.79 "
601-NON-MALIGNANT BREAST DISORDERS W/O CC/MCC,"$20,866.08 "
602-CELLULITIS W MCC,"$35,874.23 "
603-CELLULITIS W/O MCC,"$27,160.78 "
"604-TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC","$64,705.85 "
"605-TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC","$43,438.95 "
606-MINOR SKIN DISORDERS W MCC,"$69,748.27 "
607-MINOR SKIN DISORDERS W/O MCC,"$26,954.11 "
614-ADRENAL & PITUITARY PROCEDURES W CC/MCC,"$129,505.29 "
615-ADRENAL & PITUITARY PROCEDURES W/O CC/MCC,"$80,709.25 "
"616-AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC","$172,509.78 "
"617-AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC","$84,874.73 "
619-O.R. PROCEDURES FOR OBESITY W MCC,"$49,321.32 "
620-O.R. PROCEDURES FOR OBESITY W CC,"$55,287.44 "
621-O.R. PROCEDURES FOR OBESITY W/O CC/MCC,"$49,740.82 "
"623-SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC","$178,735.42 "
"625-THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W MCC","$100,255.99 "
"626-THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC","$68,501.02 "
"627-THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC","$57,750.69 "
"628-OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC","$192,217.67 "
"629-OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC","$95,544.68 "
"630-OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W/O CC/MCC","$63,240.81 "
637-DIABETES W MCC,"$62,570.50 "
638-DIABETES W CC,"$34,317.21 "
639-DIABETES W/O CC/MCC,"$26,102.09 "
"640-MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC","$66,307.49 "
"641-MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC","$32,857.36 "
642-INBORN AND OTHER DISORDERS OF METABOLISM,"$67,926.11 "
643-ENDOCRINE DISORDERS W MCC,"$93,827.94 "
644-ENDOCRINE DISORDERS W CC,"$32,778.11 "
645-ENDOCRINE DISORDERS W/O CC/MCC,"$29,739.01 "
652-KIDNEY TRANSPLANT,"$294,132.70 "
653-MAJOR BLADDER PROCEDURES W MCC,"$269,108.56 "
654-MAJOR BLADDER PROCEDURES W CC,"$182,897.30 "
655-MAJOR BLADDER PROCEDURES W/O CC/MCC,"$142,164.81 "
656-KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC,"$137,220.97 "
657-KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC,"$130,049.05 "
658-KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC,"$97,562.96 "
659-KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC,"$164,537.35 "
660-KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC,"$80,930.66 "
661-KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,"$76,280.77 "
662-MINOR BLADDER PROCEDURES W MCC,"$181,339.58 "
663-MINOR BLADDER PROCEDURES W CC,"$66,772.76 "
664-MINOR BLADDER PROCEDURES W/O CC/MCC,"$55,527.33 "
665-PROSTATECTOMY W MCC,"$53,730.51 "
668-TRANSURETHRAL PROCEDURES W MCC,"$200,147.07 "
669-TRANSURETHRAL PROCEDURES W CC,"$40,237.25 "
670-TRANSURETHRAL PROCEDURES W/O CC/MCC,"$31,320.30 "
671-URETHRAL PROCEDURES W CC/MCC,"$62,569.79 "
672-URETHRAL PROCEDURES W/O CC/MCC,"$60,321.45 "
673-OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC,"$96,972.82 "
674-OTHER KIDNEY & URINARY TRACT PROCEDURES W CC,"$101,442.69 "
675-OTHER KIDNEY & URINARY TRACT PROCEDURES W/O CC/MCC,"$92,539.61 "
682-RENAL FAILURE W MCC,"$58,581.43 "
683-RENAL FAILURE W CC,"$34,002.36 "
684-RENAL FAILURE W/O CC/MCC,"$19,483.34 "
686-KIDNEY & URINARY TRACT NEOPLASMS W MCC,"$79,314.95 "
687-KIDNEY & URINARY TRACT NEOPLASMS W CC,"$32,522.85 "
689-KIDNEY & URINARY TRACT INFECTIONS W MCC,"$43,467.71 "
690-KIDNEY & URINARY TRACT INFECTIONS W/O MCC,"$29,411.86 "
693-URINARY STONES W/O ESW LITHOTRIPSY W MCC,"$36,582.90 "
694-URINARY STONES W/O ESW LITHOTRIPSY W/O MCC,"$33,268.89 "
696-KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC,"$26,260.89 "
697-URETHRAL STRICTURE,"$22,885.49 "
698-OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,"$61,477.54 "
699-OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,"$35,226.26 "
700-OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC,"$34,864.56 "
707-MAJOR MALE PELVIC PROCEDURES W CC/MCC,"$96,872.04 "
708-MAJOR MALE PELVIC PROCEDURES W/O CC/MCC,"$79,713.27 "
709-PENIS PROCEDURES W CC/MCC,"$73,622.60 "
710-PENIS PROCEDURES W/O CC/MCC,"$48,037.04 "
711-TESTES PROCEDURES W CC/MCC,"$64,810.23 "
712-TESTES PROCEDURES W/O CC/MCC,"$46,450.97 "
713-TRANSURETHRAL PROSTATECTOMY W CC/MCC,"$39,409.27 "
714-TRANSURETHRAL PROSTATECTOMY W/O CC/MCC,"$33,265.56 "
716-OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC FOR MALIGNANCY W/O CC/MCC,"$86,138.47 "
717-OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC,"$66,297.58 "
"722-MALIGNANCY, MALE REPRODUCTIVE SYSTEM W MCC","$216,575.85 "
"723-MALIGNANCY, MALE REPRODUCTIVE SYSTEM W CC","$76,615.39 "
726-BENIGN PROSTATIC HYPERTROPHY W/O MCC,"$12,623.30 "
727-INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC,"$41,404.64 "
728-INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC,"$29,164.43 "
729-OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W CC/MCC,"$4,991.85 "
730-OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W/O CC/MCC,"$36,517.99 "
"734-PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W CC/MCC","$82,062.61 "
"735-PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W/O CC/MCC","$89,296.13 "
736-UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W MCC,"$219,616.12 "
737-UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC,"$127,362.85 "
738-UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W/O CC/MCC,"$78,517.54 "
"739-UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W MCC","$200,766.12 "
"740-UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC","$86,120.99 "
"741-UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W/O CC/MCC","$72,653.24 "
742-UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC,"$69,442.34 "
743-UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC,"$60,945.21 "
"744-D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC","$60,170.54 "
"745-D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W/O CC/MCC","$44,064.34 "
"746-VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC","$70,883.58 "
"747-VAGINA, CERVIX & VULVA PROCEDURES W/O CC/MCC","$67,843.03 "
748-FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES,"$67,405.87 "
749-OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC,"$123,109.46 "
750-OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,"$47,989.37 "
"754-MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC","$85,513.38 "
"755-MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC","$38,802.30 "
"756-MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC","$37,547.22 "
"757-INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W MCC","$52,435.47 "
"758-INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC","$34,407.54 "
"759-INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC","$24,103.61 "
760-MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC,"$41,920.90 "
761-MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC,"$22,704.19 "
765-CESAREAN SECTION W CC/MCC,"$59,255.47 "
766-CESAREAN SECTION W/O CC/MCC,"$45,039.59 "
767-VAGINAL DELIVERY W STERILIZATION &/OR D&C,"$36,286.03 "
768-VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C,"$29,503.55 "
769-POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE,"$103,528.82 "
"770-ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY","$36,319.17 "
774-VAGINAL DELIVERY W COMPLICATING DIAGNOSES,"$23,875.58 "
775-VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES,"$17,734.53 "
776-POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE,"$21,199.93 "
777-ECTOPIC PREGNANCY,"$43,548.38 "
778-THREATENED ABORTION,"$12,922.42 "
779-ABORTION W/O D&C,"$26,401.63 "
780-FALSE LABOR,"$7,911.51 "
781-OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS,"$23,539.20 "
782-OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS,"$11,397.05 "
783-CESAREAN SECTION W STERILIZATION W MCC,"$59,464.78 "
784-CESAREAN SECTION W STERILIZATION W CC,"$61,122.62 "
785-CESAREAN SECTION W STERILIZATION W/O CC/MCC,"$54,979.26 "
786-CESAREAN SECTION W/O STERILIZATION W MCC,"$85,702.24 "
787-CESAREAN SECTION W/O STERILIZATION W CC,"$60,548.63 "
788-CESAREAN SECTION W/O STERILIZATION W/O CC/MCC,"$55,670.29 "
"789-NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY","$256,964.15 "
"790-EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE","$407,798.86 "
791-PREMATURITY W MAJOR PROBLEMS,"$148,229.29 "
792-PREMATURITY W/O MAJOR PROBLEMS,"$23,466.62 "
793-FULL TERM NEONATE W MAJOR PROBLEMS,"$47,438.36 "
794-NEONATE W OTHER SIGNIFICANT PROBLEMS,"$8,640.63 "
795-NORMAL NEWBORN,"$3,700.84 "
796-VAGINAL DELIVERY W STERILIZATION/D&C W MCC,"$104,620.47 "
797-VAGINAL DELIVERY W STERILIZATION/D&C W CC,"$48,559.14 "
799-SPLENECTOMY W MCC,"$199,398.67 "
802-OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W MCC,"$87,998.67 "
803-OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W CC,"$125,049.97 "
804-OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W/O CC/MCC,"$64,683.16 "
805-VAGINAL DELIVERY W/O STERILIZATION/D&C W MCC,"$23,827.93 "
806-VAGINAL DELIVERY W/O STERILIZATION/D&C W CC,"$19,963.34 "
807-VAGINAL DELIVERY W/O STERILIZATION/D&C W/O CC/MCC,"$17,860.19 "
808-MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC,"$85,247.29 "
809-MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC,"$45,509.65 "
810-MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W/O CC/MCC,"$221,876.81 "
811-RED BLOOD CELL DISORDERS W MCC,"$56,928.78 "
812-RED BLOOD CELL DISORDERS W/O MCC,"$41,107.49 "
813-COAGULATION DISORDERS,"$157,830.44 "
814-RETICULOENDOTHELIAL & IMMUNITY DISORDERS W MCC,"$99,739.53 "
815-RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC,"$46,905.91 "
816-RETICULOENDOTHELIAL & IMMUNITY DISORDERS W/O CC/MCC,"$53,519.20 "
818-OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W CC,"$64,048.49 "
819-OTHER ANTEPARTUM DIAGNOSES W O.R. PROCEDURE W/O CC/MCC,"$39,365.66 "
820-LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W MCC,"$541,926.26 "
821-LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W CC,"$216,176.70 "
822-LYMPHOMA & LEUKEMIA W MAJOR O.R. PROCEDURE W/O CC/MCC,"$50,963.02 "
823-LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W MCC,"$509,472.21 "
824-LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W CC,"$76,253.57 "
825-LYMPHOMA & NON-ACUTE LEUKEMIA W OTHER PROC W/O CC/MCC,"$45,478.34 "
826-MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W MCC,"$292,986.73 "
827-MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W CC,"$112,873.23 "
828-MYELOPROLIF DISORD OR POORLY DIFF NEOPL W MAJ O.R. PROC W/O CC/MCC,"$81,637.84 "
829-MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER PROCEDURE W CC/MCC,"$225,456.63 "
830-MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS W OTHER PROCEDURE W/O CC/MCC,"$42,532.47 "
831-OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W MCC,"$42,426.84 "
832-OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W CC,"$21,342.19 "
833-OTHER ANTEPARTUM DIAGNOSES W/O O.R. PROCEDURE W/O CC/MCC,"$15,562.48 "
834-ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W MCC,"$405,274.78 "
835-ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W CC,"$114,409.56 "
836-ACUTE LEUKEMIA W/O MAJOR O.R. PROCEDURE W/O CC/MCC,"$22,514.20 "
837-CHEMO W ACUTE LEUKEMIA AS SDX OR W HIGH DOSE CHEMO AGENT W MCC,"$175,225.94 "
838-CHEMO W ACUTE LEUKEMIA AS SDX W CC OR HIGH DOSE CHEMO AGENT,"$95,876.00 "
839-CHEMO W ACUTE LEUKEMIA AS SDX W/O CC/MCC,"$41,740.42 "
840-LYMPHOMA & NON-ACUTE LEUKEMIA W MCC,"$189,944.50 "
