Description, CurrPrice 
THYROGLOBULIN,$883.00 
"T-4, TOTAL",$888.00 
"T4, FREE","$1,216.00 "
TSH,$920.00 
TSI (THYROID STIM IMMUNO),$256.00 
VITAMIN E,$373.00 
AST,$382.00 
NASH FIBROSURE -TRANSFERASE,$382.00 
"ASPARTATE AMINOTRANSFERASE,AST",$382.00 
NASH FIBROSURE -ALANINE AMINO,$400.00 
ARC ALT,$400.00 
"ALANINE AMINOTRANSFERASE, ALT",$400.00 
ALT,$400.00 
TRANSFERRIN,"$1,042.00 "
TRIGLYCERIDES,$411.00 
"TRIGLYCERIDES, FLUID",$411.00 
TRIGLYCERIDES,$411.00 
T-UPTAKE,$393.00 
T3 TOTAL,$910.00 
"T3, FREE","$1,043.00 "
REVERSE T3,"$1,280.00 "
TROPONIN-I,$506.00 
BUN-UREA NITROGEN,$277.00 
24 HR URINE UREA N,$277.00 
"UREA NITROGEN, URINE",$277.00 
URIC ACID,$277.00 
"URIC ACID, URINE",$277.00 
VANILLYLMANDELIC ACID,$393.00 
"VIP VASOACT, PEPTIDE","$1,966.00 "
ARGININE VASOPRESSINS,"$1,497.00 "
VITAMIN A,$859.00 
VITAMIN K,$109.00 
METHANOL,"$1,017.00 "
ZINC PLASMA,$206.00 
C-PEPTIDE,"$1,012.00 "
"HCG BETA, QUANT.",$939.00 
URINE HCG QUAL,$639.00 
"HCG SERUM, QUALITATIVE",$939.00 
STOOL OSMOLALITY,$27.00 
BLEEDING TIME,$289.00 
DIFFERENTIAL,$428.00 
HEMATOCRIT,$199.00 
HEMOGLOBIN,$199.00 
CBC W/DIFFERENTIAL,$441.00 
CBC W/DIFFERENTIAL,$441.00 
COMPLETE BLOOD COUNT,$324.00 
RBC (BMT),$23.00 
RETICULOCYTE COUNT (AUTOMATED),$341.00 
NASH FIBROSURE - PLATELET,$199.00 
PLATELET COUNT (AUTO),$199.00 
FACTOR II ASSAY,$648.00 
FACTOR V ASSAY,$648.00 
FACTOR VII ASSAY,$648.00 
FACTOR VIII ASSAY,$648.00 
RISTOCETIN COFACTOR,$584.00 
VW FACTOR ANTIGEN,$564.00 
VW MULTIMERS,$700.00 
FACTOR IX ASSAY,$648.00 
FACTOR X ASSAY,$718.00 
ANTI XA,$718.00 
FACTOR XI ASSAY,$648.00 
FACTOR XII ASSAY,$648.00 
FACTOR XIII ASSAY,$385.00 
AT III ACTIVITY,$718.00 
AT III ANTIGEN,$458.00 
PROT C ANTIGEN,$672.00 
PROTEIN C ACTIVITY,$718.00 
PROT S ANTIGEN,$790.00 
PROTEIN S ACTIVITY,$790.00 
ACTIVATED PROTEIN C-RESISTANCE,$200.00 
FACTOR VIII INHIBITOR,$842.00 
COAG TIME R (ACT-R) INITIAL,$170.00 
ACT,$170.00 
FIBRIN SPLIT PRODUCTS,$434.00 
"D-DIMER, QUANT",$598.00 
FIBRINOGEN,$598.00 
K ANGLE - INITIAL,$598.00 
LY30/EPL - INITIAL,$364.00 
TISSUE PLASMINOGEN ACTIVITY,$312.00 
KLEINHAUER-BETKE,$824.00 
FETAL SCREEN,$265.00 
FACTOR XA,$116.00 
"LYSOZYME, SERUM",$641.00 
ASPIRIN PLATELET RESPONSE TEST,$301.00 
PLAVIX PLATELET RESPONSE TEST,$301.00 
PLATELET AGGREGATION EACH AGNT,$301.00 
PROTHROMBIN TIME,$206.00 
PT IMMEDIATE MIX,$77.00 
PT MIX 1 HOUR,$77.00 
PT MIX 2 HOURS,$77.00 
DRVVT,$400.00 
SED RATE - WESTERGREN,$199.00 
HEMOGLOBIN S NEG TEST,$623.00 
THROMBIN TIME,$289.00 
SILICA CLOTTING TIME,$400.00 
APTT,$301.00 
ACTIVATED CLOTTING TIME,$301.00 
APTT IMMEDIATE MIX,$112.00 
APTT MIX 1 HOUR,$112.00 
APTT MIX 2 HOURS,$112.00 
"VISCOSITY, SERUM",$863.00 
ASPERGILLUS FUMIGATUS AB IGG 4,$68.00 
"ALLERGEN IGE, EACH",$506.00 
PENICILLIUM NOTATUM IGE,$506.00 
MOUNTAIN CEDAR IGE,$506.00 
WALNUT TREE IGE,$506.00 
SYCAMORE IGE,$506.00 
COTTONWOOD IGE,$506.00 
WHITE MULBERRY IGE,$506.00 
BERMUDA GRASS IGE,$506.00 
TIMOTHY GRASS IGE,$506.00 
ROUGH PIGWEED IGE,$506.00 
MUGWORT IGE,$506.00 
SHEEP SORREL IGE,$506.00 
ALLERGY PANEL NE IGE,$506.00 
PEANUT IGE,$506.00 
EGG WHITE IGE,$506.00 
WHEAT IGE,$506.00 
WALNUT IGE,$506.00 
CODFISH IGE,$506.00 
MILK IGE,$506.00 
SOYBEAN IGE,$506.00 
SHRIMP IGE,$506.00 
SCALLOP IGE,$506.00 
CLAM IGE,$506.00 
SESAME IGE,$506.00 
ANTI-PROTEINASE-3 ANTIBODY,"$1,225.00 "
ANT-MYELOPEROXIDASE AB,"$1,225.00 "
ANCA,"$1,225.00 "
SEROTONIN RELEASING ASSAY,$560.00 
HEPARIN ANTIBODY,$560.00 
HEPARIN PLT AB,"$1,066.00 "
ANTINUCLEAR ANTIBODY SCREEN,$939.00 
ANTINUCLEAR ANTIB TITER,$939.00 
ASO,$215.00 
C-REACTIVE PROTEIN,$206.00 
BETA 2 GLYCOPROTEIN IGA,$289.00 
BETA 2 GLYCOPROTEIN IGG,$289.00 
BETA 2 GLYCOPROTEIN IGM,$289.00 
ANTICARDIOLIPIN IGA,$289.00 
ANTICARDIOLIPIN IGG,$289.00 
ANTICARDIOLIPIN IGM,$289.00 
COLD HEMAGGLUTINS,$109.00 
C5 QUANT,$529.00 
C6 QUANT,$529.00 
C4 COMPLEMENT,$716.00 
C3 COMPLEMENT,$716.00 
C1 ESTERASE INHIBITOR,$362.00 
CH 50 TOTAL COMPLEMENT,$335.00 
COCCIDIODES CF,$386.00 
"CYC CITRUL PEPTIDE (CCP), ATB",$95.00 
DNASE B ANTIBODY,$173.00 
ANTI-DNA AB(DBL STRD),$888.00 
ANTI-DNA AB(SGLE-STRAND),$531.00 
SSB,"$1,199.00 "
RNP AB,"$1,366.00 "
SMITH ANTIGEN,$496.00 
SSA ANTIBODY,$315.00 
MI-2 AUTOANTIBODIES,$420.00 
SRP AUTOANTIBODY,$593.00 
JO 1 AUTOANTIBODY,$593.00 
SCL 70,$362.00 
ANTI-SKELETAL,$531.00 
YO ANTIBODY,"$1,557.00 "
HU ANTIBODY,"$1,080.00 "
"ANTIRETICULIN Ab, IGA",$160.00 
ENDOMYSIAL ANTIBODY IGA,$409.00 
CRIMP - 5 IGG,$218.00 
NMQ/APQ4 IGG CBA,$218.00 
SMOOTH MUSCLE ANTIBODY TITER,$939.00 
MITOCHONDRIAL ANTIBODY TITER,$939.00 
CA 19-9,$341.00 
CA 125,$341.00 
"HE4, OVARIAN CANCER MONITORING",$271.00 
MONO SLIDE TEST,$277.00 
CHROMOGRANIN A,$105.00 
PNEUMOCOCCAL AB TYPE 1,$659.00 
PNEUMOCOCCAL AB TYPE 3,$659.00 
PNEUMOCOCCAL AB TYPE 4,$659.00 
PNEUMOCOCCAL AB TYPE 5,$659.00 
PNEUMOCOCCAL AB TYPE 8,$659.00 
PNEUMOCOCCAL AB TYPE 9,$659.00 
PNEUMOCOCCAL AB TYPE 12,$659.00 
PNEUMOCOCCAL AB TYPE 14,$659.00 
PNEUMOCOCCAL AB TYPE 19,$659.00 
PNEUMOCOCCAL AB TYPE 23,$659.00 
PNEUMOCCOAL AB TYPE 26,$659.00 
PNEUMOCOCCAL AB TYPE 51,$659.00 
PNEUMOCOCCAL AB TYPE 56,$659.00 
PNEUMOCOCCAL AB TYPE 68,$659.00 
URINE IMMUNOFIXATION,$985.00 
S. VIRIDIS,$194.00 
IMMUNOFIX SERUM,"$1,665.00 "
"IMMUNOFIXATION, URINE","$1,665.00 "
INHIBIN A,$598.00 
INSULIN ANTIBODY,$617.00 
INTRINSIC FACTOR ANTIBODY,$664.00 
GLUTAMIC ACID 65 DECARBOXYLASE,$437.00 
INSULIN ANTIBODY (IA 2),$437.00 
IMMUNE CELL FUNCTION,$353.00 
"B CELLS, TOTAL COUNT",$209.00 
"MONONUCLEAR CELL ANTIGEN, QUAN",$182.00 
"NATURAL KILLER (NK) CELLS, TOT",$209.00 
T CELLS TOTAL COUNT CD3,$492.00 
CD4/CD8,"$1,031.00 "
STEM CELLS TOTAL COUNT CD34,$492.00 
ANTI LKM,$639.00 
THYROID MICROSOMAL AB TITER,$639.00 
THYROID PEROXIDASE ANTIBODY,$639.00 
STREPTOZYME,$575.00 
CRYPTOCOCCAL ANTIGEN,$372.00 
ESCHERICHIA E COLI K1 ANTIGEN,$149.00 
GROUP B STREPTOCOCCUS ANTIGEN,$149.00 
H.INFLUENZAE TYPE B ANTIGEN,$149.00 
"N.MENINGITIDIS GRP A,Y AG",$149.00 
N.MENINGITIDIS C/W 135 ANTIGEN,$149.00 
STREP PNEUMONIAE ANTIGEN,$149.00 
PCN BINDING PROTEIN,$149.00 
CRYPTOCOCCAL ANTIGEN TITER,$716.00 
RHEUMATOID FACTOR,$434.00 
QUANTIFERON (R) - TB GOLD,"$1,262.00 "
VDRL CSF,$277.00 
RAPID PLASMA REAGIN AUTO,$277.00 
ARC SYPHILIS,$63.00 
RPR QUANTITATIVE,$277.00 
ADENOVIRUS Ab,$81.00 
ASPERGILLUS FUMIGATUS Ab,$664.00 
ASPERGILLUS ANTIBODY,$664.00 
MICROPOLYSPORA FAENI,$239.00 
BARTONELLA HENSELAE IGG,$130.00 
BARTONELLA HENSELAE IGM,$130.00 
BARTONELLA QUINTANA IGG,$130.00 
BARTONELLA QUINTANA IGM,$130.00 
BLASTOMYCES Ab,$226.00 
FHA IGA,$437.00 
FHA IGG,$437.00 
LYME WB-IGG,$235.00 
LYME WB-IBM,$235.00 
LYME DISEASE,$192.00 
CHLAMYDIA AB PNEUMONIAE IGG,$170.00 
CHLAMYDIA AB PNEUMONIAE IGA,$170.00 
CHLAMYDIA AB PNEUMONIAE IGM,$197.00 
Q FEVER IGG PHASE II REFLEX,$274.00 
Q FEVER IGG PHASE I SCREEN,$274.00 
Q FEVER IGG PHASE II SCREEN,$274.00 
Q FEVER IGM PHASE I SCREEN,$274.00 
Q FEVER IGM PHASE II SCREEN,$274.00 
CMV IGG AVIDITY,$598.00 
CMV IGG,$598.00 
CMV IGM,$705.00 
COXSACKIE A AB,$203.00 
COXSACKIE A7,$203.00 
COXSACKIE A9,$203.00 
COXSACKIE A10,$203.00 
COXSACKIE B1,$203.00 
COXSACKIE B2,$203.00 
COXSACKIE B3,$203.00 
COXSACKIE B4,$203.00 
COXSACKIE B5,$203.00 
COXSACKIE B6,$203.00 
EB VIRUS NUCLEAR ANTIGEN,$420.00 
EBV (IGM),$499.00 
SO EBV VCA IGG,$499.00 
SO EBV VCA IGM,$499.00 
EBV IGG,$499.00 
S. CEREVISIAE AB IGA,$541.00 
GIARDIA LAMBLIA AB,$487.00 
H PYLORI AB IGG,$421.00 
STRONGYLOIDES IGG AB,$189.00 
HAEMOPHILUS INFLUENZAE B IGG,$449.00 
ARC ANTI HTLV 1/11,$63.00 
HEPATITIS DELTA Ab,$289.00 
HERPES SIMPLEX TYPE I,$362.00 
HERPES SIMPLEX VIRUS AB,"$1,006.00 "
"ANTIBODY;HERPES SIMPLEX,TYPE 2",$362.00 
HERPES SIMPLEX II AB,$362.00 
HISTOPLASMA Ab,$271.00 
RAPID HIV TEST,$90.00 
HIV 1/2,$122.00 
ARC ANTI HIV 1/2,$122.00 
HEP B CORE ANTIBODY TOT,$112.00 
ARC ANT HBC,$63.00 
HEP B CORE M ANTIOBODY,$537.00 
HEPATITIS B SURF ANTIBDY,$657.00 
HEPATITIS B SURF ANTIBODY QUAN,$657.00 
HAV-TOTAL,$206.00 
ANTIBODY TO HEP A IGM,$863.00 
INFLUENZA TYPE A Ab,$255.00 
INFLUENZA TYPE B Ab,$255.00 
STRATIFY JCV TM AB9 W/INDEX,$274.00 
MUMPS AB IGG,$575.00 
MYCOPLASMA IGM,$271.00 
MYCOPLASMA AB IGG,$575.00 
PARVOVIRUS B19 IGM AB,$203.00 
PARVOVIRUS B19 IGM AB,$203.00 
AMOEBIC AB,$386.00 
"TRYPANOSOMA CRUZI, AB TOTAL",$386.00 
ROCKY MTN SPOT FEVER IGG,$355.00 
ROCKY MTN SPOT FEVER IGM,$355.00 
"R. TYPHI, IGG",$355.00 
"R. TYPHI, IGM",$355.00 
RUBELLA IGG/IGM,$575.00 
MEASLES AB IGG,$547.00 
MEASLES AB IGM,$547.00 
ANTI TETANUS AB,$651.00 
TOXOPLASMA AB IGG,$806.00 
TOXOPLASMA GONDII IGG CSF,$806.00 
TOXOPLASMA GONDII IGM CSF,$554.00 
TOXOPLASMA AB IGM,$554.00 
TPPA,$181.00 
ANTIBODY SYPHILIS TREPON PALL,$181.00 
VARICELLA ZOSTER AB,$206.00 
"ANTIBODY; WEST NILE VIRUS, IGM",$405.00 
HEPATITIS E  ANTIBODY,$901.00 
THYROGLOBULIN AB TITER,"$1,280.00 "
ARC ANTI HCV,$393.00 
ANTI HCV AB,$393.00 
"HLA FLOW XM, 1ST SERUM",$696.00 
HLA ANTIBODY CLASS I & II SCR,$548.00 
HLA CLASS I ID,"$1,756.00 "
HLA CLASS II ID,"$1,596.00 "
ANTIBODY SCREEN,$278.00 
ANTIBODY ELUTION,$440.00 
ANTIBODY IDENTIFICATION,$568.00 
COMPLEX ABI ID RED C,"$1,678.00 "
DIRECT COOMBS,$272.00 
TRANS RX & INVESTIGATION,$348.00 
ANTIBODY TITER,$616.00 
ABO TYPE,$183.00 
BLOOD RH TYPE,$113.00 
ANTIGEN TYPE UNIT BLOOD,$511.00 
ANTIGEN TYPE PT CELLS,$511.00 
INIT XMATCH SPIN,$511.00 
INCUBATION TECH XMATCH,$128.00 
ANTIGLOBULINE XMATCH,$128.00 
ELECTRONIC XMATCH,$265.00 
BLOOD BANK IRRADIATION,$295.00 
ANTIBODY ABSORPTION,$593.00 
ALIQUOTING,$126.00 
"CONCENT, ANY TYPE, INF AGT",$166.00 
BLOOD CULTURE,"$1,187.00 "
STOOL CULTURE,"$1,033.00 "
STOOL CULTURE/YERSINIA,$271.00 
STOOL CULT/CAMPYLOBACTER,$271.00 
STOOL CULTURE/VIBRIO,$271.00 
STOOL CULTURE/E.COLI,$271.00 
SURVEILLANCE - MRSA,"$1,033.00 "
SURVEILLANCE - VRE,"$1,033.00 "
SURVEILLANCE - OTHER,"$1,033.00 "
G C CULTURE,"$1,033.00 "
"CULTURE, ENVIRONMENTAL","$1,033.00 "
GENITAL CULTURE,"$1,033.00 "
EAR CULTURE,"$1,033.00 "
EYE CULTURE,"$1,033.00 "
TISSUE CULTURE,"$1,033.00 "
AEROBIC CULT W/LSO & PRESMP ID,"$1,033.00 "
SPUTUM CULTURE,"$1,033.00 "
FLUID CULTURE,"$1,033.00 "
CSF CULTURE,"$1,033.00 "
ROUTINE CULTURE,"$1,033.00 "
THROAT CULTURE,"$1,033.00 "
NOSE CULTURE,"$1,033.00 "
WOUND CULTURE - QUANTITATIVE,$109.00 
ANA CULTURE,"$1,541.00 "
ANAEROBIC IDENTIFICATION,$219.00 
BACTERIAL ID,$422.00 
STREP A CULTURE,$373.00 
B PERTUSSIS/PARAPERTUSSIS CULT,$417.00 
STEM CELL STERILITY,$36.00 
TRICHOMONAS CULTURE,$109.00 
URINE CULTURE/CATH OR CL CATCH,$457.00 
URINE CULTURE,"$1,033.00 "
FUNGAL CULT OTHER SOURCE,$766.00 
FUNGAL BLOOD CULTURE,$766.00 
YEAST IDENTIFICATION,$197.00 
MOLD IDENTIFICATION,$422.00 
MYCOPLASMA CULTURE,$575.00 
CHLAMYDIA CULTURE,$409.00 
AFB CULTURE,"$1,140.00 "
CULTURE TYPING,$30.00 
IMMUNOLOGIC (PART AGGLUTINAT),$77.00 
STREP GROUP A ID,$121.00 
STREP GROUP B ID,$121.00 
STREP GROUP C ID,$121.00 
STREP GROUP D ID,$121.00 
STREP GROUP F ID,$121.00 
STREP GROUP G ID,$121.00 
MYCOBACTERIAL ID-NUCLEIC PROBE,$101.00 
OVA-PARASITES,$598.00 
SUSCEPT ATB GRAD STRP (E-TEST),$361.00 
ADD SENSITIVITY,$537.00 
KIRBY-BAUER,$326.00 
ENZYME DETECTION,$225.00 
PHOENIX SUSCEPTIBILITY,$471.00 
FUNGAL MIC PANEL,$518.00 
GRAM STAIN-G.C.,$356.00 
GRAM SMEAR,"$1,017.00 "
"URINE, FOR EOSINOPHILS",$190.00 
"LEGIONELLA, DFA",$203.00 
AFB SMEAR,"$1,300.00 "
MALARIAL SMEAR,"$1,017.00 "
TRICHROME STAIN F/OVA & PARAST,$759.00 
WET MOUNT,$40.00 
KOH SLIDE TEST,$356.00 
E. CHAFFEENSIS IGG,$274.00 
E. CHAFFEENSIS IGM,$274.00 
CMV CULTURE,$385.00 
HERPES CULTURE,$489.00 
CMV SHELL VIAL,$418.00 
ASPERGILLUS ANTIGEN,$82.00 
.C.DIFFICILE TOXINS A/B EIA,$511.00 
CLOSTRIDIUM DIFFICLE TOXIN PCR,$511.00 
CRYPTOSPORIDIUM Ag,$112.00 
GIARDIA ANTIGEN BY EIA,$215.00 
CMV NEG TEST,$118.00 
"H. PYLORI ANTIGEN, STOOL",$168.00 
HEPATITIS B SURF ANTIGEN,$657.00 
ARC HBSAG,$63.00 
HBSAG CONFIRM,$458.00 
HEPATITIS E ANTIGEN,$584.00 
HISTOPLASMA GALACTOMANNAN URIN,$75.00 
HIV 1/2 AB + P24 AG,$362.00 
ARC HIV P24AG,$218.00 
INF AGT AG DET INFLU TYPE A EA,$324.00 
INF AGT AG DET INFLU TYPE B EA,$324.00 
RSV AG,$324.00 
ROTAVIRUS AG,$381.00 
SHIGA-LIKE TOXIN AG IA,$151.00 
LEGIONELLA URINARY ANTIGEN,"$1,293.00 "
"AG DETECT NOS EIA, EACH","$1,293.00 "
ANTI GLIADIN ANTIBODY,"$1,293.00 "
S. PNEUMONIAE URINARY ANTIGEN,$121.00 
"BARTONELLA DNA, QUAL PCR",$274.00 
CT BY MOLECULAR AMP,$604.00 
CMV DNA PCR,"$1,854.00 "
ENTEROVIRUS RNA RT PCR,$669.00 
HEP B QUANT DNA,$628.00 
HEP C RNA QUAL TMA,$151.00 
"HEP C QUANT RNA,PCR","$1,300.00 "
HCV PCR QUANT,"$1,300.00 "
HERPES SIMPLEX TYPE 1 PCR QNT,$263.00 
HERPES SIMPLEX TYPE 2 PCR QNT,$362.00 
HERPES SIMPLEX VIRUS 6 DNA,$655.00 
HIV DNA PCR,"$1,516.00 "
HIV1 PCR QUANT,"$1,300.00 "
"LEGIONELLA, AMP PROBE TECH",$424.00 
GC BY MOLECULAR AMP,$604.00 
HUMAN PAPILLOMA VIRUS ASSAY,$511.00 
RESP VIRUS PCR 12 TARGETS,"$1,300.00 "
TRICHOMONAS VAGINALIS AMPLIF,$458.00 
"PARVOVIRUS B19 DNA, PCR","$1,017.00 "
"EB VIRUS DNA, QUAL PCR","$1,017.00 "
"HEPATITIS D VIRUS RNA, QUAL","$1,017.00 "
BORDETELLA PERTUSSIS PCR,"$1,017.00 "
BORDETELLA  PARAPERTUSSIS PCR,"$1,017.00 "
"HTLV I/II DNA, PCR","$1,017.00 "
JC VIRUS QUANTITATIVE PCR,$613.00 
PARVOVIRUS B19 PCR QUANT,$613.00 
BK VIRUS PCR,$460.00 
EBV DNA QUANTITATIVE PCR,$90.00 
BK VIRUS PCR URINE,$460.00 
VARICELLA ZOSTER VIR. DNA QUAN,$460.00 
EBV VIRUS PLASMA DNA QUANT PCR,$460.00 
BK VIRUS URINE DNA QUANT PCR,$460.00 
BK VIRUS PLASMA DNA QUANT PCR,$460.00 
LYME DNA PCR (CSF),"$1,118.00 "
HIV1/2 AND P24AG POC,$313.00 
RAPID GROUP STREP A ANTIGEN,$151.00 
HIV-1 GENOTYPE,"$1,657.00 "
HCV GENOTYPE,"$1,587.00 "
CMV GENOTYPE,"$4,205.00 "
 HEP B GENOTYPE,"$1,747.00 "
RESPIRATORY-INITIAL,"$1,140.00 "
"FLUIDS, CYTOSPIN PREPARATION-I","$1,043.00 "
URINE-INITIAL,$920.00 
SPINAL FLUID,"$1,043.00 "
CYTOSPIN,$341.00 
Thin Prep Non-Gynecologic,"$1,231.00 "
CYTO-PATH SELECTION CELLS,"$1,231.00 "
IMPRINTS,"$1,043.00 "
THIN PREP GYN,$406.00 
FNA PREP/SCREEN/INTER,"$2,105.00 "
FNA EXT SLIDE COUNT,$499.00 
FNA RAPID ASSESSMENT,"$2,908.00 "
FNA ASPIRATION/INTERPRET/RPT,"$1,621.00 "
ADD FNA EVAL,$733.00 
FLOW CYTOMETRY - FIRST MARKER,$620.00 
FLOW CYTOMETRY 1 MARKER,$620.00 
CD 45 PERCP-INITIAL,$620.00 
"FLOW CYTO, CELL SURF 1ST MRK",$620.00 
KAPPA,$620.00 
LAMBDA,$620.00 
FLOW CYTOMETRY EA ADD'L MARKER,$476.00 
"FLOW CYTO, CELL SURF EA ADD",$476.00 
EACH ADDITIONAL MARKER,$476.00 
FLOW CYTOMETRY 2 - 8 MARKERS,$841.00 
9 - 15 MARKERS,"$1,966.00 "
TISS CULT FOR NON-NEO DISO LYM,"$3,951.00 "
CHROMO TIS CULT FOR NEOPL DIS,"$3,951.00 "
CHROMOSOME ANALYSIS (TISSCULT),"$3,951.00 "
TISSUE CULTURE BLOOD/BM,"$3,951.00 "
TISS CULT CHRM ANAL PERI,"$3,951.00 "
CHROM ANAL CT/15/20 2KT,"$1,282.00 "
CHROM ANAL CT/15/20 2KT,"$1,282.00 "
CHROMOSOME ANALYSIS 20-25,"$1,140.00 "
CHROMOSOME ANLAYSIS 20-25 CELL,"$1,140.00 "
DNA PROBE,$240.00 
INTERPHASE INSITU HYBRIDIZAT,$313.00 
"FISH, DNA PROBE 100-300 CELLS",$313.00 
CHROM ANALYS ADD'L KARYOTYPES,$30.00 
CYTOGENETIC STUDY,$436.00 
SURGICAL PATH LEVEL 1 INITIAL,"$1,021.00 "
SURGICAL PATH LEVEL 1 ADD'L,"$1,021.00 "
SURGICAL PATH LEV II INITIAL,"$1,320.00 "
SURGICAL PATH LEVEL II ADD'L,"$1,320.00 "
SURGICAL PATH LEVEL III INITIA,"$1,748.00 "
SURGICAL PATH LEVEL III ADD'L,"$1,748.00 "
SURGICAL PATH LEVEL IV INITIAL,"$2,179.00 "
SURGICAL PATH LEVEL IV ADD'L,"$2,179.00 "
CELL BLOCK,$544.00 
SURGICAL PATH LEVEL V INITIAL,"$2,602.00 "
SURGICAL PATH LEVEL V ADD'L,"$2,602.00 "
SURGICAL PATH LEVEL VI INITIAL,"$3,036.00 "
SURGICAL PATH LEVEL VI ADD'L,"$3,036.00 "
DECALCIFICATION,"$1,017.00 "
ACID FAST STAIN,$397.00 
GOMARI STAIN FOR FUNGUS,$397.00 
GROCOTT,$397.00 
GRAM,$397.00 
PASF,$397.00 
WARTHIN STARRY,$397.00 
SPECIAL STAIN GROUP 1,$499.00 
"AMYLOID PROTEIN ID, PAR",$150.00 
ALICIAN BLUE PH 2.5,$397.00 
AURAMINE,$397.00 
COLLODIAN,$397.00 
CONGO RED,$397.00 
CRYSTAL VIOLET,$397.00 
ELASTIC,$397.00 
IRON,$397.00 
PER ACID METHENAMINE,$397.00 
PASC,$397.00 
PASG,$397.00 
RETIC,$397.00 
RHODAMINE,$397.00 
GOMAR TRICHROME,$397.00 
VON KASSA,$397.00 
MUCI,$397.00 
"SPECIAL STAINS, GROUP 2","$1,505.00 "
"ATPASE   PH 4.3, STAIN-INITIAL",$484.00 
"ATPASE   PH 9.4, STAIN-INITIAL",$484.00 
"NADH - TR, STAIN-INITIAL",$484.00 
"ESTERASE, STAIN-INTIAL",$484.00 
"ACID PHOSPHATASE, STAIN",$484.00 
"ALK PHOSPHATASE, STAIN-INITIAL",$484.00 
"MYOPHOSPHORYLASE, STAIN-INIT'L",$484.00 
COMP. OUTSIDE CONSULT,"$1,312.00 "
FROZEN SECTION SINGLE,"$3,041.00 "
FROZEN SECTION ADD'T,"$1,358.00 "
"IHC STAIN, EACH SINGLE",$420.00 
DOG1,$420.00 
NAPSIN,$420.00 
WTF1,$420.00 
CDX2,$420.00 
P57,$420.00 
HPYLORI,$420.00 
PAX 8,$420.00 
GATA 3,$420.00 
MAMMOGLOBIN,$420.00 
MLH-1,$420.00 
MSH-2,$420.00 
MSH-6,$420.00 
PMS-2,$420.00 
AE1/AE3 DETECT OF KERAT,$420.00 
BCL-2,$420.00 
BER-EP4,$420.00 
BRST-2,$420.00 
CALCITONIN,$420.00 
CAM 5.2,$420.00 
CD15,$420.00 
CD21 B CELLS,$420.00 
CD3 T CELLS,$420.00 
CD30,$420.00 
CD34 VASCULAR,$420.00 
CD43 T CELLS,$420.00 
CD45 LEUKOCYTO ANTIGEN,$420.00 
CD61 MEGAKARYOCYTIC,$420.00 
CD68 MACROPHAGE,$420.00 
CHROMGRANIN STAIN,$420.00 
CYTOMEGALOVIRUS,$420.00 
DESMIN,$420.00 
EMA,$420.00 
ER,$420.00 
GASTRIN,$420.00 
GFAP,$420.00 
GLYCOPHORINA,$420.00 
HCG,$420.00 
HER-2-NEU,$420.00 
HERPES SIMPLEX 1,$420.00 
HERPES SIMPLEX 2,$420.00 
CEA,$420.00 
KAPPA,$420.00 
KER 903,$420.00 
KI 67,$420.00 
L26 - B CELLS,$420.00 
LAMBDA,$420.00 
MSA,$420.00 
MYELOPEROXIDASE,$420.00 
NEUROFILAMENT,$420.00 
NSE,$420.00 
P53 CARCINOMA BREAST,$420.00 
PLACENTAL ALKA PHOSPHATA,$420.00 
PSA,$420.00 
PSAP,$420.00 
PTH,$420.00 
S-100 MELANOMA,$420.00 
SNAPTAPHYSIN,$420.00 
TDT,$420.00 
THYROGLOBULIN,$420.00 
VIMENTIN,$420.00 
CD79A,$420.00 
IGA,$420.00 
MEL (NCI/33),$420.00 
MIC 2,$420.00 
SMA,$420.00 
CALRETININ,$420.00 
CD1A,$420.00 
CD31,$420.00 
CK 7,$420.00 
CK 20,$420.00 
EBV,$420.00 
IGG,$420.00 
IGM,$420.00 
PR,$420.00 
CD10,$420.00 
CD2,$420.00 
CD8,$420.00 
CD4,$420.00 
CD23,$420.00 
CD57 (LEU 7),$420.00 
TTF-1,$420.00 
BCL-1,$420.00 
LYSOZYME,$420.00 
SV-40,$420.00 
ALK-1,$420.00 
INHIBIN,$420.00 
CK 5/6,$420.00 
CD 56,$420.00 
E-CADHERIN-INITIAL,$420.00 
CALPONIN-INITIAL,$420.00 
IGM IMMUNO-INITIAL,$420.00 
HEPPAR-INITIAL,$420.00 
BCL6-INITIAL,$420.00 
PAX5-INITIAL,$420.00 
CK18-INITIAL,$420.00 
CK19-INITIAL,$420.00 
CD138-INITIAL,$420.00 
MISC IHC,$420.00 
MELANIN A,$420.00 
RACEMASE,$420.00 
C4D-INITIAL,$458.00 
COMPLEMENT C3,$458.00 
IMMUNOFLOUR ALBUMIN,$458.00 
IMMUNOFLOUR C1Q,$458.00 
IMMUNOFLOUR C4,$458.00 
EM KAPPA IF,$458.00 
EM LAMBDA IF,$458.00 
EM FRIBRIN IF,$458.00 
ELECTRON MICROSCOPY DIAG,"$6,250.00 "
HER2NEU (DIGITAL IMAGE),$902.00 
CHROMOSOME ANALYSIS 15-20 CELL,"$1,966.00 "
KAPPA IN-SITU,$892.00 
LAMBDA IN-SITU,$892.00 
"MORPH ANAL, IN SITU, PROBE MAN",$816.00 
"MORPH ANAL (FISH), MAN,SINGLE",$791.00 
"MORPH ANAL(FISH), MAN, MULTPLX","$2,300.00 "
UNLISTED PATH RESEARCH SLIDES,$832.00 
