Service Area|Px Code|Procedure Description|Supply #|Unit Price
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24696|1,063.26
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24697|933.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24698|933.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24699|511.35
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24700|511.35
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24701|830.94
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24702|830.94
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24703|830.94
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24704|830.94
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24705|830.94
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24706|830.94
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24707|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24708|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24709|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24710|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24711|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24712|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24713|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24714|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24715|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24716|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24717|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24718|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24719|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24720|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24721|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24722|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24723|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24724|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24725|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24726|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24727|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24728|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24729|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24730|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24731|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24732|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24733|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24734|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24735|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24736|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24737|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24738|776.15
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24739|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24740|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24741|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24742|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24743|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24744|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24745|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24746|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24747|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24748|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24749|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24750|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24751|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24752|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24753|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24754|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24755|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24756|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24757|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24758|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24759|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24760|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24761|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24762|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24763|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24764|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24765|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24766|817.24
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24767|634.62
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24768|924.53
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24769|997.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24770|997.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24771|997.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24772|997.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24773|997.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24774|997.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24775|997.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24776|997.58
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24777|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24778|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24779|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24780|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24781|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24782|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24783|1,266.08
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24784|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24785|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24786|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24787|938.23
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24788|938.23
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24789|1,072.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24790|1,072.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24791|1,072.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24792|1,072.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24793|1,072.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24794|1,072.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24795|1,072.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24796|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24797|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24798|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24799|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|2480|492.87
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24800|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24801|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24802|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24803|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24804|1,143.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24805|1,264.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24806|1,264.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24807|1,264.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24808|1,264.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24809|1,401.29
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24810|1,264.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24811|1,424.47
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24812|1,424.47
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24813|1,424.47
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24814|1,424.47
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24815|203.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24816|176.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24817|176.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24818|203.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24819|176.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24820|176.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24821|176.92
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24822|203.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24823|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24824|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24825|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24826|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24827|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24828|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24829|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24830|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24831|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24832|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24833|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24834|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24835|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24836|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24837|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24838|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24839|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24840|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24841|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24842|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24843|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24844|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24845|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24846|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24847|707.67
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24848|424.60
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24849|424.60
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24850|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24851|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24852|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24853|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24854|143.29
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24855|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24856|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24857|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24858|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24859|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24860|139.25
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24861|429.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24862|429.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24863|429.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24864|429.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24865|429.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24866|429.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24867|429.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24868|429.17
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24869|538.74
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24870|144.43
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24871|179.77
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24872|179.77
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24873|179.77
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24874|179.77
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24875|179.77
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24876|133.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24877|133.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24878|133.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24879|133.68
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24880|144.43
WS SERVICE AREA|27800037|ANCHOR/SCREW FOR BONE-TO-BONE OR SOFT TISSUE-TO-BONE (IMPLANTED)|24881|144.43
