The information provided below is a comprehensive list of charges for each inpatient and outpatient service or item provided by Northside, also known as a chargemaster. 
It is not a helpful tool for patients seeking to comparison shop between hospitals or to estimate what health care services are going to cost them out of their own pocket. 
Northside reserves the right to change, delete, or otherwise modify its standard charges without any prior notice. 
For more information about the cost of your care, please contact one of Northside’s Financial Counselors at (404) 851-8694 or you may email to request a price estimate 
at Price.Estimate@Northside.com.



Northside Hospital System		
		
Charge Code	Charge Description	Charge
7022813	COAG FACTOR V ACTIVITY	$977
7022814	COAG FACTOR VIII ACTIVITY	$977
10727917	COBALT CO57 ORAL UP TO 1 UCI	$711
7025989	"COBALT,SERUM"	$228
7341606	COGNITIVE EVALUATION	$840
6993606	COGNITIVE EVALUATION SP	$840
6993703	COGNITIVE SKILLS DEVELOP 15M ST	$163
7173703	COGNITIVE/PERCEPTION TRAINING 15M	$163
6751740	COLLAGEN CORNEAL SHIELD	$116
6751826	COLLAGEN SCAFFOLD RECONST	"$8,803"
7128426	COLOR FLOW DOPPLER	$605
6758822	COLORADO MICRO DISSECTING NEEDLE	$235
6751742	"COLOSTOMY SET, HOLLISTER"	$112
7133968	COMP EPS W/ CORO SINUS OR LA REC	"$10,214"
7133969	COMP EPS W/ DRUG/ STIM/PACING REP	"$6,421"
7133260	COMP EPS W/ABLATE SVT	"$36,762"
7133261	COMP EPS W/ABLATE VT	"$22,732"
7023045	COMPLEMENT C3	$328
7023308	COMPLEMENT C4	$328
6781628	COMPLEX PROCEDURE	"$1,838"
7133951	COMPREHENSIVE EP STUDY W/INDUCT.	"$18,103"
7029518	COMPREHENSIVE METABOLIC PANEL	$491
7027280	CONCENTRATION INFECTIOUS AGENT	$92
6751744	CONNECTIVE TISS NON-HUMAN LVL I	"$1,719"
7361059	CONT SPAG TREATMENT 1ST HR	$180
7361060	CONT SPAG TREATMENT EA ADTL HR	$98
7257910	CONT. PHYSICS SUPPORTS	"$1,184"
6758656	CONTOUR PROF. TISSUE EXPANDER	"$5,466"
7121080	CONTRAST ECHO COMPLETE	"$2,756"
7121081	CONTRAST ECHO FOLLOW-UP OR LMTD	"$1,581"
7121075	CONTRAST ECHO STRESS	"$1,790"
6751842	CONTRAST MODULATION SYSTEM	"$1,158"
10727403	CONVER EXT BIL DRAIN CATH	"$7,777"
6500062	CONVERSION KIT	$26
10721128	CONVERT G-TUBE TO J-TUBE	"$2,662"
10727078	CONVERT NEPHROSTOMY CATH	"$1,873"
7025486	"COPPER, SERUM"	$320
7361031	CORD ARTERIAL BLOOD GAS	$309
7361032	CORD VENOUS BLOOD GAS	$309
7028672	CORTISOL TOTAL	$312
6754752	COSEAL EXTENDED APPLICATOR	$225
6751752	COSTA VAC DRAINAGE SYSTEM	$936
6607047	COUDE FOLEY CATHETER	$106
6751754	COUNCIL CATHETER	$148
6522061	CP OB U/S 2ND FETUS(1ST TRIMESTER	$774
6522026	CP OB U/S SINGLE (1ST TRIMESTER)	"$1,034"
7865009	CPAP INITIATION & MANAGEMENT	$673
7865009	CPAP INITIATION & MANAGEMENT	$976
7865077	CPAP MANAGEMENT 15 MIN	$149
7865078	CPAP MANAGEMENT 30 MIN	$298
7362001	CPAP MANAGEMENT HOME UNIT	$149
7865024	C-PAP TUBING - 6FT	$36
7865025	C-PAP TUBING - 9FT	$82
7865064	CPAP-PURCHASE	"$3,792"
7865065	CPAP-RENTAL	$657
7861005	CPAP-REPLACEMENT	"$3,792"
7029501	CPK	$155
7028486	CPK TOTAL	$155
6027671	CPR GROUP INSTRUCTION	$87
6447671	"CPR, GROUP INSTRUCTION"	$87
7363061	CPT TX INITIAL	$202
7361405	CPT TX SUBSEQUENT	$164
7025952	CREATININE BODY FLUID	$189
7028665	CREATININE CLEARANCE	$312
6587016	CREATININE CONFIRMATION	$40
10729760	CREATININE I- STAT	$56
10726143	CREATININE I-STAT	$56
7028660	CREATININE SERUM	$57
7028178	CREATININE URINE	$189
7028664	CREATININE URINE 24HR	$231
7507536	CRISIS-IN PER 15 MIN	$80
6783085	CRITICAL CARE	"$4,277"
6783096	CRITICAL CARE ADDL 30 MIN	"$2,079"
7021487	CRMP-5 IGG	$82
7020724	CROSSMATCH AHG	$444
7020727	CROSSMATCH ELECT	$444
7020725	CROSSMATCH IS	$444
7025930	CRP HIGH SENSITIVITY	$275
7022804	CRP QUANT	$221
6026066	CRRT PER DAY	"$2,435"
6754030	CRYO CUFF	$417
7022249	CRYOFIBRINOGEN	$44
7028179	CRYOGLOBULIN	$45
7020130	CRYOPRECIPITATE	$288
7080811	CRYOPRESERVATION	"$5,568"
7022808	CRYPTOCOCCAL AG CSF	$230
7022147	CRYPTOCOCCAL AG SERUM	$471
7021056	CRYPTOSPORIDIUM AG	$99
7022004	CRYSTAL EXAM	$99
10725190	CT ABDOMEN W/CONTRAST	"$4,062"
10725201	CT ABDOMEN W/O CONTRAST	"$3,315"
10725215	CT ABDOMEN WO/W CONTRAST	"$4,367"
10728541	CT ABD-PELV ANGIO WO W CONTRAST	"$5,324"
10728332	CT ABD-PELVIS W/CONTRAST	"$5,154"
10728330	CT ABD-PELVIS WO CONTRAST	"$4,476"
10728335	CT ABD-PELVIS WO/W/CONTRAST	"$5,850"
10725267	CT ANGIO ABD AORTA W/RUN W/CON	"$3,514"
10725266	CT ANGIO ABDOMEN W/CON	"$3,562"
10725259	CT ANGIO CHEST W/CON	"$4,169"
10725889	CT ANGIO COR ART/GRAFTS	"$1,961"
10725408	CT ANGIO HEAD W/CON	"$3,462"
10725264	CT ANGIO LOWER EXT BI W/CON	"$6,462"
10725263	CT ANGIO LOWER EXT W/CON	"$3,231"
10725409	CT ANGIO NECK W/CON	"$3,462"
10725411	CT ANGIO PELVIS W/CON	"$3,423"
10725413	CT ANGIO UPPER EXT BI W/CON	"$5,582"
10725412	CT ANGIO UPPER EXT W/CON	"$3,392"
10725100	CT CARDIAC SCREENING	$216
10722503	CT CATHETER DRAINAGE	$495
10725245	CT CHEST W/CONTRAST	"$3,690"
10725193	CT CHEST W/O CONTRAST	"$3,007"
10728286	CT CHEST WO/W CONTRAST	"$3,875"
10722941	CT COLON DIAG W/CONTRAST	"$1,575"
10722940	CT COLON DIAG W/O CON	"$1,033"
10722942	CT COLON SCREEN	$917
10725235	CT C-SPINE W/CONTRAST	"$3,373"
10725192	CT C-SPINE W/O CONTRAST	"$3,270"
10728285	CT C-SPINE WO/W CONTRAST	"$3,514"
10725881	CT EVAL COR CALCIUM W/O CON	"$1,265"
10725530	CT FACIAL SINUS W/CONTRAST	"$3,031"
10725207	CT FACIAL SINUS W/O CONTRAST	"$2,846"
10728291	CT FACIAL SINUS WO/W CONTRAST	"$3,296"
10728007	CT GUIDE/PLACEMENT RAD THERAPY	"$2,916"
10725202	CT GUIDED NEEDLE PLACEMENT S&I	"$2,439"
10725186	CT GUIDED TISSUE ABLATION S&I	"$2,439"
10725405	CT HEAD (BRAIN) W/CONTRAST	"$3,396"
10725198	CT HEAD (BRAIN) W/O CONTRAST	"$2,890"
10728292	CT HEAD (BRAIN) WO/W CONTRAST	"$3,897"
10725200	CT LIMITED CT/FOLLOW UP STUDY	"$1,479"
10725255	CT LOWER EXT BI W/CONTRAST	"$5,599"
10725256	CT LOWER EXT BI WO/W CONTRAST	"$6,095"
10725254	CT LOWER EXT W/O CONTRAST BILAT	"$5,266"
10725295	CT LOWER EXTREMITY W/CONTRAST	"$2,973"
10725204	CT LOWER EXTREMITY W/O CONTRAST	"$2,789"
10725435	CT LOWER EXTREMITY WO/W CONTRAST	"$3,231"
10725265	CT L-SPINE W/CONTRAST	"$3,373"
10725195	CT L-SPINE W/O CONTRAST	"$3,206"
10725275	CT L-SPINE WO/W CONTRAST	"$3,514"
10725101	CT LUNG CANCER SCREENING	$450
10725285	CT NECK W/CONTRAST	"$3,031"
10725203	CT NECK W/O CONTRAST	"$2,846"
10728293	CT NECK WO/W CONTRAST	"$3,296"
10725300	CT NEEDLE BIOPSY	$200
10723711	CT NEEDLE BIOPSY BONE	$719
10725420	CT ORBIT/SELLA/IAC W/CONTRAST	"$3,060"
10725199	CT ORBIT/SELLA/IAC W/O CONTRAST	"$2,873"
10725425	CT ORBIT/SELLA/IAC WO/W CONTRAST	"$3,327"
10725205	CT PELVIS W/ CONTRAST	"$3,694"
10725191	CT PELVIS W/O CONTRAST	"$3,292"
10728294	CT PELVIS WO/W CONTRAST	"$3,974"
10725229	CT STEREOTACTIC GUIDANCE S&I	"$2,524"
10725887	CT STRUCTDURE/MORPH CONGENITAL	"$2,606"
10725882	CT STRUCTURE/MORPH W/CON	"$1,140"
10725315	CT T-SPINE W/CONTRAST	"$3,378"
10725194	CT T-SPINE W/O CONTRAST	"$3,206"
10728298	CT T-SPINE WO/W CONTRAST	"$3,514"
10725252	CT UPPER EXT BI W/CONTRAST	"$5,599"
10725251	CT UPPER EXT BI W/O CONTRAST	"$5,266"
10725253	CT UPPER EXT BI WO/W CONTRAST	"$6,095"
10728300	CT UPPER EXTREMITY W/CONTRAST	"$2,973"
10725206	CT UPPER EXTREMITY W/O CONTRAST	"$2,789"
10728299	CT UPPER EXTREMITY WO/W CONTRAST	"$3,231"
7027285	CULT GBS PEN ALLERG	$158
7026096	CULTURE AEROBIC.	$352
7027159	CULTURE AFB BLOOD MYCOBACTERIA	$555
7027196	CULTURE AFB MYCOBACTERIA	$464
7026098	CULTURE ANAEROBIC.	$569
7027095	CULTURE BLOOD	$384
7027274	CULTURE CATH TIP	$352
7027142	CULTURE CSF	$374
7027105	CULTURE FUNGUS	$320
7026764	CULTURE FUNGUS BLOOD	$384
7026515	CULTURE HERPES	$435
7026516	CULTURE LEGIONELLA	$482
7026097	"CULTURE STOOL,"	$403
7027130	CULTURE THROAT	$352
7027150	CULTURE URINE	$374
7025612	CYCLOSPORA STAIN	$374
7026251	CYCLOSPORINE MONOCLONAL LEVEL	$486
6601315	CYSTO	"$3,486"
10727010	CYSTOGRAM VOIDING	$629
7161001	CYSTOMETROGRAM (CMG) W FLUORO	"$1,476"
7161000	CYSTOMETROGRAM (CMG)W/O FLUORO	"$1,259"
10720041	CYSTOSTOMY TUBE CHG SIMPL BI	"$3,108"
10720040	CYSTOSTOMY TUBE CHG SIMPLE	"$2,072"
10721057	CYSTOURETHROSCOPY W/BRUSH BX	"$8,029"
7022023	CYTOGEN M ARRAY COPY NMBR	"$6,992"
7054404	CYTOLOGY NONGYN TECH ENHANCEMENT	$380
7024453	CYTOLOGY NONGYN TECH ENHANCMENT	$380
7054384	CYTOLOGY NONGYN TECH FNA	$342
7054389	CYTOLOGY NONGYN TECH OTHER SMEAR	$342
7022880	D DIMER	$266
6706925	D&C POST PARTUM HEMMORRHAGE	"$1,152"
7080645	"DAVITA THER APHERESIS, TPX PLASMA"	"$6,148"
7372739	DEBRIDEMENT NONSELECTIVE PT	$260
6992747	DEBRIDEMENT SEL EA AD 20 SQ CM PT	$457
7341740	DEBRIDEMENT SEL SM <20 CM	$457
6992740	DEBRIDEMENT SEL SM <20 CM PT	$457
7054386	DECALCIFICATION TECHNICAL	$126
7956026	DECLOT CENTRAL LINE	$885
10720180	DECLOT CENTRAL/PICC LINE	$885
6755717	DEFIBRILATOR PACER PADS	$181
6758351	DERMACARRIER MESHGRAFT	$124
7110727	DES-1ST ART LC	"$25,739"
7110728	DES-1ST ART LD	"$25,739"
7110730	DES-1ST ART RC	"$25,739"
7110732	DES-ADD ART LC	"$22,165"
7110733	DES-ADD ART LD	"$22,165"
7110747	DES-MI REVASC CORO 1ST ART LC	"$24,514"
7110748	DES-MI REVASC CORO 1ST ART LD	"$24,514"
7110750	DES-MI REVASC CORO 1ST ART RC	"$24,514"
6522114	DETAILED OB US 2ND FETUS	"$1,009"
6522040	DETAILED OB US-SINGLE	"$1,355"
10724911	DGT MAM DX/CAD BILATERAL	$924
10724916	DGT MAM DX/CAD UNILATERAL	$735
10724905	DGT MAMMO SCREEN/CAD BI	$751
7025720	DHEA (DEHYDROEPIANDOSTERONE)	$603
7025756	DHEA SULFATE	$413
8550202	DIABETES SELF MGT GRP 30MIN	$79
8550201	DIABETES SELF MGT IND 30MIN	$163
7501213	DIAGNOSTIC EVALUATION	$462
7110558	DIALYSIS CIRCUIT EMBOLJ	$567
7362035	DIFFUSION CAPACITY	$282
7028659	DIGOXIN(LANOXIN) LEVEL	$359
10727022	DILAT&CATHJ SALI DUCT W/WO INJECT	$580
10727416	DILATE BILR DUCT/AMPULLA	"$3,888"
10727805	DILATION NEPHRO	"$4,408"
6751784	DILATION STYLET	$167
10727806	DILATION URETERAL	"$8,131"
6751791	DILATOR -NOTTINGHAM	$362
6750377	DILATOR VESSEL	$38
7020824	DIRECT ANTIGLOBULIN C3D-C3B	$153
7020823	DIRECT ANTIGLOBULIN IGG SERUM	$153
7022429	DIRECT ANTIGLOBULIN TEST	$153
7027279	DIRECT GRAM STAIN W CULT	$122
7027281	DIRECT SMEAR W AFB CULTURE	$149
10727827	DISCOGRAM LUMBAR EACH	"$1,474"
6758051	DISP BIPOLAR FORCEPTS	$83
6751798	DISP ENDOPATH 10/11 BLUNT	$785
6751806	DISP VERRES NEEDLE	$221
6751267	DISPOSABLE ICP ACCESS KIT	"$1,612"
6757810	DISPOSABLE PURSE STRING DEVICE	$525
7080863	DONOR LYMPH PROCESS W CRYO	"$12,445"
6750529	DONOR MILK 20 CAL 1 OZ	$23
6751096	DONOR MILK 22 CAL 1 OZ	$23
6522046	DOPPLER ECHO FETAL-FOLLOW-UP	$528
6522030	DOPPLER ECHO FETAL-NEW	$961
6750404	DOUBLE UNIV PUMPING SYSTEM	$118
6751810	DOYLE II SILICONE AIRWAY SPLINT	$168
6750532	DRAIN AMBULATORY DRY SEAL CHEST	$531
10725940	DRAIN CATH SOFT TISSUE W/IMG	$612
6757105	DRAIN HEMOVAC LG. MED	$144
6757106	DRAIN HEMOVAC SMALL	$145
6607108	DRAIN JACKSON PRATT	$100
6607109	DRAIN JACKSON PRATT RESERVOIR	$96
6751812	DRAIN PLEUR EVAC	$138
6751580	DRAIN SILICONE CHANNEL	$50
6752512	DRAIN TLS	$261
10724379	DRAIN/INJ ITM JOINT/BURSA W/O US	$495
10720121	DRAIN/INJ ITM JOINT/BURSA W/US	$771
10720104	DRAIN/INJ JOINT/BURSA W/O US	$739
10724378	DRAIN/INJ MAJ JOINT/BURSA W/O US	$495
10720122	DRAIN/INJ MAJ JOINT/BURSA W/US	$771
10720120	DRAIN/INJ SM JOINT/BURSA W/US	$771
6757164	DRESSING ABDOMINAL VAC	"$1,534"
6751644	DRESSING ANTIMICO IV CLEAR 4X4.8I	$28
6751412	DRESSING FOAM RTD 4 X 4 X 1/8	$27
6750482	DRESSING KOMPREX SHEET	$152
6757259	DRESSING SURGICEL 2 X 3	$112
6750881	DRESSING SURGICEL 4 X 8	$464
6750483	DRESSING TRICOFIX	$66
6751583	DRESSING WOUND CONTACT SILVERLON	$42
6755439	"DRESSING, SURGICEL 1/2 X 2"	$76
6751814	DRILL BIT/BUR LVL I	$416
6751815	DRILL BIT/BUR LVL II	$658
6751819	DRILL BIT/BUR LVL III	"$1,573"
7022131	DRUG TEST DEFIN QUL/QUN 1-7 PR DY	$374
7022131	DRUG TEST DEFIN QUL/QUN 1-7 PR DY	$376
7022131	DRUG TEST DEFIN QUL/QUN 1-7 PR DY	$383
7022132	DRUG TEST DEFIN QUL/QUN 8-14PR DY	$374
7022132	DRUG TEST DEFIN QUL/QUN 8-14PR DY	$376
7022132	DRUG TEST DEFIN QUL/QUN 8-14PR DY	$383
6587025	DRUG TEST PRESUMP INSTR-RD PR DOS	$84
7022133	DRUG TEST PRESUMPT DIR OPT OBS	$50
7022134	DRUG TEST PRESUMPT INSTRUMENT	$67
7022135	DRUG TEST PRESUMPT PR DOS	$271
7022137	DRUG TST DEFIN QUL/QUN 15-21PR DY	$374
7022137	DRUG TST DEFIN QUL/QUN 15-21PR DY	$376
7022137	DRUG TST DEFIN QUL/QUN 15-21PR DY	$383
6522612	DUCTUS VENOSIS/ARTERIOSUS	"$1,239"
6751823	DUOVISC	$489
8259313	DUPLEX ABD VISCERAL COMPLETE/A	"$1,535"
8259307	DUPLEX CAROTIDES BILAT/A	"$1,439"
8259302	DUPLEX UE/LE VENOUS UNI/A	"$1,021"
6750615	DUPLOCATH CATHETER	$171
7021044	EBNA	$109
7025063	EBV BY PCR QUANT	"$1,118"
7021045	EBV IGG	$105
7021046	EBV IGM	$105
6020217	ECHO (NICU ONLY)	"$3,156"
8259827	ECHO COMPLETE (ALPH)	"$3,156"
7120208	ECHO COMPLETE ADULT	"$3,156"
7128425	ECHO DOPPLER	$605
7121012	ECHO DOPPLER LMTD	$301
7120209	ECHO FOLLOW-UP OR LMTD	"$1,507"
7120210	ECHO NO DOPPLER	"$1,657"
6020216	"ECHO,F/U OR LIMITED (NICU ONLY)"	"$1,507"
7121004	ECHOCARDIOGRAM CONGENITAL COMPLT	"$3,011"
7121011	ECHOCARDIOGRAM CONGENITAL LMTD	"$1,507"
7128434	ECHOCARDIOGRAM STRESS	"$1,876"
6758767	ECS STAPLE	"$2,482"
7142502	EEG COMA OR SLEEP ONLY	$765
7142174	"EEG ROUTINE, AWAKE & DROWSY"	$851
7142193	EEG VIDEO ADDITIONAL 24 HRS	"$2,712"
7142192	EEG VIDEO INITIAL 24 HRS	"$3,725"
7142501	"EEG, AWAKE & ASLEEP"	$944
7142178	"EEG, EXTENDED, GREATER THAN 1 HR"	"$2,620"
7142175	"EEG, EXTENDED, UP TO 1 HR"	"$1,745"
7021922	EIA INFECT AG QUAL NOS EACH AG	$413
7120510	EKG (CARDIOLOGY) ROUTINE	$386
8251008	EKG ALPHA CARDIOLOGY	$386
6780511	EKG ED	$386
6780497	EKG ED - RIGHT SIDED	$386
7120515	EKG INFANT	$386
7120518	EKG MERIDIAN MARK	$386
7120520	EKG PSA MAIN	$386
7120101	EKG RHYTHM STRIP	$233
6751199	EKOSONIC CATHETER	"$10,433"
7021920	"ELASTASE, PANCREATIC, FECAL, QUAL"	$269
7125800	ELECTIVE CARDIOVERSION	"$1,784"
7562707	ELECTRICAL STIM ATTEND PER 15M	$218
7341706	ELECTRICAL STIM UNATTENDED	$208
7621869	ELECTRICAL STIM UNATTENDED PT	$208
7284646	ELECTROCOCHLEOGRAPHY BILAT	"$1,496"
6756900	ELECTRODE DISPOSABLE	$911
7284634	ELECTRODES VERTICAL	$112
7029517	ELECTROLYTES	$237
7028181	ELECTROLYTES URINE	$237
7054416	ELECTRON MICROSCOPY	"$2,345"
7020814	ELUTION STUDY	$597
10727811	EMBOL/OCCLUS EXTRACRANIAL	"$20,107"
6751440	EMBOLIZATION COIL LEVEL I	$666
6751441	EMBOLIZATION COIL LEVEL II	"$1,534"
6751442	EMBOLIZATION COIL LEVEL III	"$3,126"
6751880	EMBOLIZATION COIL LEVEL IV	"$4,631"
10727954	EMBOLIZATION NON NEURO ARTERY	"$34,131"
10727956	EMBOLIZATION NON NEURO HEMORR	"$34,131"
10727955	EMBOLIZATION NON NEURO TUMOR	"$34,131"
10727953	EMBOLIZATION NON NEURO VENOUS	"$34,131"
6750507	EMBOLIZATION PROTECT SYS LVL II	"$6,406"
6751142	EMBOSPHERE	"$1,158"
7161200	EMG	$654
6751856	ENDO CLIP AUTO SUTURE	"$1,395"
7030601	ENDO RECOVERY EA ADD 15 MIN	$294
7030600	ENDO RECOVERY INITIAL 15 MIN	$407
6752955	ENDOGRASPER	$900
10729181	ENDOLUM BX URET/ RNL PLVS	"$3,209"
10727418	ENDOLUMINAL BX BILR TREE	"$3,888"
7025860	ENDOMYSIAL IGA AUTOAB TITER	$163
6754879	ENDOPOUCH RETRIEVER	$785
6751981	ENDOSTITCH/QUICKLOAD	$666
7361111	"ENDOTRACHEAL TUBE,"	$135
10727894	ENDOVASC PROLNG ADMIN RX 1ST	"$5,929"
10727895	ENDOVASC PROLNG ADMIN RX ADD	"$5,929"
6757741	ENT HEMOSTAT KIT	$511
7026780	ENTEROVIRUS RNA BY PCR	$891
6162000	ENTERSTOMAL THERAPY.	$271
6607783	ENTRY NEEDLE	$62
6750438	ENVELOPE ANTIBACTERIAL PACER/ICD	"$8,173"
7023100	EOSINOPHIL SMEAR URINE	$149
6705010	EPIDURAL L&D	$535
6580441	EPIDURAL NEEDLE 20G	$42
6751912	EPIFIX AMNIOTIC MEMBRANE PER SQCM	$624
7480036	ER INTERACT NON-PRO DX EVAL	$192
7480030	ER NON-PRO BHS DIAGNOSTIC EVAL	$462
6751913	ERASER WETFIELD 23GA FINE POINT	$168
10728538	ERCP W/OPTICAL ENDOMICROSCPY	"$1,309"
10727853	ERCP W/SPECIMEN COLLECTION	"$6,560"
7023500	ERYTHROPOIETIN LEVEL	$555
7030061	ESOPHAGEAL MOTILITY W I&R	"$4,826"
7380300	ESRD EMERGENCY DIALYSIS TX	"$2,702"
7621707	E-STIM ATTENDED PER 15M OT	$218
7621870	E-STIM ATTENDED PER 15M PT	$218
6991706	E-STIM UNATTENDED OT	$208
6992706	E-STIM UNATTENDED PT	$208
7028182	ESTRADIOL	$196
6601300	ESWL - SINGLE	"$24,520"
6601314	ESWL SINGLE W/ CYSTO	"$28,006"
7027265	ETEST EACH STRIP	$57
6758828	ETHICON 5MM EUDOCLIP	$789
7025516	ETHYLENE GLYCOL BLOOD	$288
6751923	EUDO SCRUB SHEATH	$145
6751924	EUDOCATCH	$642
7173691	EVAL SPEECH PRODUCTION	$840
7173692	EVAL SPEECH SOUND LANG CMPREH	$840
7173693	EVAL VOICE/RESON BEHAV & QUAL	$840
6751925	EVICEL FIBRIN SURGICAL HEMOSTAT	"$2,672"
10721125	EXCHANGE ABS DRAIN CATH	"$2,576"
10727405	EXCHANGE BIL DRAIN CATH	"$7,777"
10727079	EXCHANGE NEPHROSTOMY CATH	"$2,886"
7271708	EXERCISE/STIM PER 15 MIN OT	$176
7272709	EXERCISE/STIM PER 15 MIN PT	$176
10050100	EXRACORPOREAL PHOTOPHERESIS	"$11,853"
6433006	EXT BREAST GARMENT/CAMISOLE	$115
7284611	EXTERNAL OCULAR PHOTOGRAPHY	$107
7021008	EXTRACTABLE NUCLEAR AG/AB	$87
6750883	EXTRACTOR CATZ	$80
6754646	EYE LENS	"$1,278"
6756134	E-Z WRAP ARTHROSCOPIC DRESSING	$237
10729974	F-18 FDG DX UP TO 45 MCI	"$2,668"
6757667	FACIOPLASTY SUPPORT	$80
7506605	FAMILY TREATMENT W/PT	$91
7027076	FAT FECAL QUAL	$122
7025331	FAT FECAL QUANT	$630
6751934	FAT TRANSFER COLLECTOR	"$1,287"
6750292	FECAL MANAGEMENT SYSTEM	"$1,429"
7271711	FEEDING STIM OT	$384
7273713	FEEDING STIM SP	$366
6750474	"FEEDING TUBE, 30 DAY"	$123
6587015	FENTANYL LEVEL	$40
7026244	FERRITIN	$274
6522029	FETAL BIOPHY W/NST-SINGLE	"$1,183"
6522080	FETAL BIOPHY-2ND FETUS	$813
6522081	FETAL BIOPHY-SINGLE FETUS	"$1,044"
7020799	FETAL CELL SCREENING TEST	$154
6522614	FETAL COLOR FLOW MAPPING	$875
6522616	FETAL ECHO - FOLLOW-UP	"$1,021"
6522615	FETAL ECHO - NEW	"$1,850"
7029531	FETAL FIBRONECTIN	"$1,023"
6522610	FETAL UMB ARTERY US	$759
7026348	FHE4	$599
6751936	FIBERWIRE SUTURE	$477
3655262	FIBRIN DEGRADATION D-DIMER QL/SQ	$174
7022042	FIBRINOGEN	$294
10720044	FIDUCIAL MARKER TRIAL	$1
6751061	FILSHIE CLIPS	$265
7025924	FINAL CROSSMATCH STANDARD	"$1,330"
7051065	FISH DNA PROBE 1	$415
7021587	FISH INSIGHT 100-300 CELLS	$559
7021586	FISH INSIGHT DNA PROBE	$395
10725121	FLD COLLX DRN CATH PERC PERITON	"$4,200"
10725117	FLD COLLX DRN CATH PERC VISC	"$4,200"
10725125	FLD COLLX DRN CATH TRANSREC/VAG	"$3,701"
10720112	FLORBETABEN F18 STY UP TO 8.1MCI	"$3,436"
6951167	FLOW CYTOMETRY TECH MARKER 1	$263
6951168	FLOW CYTOMETRY TECH MARKER ADD	$184
7341714	FLUIDOTHERAPY	$252
6991714	FLUIDOTHERAPY OT	$252
10729218	FLUORO CVD WO/W VENOGRAM S&I	"$1,096"
10727735	FLUORO NDL PLC BX/ASP/INJ/LOC	"$1,096"
10727043	FLUORO NEEDLE GUIDE DX/TX SPN	$986
10728167	FLUORO OVER 60 MIN	"$1,264"
10728168	FLUORO UNDER 1 HR	$751
10720115	FLUTEMETAMOL F18 STY UP TO 5 MCI	"$11,461"
7025495	FOLATE RED CELL	$395
7026882	"FOLATE, SERUM"	$290
6751022	FOLEY 16 FR WITH URINE METER	$72
6750779	FORCEP BRONCHIAL BIOPSY	$410
6753358	FORCEPS BIOPSY	"$1,320"
7025932	FREE T3	$321
7028213	FREE T4 THYROXINE	$255
7020171	FRESH FROZEN PLASMA	$345
7054382	FROZEN SECTION TECH ADDITIONAL	$252
7054381	FROZEN SECTION TECHNICAL	$443
7026333	FRUCTOSAMINE	$286
7025337	FSH	$516
7022010	FSP	$312
7023505	FTA SERUM	$312
7865048	FULL FACE CUSHION REPLACEMENT	$116
7865055	FULL FACE MASK LVL I	$618
6751947	FULL RADIUS DYONICS	$278
7025338	G6PD RBC SCREEN	$237
10720257	GADOBENATE MULTIHANCE PER ML	$54
10720258	GADOBENATE MULTIPACK PER ML	$76
10727458	GADOLINIUM MRI CONTRAST PER ML	$26
10720276	GADOTERIDOL MULTIPACK PER ML	$63
10727462	GADOXETATE (EOVIST) PER 1 ML	$69
7372715	GAIT TRAINING PER 15 MINUTES	$203
6992715	GAIT TRAINING PER 15 MINUTES PT	$203
10726648	GALLIUM 68 DOTATATE 0.1 MCI	$192
10722988	GALLIUM CITRATE PER MCI	$176
7028186	GAMMA GT	$99
6431500	GARMENT NONELASTIC EXTRM LVL I	$180
6431501	GARMENT NONELASTIC EXTRM LVL II	$335
6431502	GARMENT NONELASTIC EXTRM LVL III	$565
6431503	GARMENT NONELASTIC EXTRM LVL IV	$960
6431509	GARMENT STRETCH OTHER LVL I	$180
6431510	GARMENT STRETCH OTHER LVL II	$335
6431511	GARMENT STRETCH OTHER LVL III	$565
7025340	GASTRIN	$491
7030062	GASTROESOPHAGEAL REFLUX TEST	"$4,668"
10722932	GASTROINTESTINAL TUBE INTRO	$774
10727013	GASTROSTOMY TUBE REPOSITION	$407
7027005	GBS BY PCR	$158
7028500	GC DNA BY AMPLIFICATION	$286
6757956	GEL PORT	"$2,501"
6520505	GENETIC COUNSEL EST PAT LEVEL 1	$212
6520500	GENETIC COUNSEL NEW PAT LEVEL 1	$212
7028574	GENTAMICIN(GARAMYCIN) PEAK	$363
7028185	GENTAMICIN(GARAMYCIN) RANDOM	$363
7028575	GENTAMICIN(GARAMYCIN) TROUGH	$363
7030069	GI BRAVO REFLUX TEST W ELECTRODE	"$4,863"
7027006	GI PCR PANEL	$898
7031001	GI PROCEDURE ADDL 15 MIN	"$1,415"
7031000	GI PROCEDURE INITIAL 15 MIN	"$3,908"
7030064	GI TRACT CAPSULE ENDOSCOPY	"$8,266"
6752816	GIA RELOAD UNIT	"$1,395"
7021057	GIARDIA AG	$190
6757638	GLASSCOCK DRESSING	$142
7021481	GLIAL NUCLEAR AB TYPE 1	$82
6750315	GLOVE ISOTONER	$51
7029511	GLUCOSE 1HR POST DOSE/ PRANDIAL	$75
7028187	GLUCOSE BODY FLUID	$180
7028720	GLUCOSE CSF	$180
7028304	GLUCOSE FASTING	$69
7033525	GLUCOSE POC	$68
7026895	GLUCOSE POC FOLLOWUP	$69
7028369	GLUCOSE RANDOM	$69
3655100	GLUCOSE REAGENT STRIP	$69
7025517	GLYCOHEMOGLOBIN A1C	$243
