Item, Amount 
CATH BLLN FG APEX MR 4.00X15MM, 206.00 
CATH BLLN FG APEX MR 4.00X20MM, 206.00 
CATH BLLN FG APEX MR 4.00X30MM, 206.00 
CATH BLLN FG APEX MR 4.00X8MM, 206.00 
CATH BLLN FG APEX MR 5.00X15MM, 206.00 
CATH BLLN FG APEX MR 5.00X20MM, 206.00 
CATH BLLN FOXCROSS 5X120X135, 206.00 
CATH BLLN HURRICANE 10MM 4CM, 620.00 
CATH BLLN HURRICANE 4MM 4CM, 620.00 
CATH BLLN HURRICANE 6MM 4CM, 620.00 
CATH BLLN HURRICANE 8MM 4CM, 620.00 
CATH BLLN INSPIRA AIR 10X40MM," 1,720.00 "
CATH BLLN INSPIRA AIR 14X40MM," 1,720.00 "
CATH BLLN KIT 6FR 18F-4CM," 1,010.00 "
CATH BLLN LUTONIX 130CM 7X80MM," 2,751.00 "
CATH BLLN LUTONIX 130CM6X220MM," 4,470.00 "
CATH BLLN LUTONIX 130CM7X100MM," 2,751.00 "
CATH BLLN LUTONIX 130CM7X120MM," 4,470.00 "
CATH BLLN LUTONIX 130CM7X150MM," 4,470.00 "
CATH BLLN LUTONIX 130CM7X220MM," 4,470.00 "
CATH BLLN LUTONIX 6X150X130," 4,470.00 "
CATH BLLN MUSTANG 8X30MM 75CM, 620.00 
CATH BLLN MUSTANG 9X80MM, 620.00 
CATH BLLN NC TREK RX 2.25X15MM, 206.00 
CATH BLLN NC TREK RX 2.25X8MM, 206.00 
CATH BLLN NC TREK RX 5X12MM, 206.00 
CATH BLLN PACIFIC 3.0X40X130, 620.00 
CATH BLLN PACIFIC 4.0X20X130, 620.00 
CATH BLLN POWERFLEX 10X100X80, 206.00 
CATH BLLN POWERFLEX 10X20X135, 206.00 
CATH BLLN POWERFLEX 10X60X80, 206.00 
CATH BLLN POWERFLEX 10X80X135, 206.00 
CATH BLLN POWERFLEX 10X80X80, 206.00 
CATH BLLN POWERFLEX 12X20X135, 206.00 
CATH BLLN POWERFLEX 12X60X135, 206.00 
CATH BLLN POWERFLEX 12X60X80, 206.00 
CATH BLLN POWERFLEX 3X120X80, 206.00 
CATH BLLN POWERFLEX 3X150X80, 206.00 
CATH BLLN POWERFLEX 3X20X80, 206.00 
CATH BLLN POWERFLEX 3X40X80, 206.00 
CATH BLLN POWERFLEX 3X60X135, 206.00 
CATH BLLN POWERFLEX 3X60X80, 206.00 
CATH BLLN POWERFLEX 3X80X135, 206.00 
CATH BLLN POWERFLEX 3X80X80, 206.00 
CATH BLLN POWERFLEX 4X100X80, 206.00 
CATH BLLN POWERFLEX 4X20X80, 206.00 
CATH BLLN POWERFLEX 4X40X80, 206.00 
CATH BLLN POWERFLEX 4X60X80, 206.00 
CATH BLLN POWERFLEX 4X80X80, 206.00 
CATH BLLN POWERFLEX 5X100X80, 206.00 
CATH BLLN POWERFLEX 5X22X80, 206.00 
CATH BLLN POWERFLEX 5X80X80, 206.00 
CATH BLLN POWERFLEX 6X100X80, 206.00 
CATH BLLN POWERFLEX 6X60X80, 206.00 
CATH BLLN POWERFLEX 7X100X135, 206.00 
CATH BLLN POWERFLEX 7X80X80, 206.00 
CATH BLLN POWERFLEX 8X100X135, 206.00 
CATH BLLN POWERFLEX 8X100X80, 206.00 
CATH BLLN POWERFLEX 8X80X80, 206.00 
CATH BLLN POWERFLEX 9X100X80, 206.00 
CATH BLLN POWERFLEX 9X80X135, 206.00 
CATH BLLN POWERFLEX 9X80X80, 206.00 
CATH BLLN PTA 14," 1,010.00 "
CATH BLLN PTA 14 LP 2 X 2," 1,720.00 "
CATH BLLN PTA 14 LP 2.5MMX2CMX," 1,010.00 "
CATH BLLN PTA DIL 14X4X80, 620.00 
CATH BLLN PTCA OTW APEX 5X20MM, 206.00 
CATH BLLN QUANTUM 8MM 3X180CM, 620.00 
CATH BLLN QUANTUM APEX 2.0X30, 206.00 
CATH BLLN QUANTUM APEX 3.25X12, 206.00 
CATH BLLN QUANTUM APEX 3.25X20, 206.00 
CATH BLLN QUANTUM APEX 3.75X12, 206.00 
CATH BLLN QUANTUM APEX 4.5X15, 206.00 
CATH BLLN RELIEVA ULTIRRA 7X16," 2,751.00 "
CATH BLLN SABER 2.5X100MM 150, 620.00 
CATH BLLN SABER 2.5X150MM 150, 620.00 
CATH BLLN SABER 2.5X200MM 150, 620.00 
CATH BLLN SABER 2.5X20MM 150CM, 620.00 
CATH BLLN SABER 2.5X250MM 150, 620.00 
CATH BLLN SABER 2.5X300MM 150, 620.00 
CATH BLLN SABER 2.5X30MM 150CM, 620.00 
CATH BLLN SABER 2.5X40 150CM, 620.00 
CATH BLLN SABER 2.5X60 150CM, 620.00 
CATH BLLN SABER 2.5X80 150CM, 620.00 
CATH BLLN SABER 2X100MM 150CM, 620.00 
CATH BLLN SABER 2X150MM 150CM, 620.00 
CATH BLLN SABER 2X200MM 150CM, 620.00 
CATH BLLN SABER 2X20MM 150CM, 620.00 
CATH BLLN SABER 2X250MM 150CM, 620.00 
CATH BLLN SABER 2X300MM 150CM, 620.00 
CATH BLLN SABER 2X30MM 150CM, 620.00 
CATH BLLN SABER 2X40MM 150CM, 620.00 
CATH BLLN SABER 2X60MM 150CM, 620.00 
CATH BLLN SABER 2X80MM 150CM, 620.00 
CATH BLLN SABER 3.5X100X150, 620.00 
CATH BLLN SABER 3.5X150MM 150, 620.00 
CATH BLLN SABER 3.5X200MM 150, 620.00 
CATH BLLN SABER 3.5X20MM 150CM, 620.00 
CATH BLLN SABER 3.5X250MM 150, 620.00 
CATH BLLN SABER 3.5X300MM 150, 620.00 
CATH BLLN SABER 3.5X30MM 150CM, 620.00 
CATH BLLN SABER 3.5X40MM 150CM, 620.00 
CATH BLLN SABER 3.5X60MM 150CM, 620.00 
CATH BLLN SABER 3.5X80MM 150CM, 620.00 
CATH BLLN SABER 3X100MM 150CM, 620.00 
CATH BLLN SABER 3X150MM 150CM, 620.00 
CATH BLLN SABER 3X200MM 150CM, 620.00 
CATH BLLN SABER 3X20MM 150CM, 620.00 
CATH BLLN SABER 3X250MM 150CM, 620.00 
CATH BLLN SABER 3X300MM 150CM, 620.00 
CATH BLLN SABER 3X30MM 150CM, 620.00 
CATH BLLN SABER 3X40MM 150CM, 620.00 
CATH BLLN SABER 3X60MM 150CM, 620.00 
CATH BLLN SABER 3X80MM 150CM, 620.00 
CATH BLLN SABER 4X100MM 150CM, 620.00 
CATH BLLN SABER 4X150MM 150CM, 620.00 
CATH BLLN SABER 4X200MM 150CM, 620.00 
CATH BLLN SABER 4X20MM 150CM, 620.00 
CATH BLLN SABER 4X250MM 150CM, 620.00 
CATH BLLN SABER 4X300MM 150CM, 620.00 
CATH BLLN SABER 4X30MM 150CM, 620.00 
CATH BLLN SABER 4X40MM 150CM, 620.00 
CATH BLLN SABER 4X60MM 150CM, 620.00 
CATH BLLN SABER 4X80MM 150CM, 620.00 
CATH BLLN SABER 5X100MM 150CM, 620.00 
CATH BLLN SABER 5X150MM 150CM, 620.00 
CATH BLLN SABER 5X200MM 150CM, 620.00 
CATH BLLN SABER 5X20MM 150CM, 620.00 
CATH BLLN SABER 5X250MM 150CM, 620.00 
CATH BLLN SABER 5X300MM 150CM, 620.00 
CATH BLLN SABER 5X30MM 150CM, 620.00 
CATH BLLN SABER 5X40MM 150CM, 620.00 
CATH BLLN SABER 5X60MM 150CM, 620.00 
CATH BLLN SABER 5X80MM 150CM, 620.00 
CATH BLLN SABER 6X100MM 150CM, 620.00 
CATH BLLN SABER 6X150MM 150CM, 620.00 
CATH BLLN SABER 6X200MM 150CM, 620.00 
CATH BLLN SABER 6X20MM 150CM, 620.00 
CATH BLLN SABER 6X250MM 150CM, 620.00 
CATH BLLN SABER 6X300MM 150CM, 620.00 
CATH BLLN SABER 6X30MM 150CM, 620.00 
CATH BLLN SABER 6X40MM 150CM, 620.00 
CATH BLLN SABER 6X60MM 150CM, 620.00 
CATH BLLN SABER 6X80MM 150CM, 620.00 
CATH BLLN SABER 7MM 20X150CM, 620.00 
CATH BLLN SABER 7X100MM 150CM, 620.00 
CATH BLLN SABER 7X30MM 150CM, 620.00 
CATH BLLN SABER 7X40MM 150CM, 620.00 
CATH BLLN SABER 7X60MM 150CM, 620.00 
CATH BLLN SABER 7X80MM 150CM, 620.00 
CATH BLLN SABER 8X100MM 150CM, 620.00 
CATH BLLN SABER 8X20MM 150CM, 620.00 
CATH BLLN SABER 8X30MM 150CM, 620.00 
CATH BLLN SABER 8X40MM 150CM, 620.00 
CATH BLLN SABER 8X60MM 150CM, 620.00 
CATH BLLN SABER 8X80MM 150CM, 620.00 
CATH BLLN SCEPTER C 4X10MM," 3,388.00 "
CATH BLLN SCEPTER C 4X15MM," 3,388.00 "
CATH BLLN SCEPTER C 4X20MM," 3,388.00 "
CATH BLLN SCEPTER XC 4X11MM," 4,114.00 "
CATH BLLN SEEKER .035IN 135CM, 206.00 
CATH BLLN SLEEK 1.5X1.5X150CM, 620.00 
CATH BLLN SLEEK 1.5X10X150CM, 620.00 
CATH BLLN SLEEK 1.5X4X150CM, 620.00 
CATH BLLN SLEEK 2.0X10X150CM, 620.00 
CATH BLLN SLEEK 2.0X12X150CM, 620.00 
CATH BLLN SLEEK 2.5X15X150CM, 620.00 
CATH BLLN SLEEK 3.0X10X150CM., 620.00 
CATH BLLN SLEEK 3.0X8X150CM, 620.00 
CATH BLLN SLEEK 3.5X12X150CM, 620.00 
CATH BLLN SLEEK 3.5X8X150CM, 620.00 
CATH BLLN SLEEK 4.0X8X150CM*, 620.00 
CATH BLLN SPRINTER 4.0X15 4.0M, 206.00 
CATH BLLN STERLING 018X150X100, 620.00 
CATH BLLN STERLING 10X100MM, 620.00 
CATH BLLN STERLING 2X12X150CM, 620.00 
CATH BLLN STERLING 2X8X150CM, 620.00 
CATH BLLN STERLING 3 X 150, 620.00 
CATH BLLN UROMAX 225-121," 1,010.00 "
CATH BLLN UROMAX ULT 5.8F 75CM," 1,010.00 "
CATH BLLN UROMAX ULTRA 30F 8CM," 1,010.00 "
CATH BLN ADVANCE 14LP," 1,010.00 "
CATH BLN ADVANCE 14LP 2 X 12CM," 1,010.00 "
CATH BLN ADVANCE 14LP 2 X 16CM," 1,010.00 "
CATH BLN ADVANCE 14LP 2 X 8CM," 1,010.00 "
CATH BLN ADVANCE 14LP 2.5 X 12," 1,010.00 "
CATH BLN ADVANCE 14LP 2.5 X 20," 1,010.00 "
CATH BLN ADVANCE 14LP 2.5X 6CM," 1,010.00 "
CATH BLN ADVANCE 14LP 3 X 12," 1,010.00 "
CATH BLN ADVANCE 14LP 3 X 16," 1,010.00 "
CATH BLN ADVANCE 14LP 3 X 20," 1,010.00 "
CATH BLN ADVANCE 14LP 3 X 8," 1,010.00 "
CATH BLN ADVANCE 14LP 3X60X170," 1,010.00 "
CATH BLN ADVANCE 14LP 4 X 12," 1,010.00 "
CATH BLN ADVANCE 14LP 4 X 16," 1,010.00 "
CATH BLN ADVANCE 14LP 4 X 20," 1,010.00 "
CATH BLN ADVANCE 14LP 4 X 8," 1,010.00 "
CATH BONANO SUPRAPUBIC, 146.00 
CATH B-RAIL BRACHYTHERAPY 3.5F," 9,858.75 "
CATH BREVIA 12.5," 1,720.00 "
CATH BREVIA 15CM, 206.00 
CATH BREVIA 20CM, 206.00 
CATH BREVIA 24CM, 206.00 
CATH BREVIA KIT 12.5CM," 1,010.00 "
CATH BREVIA KIT 15CM, 206.00 
CATH BREVIA KIT 20CM, 206.00 
CATH BRIDGE OCCL BLLN 80CM," 2,337.50 "
CATH BROVIAC 2.7F, 206.00 
CATH BROVIAC PEDIATRIC 4.2F, 206.00 
CATH C/P STD TRANS RAD STRP90, 412.14 
CATH CANNON II 15FR 31CM," 1,010.00 "
CATH CANNON II PLUS 19CM," 1,010.00 "
CATH CARDIAC BERMAN ANGIO 7F, 620.00 
CATH CARDIAC CONT OUTPUT 110CM, 536.25 
CATH CARDIO ASH SPLIT 14F 32CM," 1,010.00 "
CATH CARDIO ASH SPLIT 40CM 14F," 1,010.00 "
CATH CARDIO ASH SPLIT 55CM 14F," 1,010.00 "
CATH CAROTID NAV6 5MM 190CM," 3,951.75 "
CATH CEL ABL," 1,831.50 "
CATH CENTESIS 5FR, 37.13 
CATH CEREBRAL HI-FL 5F .038, 49.50 
CATH CHAIT PERCUTANEOUS 3-9CM, 583.00 
CATH CHOLANG 6F 33CM L, 187.00 
CATH CHOLANG 6FR, 206.00 
CATH CHOLANGIO 4.5F STL TP, 123.75 
CATH CHOLANGIO L-L 4FR 40CM, 165.00 
CATH CHOLANGIOGRAPHY 4FR, 86.35 
CATH COBRA 5FRX100CM, 30.25 
CATH CONE TIP, 29.23 
CATH CONE TIP 400-212, 47.19 
CATH CONE TIP 400-213, 47.19 
CATH CONQUEST 40 6X4X75, 620.00 
CATH CONQUEST 40 6X6X8X75, 620.00 
CATH CONQUEST 40 6X7X4X75, 620.00 
CATH CONQUEST 40 6X7X6X75, 620.00 
CATH CONQUEST 40 6X8X7X75, 620.00 
CATH CONQUEST 40 7X10X4X75, 620.00 
CATH CONQUEST 40 7X12X4X75CM, 620.00 
CATH CONQUEST 40 7X8X4X75, 620.00 
CATH CONQUEST 40 7X9X4X75, 620.00 
CATH CONQUEST 40 8X6X5.5X75, 620.00 
CATH CONQUEST 40 8X80X6X75, 620.00 
CATH CONQUEST 40 9X8X75, 620.00 
CATH CONQUEST PTA 6X4X75, 620.00 
CATH CONQUEST PTA 7FR 75X10X4, 620.00 
CATH CONVEY AL .75 5FR, 206.00 
CATH CONVEY AL 1.5FR, 206.00 
CATH CONVEY AR 1 5FR, 206.00 
CATH CONVEY CLS 3.0 5FR, 206.00 
CATH CONVEY CLS 3.5 5FR, 206.00 
CATH CONVEY CLS 4.0 5FR, 206.00 
CATH CONVEY FL 3.5 5FR, 206.00 
CATH CONVEY FL 4.0 5FR, 206.00 
CATH CONVEY FR 3.5 5FR, 206.00 
CATH CONVEY FR 4.0 5FR, 206.00 
CATH CONVEY GUIDING AL1 6FR, 206.00 
CATH CONVEY IM 5FR, 206.00 
CATH CONVEY LBU 3.5 5FR, 206.00 
CATH CONVEY LBU 4.0 5FR, 206.00 
CATH CONVEY MPA 5FR, 206.00 
CATH CONVEY RBL 3.5 5FR, 206.00 
CATH CONVEY RBL 4.0 5FR, 206.00 
CATH CONVEY RBR 3.5 5FR, 206.00 
CATH CONVEY RBR 4.0 5FR, 206.00 
CATH COR SPRINTER 3 X 10, 206.00 
CATH CORN BLN SPR 2.5X20, 206.00 
CATH CORN BLN SPR 3.0X15, 206.00 
CATH CORN BLN SPR 3.0X20, 206.00 
CATH CORN BLN SPR 3.25X12, 206.00 
CATH CORN BLN SPR 3.25X15, 206.00 
CATH CORN BLN SPR 4.0X20, 206.00 
CATH CORSAIR MICRO 135CM," 2,751.00 "
CATH COUDE 12F 5CC, 38.64 
CATH COUDE 18F 5CC W/STAT LOC, 38.64 
CATH COUDE 20F 5CC STAT LOC, 38.64 
CATH COUDE 22F 5CC W/STAT LOC, 38.64 
CATH COUDE 24F 5CC, 38.64 
CATH COUDE 24FR 5CC 2WAY, 27.64 
CATH CPS AIM SL ACUTE 59CM, 620.00 
CATH CPS AIM SL ACUTE 65CM, 620.00 
CATH CPS AIM SL ALII 65CM, 620.00 
CATH CPS AIM SL CLS 65CM, 620.00 
CATH CPS AIM SL VALVE BYPASS, 36.77 
CATH CPS AIM SUB 90, 620.00 
CATH CPS DIRECT 47CM SL II," 1,704.04 "
CATH CPS DIRECT 54CM SL II," 1,704.04 "
CATH CPS DIRECT OC-STR," 1,548.11 "
CATH CPS DIRECT SL," 1,720.13 "
CATH CPS DIRECT SL 15CM," 1,893.38 "
CATH CPS DIRECT SL 7FR," 1,704.04 "
CATH CPS RHS," 1,720.13 "
CATH CPS STR," 1,720.13 "
CATH CRAGG MCNAMARA 5FR 135X30, 206.00 
CATH CRAGG-MCNAMARA 4FR 100X20, 206.00 
CATH CRAGG-MCNAMARA 4FR 10X100, 206.00 
CATH CRAGG-MCNAMARA 4FR 135X10, 206.00 
CATH CRAGG-MCNAMARA 4FR 20X135, 206.00 
CATH CRAGG-MCNAMARA 5FR 100CM, 206.00 
CATH CRAGG-MCNAMARA 5FR 135X50, 206.00 
CATH CRE RX BILIARY 10-11-12, 620.00 
CATH CRE RX BILIARY 8-9-10, 620.00 
CATH CRICOTHRYOTOMY 5MM 9CM," 1,010.00 "
CATH CRICOTHYROTOMY CUFFED, 620.00 
CATH CROSS CATH 3.4F 135CM STR, 206.00 
CATH CROSS CATH 3.4F 150CM STR, 206.00 
CATH CROSS CATH 3F 150CM STR, 206.00 
CATH CROSS CATH 4.8F 135CM STR, 206.00 
CATH CROSS CATH 4.8F 90CM STR, 206.00 
CATH CROSSBOSS 3FR 135CM," 2,751.00 "
CATH CROSSER 14S CTO PERIPH," 6,876.00 "
CATH CROSSER 14S OTW," 6,876.00 "
CATH CROSSER 14S OTW 106CM," 6,876.00 "
CATH CROSSER 6S 154CM," 6,876.00 "
CATH CRYOABLATION MED CURVE," 3,987.50 "
CATH CS," 1,878.25 "
CATH CSF EXT DRAIN 58CM, 538.26 
CATH CUFF BLLN US RADIAL FLEX, 66.11 
CATH CURL 60CM, 206.00 
CATH CV LUMEN ROUND DUAL 12FR, 620.00 
CATH CV POWER PICC DL MAX 5FR, 620.00 
CATH CV QD LUMN 6FRX110CM, 206.00 
CATH CV TRIPLE LUM 7F FLX TP, 206.00 
CATH CVP 3 LUMEN 7FR 30C, 206.00 
CATH CVP 3-LUM 12FR(16CM) FIRM, 206.00 
CATH CXI SUPPORT 2.3FR 135CM, 620.00 
CATH CZ2 MARINER 5FR 90CM, 206.00 
CATH DAVIS 100CM 5FR, 50.00 
CATH DAWSON MUELLER 8.5X15CM, 218.30 
CATH DAWSON-MUELLER 6.3FR 25CM, 218.30 
CATH DBL LUMEN 4 X 130, 206.00 
CATH DBL LUMEN SIL 12.5FRX24CM, 620.00 
CATH DBL LUMEN SIL 8FRX18CM, 206.00 
CATH DECANAV CS 2MM D CURVE," 2,475.00 "
CATH DECANAV CS 7F F CURVE," 2,475.00 "
CATH DECAPOLAR 6FRX110CM," 1,388.75 "
CATH DECAPOLAR 6FRX92CM," 1,130.25 "
CATH DECATHLON W/STYLET, 309.50 
CATH DIAG JACKY 3.5 6FRX110CM, 206.00 
CATH DIAG STR 4F X 120 SLIP, 206.00 
CATH DIAGNOSTIC PIGTAIL 5F, 206.00 
CATH DIALYSIS HEMOSPLIT16FR 23, 620.00 
CATH DIALYSIS HEMOSPLIT16FR 27, 620.00 
CATH DIALYSIS HEMOSPLIT16FR 31, 620.00 
CATH DIALYSIS NIAGARA 15CM, 206.00 
CATH DIALYSIS NIAGARA 20CM, 206.00 
CATH DIAMOND 3X2X75CMREPLACES, 620.00 
CATH DIAMOND 3X4X75CMREPLACES, 620.00 
CATH DIAMOND 5F/5MMX4CM/75CM, 620.00 
CATH DIAMOND 8X2X120CMREPLACES, 620.00 
CATH DIAMOND SDS 8X2X75, 620.00 
CATH DIAMONDBACK 1.25M 145CM," 9,626.00 "
CATH DIAMONDBACK 1.25M 4F," 9,626.00 "
CATH DIAMONDBACK 1.50MM CLASS," 9,626.00 "
CATH DIAMONDBACK 1.5MM 145CM," 9,626.00 "
CATH DIAMONDBACK 2.00MM CLASS," 9,626.00 "
CATH DIAMONDBACK CORONARY 360," 9,626.00 "
CATH DIL NC MONORAIL 15X5MM, 206.00 
CATH DIL PTA OTW 5X120X150, 620.00 
CATH DIL RX EMERGE 1.2X12M, 206.00 
CATH DILAT HI PRESS BLN 18FR," 1,010.00 "
CATH DILAT UROMAX-20 6F," 1,010.00 "
CATH DILATOR BILIARY 8.5MM, 319.00 
CATH DIREXION 2.4FR 130X180CM," 2,751.00 "
CATH DIREXION FATHOM ST 130CM," 2,751.00 "
CATH DISTAL ACCESS SOFIA 125CM," 4,470.00 "
CATH DMNDBACK PERIPH 2X30X145," 9,626.00 "
CATH DORADO 10X20X135, 206.00 
CATH DORADO 10X40X135, 206.00 
CATH DORADO 3X100X135, 206.00 
CATH DORADO 3X40X135, 206.00 
CATH DORADO 4X100X135, 206.00 
CATH DORADO 4X120X135, 620.00 
CATH DORADO 4X150X135, 620.00 
CATH DORADO 4X200X135, 620.00 
CATH DORADO 4X20X135, 206.00 
CATH DORADO 4X40X135, 206.00 
CATH DORADO 5X100X135, 206.00 
CATH DORADO 5X100X80, 206.00 
CATH DORADO 5X120X135, 620.00 
CATH DORADO 5X20X135, 206.00 
CATH DORADO 5X40X135, 206.00 
CATH DORADO 5X60X135, 206.00 
CATH DORADO 5X60X80, 206.00 
CATH DORADO 5X80X135, 206.00 
CATH DORADO 5X80X80, 206.00 
CATH DORADO 6X100X135, 206.00 
CATH DORADO 6X120X135, 620.00 
CATH DORADO 6X200X80, 620.00 
CATH DORADO 6X20X135, 206.00 
CATH DORADO 6X60X135, 206.00 
CATH DORADO 6X615X80, 620.00 
CATH DORADO 6X80X135, 206.00 
CATH DORADO 7X100X135, 206.00 
CATH DORADO 7X120X135, 620.00 
CATH DORADO 7X150X80, 620.00 
CATH DORADO 7X170X80, 620.00 
CATH DORADO 7X200X80, 620.00 
CATH DORADO 7X20X135, 206.00 
CATH DORADO 7X40X135, 206.00 
CATH DORADO 9X40X135, 206.00 
CATH DORADO 9X80X80, 206.00 
CATH DRAGONFLY OPTIS 6F 135MM," 1,720.00 "
CATH DRAIN 12FR PIGTAIL 25CM, 220.69 
CATH DRAIN 14FR 25CM FLEXIMA, 220.69 
CATH DRAIN 22FR 40CM 6 SIDE H, 206.99 
CATH DRAIN EXPEL 8FR 25CM, 250.17 
CATH DRAIN W/LCK 10X25CM, 220.69 
CATH DRAINAGE APD LOOP, 220.69 
CATH DRAINAGE MULTIPURPOSE, 242.00 
CATH DRNG LG BOR 20FR 40CM, 214.78 
CATH DS 7F 8MM THERMOCOUPLE," 2,904.00 "
CATH DS NAV THERMOCOUPLE 7FR," 6,014.25 "
CATH DUAL LMN 11.5FR X 12CM L, 206.00 
CATH DUAL LMN COUDE BENT TP 7F, 48.40 
CATH DUAL LUMEN 5FR, 430.10 
CATH DUAL LUMEN 7FR X 38CM, 206.00 
CATH DUAL LUMEN PWR PICC 5FR, 620.00 
CATH DUAL LUMEN URET FLEX TIP, 109.51 
CATH DUO DECAPOLAR 7FRX95CM," 2,887.50 "
CATH DURA-MAX 15.5F X 24CM, 206.00 
CATH DURO FLEXIMA 10FRX35CM, 219.97 
CATH DURO FLEXIMA 12FRX35CM, 219.97 
CATH DURO FLEXIMA 14FRX35CM, 219.97 
CATH DURO FLEXIMA 8FRX35CM, 219.97 
CATH DXTERITY 3DRC 100CM 6FR, 206.00 
CATH DXTERITY AR10 100CM 6FR, 206.00 
CATH DXTERITY AR20 100CM 6FR, 206.00 
CATH DXTERITY IMA 100CM 6FR, 206.00 
CATH DXTERITY JL35 100CM 6FR, 206.00 
CATH DXTERITY JL40 100CM 5FR, 206.00 
CATH DXTERITY JL50 100CM 6FR, 206.00 
CATH DXTERITY JR35 100CM 6FR, 206.00 
CATH DXTERITY JR40 100CM 5FR, 206.00 
CATH DXTERITY JR40 125CM 6FR, 206.00 
CATH DXTERITY JR50 100CM 6FR, 206.00 
CATH DXTERITY NOTO 100CM 6FR, 206.00 
CATH DXTERITY PIGSTR 110CM 6FR, 206.00 
CATH EAGLE EYE PLATINUM," 1,993.75 "
CATH EAGLE EYE ST .014X20X150," 2,021.25 "
CATH ECHELON 10 MICRO STRA," 1,720.00 "
CATH EDM LUMBAR CLOSED TIP 80, 527.67 
CATH EKOSONIC 5.4FR 12X106CM," 7,961.25 "
CATH EKOSONIC 5.4FR 12X135CM," 7,961.25 "
CATH EKOSONIC 5.4FR 18X106CM," 7,961.25 "
CATH EKOSONIC 5.4FR 24X106CM," 7,961.25 "
CATH EKOSONIC 5.4FR 30X106CM," 7,961.25 "
CATH EKOSONIC 5.4FR 30X135CM," 7,961.25 "
CATH EKOSONIC 5.4FR 40X106CM," 7,961.25 "
CATH EKOSONIC 5.4FR 40X135CM," 7,961.25 "
CATH EKOSONIC 5.4FR 50X106CM," 7,961.25 "
CATH EKOSONIC 5.4FR 50X135CM," 7,961.25 "
CATH EKOSONIC 5.4FR 6X106CM," 7,961.25 "
CATH ELECTRD DECAPOLAR 6F," 1,086.25 "
CATH ELITE RE-ENTRY OUTBACK," 5,431.25 "
CATH EMB FOGARTY 5.5FRX40CM, 247.50 
CATH EMBL ARTL YELL 7FR 80CM L, 137.50 
CATH EMBO FOGARTY 5.5FRX80CM, 247.50 
CATH EMBOLECTOMY 2F 60CM, 206.25 
CATH EMBOLECTOMY 3F 80CM, 165.00 
CATH EMBOLECTOMY 4F 80CM, 165.00 
CATH EMBOLECTOMY 4FR, 82.50 
CATH EMBOLECTOMY 5F 80CM, 165.00 
CATH EMBOLECTOMY 6FR, 165.00 
CATH EMBOLECTOMY 7FR 80CM, 165.00 
CATH EMBOSHIELD NAV6 7.2X190CM," 3,951.75 "
CATH EMERGE MR 12 X 1.50, 206.00 
CATH EMERGE MR 12 X 2.00, 206.00 
CATH EMERGE MR 12 X 2.25, 206.00 
CATH EMERGE MR 12 X 2.50, 206.00 
CATH EMERGE MR 12 X 2.75, 206.00 
CATH EMERGE MR 12 X 3.00, 206.00 
CATH EMERGE MR 12 X 3.25, 206.00 
CATH EMERGE MR 12 X 3.50, 206.00 
CATH EMERGE MR 12 X 3.75, 206.00 
CATH EMERGE MR 12 X 4.00, 206.00 
CATH EMERGE MR 15 X 1.50, 206.00 
CATH EMERGE MR 15 X 2.00, 206.00 
CATH EMERGE MR 15 X 2.25, 206.00 
CATH EMERGE MR 15 X 2.50, 206.00 
CATH EMERGE MR 15 X 2.75, 206.00 
CATH EMERGE MR 15 X 3.00, 206.00 
CATH EMERGE MR 15 X 3.25, 206.00 
CATH EMERGE MR 15 X 3.50, 206.00 
CATH EMERGE MR 15 X 3.75, 206.00 
CATH EMERGE MR 15 X 4.00, 206.00 
CATH EMERGE MR 20 X 1.50, 206.00 
CATH EMERGE MR 20 X 2.00, 206.00 
CATH EMERGE MR 20 X 2.25, 206.00 
CATH EMERGE MR 20 X 2.50, 206.00 
CATH EMERGE MR 20 X 2.75, 206.00 
CATH EMERGE MR 20 X 3.00, 206.00 
CATH EMERGE MR 20 X 3.25, 206.00 
CATH EMERGE MR 20 X 3.50, 206.00 
CATH EMERGE MR 20 X 3.75, 206.00 
CATH EMERGE MR 20 X 4.00, 206.00 
CATH EMERGE MR 30 X 2.00, 206.00 
CATH EMERGE MR 30 X 2.25, 206.00 
CATH EMERGE MR 30 X 2.50, 206.00 
CATH EMERGE MR 30 X 2.75, 206.00 
CATH EMERGE MR 30 X 3.00, 206.00 
CATH EMERGE MR 30 X 3.25, 206.00 
CATH EMERGE MR 30 X 3.50, 206.00 
CATH EMERGE MR 30 X 3.75, 206.00 
CATH EMERGE MR 30 X 4.00, 206.00 
CATH EMERGE MR 8 X 1.50, 206.00 
CATH EMERGE MR 8 X 2.00, 206.00 
CATH EMERGE MR 8 X 2.25, 206.00 
CATH EMERGE MR 8 X 2.50, 206.00 
CATH EMERGE MR 8 X 2.75, 206.00 
CATH EMERGE MR 8 X 3.00, 206.00 
CATH EMERGE MR 8 X 3.25, 206.00 
CATH EMERGE MR 8 X 3.50, 206.00 
CATH EMERGE MR 8 X 3.75, 206.00 
CATH EMERGE MR 8 X 4.00, 206.00 
CATH EMERGE MR PUSH 12 X 1.50, 206.00 
CATH EMERGE MR PUSH 15 X 1.50, 206.00 
CATH EMERGE MR PUSH 20 X 1.550, 206.00 
CATH EMERGE MR PUSH 8 X 1.50, 206.00 
CATH EMERGE OTW 12 X 1.2, 206.00 
