SERVICE CATEGORY,CHARGE DESCRIPTION,2019 PRICING
Lab,LAB MYOGLOBIN,$160.00 
Lab,LAB NARP MUTATION ANALYSIS,$719.50 
Lab,LAB NATRIURETIC PEPTIDE,$264.50 
Lab,LAB NEISSERIA GONORRHOEAE AMPLIFY PROBE,$190.00 
Lab,LAB NICKEL,$180.75 
Lab,LAB NUC ACID CMV AMPLIFIED PROBE,$314.00 
Lab,LAB NUC ACID CMV QUANTITATION,$454.25 
Lab,LAB NUC ACID HEP B QUANTITATION,$429.50 
Lab,LAB NUC ACID HEP C DIRECT PROBE,$303.75 
Lab,LAB NUC ACID HEP C QUANTITATION,$549.50 
Lab,LAB NUC ACID HIV-1 QUANTIFICATION,$402.50 
Lab,LAB ORGANIC ACID SINGLE QUANTITATIVE,$177.00 
Lab,LAB ORGANIC ACIDS QUAL EA SPECIMEN,$392.00 
Lab,LAB OSMOLALITY BLOOD,$102.75 
Lab,LAB OSMOLALITY URINE,$102.75 
Lab,LAB OXYCODONE,$106.50 
Lab,LAB PANEL ELECTROLYTE,$105.75 
Lab,LAB PANEL HEPATIC FUNCTION,$231.25 
Lab,LAB PANEL HEPATITIS ACUTE,$618.25 
Lab,LAB PANEL METABOLIC BASIC,$176.00 
Lab,LAB PANEL METABOLIC COMPREHENSIVE,$305.00 
Lab,LAB PANEL OBSTETRIC,$700.00 
Lab,LAB PANEL OBSTETRIC INCLUDING HIV,$855.50 
Lab,LAB PANEL RENAL FUNCTION,$264.50 
Lab,LAB PARATHYROID CYROPRESERVATION/STORE,$675.00 
Lab,LAB PARATHYROID HORMONE INTACT,$348.50 
Lab,LAB PARTICLE AGGLUTINATION SCREEN EA AB,$125.50 
Lab,LAB PARTICLE AGGLUTINATION TITER EA AB,$127.75 
Lab,LAB PH BLOOD,$98.75 
Lab,LAB PH BODY FLUID,$108.75 
Lab,LAB PH BODY FLUID,$108.75 
Lab,LAB PHENOBARBITAL BLOOD LEVEL,$120.00 
Lab,LAB PHENYLALANINE (PKU) BLOOD,$117.75 
Lab,LAB PHENYTOIN TOTAL,$180.50 
Lab,LAB PHLEBOTOMY THERAPEUTIC,$260.75 
Lab,LAB PHOSPHATASE ALKALINE,$67.50 
Lab,LAB PHOSPHOROUS INORGANIC,$45.00 
Lab,LAB PHOSPHOROUS INORGANIC URINE,$98.75 
Lab,LAB PHOX2B GENE MUTATION ANALYSIS,$399.00 
Lab,LAB PINWORM EXAM,$108.25 
Lab,LAB PLASMA FRACTIONS (APTT INHIBITOR),$155.00 
Lab,LAB PLATELET AUTOMATED,$58.50 
Lab,LAB PML/RARA TRANSLOCATION,"$1,048.25 "
Lab,LAB POOLING PLATELET/OTHER BLD PRODUCTS,$215.75 
Lab,LAB POTASSIUM SERUM,$66.25 
Lab,LAB POTASSIUM SERUM PANEL,$55.50 
Lab,LAB POTASSIUM URINE,$62.75 
Lab,LAB PRADER-WILLI SYNDROME,$958.00 
Lab,LAB PREALBUMIN,$129.75 
Lab,LAB PRETREAT RBC DENSITY GRADIENT SEP,$205.00 
Lab,LAB PRETREAT RBC INCUBATE W/ ENZYME EA,$169.25 
Lab,LAB PRETREAT RBC INCUBATE W/DRUGS EA,$100.00 
Lab,LAB PRETREAT SERUM DIFFNTL RBC ABSORP,$140.50 
Lab,LAB PRETREAT SERUM INCUB W/ INHIBITR EA,$216.50 
Lab,LAB PRETREAT SERUM INCUBATE W/ DRUGS EA,$279.75 
Lab,LAB PROBE HEPATITIS C GENOTYPING,$663.00 
Lab,LAB PROBE IN SITU HYBRID FISH EA ADDL,$425.25 
Lab,LAB PROBE NUC ACID HSV1 AMPLIFIED,$467.25 
Lab,LAB PROBE NUC ACID HSV2 AMPLIFIED,$467.25 
Lab,LAB PROBE NUC ACID VZV PCR TECHNIQUE,$540.25 
Lab,LAB PROGESTERONE,$206.00 
Lab,LAB PROLACTIN,$213.00 
Lab,LAB PROTEIN C ACTIVITY,$225.00 
Lab,LAB PROTEIN ELECTPH FRACT/QUANT BLOOD,$321.00 
Lab,LAB PROTEIN ELECTROPHORESIS OTHER FLUID,$277.00 
Lab,LAB PROTEIN S FREE,$319.00 
Lab,LAB PROTEIN TOTAL BLOOD,$55.50 
Lab,LAB PROTEIN TOTAL OTHER BODY FLUID,$57.00 
Lab,LAB PROTEIN TOTAL URINE,$57.00 
Lab,LAB PROTHROMBIN GENE ANALYSIS,$540.75 
Lab,LAB PSA FREE,$280.25 
Lab,LAB PSA TOTAL,$204.25 
Lab,LAB PSA TOTAL SCREENING,$147.25 
Lab,LAB PYRUVATE CARBOXYLASE,$804.25 
Lab,LAB PYRUVATE DEHYDROGENASE,$804.25 
Lab,LAB RESPIRATORY VIRUS DNA 6-11 TARGETS,$600.00 
Lab,LAB RETICULATED PLATELET COUNT,$44.00 
Lab,LAB RETICULOCYTE AUTOMATED,$80.25 
Lab,LAB RETICULOCYTES W/CELLULAR PARAMETER,$18.25 
Lab,LAB RHEUMATOID FACTOR QUANTITATIVE,$98.75 
Lab,LAB RIBOSOMAL P,$142.50 
Lab,LAB RNPA AND RNP68,$142.50 
Lab,LAB S/O  DRUG TEST PRSMV CHEM ANLYZR,$45.00 
Lab,LAB S/O 14 3 3 PROTEIN CSF,$244.00 
Lab,LAB S/O 17-OH PREGNENOLONE PEDIATRIC,$280.00 
Lab,LAB S/O AB BORRELIA BURGDORDERI LYME,$172.00 
Lab,LAB S/O AB CHLAMYDIA IGM,$617.75 
Lab,LAB S/O AB MUMPS,$136.00 
Lab,LAB S/O AB RUBEOLA,$123.75 
Lab,LAB S/O ABPA IGE,$203.25 
Lab,LAB S/O ABPA/AF IGE,$356.75 
Lab,LAB S/O ABPA/AF IGG,$356.75 
Lab,LAB S/O ACETYL CHOLINE RECEPTOR BLOCKNG,$349.25 
Lab,LAB S/O ACETYL CHOLINE RECEPTOR MODULAT,$349.25 
Lab,LAB S/O ACETYLCHOLINE RECEPTOR BINDING,$349.25 
Lab,LAB S/O ACTH,$301.50 
Lab,LAB S/O ACTIVATE PROTEIN C RESIST ASSAY,$266.00 
Lab,LAB S/O ACYLCARNITINES QUANT EACH,$372.00 
Lab,LAB S/O ADAMTS 13 ANTIBODY,$395.00 
Lab,LAB S/O ADAMTS-13 ACTIVITY,$320.00 
Lab,LAB S/O ADENSOSINE DEAMINASE,$167.75 
Lab,LAB S/O ADRENAL TOTAL AUTOAB,$195.00 
Lab,LAB S/O AFB SUSCEPT MACROBROTH EA DRUG,$138.00 
Lab,LAB S/O AFP TOTAL AND L3 ISOFORM,$390.00 
Lab,LAB S/O AG HEPATITIS BE ANTIGEN,$164.75 
Lab,LAB S/O ALDOLASE,$150.50 
Lab,LAB S/O ALDOSTERONE,$340.25 
Lab,LAB S/O ALKALINE PHOSPH BONE SPECIFIC,$128.25 
Lab,LAB S/O ALLERGEN IGG SPECIFIC EACH,$52.00 
Lab,LAB S/O ALPHA -FETOPROTEIN AMNIOTIC,$196.00 
Lab,LAB S/O ALPHA -FETOPROTEIN SERUM,$162.50 
Lab,LAB S/O ALPHA 1 ANTITRYPSIN PHENOTYPE,$240.00 
Lab,LAB S/O ALPHA 1 ANTITRYPSIN TOTAL FECES,$163.00 
Lab,LAB S/O ALPHA 2 MACROGLOBULIN,$150.00 
Lab,LAB S/O ALPHA THALLASEMIA GEEN ANALYSIS,"$1,245.00 "
Lab,LAB S/O ALPHA THALLASEMIA GENE ANALYSIS,"$1,245.00 "
Lab,LAB S/O ALPHA-GALACTOSIDASE,$389.75 
Lab,LAB S/O ALUMINUM,$125.00 
Lab,LAB S/O AMINO ACIDS QUANT SINGLE EA SPC,$425.00 
Lab,LAB S/O AMIODARONE,$442.25 
Lab,LAB S/O AMITRIPTYLINE,$165.50 
Lab,LAB S/O AMNIOTIC FLUID SCAN,$218.25 
Lab,LAB S/O ANA TITER,$141.75 
Lab,LAB S/O ANDROSTENEDIONE,$273.75 
Lab,LAB S/O ANGIOTENSIN I CONVERTING ENZYME,$206.25 
Lab,LAB S/O ANTI GLIADEN,$269.75 
Lab,LAB S/O ANTI-MULLERIAN HORMONE,$244.00 
Lab,LAB S/O ANTI-PHOSPHATIDYLSERINE AB,$799.50 
Lab,LAB S/O ANTIBODY ABPA/AF,$109.75 
Lab,LAB S/O ANTIBODY ANTI GLIADEN IGA,$244.00 
Lab,LAB S/O ANTIBODY ANTI HISTONE,$244.00 
Lab,LAB S/O ANTIBODY ANTI JO 1,$142.50 
Lab,LAB S/O ANTIBODY ANTI MYOCARDIAL,$195.00 
Lab,LAB S/O ANTIBODY ANTI-MITOCHONDRIAL,$244.00 
Lab,LAB S/O ANTIBODY BETA 2 GPI IGA,$173.75 
Lab,LAB S/O ANTIBODY BETA 2 GPI IGG,$173.75 
Lab,LAB S/O ANTIBODY BETA 2 GPI IGM,$173.75 
Lab,LAB S/O ANTIBODY CARDIOLIPIN IGA,$235.75 
Lab,LAB S/O ANTIBODY CHENODEOXY ACID,$244.00 
Lab,LAB S/O ANTIBODY CHOLIC ACID,$244.00 
Lab,LAB S/O ANTIBODY CHROMOGRANIN A,$269.75 
Lab,LAB S/O ANTIBODY DEOXYCHOLIC ACID,$244.00 
Lab,LAB S/O ANTIBODY ENDOMYSIAL,$195.00 
Lab,LAB S/O ANTIBODY FUNGAL ASPERGILLUS,$356.75 
Lab,LAB S/O ANTIBODY GLOMULAR BASEMNT MEMBR,$244.00 
Lab,LAB S/O ANTIBODY HEPATITIS B QUANTITAT,$122.25 
Lab,LAB S/O ANTIBODY HPC HTLV 1/2,$69.00 
Lab,LAB S/O ANTIBODY HTLV 1,$140.25 
Lab,LAB S/O ANTIBODY INTERFERON BETA,$244.00 
Lab,LAB S/O ANTIBODY INTERFERON BETA IGG,$244.00 
Lab,LAB S/O ANTIBODY ISLET CELL,$195.25 
Lab,LAB S/O ANTIBODY NEUTROPHIL,$228.00 
Lab,LAB S/O ANTIBODY NEUTROPHIL EA ADDL,$228.00 
Lab,LAB S/O ANTIBODY PARIETAL CELL,$195.00 
Lab,LAB S/O ANTIBODY PLATELET ABS BIOL,$696.00 
Lab,LAB S/O ANTIBODY PLATELET ABS DRUG,$696.00 
Lab,LAB S/O ANTIBODY PLATELET POST TRANSFSN,$87.50 
Lab,LAB S/O ANTIBODY PM1,$109.75 
Lab,LAB S/O ANTIBODY RETICULIN IGA,$195.00 
Lab,LAB S/O ANTIBODY SMOOTH MUSCLE,$195.00 
Lab,LAB S/O ANTIBODY STRIATED MUSCLE,$195.00 
Lab,LAB S/O ANTIBODY TETANUS TOXOID,$164.25 
Lab,LAB S/O ANTIBODY TRANSLUTAMINASE IGA,$269.75 
Lab,LAB S/O ANTIBODY TRYPTASE,$244.00 
Lab,LAB S/O ANTIBODY WEST NILE VIRUS,$122.25 
Lab,LAB S/O ANTIGEN GALACTOMANNAN/ASPERGILL,$159.00 
Lab,LAB S/O ANTISREPTOLYSI O (ASO) TITER,$129.00 
Lab,LAB S/O ANTITHROMBIN III ANTIGEN ASSAY,$266.75 
Lab,LAB S/O APOLIPOPROTEIN A,$136.50 
Lab,LAB S/O APOLIPOPROTEIN B,$136.50 
Lab,LAB S/O APOLIPOPROTEIN E GENOTYPING,$788.25 
Lab,LAB S/O ARSENIC,$211.00 
Lab,LAB S/O AUTOANTIBODY SCREEN,$195.00 
Lab,LAB S/O BARTONELLA ANTIBODY IGG,$54.75 
Lab,LAB S/O BARTONELLA ANTIBODY IGM,$54.75 
Lab,LAB S/O BCR-ABL1 KINASE DOMAIN,"$1,761.25 "
Lab,LAB S/O BENZODIAZEPINES,$127.50 
Lab,LAB S/O BETA 2 TRANSFERRIN,$329.75 
Lab,LAB S/O BETA HYDROXYBUTYRATE,$167.75 
Lab,LAB S/O BETA-2 MICROGLOBULIN,$156.50 
Lab,LAB S/O BILE ACIDS TOTAL,$289.75 
Lab,LAB S/O BILIRUBIN TOTAL,$55.50 
Lab,LAB S/O BLASTOMYCES ANTIGEN,$159.00 
Lab,LAB S/O BORDETELLA PERTUSIS DNA,$540.25 
Lab,LAB S/O BRAF MUTATION ANALYSIS,"$1,112.50 "
Lab,LAB S/O BRUCELLA ABORTUS ANTIBODY,$70.00 
Lab,LAB S/O BUSULFAN,$599.50 
Lab,LAB S/O C PEPTIDE,$180.75 
Lab,LAB S/O C REACT PROTEIN HIGH SENSITIV,$106.00 
Lab,LAB S/O C1 ESTERASE INHIBITOR,$178.75 
Lab,LAB S/O C1 ESTERASE INHIBITOR QUANTIT,$140.75 
Lab,LAB S/O C1Q ANTIGEN,$140.75 
Lab,LAB S/O C2,$140.75 
Lab,LAB S/O C5,$140.75 
Lab,LAB S/O CADMIUM,$175.25 
Lab,LAB S/O CALCITONIN,$205.50 
Lab,LAB S/O CALCIUM TOTAL,$67.00 
Lab,LAB S/O CALCULUS INFRARED SPECTROSCOPY,$145.00 
Lab,LAB S/O CALPROTECTIN FECES,$304.00 
Lab,LAB S/O CALRETICULIN (CALR) MUTATION ANALY,$850.00 
Lab,LAB S/O CARBAMAZEPINE 10 11 EPOXIDE,$370.50 
Lab,LAB S/O CARBAMAZEPINE EPOXIDE FREE,$286.25 
Lab,LAB S/O CARBOHYD DEFICIENT TRANSFERRIN,$256.50 
Lab,LAB S/O CARDIOLIPIN AB EACH IG CLASS,$235.75 
Lab,LAB S/O CARNITINE QUANTITATIVE EA SPEC,$232.50 
Lab,LAB S/O CAROTENE,$110.25 
Lab,LAB S/O CATECHOLAMINES FRACTIONATED,$221.25 
Lab,LAB S/O CD4 COUNT,$367.00 
Lab,LAB S/O CEBPA MUTATION ANALYSIS,$787.50 
Lab,LAB S/O CEBPA MUTATION ANALYSIS,$787.00 
Lab,LAB S/O CELL EXPRESSION CD 55,$219.00 
Lab,LAB S/O CELL EXPRESSION CD 59,$155.75 
Lab,LAB S/O CELL MARKER EACH ADDL,$134.00 
Lab,LAB S/O CELL MARKER FIRST,$219.00 
Lab,LAB S/O CENTROMERE AUTOAB,$137.50 
Lab,LAB S/O CERULOPLASMIN,$141.75 
Lab,"LAB S/O CHIC2,4Q12 DELETION","$1,230.00 "
Lab,LAB S/O CHLAMYDIA AMPLIFIED PROBE,$174.00 
Lab,LAB S/O CHLAMYDIA ANTIBODY IGG,$90.25 
Lab,LAB S/O CHLAMYDIA TYPING IFA,$62.75 
Lab,LAB S/O CHLORIDE FECES,$125.00 
Lab,LAB S/O CHROMATOGRAPHY MULTI ANALYTES,$475.00 
Lab,LAB S/O CHROMATOGRAPHY NON DRUG QUANT,$250.00 
Lab,LAB S/O CHRON GRANULOMATOUS DIS PER MK,$219.00 
Lab,LAB S/O CITRATE URINE,$275.00 
Lab,LAB S/O CLOMIPRAMINE,$442.25 
Lab,LAB S/O CLONAZEPAM,$160.00 
Lab,LAB S/O CLOZAPINE,$123.25 
Lab,LAB S/O CMPLMNT TOTAL HEMOLYTIC (CH50),$214.00 
Lab,LAB S/O COCCIDIODES ANTIGEN,$159.00 
Lab,LAB S/O COMPLEMENT AG EA COMPONENT,$127.25 
Lab,LAB S/O COPORPHYRIN,$185.50 
Lab,LAB S/O COPPER,$151.00 
Lab,LAB S/O CORE ANTIBODY,$92.00 
Lab,LAB S/O CORTISOL FREE,$249.50 
Lab,LAB S/O CORTISOL PEDIATRIC,$169.00 
Lab,LAB S/O CORTISOL SALIVA,$249.50 
Lab,LAB S/O COTININE,$118.00 
Lab,LAB S/O CREATINE,$106.00 
Lab,LAB S/O CRYOGLOBULINS/CYROFIBRINOGEN,$117.25 
Lab,LAB S/O CTX-COLLAGEN TYPE I,$284.00 
Lab,LAB S/O CULTURE CHLAMYDIA ANY SOURCE,$184.00 
Lab,LAB S/O CULTURE MYCOPLASMA ANY SOURCE,$236.50 
Lab,LAB S/O CULTURE TRICHOMONAS,$126.50 
Lab,LAB S/O CVS DIRECT CHROMOSOME ANALYSIS,$482.00 
Lab,LAB S/O CYANIDE,$315.75 
Lab,LAB S/O CYCLIC AMP,$106.00 
Lab,LAB S/O CYCLIC CITRULLINATED PEPTIDE,$173.25 
Lab,LAB S/O CYSTATIN C,$150.00 
Lab,LAB S/O CYSTIC FIBROSIS GENE ANALYSIS,"$1,230.00 "
Lab,LAB S/O CYSTINE URINE QUANT,$399.00 
Lab,LAB S/O CYTOGENTIS & MOLECLR INTERP&RPT,$296.75 
Lab,LAB S/O CYTOMEGALOVIRUS DNA QUALITATIVE,$314.00 
Lab,LAB S/O DELTA AMINOLEVULINIC ACID,$164.25 
Lab,LAB S/O DEOXYCORTICOSTERONE PEDIATRIC,$340.00 
Lab,LAB S/O DEOXYCORTISOL 11,$193.50 
Lab,LAB S/O DEOXYRIBONUCLEASE ANTIBODY,$132.75 
Lab,LAB S/O DES-GAMMA-CARBOXY-PROTHROMBIN,$418.75 
Lab,LAB S/O DESIPRAMINE,$165.50 
Lab,LAB S/O DHEA,$278.25 
Lab,LAB S/O DHEA S,$246.00 
Lab,LAB S/O DIBUCAINE NUMBER,$88.75 
Lab,LAB S/O DIHYDROTESTOSTERONE,$230.00 
Lab,LAB S/O DIPHENHYDRAMINE,$297.25 
Lab,LAB S/O DIPHTHERIA ANTIBODY,$140.25 
Lab,LAB S/O DNA ANTIBODY SINGLE STRANDED,$120.00 
Lab,LAB S/O DRUG SCREEN,$378.00 
Lab,LAB S/O EGFR AMPLIFICATION,"$1,985.00 "
Lab,LAB S/O ELASTASE PANCREATIC FECES,$431.75 
Lab,LAB S/O ENTEROVIRUS PCR,$448.75 
Lab,LAB S/O ENZYM ACT CX/TISS NONRAD EA SPEC,$389.75 
Lab,LAB S/O EPSTEIN BARR VIRUS DNA QUALITAT,$540.25 
Lab,LAB S/O ERBB2 (HER2/NEU) GENE AMP FISH,"$1,047.50 "
Lab,LAB S/O ESTRADIOL PEDIATRIC,$267.75 
Lab,LAB S/O ESTRIOL,$171.00 
Lab,LAB S/O ESTROGEN TOTAL,$220.25 
Lab,LAB S/O ESTRONE,$219.50 
Lab,LAB S/O ETHOSUXIMIDE,$145.00 
Lab,LAB S/O ETHYLENE GLYCOL,$250.25 
Lab,LAB S/O EVEROLIMUS,$280.00 
Lab,LAB S/O FACTOR INHIBITOR TEST,$413.50 
Lab,LAB S/O FACTOR VIII AHG ONE STAGE,$266.50 
Lab,LAB S/O FACTOR VIII RELATED ANTIGEN,$402.00 
Lab,LAB S/O FACTOR VIII VW FACT RISTOCETIN,$436.25 
Lab,LAB S/O FACTOR VIII VW FACTOR ANTIGEN,$394.75 
Lab,LAB S/O FACTOR VIII VW FACTOR MULTIMET,$654.00 
Lab,LAB S/O FACTOR X ANTIGEN,$370.75 
Lab,LAB S/O FACTOR XII (HAGEMAN),$383.00 
Lab,LAB S/O FACTOR XIII SCREEN SOLUBILITY,$370.25 
Lab,LAB S/O FAT/LIPID FECES QUALITATIVE,$73.50 
Lab,LAB S/O FAT/LIPID FECES QUANTITATIVE,$200.50 
Lab,LAB S/O FATTY ACIDS VERY LONG CHAIN,$717.75 
Lab,LAB S/O FELBATOL,$242.25 
Lab,LAB S/O FETAL ABNORMAL RISK 3 ANALYTES,$533.75 
Lab,LAB S/O FETAL ABNORMAL RISK 4 ANALYTES,$887.00 
Lab,LAB S/O FIBRINOLYTIC PLASMINOGEN ACTIV,$353.75 
Lab,LAB S/O FLECANIDE,$297.25 
Lab,LAB S/O FLT3 GENE ANALYSIS,$873.00 
Lab,LAB S/O FLT3 GENE ANALYSIS ITD VARIANTS,$873.00 
Lab,LAB S/O FLUOR NONINFECT AB SCREEN,$195.00 
Lab,LAB S/O FLUOR NONINFECT AB TITER,$264.50 
Lab,LAB S/O FLUOXETINE,$442.25 
Lab,LAB S/O FOLIC ACID RBC,$202.25 
Lab,LAB S/O FRUCTOSAMINE,$124.00 
Lab,LAB S/O FSH PEDIATRIC,$222.75 
Lab,LAB S/O FTS-ABS,$105.00 
Lab,LAB S/O FUNGAL ANTIBODY BLASTOMYCES,$94.25 
Lab,LAB S/O FUNGAL ANTIBODY COCCIDIODES,$128.75 
Lab,LAB S/O FUNGAL ANTIBODY HISTOPLASMA,$124.50 
Lab,LAB S/O FUNGAL NOS SACCH CEREVISIAE IGA,$120.00 
Lab,LAB S/O FUNGAL NOS SACCH CEREVISIAE IGG,$120.00 
Lab,LAB S/O G6PD QUANTITATIVE,$128.25 
Lab,LAB S/O GABAPENTIN,$242.25 
Lab,LAB S/O GAL-1-P URIDYL TRANSFERASE QUANT,$446.00 
Lab,LAB S/O GALACTOKINASE RBC,$385.75 
Lab,LAB S/O GASTRIN,$182.75 
Lab,LAB S/O GC/MASS SPEC QUANTITATIVE,$450.00 
Lab,LAB S/O GGT,$87.00 
Lab,LAB S/O GIARDIA SPECIFIC ANTIGEN 65,$135.75 
Lab,LAB S/O GLUCAGON,$163.25 
Lab,LAB S/O GLUCOSE FECES/REDUCING SUBST,$95.25 
Lab,LAB S/O GLUTAMIC ACID DECARB 65 ABS,$298.25 
Lab,LAB S/O GUANIDINOACETATE,$370.50 
Lab,LAB S/O HAEMOPHILUS INFLUENZA ANTIBODY,$134.00 
Lab,LAB S/O HBC HCV,$162.75 
Lab,LAB S/O HCG QUANTITATIVE,$221.50 
Lab,LAB S/O HEAT SHOCK PROTEIN 70 ANTIBODY,$244.00 
Lab,LAB S/O HELICOBACTER PYLORI ANTIGEN,$206.25 
Lab,LAB S/O HELICOBACTER PYLORI BREATH TEST,$400.00 
Lab,LAB S/O HELMINTH ANTIBODY,$233.75 
Lab,LAB S/O HEMOCHROMATOSIS GENE ANALYSIS,$297.00 
Lab,LAB S/O HEMOGLOBIN PLASMA,$103.75 
Lab,LAB S/O HEMOSIDERIN QUALITATIVE URINE,$133.50 
Lab,LAB S/O HEPARIN ANTI-XA,$223.50 
Lab,LAB S/O HEPATITIS B VIRUS NAT,$298.50 
Lab,LAB S/O HEPATITIS BE ANTIBODY,$173.50 
Lab,LAB S/O HEPATITIS C ANTIBODY RIBA II,$218.50 
Lab,LAB S/O HEPATITIS DELTA ANTIBODY,$195.75 
Lab,LAB S/O HEPATITIS E IGG ANTIBODY,$165.75 
Lab,LAB S/O HEPATITIS E IGM ANTIBODY,$165.75 
Lab,LAB S/O HERPES SIMP AB NON SPECIFIC IGM,$150.00 
Lab,LAB S/O HFE GENE ANALYSIS,$368.00 
Lab,LAB S/O HISTAMINE,$269.25 
Lab,LAB S/O HISTOPLASMA CAPSULATUM ANTIGEN,$306.25 
Lab,LAB S/O HIV 1 QUALITATIVE,$434.50 
Lab,LAB S/O HOMOCYSTEINE URINE,$255.00 
Lab,LAB S/O HOMOVANILLIC ACID URINE,$250.50 
Lab,LAB S/O HPC ABO,$55.00 
Lab,LAB S/O HPC ANTIBODY SCREEN,$79.00 
Lab,LAB S/O HPC CMV ANTIBODY,$204.75 
Lab,LAB S/O HPC HBSAG,$81.00 
Lab,LAB S/O HPC HCV NAT,$96.00 
Lab,LAB S/O HPC HIV 1/2 ABS SINGLE RESULT,$179.50 
Lab,LAB S/O HPC HIV NAT,$434.50 
Lab,LAB S/O HPC HIV1 HCV HBV NAT,$330.00 
Lab,LAB S/O HPC RH,$60.00 
Lab,LAB S/O HPC STS,$61.50 
Lab,LAB S/O HPC TRYPANOSOMA CRUZI AB,$122.75 
Lab,LAB S/O HPC WEST NILE VIRUS NAT,$413.25 
Lab,LAB S/O HPV GENOTYPE 16,$198.25 
Lab,LAB S/O HPV GENOTYPE 18,$198.25 
Lab,LAB S/O HTLV II ANTIBODY,$89.00 
Lab,LAB S/O HU ANTIBODY,$261.50 
Lab,LAB S/O HUMAN EPIDIDYMIS PROTEIN (HE4),$574.25 
Lab,LAB S/O HUMAN GROWTH HORMONE RIA,$181.50 
Lab,LAB S/O HUMAN RBC AG GENE ANALYSIS,$562.50 
Lab,LAB S/O HYDROXYBUTRATE B-KETONE QUANT,$209.75 
Lab,LAB S/O HYDROXYCORTICOSTEROIDS 17 OH,$171.25 
Lab,LAB S/O HYDROXYINDOLACETIC ACID 5,$135.50 
Lab,LAB S/O HYDROXYPROGESTERONE 17 OH,$183.75 
Lab,LAB S/O HYDROXYPROLINE FREE,$65.50 
Lab,LAB S/O HYDROXYPROLINE TOTAL,$65.50 
Lab,LAB S/O IGD ANTIBODY,$130.00 
Lab,LAB S/O IGG SUBCLASSES (1-4),$182.75 
Lab,LAB S/O IL2 RECEPTOR (CD25),$244.00 
Lab,LAB S/O IL28B MUTATION ANALYSIS,$741.50 
Lab,LAB S/O IMIPRAMINE,$165.50 
Lab,LAB S/O IMMUNE CELL FUNCTION,$911.75 
Lab,LAB S/O IMMUNE COMPLEX ASSAY,$220.25 
Lab,LAB S/O IMMUNOASSAY QUANT NOS,$151.50 
Lab,LAB S/O IMMUNOASSAY QUANT RIA,$298.25 
Lab,LAB S/O IMMUNODIFFUSION,$153.50 
Lab,LAB S/O IMMUNOFLRSCNT PER SPEC EACH  AB,$250.25 
Lab,LAB S/O IMMUNOFLRSCNT PER SPEC INITL AB,$889.00 
Lab,LAB S/O IMMUNOGLOBULIN SINGLE QUANT,$130.00 
Lab,LAB S/O IN SITU QUANT PER SPEC COMP ASST,$612.50 
Lab,LAB S/O IN SITU QUANT PER SPEC MANUAL,"$1,603.25 "
Lab,LAB S/O INFECTIOUS AGENT ANTIBODY QUANT,$175.00 
Lab,LAB S/O INHIBIN A,$335.75 
Lab,LAB S/O INHIBIN B,$244.00 
Lab,LAB S/O INSULIN ANTIBODIES,$199.00 
Lab,LAB S/O INSULIN FREE,$140.75 
Lab,LAB S/O INSULIN LIKE BP3 PEDIATRIC,$298.25 
Lab,LAB S/O INSULIN LIKE GROWTH FACTOR BP3,$253.00 
Lab,LAB S/O INSULIN TOTAL,$269.75 
Lab,LAB S/O INTRINSIC FACTOR ANTIBODIES,$131.75 
Lab,LAB S/O ITRACONAZOLE,$297.25 
Lab,LAB S/O JAK2 EXON 12-14 MUTATION,$745.00 
Lab,LAB S/O JAK2 QUANT MUTATION ANALYSIS,"$1,125.00 "
Lab,LAB S/O JC VIRUS ANTIBODY W/INHIBITION,"$3,407.50 "
Lab,LAB S/O JC VIRUS PCR,$818.75 
Lab,LAB S/O KETOSTEROIDS 17 TOTAL,$166.75 
Lab,LAB S/O KIT (CKIT) MUTATION ANALYSIS,"$1,500.00 "
Lab,LAB S/O KIT ASP816VAL GENE MUTATION ANALY,$687.50 
Lab,LAB S/O KRAS ADDITIONAL VARIANTS,$350.00 
Lab,LAB S/O KRAS VARIANTS EXON 2,$350.00 
Lab,LAB S/O L/S RATIO,$677.75 
Lab,LAB S/O LAB ZONISIAMIDE,$242.25 
Lab,LAB S/O LACOSAMIDE,$443.00 
Lab,LAB S/O LAMOTRIGINE,$242.25 
Lab,LAB S/O LATEX ALLERGEN,$41.00 
Lab,LAB S/O LEAD,$141.25 
Lab,LAB S/O LEFLUNOMIDE,$443.00 
Lab,LAB S/O LEGIONELLA ANTIBODY,$153.25 
Lab,LAB S/O LEUCINE AMINOPEPTIDASE,$282.00 
Lab,LAB S/O LEUKOCYTE ALKALINE PHOS W/COUNT,$565.25 
Lab,LAB S/O LEUKOCYTE ASSESSMENT FECAL,$67.00 
Lab,LAB S/O LEVETIRACETAM,$242.25 
Lab,LAB S/O LH PEDIATRIC,$222.75 
Lab,LAB S/O LIDOCAINE BLOOD LEVEL,$206.50 
Lab,LAB S/O LIPOPROTEIN A,$172.50 
Lab,LAB S/O LIV/KID MICROSOMAL AB,$135.75 
Lab,LAB S/O LYME DISEASE WESTERN BLOT,$187.00 
Lab,LAB S/O LYMPHOCYTE TRANS MITOGEN,$911.75 
Lab,LAB S/O LYMPOCYTIC CHORIOMENINGITIS AB,$253.00 
Lab,LAB S/O M TUBERCULOSIS COMPLEX DNA,$609.50 
Lab,LAB S/O MANGANESE,$188.00 
