,CODE,NAME,LAKELAND,LAKELAND INPATIENT LABS,LAKELAND OUTPATIENT LABS,LAKELAND BLOOD BANK,LAKELAND REFERENCE LAB,LAKELAND RESPIRATORY THERAPY LAB,WATERVLIET,WATERVLIET INPATIENT LABS,WATERVLIET OUTPATIENT LABS,WATERVLIET BLOOD BANK
,HC3020150,HC HISTOPLASMA ABS,,,,,$17.71 ,,,,,
,HC3020151,HC FEBRILE AGGL EA,,,,,$8.04 ,,,,,
,HC3020152,HC ALLERG AM COCKROACH IGE,,,,,$7.62 ,,,,,
,HC3020153,HC ALLERG CINNAMON IGE,,,,,$7.62 ,,,,,
,HC3020154,HC HEPARIN ASSOC AB DETECT,,,,,$20.10 ,,,,,
,HC3020155,HC PLATELET ANTIBODY,,,,,$62.00 ,,,,,
,HC3020156,HC ANA IGG BY IFA,,,,,$15.81 ,,,,,
,HC3020157,HC ASO TITER,,,,,$10.34 ,,,,,
,HC3020158,HC CARDIOLIPIN ANTIBODY,,,,,$7.50 ,,,,,
,HC3020159,HC COLD AGGLUTININ SCRN,,,,,$6.62 ,,,,,
,HC3020160,HC C1 ESTERASE INHIB FUNC,,,,,$32.50 ,,,,,
,HC3020161,HC COMPLEMENT CH50,,,,,$28.78 ,,,,,
,HC3020162,HC ANTI-DNA AB (SS),,,,,$22.20 ,,,,,
,HC3020164,HC ANNA IGG IFA REFLEX,,,,,$36.00 ,,,,,
,HC3020165,HC ANTI-PARIETAL CELL AB,,,,,$25.50 ,,,,,
,HC3020166,HC REGICULIN AB IGG,,,,,$54.70 ,,,,,
,HC3020167,HC STRIATED MUSCLE AB IGG,,,,,$24.50 ,,,,,
,HC3020168,HC ANTI-MITOCHONDRIAL ABS,,,,,$17.07 ,,,,,
,HC3020169,HC ANTI-SMOOTH MUSCLE ABS,,,,,$17.07 ,,,,,
,HC3020170,HC ENDOMYSIAL IGA AB,,,,,$17.07 ,,,,,
,HC3020171,HC CA 27.29,,,,,$29.48 ,,,,,
,HC3020172,HC CHROMAGRANIN A,,,,,$90.00 ,,,,,
,HC3020173,HC NEURON SPECIFIC ENOLASE,,,,,$40.06 ,,,,,
,HC3020174,HC FUNGAL IMMUNDIFFUSION,,,,,$16.75 ,,,,,
,HC3020175,HC IMMUNOELECT URINE,,,,,$38.90 ,,,,,
,HC3020176,HC IMMUNOFIXATION URINE,,,,,$38.90 ,,,,,
,HC3020177,HC INHIBIN A,,,,,$21.93 ,,,,,
,HC3020178,HC INSULIN ANTIBODIES,,,,,$46.36 ,,,,,
,HC3020179,HC INTRINSIC FAC BLOCK ABS,,,,,$28.00 ,,,,,
,HC3020180,HC ISLET CELL ANTIBODY,,,,,$27.30 ,,,,,
,HC3020181,HC B CELLS TOTAL COUNT,,,,,$53.58 ,,,,,
,HC3020182,HC NATURAL KILLER CELLS,,,,,$53.58 ,,,,,
,HC3020183,HC T CELLS TOTAL COUNT,,,,,$53.58 ,,,,,
,HC3020184,HC ABS CD4 & CD8 COUNT,,,,,$66.51 ,,,,,
,HC3020185,HC LIVER KIDNEY MICROS AB,,,,,$25.00 ,,,,,
,HC3020186,HC THYROID PEROXIDASE ABS,,,,,$20.61 ,,,,,
,HC3020187,HC CRYPTOCOCCAL AG CSF,,,,,$6.42 ,,,,,
,HC3020188,HC CRYPTOCOCCAL ANTIGEN,,,,,$6.46 ,,,,,
,HC3020189,HC QUANTIFERON TB GOLD,,,,,$87.22 ,,,,,
,HC3020190,HC VDRL,,,,,$6.05 ,,,,,
,HC3020191,HC FTA ANTIBODIES IGM,,,,,$24.30 ,,,,,
,HC3020192,HC RPR QUANTITATIVE,,,,,$6.05 ,,,,,
,HC3020193,HC CAT SCRATCH AB,,,,,$21.00 ,,,,,
,HC3020194,HC LYME DISEASE AB IGG WB,,,,,$21.94 ,,,,,
,HC3020195,HC LYME DISEASE AB IGM WB,,,,,$21.94 ,,,,,
,HC3020196,HC LYME AB CSF BY ELISA,,,,,$20.00 ,,,,,
,HC3020197,HC LYME DISEASE ANTIBODY,,,,,$18.83 ,,,,,
,HC3020198,HC BRUCELLA ABS,,,,,$20.60 ,,,,,
,HC3020199,HC CHLAMYDIA AB IGG,,,,,$11.33 ,,,,,
,HC3020200,HC CHLAMYDIA IGM,,,,,$11.33 ,,,,,
,HC3020201,HC Q FEVER ANTIBODIES,,,,,$36.50 ,,,,,
,HC3020202,HC CMV AB IGG,,,,,$19.50 ,,,,,
,HC3020203,HC CMV IGG BLOOD PRODUCTS,,,,,$15.00 ,,,,,
,HC3020204,HC CMV IGM,,,,,$18.83 ,,,,,
,HC3020205,HC ENCEPHALITIS CALIF,,,,,$29.70 ,,,,,
,HC3020206,HC ENCEPHALITIS E EQUINE,,,,,$29.70 ,,,,,
,HC3020207,HC ENCEPHALITIS ST. LOUIS,,,,,$29.70 ,,,,,
,HC3020208,HC ENCEPHALITIS W EQUINE,,,,,$29.70 ,,,,,
,HC3020209,HC EBV IGG,,,,,$11.50 ,,,,,
,HC3020210,HC EBV IGG AB EARLY AG-D,,,,,$18.58 ,,,,,
,HC3020211,HC EBV EBNA,,,,,$11.50 ,,,,,
,HC3020212,HC EBV IGM,,,,,$11.50 ,,,,,
,HC3020213,HC H PYLORI AB IGM,,,,,$18.83 ,,,,,
,HC3020214,"HC HERPES SIMPLEX 1 & 2 ANTIBODIES, IGG",,,,,$26.59 ,,,,,
,HC3020215,"HC HERPES SIMPLEX 1 & 2 ANTIBODIES, IGM",,,,,$19.50 ,,,,,
,HC3020216,HC HEP B CORE AB IGM/IGG,,,,,$16.84 ,,,,,
,HC3020217,HC HEP B CORE AB IGM,,,,,$7.75 ,,,,,
,HC3020218,HC HEPATITIS BE ANTIBODY,,,,,$24.00 ,,,,,
,HC3020219,HC HEPATITIS A ANTIBODY,,,,,$17.55 ,,,,,
,HC3020220,HC HEPATITIS A IGM ANTIBOD,,,,,$16.44 ,,,,,
,HC3020221,HC LEGIONELLA PNEUM AB,,,,,$21.50 ,,,,,
,HC3020222,HC MYCOPLASMA IGG AB,,,,,$19.50 ,,,,,
,HC3020223,HC PARVOVIRUS ABS,,,,,$18.83 ,,,,,
,HC3020224,HC RICKETTSIA ABS,,,,,$20.60 ,,,,,
,HC3020225,HC RUBELLA AB IGG,,,,,$19.50 ,,,,,
,HC3020226,HC RUBELLA AB IGM,,,,,$20.60 ,,,,,
,HC3020227,HC SALMONELLA ABS,,,,,$17.57 ,,,,,
,HC3020228,HC TOXOPLASMA AB IGG,,,,,$19.50 ,,,,,
,HC3020229,HC TOXOPLASMA AB IGM,,,,,$18.83 ,,,,,
,HC3020230,HC WEST NILE NIRUS AB IGM,,,,,$25.50 ,,,,,
,HC3020231,HC WEST NILE VIRUS AB IGG,,,,,$25.50 ,,,,,
,HC3020232,HC THYROGLOBULIN ANTIBODY,,,,,$22.53 ,,,,,
,HC3020233,HC HEPATITIS C ANTIBODY,,,,,$17.00 ,,,,,
,HC3020234,HC HEP C AB RIBA,,,,,$21.80 ,,,,,
,HC3020235,HC HLA B27 TYPING,,,,,$36.56 ,,,,,
,HC3020246,HC RUBEOLA VIRUS AB CSF,,,,,$28.30 ,,,,,
,HC3020247,HC LCV ABS,,,,,$30.00 ,,,,,
,HC3020248,HC VARICELLA ZOSTER 1GM,,,,,$18.25 ,,,,,
,HC3020249,HC WEST NILES VIRUS AB ARBO,,,,,$29.70 ,,,,,
,HC3020250,HC WEST NILES VIRUS IGM ARBO,,,,,$29.70 ,,,,,
,HC3020251,HC HISTOPLASMA ABS CSF,,,,,$17.71 ,,,,,
,HC3020252,HC IMMUNOFIXATION CSF,,,,,$38.90 ,,,,,
,HC3020253,HC RUBEOLA VIRUS AB CSF IGM,,,,,$23.00 ,,,,,
,HC3020254,HC TOXOPLASMA AB IGM,,,,,$18.83 ,,,,,
,HC3020255,HC LCV ABS SERUM,,,,,$30.00 ,,,,,
,HC3020256,HC MYOSITIS,,,,,$37.72 ,,,,,
,HC3020257,HC HISTOPLASMA ABS CF,,,,,$13.50 ,,,,,
,HC3020258,HC AB ASBERG-FID,,,,,$18.98 ,,,,,
,HC3020259,HC AB BLASTO-FID,,,,,$18.43 ,,,,,
,HC3020260,HC AB COCCID-FID,,,,,$16.42 ,,,,,
,HC3020261,HC AB HISTO FID,,,,,$17.86 ,,,,,
,HC3020262,HC C REACTIVE PROTEIN-P,,,,,$30.67 ,,,,,
,HC3020263,HC FLUORESCENT AB SCREEN,,,,,$17.07 ,,,,,
,HC3020264,HC AB FUNGUS NES,,,,,$19.00 ,,,,,
,HC3020265,HC ANTI-OVARIAN ANTIBODY,,,,,$32.80 ,,,,,
,HC3020266,HC H PYLORI IGG PEDIATRIC,,,,,$18.83 ,,,,,
,HC3020267,HC HERPESVIRUS 6 IGM AB,,,,,$48.11 ,,,,,
,HC3020268,HC HERPES VIRUS 6 IGG AB,,,,,$21.30 ,,,,,
,HC3020269,HC IA INFECTIOUS AGENT-CJD,,,,,$55.44 ,,,,,
,HC3020270,HC DNASE AB,,,,,$13.50 ,,,,,
,HC3020271,HC LIVER CYTOSOL AUTOANTIBOD,,,,,$120.00 ,,,,,
,HC3020272,HC HERPES SIMPLEX AB TYPE 1,,$72.41 ,$49.05 ,,,,,$72.41 ,$49.05 ,
,HC3020273,HC HERPES SIMPLEX AB TYPE 2,,$106.24 ,$71.96 ,,,,,$106.24 ,$71.96 ,
,HC3020274,HC TREPONEMA PALLIDUM PA,,,,,$16.49 ,,,,,
,HC3020275,HC HISTOPLASMA ABS OF CF SERUM,,,,,$12.00 ,,,,,
,HC3020276,"HC HERPES SIMPLEX 1 & 2 ANTIBODIES, IGG & IGM",,,,,$19.50 ,,,,,
,HC3020277,HC CRYPTOCOCCAL AG CSF,,$65.87 ,$44.62 ,,,,,$65.87 ,$44.62 ,
,HC3020278,HC T SPOT TB TEST,,,,,$55.97 ,,,,,
,HC3020280,HC BACTERIAL VAGINOSIS SCRN,,$12.99 ,$19.16 ,,,,,$12.99 ,$19.16 ,
,HC3020281,HC PLATELET ANTIBODY,,$74.10 ,$50.21 ,,,,,$74.10 ,$50.21 ,
,HC3020282,HC STREP IGG AF 23 STEROTYPES,,,,,$12.83 ,,,,,
,HC3020283,HC DIPTHERIA & TETANUS IGG,,,,,$13.50 ,,,,,
,HC3020284,HC BETA 2 GLYCOPROT IGA AB,,$94.67 ,$64.13 ,,,,,$94.67 ,$64.13 ,
,HC3020285,HC CARDIOLIPIN IGA AB,,$94.67 ,$64.13 ,,,,,$94.67 ,$64.13 ,
,HC3020286,HC ALLERGEN SPECIFIC IGE,,,,,$7.39 ,,,,,
,HC3020287,HC CIQ,,,,,$65.00 ,,,,,
,HC3020288,HC C-1-ESTERASE INHIBITOR,,,,,$17.10 ,,,,,
,HC3020289,HC HIV 1 ANTIBODY,,$43.87 ,$29.72 ,,,,,$43.87 ,$29.72 ,
,HC3020290,HC HIV 2 ANTIBODY,,$65.58 ,$44.42 ,,,,,$65.58 ,$44.42 ,
,HC3020291,HC HIV P24 ANTIGEN,,$50.35 ,$34.11 ,,,,,$50.35 ,$34.11 ,
,HC3020292,HC PEANUT COMPONENT IGE,,,,,$9.16 ,,,,,
,HC3020293,HC ANA SCREEN - SBMF,,,,,$17.12 ,,,,,
,HC3020294,HC SMA SCREEN - SBMF,,,,,$17.07 ,,,,,
,HC3020295,HC COLD AGG TITER,,,,,$9.23 ,,,,,
,HC3020296,HC ALLER SPEC IGE RECOM ARUP,,,,,$8.85 ,,,,,
,HC3020297,HC ALLER SPEC IGE RECOM SBMF,,,,,$7.39 ,,,,,
,HC3020298,HC MUMPS VIRUS IGM SBMF,,,,,$21.00 ,,,,,
,HC3020299,HC ZIKA VIRUS AB IGM,,,,,$135.00 ,,,,,
,HC3020300,HC RPR QUALITATIVE,,$17.32 ,$11.73 ,,,,,$17.32 ,$17.32 ,
,HC3020301,HC RPR TITER,,$17.87 ,$12.11 ,,,,,$17.87 ,$17.87 ,
,HC3020303,HC C1-ESTERASE INHIBITOR,,,,,$22.00 ,,,,,
,HC3050001,HC HEMATOCRIT,,$24.75 ,$16.76 ,,,$24.51 ,,$22.73 ,$22.73 ,
,HC3050002,HC HEMATOCRIT FLUID,,$25.75 ,$17.44 ,,,,,$25.75 ,$17.44 ,
,HC3050003,HC HEMOGLOBIN,,$24.75 ,$16.76 ,,,,,$28.42 ,$28.42 ,
,HC3050004,HC HEMOGLOBIN BY NURSING,,$25.75 ,$17.44 ,,,,,$24.33 ,$24.33 ,
,HC3050005,HC RBC BLOOD COUNT,,$31.46 ,$21.31 ,,,,,$29.74 ,$29.74 ,
,HC3050006,HC WBC BLOOD COUNT,,$26.55 ,$18.02 ,,,,,$25.10 ,$25.10 ,
,HC3050007,HC PLATELETS AUTOMATED,,$46.72 ,$31.64 ,,,,,$29.84 ,$29.84 ,
,HC3050008,HC PLATELET AGGREGATION EACH,,$224.34 ,$151.98 ,,,,,$215.92 ,$215.92 ,
,HC3050009,HC DIFFERENTIAL WBC MANUAL,,$27.80 ,$18.85 ,,,,,$28.08 ,$28.08 ,
,HC3050010,HC CBC W DIFF,,$84.33 ,$57.11 ,,,,,$104.48 ,$104.48 ,
,HC3050011,HC CBC NO DIFF,,$50.54 ,$34.21 ,,,,,$106.54 ,$106.54 ,
,HC3050012,HC RETICULOCYTE COUNT,,$43.49 ,$29.47 ,,,,,$69.61 ,$69.61 ,
,HC3050013,HC PTT-PARTIAL THROMBOPLAST,,$65.26 ,$44.17 ,,,,,$61.08 ,$61.08 ,
,HC3050014,HC PTT MIXING STUDIES,,$65.26 ,$44.17 ,,,,,$65.26 ,$44.17 ,
,HC3050015,HC ANTITHROMBIN III ACTIVITY,,$83.03 ,$56.25 ,,,,,$83.03 ,$56.25 ,
,HC3050016,HC PROTEIN C ACTIVITY,,$96.88 ,$72.72 ,,,,,$96.88 ,$72.72 ,
,HC3050017,HC PROTEIN S FREE,,$107.33 ,$72.72 ,,,,,$107.33 ,$72.72 ,
,HC3050018,HC FIBRIN DEGRADE PRODUCTS,,$74.83 ,$50.70 ,,,,,$74.83 ,$50.70 ,
,HC3050019,HC D-DIMER,,$73.51 ,$49.79 ,,,,,$166.20 ,$166.20 ,
,HC3050020,HC FIBRINOGEN ACTIVITY,,$92.25 ,$59.55 ,,,,,$87.23 ,$87.23 ,
,HC3050021,HC FIBRINOGEN QUANTITATIVE,,,$62.53 ,,,,,,,
,HC3050022,HC FETAL HEMOGLOBIN-K/B,,,,$54.23 ,,,,,,$54.23 
,HC3050023,HC FETAL SCREEN,,,,$46.46 ,,,,,,$46.46 
,HC3050024,HC LMW HEPARIN ASSAY,,$98.63 ,$66.80 ,,,,,$93.26 ,$93.26 ,
,HC3050025,HC UNFRACT HEPARIN BY XA,,$98.63 ,$66.80 ,,,,,$93.26 ,$93.26 ,
,HC3050026,HC PT-PROTIME,,$42.68 ,$28.90 ,,,,,$61.08 ,$61.08 ,
,HC3050027,HC PT MIXING STUDIES,,$42.68 ,$28.90 ,,,,,$36.25 ,$36.25 ,
,HC3050028,HC SEDIMENTATION RATE-ESR,,$38.56 ,$26.11 ,,,,,$61.08 ,$61.08 ,
,HC3050029,HC HEMOGLOBIN S SCREEN,,$59.92 ,$40.64 ,,,,,$63.91 ,$63.91 ,
,HC3050030,HC LUPUS ANTICOAGULANT,,,,,$8.51 ,,,,,
,HC3050031,HC THROMBOPLAST INHIB LEAN,,,,,$12.04 ,,,,,
,HC3050032,HC CLOTTING FACTOR II,,,,,$18.39 ,,,,,
,HC3050033,HC CLOTTING FACTOR V,,,,,$12.39 ,,,,,
,HC3050034,HC CLOTTING FACTOR VII,,,,,$25.36 ,,,,,
,HC3050035,HC CLOTTING FACTOR VIII,,,,,$21.62 ,,,,,
,HC3050036,HC RISTOCETIN COFACTOR ASY,,,,,$11.32 ,,,,,
,HC3050037,HC FACTOR VIII ANTIGEN,,,,,$11.32 ,,,,,
,HC3050038,HC CLOTTING FACTOR IX,,,,,$21.62 ,,,,,
,HC3050039,HC CLOTTING FACTOR X,,,,,$21.62 ,,,,,
,HC3050040,HC CLOTTING FACTOR XI,,,,,$21.62 ,,,,,
,HC3050041,HC CLOTTING FACTOR XII,,,,,$21.62 ,,,,,
,HC3050042,HC CLOTTING FACTOR XIII QT,,,,,$21.62 ,,,,,
,HC3050043,HC PROTEIN S FUNCTIONAL,,,,,$21.70 ,,,,,
,HC3050044,HC ACTIVATED PROT C RESIST,,,,,$21.70 ,,,,,
,HC3050045,HC LEUCOCYTE ALK PHOS-LAP,,,,,$12.19 ,,,,,
,HC3050046,HC OSMOTIC FRAGILITY,,,,,$82.76 ,,,,,
,HC3050047,HC PROTHROMBIN TIME LEANT,,,,,$5.59 ,,,,,
,HC3050048,HC RUSSELL VIPER VNM LEANT,,,,,$12.62 ,,,,,
,HC3050049,HC THROMBIN TIME-TCT,,,,,$8.18 ,,,,,
,HC3050050,HC CBC W DIFF VET,,$119.05 ,,,,,,$119.05 ,,
,HC3050051,HC HEXAGONAL PHOSPHOLIP NEU,,,,,$50.00 ,,,,,
,HC3050052,HC LYSOZYME SERUM,,,,,$28.20 ,,,,,
,HC3050053,HC PROTEIN C ACTIVITY,,,,,$19.59 ,,,,,
,HC3050054,HC PROTEIN S AG FREE,,,,,$50.00 ,,,,,
,HC3050055,HC ANTITHROMBIN III,,,,,$16.79 ,,,,,
,HC3060001,HC COLONY COUNT QUANT URINE,,$84.35 ,$56.67 ,,,,,$79.77 ,$79.77 ,
,HC3060002,HC CONC FOR SHIGA TOXIN,,$17.34 ,$11.77 ,,,,,$16.42 ,$16.42 ,
,HC3060003,HC CULTURE AFB CONCN,,$50.55 ,$34.26 ,,,,,$50.55 ,$34.26 ,
,HC3060004,HC CULTURE BLOOD,,$63.15 ,$42.74 ,,,,,$149.15 ,$149.15 ,
,HC3060005,HC CULTURE STOOL ISOL/PRE ID,,$102.49 ,$69.42 ,,,,,$149.15 ,$149.15 ,
,HC3060006,HC CULTURE STOOL ADL ISO/PRE,,$98.51 ,$66.77 ,,,,,$98.51 ,$66.77 ,
,HC3060007,HC STOOL CULT ADDL PATH CAMP,,$67.69 ,$45.83 ,,,,,$64.00 ,$64.00 ,
,HC3060008,HC CULTURE ANAEROBIC ISO/PRE,,$102.77 ,$69.66 ,,,,,$102.77 ,$69.66 ,
,HC3060009,HC ANAEROBIC DEF ID ORG,,$139.91 ,$94.82 ,,,,,$55.41 ,$55.41 ,
,HC3060010,HC ANAEROBIC DEF ID ORG 2,,$139.91 ,$94.82 ,,,,,$139.91 ,$94.82 ,
,HC3060011,HC ANAEROBIC DEF ID ORG 3,,$139.91 ,$94.82 ,,,,,$139.91 ,$94.82 ,
,HC3060012,HC AEROBIC DEF ID ORG 2,,$120.23 ,$81.46 ,,,,,$113.67 ,$113.67 ,
,HC3060013,HC AEROBIC DEF ID ORG 3,,$120.23 ,$81.46 ,,,,,$113.67 ,$113.67 ,
,HC3060014,HC AEROBIC DEF ID ORG 4,,$120.23 ,$81.46 ,,,,,$113.67 ,$113.67 ,
,HC3060015,HC H PYLORI GASTRIC BX CLOE,,$87.70 ,$59.41 ,,,,,$267.06 ,$267.06 ,
,HC3060016,HC H PYLORI GASTRIC BX NURSI,,$87.70 ,$59.41 ,,,,,$87.70 ,$59.41 ,
,HC3060017,HC ROUTINE ORGANISM ID,,$120.23 ,$81.46 ,,,,,$51.13 ,$51.13 ,
,HC3060018,HC URINE DEF ID,,$87.88 ,$59.55 ,,,,,$83.11 ,$83.11 ,
,HC3060019,HC URINE DEF ID ORG 2,,$87.88 ,$59.55 ,,,,,$83.11 ,$83.11 ,
,HC3060020,HC URINE DEF ID ORG 3,,$87.88 ,$59.55 ,,,,,$83.11 ,$83.11 ,
,HC3060021,HC CULT SCRN GP A STREP,,$52.57 ,$35.57 ,,,,,$107.96 ,$107.96 ,
,HC3060022,HC CULT SCRN GP B STREP,,$52.57 ,$35.57 ,,,,,$49.71 ,$49.71 ,
,HC3060023,HC CULTURE SCR ACINETOBACTER,,$34.74 ,$23.53 ,,,,,$34.74 ,$23.53 ,
,HC3060024,HC CULTURE SCREEN 1 ORGANISM,,$52.57 ,$35.57 ,,,,,$52.57 ,$35.57 ,
,HC3060025,HC CULTURE SCREEN GC,,$52.57 ,$35.57 ,,,,,$49.71 ,$49.71 ,
,HC3060026,HC CULTURE SCREEN MRSA,,$52.57 ,$35.57 ,,,,,$75.28 ,$75.28 ,
,HC3060027,HC VANCOMYCIN RESIST SCREEN,,$52.57 ,$35.57 ,,,,,$49.71 ,$49.71 ,
,HC3060028,HC CULTURE URINE ISOL/PRE ID,,$93.55 ,$63.34 ,,,,,$110.81 ,$110.81 ,
,HC3060029,HC CULTURE FUNGI ISOL OTHER,,$63.15 ,$42.74 ,,,,,$139.21 ,$139.21 ,
,HC3060030,HC CULTURE FUNGUS BLOOD,,$64.36 ,$43.61 ,,,,,$64.36 ,$43.61 ,
,HC3060031,HC YEAST DEF ID,,$112.14 ,$75.97 ,,,,,$106.02 ,$106.02 ,
,HC3060032,HC YEAST DEF ID ORG 2,,$112.14 ,$75.97 ,,,,,$112.14 ,$75.97 ,
,HC3060033,HC YEAST DEF ID ORG 3,,$112.14 ,$75.97 ,,,,,$112.14 ,$75.97 ,
,HC3060034,HC CULTURE AFB BLOOD ISO/PRE,,$52.57 ,$35.57 ,,,,,$52.57 ,$35.57 ,
,HC3060035,HC CULTURE AFB ISOL/PREID,,$112.83 ,$76.40 ,,,,,$112.83 ,$76.40 ,
,HC3060036,HC CULTURE NA PROBE,,$150.28 ,$101.81 ,,,,,$150.28 ,$101.81 ,
,HC3060037,HC PINWORM PADDLE,,$58.70 ,$39.78 ,,,,,$58.70 ,$39.78 ,
,HC3060038,HC SENSITIVITY AGAR DILUTI,,$20.88 ,$14.18 ,,,,,$19.78 ,$19.78 ,
,HC3060039,HC SENSITIVITY DISK METHOD,,$59.53 ,$40.33 ,,,,,$56.28 ,$56.28 ,
,HC3060040,HC BETA LACTAMASE,,$42.48 ,$28.78 ,,,,,$40.15 ,$40.15 ,
,HC3060041,HC SENSITIVITY MIC,,$93.83 ,$63.56 ,,,,,$88.73 ,$88.73 ,
,HC3060042,HC SMEAR PRIMARY SOURCE,,$46.35 ,$31.45 ,,,,,$51.13 ,$51.13 ,
,HC3060043,HC SMEAR FLUORESCENT AFB,,$58.35 ,$39.49 ,,,,,$58.35 ,$39.49 ,
,HC3060044,HC SMEAR KINYOUR MODIFIED,,$58.35 ,$39.49 ,,,,,$58.35 ,$39.49 ,
,HC3060045,HC PARASITE BLOOD,,$60.20 ,$40.76 ,,,,,$60.20 ,$40.76 ,
,HC3060046,HC INDIA INK,,$46.35 ,$31.45 ,,,,,$46.35 ,$31.45 ,
,HC3060047,HC SMEAR WET MOUNT,,$46.35 ,$31.45 ,,,,,$68.19 ,$68.19 ,
,HC3060048,HC SMEAR KOH,,$46.35 ,$31.45 ,,,,,$43.84 ,$43.84 ,
,HC3060049,HC VIRAL SMEAR ADENOVIRUS,,$130.31 ,$88.32 ,,,,,$130.31 ,$88.32 ,
,HC3060050,HC VIRAL SMEAR INFLUENZA B,,$130.31 ,$88.32 ,,,,,$130.31 ,$88.32 ,
,HC3060051,HC VIRAL SMEAR INFLUENZA A,,$130.31 ,$88.32 ,,,,,$130.31 ,$88.32 ,
,HC3060052,HC VIRAL SMEAR PARAINFLU 1,,,$88.32 ,,,,,,$88.32 ,
,HC3060053,HC VIRAL SMEAR PARAINFL 2,,$130.31 ,$88.32 ,,,,,$130.31 ,$88.32 ,
,HC3060054,HC VIRAL SMEAR PARAINFL 3,,$130.31 ,$88.32 ,,,,,$130.31 ,$88.32 ,
,HC3060055,HC VIRAL SMEAR PARAINL 1,,$130.31 ,,,,,,$130.31 ,,
,HC3060056,HC VIRAL SMEAR RSV,,$130.31 ,$88.32 ,,,,,$130.31 ,$88.32 ,
,HC3060057,HC VIRAL RESPIRATORY SCREEN,,$130.31 ,$88.32 ,,,,,$127.85 ,$127.85 ,
,HC3060058,HC CRYPTOSPORIDIUM AB EIA,,$86.07 ,$58.30 ,,,,,$127.85 ,$127.85 ,
,HC3060059,HC GIARDIA AG EIA,,$86.07 ,$58.30 ,,,,,$81.39 ,$81.39 ,
,HC3060060,HC HEPATITIS B SURF ANTIGEN,,$103.68 ,$70.27 ,,,,,$68.19 ,$68.19 ,
,HC3060061,HC INFLUENZA A ANTIGEN,,$107.25 ,$72.64 ,,,,,$107.25 ,$72.64 ,
,HC3060062,HC INFLUENZA B ANTIGEN,,$107.25 ,$72.64 ,,,,,$107.25 ,$72.64 ,
,HC3060063,HC RSV SCREEN,,$139.97 ,$94.84 ,,,,,$132.10 ,$132.10 ,
,HC3060064,HC ROTAVIRUS,,$143.26 ,$97.07 ,,,,,$71.03 ,$71.03 ,
,HC3060065,HC LEIONELLA AG URINE,,$90.38 ,$61.24 ,,,,,$90.38 ,$61.24 ,
,HC3060066,HC STREP PNEUMONIAE AG,,$90.38 ,$61.24 ,,,,,$90.38 ,$61.24 ,
,HC3060067,HC CHLAMYDIA BY PCR,,$277.60 ,$188.07 ,,,,,$262.49 ,$262.49 ,
,HC3060068,HC C DIFFICILE TOXIN B PCR,,$245.84 ,$166.54 ,,,,,$105.12 ,$105.12 ,
,HC3060069,HC ENTEROVIRUS RNA BY PCR,,$251.79 ,$170.58 ,,,,,$251.79 ,$170.58 ,
,HC3060070,HC GONORRHOEAE BY PCR,,$277.60 ,$188.07 ,,,,,$262.49 ,$262.49 ,
,HC3060072,HC STREP B DNA AMP PROBE,,$277.58 ,$188.09 ,,,,,$277.58 ,$188.09 ,
,HC3060073,HC STREP GROUP B PCR,,$277.58 ,$179.13 ,,,,,$277.58 ,$179.13 ,
,HC3060074,HC CLOSTRIDIUM DIFFICILE TOX,,$130.31 ,,,,,,$130.31 ,,
,HC3060075,HC STREP A ANTIGEN SCREEN,,$130.31 ,$88.32 ,,,,,$107.96 ,$107.96 ,
,HC3060076,HC INF AGENT IMMUNOASSAY,,$86.02 ,$58.30 ,,,,,$86.02 ,$58.30 ,
,HC3060077,HC CULTURE CSF,,$93.55 ,$63.34 ,,,,,$88.44 ,$88.44 ,
,HC3060078,HC CULTURE OTHER SOURCE,,$93.55 ,$63.34 ,,,,,$127.85 ,$127.85 ,
,HC3060079,HC CULTURE RESPIRATORY,,$93.55 ,$63.34 ,,,,,$88.44 ,$88.44 ,
,HC3060080,HC CULTURE THROAT/NOSE ISO/P,,$83.92 ,$54.69 ,,,,,$83.92 ,$54.69 ,
,HC3060081,HC CULTURE VAGINAL/GENITAL,,$93.55 ,$63.34 ,,,,,$93.55 ,$63.34 ,
,HC3060083,HC CULTURE WOUND,,$93.55 ,$63.34 ,,,,,$127.85 ,$127.85 ,
,HC3060084,HC HIV-1 RNA PCR ULTRSENS,,,,,$120.52 ,,,,,
,HC3060085,HC FUNGAL ID MOLD,,,,,$14.62 ,,,,,
,HC3060086,HC CULT MYCO/UREAPLASMA,,,,,$19.91 ,,,,,
,HC3060087,HC CHLAMYDIA CULTURE,,,,,$27.50 ,,,,,
,HC3060088,HC CULTURE TYPING IMMUNO,,,,,$15.14 ,,,,,
,HC3060089,HC OVA & PARASITE DIRECT SMR,,,,,$12.64 ,,,,,
,HC3060090,HC SMEAR COMPLEX STAIN,,,,,$25.42 ,,,,,
,HC3060091,HC CULTURE VIRAL,,,,,$50.00 ,,,,,
,HC3060092,HC LEGIONELLA DFA SMEAR,,,,,$44.30 ,,,,,
,HC3060093,HC PNEUMOCYSTIS SMEAR,,,,,$40.00 ,,,,,
,HC3060094,HC CRYPTOSPORIDIUM AG BY EIA,,,,,$16.76 ,,,,,
,HC3060095,HC GIARDIA AG EIA,,,,,$16.76 ,,,,,
,HC3060096,HC HELICOBACTER PYLORI:  STL,,,,,$20.37 ,,,,,
