,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,PROCEDURE CODE,PROCEDURE DESCRIPTION, CHILDREN'S HOSPITAL , BUTTERWORTH , BLODGETT , GRAND RAPIDS OFF-CAMPUS , REGIONAL ** , REFERENCE LABS ,,
,27005994,HC SU-FLOTRAC SENSOR MHD8,," $1,175.66 "," $1,175.66 "," $1,175.66 "," $1,175.66 ",,,
,27005995,HC SU-TRAY EPIDURAL ARROW, $143.70 , $143.70 , $143.70 , $143.70 , $143.70 ,,,
,27005996,HC SU-KIT TB089T I-FLOW CONT. CATHETER 3.5,, $148.01 , $148.01 , $148.01 , $148.01 ,,,
,27005997,HC SU-KIT TBT01089T I-FLOW CONT. STIMUCATH,, $291.04 , $291.04 , $291.04 , $291.04 ,,,
,27005998,HC SU-KIT TBT01127T I-FLOW CONT. STIMUCATH,, $291.04 , $291.04 , $291.04 , $291.04 ,,,
,27005999,HC SU-TRAY CONTINUOUS EPIDURAL ANESTHESIA, $118.17 , $118.17 , $118.17 , $118.17 , $118.17 ,,,
,27006000,HC SU-BAG 42061100 AMBU DISPOSABLE ADULT,, $44.76 , $44.76 , $44.76 , $44.76 ,,,
,27006001,HC OXISENSOR D-25 & D-20, $65.34 , $65.34 , $65.34 , $65.34 , $64.76 ,,,
,27006002,HC SU-SET VENTRICULOSTOMY DRAINAGE,," $1,436.48 "," $1,436.48 "," $1,436.48 "," $1,436.48 ",,,
,27006003,HC SU-TRANSDUCER W/SAFESET, $88.04 , $88.04 , $88.04 , $88.04 , $88.04 ,,,
,27006004,HC SU-SONOSITE NEEDLE GUIDE KIT, $94.43 , $94.43 , $94.43 , $94.43 , $94.43 ,,,
,27006005,HC PUMP BL1D002SK2-CP WILLIAMS MED PAIN SIN,, $454.75 , $454.75 , $454.75 , $454.75 ,,,
,27006006,HC SU-CATHETER TRIPLE LUMEN 7FR INFUSION,, $160.46 , $160.46 , $160.46 , $160.46 ,,,
,27006007,HC SU-CATHETER KIT LUMBAR ACCESS," $1,171.65 "," $1,171.65 "," $1,171.65 "," $1,171.65 "," $1,171.65 ",,,
,27006008,HC SU-TRAY SONOPLEX 22G X 2, $148.01 , $148.01 , $148.01 , $148.01 , $148.01 ,,,
,27006009,HC SU-TRAY SONOPLEX 21G X 4, $148.01 , $148.01 , $148.01 , $148.01 , $148.01 ,,,
,27006010,HC SU-ADHESIVE SKIN DERMA PLUS FLEX,, $71.45 , $71.45 , $71.45 , $71.45 ,,,
,27006011,HC SU-GLIDESCOPE COVERS, $55.06 , $55.06 , $55.06 , $55.06 , $55.06 ,,,
,27006012,HC SU-MASK LMA SUPREME, $49.25 , $49.25 , $49.25 , $49.25 , $49.25 ,,,
,27006013,HC SU-LMA UNIQUE, $33.73 , $33.73 , $33.73 , $33.73 , $33.73 ,,,
,27006015,HC SU-CATHETER INTUBAT 19.0FR 56, $260.12 , $260.12 , $260.12 , $260.12 , $260.12 ,,,
,27006016,HC SU-INTRODUCER FROVA INTUBATING, $361.69 , $415.19 , $415.19 , $415.19 , $361.69 ,,,
,27006017,HC SU-ENDO TRACH TUBE 6.0MM, $164.91 , $164.91 , $164.91 , $164.91 , $164.91 ,,,
,27006018,HC SU ENDO TRACH TUBE 6.5MM, $164.91 , $164.91 , $164.91 , $164.91 , $164.91 ,,,
,27006019,HC SU-TUBE ENDOBRONCHIAL LEFT 35, $255.20 , $255.20 , $255.20 , $255.20 , $255.20 ,,,
,27006020,HC SU-TUBE BRONCHIO CATH LEFT 37F, $255.20 , $255.20 , $255.20 , $255.20 , $255.20 ,,,
,27006021,HC SU-TUBE BRONCHIO CATH LEFT 39F, $255.20 , $255.20 , $255.20 , $255.20 , $255.20 ,,,
,27006022,HC SU-TUBE ET BRONC CATH RT 35FR, $255.20 , $255.20 , $255.20 , $255.20 , $255.20 ,,,
,27006023,HC SU-TUBE BRONCH CATH 41 FR. RT, $255.20 , $255.20 , $255.20 , $255.20 , $255.20 ,,,
,27006024,HC SU-TRAY BUPIVICAINE SPINAL25GX, $62.17 , $62.17 , $62.17 , $62.17 , $62.17 ,,,
,27006025,HC SU-BAG RESUSCITATION INFANT, $57.78 , $57.78 , $57.78 , $57.78 , $57.78 ,,,
,27006026,HC SU-WIRE GUIDE FIXED CORE .015I, $109.28 , $109.28 , $109.28 , $109.28 , $109.28 ,,,
,27006027,HC SU TRAY SPINAL 24GA 4IN W/EPH/, $97.68 , $97.68 , $97.68 , $97.68 , $97.68 ,,,
,27006028,HC SU-TRAY THORACENTESIS, $139.19 , $139.19 , $139.19 , $139.19 , $139.19 ,,,
,27006029,HC SU-BLOCKER BRONCH 9FR ADULT, $734.01 , $734.01 , $734.01 , $734.01 , $734.01 ,,,
,27006030,HC SU-BAG AMBU PEDS, $94.06 , $94.06 , $94.06 , $94.06 , $94.06 ,,,
,27006031,HC SU-KIT TRIFUR SAFE 3 TRAN, $173.53 , $173.53 , $173.53 , $173.53 , $173.53 ,,,
,27006032,HC SU TRAY LIDO SPINAL 25GAX3.5IN, $84.58 , $84.58 , $84.58 , $84.58 , $84.58 ,,,
,27006033,HC SU TRAY BUPIVICAINE 27GAX3.5IN, $63.70 , $63.70 , $63.70 , $63.70 , $63.70 ,,,
,27006034,HC SU-CATHETER 4.0FR PIC VENOUS, $454.75 , $454.75 , $454.75 , $454.75 , $454.75 ,,,
,27006035,HC SU-CATHETER AIRWAY EXCHANGE 7M, $260.12 , $260.12 , $260.12 , $260.12 , $260.12 ,,,
,27006036,HC SU-CATHETER PIC 5.0FR, $295.36 , $295.36 , $295.36 , $295.36 , $295.36 ,,,
,27006037,HC SU CATHETER AIRWAY EXCHANGE 4M, $290.36 , $290.36 , $290.36 , $290.36 , $290.36 ,,,
,27006038,HC SU CATHETER AIRWAY EXCHANGE 5, $255.20 , $255.20 , $255.20 , $255.20 , $255.20 ,,,
,27006039,HC SU-BRONCHO CATH LEFT, $255.20 , $255.20 , $255.20 , $255.20 , $255.20 ,,,
,27006040,HC SU-BRONCHO CATH 32 LEFT, $255.20 , $255.20 , $255.20 , $255.20 , $255.20 ,,,
,27006041,HC SU-SETS ENDOBRACHIAL BLOCKER 9, $712.62 , $712.62 , $712.62 , $712.62 , $712.62 ,,,
,27006042,HC SU-CATHETER BRONCHO RIGHT ES 3, $256.55 , $256.55 , $256.55 , $256.55 , $256.55 ,,,
,27006043,HC SU-CATHETER BRONCHO RIGHT 39, $256.55 , $256.55 , $256.55 , $256.55 , $256.55 ,,,
,27006044,HC SU-REINFORCED TUBES, $59.70 , $59.70 , $59.70 , $59.70 , $59.70 ,,,
,27006045,HC SU-SEALGUARD TUBES, $85.21 , $85.21 , $85.21 , $85.21 , $85.21 ,,,
,27006046,HC SU-LMA FASTRACH SZ 3, $217.33 , $217.33 , $217.33 , $217.33 , $217.33 ,,,
,27006047,HC SU-FLEXIBLE LMA, $55.06 , $55.06 , $55.06 , $55.06 , $55.06 ,,,
,27006048,HC SU DISPOSE BRONCHOSCOPE ALL SI," $1,075.23 "," $1,075.23 "," $1,075.23 "," $1,075.23 "," $1,075.23 ",,,
,27006049,HC EPIDERMAL AUTOGRAF TR/ARM/LG 1ST 100SQCM,," $3,062.23 ",,,,,,
,27006050,HC EPIDERMAL AUTGRFT  ADDTL 100SQCM,, $1.00 ,,,,,,
,27006051,HC AUTOGRFT FACE SCALP EYELID MOUTH ETC,," $3,062.23 ",,,,,,
,27006052,HC AORTIC COREVALVE SYSTEM G100012,," $30,000.00 ",,,,,,
,27006053,HC SU 2 LDL ABSORB COLUMNS," $4,608.96 ",,,,,,,
,27006054,HC SU PLASMA SEPERATOR, $551.93 ,,,,,,,
,27006055,HC SU TUBE SET PLASMAPHERESIS, $331.38 ,,,,,,,
*,27006056,HC SUPPLY 272 A6197, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006057,HC SUPPLY 272 A6449, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006058,HC SUPPLY 274 L4360, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006059,HC SUPPLY 272 A6199, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006060,HC SUPPLY 272 A6207, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006061,HC SUPPLY 272 A6208, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006062,HC SUPPLY 272 A6209, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006063,HC SUPPLY 272 A6250, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006064,HC SUPPLY 272 A9578, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006065,HC SUPPLY 272 C2618, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006066,HC SUPPLY 290 E0191, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006067,HC SUPPLY 274 L0113, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006068,HC SUPPLY 274 L0150, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006069,HC SUPPLY 274 L0621, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006070,HC SUPPLY 274 L1820, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006071,HC SUPPLY 274 L8603, $-   , $-   , $-   , $-   , $-   , $-   ,,
*,27006072,HC SUPPLY 278 V2790, $-   , $-   , $-   , $-   , $-   , $-   ,,
,27006073,"HC LOWER EXTREMITY ORTHOSES, NOT OTHERWISE SPECIFIED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006074,"HC FOOT, MOLDED SHOE PLASTAZOTE (OR SIMILAR) CUSTOM FITTED, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006075,"HC SURGICAL BOOT/SHOE, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006076,"HC PLASTAZOTE SANDAL, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006077,"HC LIFT, ELEVATION, HEEL AND SOLE, NEOPRENE, PER INCH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006078,"HC LIFT, ELEVATION, INSIDE SHOE, TAPERED, UP TO ONE-HALF INCH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006079,"HC HEEL, PAD, REMOVABLE FOR SPUR"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006080,"HC TRANSFER OF AN ORTHOSIS FROM ONE SHOE TO ANOTHER, SOLID STIRRUP, NEW"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006081,"HC SHOULDER ORTHOSIS, FIGURE OF EIGHT DESIGN ABDUCTION RESTRAINER, PREFABRICATED, OFF-THE-SHELF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006082,"HC SHOULDER ORTHOSIS, ACROMIO/CLAVICULAR (CANVAS AND WEBBING TYPE), PREFABRICATED, OFF-THE-SHELF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006083,"HC ELBOW ORTHOSIS, WITH ADJUSTABLE POSITION LOCKING JOINTS, PREFABRICE"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006084,"HC WRIST HAND FINGER ORTHOSIS, INCLUDES ONE OR MORE NONTORSION JOINTST"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006085,"HC WRIST HAND FINGER ORTHOSIS, WITHOUT JOINTS, PREFABRICATED ITEM THAE"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006086,"HC WRIST HAND FINGER ORTHOSIS, WITHOUT JOINT(S), PREFABRICATED, OFF-THE-SHELF, ANY TYPE"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006087,"HC WRIST HAND ORTHOSIS, WRIST EXTENSION CONTROL COCK-UP, NON MOLDED, PREFABRICATED, OFF-THE-SHELF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006088,"HC HAND FINGER ORTHOSIS HFO, FLEXION GLOVE WITH ELASTIC FINGER CONTROF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006089,"HC WRIST HAND FINGER ORTHOSIS, INCLUDES ONE OR MORE NONTORSION JOINTST"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006090,"HC SHOULDER ELBOW WRIST HAND ORTHOSIS, ABDUCTION POSITIONING, AIRPLANT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006091,"HC SHOULDER ELBOW WRIST HAND ORTHOSIS, ABDUCTION POSITIONING (AIRPLANT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006092,"HC UPPER EXTREMITY FRACTURE ORTHOSIS, HUMERAL, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006093,"HC UPPER EXTREMITY FRACTURE ORTHOSIS, RADIUS/ULNAR, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006094,"HC UPPER EXTREMITY FRACTURE ORTHOSIS, WRIST, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006095,"HC UPPER LIMB ORTHOSIS, NOT OTHERWISE SPECIFIED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006096,"HC REPLACEMENT STRAP, ANY ORTHOSIS, INCLUDES ALL COMPONENTS, ANY LENGTH, ANY TYPE"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006097,"HC REPAIR OF ORTHOTIC DEVICE, LABOR COMPONENT, PER 15 MINUTES"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006098,"HC REPAIR OF ORTHOTIC DEVICE, REPAIR OR REPLACE MINOR PARTS"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006099,"HC ANKLE CONTROL ORTHOSIS, STIRRUP STYLE, RIGID, INCLUDES ANY TYPE INF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006100,"HC WALKING BOOT, PNEUMATIC AND/OR VACUUM, WITH OR WITHOUT JOINTS, WIT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006101,"HC WALKING BOOT, PNEUMATIC AND/OR VACUUM, WITH OR WITHOUT JOINTS, WITF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006102,"HC WALKING BOOT, NON-PNEUMATIC, WITH OR WITHOUT JOINTS, WITH OR WITHO"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006103,"HC WALKING BOOT, NON-PNEUMATIC, WITH OR WITHOUT JOINTS, WITH OR WITHOF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006104,"HC STATIC OR DYNAMIC ANKLE FOOT ORTHOSIS, INCLUDING SOFT INTERFACE MA"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006105,"HC STATIC OR DYNAMIC ANKLE FOOT ORTHOSIS, INCLUDING SOFT INTERFACE MAF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006106,"HC FOOT DROP SPLINT, RECUMBENT POSITIONING DEVICE, PREFABRICATED, OFF-THE-SHELF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006107,"HC ANKLE FOOT ORTHOSIS, WALKING BOOT TYPE, VARUS/VALGUS CORRECTION, RD"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006108,HC BELOW KNEE POST SURGICAL APPLICAT NON-WEIGHT BEARING RIGID DRESSING," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006109,HC ABOVE KNEE POST SURGICAL APPLICAT NON-WEIGHT BEARING RIGID DRESSING," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006110,"HC PREPARATORY, BELOW KNEE 'PTB' TYPE SOCKET, NON-ALIGNABLE SYSTEM, PL"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006111,"HC ADDITION TO LOWER EXTREMITY, BELOW KNEE, TOTAL CONTACT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006112,"HC ADDITION TO LOWER EXTREMITY, ABOVE KNEE, WOOD SOCKET"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006113,"HC ADDITION TO LOWER EXTREMITY, BELOW KNEE, MOLDED DISTAL CUSHION"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006114,"HC ADDITION TO LOWER EXTREMITY, BELOW KNEE/ABOVE KNEE, CUSTOM FABRICAM"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006115,"HC ADDITION TO LOWER EXTREMITY PROSTHESIS, BELOW KNEE, SUSPENSION/SEAH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006116,"HC ADDITION TO LOWER EXTREMITY, BELOW KNEE, WAIST BELT, WEBBING"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006117,"HC ADDITION, ENDOSKELETAL SYSTEM, BELOW KNEE, ALIGNABLE SYSTEM"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006118,"HC LOWER EXTREMITY PROSTHESIS, NOT OTHERWISE SPECIFIED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006119,"HC IMMEDIATE POST SURGICAL OR EARLY FITTING, APPLICATION OF RIGID DRESSING ONLY"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006120,"HC PROSTHETIC SOCK, MULTIPLE PLY, BELOW KNEE, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006121,"HC PROSTHETIC SOCK, MULTIPLE PLY, ABOVE KNEE, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006122,"HC PROSTHETIC SOCK, MULTIPLE PLY, UPPER LIMB, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006123,"HC PROSTHETIC SHRINKER, BELOW KNEE, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006124,"HC PROSTHETIC SHRINKER, ABOVE KNEE, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006125,"HC PROSTHETIC SHRINKER, UPPER LIMB, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006126,"HC PROSTHETIC SOCK, SINGLE PLY, FITTING, BELOW KNEE, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006127,"HC PROSTHETIC SOCK, SINGLE PLY, FITTING, ABOVE KNEE, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006128,"HC PROSTHETIC SOCK, SINGLE PLY, FITTING, UPPER LIMB, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006129,"HC CRANIAL REMOLDING ORTHOSIS, PEDIATRIC, RIGID, WITH SOFT INTERFACE"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006130,"HC SACROILIAC ORTHOSIS, FLEXIBLE, PROVIDES PELVIC-SACRAL SUPPORT, REDF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006131,"HC LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006132,"HC LUMBAR-SACRAL ORTHOSIS, FLEXIBLE, PROVIDES LUMBO-SACRAL SUPPORT, MF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006133,"HC LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID ANTER"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006134,"HC LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, RIGID SHELL(S)/PD"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006135,"HC LUMBAR ORTHOSIS, SAGITTAL CONTROL, WITH RIGID ANTERIOR AND POSTERIF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006136,"HC LUMBAR-SACRAL ORTHOSIS, SAGITTAL-CORONAL CONTROL, WITH RIGID ANTERF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006137,"HC HALO PROCEDURE, CERVICAL HALO INCORPORATED INTO JACKET VEST"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006138,"HC ADDITION TO HALO PROCEDURE, MAGNETIC RESONANCE IMAGE COMPATIBLE SYL"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006139,"HC ADDITION TO HALO PROCEDURE, REPLACEMENT LINER/INTERFACE MATERIAL"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006140,"HC ADDITION TO SPINAL ORTHOSIS, NOT OTHERWISE SPECIFIED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006141,"HC CERVICAL THORACIC LUMBAR SACRAL ORTHOSIS, IMMOBILIZER, INFANT SIZET"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006142,"HC SPINAL ORTHOSIS, NOT OTHERWISE SPECIFIED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006143,"HC HIP ORTHOSIS, ABDUCTION CONTROL OF HIP JOINTS, FLEXIBLE, (PAVLIK HE"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006144,"HC HIP ORTHOSIS, ABDUCTION CONTROL OF HIP JOINT, POSTOPERATIVE HIP ABDUCTION TYPE, CUSTOM FABRICATED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006145,"HC HIP ORTHOSIS, ABDUCTION CONTROL OF HIP JOINT, POSTOPERATIVE HIP ABT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006146,"HC KNEE ORTHOSIS, ELASTIC WITH CONDYLAR PADS AND JOINTS, WITH OR WITHT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006147,"HC KNEE ORTHOSIS, IMMOBILIZER, CANVAS LONGITUDINAL, PREFABRICATED, OFF-THE-SHELF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006148,"HC KNEE ORTHOSIS, ADJUSTABLE KNEE JOINTS (UNICENTRIC OR POLYCENTRIC),T"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006149,"HC KNEE ORTHOSIS, ADJUSTABLE KNEE JOINTS (UNICENTRIC OR POLYCENTRIC),F"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006150,"HC KNEE ORTHOSIS, RIGID, WITHOUT JOINT(S), INCLUDES SOFT INTERFACE MAF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006151,"HC ANKLE ORTHOSIS, ANKLE GAUNTLET OR SIMILAR, WITH OR WITHOUT JOINTS, PREFABRICATED, OFF-THE-SHELF"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006152,"HC ANKLE FOOT ORTHOSIS, PLASTIC OR OTHER MATERIAL, PREFABRICATED, INCLUDES FITTING AND ADJUSTMENT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006153,"HC ANKLE FOOT ORTHOTIC(AFO)RIGID ANTERIOR TIBIAL SECTION, TOTAL CARBOT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006154,"HC ANKLE FOOT ORTHOSIS, PLASTIC OR OTHER MATERIAL, CUSTOM FABRICATED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006155,"HC ANKLE FOOT ORTHOSIS, PLASTIC, RIGID ANTERIOR TIBIAL SECTION (FLOOR REACTION), CUSTOM FABRICATED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006156,"HC ANKLE FOOT ORTHOSIS, POSTERIOR SOLID ANKLE, PLASTIC, CUSTOM FABRICATED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006157,"HC ANKLE FOOT ORTHOSIS, PLASTIC WITH ANKLE JOINT, CUSTOM FABRICATED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006158,"HC ADDITION TO LOWER EXTREMITY, LIMITED ANKLE MOTION, EACH JOINT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006159,"HC ADDITION TO LOWER EXTREMITY, VARUS/VALGUS CORRECTION ('T') STRAP, PADDED/LINED OR MALLEOLUS PAD"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006160,"HC ADDITION TO LOWER EXTREMITY, VARUS/VALGUS CORRECTION, PLASTIC MODIFICATION, PADDED/LINED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006161,"HC ADDITION TO LOWER EXTREMITY, TORSION CONTROL, ANKLE JOINT AND HALF SOLID STIRRUP"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006162,"HC ADDITION TO LOWER EXTREMITY, TORSION CONTROL, STRAIGHT KNEE JOINT, EACH JOINT"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006163,"HC ADDITION TO LOWER EXTREMITY, THIGH-WEIGHT BEARING, LACER, NON-MOLDED"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006164,"HC ADDITION TO LOWER EXTREMITY, THIGH/WEIGHT BEARING, LACER, MOLDED TO PATIENT MODEL"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006165,"HC ADDITION TO LOWER EXTREMITY, PELVIC CONTROL, HIP JOINT, CLEVIS OR THRUST BEARING, LOCK, EACH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
,27006166,"HC ADDITION TO LOWER EXTREMITY, PELVIC CONTROL, HIP JOINT, ADJUSTABLEH"," $1,070.00 "," $1,070.00 "," $1,070.00 ",," $1,070.00 ",,,
