DESCRIPTION                     ,CHARGE,CPT CODE
LIVER IMAGING;STATIC ONLY,784,78201
LIVER IMAGING;W/VASCULAR FLOW,983,78202
NM LIVER IMG SPECT,1080,78205
NM LIVER SPLEEN IMG,1000,78215
LIVER/SPLEEN IMAGING W/VAS,983,78216
NM HEPATOBILIARY IMAGING,1146,78226
NM HEPATOBILIARY WO/W FUNCTION,1457,78227
SALIVARY GLAND IMAGING,758,78230
SALIVARY GLAND W/SERIAL IMAGES,836,78231
GASTRIC MUCOSA IMAGING,1017,78261
NM GE REFLUX STUDY,836,78262
NM GASTRIC EMPTYING,1105,78264
NM CARBON 14-UREA BREATH TEST,249,78267
NM GI BLOOD LOSS,1149,78278
NM BOWEL IMG MECKELS,851,78290
PERI-VENOUS SHUNT PATENCY TEST,850,78291
NM BONE LIMITED,797,78300
NM BONE MULTIPLE AREAS,971,78305
NM BONE WHOLE BODY,1676,78306
NM BONE 3 PHASE,1298,78315
NM BONE W/ SPECT,1459,78320
VASCULAR FLOW IMAGING,646,78445
NM MYOCAR SINGLE W/ SPECT,2303,78451
NM MYOCAR MULTI W/ SPECT,3477,78452
MYOCARDIAL PERFUSION IMAGE,2531,78453
MYOCARDIAL IMAGING PLANAR,3134,78454
NM MYOCARDIUM-PYP SCAN,1071,78466
NM CARDIA MUGA REST,1528,78472
CARDIAC BLOOD POOL-FIRST PASS,1238,78481
NM PULM PERFUSION,900,78580
NM PULM PERFUSION VENT STUDY,1006,78582
LUNG VENTILATION AND PERFUSION,1730,78596
NM BRAIN 1-3V,712,78600
NM BRAIN W/ FLOW 1-3V,837,78601
NM BRAIN 4+V,954,78605
NM BRAIN 4+V W/FLOW,2172,78606
NM BRAIN SPECT,1971,78607
NM PET METABOLIC BRAIN,4156,78608
NM BRAIN FLOW (BRAIN DEATH),524,78610
NM CISTERNOGRAM,1976,78630
CEREBROSPINAL FLUID FLOW-SHUNT,857,78645
CSF LEAKAGE DETEC & LOCAL,1873,78650
KIDNEY SCAN,1188,78701
NM RENAL IMAG FLOW W/O PHARM,1431,78707
NM RENAL IMAGING FLOW W/ PHARM,1472,78708
NM RENAL IMAG WO/W PHARM,1497,78709
NM KIDNEY SPECT,1235,78710
URINARY BLADDER RESIDUAL STUDY,248,78730
NM VCUG,1077,78740
NM TESTICULAR,1117,78761
NM TUM LOCAL/TRACER DISTR LTD,1115,78800
NM TUM LOCAL/TRA DIST MULTI,1053,78801
NM TUMR LOC/TRAC DIST WHBDY 1D,1606,78802
NM TUMOR LOCAL/TRA DIST SPECT,1989,78803
NM TUMOR LOC WHOLE BODY 2DAY,3446,78804
NM ABSCESS/INFLAM LOC LIMITED,1270,78805
NM ABSCESS/INFLAM LOCAL BODY,1844,78806
NM ABSCESS/INFLAM LOCAL SPECT,1884,78807
NM RAI THERAPY CANCER THYROID,741,79005
RADIONUCLIDE THERAPY,814,79101
BASIC METABOLIC PANEL,101,80048
ELECTROLYTE PANEL,107,80051
COMPREHENSIVE METABOLIC PANEL,121,80053
NMR A,171,80061
RENAL PANEL,88,80069
HEPATITIS PROFILE,312,80074
HEPATIC PANEL,113,80076
ROHYPNOL,126,80101
CARBAMAZAPINE (TEGRETOL),189,80156
CYCLOSPORINE BLOOD,267,80158
DESIPRAMINE,202,80160
DIGOXIN LEVEL,153,80162
VALPROIC ACID,183,80164
ETHOSUXIMIDE (ZARONTIN),162,80168
GENTAMICIN PEAK & TROUGH,198,80170
LITHIUM,80,80178
PHENOBARBITAL LEVEL,154,80184
PHENYTOIN (DILANTIN),171,80185
PHENYTOIN 1,128,80186
PRIMIDONE,207,80188
PROCAINAMIDE,183,80190
PROCAINAMIDE W/NAPA,189,80192
QUINIDINE,156,80194
SIROLIMUS,258,80195
TACROLIMUS,344,80197
THEOPHYLLINE,163,80198
TOBRAMYCIN PEAK,202,80200
VANCOMYCIN,183,80202
ZONISAMIDE,139,80203
DIGITOXIN LEVEL,238,80299
URINE DRUG SCREEN,376,80307
BLOOD ALCOHOL ENZYME METHOD,155,80320
LACOSAMIDE,237,80339
BARBITUATES,104,80345
CLONAZEPAM (KLONOPIN),186,80346
URINALYSIS W/MICRO,63,81001
URINALYSIS AUTOMATED,102,81003
PREGNANCY TEST URINE,99,81025
VOLUME MEASUREMENT/TIMED SPEC.,30,81050
BCR ABL1 MAJOR,445,81206
BCR ABL1 MINOR,444,81207
CYSTIC FIBROSIS PROFILE,555,81220
EGFR GENE COMMON VARIANTS,409,81235
FACTOR II MUTATION ANALYSIS,597,81240
FACTOR V LEIDEN,512,81241
JAK2V617F QUAL TO REFLEX REF,567,81270
KRAS,870,81275
TPMT GENETIC TESTING REF,498,81401
GLA SEQUENCING REF,1050,81405
TRISOMY DETECTION PANEL,1107,81507
ACETONE-SERUM QUALITATIVE,72,82009
ACETONE SERUM-QUANTITATIVE,88,82010
ACETYLCHOLINESTERASE,51,82013
ADRENOCORTICOTROPIC HOR,418,82024
ALBUMIN,66,82040
ALBUMIN CSF,58,82042
MICROALBUMIN,119,82043
BREATH ALCOHOL RBT,74,82075
ALDOLASE,89,82085
ALDOSTERONE,372,82088
ALPHA-1-ANTITRYPSIN,144,82103
AFP-TETRA,436,82105
AMNIOTIC FLUID,109,82106
AMINO ACID QUANTATIVE,102,82131
AMMONIA,167,82140
AMYLASE BODY FLUID,92,82150
ANDROSTENEDIONE,205,82157
ANGIOTENSIN CONV.ENZYME (ACE),145,82164
ARSENIC BLOOD,230,82175
VITAMIN C REF,96,82180
BETA 2 MICROGLOBULIN,153,82232
BILE ACID,154,82239
BILIRUBIN-TOTAL,69,82247
BILIRUBIN-DIRECT,74,82248
OCCULT BLOOD,109,82270
GASTROCCULT,37,82271
STOOL OCCULT BLOOD SCR 1-3 SPE,101,82274
VITAMIN D 25 HYDROXY,428,82306
CALCIUM,66,82310
CALCIUM IONIZED,157,82330
CALCIUM URINE QUANTATIVE,102,82340
URINARY CALCULI,119,82360
CARBON DIOXIDE,68,82374
CARBOXYHEMOGLOBIN QUANT.,109,82375
CEA,200,82378
CARNITINE FREE AND TOTAL,262,82379
CAROTENE,115,82380
CATECHOLAMINES-BLOOD,296,82383
CATACHOLAMINES URINE FRACT,330,82384
CERULOPLASMIN,110,82390
ANTI MULLERIAN HORMONE REF,130,82397
CHLORIDE,66,82435
CHLORIDE URINE,102,82436
CHLORIDE-CSF,96,82438
CHOLESTEROL,71,82465
CHROMIUM PLASMA,140,82495
CITRIC ACID (CITRATE)URINE,390,82507
COPPER SERUM,210,82525
CORTISOL URINE FREE,186,82530
CORTISOL TOTAL,181,82533
LAMOTRIGINE (LAMICTAL),290,82542
CREATINE PHOSPHOKINASE-CPK,91,82550
CPK MB FRACTION,180,82553
CREATININE,66,82565
CREATININE OTHER SOURCE,101,82570
CREATININE CLEARANCE,139,82575
CRYOGLOBULIN,50,82595
VITAMIN B12,185,82607
DHEA-SULFATE,248,82627
DIHYDROXYVITAMIN D 1 25,370,82652
ERYTHROPOIETEN (EPO),197,82668
ESTRADIOL,348,82670
ESTROGEN,286,82672
ESTRIOL,261,82677
FECAL FAT QUAL,65,82705
FAT FECAL QUANT,258,82710
FERRITIN,139,82728
FETA FIBRONECTIN,327,82731
FOLATE,150,82746
FOLATES RBC,237,82747
GAMMAGLOBULIN IgA IgD IgM,188,82784
IGE,155,82785
IgG SUBCLASS 4 REF,133,82787
CORD PH,126,82800
PO2,144,82803
BLOODGASES,239,82805
GASTRIN,143,82941
GLUCOSE BODY FLUID,54,82945
GLUCOSE TOLERANCE,37,82946
GLUCOSE,67,82947
GLUCOSE 1-HOUR,88,82950
GTT 3 HOUR,115,82951
GLUCOSE-ADDL SPECIMEN,37,82952
GGT,78,82977
FRUCTOSAMINE-GLYCATED PROTEIN,74,82985
FSH,171,83001
LUTEINIZING HORMONE (LH),181,83002
GROWTH HORMONE,109,83003
HAPTOGLOBIN,149,83010
HEAVY METALS SCREEN,207,83015
HEMOGLOBIN FRAC WO SOLUBILITY,160,83021
FETAL CHEMICAL HGB,52,83030
HgB A1C,100,83036
HEMOGLOBIN PLASMA FREE,128,83051
HEMOSIDERIN,75,83070
HOMOCYSTINE,398,83090
17-HYDROXYCORTICOSTEROIDS,172,83491
HYDROXYINDOLEACETIC ACID-5,143,83497
ALPHA HYDROXYPROGESTERONE-17,312,83498
IMMUNOASSAY,188,83516
MG IMMUNOASSAY RIA,556,83519
ANTIGLOMERULAR BM Ab Qn,233,83520
INSULIN,140,83525
IRON,54,83540
TIBC,96,83550
17-KETOGENIC STEROIDS,207,83582
17 KETOSTEROIDS TOTAL,91,83586
LACTIC ACID,152,83605
LDH,75,83615
LD ISOENZYMES,199,83625
LEAD,179,83655
LS RATIO,256,83661
LIPASE,95,83690
LIPOPROTEIN (A),255,83695
NMR B,171,83704
HDL CHOLESTEROL,123,83718
LDL DIRECT,135,83721
MAGNESIUM,101,83735
MANGANESE URINE,185,83785
MERCURY BLOOD,230,83825
METANEPHRINES FRAC QN 24H UR,375,83835
MYELIN BASIC PROTEIN CSF,77,83873
MYOGLOBIN SERUM,304,83874
BNP,213,83880
FREE LIGHT CHAINS,208,83883
MOLECULAR EXTRACTION,139,83890
1ST SEP BY GEL ELECTROPHORESIS,139,83894
MUTATION ID BY SEQ/2ND SEG,164,83904
INTERPRETATION AND REPORT,132,83912
5-NUCLEOTIDASE,130,83915
OLIGOCLONAL IMMUNOGLOBULIN,77,83916
METHYLMALONIC ACID,343,83921
OSMOLALITY SERUM,102,83930
OSMOLALITY URINE,117,83935
OXYLATE URINE 24 HR,150,83945
PARATHYROID HORMONE,495,83970
PH STOOL,52,83986
CALPROTECTIN FECAL REF,252,83993
PKU,156,84030
ACID PHOS TOTAL,102,84060
PROSTATIC ACID PHOSPHATASE,108,84066
PHOSPHATASE-ALKALINE,68,84075
PHOSPHORUS BLOOD,59,84100
PHOSPHATE URINE,101,84105
PORPHOBILINOGEN RANDOM URINE,94,84110
AMNISURE,265,84112
POTASSIUM,63,84132
POTASSIUM URINE,101,84133
PREALBUMIN,155,84134
PREGNENOLONE REF,139,84140
PROGESTERONE,229,84144
PROLACTIN,226,84146
UNCOMPLEXED PSA (TOTAL),229,84153
PROTEIN-TOTAL,78,84155
URINE TOTAL PROTEIN,155,84156
PROTEIN-FLUID,79,84157
PAPP-A,73,84163
PROTEIN ELECTROPHORESIS SERUM,121,84165
PROTEIN ELECTROPHORESIS U 24HR,310,84166
FEP/ZPP,199,84202
VITAMIN B6 REF,201,84207
ESTROGEN RECEPTOR ERA,786,84233
RENIN PLASMA,231,84244
VITAMIN B2 (RIBOFLAVIN),360,84252
SELENIUM REF,162,84255
SEROTONIN,341,84260
SEX HORMONE BINDING GLOBULIN,175,84270
LIPID ASSOCIATED SIALIC ACID,159,84275
SODIUM,63,84295
SODIUM URINE,101,84300
NON-URINE SPECIFIC GRAVITY,45,84315
FECAL REDUCING SUBSTANCES,96,84377
SULFATE URINE,101,84392
TESTOSTERONE FREE,519,84402
TESTOSTERONE TOTAL,263,84403
VITAMIN B1 PLASMA,153,84425
THYROGLOBULIN,226,84432
T-4,91,84436
FREE T4,152,84439
TSH,143,84443
VITAMIN E,177,84446
TRANSAMINASE-SGOT-AST,65,84450
TRANSAMINASE-SGPT-ALT,66,84460
TRANSFERRIN,144,84466
TRIGLYCERIDES,134,84478
T-3 UPTAKE,91,84479
TRIIODOTHYRONINE (T3),163,84480
FREE T3,398,84481
REVERSE T3,248,84482
TROPONIN I,153,84484
U-TRYPSIN-STOOL-QUANT.,46,84490
UREA NITROGEN,66,84520
24 HOUR URINE UREA NITROGEN,42,84540
URIC ACID,78,84550
URIC ACID OTHER SOURCE,101,84560
VMA,158,84585
VITAMIN A,196,84590
VITAMIN K1 REF,233,84597
SERUM VOLATILES,152,84600
URINE ZINC,143,84630
C-PEPTIDE,184,84681
HCG-BETA SUB UNIT,214,84702
SERUM PREGNANCY TEST,102,84703
MISCELLANEOUS CHEMISTRY,0,84999
CBC W/MANUAL DIFF,98,85007
HCT,30,85014
HEMOCUE,155,85018
H-CBC W/AUTO DIFF,101,85025
CBC NO DIFF,72,85027
RETICULOCYTE COUNT FLOW CYTO,70,85045
WBC/NO DIFF,66,85048
PLATELET COUNT,95,85049
CLOT RETRACTION QUAL,91,85170
FACTOR II (PT),416,85210
FACTOR VII ACTIVITY,462,85230
FACTOR VIII,470,85240
VON WILLEBRAND ACTIVITY,323,85245
VW FACTOR ANTIGEN,487,85246
VW FACTOR MULTIMETRIC ANALYSIS,487,85247
FACTOR IX,434,85250
ANTITHROMBIN ACTIVITY,218,85300
ANTITHROMBIN III,348,85301
PROTEIN C ANTIGEN,321,85302
PROTEIN C FUNCTIONAL,291,85303
PROTEIN S TOTAL,170,85305
PROTEIN S FREE,170,85306
EUGLOBULIN LYSIS TIME,255,85360
FIBRIN DEGRADATION PRODUCTS,150,85362
D-DIMER,150,85378
D-DIMER QUANTITATIVE,157,85379
FIBRINOGEN-QUANTITATIVE,109,85384
FETAL SCREEN,175,85460
HEPARIN Xa,333,85520
H-LEUKOCYTE ALKALINE PHOSPHATA,117,85540
LYSOZYME,202,85549
H-RBC FRAGILITY-OSMOTIC COMPLE,122,85555
PROTHROMBIN TIME,80,85610
SEDIMENTATION RATE AUTOMATED,66,85652
RBC REDUCTION,89,85660
THROMBOPLASTIN INHIBITOR,255,85705
PART.THROMBOPLASTIN TIME-PTT,84,85730
ALLERGEN CARMINE RED DYE,136,86003
HEPARIN INDUCED PLATELET AB,349,86022
ANTINUCLEAR AB TITER REF,156,86038
ANTISTREPTOLYSIN O TITRE,94,86060
CRP QUANTITATIVE,107,86140
CRP HIGH SENS,115,86141
BETA 2 GLYCOPROTEIN AB 1,161,86146
CARDIOLIPIN ABS IGG,240,86147
COLD AGGLUTININ TITER,80,86157
COMPLEMENT C3,133,86160
COMPLEMENT TOTAL CH50,225,86162
CCP IgG ANTIBODIES,195,86200
ANTI DNA DOUBLE STRANDED AB,141,86225
SJOGREN'S ANTI-SS-A,208,86235
FLUORESCENT AB SCREEN,556,86255
ENDOMYSIAL IGA AB,189,86256
CA 15-3,188,86300
CARBOHYDRATE ANTIGEN 19-9,186,86301
CANCER ANTIGEN 125,228,86304
HETEROPHILE ANTIBODY,86,86308
CHROMOGRANIN A,354,86316
H. PYLORI ANTIBODIES,259,86318
PROTEIN IMMUNOELECTROPHORESIS,255,86320
URINE IMMUNOELECTROPHORESIS,266,86325
IMMUNODIFFUSION,66,86329
IMMUNOFIXATION SERUM,251,86334
IMMUNOFIXATION URINE,250,86335
DIA,73,86336
INSULIN ANTIBODIES,259,86337
INTRINSIC FACTOR-AB,263,86340
IA2 ANTIBODY,177,86341
T CELL TOTAL,303,86359
CD4/CD8 RATIO,415,86360
THYROID PEROXIDASE AB,132,86376
RHEUMATOID ARTHRITIS FACTOR FL,62,86430
RHEUMATOID ARTHRITIS FACTOR,77,86431
TB GOLD QUANTIFERON,334,86480
RPR,122,86592
SEROLOGY QUANTITATIVE,96,86593
HENSELAE IgG,81,86611
B PERTUSSSIS IgA,194,86615
LYME WESTERN BLOT II,329,86617
LYME AB TOTAL IMMUNOGLOBULINS,258,86618
CYTOMEGALOVIRUS IGG,182,86644
CYTOMEGALOVIRUS IGM,180,86645
IgG EBV AG,122,86663
EBV NUCLEAR ANTIGEN AB IGG,160,86664
EBV AB VCA IGM,140,86665
ERLICHIA AB 1,248,86666
AB FUNGUS NES II,179,86671
H PYLORI IgG ABS REF,180,86677
HERPES SIMPLEX I II IGG,159,86694
HERPES SIMPLEX TYPE I,133,86695
HERPES SIMPLEX II SPEC AB IGG,223,86696
HISTOPLASMA AB'S,133,86698
HIV AB PRELIM W CONFIRM REF,259,86703
HEPATITIS B CORE IGG & IGM,150,86704
HEPATITIS B CORE ANTIBODY IGM,179,86705
HEPATITIS B SURFACE AB,136,86706
HEPATITIS Be ANTIBODY,118,86707
HEPATITIS A AB TOTAL,144,86708
HEPATITIS A AB IGM,184,86709
LEGIONELLA ANTIBODIES,205,86713
MUMPS ANTIBODIES IGM,114,86735
MYCOPLASMA PNEUMONIAE,104,86738
PARVOVIRUS B19 IgG,159,86747
BABESIOSIS IgG,200,86753
ROCKY MTN SPOTTED FEVER IgM,301,86757
RUBELLA IGM,219,86762
RUBEOLA,140,86765
TOXOPLASMA GONDII AB.IGG,139,86777
TOXOPLASMA GONDII AB.IGM,223,86778
FTA-ABS,123,86780
VARICELLA-ZOSTER V AB IGG,157,86787
RUBELLA COMPONENT,133,86790
S-ANTITHYROID ANTIBODIES,178,86800
HEPATITIS C,197,86803
HLA B27,252,86812
ANTIBODY SCREEN,103,86850
ANTIBODY IDENTIFICATION,242,86870
DIRECT COOMBS-REFERENCE LAB,78,86880
COOMBS INDIRECT TITER,170,86886
ABO BLOOD GROUP,61,86900
RH TYPE,49,86901
ANTIGEN TYPING UNIT,93,86902
ANTIGEN ID,95,86905
CROSSMATCH,147,86920
CROSSMATCH INCUBATION,71,86921
CROSSMATCH IgG,142,86922
THAWING FF PLASMA,71,86927
IRRADIATION OF BLOOD,113,86945
SPLITTING BLOOD PER UNIT,67,86985
CONCENTRATION FOR SMEAR,71,87015
B-BLOOD CULTURE,174,87040
STOOL SALMONELLA SHIGELLA,101,87045
CULTURE STOOL,226,87046
LEGIONELLA CULTURE,238,87070
ANAEROBIC CULTURE,184,87075
ANAEROBIC IDENTIFICATION,201,87076
GRAM POS RODS-ORGANISM ID,117,87077
MRSA SCREENING NASAL SWAB,142,87081
CULTURE-URINE,108,87086
FUNGUS CULTURE,151,87102
ORGANISM ID YEAST,136,87106
ORGANISM ID MOLD,189,87107
MYCOPLASMA CULTURE,203,87109
B-AFB CULTURE,209,87116
PINWORM EXAM TAPE PREP,80,87172
STOOL FOR OVA & PARASITE-COM,105,87177
E. TEST FOR PENICILLIN,48,87181
SUSCEPTIBILITY STUDY,113,87184
MODIFIED HODGE TEST,137,87185
GRAM POS RODS-SUSCEPTIBILITY,305,87186
GRAM STAIN EVAL W SPUTUM REF,126,87205
ACID FAST STAIN,122,87206
SMEARS FOR PROTOZOA-THINFILM,107,87207
TRICHROME STAIN,80,87209
WET PREP,79,87210
KOH PREP,79,87220
VIRAL CULTURE,459,87252
TISSUE CULTURE DEFINITIVE ID,154,87253
HERPES CULTURE,237,87255
BORDETELLA PERT SMEAR DFA,152,87265
GIARDIA LAMBLIA DIRECT EIA,102,87329
H.PYLORI STOOL ANTIGEN,309,87338
HEPATITIS B SURFACE AG,116,87340
HEPATITIS Be ANTIGEN,121,87350
HIV 4TH GENERATION REF,261,87389
ROTAVIRUS,243,87425
E COLI 0157 TOXIN EIA,159,87427
INFECTOUS AGENT AG BY EIA,141,87449
CHLAMYDIA DNA,155,87490
CHLAMYDIA,191,87491
C DIFFICILE DNA AMP,230,87493
CMV PCR,573,87497
HEPATITIS B SUPER QUANT,657,87517
HCV RNA PCR QUAL RFLX TO QUAN,474,87521
HEP C QUANTITATIVE,878,87522
HSV 1 NAA,294,87529
N GONORRHOEAE DNA,110,87590
NEISSERIA GONORRHOEAE,191,87591
HPV AMPLIFIED PROBE TECH,350,87621
HPV,231,87624
MRSA SWAB,205,87641
TRICHOMONAS,213,87661
MICROSPORIDIUM DNA,566,87798
BK VIRUS QUANT PCR,527,87799
FLU B ANTIGEN,88,87804
INF AGENT IMMUNO/DIR OPTICAL,176,87807
THROAT STREP SCREEN,74,87880
CRYPTOCOCCUS ANTIGEN CSF,147,87899
HEP C VIRUS GENOTYPE,945,87902
CYTOPATHOLOGY-SMEARS,93,88104
CYTO SMEAR FILTER ONLY,70,88106
CYTO SMEAR W/FILTER & INTERP,99,88107
CYTO SMEAR CONCENTRATION TECH,122,88108
THIN PREP,137,88142
CYTO SMEAR ANY OTHER SOURCE,107,88160
CYTO SMEAR SCREEN & INTERP,149,88161
CYTO SMEARS OVER 5 SLIDES,81,88162
PAP SMEAR BETHESDA,71,88164
EVAL-FINE NEEDLE ASPIRATE,82,88172
FNA INTERP AND REPORT,219,88173
PAP IMAGE GUIDING,178,88175
CELL CYCLE/DNA ANALYSIS,145,88182
FLOW CYTOMETRY 1ST MARKER,258,88184
FLOW CYTOMETRY ADDL MARKER,258,88185
FLOW CYTOMETRY INTERP,258,88187
TISSUE CULTURE,624,88230
CYTOGENIC STUDY/AMNIOTIC-CVS,586,88235
2 KARYOTYPES/15-20 CELLS,624,88262
1 KARYOTYPE/6-12 COLONIES,586,88269
KARYOTYPE ADDL STUDY,146,88280
CELLS COUNTED ADDL STUDY,146,88285
INTERP AND REPORT,381,88291
GROSS ONLY LEVEL I,71,88300
GROSS & MICRO LEVEL II,145,88302
GROSS & MICRO LEVEL III,184,88304
BONE MARROW SMEAR-INTERP ONLY,207,88305
GROSS & MICRO LEVEL V,416,88307
GROSS & MICRO LEVEL VI,479,88309
DECALCIFICATION,27,88311
SPECIAL STAINS-GROUP I,134,88312
SPECIAL STAINS-GROUP II,141,88313
HISTOCHEMICAL STAIN W/FROZEN,96,88314
SURG CONSULT;SINGLE FROZ SPECI,86,88331
SURG CONSULT;FROZ SEC EACH ADD,49,88332
TOUCH PREP,185,88333
TOUCH PREP EA ADDL,158,88334
IHC STAIN EA ADDL,88,88341
PROLIFERATION MARKER (Ki67),244,88342
TRIVIEW PROSTATE STAIN,198,88344
ESTROGEN RECEPTOR,364,88360
HER2 FISH,566,88377
MICRODISSECTION,422,88381
TRANSCUTANEOUS BILIRUBIN,32,88720
FLUID CELL COUNT,104,89050
WBC SMEAR,65,89055
CRYSTAL ID/MICROSCOPIC,67,89060
SEMEN ANALYSIS COMPLETE,217,89320
SEMEN ANALYSIS-POST VAS,112,89321
HEPATITIS B IMMUNE GLOB 0.5ML,4749.26,90371
RABIES IMMUNE GLOBULIN 10 ML,14512.36,90375
RABIES IMMUNE GLOB. 2ML,5116.15,90376
ADMIN 1ST VACCINE,48,90471
HEPATITIS A VACCINE,406,90632
H FLU VACCINE,167,90648
AFLURIA INFLUENZA VAC 0.5ML,236,90658
FLUZONE 0.5ML HIGH DOSE,27,90662
INFLUENZA PEDIATRIC SYRINGE,183,90674
RABAVERT RABIES VACCINE 1ML,1075,90675
INFLUENZA VIRUS VACCINE 0.5ML,27,90686
TETANUS TOXOID .5 ML SYR,165,90703
RUBELLA LIVE VACCINE,152,90706
MUMPS MEASLES RUBELLA VACCINE,323,90707
TET/DIP TOXOIDS .5 ML,150,90714
TDAP 0.5 ML VACCINE,263,90715
VARICELLA VACCINE LIVE,544,90716
PNEUMOCOCCAL VAC. 0.5 ML VIAL,258,90732
MENINGOCOCCAL VACCINE 1ML VIAL,833,90733
MENINGOCOCCAL VACCINE MENACTRA,596,90734
ZOSTER VACCINE LIVE 0.65ML,1604.2,90736
HEPATITIS B VACCINE 20MCG,164,90744
HEPATITIS B VACCINE 20MCG,399,90746
BIOFEEDBACK TRAINING/ANY MODAL,486,90901
BIOFEEDBACK TRAINING ANORECTAL,636,90911
MUCOSAL ATTCHD PH MONITOR CAP,1069,91035
CAPSULE ENDO SML INTESTINE,2717,91110
CAPSULE AGILE PATENCY,445,91299
SP ASSESSMENT INITIAL,350,92506
SLP LANGUAGE THERAPY,125,92507
NASOPHARYNGOSCOPY WITH ENDO,480,92511
EVAL SPEECH FLUENCY,350,92521
EVAL SP SOUND PRODUCTION,350,92522
EVAL SP PROD W LANGUAGE COMP,350,92523
ANALYSIS VOICE AND RESONANCE,350,92524
TREATMENT-SWALLOWING DYSFUNCTI,182,92526
NEWBORN HEARING SCREEN,263,92586
EVAL-VOICE PROSTHETIC DEVICE,345,92597
EVAL SPEECH GENERATING DEVICE,450,92607
EVAL SPEECH GEN DEVICE ADDL 30,203,92608
THERAPY FOR SPEECH GEN DEVICE,181,92609
EVAL ORAL SWALLOW FUNCTION,264,92610
SWALLOWING EVALUATION (MBS),441,92611
ENDO EVAL-SWALLOWING FUNCTION,597,92612
ENDO LARYNGEAL SENSORY TEST,597,92614
EVAL SWALLOW/LARYNG SENS TEST,892,92616
OP NEWBORN HEARING SCREEN,93,92700
ER CPR,730,92950
ED TRANSCUTANEOUS PACING,1218,92953
ER CARDIOVERSION,995,92960
EKG,192,93005
PF EKG INTERPRETATION,179,93010
CARDIOLOGY STRESS TEST,511,93017
EVENT MONITORING UP TO 48 HRS,210,93225
ECHOCARDIOGRAM COMPLETE,1741,93306
TTE W/OUT CONTRAST,1033,93307
TTE LIMITED W/OUT CONTRAST,659,93308
TEE W/CONTRAST,1671,93312
TEE 4 CONG CARD ANOM W/OUT CON,1713,93315
ECHOCARDIOGRAPHY DOPPLER,472,93320
DOPPLER LIMITED,325,93321
2D ECHO DOP COLOR FLOW,496,93325
TTE DURING STRESS TEST W/O CON,1292,93350
STRESS ECHO COMPLETE,1793,93351
VAS LAB-CAROTID ART DUPLEX SCN,1046,93880
UPPER ART DOPLR LIMITED,304,93922
UPPER ART DOPLR PHYSIO COMP,604,93923
VAS LAB-LOW.EXT P.ART.EXERCISE,732,93924
VAS LAB-LOW.BI.ART.GRAFT DUPLX,614,93925
PAD  UNILATERAL  LTD,486,93926
VAS LAB-UPPER BILAT.ART.DUPLEX,558,93930
VAS LAB-UPPER UNI. ART. DUPLEX,303,93931
VAS LAB-LOW EXT VENOUS DOPPLER,333,93965
VAS LAB-BILAT.EXT.VENOUS DUPLX,995,93970
VAS LAB-UNI.EXT.VENOUS DUPLEX,315,93971
US ART/VEN AB/PEL DOPPLER COMP,618,93975
US ART/VEN ABD/PEL DOPPLER LTD,418,93976
VAS LAB-AO IVC OR ILIAC DUPLX,723,93978
AORTOILIAC STUDY LTD,532,93979
VOLUME VENTILATOR-INITIAL,1873,94002
VOLUME VENTILATOR-DAILY,1554,94003
PULMONARY FUNCTION TEST,163,94010
PULMONARY FUNCTION-B & A,327,94060
MULT.SPIROMETRY POST-EXPOSURE,481,94070
PEAK FLOW MEASUREMENT,124,94200
AIRWAY RESISTANCE (RAW),216,94360
PHYSICAL PERFORM/6 MIN WALK,205,94618
NEBULIZER TREATMENT,101,94640
NEB TRMT CONTINUOUS 1ST HR,209,94644
NEB TRMT CONTINUOUS EA ADDL HR,209,94645
NON-INVASIVE VENTILATION INIT,856,94660
MDI DEMO/EVALUATION,103,94664
INITIAL POSTURAL DRAINAGE,71,94667
POSTURAL DRAINAGE SUBSEQUENT,54,94668
OXYGEN MONITORING PER HR,61,94680
PLETHYSMOGRAPHY,162,94726
DLCO (SINGLE BREATH),290,94729
PULSE OX DIAGNOSTIC,31,94760
PULSE OX MULTI DETERMINATIONS,,94761
OXIMETRY OVERNIGHT MONITORING,376,94762
END TIDAL CO2 (NASAL CANNULA),107,94770
AIRWAY INTEGRITY NEONATE 1 HR,144,94780
AIRWAY INTEGRITY ADDL 30 MIN,59,94781
POLYSOMNOGRAM 4+ PARAM PEDS,3377,95782
POLYSOMNOGRAM SPLIT PEDS,3643,95783
MWT-MAINT WAKEFULNESS TESTING,3454,95805
HOME SLEEP STUDY,362,95806
POLYSOMNOGRAM 4 OR MORE PARAM,3252,95810
POLYSOMNOGRAM/SPLIT,3608,95811
EEG AWAKE & ASLEEP,343,95819
MUSCLE TESTING MANUAL EXTR,130,95831
MUSCLE TESTING HAND,150,95832
MUSCLE TEST TOTAL WO HANDS,154,95833
MUSCLE TEST TOTAL BODY,228,95834
ROM MEASUREMENTS,115,95851
ROM MEASUREMENTS HAND,78,95852
EMG: 1 EXTREMITIY,429,95860
EMG: 2 EXTREMITIES,521,95861
EMG: 3 EXTREMITIES,632,95863
EMG: 4 EXTREMITIES,767,95864
PNCV MOTOR NERVE - EACH NERVE,87,95900
PNCV SENSORY NERVE- EACH NERVE,87,95904
CANALITH REPOSITIONING PROC,143,95992
APHASIA ASSESSMENT PER HR,566,96105
DEVELOPMENTAL TEST W/RPT LTD,433,96110
