SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT
Lab Services,MICROSOMAL LIVER-KIDNEY ANTIBODY,$166.00,,
Lab Services,MICROSPORIDIA DETECTION STAIN,$100.00,,
Lab Services,MILK IGE,$41.00,,
Lab Services,MILK PROCESSED IGE,$33.00,,
Lab Services,MITOCHONDRIAL ANTIBODY (AMA),$79.00,,
Lab Services,MITOCHONDRIAL ANTIBODY (AMA)TITER,$135.00,,
Lab Services,MITOCHONDRIAL ANTIBODY (AMA)TITER -  CHG,$135.00,,
Lab Services,ML Amitriptyline Conf PM,$15.00,,
Lab Services,ML Amphetamine (Adderall),$15.00,,
Lab Services,ML AMPHETAMINE 1-2,$15.00,,
Lab Services,ML ANTIDEPRESSANT NOT SPECIFIED,$15.00,,
Lab Services,"ML ANTIDEPRESSANTS, SEROTONERGIC CLASS",$15.00,,
Lab Services,ML ANTIPSYCHOTICS NOS 1-3,$15.00,,
Lab Services,ML BATH SALTS (CATHINONES),$15.00,,
Lab Services,ML Benzodiazepine Conf PM,$15.00,,
Lab Services,ML Buprenorphine Conf PM,$15.00,,
Lab Services,ML Butalbital Conf PM,$15.00,,
Lab Services,ML Carisoprodol,$15.00,,
Lab Services,ML Cocaine Conf PM,$15.00,,
Lab Services,ML Codeine,$15.00,,
Lab Services,ML Cyclobenaprine Conf PM,$15.00,,
Lab Services,ML Disiparimine,$15.00,,
Lab Services,ML DRUG SCREENING BARBITURATES,$17.00,,
Lab Services,ML ETHYL GLUCRONDIE/ETHYL SULFATE,$15.00,,
Lab Services,ML Fentanyl,$15.00,,
Lab Services,ML Heroin,$15.00,,
Lab Services,ML Hydrocodone Conf PM,$15.00,,
Lab Services,ML Hydromorphone Conf PM,$15.00,,
Lab Services,ML Imipramine,$15.00,,
Lab Services,ML KETAMINE,$15.00,,
Lab Services,ML KRATOM,$15.00,,
Lab Services,ML MDMA,$15.00,,
Lab Services,ML Methadone,$15.00,,
Lab Services,ML METHAMPHETAMINE - D/L ISOMERS,$15.00,,
Lab Services,ML METHYLPHENIDATE (RITALIN),$15.00,,
Lab Services,ML MORPHINE,$15.00,,
Lab Services,ML NEURONTIN (GABAPENTIN),$15.00,,
Lab Services,ML Nortriptyline,$15.00,,
Lab Services,ML OPIODS AND OPIATE ANALOGS 1-2,$15.00,,
Lab Services,ML Oxycodone Conf PM,$15.00,,
Lab Services,ML OXYMORPHONE (OPANA),$15.00,,
Lab Services,ML Phenobarbital Conf PM,$15.00,,
Lab Services,ML PREGABALIN (LYRICA),$15.00,,
Lab Services,ML Secobarbital Conf. PM,$15.00,,
Lab Services,ML SPICE,$15.00,,
Lab Services,ML TAPENTADOL (NUCYNTA),$15.00,,
Lab Services,ML THC Conf PM,$15.00,,
Lab Services,ML Tramadol Conf PM,$15.00,,
Lab Services,ML ZOLPIDEM (AMBIEN),$15.00,,
Lab Services,MLH1 GENE FULL SEQ,"$1,802.00",,
Lab Services,MOL CYTO DNA PROBE EA,$214.00,,
Lab Services,MOL CYTO IN SITU 100-300 CELLS,$772.00,,
Lab Services,MOL CYTO IN SITU 10-30 CELLS,$980.00,,
Lab Services,MOL CYTO IN SITU 25-99 CELLS,$229.00,,
Lab Services,MOLD PANEL,$120.00,,
Lab Services,MONO HETEROPHIL AB,$61.00,,
Lab Services,MONO SCREEN,$61.00,,
Lab Services,MOPATH PROCEDURE LEVEL 6,"$2,384.00",,
Lab Services,MORPH ANALYSIS FISH EA PROBE MANU,$957.00,,
Lab Services,MORPH ANALYSIS ISH EA PROBE,"$1,793.00",,
Lab Services,MOUNTAIN CEDAR IGE,$41.00,,
Lab Services,MOUSE EPITHELIUM IGE,$31.00,,
Lab Services,MRPH ALYS ISH QUANT SEMIO MAN MULTI,"$1,785.00",,
Lab Services,MRPH ALYS ISH QUANT SEMIQ COMP MPX,"$1,731.00",,
Lab Services,MRSA SCREEN - PROBE,$380.00,,
Lab Services,MSH2 GENE FULL SEQ,"$1,802.00",,
Lab Services,MSH6 MUTATION SCREEN,"$1,802.00",,
Lab Services,MTHFR MUTATION,$345.00,,
Lab Services,MUCOR IGE,$41.00,,
Lab Services,MUGWORT IGE,$41.00,,
Lab Services,MULBERRY IGE,$41.00,,
Lab Services,MULBERRY TREE IGE,$41.00,,
Lab Services,MUMPS ANTIBODY IGG,$71.00,,
Lab Services,MUMPS ANTIBODY IGM,$68.00,,
Lab Services,MURAMIDASE,$164.00,,
Lab Services,MURINE TYPHUS IGG,$133.00,,
Lab Services,MURINE TYPHUS IGM,$142.00,,
Lab Services,MUSK ANTIBODY,"$3,564.00",,
Lab Services,MVG PANEL PULM,$207.00,,
Lab Services,MYCO PNEUMON DNA AMP PROBE,$41.00,,
Lab Services,MYCOBACTERIAL SENSITIVITY,$306.00,,
Lab Services,MYCOLOGY SENSITIVITY,$56.00,,
Lab Services,MYCOPLASMA ANTIBODY IGG,$100.00,,
Lab Services,MYCOPLASMA ANTIBODY IGM,$100.00,,
Lab Services,MYCOPLASMA GENTIALIUM PCR,$222.00,,
Lab Services,MYCOPLASMA HOMINIS PCR,$222.00,,
Lab Services,MYCOPLASMA PNEUMONIAE BY PCR,$572.00,,
Lab Services,MYELIN ANTIBODY IGG BY IFA,$399.00,,
Lab Services,MYELOPEROXIDASE ANTIBODY,$285.00,,
Lab Services,MYLN AS GLYCOPRTN(MAG) AB W/REFLX,$408.00,,
Lab Services,MYOCARDIAL ANTIBODY,$118.00,,
Lab Services,MYOGLOBIN,$110.00,,
Lab Services,MYOGLOBIN URINE,$116.00,,
Lab Services,MYOSITIS ANTIBODIES,$234.00,,
Lab Services,N Patient Antigen Typing,$124.00,,
Lab Services,NATURAL KILLER(NK)CELLS TOTAL CT,$421.00,,
Lab Services,NEISSERIA GONORRHOEAE AMPLIFIED RNA,$91.00,,X
Lab Services,NEPHELOMETRY EACH ANALYTE,$343.00,,
Lab Services,NETTLE IGE,$41.00,,
Lab Services,NEURAL ANTIBODY-IGG,$274.00,,
Lab Services,NEUROMYELITIS OPTICA AUTO AB IGG,$759.00,,
Lab Services,NEUROMYELITIS OPTICA AUTO AB IGG CHG,$759.00,,
Lab Services,NEUROMYELITIS OPTICA(NMO)EVAL/RFL,$554.00,,
Lab Services,NEURON SPECIFIC ENOLASE.,$182.00,,
Lab Services,NEURONAL VGKC AUTOANTIBODY,$265.00,,
Lab Services,NEURONAL VGKC AUTOANTIBODY CHG,$265.00,,
Lab Services,NEUTROPHIL CYTOPLASMIC AB TITER,$308.00,,
Lab Services,NEUTROPHILIC CYTOPLASMIC ANTBODY,$158.00,,
Lab Services,NIACIN (VITAMIN B3),$355.00,,
Lab Services,NICKEL,$486.00,,
Lab Services,NICOTINE AND METAB URINE,$15.00,,
Lab Services,NICOTINE AND METABOLITES,$15.00,,
Lab Services,Nitrate Validity PM,$22.00,,
Lab Services,NMR LIPOPROFILE,$108.00,,
Lab Services,NORPROPOXYPHENE CHARGE,$40.00,,
Lab Services,NORTRIPTYLINE (PAMELOR),$109.00,,
Lab Services,N-TELOPEPTIDE CROSS-LINKED,$564.00,,
Lab Services,NTX-TELOPEPTIDE URINE,$591.00,,
Lab Services,NUCLEOTIDASE 5,$101.00,,
Lab Services,OAK IGE,$41.00,,
Lab Services,OAT IGE,$33.00,,
Lab Services,OBSTETRIC PANEL,$206.00,,
Lab Services,OCCULT BLOOD STOOL,$38.00,,
Lab Services,OCCULT BLOOD STOOL 1-3 SIMULT DET,$65.00,,
Lab Services,OLIGOCLONAL BANDS,$240.00,,
Lab Services,OLIGOCLONAL BANDS CSF,$253.00,,
Lab Services,OMH Employee Urine Tox Screen,$151.00,,
Lab Services,OMH URINE TOX SCREEN,$164.00,,
Lab Services,ONE-WAY PRORATED MILES (PER MILE),$2.00,,
Lab Services,ONE-WAY PRORATED TRIP,$20.00,,
Lab Services,ONION IGE,$30.00,,
Lab Services,OPIATE SCREEN,$44.00,,X
Lab Services,OPIATES,$84.00,,
Lab Services,OPIATES,$95.00,,
Lab Services,ORANGE IGE,$33.00,,
Lab Services,ORGANIC ACIDS QUALITATIVE URINE,$414.00,,
Lab Services,OSMOLALITY,$167.00,,
Lab Services,OSMOLALITY STOOL,$97.00,,
Lab Services,OSMOLALITY URINE,$172.00,,
Lab Services,OSMOTIC FRAGILITY RBC INCUBATED,$266.00,,
Lab Services,OSTEOCALCIN,$97.00,,
Lab Services,OVA & PARASITE (O&P) STOOL,$97.00,,
Lab Services,OVA1,"$2,897.00",,
Lab Services,OXALATE PLASMA,$209.00,,
Lab Services,OXALATE URINE 24HR,$328.00,,
Lab Services,OXCARBAZEPINE (TRILEPTAL),$187.00,,
Lab Services,OXYCODONE,$22.00,,
Lab Services,OXYCODONE SCREEN URINE,$44.00,,X
Lab Services,OXYCODONE SERUM,$15.00,,
Lab Services,OXYCODONE URINE QUANTITATIVE,$463.00,,
Lab Services,OXYMORPHONE,$84.00,,
Lab Services,OYSTER IGE,$41.00,,
Lab Services,P1 Patient Antigen Type,$124.00,,
Lab Services,PAI-1 LOCUS 4G/5G,"$1,324.00",,
Lab Services,PAIN MGT DRUG SCREEN (INHOUSE),$42.00,,
Lab Services,PANCREATIC ELASTASE 1 (PE1),$340.00,,
Lab Services,PANTOTHENIC ACID (VITAMIN B5),$291.00,,
Lab Services,PARANEOPLASTIC AUTO AB WB CONFIRM,$511.00,,
Lab Services,PARANEOPLASTIC AUTO AB WB CONFIRM CHG,$537.00,,
Lab Services,PARIETAL CELL ANTIBODY (APCA),$83.00,,
Lab Services,PARIETAL CELL ANTIBODY TITER,$201.00,,
Lab Services,PARROT SERUM,$55.00,,
Lab Services,PARTICLE AGG CRYPTOCOCCAL TITER,$16.00,,
Lab Services,PARVOVIRUS IGG ANTIBODY,$109.00,,
Lab Services,PARVOVIRUS IGM ANTIBODY,$109.00,,
Lab Services,PARVOVIRUS ULTRAQUANT PCR,$501.00,,
Lab Services,PEANUT IGE,$41.00,,
Lab Services,PECAN/HICKORY TREE IGE,$41.00,,
Lab Services,PECAN-FOOD IGE,$39.00,,
Lab Services,PENICILLIN-G IGE,$33.00,,
Lab Services,PENICILLIUM IGE,$41.00,,
Lab Services,PERFLUROCTONIC ACID,$626.00,,
Lab Services,PH BODY FLUID,$94.00,,
Lab Services,PH URINE AUTOMATED,$44.00,,
Lab Services,ph Validity,$15.00,,
Lab Services,PHENCYCLIDINE (PCP),$220.00,,
Lab Services,PHENCYCLINDINE (PCP),$93.00,,
Lab Services,PHENOBARBITAL,$223.00,,
Lab Services,PHENYCYLIDINE (PCP),$15.00,,
Lab Services,PHENYLALANINE,$485.00,,
Lab Services,PHENYTOIN (DILANTIN),$160.00,,
Lab Services,PHENYTOIN FREE (DILANTIN),$55.00,,
Lab Services,PHOMA BETAE IGE,$39.00,,
Lab Services,PHOSPHORUS,$65.00,,
Lab Services,PHOSPHORUS URINE 24HR,$71.00,,
Lab Services,PHOSPHORUS URINE RANDOM,$71.00,,
Lab Services,PINE NUT IGE,$31.00,,
Lab Services,PINWORM PREP RECTUM,$139.00,,
Lab Services,PISTACHIO IGE,$39.00,,
Lab Services,PLASMINOGEN ACTIVATOR,$258.00,,
Lab Services,PLATELET ANTIBODY,$527.00,,
Lab Services,PLATELET COUNT,$38.00,,
Lab Services,PLATELET COUNT (CITRATE),$37.00,,
Lab Services,PLATELET FUNCTION ASSAY (COL/ADP),$277.00,,
Lab Services,PLATELET FUNCTION ASSAY (COL/EPI),$268.00,,
Lab Services,PLATELET MORPHOLOGY,$102.00,,
Lab Services,PLATELET NEUTRALIZATION,$587.00,,
Lab Services,PML/RARALPHA COM BREAKPOINTS,"$2,463.00",,
Lab Services,POLIOVIRUS ANTIBODY NEUTRALIZATN,"$1,404.00",,
Lab Services,PORK IGE,$39.00,,
Lab Services,PORPHOBILINOGEN URINE QUALITATIVE,$197.00,,
Lab Services,PORPHOBILINOGEN URINE QUANTITATIV,$197.00,,
Lab Services,PORPHYRINS EVALUATION RBC,$152.00,,
Lab Services,PORPHYRINS FECES,$583.00,,
Lab Services,PORPHYRINS FRACT QUANT RANDM URIN,$202.00,,
Lab Services,PORPHYRINS FRACTIONATED RBC,$261.00,,
Lab Services,PORPHYRINS QUANT/FRACT 24HR URINE,$468.00,,
Lab Services,PORPHYRINS TOTAL PLASMA,$178.00,,
Lab Services,POTASSIUM,$8.00,,
Lab Services,POTASSIUM BODY FLUID,$55.00,,
Lab Services,POTASSIUM STOOL,$181.00,,
Lab Services,POTASSIUM URINE 24HR,$55.00,,
Lab Services,POTASSIUM URINE RANDOM,$55.00,,
Lab Services,POTASSIUM WB - PULM,$8.00,,
Lab Services,PRADER WILLI/ANGELMAN MOL ANLYSIS,"$1,156.00",,
Lab Services,PREALBUMIN,$135.00,,
Lab Services,PREGABALIN (LYRICA),$272.00,,
Lab Services,PREGNENOLONE,$353.00,,
Lab Services,PRESCRIPTION/OTC DRUG SCREEN URIN,$359.00,,
Lab Services,PRESELECTED UNIT PER UNIT,"$1,050.00",,
Lab Services,PRETREATMENT RBCS W/CHEMICAL/DRUG,$484.00,,
Lab Services,PRETREATMENT WITH ENZYMES EACH,$185.00,,
Lab Services,PRIMIDONE (MYSOLINE),$115.00,,
Lab Services,Pro BNP,$245.00,,
Lab Services,PROCAINAMIDE/NAPA,$406.00,,
Lab Services,PROCALCITONIN (PCT),$494.00,,
Lab Services,PROGESTERONE,$32.00,,
Lab Services,PROINSULIN,$267.00,,
Lab Services,PROLACTIN,$34.00,,
Lab Services,PROLACTIN UNPRECIPITATED,$34.00,,
Lab Services,PROMETHEUS SERUM INFLIXIMAD/HACA INACTIV,$817.00,,
Lab Services,PROPAFENONE,$201.00,,
Lab Services,PROPOXYPHENE,$34.00,,
Lab Services,PROPOXYPHENE LEVEL CHARGE,$277.00,,
Lab Services,PROSTAGLANDIN EACH,$266.00,,
Lab Services,PROSTATE BIOPSY (MORP ANYLS TUMOR IHC),$717.00,,
Lab Services,PROTEIN BODY FLUID,$77.00,,
Lab Services,PROTEIN C ACTIVITY,$182.00,,
Lab Services,PROTEIN C ANTIGEN,$289.00,,
Lab Services,PROTEIN CSF,$77.00,,
Lab Services,PROTEIN ELECTROPHORESIS SERUM,$64.00,,
Lab Services,PROTEIN ELECTROPHORESIS URINE 24H,$77.00,,
Lab Services,PROTEIN ELECTROPHORESIS URINE RAN,$64.00,,
Lab Services,PROTEIN S ACTIVITY (FUNCTIONAL),$135.00,,
Lab Services,PROTEIN S ANTIGEN (FREE/TOTAL),$129.00,,
Lab Services,PROTEIN S ANTIGEN TOTAL,$71.00,,
Lab Services,PROTEIN TOTAL,$8.00,,
Lab Services,PROTEIN URINE 24HR,$55.00,,
Lab Services,PROTEIN URINE RANDOM,$55.00,,
Lab Services,PROTEIN Z DEFICIENCY,$320.00,,
Lab Services,PROTEINASE 3 ANTIBODY,$221.00,,
Lab Services,PROTHROMBIN G20210A MUTATION,$369.00,,
Lab Services,PROTRIPTYLINE (VIVACTIL),$262.00,,
Lab Services,PSA,$178.00,,
Lab Services,PSA FREE,$204.00,,
Lab Services,PSA SCREEN,$204.00,,
Lab Services,PSEUDOCHOLINESTERASE,$44.00,,
Lab Services,PT (COUMADIN CLINIC),$83.00,,
Lab Services,PT MIXING STUDIES,$785.00,,
Lab Services,PT/INR,$83.00,,X
Lab Services,PT/INR (COUMADIN CLINIC),$83.00,,
Lab Services,PTH INTACT,$168.00,,
Lab Services,PTH INTRAOPERATIVE,$288.00,,
Lab Services,PTH RELATED PEPTIDE,$210.00,,
Lab Services,PURKINJE CELL ANTIBODY (ANTI YO),$462.00,,
Lab Services,Q FEVER ANTIBODY,$73.00,,
Lab Services,QUETIAPINE (SEROQUEL),$245.00,,
Lab Services,QUINIDINE (QUINIDEX),$369.00,,
Lab Services,RABBIT EPITHELIUM IGE,$31.00,,
Lab Services,RABIES ANTIBODY ENDPOINT,$272.00,,
Lab Services,RAPID STREP ANTIGEN GRP A THROAT,$55.00,,
Lab Services,RAST ALLERGEN EACH QN,$37.00,,
Lab Services,RAST ALLERGEN MULTI QL,$66.00,,
Lab Services,RBC AB ELUTION,"$1,055.00",,
Lab Services,RBC AB IDENTIFICATION,$499.00,,
Lab Services,RBC ANTIGEN SCR REAGENT UNIT,$338.00,,
Lab Services,RBC ANTIGEN TYPING NON ABO/RH,$124.00,,
Lab Services,REDUCING SUBSTANCE NOT GLUCOSE,$215.00,,
Lab Services,REDUCING SUBSTANCE STOOL,$85.00,,
Lab Services,REDUCING SUBSTANCE STOOL,$238.00,,
Lab Services,"REFLEX TEST ASSAY, S",$70.00,,
Lab Services,RENAL FUNCTION PANEL,$193.00,,
Lab Services,RENIN ACTIVITY PLASMA,$131.00,,
Lab Services,RETICULIN ANTIBODY,$146.00,,
Lab Services,RETICULOCYTE COUNT,$54.00,,
Lab Services,RETICULOCYTE SEPARATION,$582.00,,
Lab Services,REVERSE T3,$127.00,,
Lab Services,RH PHENOTYPE,$527.00,,
Lab Services,RHEUMATOID FACTOR (RA LATEX),$148.00,,
Lab Services,RHEUMATOID FACTOR(RF)QUANTITATIVE,$142.00,,
Lab Services,RI ANTIBODY (ANNA-2),$162.00,,
Lab Services,Rifampin Resistance Charge,$612.00,,
Lab Services,RISPERIDONE (RISPERADOL),$320.00,,
Lab Services,RISTOCETIN COFACTOR,$206.00,,
Lab Services,RISTOCETIN CO-FACTOR ASSAY,"$1,531.00",,
Lab Services,RNA POLYMERASE III AB IGG,$171.00,,
Lab Services,ROCKY MT. SPOTTED FEVER IGG,$290.00,,
Lab Services,ROCKY MT. SPOTTED FEVER IGM,$290.00,,
Lab Services,ROTAVIRUS ANTIGEN FECES,$306.00,,
Lab Services,ROUGH MARSH ELDER IGE,$30.00,,
Lab Services,ROUGH PIGWEED IGE,$41.00,,
Lab Services,RPR QUALITATIVE,$14.00,,
Lab Services,RPR QUANTITATIVE,$94.00,,
Lab Services,RSV ANTIBODIES IGG/IGM,$147.00,,
Lab Services,RSV ANTIBODY IGM,$116.00,,
Lab Services,RSV ANTIGEN,$147.00,,
Lab Services,RSV ANTIGEN NASAL SWAB,$188.00,,
Lab Services,RUBELLA ANTIBODY IGG,$44.00,,
Lab Services,RUBEOLA ANTIBODY IGG,$55.00,,
Lab Services,RUBEOLA ANTIBODY IGM,$55.00,,
Lab Services,RUSSIAN THISTLE IGE,$41.00,,
Lab Services,RX METAB ADVRS RX RXN&RSPSE TRGT SEQ ALY,"$1,185.00",,
Lab Services,RX METAB WARFARIN RX RESPONSE TRGT SEQ,"$1,664.00",,
Lab Services,RYE GRASS IGE,$41.00,,
Lab Services,RYE IGE,$41.00,,
Lab Services,S Patient Antigen Typing,$124.00,,
Lab Services,S. PNEUMONIAE CSF ANTIGEN,$402.00,,
Lab Services,S. PNEUMONIAE URINE ANTIGEN,$104.00,,
Lab Services,SACCHAROMYCES CEREVISIAE AB IGA,$115.00,,
Lab Services,SACCHAROMYCES CEREVISIAE AB IGG,$115.00,,
Lab Services,SALICYLATE (ASPIRIN),$180.00,,
Lab Services,SALMON IGE,$41.00,,
Lab Services,SALMONELLA/SHIGELLA TEST OF CURE,$97.00,,
Lab Services,SCALLOP IGE,$41.00,,
Lab Services,SCLERODERMA ANTIBODY,$97.00,,
Lab Services,SECRETIN,"$1,083.00",,
Lab Services,SED RATE (ESR),$46.00,,
Lab Services,SELENIUM,$277.00,,
Lab Services,SEMEN ANALYSIS COMPLETE,$307.00,,
Lab Services,SEMEN ANALYSIS W/WHO MORPHOLOGY,$226.00,,
Lab Services,SEMEN COUNT POST VASECTOMY,$97.00,,
Lab Services,SENSITIVITY AFB-TB,$289.00,,
Lab Services,SENSITIVITY EACH DRUG,$46.00,,
Lab Services,SENSITIVITY MIC,$92.00,,X
Lab Services,SENSITIVITY MIC CHARGE,$131.00,,
Lab Services,SEROTONIN,$95.00,,
Lab Services,SERPINA1 GENE,$167.00,,
Lab Services,SERUM SINGLE DRUG,$180.00,,
Lab Services,SESAME SEED IGE,$41.00,,
Lab Services,SEX HORMONE BINDING GLOBULIN,$74.00,,
Lab Services,SHEEP SORREL IGE,$31.00,,
Lab Services,SHIGA TOXIN STOOL,$68.00,,
Lab Services,SHIGA TOXIN STOOL CHG X2,$68.00,,
Lab Services,SHORT RAGWEED IGE,$41.00,,
Lab Services,SHRIMP IGE,$41.00,,
Lab Services,SICKLE CELL SCREEN,$78.00,,
Lab Services,SICKLE CELL SCREEN CHARGE,$78.00,,
Lab Services,SILVER BIRCH IGE,$41.00,,
Lab Services,SIN NOMBRE VIRUS IGG CONFIRM IBL,$267.00,,
Lab Services,SIROLIMUS (RAPAMYCIN),$46.00,,
Lab Services,SJOGREN ANTIBODY (SSA SSB),$141.00,,
Lab Services,SJOGREN ANTIBODY (SSA SSB) CHARGE,$141.00,,
Lab Services,SKIN ANTIBODY,$196.00,,
Lab Services,"SLCO1B1, gene analysis, common variant(s","$1,279.00",,
Lab Services,SM RNP ANTIBODIES,$73.00,,
Lab Services,SMEAR AFB/FLUORESCENT STAIN CHARGE,$197.00,,
Lab Services,SMEAR FOR WBC STOOL,$69.00,,
Lab Services,SMEAR NASAL EOSINOPHILS,$85.00,,
Lab Services,SMOOTH MUSCLE ANTIBODY (ASMA),$89.00,,
Lab Services,SMOOTH MUSCLE ANTIBODY TITER,$119.00,,
Lab Services,SMR PRIM SRC CPLX SPEC STAIN,$70.00,,
Lab Services,SODIUM,$8.00,,
Lab Services,SODIUM BODY FLUID,$180.00,,
Lab Services,SODIUM STOOL,$338.00,,
Lab Services,SODIUM URINE 24HR,$55.00,,
Lab Services,SODIUM URINE RANDOM,$55.00,,
Lab Services,SODIUM WB - PULM,$8.00,,
Lab Services,SOMATOMEDIN (IGF-1),$156.00,,
Lab Services,SOYBEAN IGE,$41.00,,
Lab Services,SP CONSULT 1ST TB,$119.00,,
Lab Services,SPECIAL STAIN I,$495.00,,
Lab Services,SPECIAL STAIN II,$57.00,,
Lab Services,SPECIAL STAINS GROUP 1,$120.00,,
Lab Services,SPECIAL STAINS GROUP 2,$53.00,,
Lab Services,SPECIFIC GRAVITY NON URINE,$64.00,,
Lab Services,Specific Gravity Validity PM,$13.00,,
Lab Services,SPLIT BLOOD PRODUCT EACH,$421.00,,
Lab Services,StaClot,$528.00,,
Lab Services,STEMPHYLLIUM IGE,$41.00,,
Lab Services,STOOL ANALYSIS INACTIVE,$55.00,,
Lab Services,STOOL PH,$68.00,,
Lab Services,STRAWBERRY IGE,$33.00,,
Lab Services,STREP PNEUMO ANTIBODY IGG,$206.00,,
Lab Services,STREPTOCOCCUS GRP A DIRECT PROBE,$248.00,,
Lab Services,STREPTOZYME SCREEN W/REFLEX TITER,$230.00,,
Lab Services,STREPTOZYME TITER,$206.00,,
Lab Services,STRIATED MUSCLE ANTIBODY,$319.00,,
Lab Services,STRIATIONAL ANTIBODIES,$138.00,,
Lab Services,STRONGYLOIDES ANTIBODY IGG,$419.00,,
Lab Services,SULFATE URINE,$29.00,,
Lab Services,SUSCEPTIBILITY ANAEROBIC MIC,$131.00,,
Lab Services,SUSCEPTIBILITY E-TEST VANCO (SA) CHG,$110.00,,
Lab Services,SUSCEPTIBILITY NOCARDIA SPECIES,$298.00,,
Lab Services,SUSCEPTIBILITY STUDY E TEST,$118.00,,
Lab Services,SUSCEPTIBILITY STUDY E TEST CHARGE,$126.00,,
Lab Services,SUSCEPTIBILITY STUDY E TEST CHARGE X5,$126.00,,
Lab Services,SUSCEPTIBILITY STUDY E TEST CHARGE X6,$126.00,,
Lab Services,SUSCEPTIBILITY STUDY ENZYME DET,$45.00,,
Lab Services,SWEET GUM IGE,$41.00,,
Lab Services,SWEET POTATO IGE,$30.00,,
Lab Services,SYNOVIAL FLUID ANALYSIS.,$111.00,,
Lab Services,SYPHILIS ANTIBODY WITH REFLEX RPR,$43.00,,
Lab Services,T CELLS TOTAL COUNT,$407.00,,
Lab Services,T CULT (NEOPLASTIC) CYTOG,$210.00,,
Lab Services,T CULTURE ADDL STUDIES BY IFA CHARGE,$160.00,,
Lab Services,T3 FREE,$289.00,,
Lab Services,T3 TOTAL,$113.00,,
Lab Services,T4 FREE,$30.00,,X
Lab Services,T4 TOTAL,$48.00,,
Lab Services,TACROLIMUS (FK 506),$144.00,,
Lab Services,T-CELL MARKERS (BM) ADDL,$156.00,,
Lab Services,T-CELL MARKERS ADDL,$156.00,,
Lab Services,TESTOSTERONE BIOAVAIL(TOTAL&FREE),$146.00,,
Lab Services,TESTOSTERONE BIOAVAILABLE  TOTAL,$104.00,,
Lab Services,TESTOSTERONE FREE,$238.00,,
Lab Services,TESTOSTERONE TOTAL,$95.00,,
Lab Services,TETANUS ANTIBODY,$231.00,,
Lab Services,THALLIUM,$127.00,,
Lab Services,THALLIUM URINE,$73.00,,
Lab Services,THEOPHYLLINE (AMINOPHYLLINE),$358.00,,
Lab Services,THROMBIN TIME,$54.00,,
Lab Services,THYROGLOBULIN ANTIBODY (TBG AB),$135.00,,
Lab Services,THYROGLOBULIN TUMOR MARKER,$231.00,,
Lab Services,THYROID HORMONE UPTAKE/RATIO T3U,$48.00,,
Lab Services,THYROID PEROXIDASE ANTIBODY-TPO,$190.00,,
Lab Services,THYROID STIMULATING IMMUNOGLOB,$127.00,,
Lab Services,THYROTROPIN RECEPTOR ANTIBODY,$95.00,,
Lab Services,THYROXIN BINDING GLOBULIN,$31.00,,
Lab Services,TIAGABINE (GABITRIL),$186.00,,
Lab Services,TILAPIA IGE,$157.00,,
Lab Services,TIMOTHY GRASS IGE,$41.00,,
Lab Services,TISSUE IN SITU INTERP/RPT,$178.00,,
Lab Services,TISSUE PLASMINOGEN ACTIVATOR-TPA,$135.00,,
Lab Services,TMAO PROCESSING FEE,$11.00,,
Lab Services,TOBRAMYCIN PEAK (POST DOSE),$407.00,,
Lab Services,TOBRAMYCIN RANDOM,$387.00,,
Lab Services,TOBRAMYCIN TROUGH (PRE DOSE),$407.00,,
Lab Services,TOMATO IGE,$41.00,,
Lab Services,TOPIRAMATE,$103.00,,
Lab Services,TOXOPLASMA DNA BY PCR(NOT BLOOD),$551.00,,
Lab Services,TOXOPLASMA IGG ANTIBODY,$48.00,,
Lab Services,TOXOPLASMA IGM ANTIBODY,$48.00,,
Lab Services,TP CHARGE,$8.00,,
Lab Services,TPMT GENETICS,"$1,415.00",,
Lab Services,TPMT NUDT 15 GENE ANANLYSIS COMMON VARIA,$903.00,,
Lab Services,"TPMT, GENE ANALYSIS, COMMON VARIANTS",$517.00,,
Lab Services,TRAMADOL,$24.00,,
Lab Services,TRAMADOL (ULTRAM) QUAL URINE,$15.00,,
Lab Services,TRANSCORTIN(CORTISOL BIND GLOBUL),$532.00,,
Lab Services,TRANSFERRIN,$115.00,,
Lab Services,TRANSFERRIN CREDIT,$115.00,,
Lab Services,TRANSGLUTAMINASE ANTIBODY IGA,$195.00,,
Lab Services,TRANSGLUTAMINASE ANTIBODY IGG,$186.00,,
Lab Services,TRICHOMONAS VAGINALIS AMPLIFIED RNA,$92.00,,
Lab Services,TRICHOMONAS VAGINALIS DIRECT PROB,$97.00,,
Lab Services,TRICHROME STAIN,$259.00,,
Lab Services,TRICHROME STAIN CHARGE,$270.00,,
Lab Services,TRIGLYCERIDES,$46.00,,
Lab Services,TRIGLYCERIDES BODY FLUID,$46.00,,
Lab Services,TROPONIN I,$156.00,,X
Lab Services,TROPONIN T,$39.00,,
Lab Services,TRYPANOSOMA CRUZI ANTIBODY IGG,$194.00,,
Lab Services,TRYPSIN STOOL QL,$120.00,,
Lab Services,TRYPSINOGEN,$241.00,,
Lab Services,TRYPTASE,$214.00,,
Lab Services,TSH,$56.00,,X
Lab Services,TSH WITH REFLEX FREE T4,$56.00,,
Lab Services,T-SPOT TB SCREEN,$206.00,,
