"OHIOHEALTH DOCTORS HOSPITAL, DUBLIN METHODIST HOSPITAL, GRANT MEDICAL CENTER, GROVE CITY METHODIST HOSPITAL, AND RIVERSIDE METHODIST HOSPITAL CHARGE LIST",,,,,,,,,,
SERVICE CATEGORY,DESCRIPTION,CHARGE,DOSE,STATE OF OHIO REQUIREMENT,,,,,,
Lab Services,HC ASPERGILLUS ANTIBODY,$198.00,,,,,,,,
Lab Services,HC ASPERGILLUS ANTIGEN,$188.00,,,,,,,,
Lab Services,HC ASPERGILLUS FUMIGATUS ANTBDY IGG,$236.00,,,,,,,,
Lab Services,HC AST SGOT,$8.00,,,,,,,,
Lab Services,HC ATN1 GENE ANALYSIS EVALUATION TO DETECT ABNORMAL ALLELES SO,"$1,850.00",,,,,,,,
Lab Services,HC ATOMIC ABSORPTION SPECTROSCOPY EA ANALYTE,$281.00,,,,,,,,
Lab Services,HC ATXN1 GENE ANALYSIS EVALUATION TO DETECT ABNORMAL ALLELES SO,$0.00,,,,,,,,
Lab Services,HC ATXN10 GENE ANALYSIS EVALUATION TO DETECT ABNORMAL  ALLELES SO,$0.00,,,,,,,,
Lab Services,HC ATXN2 GENE ANALYSIS EVALUATION TO DETECT ABNORMAL ALLELES SO,$0.00,,,,,,,,
Lab Services,HC ATXN3 GENE ANALYSIS EVALUATION TO DETECT ABNORMAL ALLELES SO,$0.00,,,,,,,,
Lab Services,HC ATXN7 GENE ANALYSIS EVALUATION TO DETECT ABNORMAL ALLELES SO,$0.00,,,,,,,,
Lab Services,HC ATXN8OS GENE ANALYSIS EVALUATION TO DETECT ABNORMAL ALLELES SO,$0.00,,,,,,,,
Lab Services,HC B CELLS TOTAL COUNT,$602.00,,,,,,,,
Lab Services,HC BACTERIAL IDENTIFICATION,$156.00,,,,,,,,
Lab Services,HC BACTERIUM ANTIBODY,$201.00,,,,,,,,
Lab Services,HC BARBITURATE QUANTITATIVE SO,$79.00,,,,,,,,
Lab Services,HC BARTONELLA ANTIBODY SO,$36.00,,,,,,,,
Lab Services,HC BARTONELLA BY PCR,$232.00,,,,,,,,
Lab Services,HC BASIC METABOLIC PANEL CALCIUM IONIZED,$38.00,,,,,,,,
Lab Services,HC BASIC METABOLIC PANEL CALCIUM TOTAL,$43.00,,X,,,,,,
Lab Services,HC BCR ABL1 GENE MAJOR BP,"$1,775.00",,,,,,,,
Lab Services,HC BCR ABL1 GENE MAJOR BP SO,$848.00,,,,,,,,
Lab Services,HC BCR ABL1 OTHER BREAKPNT QUALITATIVE QUANTITATIVE,$817.00,,,,,,,,
Lab Services,HC BCR/ABL 1 GENE MINOR BP,"$1,995.00",,,,,,,,
Lab Services,HC BCR/ABL 1 GENE MINOR BP SO,$953.00,,,,,,,,
Lab Services,HC BENZODIAZEPINES 13 OR MORE SO,$158.00,,,,,,,,
Lab Services,HC BENZODIAZEPINES SO,$111.00,,,,,,,,
Lab Services,HC BETA 2 GLYCOPROTEIN 1 ANTIBODY EACH,$79.00,,,,,,,,
Lab Services,HC BETA 2 MICROGLOBULIN,$163.00,,,,,,,,
Lab Services,HC BETA 2 MICROGLOBULIN FLUID,$77.00,,,,,,,,
Lab Services,HC BICARBONATE,$8.00,,,,,,,,
Lab Services,HC BILE ACIDS TOTAL,$289.00,,,,,,,,
Lab Services,HC BILIRUBIN DIRECT,$47.00,,X,,,,,,
Lab Services,HC BILIRUBIN TOTAL,$8.00,,,,,,,,
Lab Services,HC BILIRUBIN TOTAL TRANSCUTANEOUS,$312.00,,,,,,,,
Lab Services,HC BIOTINIDASE,$170.00,,,,,,,,
Lab Services,HC BLASTOMYCES ANTIBODY,$196.00,,,,,,,,
Lab Services,HC BLASTOMYCES ANTIBODY SO,$135.00,,,,,,,,
Lab Services,HC BLOOD PROCESSING FEE AUTOLOGOUS,$180.00,,,,,,,,
Lab Services,HC BLOOD PRODUCT POOLING,$249.00,,,,,,,,
Lab Services,HC BLOOD SALVAGE AUTOLOGOUS INTRA OP,"$7,847.00",,,,,,,,
Lab Services,HC BLOOD TYPING ABO,$21.00,,X,,,,,,
Lab Services,HC BLOOD TYPING RH D,$10.00,,X,,,,,,
Lab Services,HC BLOOM SYNDROME MUTATION ANALYSIS,"$1,052.00",,,,,,,,
Lab Services,HC BORDETELLA ANTIBODY,$437.00,,,,,,,,
Lab Services,HC BORDETELLA ANTIBODY SO,$208.00,,,,,,,,
Lab Services,HC BRAF GENE MUT ANLYS V600E TUMOR,"$3,078.00",,,,,,,,
Lab Services,HC BRAF GENE MUT ANLYS V600E TUMOR SO,"$1,295.00",,,,,,,,
Lab Services,HC BRAIN NATRIURETIC PEPTIDE BNP,$182.00,,,,,,,,
Lab Services,HC BRCA1  GENE ANALYSIS FULL DUPLICATION/DELETION ANALYSIS SO,$0.00,,,,,,,,
Lab Services,HC BRCA1 AND 2 SEQ AND FULL DUP/DEL SO,"$5,421.00",,,,,,,,
Lab Services,HC BRCA1 BRCA2 GENE ANALYSIS FULL SEQUENCE ANALYSIS SO,$0.00,,,,,,,,
Lab Services,HC BRCA1GENE ANALYSIS FULL SEQUENCE ANALYSIS SO,$0.00,,,,,,,,
Lab Services,HC BRCA2 GENE ANALYSIS FULL DUPLICATION/DELETION ANALYSIS SO,$0.00,,,,,,,,
Lab Services,HC BRUCELLA ANTIBODY CONFIRM SO,$92.00,,,,,,,,
Lab Services,HC BTK GENE ANALYSIS COMMON VARIANTS SO,$0.00,,,,,,,,
Lab Services,HC BUN,$8.00,,X,,,,,,
Lab Services,HC BUN AMB,$8.00,,,,,,,,
Lab Services,HC BUPRENORPHINE SO,$138.00,,,,,,,,
Lab Services,HC C DIFFICILE TOXIN GENE PCR,$402.00,,,,,,,,
Lab Services,HC C DIFFICILE TOXIN PCR,$192.00,,,,,,,,
Lab Services,HC C PEPTIDE,$34.00,,,,,,,,
Lab Services,HC C REACTIVE PROTEIN CARDIAC RISK,$47.00,,,,,,,,
Lab Services,HC C REACTIVE PROTEIN CRP,$47.00,,,,,,,,
Lab Services,HC C REACTIVE PROTEIN CRP SO,$38.00,,,,,,,,
Lab Services,HC CA 125,$48.00,,,,,,,,
Lab Services,HC CA 15 3 OR 27.29,$151.00,,,,,,,,
Lab Services,HC CA 19 9,$48.00,,,,,,,,
Lab Services,HC CA 19 9 PANCREATIC CYST FLUID,$48.00,,,,,,,,
Lab Services,HC CACNA1A GENE ANALYSIS EVALUATION TO DETECT ABNORMAL  ALLELES SO,$0.00,,,,,,,,
Lab Services,HC CACNA1A GENE ANALYSIS FULL GENE SEQUENCE SO,$0.00,,,,,,,,
Lab Services,HC CACNA1A GENE ANALYSIS KNOWN FAMILIAL VARIANT SO,$0.00,,,,,,,,
Lab Services,HC CADMIUM,$136.00,,,,,,,,
Lab Services,HC CADMIUM SO,$65.00,,,,,,,,
Lab Services,HC CAFFEINE,$101.00,,,,,,,,
Lab Services,HC CALCITONIN,$117.00,,,,,,,,
Lab Services,HC CALCIUM IONIZED,$51.00,,X,,,,,,
Lab Services,HC CALCIUM IONIZED AMB,$51.00,,,,,,,,
Lab Services,HC CALCIUM IONIZED WB  PULM,$51.00,,,,,,,,
Lab Services,HC CALCIUM TOTAL,$8.00,,,,,,,,
Lab Services,HC CALCIUM URINE SO,$51.00,,,,,,,,
Lab Services,HC CALCIUM URINE TIMED,$61.00,,,,,,,,
Lab Services,HC CALPROTECTIN FECAL,$397.00,,,,,,,,
Lab Services,HC CALR GENE ANALYSIS COMMON VARIANTS EXON9,"$1,086.00",,,,,,,,
Lab Services,HC CAMPYLOBACTER JEJUNI ANTIBODY,$72.00,,,,,,,,
Lab Services,HC CANCER ANTIGEN 15-3 (CA 15-3) SO,$49.00,,,,,,,,
Lab Services,HC CANDIDA ANTIBODY,$227.00,,,,,,,,
Lab Services,HC CANDIDA SPECIES DIRECT PROBE,$137.00,,,,,,,,
Lab Services,HC CANNABINOIDS NATURAL,$101.00,,,,,,,,
Lab Services,HC CANNABINOIDS SYNTHETIC 7 OR MORE SO,$329.00,,,,,,,,
Lab Services,HC CARBAMAZEPINE FREE,$129.00,,,,,,,,
Lab Services,HC CARBAMAZEPINE TOTAL,$47.00,,,,,,,,
Lab Services,HC CARBAMAZEPINE TOTAL SO,$77.00,,,,,,,,
Lab Services,HC CARBOHYDRATE DEFICIENT TRANSFERRIN,$126.00,,,,,,,,
Lab Services,HC CARBOXYHEMOGLOBIN,$78.00,,,,,,,,
Lab Services,HC CARBOXYHEMOGLOBIN PULM,$78.00,,,,,,,,
Lab Services,HC CARDIOLIPIN (PHOSPHOLIPID) ANTIBODY EA IG CLASS SO,$60.00,,,,,,,,
Lab Services,HC CARDIOLIPIN ANTIBODY EA IG CLASS,$140.00,,,,,,,,
Lab Services,HC CARNITINE SO,$144.00,,,,,,,,
Lab Services,HC CAROTENE,$77.00,,,,,,,,
Lab Services,HC CASR GENE FULL GENE ANALYSIS,"$7,454.00",,,,,,,,
Lab Services,HC CATECHOLAMINES FRACTION,$96.00,,,,,,,,
Lab Services,HC CBC WITH DIFF,$28.00,,X,,,,,,
Lab Services,HC CBC WITH DIFF AMB,$28.00,,,,,,,,
Lab Services,HC CBC WITHOUT DIFF,$24.00,,X,,,,,,
Lab Services,HC CCP ANTIBODY,$168.00,,,,,,,,
Lab Services,HC CD4 AND CD8 COUNT W RATIO,$485.00,,,,,,,,
Lab Services,HC CD4 COUNT,$459.00,,,,,,,,
Lab Services,HC CEA,$100.00,,,,,,,,
Lab Services,HC CEA SO,$47.00,,,,,,,,
Lab Services,HC CEBPA GENE FULL SEQUENCE,"$1,255.00",,,,,,,,
Lab Services,HC CELL COUNT BODY FLUID,$137.00,,,,,,,,
Lab Services,HC CELL COUNT MANUAL EACH,$83.00,,,,,,,,
Lab Services,HC CELL COUNT W DIFF BODY FLUID,$579.00,,,,,,,,
Lab Services,HC CELL CRYOPRSRV FRZING/STORAGE EA CELL LINE SO,$141.00,,,,,,,,
Lab Services,HC CELL ENUMERATION AND ID SO,"$1,478.00",,,,,,,,
Lab Services,HC CELL FXN ASSAY STIM AND DETECT BIOMRKR,$680.00,,,,,,,,
Lab Services,HC CERULOPLASMIN,$78.00,,,,,,,,
Lab Services,HC CFTR GENE  FULL GENE ANALYSIS,"$3,406.00",,,,,,,,
Lab Services,HC CFTR GENE DUPLICATION DELETION VARIANTS,"$7,522.00",,,,,,,,
Lab Services,HC CHEMILUMINESCENT ASSAY SO,$310.00,,,,,,,,
Lab Services,HC CHLAMYDIA ANTIBODY,$118.00,,,,,,,,
Lab Services,HC CHLAMYDIA IGM,$118.00,,,,,,,,
Lab Services,HC CHLAMYDIA PNEUMONIAE AMP PROBE,$799.00,,,,,,,,
Lab Services,HC CHLAMYDIA TRACHOMATIS AMPLIFIED RNA SO,$91.00,,,,,,,,
Lab Services,HC CHLORIDE BLOOD,$8.00,,,,,,,,
Lab Services,HC CHLORIDE BLOOD AMB,$8.00,,,,,,,,
Lab Services,HC CHLORIDE BODY FLUID,$36.00,,,,,,,,
Lab Services,HC CHLORIDE STOOL,$19.00,,,,,,,,
Lab Services,HC CHLORIDE URINE,$45.00,,,,,,,,
Lab Services,HC CHLORIDE URINE SO,$25.00,,,,,,,,
Lab Services,HC CHLORIDE WB PULM,$8.00,,,,,,,,
Lab Services,HC CHLORINATED HYDROCARBONS SCREEN SO,$288.00,,,,,,,,
Lab Services,HC CHOLESTEROL HDL,$35.00,,,,,,,,
Lab Services,HC CHOLESTEROL LDL DIRECT,$52.00,,,,,,,,
Lab Services,HC CHOLESTEROL TOTAL,$36.00,,,,,,,,
Lab Services,HC CHOLESTEROL VLDL CHYLOMICRONS,$57.00,,,,,,,,
Lab Services,HC CHOLINESTERASE RBC,$83.00,,,,,,,,
Lab Services,HC CHOLINESTERASE SERUM,$27.00,,,,,,,,
Lab Services,HC CHRMSM ANLYS 5 CLS 1 KRYTYP W/BND SO,"$1,056.00",,,,,,,,
Lab Services,HC CHRMSM CNT 15 TO 20 CLL 2 KARYTYP BANDING SO,$810.00,,,,,,,,
Lab Services,HC CHRMSM SITU AMNIO CLL 6 TO 12 COLONIES 1 KARYTYP SO,$736.00,,,,,,,,
Lab Services,HC CHROM ADDL KARYOTYP EACH STUDY SO,$189.00,,,,,,,,
Lab Services,HC CHROM ANALYSIS ADD HI RES STUDY SO,$313.00,,,,,,,,
Lab Services,HC CHROM ANLYS ADDL CELL CT  EA STDY SO,$154.00,,,,,,,,
Lab Services,HC CHROMATIN ANTIBODIES ELISA,$322.00,,,,,,,,
Lab Services,HC CHROMATOGRAPHY COLUMN NES,$279.00,,,,,,,,
Lab Services,HC CHROMATOGRAPHY QN COLUMN MULTI,$606.00,,,,,,,,
Lab Services,HC CHROMATOGRAPHY QN COLUMN SINGLE SO,$262.00,,,,,,,,
Lab Services,HC CHROMIUM,$109.00,,,,,,,,
Lab Services,HC CHROMOGENIC SUBSTRATE ASSAY,$92.00,,,,,,,,
Lab Services,HC CHROMOGENIC SUBSTRATE ASSAY SO,$387.00,,,,,,,,
Lab Services,HC CHROMOSOME ANALYSIS 20 TO 25 CELLS SO,"$1,667.00",,,,,,,,
Lab Services,HC CHROMOSOME COUNT AMNIO CV 15 CELLS 1 KARYOTYPE SO,"$1,215.00",,,,,,,,
Lab Services,HC CHRONIC HEPATITIS C VIRUS (HCV) INFECTION SIX BIOCHEMICAL ASSAYS SERUM SO,$750.00,,,,,,,,
Lab Services,HC CHYLMD PNEUM DNA AMP PROBE,$49.00,,,,,,,,
Lab Services,HC CITRATE SO,$90.00,,,,,,,,
Lab Services,HC CLOTTING FUNCTIONAL ACTIVITY NOS EACH,$303.00,,,,,,,,
Lab Services,HC CLOZAPINE CLOZARIL,$71.00,,,,,,,,
Lab Services,HC CMV AMP PROBE PANEL,$91.00,,,,,,,,
Lab Services,HC CMV AMPLIFIED PROBE,$148.00,,,,,,,,
Lab Services,HC CMV ANTIBODY,$196.00,,,,,,,,
Lab Services,HC CMV ANTIBODY IGM,$194.00,,,,,,,,
Lab Services,HC CMV BY PCR QUANT,$168.00,,,,,,,,
Lab Services,HC CNBP GENE ANALYSIS EVALUATION TO DETECT ABNORMAL ALLELES SO,$0.00,,,,,,,,
Lab Services,HC CNS DNA AMP PROBE TYPE 12-25,"$1,276.00",,,,,,,,
Lab Services,HC COAG TIME ACTIVATED ACT,$419.00,,,,,,,,
Lab Services,HC COCAINE QUANTITATIVE,$79.00,,,,,,,,
Lab Services,HC COCCIDIOIDES ANTIBODY,$208.00,,,,,,,,
Lab Services,HC COCCIDIOIDES ANTIBODY SO,$38.00,,,,,,,,
Lab Services,HC COL CHROM INCL MS QL/QT NES EACH SPEC SO,"$1,548.00",,,,,,,,
Lab Services,HC COL CHROMOTOGRAPHY QUAL/QUAN SO,$289.00,,,,,,,,
Lab Services,HC COLD AGGLUTININ TITER,$83.00,,,,,,,,
Lab Services,HC COLLAGEN CROSS LINKS ANY METHOD,$218.00,,,,,,,,
Lab Services,HC COLUMN CHROMATOGRAPHY MS NES QUAN,$178.00,,,,,,,,
Lab Services,HC COLUMN CHROMATOGRAPHY MS NON DRUG NES EACH SPC,$324.00,,,,,,,,
Lab Services,HC COMPLEMENT ANTIGEN EACH COMPONENT,$57.00,,,,,,,,
Lab Services,HC COMPLEMENT ANTIGEN EACH COMPONENT SO,$28.00,,,,,,,,
Lab Services,HC COMPLEMENT CH50 TOTAL,$62.00,,,,,,,,
Lab Services,HC COMPLEMENT FIXATION TESTS EA ANTIGEN,$207.00,,,,,,,,
Lab Services,HC COMPLEMENT FUNCTIONAL ACTIVITY EACH,$144.00,,,,,,,,
Lab Services,HC COMPREHENSIVE METABOLIC PANEL,$50.00,,X,,,,,,
Lab Services,HC COMT GENE ANALYSIS C.472G>A VARIANT SO,"$1,703.00",,,,,,,,
Lab Services,HC CONCENTRATION AFB,$108.00,,,,,,,,
Lab Services,HC CONCENTRATION ANY TYPE FOR INF AG,$52.00,,,,,,,,
Lab Services,HC CONSULT PATH REQUIRING PREP,$387.00,,,,,,,,
Lab Services,HC CONSULT PATH REVIEW AND REPORT,$254.00,,,,,,,,
Lab Services,HC CONSULT PATH SURG IMPRINT ADDL,$303.00,,,,,,,,
Lab Services,HC CONSULT PATH SURG IMPRINT INITIAL,$350.00,,,,,,,,
Lab Services,HC CONSULT PATH SURGERY,$228.00,,,,,,,,
Lab Services,HC CONSULT PATH SURGERY EACH ADDL,$422.00,,,,,,,,
Lab Services,HC CONSULT PATH SURGERY W FROZEN,$747.00,,,,,,,,
Lab Services,HC COPPER,$58.00,,,,,,,,
Lab Services,HC CORTICOSTERONE SO,$299.00,,,,,,,,
Lab Services,HC CORTISOL FREE,$209.00,,,,,,,,
Lab Services,HC CORTISOL FREE SO,$101.00,,,,,,,,
Lab Services,HC CORTISOL TOTAL,$47.00,,,,,,,,
Lab Services,HC CORTISOL TOTAL SO,$124.00,,,,,,,,
Lab Services,HC CPK,$43.00,,,,,,,,
Lab Services,HC CPK ISOENZYMES,$83.00,,,,,,,,
Lab Services,HC CPK MB ONLY,$46.00,,,,,,,,
Lab Services,HC CREATINE,$77.00,,,,,,,,
Lab Services,HC CREATININE,$8.00,,X,,,,,,
Lab Services,HC CREATININE AMB,$8.00,,,,,,,,
Lab Services,HC CREATININE CLEARANCE,$33.00,,,,,,,,
Lab Services,HC CREATININE OTHER SOURCE,$36.00,,,,,,,,
Lab Services,HC CREATININE OTHER SOURCE SO,$58.00,,,,,,,,
Lab Services,HC CREATININE W MICROALBUMIN,$36.00,,,,,,,,
Lab Services,HC CROSSMATCH ELECTRONIC,$115.00,,,,,,,,
Lab Services,HC CROSSMATCH IMMEDIATE SPIN,$187.00,,,,,,,,
Lab Services,HC CRYOFIBRINOGEN,$79.00,,,,,,,,
Lab Services,HC CRYOGLOBULIN,$74.00,,,,,,,,
Lab Services,HC CRYPTOSPORIDIUM ANTIGEN BY EIA,$172.00,,,,,,,,
Lab Services,HC CRYSTAL ID TISSUE ONLY,$198.00,,,,,,,,
Lab Services,HC CRYSTAL ID TISSUE OR FLUID,$198.00,,,,,,,,
Lab Services,HC CSTB GENE ANALYSIS EVALUATION TO DETECT ABNORMAL ALLELES SO,$0.00,,,,,,,,
Lab Services,HC CSTB GENE ANALYSIS FULL GENE SEQUENCE SO,$0.00,,,,,,,,
Lab Services,HC CSTB GENE ANALYSIS KNOWN FAMILIAL VARIANT(S) SO,$0.00,,,,,,,,
Lab Services,HC CULT URINE ISOL PRESUMP ID EACH,$107.00,,,,,,,,
Lab Services,HC CULTURE AEROBIC,$249.00,,,,,,,,
Lab Services,HC CULTURE AFB TB,$404.00,,,,,,,,
Lab Services,HC CULTURE ANAEROBIC,$291.00,,,,,,,,
Lab Services,HC CULTURE ANAEROBIC ID,$314.00,,,,,,,,
Lab Services,HC CULTURE BAC QUANTITATIVE AEROBIC,$338.00,,,,,,,,
Lab Services,HC CULTURE BLOOD,$204.00,,X,,,,,,
Lab Services,HC CULTURE BLOOD AEROB ANAEROB PLTLT,$204.00,,,,,,,,
Lab Services,HC CULTURE BLOOD FUNGUS,$413.00,,,,,,,,
Lab Services,HC CULTURE CHLAMYDIA,$323.00,,,,,,,,
Lab Services,HC CULTURE FUNGUS ID YEAST,$182.00,,,,,,,,
Lab Services,HC CULTURE FUNGUS NOT BLOOD,$397.00,,,,,,,,
Lab Services,HC CULTURE FUNGUS SKIN HAIR NAILS,$489.00,,,,,,,,
Lab Services,HC CULTURE MYCOBACTERIA ID,$303.00,,,,,,,,
Lab Services,HC CULTURE MYCOPLASMA,$197.00,,,,,,,,
Lab Services,HC CULTURE PRESUMPTIVE PATH ORG SCRN,$118.00,,,,,,,,
Lab Services,HC CULTURE PRESUMPTIVE PATH ORG SCRN SENDOUT,$71.00,,,,,,,,
Lab Services,HC CULTURE STOOL ADDITIONAL PATHOGEN,$128.00,,,,,,,,
Lab Services,HC CULTURE STOOL AEROBIC SSYC,$304.00,,,,,,,,
Lab Services,HC CULTURE TYPE BY IFA EACH,$174.00,,,,,,,,
Lab Services,HC CULTURE TYPING NUC ACID PROBE,$223.00,,,,,,,,
Lab Services,HC CULTURE TYPING NUC ACID PROBE AMP PANEL,$39.00,,X,,,,,,
Lab Services,HC CULTURE TYPING SEROLOGIC,$127.00,,,,,,,,
Lab Services,HC CULTURE URINE AEROBIC COLONY COUNT,$176.00,,X,,,,,,
Lab Services,HC CULTURE VIRAL COMPREHENSIVE,$254.00,,,,,,,,
Lab Services,HC CULTURE VIRAL HSV,$299.00,,,,,,,,
Lab Services,HC CULTYP NUC ACID AMP PRB CULT/ISOLATE EA ORGNISM SO,$199.00,,,,,,,,
Lab Services,HC CYANIDE,$129.00,,,,,,,,
Lab Services,HC CYCLOSPORINE,$48.00,,,,,,,,
Lab Services,HC CYP FISH URINARY MORH EA MANUAL,$389.00,,,,,,,,
Lab Services,HC CYP1A2 GENE ANALYSIS COMMON VARIANTS SO,"$1,393.00",,,,,,,,
Lab Services,HC CYP2C19 GENE ANALYSIS COMMON VARIANTS,"$1,007.00",,,,,,,,
Lab Services,HC CYP2C9 SEQUENCE GENOTYPE,"$2,761.00",,,,,,,,
Lab Services,HC CYP2D6 GENE ANALYSIS COMMON VARIANTS,$609.00,,,,,,,,
Lab Services,HC CYP2D6 GENE CPY NMR CMN VRNT SO,$937.00,,,,,,,,
Lab Services,"HC CYP3A4, GENE ANALYSIS, COMMON VARIANT(S)","$1,458.00",,,,,,,,
Lab Services,"HC CYP3A5 , GENE ANALYSIS, COMMON VARIANTS","$1,703.00",,,,,,,,
Lab Services,HC CYSTATIN C,$118.00,,,,,,,,
Lab Services,HC CYSTIC FIBROSIS MUTATION PANEL,$540.00,,,,,,,,
Lab Services,HC CYTO PAP SMEAR AUTOMATED,$87.00,,X,,,,,,
Lab Services,HC CYTO PAP SMEAR AUTOMATED MCARE,$87.00,,,,,,,,
Lab Services,HC CYTOGEN M ARRAY COPY NO AND SNP,"$6,995.00",,,,,,,,
Lab Services,HC CYTOPATH CONCENTRATION,$476.00,,,,,,,,
Lab Services,HC CYTOPATH FLUID SMEAR,$272.00,,,,,,,,
Lab Services,HC CYTOPATH PAP SMEAR THIN,$77.00,,,,,,,,
Lab Services,HC CYTOPATH SELECTIVE CONCENTRATION,$421.00,,,,,,,,
Lab Services,HC D DIMER,$141.00,,,,,,,,
Lab Services,HC D LACTATE,$26.00,,,,,,,,
Lab Services,HC DECALCIFICATION,$218.00,,,,,,,,
Lab Services,HC DEOXYCORTISOL  11,$115.00,,,,,,,,
Lab Services,HC DESIPRAMINE,$73.00,,,,,,,,
Lab Services,HC DESOXYCORTICOSTEROID,$576.00,,,,,,,,
Lab Services,HC DHEA,$82.00,,,,,,,,
Lab Services,HC DHEA SULFATE DHEA S,$60.00,,,,,,,,
Lab Services,HC DIBUCAINE NUMBER,$94.00,,,,,,,,
Lab Services,HC DIFFERENTIAL ADSORPTION SERUM EA,$920.00,,,,,,,,
Lab Services,HC DIFFERENTIAL MANUAL,$122.00,,,,,,,,
Lab Services,HC DIGOXIN,$51.00,,,,,,,,
Lab Services,HC DIHYDROTESTOSTERONE (DHT) SO,$106.00,,,,,,,,
Lab Services,HC DIHYDROTESTOSTERONE DHT,$106.00,,,,,,,,
Lab Services,HC DILUTE RUSSELL VIPER VENOM DRVVT,$627.00,,,,,,,,
Lab Services,HC DILUTION OF SERUM,$515.00,,,,,,,,
Lab Services,HC DIPHTHERIA ANTIBODY,$135.00,,,,,,,,
Lab Services,HC DIRECT COOMBS DAT,$168.00,,,,,,,,
Lab Services,HC DIRECT O2 SATURATION,$119.00,,,,,,,,
Lab Services,HC DMD/BMD DELETION/DUPLICATION SO,"$2,867.00",,,,,,,,
Lab Services,HC DMPK GENE ANALYSIS CHARACTERIZATION OF ALLELES SO,$0.00,,,,,,,,
Lab Services,HC DMPK GENE ANALYSIS EVALUATION TO DETECT ABNORMAL ALLELES SO,$0.00,,,,,,,,
Lab Services,HC DNA ANTIBODY SINGLE STRANDED SO,$438.00,,,,,,,,
Lab Services,HC DNA DOUBLE STRAND ANTIBODY DNA DS,$246.00,,,,,,,,
Lab Services,HC DNA DOUBLE STRAND ANTIBODY SO,$36.00,,,,,,,,
Lab Services,HC DNA PROBE AMPLIFIED CHLAMYDIA,$91.00,,,,,,,,
Lab Services,HC DNA PROBE AMPLIFIED GONORRHOEAE,$91.00,,,,,,,,
Lab Services,HC DNA PROBE CHLAMYDIA,$47.00,,,,,,,,
Lab Services,HC DNA PROBE GONORRHOEAE GC,$241.00,,,,,,,,
Lab Services,HC DNASE ANTIBODY,$34.00,,,,,,,,
Lab Services,HC DOXEPIN,$110.00,,,,,,,,
Lab Services,"HC DPYD, GENE ANALYSIS, COMMON VARIANT(S)","$1,858.00",,,,,,,,
Lab Services,HC DRUG OR SUBSTANCE DEFINITIVE QUAL QUANT NOS 1-3 SO,$262.00,,,,,,,,
Lab Services,HC DRUG OR SUBSTANCE DEFINITIVE QUAL QUANT NOS 1-3 SO,$262.00,,,,,,,,
Lab Services,HC DRUG QNT NES SPECIAL SO,$802.00,,,,,,,,
Lab Services,HC DRUG QUANTITATIVE,$570.00,,,,,,,,
Lab Services,HC DRUG QUANTITATIVE NES SO,$178.00,,,,,,,,
Lab Services,HC DRUG SCREEN BENZODIAZEPINES 1-12 SO,$111.00,,,,,,,,
Lab Services,HC DRUG SCREENING OPIOIDS AND OPIATE ANALOGS 1 OR 2,$623.00,,,,,,,,
Lab Services,HC DRUG TEST PRSMV CHEM ANLYZER SO,$98.00,,,,,,,,
Lab Services,HC DRUG TEST PRSMV CHEM ANLYZR,$86.00,,,,,,,,
Lab Services,HC DRUG TEST PRSMV DIR OPT OBS,$82.00,,,,,,,,
Lab Services,HC DRUG TESTPRSMV CHEM ANLYZR SO OSU,$388.00,,,,,,,,
Lab Services,HC DRUG/SUBSTANCE NOS 7/MORE,$385.00,,,,,,,,
Lab Services,HC EBV EARLY ANTIGEN,$87.00,,,,,,,,
Lab Services,HC EBV NUCLEAR ANTIGEN EBNA,$170.00,,,,,,,,
Lab Services,HC EBV VIRAL CAPSID VCA,$104.00,,,,,,,,
Lab Services,HC EGFR GENE COM VARIANTS,"$3,030.00",,,,,,,,
Lab Services,HC EHRLICHIA ANTIBODY,$219.00,,,,,,,,
Lab Services,HC ELECTROLYTE PANEL,$32.00,,,,,,,,
Lab Services,HC ELECTRON MICROSCOPY DIAGNOSTIC,"$3,440.00",,,,,,,,
Lab Services,HC ELECTROPHORESIS NES,"$1,112.00",,,,,,,,
Lab Services,HC ENA ANTIBODIES EACH SO,$13.00,,,,,,,,
Lab Services,HC ENA SCREEN,$171.00,,,,,,,,
Lab Services,HC ENCEPHALITIS CALIFORNIA ANTIBODY SO,$69.00,,,,,,,,
Lab Services,HC ENCEPHALITIS EASTERN EQUINE ANTIB SO,$69.00,,,,,,,,
Lab Services,HC ENCEPHALITIS WESTERN EQUINE ANTIB SO,$69.00,,,,,,,,
Lab Services,HC ENTAMOEBA HISTOLYTICA ANTGN FECES,$244.00,,,,,,,,
Lab Services,HC ENTEROVIRUS AMP PROBE PANEL,$91.00,,,,,,,,
Lab Services,HC ENTEROVIRUS ANTIBODY,$191.00,,,,,,,,
Lab Services,HC ENTEROVIRUS ANTIBODY SO,$231.00,,,,,,,,
Lab Services,HC ENTEROVIRUS BY PCR AMPLIFIED PROB SENDOUT,$180.00,,,,,,,,
Lab Services,HC ENZYME ACT BLOOD CELL TISS NON RAD NES EA SPEC,$466.00,,,,,,,,
Lab Services,HC ENZYME ACT BLOOD CELL TISS NON RAD NES EA SPEC SO,$223.00,,,,,,,,
Lab Services,HC ENZYME HISTOCHEMISTRY,$397.00,,,,,,,,
Lab Services,HC ERYTHROPOIETIN,$61.00,,,,,,,,
Lab Services,HC ESTRADIOL,$38.00,,,,,,,,
