Facility,Description,Unit Price
Cooper University Hospital,CREATININE*, $42.00 
Cooper University Hospital,"CREATININE,URINE", $18.00 
Cooper University Hospital,CRICOTHYROTOMY," $2,431.00 "
Cooper University Hospital,CRITICAL CARE 1HR," $2,899.00 "
Cooper University Hospital,CRITICAL CARE ADD 30 MIN," $2,291.00 "
Cooper University Hospital,CRP, $69.00 
Cooper University Hospital,CRP HIGH SENSITIVITY (HSCRP), $74.00 
Cooper University Hospital,CRTJ ARVEN FSTL XCP DIR ARVEN ANAST AUTOG GRF," $19,140.00 "
Cooper University Hospital,CRYO (1) ARC PROC, $436.00 
Cooper University Hospital,CRYOGLOBULIN, $51.00 
Cooper University Hospital,CRYPTO AG DETECTION, $60.00 
Cooper University Hospital,CRYPTOCOCCAL AG, $39.00 
Cooper University Hospital,CRYPTOCOCCAL AG BLOOD, $239.00 
Cooper University Hospital,CRYPTOCOCCAL AG CSF QUAL, $239.00 
Cooper University Hospital,CRYPTOCOCCAL AG CSF QUANT, $266.00 
Cooper University Hospital,"CRYPTOCOCCAL AG, TITER", $157.00 
Cooper University Hospital,CRYSTALS, $152.00 
Cooper University Hospital,CSF CELL COUNT, $136.00 
Cooper University Hospital,CSF SHUNT EVALUATION," $1,021.00 "
Cooper University Hospital,CSF3R MUTATION ANALYSIS," $1,260.00 "
Cooper University Hospital,CT ABD & PELVIS WO & W CONTRAS," $3,615.00 "
Cooper University Hospital,CT ABD & PELVIS WO CONTRAST," $2,987.00 "
Cooper University Hospital,CT ABDOMEN & PELVIS W CONTRAST," $3,286.00 "
Cooper University Hospital,CT ABDOMEN W & WO CONTRAST," $2,437.00 "
Cooper University Hospital,CT ABDOMEN WITH CONTRAST," $2,216.00 "
Cooper University Hospital,CT ABDOMEN WO CONTRAST," $2,014.00 "
Cooper University Hospital,CT ANGIO ABD & PELVIS W CONTRA," $2,185.00 "
Cooper University Hospital,CT ANGIO ABD AORTA W RUNOFF," $4,065.00 "
Cooper University Hospital,CT ANGIO ABD AORTA WITH RUNOFF," $4,782.00 "
Cooper University Hospital,CT ANGIO ABDOMEN WITH CONTRAST," $3,644.00 "
Cooper University Hospital,CT ANGIO CHEST WO & W CONTRAST," $3,101.00 "
Cooper University Hospital,CT ANGIO HEAD WO & W CONTRAST," $3,465.00 "
Cooper University Hospital,CT ANGIO LOW EXT W CONTRAST," $2,332.00 "
Cooper University Hospital,CT ANGIO LOW EXT WO & W CON," $2,848.00 "
Cooper University Hospital,CT ANGIO NECK WO & W CONTRAST," $3,411.00 "
Cooper University Hospital,CT ANGIO PELVIS WO & W CONTRAS," $3,392.00 "
Cooper University Hospital,CT ANGIO UP EXT WO&W CONTRST," $3,256.00 "
Cooper University Hospital,CT BIPOSY SOFT TISS THIGH/KNEE," $2,876.00 "
Cooper University Hospital,CT CEREBRAL PERFUSION W CONTRA," $4,823.00 "
Cooper University Hospital,CT CERVICAL SPINE W CONTRAST," $2,674.00 "
Cooper University Hospital,CT CERVICAL SPINE WO & W CONTR," $2,942.00 "
Cooper University Hospital,CT CERVICAL SPINE WO CONTRAST," $2,431.00 "
Cooper University Hospital,CT CHEST SCREENING, $104.00 
Cooper University Hospital,CT CHEST WITH CONTRAST," $2,462.00 "
Cooper University Hospital,CT CHEST WO & WITH CONTRAST," $2,708.00 "
Cooper University Hospital,CT CHEST WO CONTRAST," $2,239.00 "
Cooper University Hospital,CT COLONOGRAPHY WITH CONTRAST," $1,526.00 "
Cooper University Hospital,CT COLONOGRAPHY WO CONTRAST," $1,002.00 "
Cooper University Hospital,CT GUIDANCE STEREOTACTIC LOCAL," $2,550.00 "
Cooper University Hospital,CT GUIDE CRYOABLATION 1> LIVER," $19,394.00 "
Cooper University Hospital,CT GUIDE NEEDLE PLACEMENT," $2,438.00 "
Cooper University Hospital,CT GUIDE TISSUE ABLATION," $1,210.00 "
Cooper University Hospital,CT HEAD OR BRAIN WITH CONTRAST," $2,177.00 "
Cooper University Hospital,CT HEAD OR BRAIN WO CONTRAST," $1,980.00 "
Cooper University Hospital,CT HEAD OR BRAIN WO FOL WITH," $2,395.00 "
Cooper University Hospital,CT LIMITED OR LOCALIZED F/U, $563.00 
Cooper University Hospital,CT LOW DOSE FOR LUNG CA, $430.00 
Cooper University Hospital,CT LOWER EXT WO & W CONTRAST," $2,896.00 "
Cooper University Hospital,CT LOWER EXTREM W CONTRAST," $2,239.00 "
Cooper University Hospital,CT LOWER EXTREM WO CONTRAST," $2,394.00 "
Cooper University Hospital,CT LUMBAR SPINE WITH CONTRAST," $2,779.00 "
Cooper University Hospital,CT LUMBAR SPINE WO CONTRAST," $2,526.00 "
Cooper University Hospital,CT LUMBAR SPINE WO&W CONTRAST," $3,057.00 "
Cooper University Hospital,CT LWR EXT JOINT BILAT WO & W," $4,246.00 "
Cooper University Hospital,CT LWR EXT W/O CONTRAST," $2,035.00 "
Cooper University Hospital,CT MAXILLOFACIAL WITH CONTRAST," $2,400.00 "
Cooper University Hospital,CT MAXILLOFACIAL WO & WITH CON," $2,640.00 "
Cooper University Hospital,CT MAXILLOFACIAL WO CONTRAST," $2,183.00 "
Cooper University Hospital,CT ORB SELL P FOSSA IAC W CONT," $2,162.00 "
Cooper University Hospital,CT ORB SELL P FOSSA IAC WO CON," $1,965.00 "
Cooper University Hospital,CT ORB SELL P FOSSA WO & WITH," $2,377.00 "
Cooper University Hospital,CT PELVIS WITH CONTRAST," $2,460.00 "
Cooper University Hospital,CT PELVIS WO & W CONTRAST," $2,706.00 "
Cooper University Hospital,CT PELVIS WO CONTRAST," $2,237.00 "
Cooper University Hospital,CT PET METABOLIC EVALUATION," $6,531.00 "
Cooper University Hospital,CT PET SKULL TO THIGH," $6,801.00 "
Cooper University Hospital,CT PET TUMOR IMAGING LTD," $5,470.00 "
Cooper University Hospital,CT PLACE FIDUCIAL ANY APPROACH," $4,909.00 "
Cooper University Hospital,CT PROCEDURE UNLISTED NERVOUS SYS, $779.00 
Cooper University Hospital,CT SCAN/THERAPY GUIDANCE," $1,721.00 "
Cooper University Hospital,CT SOFT TISSUE NECK W CONTRAST," $2,448.00 "
Cooper University Hospital,CT SOFT TISSUE NECK WO & W CON," $2,693.00 "
Cooper University Hospital,CT SOFT TISSUE NECK WO CONTRAS," $2,024.00 "
Cooper University Hospital,CT THORACIC SPINE W CONTRAST," $2,712.00 "
Cooper University Hospital,CT THORACIC SPINE WO & W CONTR," $2,983.00 "
Cooper University Hospital,CT THORACIC SPINE WO CONTRAST," $2,465.00 "
Cooper University Hospital,CT UNLISTED PROCEDURE, $563.00 
Cooper University Hospital,CT UP EXTREM WO & W CONTRAST," $2,218.00 "
Cooper University Hospital,CT UP EXTREM WO&W CONTRAST," $3,830.00 "
Cooper University Hospital,CT UPPER EXTREM W CONTRAST," $2,960.00 "
Cooper University Hospital,CT UPPER EXTREM WO CONTRAST," $2,691.00 "
Cooper University Hospital,CTA ABD AORTA W RUNOFF," $4,782.00 "
Cooper University Hospital,CTA CARDIAC STRUCTURE 3D IMAGE," $2,377.00 "
Cooper University Hospital,CTA HRT W CONTRAST & 3D CONGEN," $1,175.00 "
Cooper University Hospital,CTA HRT W CONTRAST W CALCIUM," $1,175.00 "
Cooper University Hospital,CTA HRT WO CONTRAST W CALCIUM, $167.00 
Cooper University Hospital,CTRL OROPHARYNGEAL HEMORRHAGE COMP REQ HOSPITJ," $1,768.00 "
Cooper University Hospital,CULTURE AEROBIC*, $329.00 
Cooper University Hospital,CULTURE ANAEROBIC*, $192.00 
Cooper University Hospital,CULTURE FUNGI ISOLATION*, $158.00 
Cooper University Hospital,"CULTURE TYPING,IMMUNOFLUOR", $21.00 
Cooper University Hospital,"CULTURE, FUNGUS BLOOD", $125.00 
Cooper University Hospital,"CULTURE, MYCOBACTERIA", $232.00 
Cooper University Hospital,"CULTURE,CHLAMYDIA", $63.00 
Cooper University Hospital,"CULTURE,SCREEN FOR PATHOGENS", $258.00 
Cooper University Hospital,CUSTOM CATH PACK, $201.00 
Cooper University Hospital,CUTTER SUT SURECUT," $1,680.00 "
Cooper University Hospital,CUTTING BALLOON," $6,202.00 "
Cooper University Hospital,CV2 ANTIBODY, $964.00 
Cooper University Hospital,CXCR4 MUTATION ANALYSIS," $1,474.00 "
Cooper University Hospital,CYANIDE, $261.00 
Cooper University Hospital,"CYCLIC CITRULLINA PEPTIDE CCP,", $48.00 
Cooper University Hospital,CYCLOBENZAPRINE, $198.00 
Cooper University Hospital,CYCLOSPORINE," $1,789.00 "
Cooper University Hospital,CYCS CNV DETECTION - PG, $155.00 
Cooper University Hospital,CYCS SEQUENCING - PG, $155.00 
Cooper University Hospital,CYP2C19 GENOTYPE," $1,890.00 "
Cooper University Hospital,CYP2C9 GENE ANALYSIS, $851.00 
Cooper University Hospital,CYROSURGERY CERVIX," $1,240.00 "
Cooper University Hospital,CYST/COMPLEX OR MULTIPLE, $871.00 
Cooper University Hospital,CYSTATIN C, $281.00 
Cooper University Hospital,CYSTIC FIBROSIS ANALYSIS PLUS," $3,360.00 "
Cooper University Hospital,CYSTIC FIBROSIS TM GENE ANALYS," $1,041.00 "
Cooper University Hospital,CYSTIC FIBROSIS TM GENE ANALYS CS," $1,041.00 "
Cooper University Hospital,CYSTICERCUS ANTIBODY, $196.00 
Cooper University Hospital,CYSTO F/URTL STRIX/STENOSIS," $7,109.00 "
Cooper University Hospital,CYSTOGRAM MIN 3 VIEWS," $1,102.00 "
Cooper University Hospital,CYSTOMETROGRAM COMPLEX W/URET," $2,356.00 "
Cooper University Hospital,CYSTOSCOPY WITH STENT REMOVAL," $4,653.00 "
Cooper University Hospital,CYSTOSTOMY CYSTOTOMY W/DRAINAGE," $7,610.00 "
Cooper University Hospital,CYSTOURETHROSCOPY," $9,806.00 "
Cooper University Hospital,CYSTOURETHROSCOPY(SEP PROCD)," $2,709.00 "
Cooper University Hospital,CYTO - DECALS, $159.00 
Cooper University Hospital,CYTOMEGALO VIRUS AB, $160.00 
Cooper University Hospital,CYTOPATH C/V AUTO IN FLUID, $123.00 
Cooper University Hospital,DAT C3D, $51.00 
Cooper University Hospital,"DAT, ANTI-IGG", $52.00 
Cooper University Hospital,"DAT, POLYSPECIFIC", $52.00 
Cooper University Hospital,DBRDMT W/RMVL FM FX&/DISLC SKIN&SUBQ TISSUS," $2,447.00 "
Cooper University Hospital,DDI DIAGNOSTIC MAMMO BILATERAL," $2,208.00 "
Cooper University Hospital,DDI DIAGNOSTIC MAMMO UNILATERA," $1,397.00 "
Cooper University Hospital,DDI SCREENING MAMMO BILATERAL," $1,916.00 "
Cooper University Hospital,D-DIMER, $53.00 
Cooper University Hospital,DEBRIDE BONE MUSCLE &/FASCIA 20 SQ CMOR LESS," $4,771.00 "
Cooper University Hospital,DEBRIDE BONE/MUSCLE EACH ADDITIONAL 20 SQ CM, $456.00 
Cooper University Hospital,DEBRIDE INF SKIN 10%BODY SURFA, $489.00 
Cooper University Hospital,DEBRIDEMENT NAIL ANY METHOD 6/>, $251.00 
Cooper University Hospital,DEBRIDEMENT OF NAIL(S) UP TO 5, $201.00 
Cooper University Hospital,DEBRIDEMENT SKIN & SUBQ TISSUE," $1,085.00 "
Cooper University Hospital,DECLOTTING W/THROMBOLYTICAGENT, $723.00 
Cooper University Hospital,DEFIBR MRI USDF1 CRTD CLARIA," $65,100.00 "
Cooper University Hospital,DEFIBR MRI USDF4 CRTD CLARIA," $67,200.00 "
Cooper University Hospital,DEFIBR QUAD USDF1 CRTD CLARIA," $65,100.00 "
Cooper University Hospital,DEFIBR QUAD USDF4 CRTD CLARIA," $67,200.00 "
Cooper University Hospital,DENTAL SURGERY PROCEDURE TOOTH EXTRACTION UNLIST, $681.00 
Cooper University Hospital,DEOXYRIBONUCLEASE ANTIBODY, $116.00 
Cooper University Hospital,DERMABOND TOPICAL SKIN ADHESIV, $121.00 
Cooper University Hospital,DESIGN MLC DEVICE FOR IMRT," $3,251.00 "
Cooper University Hospital,DESIPRAMINE, $205.00 
Cooper University Hospital,DEST NEURO AGT CER/THOR EA ADD, $983.00 
Cooper University Hospital,DEST NEURO AGT CER/THOR SING J," $5,315.00 "
Cooper University Hospital,DEST NEURO AGT LMBR/SAC EA ADD, $345.00 
Cooper University Hospital,DEST NEURO AGT LMBR/SAC SNG JO," $4,838.00 "
Cooper University Hospital,DEST NEUROLYTIC AGENT PERIPHER," $2,054.00 "
Cooper University Hospital,DEST NEUROLYTIC INTERCOSTAL," $2,655.00 "
Cooper University Hospital,DESTRUCT LESION VULVA SIMPLE," $8,199.00 "
Cooper University Hospital,DESTRUCT NERVE FACE MUSCLE, $902.00 
Cooper University Hospital,"DESTRUCT NEURO AGENT,TRIGEM NR"," $4,060.00 "
Cooper University Hospital,DESTRUCTION BENIGN LESIONS UP TO 14, $696.00 
Cooper University Hospital,DESTRUCTION CUTANEOUS VASC PROLIFERATIVE <10CM," $1,534.00 "
Cooper University Hospital,DESTRUCTION HYPOGASTRIC PLEXUS," $3,969.00 "
Cooper University Hospital,DESTRUCTION MAL LESION TRUNK/ARM/LEG > 4.0 CM," $1,395.00 "
Cooper University Hospital,DESTRUCTION MAL LESION TRUNK/ARM/LEG 0.6-1.0 CM, $758.00 
Cooper University Hospital,DESTRUCTION MAL LESION TRUNK/ARM/LEG 1.1-2.0CM, $758.00 
Cooper University Hospital,DESTRUCTION MAL LESION TRUNK/ARM/LEG 2.1-3.0CM, $758.00 
Cooper University Hospital,DESTRUCTION MAL LESION TRUNK/ARM/LEG 3.1-4.0CM," $1,395.00 "
Cooper University Hospital,DESTRUCTION MALIGNANT LESION S/N/H/F/G 0.5 CM/>, $758.00 
Cooper University Hospital,DESTRUCTION MALIGNANT LESION S/N/H/F/G 0.6-1.0CM, $758.00 
Cooper University Hospital,DESTRUCTION MALIGNANT LESION S/N/H/F/G 1.1-2.0CM, $758.00 
Cooper University Hospital,DESTRUCTION MALIGNANT LESION S/N/H/F/G 2.1-3.0CM," $1,395.00 "
Cooper University Hospital,DESTRUCTION MALIGNANT LESION S/N/H/F/G 3.1-4.0CM," $1,395.00 "
Cooper University Hospital,DESTRUCTION MALIGNANT LESION T/A/L 0.5 CM/<, $758.00 
Cooper University Hospital,DESTRUCTION OF LESION PENIS," $6,336.00 "
Cooper University Hospital,DESTRUCTION PREMALIGNANT LESION 15/>, $758.00 
Cooper University Hospital,DESTRUCTION PREMALIGNANT LESION 1ST, $758.00 
Cooper University Hospital,DESTRUCTION PREMALIGNANT LESION 2-14 EA, $758.00 
Cooper University Hospital,DEVICE CLOSURE 6F EXOSEAL, $974.00 
Cooper University Hospital,DEVICE SUT LARIAT DELIVERY SYS," $20,664.00 "
Cooper University Hospital,DEVICE SUT TIGHTENER TENSURE," $4,200.00 "
Cooper University Hospital,DEVICE/ITEM PROCEDURAL, $2.00 
Cooper University Hospital,DEXAMETHASONE, $333.00 
Cooper University Hospital,DEXAMETHASONE 10MG/ML 1ML INJ, $15.00 
Cooper University Hospital,DEXAMETHASONE 1MG INJ, $1.00 
Cooper University Hospital,DEXAMETHASONE 2MG TAB, $10.00 
Cooper University Hospital,DEXAMETHASONE 4MG TAB, $6.00 
Cooper University Hospital,DEXAMETHASONE 4MG/ML 1ML INJ, $10.00 
Cooper University Hospital,DEXTROSE 50% 25GM JECT, $21.00 
Cooper University Hospital,DHEAS, $177.00 
Cooper University Hospital,DIAG DIG BREAST TOMOSYNTHESIS, $213.00 
Cooper University Hospital,DIAGNOSTIC BONE MARROW BIOPSIES & ASPIRATIONS," $6,050.00 "
Cooper University Hospital,DIAGNOSTIC CATHETER, $250.00 
Cooper University Hospital,DIAGNOSTIC GUIDE WIRE, $59.00 
Cooper University Hospital,DIAGNOSTIC SHEATH, $59.00 
Cooper University Hospital,DIALYIS CIRCUIT VASC EMBOLI OCCLS EVASC IMG S&I," $2,406.00 "
Cooper University Hospital,DIALYSIS SHUNT EA, $829.00 
Cooper University Hospital,DIALYSIS SHUNT INITIAL," $1,663.00 "
Cooper University Hospital,DIAPHRAGM OR CERV CAP FITTING, $546.00 
Cooper University Hospital,DIAZEPAM 10MG/2ML INJ, $30.00 
Cooper University Hospital,DIAZEPAM 5MG TAB, $6.00 
Cooper University Hospital,DIAZEPAM AND METABOLITE, $311.00 
Cooper University Hospital,DIBUCAINE NUMBER, $112.00 
Cooper University Hospital,DIFFERENTIAL, $24.00 
Cooper University Hospital,DIFFUSION STUDIES," $1,134.00 "
Cooper University Hospital,DIGOXIN, $134.00 
Cooper University Hospital,DIGOXIN 0.5MG/2ML INJ, $14.00 
Cooper University Hospital,DIHYD DEHYD (DPD)GENE ANALYSIS," $1,040.00 "
Cooper University Hospital,DIHYDROTESTOSTERONE, $156.00 
Cooper University Hospital,DILAT URETHRAL STRIX DILATOR MALE 1ST," $1,030.00 "
Cooper University Hospital,DILATE BILIARY DUCT/AMULLA," $8,065.00 "
Cooper University Hospital,DILATION BALLOON 1OR STRICTURE," $5,478.00 "
Cooper University Hospital,DILATION OF ESOPHAGUS," $4,233.00 "
Cooper University Hospital,DILATION OF URETH FEMALE INT, $537.00 
Cooper University Hospital,"DILATOR VISISHEATH S,M OR LG"," $1,013.00 "
Cooper University Hospital,DILTIAZEM 25MG/5ML INJ, $49.00 
Cooper University Hospital,DIPHENHYDRAMINE 25MG CAP, $6.00 
Cooper University Hospital,DIPHENHYDRAMINE 25MG/10ML ELIX, $18.00 
Cooper University Hospital,DIPHENHYDRAMINE 50MG/ML 1MLINJ, $14.00 
Cooper University Hospital,DIPTHERIA AB, $456.00 
Cooper University Hospital,DIRECT COOMBS EACH*, $48.00 
Cooper University Hospital,"DISACCHARIDASE, TISSUE", $143.00 
Cooper University Hospital,DISCONTINUED POST-ANES 30 MIN," $1,929.00 "
Cooper University Hospital,DISCONTINUED PRE-ANES 30 MIN," $1,929.00 "
Cooper University Hospital,DISOPYRAMIDE, $419.00 
Cooper University Hospital,"DIURETICS SCREEN, URINE", $68.00 
Cooper University Hospital,DMPK GENE TYPE 1 GENE ANALYSIS," $1,764.00 "
Cooper University Hospital,DOBUTAMINE 500MG/250ML D5W, $67.00 
Cooper University Hospital,DOPAMINE 400MG/5ML INJ, $10.00 
Cooper University Hospital,DOPPLER ECHO LIMITED OR FU," $2,388.00 "
Cooper University Hospital,DOXEPIN BATTERY, $247.00 
Cooper University Hospital,DPYD GENE ANALYSIS, $785.00 
Cooper University Hospital,DRAIN ABSCESS/CYST MOUTH SIMPL, $612.00 
Cooper University Hospital,DRAIN SPINAL CORD CYST," $2,901.00 "
Cooper University Hospital,DRAINAGE ABSCESS PALATE UVULA, $801.00 
Cooper University Hospital,DRAINAGE EXTERNAL AUDITORY CANAL ABSCESS," $2,447.00 "
Cooper University Hospital,DRAINAGE EXTERNAL EAR ABSCESS/HEMATOMA CMPLX," $6,050.00 "
Cooper University Hospital,DRAINAGE EXTERNAL EAR ABSCESS/HEMATOMA SIMPLE," $2,202.00 "
Cooper University Hospital,DRAINAGE FINGER ABSCESS COMPLICATED," $5,052.00 "
Cooper University Hospital,DRAINAGE FINGER ABSCESS SIMPLE, $626.00 
Cooper University Hospital,DRAINAGE SCROTAL WALL ABSCESS," $5,052.00 "
Cooper University Hospital,DRESS/DEBRID P-THICK BURN M, $592.00 
Cooper University Hospital,DRESSING CHANGE UNDER ANESTHES, $522.00 
Cooper University Hospital,DRG ABSC CST HMTMA FROM DENTOALVEOLAR STRUXS, $409.00 
Cooper University Hospital,DRG ABSC CST HMTMA VESTIBULE MOUTH COMP," $2,064.00 "
Cooper University Hospital,DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ LARGE," $1,424.00 "
Cooper University Hospital,DRS&/DBRDMT PRTL-THKNS BURNS 1ST/SBSQ SMALL, $644.00 
Cooper University Hospital,DRUG ABUSE PAN WCONF (QUEST), $229.00 
Cooper University Hospital,DRUG ELUTING STENT CORONARY AB," $9,037.00 "
Cooper University Hospital,"DRUG METHOD, EACH", $74.00 
Cooper University Hospital,"DRUG OF ABUSE SCREEN, SERUM", $273.00 
Cooper University Hospital,DRUG SCREEN TO ADL, $357.00 
Cooper University Hospital,DRUG SCREEN-PAIN MGMT, $318.00 
Cooper University Hospital,"DRUG,NOT OTH SPEC 7 OR MORE", $567.00 
Cooper University Hospital,DRVVT CONFIRMATION, $34.00 
Cooper University Hospital,DSDNA ANTIBODIES, $43.00 
Cooper University Hospital,DSTRJ MAL LESION S/N/H/F/G LESION DIAM > 4.0 CM," $1,395.00 "
Cooper University Hospital,DUP SCAN ABD ART/VEIN COMPLETE, $761.00 
Cooper University Hospital,DUP SCAN ABD ART/VEIN LIMITED, $805.00 
Cooper University Hospital,DUP SCAN LWR EXTREM ART BILAT, $844.00 
Cooper University Hospital,DUPLEX SCAN ART EXTREMITY BILA, $517.00 
Cooper University Hospital,DUPLEX SCAN DIALYSIS GRAFT, $773.00 
Cooper University Hospital,DUPLEX SCAN PENILE COMPLETE, $676.00 
Cooper University Hospital,DUPLEX SCAN VEIN EXTREM BILAT," $1,060.00 "
Cooper University Hospital,DUPLEX SCAN VEIN EXTREM UNILAT," $2,324.00 "
Cooper University Hospital,DUP-SCAN ARTL INFL&VEN O/F PEN VSL F-UP/LMTD STD, $565.00 
Cooper University Hospital,DX BONE MARROW BX & ASPIR," $6,050.00 "
Cooper University Hospital,DX MAMMO INCL CAD BI," $1,706.00 "
Cooper University Hospital,DX MAMMO INCL CAD UNI," $1,080.00 "
Cooper University Hospital,DYSPHAGIA EVALUATION, $380.00 
Cooper University Hospital,DYSPHAGIA THERAPY, $452.00 
Cooper University Hospital,E.R.C.P. WITH PAPILLATOME," $8,644.00 "
Cooper University Hospital,EBUS DURING BRONCHOSCOPIC," $2,101.00 "
Cooper University Hospital,EBV EARLY ANTIGEN D IGG AB, $31.00 
Cooper University Hospital,EBV EARLY ANTIGEN IGG AB, $131.00 
Cooper University Hospital,EBV NUCLEAR ANTIGEN IGG AB, $203.00 
Cooper University Hospital,EBV VIRAL CAPSID AG IGG AB, $131.00 
Cooper University Hospital,EBV VIRAL CAPSID AG IGM AB, $131.00 
Cooper University Hospital,EBV VIRAL CAPSID IGG AB, $23.00 
Cooper University Hospital,ECHINOCOCCUS AB, $210.00 
Cooper University Hospital,ECHO 2D W/WO M-MODE," $2,181.00 "
Cooper University Hospital,ECHO CONGENITAL ANOM COMPLETE," $2,571.00 "
Cooper University Hospital,ECHO CONGENITAL ANOMALY LIMITD," $2,470.00 "
Cooper University Hospital,"ECHO GUIDE, CARDIOCENTESIS", $360.00 
Cooper University Hospital,ECHO TRANSESOPHAGEAL TEE, $966.00 
Cooper University Hospital,ECHOENCEPHALOGRAPHY HEAD, $767.00 
Cooper University Hospital,ECHOVIRUS AB, $38.00 
Cooper University Hospital,ECT," $1,704.00 "
Cooper University Hospital,ED/TRAUMA VISIT LEVEL FIVE," $2,483.00 "
Cooper University Hospital,ED/TRAUMA VISIT LEVEL FOUR," $1,885.00 "
Cooper University Hospital,ED/TRAUMA VISIT LEVEL ONE, $879.00 
Cooper University Hospital,ED/TRAUMA VISIT LEVEL THREE," $1,132.00 "
Cooper University Hospital,ED/TRAUMA VISIT LEVEL TWO, $936.00 
Cooper University Hospital,EEG - BEDSIDE," $1,377.00 "
Cooper University Hospital,EEG - ROUTINE," $1,359.00 "
Cooper University Hospital,EEG - SLEEP," $1,420.00 "
Cooper University Hospital,EEG DURING SURGERY," $15,042.00 "
Cooper University Hospital,EEG LONG TERM MONITOR EA 24 HR," $4,217.00 "
Cooper University Hospital,"EGD FLEX, TRNSOR FUNDOPLASTY"," $16,225.00 "
Cooper University Hospital,"EGD FLEX,TRNSOR W/ABAL GERD"," $9,069.00 "
Cooper University Hospital,"EGD FLEX,TRNSOR W/ABLATION PP"," $4,792.00 "
Cooper University Hospital,"EGD FLEX,TRNSOR W/BAL 30MM>"," $4,792.00 "
Cooper University Hospital,"EGD FLEX,TRNSOR W/STENT PP GW"," $10,944.00 "
Cooper University Hospital,"EGD FLEX,TRNSOR W/US GD INJ OF"," $5,279.00 "
Cooper University Hospital,EGD TRANSORAL TRANSMURAL DRAINAGE PSEUDOCYST," $12,312.00 "
Cooper University Hospital,EGD W SCLERO INJ/GASTRIC VARIC," $3,903.00 "
Cooper University Hospital,EGD W/ ULTRASOUND," $4,233.00 "
Cooper University Hospital,EGD W/BALLOON DILATION <30MM," $3,622.00 "
Cooper University Hospital,EGD W/ENDOSCOPIC US ESOPHAGUS," $5,279.00 "
Cooper University Hospital,EGD W/INSERTION VIDEO CAPSULE," $3,750.00 "
Cooper University Hospital,EGD WITH CONTROL OF BLEEDING," $3,903.00 "
Cooper University Hospital,EGD WITH TUBE PLACEMENT (DOBHO," $2,584.00 "
Cooper University Hospital,"EGD,FLEX TRNSOR W/ENDO MUC RES"," $3,494.00 "
Cooper University Hospital,"EGD,FLEX TRNSORAL US NEEDLE BX"," $5,279.00 "
Cooper University Hospital,EGFR GENE ANALYSIS," $1,512.00 "
Cooper University Hospital,EGFR GENE ANALYSIS AP," $1,426.00 "
Cooper University Hospital,"EGY FLEX,TRNSOR DX W/STENT"," $10,944.00 "
Cooper University Hospital,"EGY FLEX,TRNSOR W/ABLATION"," $8,776.00 "
Cooper University Hospital,"EGY FLEX,TRNSOR W/ENDO MUC RES"," $3,176.00 "
Cooper University Hospital,"EGY,FLEX,TRNSOR W/BX SING MULT"," $3,176.00 "
Cooper University Hospital,EHRLICHIA CHAF IGG AB, $124.00 
Cooper University Hospital,EHRLICHIA CHAF IGM AB, $124.00 
Cooper University Hospital,"EHRLICHIA CHAFFEENSIS DNA, PCR", $757.00 
Cooper University Hospital,EKG 12LEAD TRACING ONLY, $235.00 
Cooper University Hospital,EKG SIGNAL AVERAGE, $742.00 
Cooper University Hospital,ELEC ALYS NSTIM PLS GEN SMPL SC/PERPH W/PRGRMG, $517.00 
Cooper University Hospital,ELEC ANLYS IMPLT ITHCL/EDRL PMP W/REPR PHYS/QHP," $1,175.00 "
Cooper University Hospital,ELECTR STIM UNATTEND WOUND CARE, $191.00 
Cooper University Hospital,ELECTRIC STIM GUIDANCE FOR CHEMODENERV, $255.00 
Cooper University Hospital,ELECTRICAL STIM UNATTENDED, $191.00 
Cooper University Hospital,ELECTRICAL STIMULATION ATTEND, $216.00 
Cooper University Hospital,ELECTROCORTICOGRAM @ SURGERY, $399.00 
Cooper University Hospital,ELECTRODE BIPOL BAL PACING, $977.00 
Cooper University Hospital,ELECTRODE Q TRAK," $15,746.00 "
Cooper University Hospital,ELECTROLYTES, $44.00 
Cooper University Hospital,ELECTRON MICROSCOPY, $848.00 
Cooper University Hospital,ELECTRON MICROSCOPY - UPMC," $1,202.00 "
Cooper University Hospital,ELECTRON MICROSCOPY-COLUMBIA," $2,013.00 "
Cooper University Hospital,ELECTRONIC CROSSMATCH, $138.00 
Cooper University Hospital,ELECTRONIS ANAL DC W/REPROG, $765.00 
Cooper University Hospital,ELECTROPHORETIC TECHNIQUE, $222.00 
Cooper University Hospital,ELUATE ABY SCREEN, $341.00 
Cooper University Hospital,EMBEDDED INTRAPERI CATH EXIT S," $5,518.00 "
Cooper University Hospital,EMBLC/THRMBC AX BRACH INNOMINATE SUBCLA ART," $17,812.00 "
Cooper University Hospital,EMBLC/THRMBC FEMORAL POPLITEAL AORTO-ILIAC ART," $16,431.00 "
Cooper University Hospital,EMBOSHIELD PK W/BARE IGW," $7,856.00 "
Cooper University Hospital,EMERGENT DELIVERY-PLACENTA," $4,360.00 "
Cooper University Hospital,EMG ANAL URETHRAL SPHINCT ANY, $413.00 
Cooper University Hospital,EMG COMPLETE, $396.00 
Cooper University Hospital,EMG LIMITED, $396.00 
Cooper University Hospital,EMG NON EXTREMITY W NERVE COND, $250.00 
Cooper University Hospital,EMG ONE EXTREMITY, $914.00 
