DESCRIPTION,CHARGE
COMPONENT FEM #4 RT TRIATH PS,"7,997"
COMPONENT FEM 4RT CR 5510F402,"7,997"
COMPONENT FEM AUG SZ3 12MM 960870,"4,158"
COMPONENT FEM LEGACY SIZE F LEFT,"12,896"
COMPONENT FEM LEGION SZ8 71421178,"31,006"
COMPONENT FEM NEXSZ2RT00592601202,"37,063"
COMPONENT FEM P.S TRIATH #7 RIGHT,"7,997"
COMPONENT FEM SIGMA SZ1.5 960085,"24,297"
COMPONENT FEM SZ1 LFT TS 5512F101,"35,421"
COMPONENT FEM TRIATH 5010F301,"7,997"
COMPONENT FEM TRIATH SZ6 5510F601,"7,997"
COMPONENT FEM TRIATH SZ6 5510F602,"7,997"
COMPONENT FEMORAL #2 LEFT CEMENTE,"7,997"
COMPONENT FEMORAL #2 RIGHT CEMENT,"7,997"
COMPONENT FEMORAL #2 RT -TRIATH,"7,997"
COMPONENT FEMORAL #4 TRIATH PS,"7,997"
COMPONENT FEMORAL #5 TRIATH PS,"7,997"
COMPONENT FEMORAL 65MM/61MM,"26,321"
COMPONENT FEMORAL 66MM/ML 61MM LT,"23,504"
COMPONENT FEMORAL CR #1 LFT CEMEN,"7,997"
COMPONENT FEMORAL GMRS PROXIMAL S,"37,790"
COMPONENT FEMORAL NEXGEN SZ D RT,"33,422"
COMPONENT FEMORAL NEXGEN SZ G LFT,"33,413"
COMPONENT FEMORAL PS #7 LEFT TRI,"7,997"
COMPONENT FEMORAL PS TRIATH #8 RT,"7,997"
COMPONENT FEMORAL SIZE E RIGHT,"33,413"
COMPONENT FEMORAL SIZE F LEFT,"12,247"
COMPONENT FEMORAL STND (71357009),"13,153"
COMPONENT FEMORAL SZ (5512-F-602),"33,734"
COMPONENT FEMORAL SZ 2 LT TS,"33,734"
COMPONENT FEMORAL SZ 3 LT TS,"33,734"
COMPONENT FEMORAL SZ 3 RT TS,"33,734"
COMPONENT FEMORAL SZ 4 LT,"33,734"
COMPONENT FEMORAL SZ 5 LT TS,"33,734"
COMPONENT FEMORAL SZ D LT NEXGET,"12,896"
COMPONENT FEMORAL SZ D RT NEXGEN,"12,896"
COMPONENT FEMORAL SZ E LFT LEG,"12,247"
COMPONENT FEMORAL SZ E LFT NEXGEN,"12,896"
COMPONENT FEMORAL SZ E RIGHT LEGA,"12,247"
COMPONENT FEMORAL SZ E RT NEXGEN,"12,896"
COMPONENT FEMORAL SZ F RT NEXG,"12,896"
COMPONENT FEMORAL SZ G LT,"12,247"
COMPONENT FEMORAL SZ G RT,"12,247"
COMPONENT FEMORAL SZF RT 59641652,"12,247"
COMPONENT FEMORAL TC3 71MM/65MM,"24,297"
COMPONENT FEMTRIATHSZ5 RT5510F502,"7,997"
COMPONENT FEMTRIATHSZ5LFT5510F501,"7,997"
COMPONENT KNEE HINGE ROTATAXLE,"5,080"
COMPONENT LEGION HEMI SZ 3-4.5MM,"7,168"
COMPONENT LEGION HEMI SZ 5-6 8MM,"7,168"
COMPONENT PATELLA MEDIUM AVON,"1,982"
COMPONENT PFJ X-SMALL RIGHT,"22,559"
COMPONENT TC3 63MM/59MM,"24,297"
COMPONENT TIB ROTATING XS- XL MRH,"14,265"
COMPONENT TIBIAL LEGIONHEMI SZ3-4,"7,168"
COMPONENT TIBIAL STEMMED SZ 3,"6,609"
COMPONENT TIBIAL STEMMED SZ3,"14,632"
COMPONENT TIBIAL SZ 6 NEXGEN,"6,609"
COMPONENT TOTAL STAB FEM 5512F502,"33,734"
COMPONENT TRIATH #5 FEM OS,"7,997"
COMPONENT TRIATH PS FEM 5515F801,"7,997"
COMPONENTGLENOID40MMPOLY113640026,"9,783"
COMPREHEN METABOLIC PANEL,224
COND NRV NEUROFLEX2.5X2.5CNCF2525,"7,435"
CONE BODY 19MM STD 62761019,"23,000"
CONE BODY 21MM,"23,000"
CONE BODY 23MM STD,"23,000"
CONE BODY 23MM+10,"23,000"
CONE BODY 25MM STD 62761025,"23,000"
CONE BODY 27MM +10 (6276-1-127),"23,000"
CONE BODY RESTOR 31MM HP 62761131,"20,102"
CONE FEM ARCOS 50MM SZA 11301300,"34,152"
CONE FEM ARCOS 60MM SZB 11301302,"34,152"
CONE FEM ARCOS SZA 60 11301311,"39,990"
CONE FEM ARCOS SZC 60MM 11301303,"34,152"
CONE FEM LEGION 18MM LFT 71935400,"19,265"
CONE FEM LEGION 20MM RT71935408,"19,265"
CONE FEM LEGION 20MMLFT 71935401,"19,265"
CONE FEM LEGION ID22L 71935402,"19,265"
CONE FEM LEGION ID22R 71935409,"19,265"
CONE FEM SZD 60MM 11301314,"34,152"
CONE TIB LEGION 18 SHRT 71935386,"19,265"
CONE TIB LEGION ID22SHORT71935388,"19,265"
CONE TIB LEGION ID24 71935389,"19,265"
CONE TIB LEGION ID26 71935390,"19,265"
CONE TIBIAL LEGION ID18 71935393,"19,265"
CONFORMER OCULAR MEDPOR 9779,340
CONN CROSS REFORM 47-67 59CC0047,"6,696"
CONN LEGACY 15MM CROSSLINK8110715,"8,389"
CONN OMEGA VARIAC SYST 1004930,"1,226"
CONN SPINAL L 13MM 7756068,"3,314"
CONN SPINAL TSRH3DX MED 8351521,"7,054"
CONN STREAMLINE OCT 26OFFSETCONNS,"3,707"
CONN VAR 5.5-6.35X5.5 179774555,"11,087"
CONN XIA 10D ROD TO ROD 03820136,"4,641"
CONN YSHAPE ACCUFLO 3W 821521,"1,224"
CONNECT AXOGUARDNERVE10X40 AG1040,"11,710"
CONNECTOR 5.5 AXIAL 779115555,"8,379"
CONNECTOR 90* OFFSET,"5,934"
CONNECTOR OASYS 12MM 48551081,"3,777"
CONNECTOR OFFSET 3.2TO3.5 7750443,"4,748"
CONNECTOR SMALL TSRH-3D RP,"5,606"
CONNECTOR SPIN TSRH 3DX SM8351520,"6,536"
CONNECTOR SPINAL 10MM 7756067,"3,314"
CONNECTOR TSRH 3DX 8351523,"7,706"
CONNECTOR TSRH XLRG 8351522,"6,608"
CONNECTOR VELENCIA LRG 9164256,"5,949"
CONNECTOR VELENCIA52-76XL 9165276,"5,949"
CONNECTOR XIA 35MM LONG 03820131,"4,641"
CONNECTOR XIA ILIOSTOP/SD48235011,"6,154"
CONNECTOR XIACROSSLINK30 48236030,"6,714"
CONTRAST VISIPAQUE 320MG V564,432
CONTROL NASAL HEMORRHAGE ANY METH,"1,068"
CONTROL OF NOSEBLEED-ANTERIOR,"1,070"
CONTROL OF NOSEBLEED-POSTERIOR,"1,011"
CONTROL THROAT BLEEDING,954
COOMBS ANTIBODY DIRECT,144
"COOMBS ANTIBODY, INDIR",129
"COOMBS, C3",144
"COOMBS, IGG",144
COORDINATION & BALANCE P.T.,175
COPPER SERUM,289
COR KNOT QCK LOAD 030850,258
CORKSCREW 4.5MM BIO AR8927BC,"1,897"
CORKSCREW BIOC 5.5MM AR1927BCF3,"1,958"
CORONARY ART/GRFT ANGIO S&I,"20,800"
CORONARY ARTERY ANGIO S&I,"17,954"
CORTISOL SERUM,384
CORTISPORIN CREAM 7.5G,659
CORTISPORIN OINT (15G),902
CORTISPORIN OTIC SOLN (10ML),174
CORTISPORIN OTIC SUSP 10ML,174
"COSYNTROPIN INJ, 0.25MG",545
COUNTERSINK 3.5/4 AR895003,876
"COUNTERSINK 4.5,6.5 00480904500","1,471"
COUNTERSINK CANN 2.8 DSDS1028,952
COUNTERSINK FOR2.5SCREWP209152500,"1,292"
COUNTERSINK FOR3.5SCREWP209153500,"1,293"
COUNTERSINKFOR2.0SCREWP209152000,"1,292"
COUP HOFF3 5/8/11RODTROD49221010,"2,772"
COUP MICROVAS ANAST 3.0 GEM2754FC,"5,798"
COUPL HOFF3 5/8/11PINTROD49221020,"2,772"
COUPLER MICROVASC 2.5MM GEM2753,967
COUPLER MICROVASC 2MM GEM2752,"2,008"
COUPLER MICROVASC 2MM GEN2752FC,"5,798"
COUPLER MICROVASCULAR2.5GEM2753/L,"2,020"
COUPLER MICROVASCULAR3MMGEM2754/L,"2,020"
COUPLER OFFSET LEN 2MM,"7,291"
COUPLER OFFSET LGN 4MM,"7,291"
COUPLER OFFSET LGN 6MM,"7,291"
COUPLING HOFF ROD TO ROD 49601010,"2,336"
COVER BURR HOLE 17MM,"1,219"
COVER BURR HOLE 24MM,"1,302"
COVER TIP SZ1 DAVINCI DISP 400180,130
COXSACKIE A VIRUS AB,294
COXSACKIE B VIRUS AB,294
CPAP/BIPAP THERAPY,702
C-PEPTIDE,489
CPK TOTAL,154
"CPK, ISO ELECTROPHORESIS",278
C-REACTIVE PROTEIN,122
CREATININE AMNIOTIC FLUID,122
CREATININE OTHER SOURCE,122
CREATININE SERUM,119
CRISIS STABILIZATION,"1,488"
"CRITICAL CARE, ADD 30 MINUTES","1,845"
"CRITICAL CARE,1ST HR W/MODIFIER25","3,933"
CROSS CONNECTOR 44MM XIA 48236035,"5,429"
CROSS LINK A 5,"11,098"
CROSSLINK #6 SFX 189401406,"10,705"
CROSSLINK 19MM LP,"8,856"
CROSSLINK 30MM,"10,270"
CROSSLINK 8115539,"10,270"
CROSSLINK LARGE ROD 7752537,"7,605"
CROSSLINK LOW PROFILE 45-58MM,"10,270"
CROSSLINK LPS FLEX SZ CD 12MM ART,"5,117"
CROSSLINK LPS FLEX SZ CD 59623014,"5,117"
CROSSLINK LPS FLEX SZ EF 12MM,"5,117"
CROSSLINK LPS FLEX SZ EF 14MM ART,"4,751"
CROSSLINK LPS FLEX SZ GH 10MM,"5,117"
CROSSLINK PROLONG SIZE GH 10MM,"5,117"
CROSSLINK PROLONG SZ EF 10MM,"5,117"
CROSSLINK SFX A4 189401404,"10,705"
CROSSLINKSTREAMLINEMED26R2RXLINKM,"5,400"
"CROSSMATCH(ELECTRONIC), EACH UNIT",188
"CRUTCHES, PAIR, ALL SIZES",58
CRYO-CUFF SHOULDER NO COOLER12A01,262
CRYO-CUFF SHOULDER XLRG 12AXL01,262
CRYOGLOBULIN QUALITATIVE,142
CRYOPRECIPITATE,237
CRYOPRECIPITATE IGA,220
CRYOPRECIPITATE IGG,220
CRYPTOCOCCAL ANTIGEN,240
CRYPTOSPORIDIUM,125
"CRYPTOSPORIDIUM, E/A",888
CS LEADS,"25,564"
C-SECTION DELIVERY,"6,406"
CSF EBV AB TO EARLY AB-RE,308
CSF FOR CELL COUNT,129
CSF FOR GLUCOSE,93
CSF FOR PROTEIN,112
CSF IMMUNOGLOBULIN G(IGG),220
CT ABD AND PELVIS W/CONTRAST,"7,676"
CT ABD AND PELVIS W/O AND W/CONTR,"9,448"
CT ABD AND PELVIS W/O CONTRAST,"6,358"
CT ABDOMEN W & W/O CONTRA,"6,299"
CT ABDOMEN W/CONTRAST,"5,116"
CT ABDOMEN W/O CONTRAST,"4,239"
CT ABDOMINAL AORTA,"2,080"
CT ANGIO ABD&PELV W/O&W/DYE,"7,658"
CT ANGIO HRT W/3D IMAGE,"2,364"
CT CERV SPINE W/CONTRAST,"5,242"
CT CERV SPINE W/O CONTRAS,"4,239"
CT CERV SPINE W/O CONTRAST,"4,239"
CT CERVICAL SPINE W/O & W/CONTR.,"6,055"
CT CHEST (THORAX) W/ CONTRAST,"5,279"
CT CHEST (THORAX) W/O CONTRAST,"4,239"
CT CHEST (THORAX)W/& W/O CONTRAST,"6,545"
CT EXTREM/LOW W/CONTRAST,"4,421"
CT EXTREM/LOW W/O CONTRAST,"3,748"
CT EXTREM/UP W/CONTRAST,"4,427"
CT EXTREM/UP W/O CONTRAST,"3,750"
CT FACIAL BONES W/O CONTRAST,"4,305"
CT HEAD OR BRAIN W&W/O CONTRAST,"5,274"
CT HEAD OR BRAIN W/ CONTRAST,"4,243"
CT HEAD OR BRAIN W/O CONTRAST,"3,432"
CT HRT W/3D IMAGE,"2,364"
"CT HRT W/3D IMAGE, CONGEN","2,364"
CT INNER EAR W CONTRAST,"4,294"
CT LIMITED OR LOCALIZED FOLLOW UP,"1,768"
CT LUMB SPINE W/CONTRAST,"5,251"
CT LUMB SPINE W/O CONTRAST,"4,239"
CT MAXILLOFACIAL W&W/O CONTRAST,"6,611"
CT MAXILLOFACIAL W/ CONTRAST,"5,333"
CT MAXILLOFACIAL W/O CONTRAST,"4,305"
CT NECK W/O & W/CONTR,"5,313"
CT NECK WITH CONTRAST,"4,306"
CT ORBIT/EAR/FOSSA W&W/O CONTRAST,"5,256"
CT ORBIT/EAR/FOSSA W/ CONTRAST,"4,294"
CT ORBIT/EAR/FOSSA W/O CONTRAST,"3,620"
CT PELVIS W/O CONTRAST,"4,239"
CT PELVIS WITH & W/O CONTRAST,"6,252"
CT PELVIS WITH CONTRAST,"5,088"
"CT PERFUSION W/CONTRAST,CBF",918
CT SCAN FOR NEEDLE PLACEMENT,"2,429"
CT SINUS(MAXILLOFACIAL)W/O CONTR.,"4,305"
CT SOFT TISSUE NECK W&W/O CONTR.,"5,313"
CT SOFT TISSUE NECK W/ CONTRAST,"4,306"
CT SOFT TISSUE NECK W/O CONTRAST,"3,625"
CT THOR SPINE W/O CONTRAST,"4,239"
CT THORACIC SPINE W/CONTR,"5,267"
CT THORACIC SPINE W/O & W/CONTR.,"6,024"
CTA ABDOMEN,"6,655"
CTA CHEST,"6,655"
CTA HEAD,"6,655"
CTA LOWER EXTREMITY ,"4,476"
CTA NECK,"6,655"
CTA PELVIS,"6,655"
CTA UPPER EXTREMITY,"3,990"
"CT-ABLATE LIVER TUMOR/S,RADIOFREQ","6,500"
CT-DIAGN.BONE MARROW-BIOPSY & ASPIR.,"3,552"
CT-LOW DOSE-LUNG CANCER SCREENING,310
"CT-VENOGRAPHY, EXTREM UNILAT","1,556"
CUFF TOURNIQUET DUAL 24 607070104,161
CUFF TOURNIQUET DUAL 42 607070107,201
CUFF TOURNIQUET DUAL SINGLE 18IN,144
CUFF TOURNIQUET DUAL SINGLE 42IN,188
CULT & SENS (BODY FLUID),204
CULT & SENS (BRONCHIAL),204
CULT & SENS (CSF),204
CULT & SENS (EYE),204
CULT & SENS (GENITAL),204
CULT & SENS (MISC),204
CULT & SENS (SPUTUM),204
CULT & SENS (STOOL),284
CULT & SENS (THROAT),204
CULT & SENS (TISSUE/BONE),204
CULT & SENS (URINE),189
CULT & SENS WOUND/LESION,204
CULT CHLAMYDIA NOT GENITL,466
CULTURE AFB,256
CULTURE ANAEROBIC,224
CULTURE CLOSTR DIFF STOOL,259
CULTURE FUNGUS,200
CULTURE VIRAL,610
"CULTURE, SURVEILLANCE",158
"CULTURE,TYPE,IMMUN.NO IM-FLUOR@AS",133
CULTURED FIBROBLASTIC CEL,"2,956"
CUP ACET GRIPTON 48 121732048,"8,221"
CUP ACET GRIPTON 50MM 121732050,"8,765"
CUP ACET GRIPTON 54MM 121732054,"8,221"
CUP ACET GRIPTON 62MM 121732062,"10,483"
CUP ACET PINNACLE 62MM 121722062,"6,302"
CUP ACET PROSTALAC42X32 154142320,"2,919"
CUP ACET RESTOR 46MM LFT 12352462,"16,165"
CUP ACET RESTOR 48MM 12352481,"16,165"
CUP ACET RESTOR 50MMM 12352502,"16,165"
CUP ACETAB PINN GRIP54MM121730054,"13,400"
CUP ACETAB SZ54MM PIN 121732054,"10,483"
CUP ACETABULAR 121732056,"10,483"
CUP ACETABULAR 50MM 121722050,"8,536"
CUP ACETABULAR 54MM DEPUY,"8,591"
CUP ACETABULAR 56MM DEPUY,"8,760"
CUP ACETABULAR GRIP 52MM121732052,"10,483"
CUP ACETABULAR PINN 52MM121722052,"7,328"
CUP ACETABULAR XZ 55MM 121732058,"8,765"
CUP BIPOLAR SHELL 44MM,"2,734"
CUP HUM REUNION RSA32X4 55703204,"8,757"
CUP HUM RSA 36X4MM 55703604,"9,344"
CUP HUMERAL DIA 38 +3MM,"7,045"
CUP HUMERAL STD 38 +6MM,"7,045"
CUP HUMERAL STD 38+9MM,"7,045"
CUP PINNACLE SECTOR GRIP121732060,"8,765"
CUP VCARE CERV 32MM SM606085200,605
CUP VCARE CERV 34MM MED 606085201,605
CUP VCARE CERV 36MM LRG 606085202,605
CUP VCARE CERV 40MM XL 606085203,605
"CUP,BIOPOLAR,HIP,48MM,11-165220","4,232"
"CURETTAGE, POSTPARTUM","3,812"
CUTTER 10MM REAMER AR1204AF100,"1,959"
CUTTER 7.5 SNGL USE AR1204AF75,"1,897"
CUTTER 7MM SGLE USE AR1204AF70,"1,897"
CUTTER 8.5MM REAMER AR1204AF85,"1,897"
CUTTER 9.0MM REAMERSGL AR1204AF90,"1,897"
CUTTER 9.5 SGL USE AR1204AF95,"1,897"
CUTTER DIAM MIDAS REX25.4 MC254,"1,074"
CUTTER FLIPCUTTER10.5 AR1204AF105,"1,897"
CUTTER LINEAR 30MM ART ATB35,"1,979"
CUTTER LINEAR 55MM TITANIUM,682
CUTTER LINEAR 75MM RELOAD REFILL,570
CUTTER LINEAR 75MM RELOAD WITH LO,"1,017"
CUTTER STAPLER CURVED COUNTOUR 40,"3,026"
CUTTER STAPLER CURVED COUNTOUR -C,"3,026"
CUTTING BALLOON POST ANGIO,"7,561"
CVVD - CRRT,"5,598"
CYANOCOBALAMIN @ 1000 MCG INJ,47
CYANOCOBALAMIN TAB 1000MCG,2
"CYANOCOBALAMIN TAB, 100MCG",2
CYCLOBENZAPRINE 10MG TAB,5
CYCLOMYDRIL OPHTH SOLN 2ML,189
CYCLOPENTOLATE 0.5% OPHTH SOLN,517
CYCLOPENTOLATE 2% OPHTH SOLN 2,167
CYCLOPENTOLATE POH SOLN 1% 2ML,7
"CYCLOPHOSPHAMIDE,@ 100MG,INJ(1GM)",468
"CYCLOPHOSPHAMIDE,@ 25MG, CAP (25)",53
"CYCLOPHOSPHAMIDE,@ 25MG, CAP (50)",49
CYCLOSPORIN,420
CYCLOSPORIN @ 100 MG CAP (NEORAL),53
CYCLOSPORIN @ 100 MG CAP (ORAL),91
CYCLOSPORINE @ 100MG ORAL (100MG),33
"CYCLOSPORINE CAP, 25MG",13
"CYCLOSPORINE CAP,25MG(SANDIMMUNE)",23
"CYROHEPTADINE HCL TAB, 4MG",6
"CYSTINE, 24 HOUR URINE",397
CYSTO.CALIB/DIL.URETH.STRIC/STENO,"5,224"
CYSTOGRAPHY,"1,210"
CYSTOSTOMY TUBE CHANGE,"1,162"
CYTO FLUID W/CONCENTRATE,72
CYTO FLUID W/O CONCENTRATE,62
CYTO OTHER INTERP CHARGE,89
CYTOGENETICS INTERPRET AND REPORT,"1,742"
"CYTOMEGALOVIRUS,DNA,QUANTIFICATIO",757
CYTOMEGLOVIR-AB-IGM (CMV),399
"CYTOPATH SMEAR, OTHER SOURCE",240
"CYTOPATH,C/V,AUTO TH.L,MAN.RESCR.",79
"CYTOPATH,CELL ENHANCE, NON-GYN",112
"CYTOPATH,EVAL FNA, 1ST, EA. SITE",115
CYTP FNA EVAL EA ADDL,300
"D.H.E.INJ, 1MG/ML",893
D5W/NACL 0.45%/KCL 10MEQ (1000ML),13
D5W/NACL 0.45%/KCL 20MEQ (1000ML),15
D5W/NACL 0.45%/KCL 40MEQ (1000ML),19
"DABIGATRAN CAP, 150MG",41
"DABIGATRAN CAP, 75MG",41
"DACARBAZINE INJ,100MG/10ML",76
DAILY CARE CARDIOVASCULAR UNIT,"10,348"
DAILY CARE INTERMEDIATE ICU,"7,245"
DAILY CARE LABOR & DELIVERY ,"6,407"
DAILY CARE MEDICAL ICU,"8,227"
DAILY CARE NEONATAL,"5,332"
DAILY CARE NEONATAL STEP DOWN,"5,022"
DAILY CARE NURSERY ,"3,328"
DAILY CARE SEMI PRIVATE-MED/SURG,"5,062"
DAILY CARE SEMI PRIVATE-PSYCH,"3,762"
DAILY CARE TRAUMA ICU,"9,516"
DAKIN'S 0.25% (HALF STRENGTH) SOL,80
DANAZOL 100MG CAP,31
DANAZOL 200MG CAP,51
"DANTROLENE SOD. 250MG VIAL, INJ","16,259"
"DANTROLENE SODIUM CAP,25MG",6
"DANTROLENE SODIUM INJ, 20MG",476
DAPSONE 25MG TAB,16
"DAPTOMYCIN,@ 1MG,INJECTION(500MG)",6
"DARBEPOETIN NON-ESRD@1 MCG,(100)",53
"DARBEPOETIN NON-ESRD@1 MCG,(150)",53
"DARBEPOETIN NON-ESRD@1 MCG,(200)",53
"DARBEPOETIN NON-ESRD@1 MCG,(25)",53
"DARBEPOETIN NON-ESRD@1 MCG,(300)",53
"DARBEPOETIN NON-ESRD@1 MCG,(40)",53
"DARBEPOETIN NON-ESRD@1 MCG,(60)",53
"DARUNAVIR ORAL SUSP,100 MG/ML",27
"DARUNAVIR TAB, 800 MG",326
"DEBRIDE BONE,EACH ADDT'L 20SQ CM","2,625"
DEBRIDE MUSCLE/FASCIA EA ADDT'L,"1,125"
"DEBRIDE MUSCLE/FASCIA,20 SQCM OR<","1,125"
DEBRIDE MYCOTIC NAILS <6,265
DEBRIDE MYCOTIC NAILS >6,364
DEBRIDE SKIN/TISSUE,499
"DEBRIDE SUBQ TISSUE,FIRST 20 SQCM","1,125"
"DEBRIDE SUB-Q,EACH ADDT'L 20SQ CM","1,125"
DEBRIDE TISSUE/MUSCLE/BONE,"2,125"
DECALCIFICATION PROCEDURE,158
"DECITABINE INJ, @ 1 MG (50 MG VL)",221
DECLOT VASCULAR DEVICE,964
"DEFIBRILLATOR BI-VENT, MULTI-LEAD","98,000"
DEGARELIX PER 1MG INJ (120MG)-NF,43
DEHYDRATED ALCOHOL INJ,59
"DEHYDRATED ALCOHOL INJ, 100%",252
DELIVERY OF PLACENTA ONLY,"5,654"
DELIVERY-LITE BIO 48288214,"2,773"
"DEMECLOCYCLINE TAB, 150MG",60
"DENOSUMAB, PER 1 MG, INJ (120)",126
"DENOSUMAB, PER 1 MG, INJ (60)",134
DENTAL SURGERY PROCEDURE,654
DERMABOND PRINEO 22CM CLR222US,461
"DERMABOND, 0.5ML",160
"DERMACARRIER,1 1/2 TO 1 RATIO",132
"DERMACARRIER,3 TO 1 RATIO",142
"DESCTRUCT BENIGN LESIONS,UP TO 14",442
DESIGN MLC DEVICE FOR IMRT,"2,226"
"DESIPRAMINE HCL TAB, 25MG",15
DESITIN OINTMENT 30G,16
DESLORATIDINE TAB 5MG,28
DESMOPRESSIN 0.1 MG TAB,17
DESMOPRESSIN 4MCG INJ,100
DESMOPRESSIN NASAL 0.1MG/ML 2.5ML,"1,797"
"DESMORPRESSIN INJ,4MCG/ML(10ML)",101
DESOXIMETASONE 0.25% CREAM 15G,331
DESOXIMETASONE 0.25% OINT 15GM,602
DESVENLAFAXINE 100MG TAB,65
"DESVENLAFAXINE TAB, 50MG",65
DETACHER INSTANT ENDOVASCULAR EV3,327
DETECT AGENT NOS DNA QUANT,902
"DETECT AGENT NOS,DNA,AMP(CHOP PED",833
DEV FIX ENDOBUTTON 10MM 72203331,"2,007"
DEV FIX SECURESTRAP STRAP25,"3,317"
DEV GREENLIGHT FIBER 00102400,"6,393"
DEV INTRACORP KNOTDISP MICOTIE001,"1,973"
DEV MYOSURE XL TIS REMOVAL50503XL,"7,006"
DEV.COGNITIVE SKILLS-DIRECT-15MIN,127
DEVICE BONE BIOP F07A,892
DEVICE BONE KYPHOPL BIOP DIS F05A,958
DEVICE CLOSURE 6/7FR VASC MX6721,"1,168"
DEVICE CLOSURE ANGIOSEAL(ST JUDE),"2,677"
DEVICE CLOSURE BOOMERANG(CARDIMA),"2,436"
DEVICE CLOSURE FEMSTOP(ST JUDE),987
DEVICE CLOSURE MYNX 5FR MX5021,"1,168"
DEVICE FIX OPTIFIX30CT ABS0113126,"2,510"
DEVICE FIX SORBAFIX30CTABS0113080,"3,876"
DEVICE LAP 5MM 5/10-12MM CTI512N,748
DEVICE MYOSURE TISS REM 10403FC,"7,492"
DEVICE MYOSURELT TISSREM30403LITE,"3,795"
DEVICE PRESTO INFLAT 30CC 1D4030,146
DEVICE SUT CAPIO SLIM M0068318261,"2,896"
"DEVICE,NOVA,ENDOMETRIAL ABALATE","7,515"
DEXAMETHASONE 4MG TAB,4
"DEXAMETHASONE LIQ, 0.5MG/5ML",8
DEXAMETHASONE OPH SOLN 0.1%,98
DEXAMETHASONE SOD. PF@1MG INJ(10),4
DEXAMETHASONE SOD. PF@1MG(0.1NICU,2
DEXAMETHASONE SOD.PH.@1MG INJ (4),2
DEXAMETHASONE SOD.PH.@1MG INJ(20),1
"DEXAMETHASONE TAB, 0.5MG",1
"DEXAMETHASONE TAB, 1.5MG",2
"DEXMEDETOMIDINE INF, 200MCG/2ML",130
"DEXMEDETOMIDINE INF,400MCG/100ML",753
"DEXRAZOXANE HCL,@ 250MG,INJ (500)","1,864"
"DEXTRAN SLN D5W, LOW MOLEC WT 10%",170
"DEXTRAN SOLN, LOW MOLECULAR WT",198
"DEXTROAE INJ, 10% (1000ML)",57
"DEXTROSE 10% INJ,250ML",14
DEXTROSE 2.5%/NACL 0.45% (1000ML),57
DEXTROSE 25% INJ 2.5GM/10ML (SYR),57
"DEXTROSE 5% (LV), 100ML",11
DEXTROSE 5%/KCL 20MEQ (1000ML),13
DEXTROSE 5%/KCL 40MEQ (1000ML),57
DEXTROSE 5%/LACTATED RINGERS 1000,13
DEXTROSE 5%/NACL 0.225% (1000ML),57
DEXTROSE 5%/NACL 0.45% (1000ML),57
DEXTROSE 5%/NACL 0.9% (1000ML),28
DEXTROSE 5%/NACL 0.9% (500ML),28
DEXTROSE 5%/NACL O.45% (500ML),28
DEXTROSE 5%NACL.9% KCL20MEQ,19
DEXTROSE 50% INJ 50ML,17
DEXTROSE 50% INJ SYR 50ML,54
"DEXTROSE 70%, 2000 ML, INJ (TPN)",7
"DEXTROSE INJ (PB), 5% 250ML",57
DEXTROSE INJ 5% 50ML,11
"DEXTROSE INJ, 10% (500ML)",28
"DEXTROSE INJ, 10% (500ML, PF)",28
"DEXTROSE INJ, 5% (1000ML)",57
"DEXTROSE INJ, 5% (150ML)",8
"DEXTROSE INJ, 50% (500ML,PF)",85
"DEXTROSE INJ,(PB),5% 500ML",28
DHEA,604
DHEA SULFATE SERUM,493
DIAG.BREAST TOMOSYNTHESIS-UNI/BI,176
DIAG.MAMMOGRAM W/CAD-BOTH BREASTS,"1,149"
DIAG.MAMMOGRAM W/CAD-ONE BREAST,902
DIAGN.BONE MARROW-BIOPSY & ASPIR.,"3,936"
"DIAGNOSTIC MAMMO.& CAD,UNILATERAL",902
DIAGNOSTIC SONOGRAM,264
DIAZEPAM @ 5MG INJ (20),9
"DIAZEPAM RECTAL GEL,2.5MG","1,739"
"DIAZEPAM TAB, 2MG",1
"DIAZEPAM TAB, 5MG",2
"DIAZOXIDE SUSP, 50 MG/ML (30ML)",53
"DICLOXACILLIN CAP, 250MG",4
DICYCLOMINE 20MG/2ML INJ,139
"DICYCLOMINE HCL CAP, 10MG",3
"DICYCLOMINE HCL TAB, 20 MG",2
"DICYCLOMINE SYRUP,10MG/5ML",8
DIFFUSING CAPACITY(CLOSING VOLUME,512
DIGOXIN 0.25MG TAB,10
"DIGOXIN ELIXIR., 0.25MG/5ML",79
"DIGOXIN IMMUNE INJ FAB, 40MG","24,133"
DIGOXIN INJ PEDIATRIC 100MCG/1ML,469
"DIGOXIN INJ, 0.5MG/2ML",37
DIGOXIN LEVEL,311
"DIGOXIN TAB, 0.125MG",10
DIHYDROTESTOSTERENE ASSAY,595
DILANTIN,309
DILATION OF NEPHROSTOMY S&I,"1,451"
DILATOR SET AMPLATZ REN (G14292),"1,370"
DILATOR URET SET60-18FR60CMG14297,904
DILTIAZEM 60MG TAB,2
DILTIAZEM HCL 5 MG/ML (10ML) INJ,27
"DILTIAZEM HCL CAP CD, 180MG",3
"DILTIAZEM HCL CAP CD, 240MG",5
"DILTIAZEM HCL CAP CD, 300MG",15
DILTIAZEM HCL CAP SR 60MG,22
DILTIAZEM HCL CAP SR 90MG,21
"DILTIAZEM HCL CAP, 120MG",2
